,name,bar_code,brand,labels,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,packaging,categories,additives,allergens,nova_score,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,quantity,ingredients_origins,markets,traceability_code,manufacturing,link,generic_name,palm_ingredients,brand_owner,producer_info
48,Chocolat lait caramel salé - Mazet - 100g,3286110003668,['Mazet'],['Fabriqué en France'],['France'],[],[],?,562,38,45,"7,2",2351 kj(562 kcal),24,44,"0,36","0,144",E,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats au lait', 'Chocolats au caramel', 'Chocolats au lait au caramel']",,,,,+3%,+13%,-16%,+9%,84.1%,11.8%,1.2%,2.5%,0.4%,0.0%,24,38 g,en quantité élevée,24 g,en quantité élevée,44 g,en quantité élevée,0.36 g,en quantité modérée,+3%,+18%,-14%,-9%,-9%,27,+1%,E,+1%,100 g,,,,,,,,,
49,Bel La Vache Qui Rit Cheese Spread,3073780861137,['La Vache qui rit'],,['France'],[],[],?,186,"13,5",4,12,778 kj(186 kcal),9,4,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Galanga,3388550000792,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,oeufs de poules élevées en pleine air - Earl ferme de grange neuve - 12,3760067750023,['Earl ferme de grange neuve'],['Alimentation végétale et minérale 100\xa0%'],['France'],['oeufs de poules'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,?,?,?,?,,,,,,B,['boîte en carton'],"[""Produits d'élevages"", 'Œufs', 'Œufs de poules', 'Œufs de poules élevées en plein air']",,,1,,,,,,91.5%,0.0%,3.5%,2.5%,1.7%,0.8%,51,,,,,,,,,,,,,,,,,,12,['France'],['Inertmarche'],,['Charnizay'],,,,,
52,Bûche de chèvre - 0.201kg,2225664016534,,,['France'],[],[],?,295,23,1,21,1234 kj(295 kcal),16,0,"1,2","0,48",E,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de chèvre', 'Bûche de chèvre']",,,,,+3%,+0%,-30%,+12%,91.6%,3.0%,2.1%,2.1%,0.9%,0.3%,33,23 g,en quantité élevée,16 g,en quantité élevée,0 g,en faible quantité,1.2 g,en quantité modérée,+3%,-1%,-100%,-15%,-15%,13,-6%,D,-6%,0.201 kg,,,,,,,,,
53,Carres Jeanne d'Arc,3495070000390,,,['France'],[],[],?,538,39,33,"8,3",2251 kj(538 kcal),23,29,"0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Crêpes moelleuse au sucre de canne - Carrefour Bio,75287597,['Carrefour Bio'],['Bio'],['France'],[],[],?,280,"14,3","29,9","6,8",1172 kj(280 kcal),"1,5","14,2","0,18","0,072",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Carrefour'],,,,,,,
55,Riz à poêler tendrement doré le sachet de 400 g - Saint Eloi,3250392129224,['Saint Eloi'],,['France'],[],[],?,372,"1,9",81,7,1556 kj(372 kcal),"0,2","0,5","0,65","0,26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Buddha Water Original Ø,7350044609046,,,['France'],[],[],?,28,0,"6,9",0,117 kj(28 kcal),0,"6,8",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Polase,8058697280245,,,['France'],[],[],?,1,"0,01","0,01","0,01",4 kj(1 kcal),"0,01","0,01","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Moutarde aux algues,3760032922257,,['Fabriqué en France'],['France'],[],[],?,?,?,?,?,,,,,,B,,"['Epicerie', 'Condiments', 'Sauces', 'Moutardes']",,,,,,,,,57.4%,14.5%,21.8%,4.8%,1.5%,0.0%,75,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Kot Petales De Cereales X5 Sachets De,3700413403678,,,['France'],[],[],?,334,2,40,33,1397 kj(334 kcal),"0,5",7,"0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,LE LOCHOUZIC,3357021761401,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,côtes de porc echine - porc de nos villages - 392g,2667819025587,['porc de nos villages'],['Label Rouge'],['France'],[],[],?,?,?,?,?,,,,,,,['2'],"['Viandes', 'Viandes fraîches']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,392 g,['France'],,,,,,,,
62,Pates kot Pasta K,3700413403753,,,['France'],[],[],?,350,"2,5",20,60,1464 kj(350 kcal),"0,6","1,8",2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,5600381870060,5600381870060,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Marbré tradition - 500g,3700181504850,,,['France'],[],[],?,429,22,50,"5,9",1795 kj(429 kcal),"2,3",29,"0,83","0,332",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500 g,,,,,,,,,
65,poivre blanc &noir,3700389712019,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Maccheroni di Toscana,8018048000083,,['Fabriqué en Italie'],['France'],[],[],?,357,"1,6","72,5","13,1",1494 kj(357 kcal),"0,3","0,7",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,mimolette bio - 200g,02782461,,['Bio'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200 g,,,"['FR 50.127.001 CE', 'Chef-du-Pont (Manche, France)']",,,,,,
68,Macédoine de légumes - Monoprix - 400g,3248650014993,['Monoprix'],,['France'],[],[],?,?,?,?,?,,,,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Légumes et dérivés', 'Légumes en conserve', 'en:canned-drained-diced-mixed-vegetables']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400g,,['Monoprix'],"['EMB 56251E', 'Theix (Morbihan, France)']",,,,,,
69,3559201220153,3559201220153,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,vin rosé - cuvée vauban - 75cl,3233960019714,['cuvée vauban'],,['France'],[],[],?,?,?,?,?,,,,,,D,['Bouteilles'],"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins rosés']",,,,,,,,,46.7%,3.7%,29.6%,13.4%,5.1%,1.4%,45,,,,,,,,,,,,,,,,,,75cl,['7'],,"['EMB 66136', 'Perpignan (Pyrénées-Orientales, France)']",,,,,,
71,Thé noir Etoile de bali cerises mûres - my sweet tea - 50g,3760283196544,['my sweet tea'],,['France'],"['Thé noir Ceylan', '-Inde du Sud', '-Chine', 'arôme', 'fleurs de jasmin', 'cerise', 'fleurs de souci', 'baie de goji']",[],?,?,?,?,?,,,,,,A,['Sachet'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés', 'Infusions', 'Thés noirs', 'Thés aromatisés', 'Thés noirs aromatisés']",,,4,,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,,,,,,,,,,,,,,,,,50g,,,,,,,,,
72,"Gjyfj -  - 1,200kg",4829898060936,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,200 kg",,,,,,,,,
73,Kot Velouté Arôme Volaille,3700413400776,,,['France'],[],[],?,356,"4,1","15,9",64,1490 kj(356 kcal),2,"3,5","4,8","1,92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,2481231024733,2481231024733,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Saucisson sec - Xarcuteria d’olot - 1,8426572204004,['Xarcuteria d’olot'],,['France'],[],[],?,?,?,?,?,,,,,,D,,"['Viandes', 'Charcuteries', 'Saucissons', 'Saucissons secs']",,,,,,,,,79.0%,17.2%,0.6%,1.8%,1.1%,0.3%,36,,,,,,,,,,,,,,,,,,1,,,,,,,,,
