,name,bar_code,brand,markets,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,generic_name,quantity,packaging,categories,labels,ingredients_origins,traceability_code,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,manufacturing,palm_ingredients,link
10,Jambon Choix sans couenne - Cora - 450g,3257980460592,['Cora'],['Cora'],['France'],"['Jambon de porc', 'eau', 'sel', 'sirop de glucose', 'gélatine de porc', 'dextrose', 'stabilisants : E450', 'E451', 'E452', 'exhausteur de goût : E621', 'arômes', 'conservateurs : érythorbate de sodium', 'nitrite de sodium']","['E428 - Gélatine', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E451 - Triphosphates', '', 'Risque élevé de sur-exposition', 'E452 - Polyphosphates', '', 'Risque élevé de sur-exposition', 'E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E316 - Érythorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",,"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,471,128,471 kj(128 kcal),5,"1,7",2,2,18,"2,375","0,95",C,"Jambon cuit qualité choix, découenné-dégraissé.",450 g,"['Barquette', 'Plastique']","['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs']","['Viande-francaise', 'Viande-porcine-francaise']",['France'],"['EMB 14752B', 'Villers-Bocage (Calvados, France)', 'FR 14.752.020 CE', 'Villers-Bocage (Calvados, France)']",5 g,en quantité modérée,1.7 g,en quantité modérée,2 g,en faible quantité,2.38 g,en quantité élevée,-7%,-3%,-14%,+4%,-8%,+199%,+236%,-15%,+27%,+27%,12,+70%,D,+70%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,['France'],,
11,Colin d'alaska sauce Oseille CORA,3257980479396,['Cora'],['Cora'],['France'],"['Cabillaud 51%', 'eau', 'crème fraîche légère 12%', 'vin blanc ', 'contient sulfites', 'oignons 3,6%', 'oseille 2,4%', 'amidon de maïs', 'beurre', ""vinaigre d'alcool"", 'farine de blé', 'lait écrémé en poudre', 'sel', 'poivre', 'curcuma', ' Informations en gras destinées aux personnes allergiques', ' Traces possibles de : crustacés', 'mollusques', 'soja', 'œuf', 'céléri', 'moutarde', 'sésame']",,"['Poisson', 'Gluten', 'Lait', 'Anhydride sulfureux et sulfites']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",,?,79,331 kj(79 kcal),"3,1",2,"2,7","0,9",10,"0,67","0,268",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"Saumon Sauce à L'oseille, 400 Grammes, Marque Cora",3257980479402,['Cora'],['Cora'],['France'],"[""SAUMON d'Atlantique 49 % eau - CREME fraîche légère 10*4 % vin blanc 5,7 % "", 'dont SULFITES', ' oignons 42 % - oseille % LACTOSE et protéines de LAIT', ""CREME - BEURRE - vinaigre d'alcool - farine de BLE - amidon transformé de maïs - sel - arômes "", 'do']",['E14XX - Amidons modifiés'],"['Poisson', 'Gluten', 'Lait', 'Anhydride sulfureux et sulfites']",['Non végétalien'],4,?,113,473 kj(113 kcal),"6,5","2,9",2,"1,2","11,5","0,31","0,124",,,,,,"[""Appellation d'origine""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Poires Williams au sirop - Cora - 425g (225g égoutté),3257980481443,['Cora'],['Cora'],['France'],"['Poires Williams ', 'demi-fruits', ' - eau - sirop de glucose-fructose - sucre - acidifiant : acide citrique']",['E330 - Acide citrique'],,[],4,319,?,319 kj(76 kcal),"< 0,5","< 0,1","17,5","14,4","< 0,5","0,02","0,008",A,Poires Williams demi-fruits,425 g (225 g égoutté),"['Conserve', 'Métal']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Desserts', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Fruits et produits dérivés', 'Fruits en conserve', 'Fruits au sirop', 'Poires au sirop']",,,"['EMB 30189', 'Nîmes (Gard, France)']",0.5 g,en faible quantité,0.1 g,en faible quantité,14.4 g,en quantité élevée,0.02 g,en faible quantité,+19%,,+17%,+162%,+175%,+18%,+13%,+82%,+28%,+28%,-3,,A,,31.2%,35.3%,16.8%,8.7%,8.0%,0.0%,95,,,
14,Quatre-quarts - Cora - 500g,3257980481504,['Cora'],['Cora'],['France'],[],,,[],,?,436,1824 kj(436 kcal),24,15,48,29,6,"1,4","0,56",D,,500 g,['Plastique'],"['Snacks', 'Desserts', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Quatre-quarts']",,,,24 g,en quantité élevée,15 g,en quantité élevée,29 g,en quantité élevée,1.4 g,en quantité modérée,,+3%,+2%,+5%,+23%,-2%,+3%,+4%,+37%,+37%,27,+19%,E,+19%,83.1%,9.9%,3.4%,1.8%,1.8%,0.0%,50,,,
15,Jus multifruits - Cora - 1L,3257980483270,['Cora'],['Cora'],['France'],"['Jus et purées à base de concentré de pomme 49,5%', 'orange 41,5%', 'raisin 2%', 'banane 1,5%', 'abricot', 'fruits de la passion 0,9%', 'citron', 'mangue', 'goyave', 'kiwi', 'vitamines C', 'E', 'B1', 'B9 et pro-vitamine A']",,,"[""Pourrait contenir de l'huile de palme""]",1,?,48,201 kj(48 kcal),"< 0,5",0,"10,9","9,8","0,6","< 0,03","0,012",D,,1 L,"['Bouteille', 'Plastique']","['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus multifruits']",,,,0.5 g,en faible quantité,0 g,en faible quantité,9.8 g,en quantité élevée,0.03 g,en faible quantité,,0%,+0%,+186%,-100%,-1%,-6%,+53%,+228%,+228%,4,-10%,C,-10%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,
16,Confiture extra abricot - Cora - 750g,3257980483386,['Cora'],['Cora'],['France'],['Abricots 50% - sucre - sucre roux de canne - gélifiant : pectine de fruits - acidifiant : acide citrique'],"['E440 - Pectines', 'E330 - Acide citrique']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",4,?,240,1004 kj(240 kcal),"0,5",0,59,59,"0,5","< 0,01","0,004",B,,750 g,"['Bocal', 'Verre', 'Couvercle', 'Métal']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', ""Confitures d'abricot""]",,,"['EMB 46029A', 'Biars-sur-Cère (Lot, France)']",0.5 g,en faible quantité,0 g,en faible quantité,59 g,en quantité élevée,0.01 g,en faible quantité,,+10%,+9%,+121%,-100%,+11%,+17%,-0%,-55%,-55%,11,+22%,D,+22%,38.5%,19.4%,25.9%,11.0%,4.2%,1.1%,87,,,
17,Confiture Extra de Myrtilles - Cora - 370g,3257980483393,['Cora'],['Cora'],['France'],"['Myrtilles 50 %', 'sucre', 'sucre roux de canne', 'gélifiant : pectine de fruits', 'acidifiant : acide citrique']","['E440 - Pectines', 'E330 - Acide citrique']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",4,1022,?,1022 kj(244 kcal),"< 0,5",0,59,59,"< 0,5","< 0,01","0,004",D,,370 g,"['Bocal', 'Verre', 'métal']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de myrtilles']","['Point Vert', 'Triman']",,"['EMB 46029A', 'Biars-sur-Cère (Lot, France)']",0.5 g,en faible quantité,0 g,en faible quantité,59 g,en quantité élevée,0.01 g,en faible quantité,+10%,,+11%,+92%,-100%,+10%,+16%,+28%,-40%,-40%,11,+19%,D,+19%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,
18,Mousse à La Liégeoise Vanille - Cora,3257980485120,['Cora'],['Cora'],['France'],"[""Lait entier - crème - sucre - amidon transformé de pomme de terre - gélatine bovine - émulsifiant : esters lactiques des mono - etdig/ycérides d'acides gras - épaississants : carraghénanes"", 'gomme guar - arôme - colorants : lutéine', 'extrait de paprika arôme naturel de - protéines de lait - lactose et minéraux du']","['E14XX - Amidons modifiés', 'E428 - Gélatine', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E412 - Gomme de guar', 'E161b - Lutéine', 'E160c - Extrait de paprika']",['Lait'],"['Non végétalien', 'Non végétarien']",4,?,162,678 kj(162 kcal),"9,1","6,1","16,9","15,9","3,2","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,"4 tranches de jambon cuit supérieur - Nature Bio - 180g, 4tranches",3257980496102,['Nature Bio'],,['France'],"['Jambon de porc', 'eau', 'sel de guerande', 'sel', 'dextrose', 'sucre de canne', 'lactose', 'antioxydant : ascrobate de sodium', 'conservateur : nitrite de sodium']","['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",['Lait'],"['Non végétalien', 'Non végétarien']",4,484,?,484 kj(116 kcal),"3,5","1,1","0,6","< 0,5","20,1",2,"0,8",D,tranches de jambon cuit,"180 g, 4 tranches",['Plastique'],"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs']","['Bio', 'Bio européen', 'FR-BIO-01', 'Qualité supérieure', 'AB Agriculture Biologique']",,"['FR 72.373.002 CE', 'Vibraye (Sarthe, France)', 'EMB 72373', 'Vibraye (Sarthe, France)']",3.5 g,en quantité modérée,1.1 g,en faible quantité,0.5 g,en faible quantité,2 g,en quantité élevée,-4%,,-12%,-27%,-40%,-10%,-16%,-5%,+7%,+7%,5,-29%,C,-29%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,,,
20,Sirop de grenadine - Cora - 1L,3257980496614,['Cora'],['Cora'],"['France', 'Allemagne']","['sirop de glucose/fructose - eau - sucre liquide - jus de fruit concentrés - acidifiant : acide citrique - arômes', ' Teneur en jus de fruits reconstitués dans le produit fini 11,8% dont fruits rouges ', 'sureau 2,5% - cerise 2,3% - fraise 0,7% - framboise 0,5%', ' et citron', ' Contient un extrait de vanille']",['E330 - Acide citrique'],,[],4,?,337,1410 kj(337 kcal),"0,5","0,1","78,8",71,"0,5","0,01","0,004",A,,1L,"['Bouteille', 'Verre']","['Boissons', 'Sirops', 'Sirops aromatisés', 'Sirops de grenadine', 'Boissons sans sucre ajouté']",,,,,,,,,,,,,+43%,+31%,+350%,+241%,+30%,+21%,+367%,-59%,-59%,,,,,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,,,
21,Sirop de Menthe - Cora - 100cl,3257980496621,['Cora'],['Cora'],['France'],"['Sirop de glucose/fructose - eau - sucre liquide - extrait de carthame - arôme naturel de menthe ', '0,16%', ' - colorant : bleu patenté V']","['E131 - Bleu patenté V', '', 'Risque modéré de sur-exposition']",,"['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",4,1288,303,1288 kj(303 kcal),0,0,"75,4","68,2","< 0,5","< 0,01","0,004",A,,100 cl,"['Bouteille', 'Verre']","['Boissons', 'Sirops', 'Sirops aromatisés', 'Sirops de menthe', 'Boissons avec sucre ajouté']",,,"['EMB 59253', 'Fresnes-sur-Escaut (Nord, France)']",0 g,en faible quantité,0 g,en faible quantité,8.55 g,en quantité élevée,0.005 g,en faible quantité,+18%,+27%,+25%,-100%,-100%,+23%,+15%,+339%,-55%,-55%,12,+12%,E,+12%,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,['France'],,
22,Paniers Jambon - Emmental - Cora,3257980498441,['Cora'],['Cora'],['France'],"['Eau - farine de blé - jambon cuit standard 14,8% [jambon de porc 9,1% ', 'origine : UE', ' - eau - sirop de glucose - sel - gélatine - stabilisant : sels métalliques de diphosphates - gélifiant : carraghénanes - arômes dextrose conservateurs ascorbate de sodium et nitrite de sodium] - margarine ', ""huiles et graisses de palme et de colza - eau - sel - émulsifiant : mono - et diglycérides d'acides gras correcteur d'acidité : acide citrique"", ' - crème fraîche - liant [amidon transformé - huile de palme fractionnée ', 'contient lait', ' - lactosérum farine de blé] - comté 2,9% - emmental 2,2% - œuf entier - spécialité fromagère fondue 1 ', 'fromages - eau - sels de fonte : orthophosphate de sodium et polyphosphates', ' - lait entier en poudre - protéines de blé - enzymes : protéase - fromage de chèvre fondu 0,6% ', 'fromage de chèvre - eau', ' - sel - arômes ', 'contient lait', "" et arôme de fumée épaississant persil 0,2% méthylcellulose - émulsifiant : mono - et diglycérides d'acides gras - poivre - muscade""]","['E428 - Gélatine', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E330 - Acide citrique', 'E14XX - Amidons modifiés', 'E452 - Polyphosphates', '', 'Risque élevé de sur-exposition', 'E1101 - Protéases']","['Gluten', 'Lait']","['Huile de palme', 'Non végétalien', 'Non végétarien']",4,?,256,1071 kj(256 kcal),14,"7,5","23,5",3,"8,2","1,275","0,51",,,,['Frais'],"['Plats préparés', 'Feuilleté salé']",,,,14 g,en quantité modérée,7.5 g,en quantité élevée,3 g,en faible quantité,1.27 g,en quantité modérée,,-12%,-12%,-21%,-27%,-3%,+27%,+4%,+14%,+14%,14,-12%,D,-12%,,,,,,,,,['Huile de palme'],
23,Raclette (28% MG) - Cora - 2 * 400g (800g),3257980530202,['Cora'],['Cora'],['France'],"['Lait pasteurisé', 'sel', 'ferments lactiques', 'coagulant', 'conservateur ', 'croûte', ' : natamycine']",['E235 - Natamycine'],['Lait'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",3,1427,?,1427 kj(341 kcal),28,19,"< 0,5","< 0,5",23,"1,75","0,7",D,Fromages à pâte pressée non cuite,2 * 400 g (800 g),"['Barquette', 'Plastique']","['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée non cuite', 'Fromages pasteurisés', 'Raclettes', 'Fromages en tranches']",,,"['FR 22.061.015 CE', ""Glomel (Côtes-d'Armor, France)"", 'EMB 22061', ""Glomel (Côtes-d'Armor, France)""]",28 g,en quantité élevée,19 g,en quantité élevée,0.5 g,en faible quantité,1.75 g,en quantité élevée,+0%,,-1%,+2%,+3%,-32%,+17%,-3%,+4%,+4%,16,+2%,D,+2%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,
24,"Fondue Suisse Emmental et Gruyère au Vin Blanc (16,5% MG) - Cora - 400g e",3257980531339,['Cora'],['Cora'],['France'],"['Fromages Suisses 50 % ', 'Emmental AOC 35 % ', ""Appellation d'Origine Contrôlée"", ' - Gruyère AOP 15 % ', ""Appellation d'Origine Protégée"", ' - vin blanc 34 % - eau - amidon de maïs - kirsch - sel - sels de fonte : phosphate de sodium', 'polyphosphates - épices']","['E452 - Polyphosphates', '', 'Risque élevé de sur-exposition']",['Lait'],"['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,1054,253,1054 kj(253 kcal),"16,1",10,"4,5","< 0,5","15,6","1,65","0,66",D,Préparation au fromage fondu,400 g e,"['Carton', 'boîte', 'Plastique']","['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Plats préparés', 'Fromages', 'Fondues', 'Fromages fondus']",['Fabriqué en Suisse'],,['CH 2089'],16.1 g,en quantité modérée,10 g,en quantité élevée,0.5 g,en faible quantité,1.65 g,en quantité élevée,-11%,-14%,-12%,-24%,-28%,+50%,-9%,-13%,+24%,+24%,14,+5%,D,+5%,79.5%,12.0%,2.9%,3.6%,1.6%,0.4%,49,['Suisse'],,
