,name,bar_code,brand,markets,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,generic_name,quantity,packaging,categories,labels,ingredients_origins,traceability_code,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,manufacturing,palm_ingredients,link
578,Infusion Tilleul - Belle France,3258561050225,['Belle France'],,['France'],['Tilleul 100 %'],,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,?,0,0 kj(0 kcal),0,0,0,0,0,,,A,,,"['Carton', 'boîte']","['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Infusions', 'Infusions de tilleul']",['Fabriqué en Espagne'],,,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,,,-100%,-100%,-100%,-100%,-100%,-100%,-100%,,,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,['Espagne'],,
579,Infusion Pêche Cassis - Belle France,3258561050300,['Belle France'],,['France'],[],,,[],,?,4,17 kj(4 kcal),0,0,"0,5","0,5","0,5",,,B,,,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Infusions']",,,,0 g,en faible quantité,0 g,en faible quantité,0.5 g,en faible quantité,,,,-43%,-29%,-100%,-100%,-33%,+12%,+181%,,,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,,
580,Infusion Reglisse-Menthe - Belle France,3258561050324,['Belle France'],,['France'],[],,,[],,?,0,0 kj(0 kcal),0,0,0,0,0,,,B,,,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Infusions', 'Infusions de réglisse']",,,,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,,,-100%,-100%,-100%,-100%,-100%,-100%,-100%,,,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,,
581,Infusion Detox - Belle France - 30g,3258561050393,"['Belle France', 'Le Réflexe Bio']",,['France'],[],,,[],,?,?,,?,,?,,?,,,B,,30 g,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Infusions']","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'ES-ECO-020-CV', 'Agriculture UE/Non UE']",,,,,,,,,,,,,,,,,,,,,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,,
582,Bonbons Menthe - Belle France - 360g e,3258561070032,['Belle France'],,['France'],"['Sirop de glucose ', 'dont sulfites', 'sucre', 'arôme naturel de menthe']",,['Anhydride sulfureux et sulfites'],['Sans huile de palme'],4,?,381,1594 kj(381 kcal),0,0,"95,2","60,9",0,"0,03","0,012",E,,360 g e,"['Sachet', 'Plastique']","['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons', 'Bonbons à la menthe']",['Arômes naturels'],,,0 g,en faible quantité,0 g,en faible quantité,60.9 g,en quantité élevée,0.03 g,en faible quantité,,+2%,+4%,-100%,-100%,-1%,-2%,-100%,+144%,+144%,14,+15%,D,+15%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,
583,Bonbons Tendres aux Fruits Sachet 150 g Lot de 12 - Belle France,3258561070056,['Belle France'],,['France'],"['sirop de glucose', 'sucre', 'graisse végétale totalement hydrogénée ', 'coprah', 'gélatine', 'acidifiant : acide citrique', 'arômes', ""émulsifiants : mono - et diglycérides d'acides gras"", 'lécithines de colza', 'colorants : anthocyanes', 'extrait de paprika', 'curcumine']","['E428 - Gélatine', 'E330 - Acide citrique', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E322i - Lécithine', 'E163 - Anthocyanes', 'E160c - Extrait de paprika', 'E100 - Curcumine']",,"[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",4,?,395,1653 kj(395 kcal),"6,8","6,7",81,"56,4","1,8","0,03","0,012",E,,,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",,,,6.8 g,en quantité modérée,6.7 g,en quantité élevée,56.4 g,en quantité élevée,0.03 g,en faible quantité,,+11%,+10%,+266%,+532%,-3%,-3%,-15%,-75%,-75%,20,+39%,E,+39%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,
584,bonbons tendres - Belle France - 360g,3258561070070,['Belle France'],,['France'],"['sirop de glucose', 'sucre', 'graisse végétale totalement hydrogénée ', 'coprah', 'gélatine', 'acidifiant : acide citrique', 'arômes', ""émulsifiants : mono- et diglycérides d'acides gras"", 'lécithines de colza', 'colorants : anthocyanes', 'extrait de paprika', 'curcumine,']","['E428 - Gélatine', 'E330 - Acide citrique', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E322i - Lécithine', 'E163 - Anthocyanes', 'E160c - Extrait de paprika', 'E100 - Curcumine']",,"[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",4,1672,?,1672 kj(400 kcal),"6,8","6,7",81,"56,4","1,8","< 0,03","0,012",E,,360 g,"['Sachet', 'Plastique']","['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",,,"['EMB 59599G', 'Tourcoing (Nord, France)']",6.8 g,en quantité modérée,6.7 g,en quantité élevée,56.4 g,en quantité élevée,0.03 g,en faible quantité,+8%,,+11%,+266%,+532%,-3%,-3%,-15%,-75%,-75%,20,+39%,E,+39%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,['France'],,
585,Bonbons Goût violette - Belle France,3258561070582,['Belle France'],,['France'],"['sirop de glucose', ' sucre', 'acidifiant : acide citrique', 'arôme', 'colorants : anthocyanes', 'noir brillant']","['E330 - Acide citrique', 'E163 - Anthocyanes', 'E151 - Noir brillant BN']",,"['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",4,?,385,1611 kj(385 kcal),0,0,"95,3","63,3",0,0,0,E,,,"['Sachet', 'Plastique']","['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",,,,0 g,en faible quantité,0 g,en faible quantité,63.3 g,en quantité élevée,0 g,en faible quantité,,+8%,+7%,-100%,-100%,+14%,+9%,-100%,-100%,-100%,14,-3%,D,-3%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,
586,Sac Gomme Menthol 200 B. F - Belle France - 200g,3258561070629,['Belle France'],,['France'],"['sucre', 'sirop de glucose', 'gomme arabique ', '10 %', 'gélatine de porc', ""arôme naturel d'eucalyptus"", 'arôme naturel de menthe avec autres arômes naturels', 'menthol ', '0,45 %', 'colorant : complexes cuivre-chlorophyllines']","[""E414 - Gomme d'acacia"", 'E428 - Gélatine', 'E141ii - Sels de sodium et de potassium de complexes cupriques de chlorophyllines']",,"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,?,320,1339 kj(320 kcal),"0,1","0,1",72,"55,2",8,"0,1","0,04",E,,200 g,"['Sachet', 'Plastique']","['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",,,,0.1 g,en faible quantité,0.1 g,en faible quantité,55.2 g,en quantité élevée,0.1 g,en faible quantité,,-10%,-11%,-95%,-91%,-14%,-5%,+277%,-17%,-17%,13,-10%,D,-10%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,
587,Sac Gomme Reglisse - Belle France - 200g,3258561070643,['Belle France'],,['France'],"['Sucre', 'sirop de glucose', 'amidon de blé', 'gomme arabique ', '10 %', 'gélatine de porc', 'suc de réglisse 3,1 %', 'acide lactique', 'colorant :  charbon végétal', 'arôme naturel']","[""E414 - Gomme d'acacia"", 'E428 - Gélatine', 'E270 - Acide lactique', 'E153 - Charbon végétal médicinal']",['Gluten'],"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,?,334,1397 kj(334 kcal),"0,5",0,77,48,5,0,0,E,,200 g,"['Sachet', 'Plastique']","['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons', 'Bonbons gélifiés']",,,,0.5 g,en faible quantité,0 g,en faible quantité,48 g,en quantité élevée,0 g,en faible quantité,,-3%,-3%,+25%,-100%,-4%,-17%,+36%,-100%,-100%,14,-1%,D,-1%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,
588,Gommes fruits du verger - Belle France,3258561070667,['Belle France'],,['France'],"['sucre', 'sirop de glucose', 'gomme arabique ', '10%', 'gélatine de porc', 'acide citrique', 'colorant carmins', 'arôme framboise', 'arôme citron', 'arôme pêche', 'arôme fraise des bois', 'arôme poire', 'arôme pomme', 'colorant complexes cuivre chlorophyllines', 'colorants curcumines']","[""E414 - Gomme d'acacia"", 'E428 - Gélatine', 'E330 - Acide citrique', 'E120 - Acide carminique', 'E141ii - Sels de sodium et de potassium de complexes cupriques de chlorophyllines', 'E100 - Curcumine']",,"['Non végétalien', 'Non végétarien']",4,1377,?,1377 kj(329 kcal),"0,2","< 0,1",68,45,"8,5","< 0,1","0,04",,,,"['Sachet', 'Plastique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
589,Sac Assort & Reglisse - Belle France,3258561070766,['Belle France'],,['France'],"['Sirop de glucose', 'sirop de sucre mélassé ', 'contient des sulfites', 'sucre', 'farine de blé', 'gélatine', 'amidon modifié', 'matière grasse végétale de Palme', 'acidifiants : acide citrique - acide malique', 'sel', 'poudre de lait entier', 'suc de réglisse', 'arômes', 'huile végétale de coco', 'agents d’enrobage : cire de carnauba - cire d’abeille', 'colorants : E100 - E120 - E131 - E153 - E160c - E162 - E163', 'amidon de blé']","['E428 - Gélatine', 'E14XX - Amidons modifiés', 'E330 - Acide citrique', 'E296 - Acide malique', 'E903 - Cire de carnauba', ""E901 - Cire d'abeille"", 'E100 - Curcumine', 'E120 - Acide carminique', 'E131 - Bleu patenté V', '', 'Risque modéré de sur-exposition', 'E153 - Charbon végétal médicinal', 'E160c - Extrait de paprika', 'E162 - Rouge de betterave', 'E163 - Anthocyanes']","['Gluten', 'Lait', 'Anhydride sulfureux et sulfites']","['Huile de palme', 'Non végétalien', 'Non végétarien']",4,1446,?,1446 kj(346 kcal),"0,95","0,45",78,54,"3,82","0,583","0,233",E,,,"['Sachet', 'Plastique']","['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",,,,0.95 g,en faible quantité,0.45 g,en faible quantité,54 g,en quantité élevée,0.583 g,en quantité modérée,-7%,,-4%,-49%,-58%,-6%,-7%,+80%,+382%,+382%,16,+11%,D,+11%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,
590,Sac Oeufs Au Plat 200 B. F - Belle france - 200g,3258561070773,['Belle france'],,['France'],"['Sirop de glucose', 'sucre', 'gélatine', 'amidon transformé', 'acidifiant : acide citrique', 'arômes huile végétale de coco', ""agent d'enrobage : cire de carnauba"", 'colorant : E160c', 'amidon de blé']","['E428 - Gélatine', 'E14XX - Amidons modifiés', 'E330 - Acide citrique', 'E903 - Cire de carnauba', 'E160c - Extrait de paprika']",['Gluten'],"['Non végétalien', 'Non végétarien']",4,?,330,1381 kj(330 kcal),0,0,77,59,"4,2",0,0,E,,200 g,"['Sachet', 'Plastique']","['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons', 'Bonbons gélifiés']",,,,0 g,en faible quantité,0 g,en faible quantité,59 g,en quantité élevée,0 g,en faible quantité,,-4%,-4%,-100%,-100%,-4%,+2%,+14%,-100%,-100%,14,-1%,D,-1%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,
591,Sac Langue Citrique - Belle france - 200g,3258561070872,['Belle france'],,['France'],[],,,[],,?,352,1473 kj(352 kcal),0,0,86,58,"1,9","0,054","0,022",,,200 g,"['Sachet', 'Plastique']","['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat', 'en:Bonbons gélifiés', 'en:Confiseries', 'en:Snacks sucrés']",,,,0 g,en faible quantité,0 g,en faible quantité,58 g,en quantité élevée,0.054 g,en faible quantité,,+14%,+14%,-100%,-100%,+10%,+16%,-16%,-44%,-44%,14,+9%,D,+9%,,,,,,,,,,
592,Les bananes - Belle France - 200g,3258561070926,['Belle France'],,['France'],"['sucre', 'sirop de glucose', 'gélatine', 'acidifiant : acide citrique', 'arôme', 'colorant : E100', 'amidon de blé']","['E428 - Gélatine', 'E330 - Acide citrique', 'E100 - Curcumine']",,"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,?,343,1435 kj(343 kcal),0,0,82,78,"2,8",0,0,E,Confiserie Gélifie aromatisé,200 g,['Plastique'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons', 'Bonbons gélifiés']",,,,0 g,en faible quantité,0 g,en faible quantité,78 g,en quantité élevée,0 g,en faible quantité,,-0%,-0%,-100%,-100%,+2%,+35%,-24%,-100%,-100%,14,-1%,D,-1%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,
593,Tapioca - Belle France - 250g,3258561100111,['Belle France'],,['France'],[],,,[],,?,358,1498 kj(358 kcal),"0,02","0,01","88,7",0,"0,2",0,0,,,250 g,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'en:raw-tapioca']",,,,0.02 g,en faible quantité,0.01 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,+5%,+3%,-14%,-40%,+5%,-100%,+140%,-100%,-100%,-1,,A,,,,,,,,,,,
594,Tapioca - Belle France - 250g,3258561100128,['Belle France'],,['France'],['fécule de manioc'],,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,1488,350,1488 kj(350 kcal),"0,02",0,88,0,"0,2","0,01","0,004",,,250 g,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'en:raw-tapioca']",,,,0.02 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0.01 g,en faible quantité,,+3%,+3%,-14%,-100%,+4%,-100%,+140%,+26%,+26%,-1,,A,,,,,,,,,,,
595,Purée au Lait - Belle France - 375g (3 * 125g),3258561100340,['Belle France'],,['France'],"['Pommes de terre déshydratées 89 %', 'lait entier en poudre 10 %', 'émulsifiant E471', 'stabilisant : E450i colorant: E100', 'antioxydants : E300 et extrait de romarin', 'acidifiant: E330']","[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E450i - Pyrophosphate de sodium acide', 'E100 - Curcumine', 'E300 - Acide ascorbique', 'E392 - Extrait de romarin', 'E330 - Acide citrique']",['Lait'],"[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",4,?,371,1552 kj(371 kcal),"2,6","1,8",75,"3,7","8,5","0,25","0,1",B,Pommes de terre en flocons au lait.,375 g (3 * 125 g),"['Carton', 'boîte', 'Sachet', 'Plastique']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Plats préparés', 'Produits déshydratés', 'Produits lyophilisés à reconstituer', 'Préparations à base de pommes de terre', 'Purées', 'Purées de pommes de terre', 'Purées de pommes de terre en flocons']",,,,,,,,,,,,,+18%,+18%,+62%,+94%,+19%,+40%,+21%,-63%,-63%,,,,,59.9%,18.8%,8.6%,5.6%,5.0%,2.0%,90,,,
596,Purée Crème et Noix de Muscade - Belle France - 375g (3 * 125g e),3258561100371,['Belle France'],,['France'],[],,,[],,?,368,1540 kj(368 kcal),"1,6","1,1",77,"3,7","7,7","1,75","0,7",B,,375 g (3 * 125 g e),,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Plats préparés', 'Produits déshydratés', 'Produits lyophilisés à reconstituer', 'Préparations à base de pommes de terre', 'Purées', 'Purées de pommes de terre', 'Purées de pommes de terre en flocons']",,,,,,,,,,,,,+17%,+17%,0%,+18%,+22%,+40%,+10%,+162%,+162%,,,,,59.9%,18.8%,8.6%,5.6%,5.0%,2.0%,90,,,
597,Boulgour - Belle France - 500g,3258561100517,['Belle France'],,['France'],"[""boulgour issu de l'agriculture biologique""]",,['Gluten'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,?,0,0 kj(0 kcal),"1,71","0,27","66,8","0,41","12,4","0,04","0,016",B,,500 g,"['Sachet', 'Plastique']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Gruau', 'Gruau de blé', 'Boulghours']","['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,1.71 g,en faible quantité,0.27 g,en faible quantité,0.41 g,en faible quantité,0.04 g,en faible quantité,,-100%,-100%,-42%,-44%,+23%,-78%,+18%,-83%,-83%,-5,,A,,68.4%,0.0%,15.2%,7.8%,8.6%,0.0%,95,,,
598,Blé précuit - Belle France,3258561100548,['Belle France'],,['France'],['blé dur précuit'],,['Gluten'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,?,350,1464 kj(350 kcal),"1,2","0,2",70,"1,4","12,1","0,1","0,04",,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Blés', 'Blés durs']",,,,1.2 g,en faible quantité,0.2 g,en faible quantité,1.4 g,en faible quantité,0.1 g,en faible quantité,,+4%,+2%,-41%,-52%,+9%,-14%,-3%,+329%,+329%,-1,,A,,,,,,,,,,,
599,Rélfexe Bio - Torsade - Belle France - 500g,3258561109022,['Belle France'],['Coccinelle'],['France'],"['semoule de blé dur ', 'gluten', ' de qualité supérieure']",,"['Œufs', 'Gluten']","['Sans huile de palme', 'Végétalien', 'Végétarien']",4,1516,358,1516 kj(358 kcal),"1,5","0,3",73,3,"11,5","0,02","0,008",,,500 g,"['Sachet', 'Plastique']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Pâtes de blé dur', 'Torsades', 'Fusilli de blé dur']","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'IT-BIO-009', 'Qualité supérieure']",,"['EMB 92012X', 'Boulogne-Billancourt (Hauts-de-Seine, France)']",1.5 g,en faible quantité,0.3 g,en faible quantité,3 g,en faible quantité,0.02 g,en faible quantité,+9%,+1%,+2%,-7%,-7%,+10%,+6%,-7%,+85%,+85%,-4,,A,,,,,,,,,,,
600,Coquillettes bio - Belle France - 500g,3258561109046,['Belle France'],,['France'],[],,,[],,?,358,1498 kj(358 kcal),"1,5","0,3",73,3,"11,5","0,02","0,008",,,500 g,"['Sachet', 'Plastique']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Coquillettes']","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'IT-BIO-009']",,,1.5 g,en faible quantité,0.3 g,en faible quantité,3 g,en faible quantité,0.02 g,en faible quantité,,+1%,-0%,-19%,-22%,+3%,-4%,-3%,-3%,-3%,-1,,A,,,,,,,,,,,
601,Spaghetti Qualité Supérieure - Belle France - 1kg,3258561110301,['Belle France'],,['France'],"['Pâtes alimentaires de qualité supérieure Ingrédient : 100 % semoule de blé dur de qualité supérieure', ' Contient du gluten', 'Fabriqué dons un atelier qui utilise des œufs']",,['Gluten'],[],1,1516,?,1516 kj(362 kcal),"1,5","0,3",73,3,"11,5","0,02","0,008",C,,1 kg,"['Sachet', 'Plastique']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Pâtes sèches', 'Pâtes de blé dur', 'Spaghetti', 'Spaghettis de blé dur']",,,,1.5 g,en faible quantité,0.3 g,en faible quantité,3 g,en faible quantité,0.02 g,en faible quantité,+1%,,+2%,-12%,-11%,+4%,-9%,-6%,+22%,+22%,-1,,A,,65.0%,21.6%,6.8%,3.5%,3.1%,0.0%,74,,,
602,Torsades Qualité supérieure - Belle France - 1kg,3258561110431,"['Belle France', 'Francap Distribution']",['Leclerc'],['France'],['100 % semoule de blé dur de qualité supérieure'],,['Gluten'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,1516,?,1516 kj(362 kcal),"1,5","0,3",73,3,"11,5","0,02","0,008",C,Pâtes alimentaires au blé dur de qualité supérieure,1 kg,['Sachet plastique à jeter'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Pâtes sèches', 'Pâtes de blé dur', 'Torsades']","['Point Vert', 'Fabriqué en Italie', 'Eco-Emballages']",,"['EMB 92012X', 'Boulogne-Billancourt (Hauts-de-Seine, France)']",1.5 g,en faible quantité,0.3 g,en faible quantité,3 g,en faible quantité,0.02 g,en faible quantité,+1%,,+2%,-23%,-28%,+7%,+8%,-7%,-24%,-24%,-1,,A,,65.0%,21.6%,6.8%,3.5%,3.1%,0.0%,74,"[""Pastificio Mediterranea Srl - Via Lerma 68 - 15060 Silvano d'Orba"", '(AL : Alexandrie)', 'Piémont', 'Italie']",,
603,Gansettes qualité spérieure - Belle France - 500g,3258561110523,['Belle France'],,['France'],['100 % semoule de blé dur de qualité supérieure'],,['Gluten'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,1516,357,1516 kj(357 kcal),"1,5","0,3",73,3,"11,5","0,02","0,008",C,Pâtes alimentaires de qualité supérieure,500 g,"['Sachet', 'Plastique']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Pâtes sèches']",,,"['EMB 92012X', 'Boulogne-Billancourt (Hauts-de-Seine, France)']",1.5 g,en faible quantité,0.3 g,en faible quantité,3 g,en faible quantité,0.02 g,en faible quantité,+0%,+0%,+1%,-25%,-32%,+5%,-4%,-8%,-27%,-27%,-1,,A,,65.0%,21.6%,6.8%,3.5%,3.1%,0.0%,74,['Italie'],,
604,Spaghetti qualité supérieure 3 min. - Belle France - 500g,3258561110738,['Belle France'],,['France'],['100% Semoule de blé dur de qualité supérieure'],,['Gluten'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,1516,?,1516 kj(362 kcal),"1,5","0,3",73,3,"11,5","0,02","0,008",C,,500 g,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Pâtes sèches', 'Pâtes de blé dur', 'Spaghetti', 'Spaghettis de blé dur']",,,,1.5 g,en faible quantité,0.3 g,en faible quantité,3 g,en faible quantité,0.02 g,en faible quantité,+1%,,+2%,-12%,-11%,+4%,-9%,-6%,+22%,+22%,-1,,A,,65.0%,21.6%,6.8%,3.5%,3.1%,0.0%,74,,,
605,Coquillettes Qualité Supérieure - Belle France - 500g,3258561110769,['Belle France'],,['France'],['100% semoule de blé dur de qualité supérieure'],,['Gluten'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,?,357,1494 kj(357 kcal),"1,5","0,3",73,3,"11,5","0,025","0,01",C,,500 g,"['Sachet', 'Plastique']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Pâtes sèches', 'Pâtes de blé dur', 'Coquillettes', 'Coquillettes de blé dur']",,,,1.5 g,en faible quantité,0.3 g,en faible quantité,3 g,en faible quantité,0.025 g,en faible quantité,,+0%,-0%,-14%,-11%,+2%,-7%,-4%,+127%,+127%,-1,,A,,65.0%,21.6%,6.8%,3.5%,3.1%,0.0%,74,,,
606,Riz Long Grain Étuvé - Belle France - 500g,3258561120270,['Belle France'],,['France'],[],,,[],,1509,?,1509 kj(361 kcal),"0,8","0,2",79,"0,3","7,3","0,015","0,006",B,,500 g,"['Boîte', 'Carton']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Riz', 'Riz long grain']",,,,0.8 g,en faible quantité,0.2 g,en faible quantité,0.3 g,en faible quantité,0.015 g,en faible quantité,+3%,,+6%,-25%,-16%,+8%,+4%,-0%,-21%,-21%,-1,,A,,79.0%,0.0%,6.4%,11.0%,3.6%,0.0%,74,,,
607,Riz Long Grain - Belle France - 5 * 200g (1kg),3258561120331,['Belle France'],,['France'],['100 % riz long grain'],,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,?,349,1460 kj(349 kcal),"0,6","0,2","78,2","0,3","6,9",,,C,,5 * 200 g (1 kg),"['Carton', 'boîte', 'Plastique']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Riz', 'Riz long grain', 'Riz étuvé']",['Qualité supérieure'],,,0.6 g,en faible quantité,0.2 g,en faible quantité,0.3 g,en faible quantité,,,,+4%,+1%,-32%,+19%,+3%,+8%,-2%,,,,,,,79.0%,0.0%,6.4%,11.0%,3.6%,0.0%,74,,,
608,4X125g Riz Basmati - Belle France - 500g (4 * 125g),3258561120430,['Belle France'],,['France'],['100% riz long Basmati de qualité supérieure'],,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,?,350,1464 kj(350 kcal),"0,6","0,1",78,"0,3","7,4","0,01","0,004",C,,500 g (4 * 125 g),,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Riz', 'Riz parfumés', 'Riz de variété indica', 'Riz long grain', 'Riz blanc', 'Riz Basmati', 'Riz Basmati blancs']",,,,0.6 g,en faible quantité,0.1 g,en faible quantité,0.3 g,en faible quantité,0.01 g,en faible quantité,,+10%,+8%,-37%,-50%,+15%,+40%,-3%,-74%,-74%,-1,,A,,79.0%,0.0%,6.4%,11.0%,3.6%,0.0%,74,,,
609,Lentilles Blondes - Belle France - 500g e,3258561120621,['Belle France'],,['France'],['Lentilles blondes'],,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,?,343,1435 kj(343 kcal),"1,06","0,16","29,58","2,03","25,8","0,02","0,008",B,,500 g e,"['Carton', 'boîte', 'Plastique']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Légumineuses', 'Graines', 'Graines de légumineuses', 'Légumes secs', 'Lentilles', 'Lentilles blondes']",,,,1.06 g,en faible quantité,0.16 g,en faible quantité,2.03 g,en faible quantité,0.02 g,en faible quantité,,+6%,+6%,-29%,-34%,-33%,+31%,+6%,-14%,-14%,-6,,A,,57.6%,0.0%,16.2%,14.1%,4.5%,7.6%,99,,,
