,name,bar_code,brand,markets,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,generic_name,quantity,packaging,categories,additives,allergens,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,ingredients_origins,manufacturing,traceability_code,palm_ingredients,link,producer_info,brand_owner
337,Duo De Flocons Avoine & Sarrasin Bio - 400 G - Ma Vie Sans Gluten - 400g,3380380074301,['Ma vie sans gluten'],,['France'],"[""flocons d'avoine* "", '70%', 'flocons de sarrasin* ', '30%', "" *issus de l'agriculture biologique"", ' Source de fibres et de protéines']",[],1521,361,1521 kj(361 kcal),"6,5","1,3","56,6","1,3","14,6","0,3","0,12",B,Flocons d'avoine et de sarrasin,400g,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner']",,,1,6.5 g,en quantité modérée,1.3 g,en faible quantité,1.3 g,en faible quantité,0.3 g,en quantité modérée,-11%,-10%,-9%,-25%,-41%,-15%,-92%,+56%,-16%,-16%,-4,-174%,A,-174%,74.0%,13.1%,5.1%,5.5%,2.3%,0.0%,60,"['Bio', 'Bio européen', 'en:gluten-free', 'Agriculture UE', 'FR-BIO-01', 'Fabriqué en France']",,['France'],,,,,
338,Primeal Sauce Tomate Basilic - 200g,3380380078408,['Primeal'],,['France'],"['tomates* 80% ', 'purée de tomates mi-réduites*', 'tomates* concassées', 'oignons*', 'basilic* 1,4%', 'sel marin', 'ail*', 'sucre de canne roux*', ""huile d'olive vierge extra*"", 'huile de tournesol*', 'poivre noir*', "" *issus de l'agriculture biologique""]","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,52,218 kj(52 kcal),"1,7","0,4","6,2","5,6","1,6","1,17","0,468",,,200 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-01', 'Fabriqué en France']",,['France'],,,,,
339,Tartinable Cantal myrtilles - Les Bons Mets Bio - 90g,3382564329610,['Les Bons Mets Bio'],['Intermarché'],['France'],"['Crème fraîche* ', 'lait', 'Cantal* ', '25%', 'Lait', 'eau', 'flocon de pomme de terre* ', 'pomme de terre* extrait de romarin*', 'myrtilles* ', '4,25%', 'sel', 'poivre*', "" *Issus de l'agriculture biologique"", ' Sans colorant ni conservateur ajouté']",['Non végétalien'],?,243,1017 kj(243 kcal),21,14,"5,9","0,8","7,2","1,1","0,44",B,Spécialité à base de Cantal et myrtilles,90 g,['Verre'],"['Produits laitiers', 'Produits fermentés', 'Produits à tartiner', 'Produits laitiers fermentés', 'Produits à tartiner salés', 'Fromages']",,['Lait'],3,21 g,en quantité élevée,14 g,en quantité élevée,0.8 g,en faible quantité,1.1 g,en quantité modérée,,-18%,-17%,-20%,+81%,+68%,-37%,-18%,-17%,-17%,13,+4%,D,+4%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,"['Bio', 'Bio européen', 'FR-BIO-16', 'Fabriqué en France', 'Sans colorants', 'Sans conservateurs', 'Sans colorant ni conserateur ajouté']",,,"['FR 32.147.024 CE', 'Gimont (Gers, France)']",,,,
340,Cidre fermier lebrun - Le Brun - 75cl,3383790040003,['Le Brun'],['Magasins U'],['France'],[],[],?,?,,?,,?,,?,,,D,,75cl,,"['Boissons', 'Boissons alcoolisées', 'Cidres']",,,,,,,,,,,,,,,,,,,,,,,,,,31.6%,5.6%,37.9%,16.7%,6.5%,1.8%,53,,,,,,,,
341,Dalfour Himbeer-fruchtaufstrich - St.dalfour - 284g,3388600000116,['St.dalfour'],,"['France', 'Suisse']","['Framboises 51%', 'jus de fruits concentrés ', 'raisin', 'datte', ' 48', '6%', 'gélifiant: pectine']","['Sans huile de palme', 'Végétalien', 'Végétarien']",232,?,232 kj(55 kcal),"0,8","0,01",56,"50,5","0,5","0,02","0,008",D,,284 g,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Produits à tartiner', 'Snacks sucrés', 'Petit-déjeuners', 'Confiseries', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confiseries de France']",['E440 - Pectines'],,4,0.8 g,en faible quantité,0.01 g,en faible quantité,50.5 g,en quantité élevée,0.02 g,en faible quantité,-87%,,-88%,-95%,-99%,-17%,-11%,-93%,-60%,-60%,9,-43%,C,-43%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,"['Sans colorants', 'Sans conservateurs']",,,,,,,
342,750G CRUNCHY CHOCOLADE CRUNCHY 35% NOISETTE - Jean herve - 750g,3390390001860,['Jean herve'],,['France'],"['tD!ENTtN: Hazelnoten* 55 - e kpeAer•', 'Palmvett', 'I Ille extract*', 'Zeezout']",[],?,592,2477 kj(592 kcal),"43,3",12,"36,2","30,5","11,8","0,17","0,068",,,750 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture UE/Non UE', 'FR-BIO-01', 'Fabriqué en France']",,,,,,,
343,Chips craquantes saveur moutarde & miel - Sibell - 120g,3396111000426,['Sibell'],,['France'],"['Pomme de terre ', '57,8 %', 'huile de tournesol ', '35 %', 'assaisonnement saveur moutarde et miel [farine de blé', 'poudre de miel ', 'miel', 'maltodextrine', 'sel', 'arômes', 'lactose', 'moutarde', 'poivre noir', 'exhausteur de goût : glutamate monosodique', ""correcteur d'acidité : diacétate de sodium"", ""poudre d'oignon"", ""extrait d'épices]"", 'sel']",['Non végétalien'],?,550,2301 kj(550 kcal),10,"3,1",52,"0,1","5,5","1,9","0,76",B,,120 g,"['Sachet', 'Plastique']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Céréales et pommes de terre', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de pommes de terre', 'Chips de pommes de terre aromatisées', ""Chips de pommes de terre à l'huile de tournesol"", 'Chips à la moutarde']","['E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E262ii - Diacétate de sodium']","['Gluten', 'Lait', 'Moutarde']",4,10 g,en quantité modérée,3.1 g,en quantité modérée,0.1 g,en faible quantité,1.9 g,en quantité élevée,,+1%,+1%,-70%,+3%,+4%,-95%,-6%,+23%,+23%,13,+6%,D,+6%,62.4%,19.7%,7.4%,7.2%,3.4%,0.0%,78,"['Sans colorants', 'Sans conservateurs']",,['France'],,,,,
344,Chocolat noir cranberries - Bonneterre - 100g,3396410024154,['Bonneterre'],,['France'],[],[],?,525,2197 kj(525 kcal),33,20,46,44,6,0,0,D,,100 g,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs']",,,,33 g,en quantité élevée,20 g,en quantité élevée,44 g,en quantité élevée,0 g,en faible quantité,,-6%,-5%,-16%,-13%,+19%,+39%,-22%,-100%,-100%,25,+18%,E,+18%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01']",,,,,,,
345,Levure de biere paillette - Bonne Forme,3396410025496,"['Bonne Forme', 'Entremont']",,['France'],['LEVURE DE BIÈRE EN PAILLETTES INGREDIENT : 100% LEVURE DE BIÈRE'],[],?,331,1385 kj(331 kcal),5,"1,7",9,8,49,"0,5","0,2",C,,,,"['Additifs alimentaires', 'Levures de bière']",,,1,5 g,en quantité modérée,1.7 g,en quantité modérée,8 g,en quantité modérée,0.5 g,en quantité modérée,,+74%,+78%,+79%,+119%,-27%,+238%,+92%,+116%,+116%,,,,,35.8%,54.7%,4.4%,2.7%,2.4%,0.0%,60,['Bio'],,,,,,,
346,Lait riz amarante - Bonneterre - 1L,3396411216541,['Bonneterre'],['cote nature'],['France'],"['eau', 'riz 10%', 'amarante 6%', 'huile de tournesol pressée à froid', 'extrait naturel de vanille bourbon 0', '3%', 'sel marin']","['Sans huile de palme', 'Végétalien', 'Végétarien']",231,?,231 kj(55 kcal),"1,3","0,2","10,4","6,2","0,5","0,03","0,012",D,Boisson biologique à base de riz et d'amarante stérilisée UHT,1 L,['Brique'],"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Boissons à base de végétaux', 'Substitut du lait', 'Boissons végétales', 'Boissons végétales de céréales', 'Boissons au riz', ""Boissons à l'amarante"", 'Boissons végétales de riz nature']",,,3,1.3 g,en faible quantité,0.2 g,en faible quantité,6.2 g,en quantité modérée,0.03 g,en faible quantité,-4%,,-6%,+16%,-0%,-7%,+15%,+64%,-68%,-68%,1,+20%,B,+20%,82.5%,2.9%,5.0%,5.8%,2.9%,0.8%,27,"['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique']",,,,,,,
347,Infusion bio réglisse menthe fenouil - Pages,3398984220062,['Pages'],,['France'],[],[],?,1,4 kj(1 kcal),0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,
348,Feta & Basilic - Père Olive - 150g,3399130018557,['Père Olive'],['super u'],['France'],"['Olives vertes dénoyautées ', 'Grèce', ' 81,6%', 'feta AOP 11,4%', 'ail', 'huile de tournesol', 'basilic,sel']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",?,185,774 kj(185 kcal),17,"4,2","3,3","2,1",3,"2,4","0,96",,Olives dénoyautées et feta,150g,['Produit'],,,"['Lait', 'Levures']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349,Riz - Alternative végétale à base de protéines de riz - NOVALAC - 800g,3401294929966,['NOVALAC'],,['France'],"['Maltodextrines', 'huiles végétales ', 'palme', 'colza', 'tournesol', 'coprah', 'hydrolysat de protéines de riz', 'amidon de mais', 'émulsifiant ', 'esters citriques de mono et diglycérides', 'citrate tripotassique', 'chlorure de calcium', 'phosphate monocalcique phosphate tricalcique', 'L-lysine', 'sulfate de magnésium', 'vitamines ', 'A', 'B1', 'B12,B2', 'B 6', 'C', 'D3', 'E', 'K1', 'acide folique', 'acide pantothénique', 'biotine', 'niacine', 'L-tryptophane', 'bitartrate de choline', 'L-cystine', 'citrate trisodique', 'pyrophosphate de fer', 'taurine', 'inositol', 'nucléotides ', 'CMP', 'UMP', 'AMP', 'GMP', 'IMP', 'sulfate de zinc', 'L-carnitine', 'antioxydants ', 'extrait riche en tocophérols', 'sélénite de sodium', 'iodure de potassium', 'sulfate de cuivre,citrate tricalcique', 'sulfate de manganèse']","['Huile de palme', 'Non végétalien']",?,504.2,2110 kj(504 kcal),"25,5","11,7",55,0,"13,4","0,52","0,208",B,,800g,,"['Aliments pour bébé', 'Laits pour bébé']","['E331iii - Citrate trisodique', 'E452i - Polyphosphate de sodium', 'E306 - Extrait riche en tocophérols']",,4,,,,,,,,,,+116%,+124%,+157%,+260%,+107%,-100%,+180%,+191%,+191%,,,,,71.8%,1.0%,10.1%,9.4%,6.0%,1.7%,94,['Entrepreneurs + Engagés'],,,,['Huile de palme'],,,
350,Phytoprevent Phytostandard Cassis Et Plantain 30 Comprimes,3401521255042,,,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351,Cinq sur cinq -,3401560038934,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,"['Non alimentaire', 'Open Beauty Facts']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352,Netto Pate a Tartiner Aux Noisettes - 400g,3410280005577,['Netto'],['Netto'],['France'],"['Sucre', 'huiles végétales ', 'palme et colza', 'noisettes ', '13%', 'cacao maigre en poudre ', '7%', 'lait écrémé en poudre', 'lactosérum en poudre', 'lactose', 'émulsifiant : lécithine de tournesol', 'arôme naturel de vanille']","['Huile de palme', 'Non végétalien', 'Peut-être végétarien']",?,536,2243 kj(536 kcal),"29,8","10,3",60,"59,4","5,2","0,11","0,044",E,Pâte à tartiner aux noisettes et au cacao maigre,400 g,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés', 'Pâtes à tartiner', 'Pâtes à tartiner aux noisettes', 'Pâtes à tartiner au chocolat', 'Pâtes à tartiner aux noisettes et au cacao']",['E322i - Lécithine'],"['Lait', 'Fruits à coque']",4,29.8 g,en quantité élevée,10.3 g,en quantité élevée,59.4 g,en quantité élevée,0.11 g,en faible quantité,,-2%,-2%,-13%,+34%,+17%,+25%,-24%,+7%,+7%,26,+26%,E,+26%,82.7%,11.5%,2.8%,2.4%,0.6%,0.0%,40,,,,,['Huile de palme'],,,
353,Riz Long - Top Budget - 1000g,3410280010762,['Top Budget'],['Intermarché'],"['France', 'Suisse']",['Riz long'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",1483,?,1483 kj(354 kcal),"0,7","0,1","78,3",0,"7,3",0,0,C,,1000 g,"['Sachet', 'Plastique']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Riz', 'Riz long grain']",,['Gluten'],1,0.7 g,en faible quantité,0.1 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,+2%,,+4%,-34%,-58%,+7%,-100%,-0%,-100%,-100%,0,,B,,79.0%,0.0%,6.4%,11.0%,3.6%,0.0%,74,['Point Vert'],,,"['EMB 07055', 'Charmes-sur-Rhône (Ardèche, France)']",,,,
354,Ananas En Morceaux Au Sirop Léger Top Budget - Poids net : 560g égoutté : 340g,3410280023069,['Top Budget'],,['France'],"['ananas', 'eau', 'sucre', 'acidifiant : acide citrique']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,73,305 kj(73 kcal),"0,5","0,1",18,16,"0,5",0,0,A,Homhual Foods Industry Co,Poids net : 560 g égoutté : 340 g,['Conserve'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Desserts', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Fruits et produits dérivés', 'Fruits en conserve', 'Fruits au sirop', 'Ananas au sirop']",['E330 - Acide citrique'],,3,0.5 g,en faible quantité,0.1 g,en faible quantité,16 g,en quantité élevée,0 g,en faible quantité,,+14%,+13%,+154%,+273%,+18%,+12%,+28%,-100%,-100%,-2,,A,,21.7%,37.3%,15.4%,18.3%,7.3%,0.0%,95,,['Thaïlande'],,,,,,
355,Chocolat de ménage lait céréales croustillantes - Top budget - 4x 100gr (400gr),3410280023281,['Top budget'],,['France'],[],[],?,426,1782 kj(426 kcal),19,12,55,55,"7,8","0,5","0,2",E,,4 x 100 gr (400gr),,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats au lait', 'Chocolats aux céréales', 'en:cereal-milk-chocolates']",,,,19 g,en quantité modérée,12 g,en quantité élevée,55 g,en quantité élevée,0.5 g,en quantité modérée,,-19%,-19%,-35%,-33%,-3%,+13%,+7%,+30%,+30%,27,+3%,E,+3%,84.1%,11.8%,1.2%,2.5%,0.4%,0.0%,24,,,,,,,,
356,T.budget Miettes De Crabe - Top budget,3410280023557,['Top budget'],['Intermarché'],['France'],[],[],?,55,230 kj(55 kcal),"0,8","0,2","0,7","0,7","11,2","2,7","1,08",,,,,"['Produits de la mer', 'Crustacés', 'Crabes']",,,,0.8 g,en faible quantité,0.2 g,en faible quantité,0.7 g,en faible quantité,2.7 g,en quantité élevée,,-49%,-44%,-64%,-65%,-87%,-48%,-6%,+108%,+108%,5,+245%,C,+245%,,,,,,,,,,,,,,,
357,L'emlental français rapé,3412290014389,,['Magasins U'],['France'],[],[],?,377,1577 kj(377 kcal),29,20,2,2,27,"0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358,Yt Sensation Coco ANANAS2 - Ferme collet,3413160001867,['Ferme collet'],,['France'],[],[],?,109,456 kj(109 kcal),"3,5","2,5",15,15,"3,8","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359,Natte a la crème pâtissière et aux pépites de chocolat -  - 400g,3413910092909,,,['France'],"['Crème pâtissière 35% ', 'eau', 'sucre', 'blanc d’œuf frais', 'amidon transformé', 'poudre de lait entier', 'lactosérum en poudre', 'arômes naturels', 'maltodextrine', 'épaississant ', 'E415', 'colorant ', 'béta carotène', 'farine de blé', 'pépites de chocolat 8% ', 'sucre', 'pâte de cacao', 'beurre de cacao', 'arôme naturel de vanille', 'lécithine de tournesol', 'œufs entiers frais', 'huiles et matières grasses végétales ', 'palme', 'colza', 'sirop de sucre inverti', 'sucre', ""blanc d'œuf frais"", 'levure', 'beurre concentré', 'gluten de blé', 'sel', 'arôme naturel ', 'contient alcool', 'poudre de lait écrémé', 'arôme épaississant ', 'farine de caroube', 'émulsifiants ', 'E471', 'E472e', 'E481', 'protéines de lait', 'conservateur ', 'propionate de calcium', 'levure désactivée', 'colorant ', 'béta carotène']","['Huile de palme', 'Non végétalien']",1215,289,1215 kj(289 kcal),"9,1","4,8",44,20,"6,6","0,7","0,28",,,400 g,,,"['E14XX - Amidons modifiés', 'E415 - Gomme xanthane', 'E160ai - Bêta-carotène', 'E322i - Lécithine', 'E410 - Gomme de caroube', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", ""E472e - Ester Monoacéthyltartrique de mono- et diglycérides d'acides gras"", 'E481 - Stéaroyl-2-lactylate de sodium', '', 'Risque élevé de sur-exposition', 'E282 - Propionate de calcium']","['Œufs', 'Gluten', 'Lait']",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360,Pot Crème Glacée vanilla - Häagen-Dazs - 560g,3415580503518,['Häagen-Dazs'],"['Auchan', 'Géant Casino']",['France'],"['Crème fraîche ', '39%', 'lait écrémé concentré', 'sucre', ""jaune d'œuf"", 'extrait de vanille']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,251,1050 kj(251 kcal),17,"10,4",20,"18,8","4,3","0,175","0,07",B,Crème glacée à la vanille,560 g,"['Pot', 'Carton', 'surgelé', 'Couvercle plastique']","['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces', 'Crèmes glacées en pot', 'Glaces à la vanille']",,"['Œufs', 'Lait']",3,17 g,en quantité modérée,10.4 g,en quantité élevée,18.8 g,en quantité élevée,0.175 g,en faible quantité,,+21%,+20%,+67%,+55%,-22%,-12%,+36%,+30%,+30%,17,+43%,D,+43%,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,"['en:gluten-free', 'Sans arômes artificiels', 'Fabriqué en France', 'Sans colorants']",,['France'],"['FR 62.817.030 CE', 'Tilloy-lès-Mofflaines (Pas-de-Calais, France)']",,,,
361,Crème glacée au yaourt et morceaux de fraises - Haagen Dazs,3415587122118,['Haagen Dazs'],['Magasins U'],['France'],"['yaourt ', '26%', 'lait écrémé', 'sirop de glucose déshydraté', ""jaune d'oeuf"", 'jus de citron concentré', 'gélifiant : pectine']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,189,791 kj(189 kcal),"8,1","5,3","24,8","22,5",4,"0,2","0,08",B,,,,"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces', 'Crèmes glacées en pot']",['E440 - Pectines'],"['Œufs', 'Lait']",4,8.1 g,en quantité modérée,5.3 g,en quantité élevée,22.5 g,en quantité élevée,0.2 g,en faible quantité,,-14%,-14%,-26%,-23%,-5%,+0%,+20%,+32%,+32%,11,-13%,D,-13%,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,['Ne pas recongeler'],,,,,,,
362,Asperges des sables des Landes - Priméale - 500g,3420820014280,['Priméale'],['Super U'],['France'],['Asperges'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",84,?,84 kj(20 kcal),"0,12","0,04","3,88","1,88","2,2","0,005","0,002",B,Asperges violettes,500 g,['Sachet plastique'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Frais', 'Légumes tiges', 'Asperges', 'Aliments à base de plantes frais', 'Légumes frais', 'Légumes français', 'Asperges violettes', 'Asperge des sables des Landes', 'Asperges IGP', 'Asperges françaises', 'Asperges françaises IGP', 'Légumes IGP', 'Légumes labellisés', 'Produits IGP', 'Produits labellisés']",,,1,0.12 g,en faible quantité,0.04 g,en faible quantité,1.88 g,en faible quantité,0.005 g,en faible quantité,-90%,,-90%,-99%,-96%,-72%,+108%,-70%,-100%,-100%,-6,,A,,63.9%,17.1%,7.8%,4.4%,4.6%,2.3%,58,['IGP'],"['France', 'Landes', 'Sables des Landes']",['France'],,,,,
363,Terrine De Figatelli Acqua.corse 95G - Charles Antona - 100g,3425470108044,['Charles Antona'],,['France'],"['Gras de porc', 'figatelli ', 'gorge de porc', 'foie de porc', 'viande de porc', 'sel', 'poivre', 'sucre', 'dextrose', 'antioxygène: E316', 'ail', 'vin blanc', 'foie de volaille', 'viande de porc', 'oignons', 'eaudevie de vin 3,7%', 'fécule de pomme de terre', 'sel', 'poivre', 'épices et plantes aromatiques', ' Origine : France', 'pour les viandes de porc et de volaille', ' Fabriqué dans un atelier utilisant fruits à coques et lait', ' Sans colorant', ' Senlir frais', 'Aconsommer de préférence avant fin : voir capsule']","['Non végétalien', 'Non végétarien']",?,348,1456 kj(348 kcal),32,15,"2,2","0,8",13,"1,8","0,72",,,100 g,,,['E316 - Érythorbate de sodium'],,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Sans colorants'],,,,,,,
364,Figues moelleuses - Le Temps Des Saisons,3427290002274,['Le Temps Des Saisons'],,['France'],"['figues sèche} - eau - conservateur: acide sorbique ', '200', "" Traces d'arachides et d'qutres fruits à coque""]",[],?,229,958 kj(229 kcal),1,"0,1",45,36,"3,6","0,1","0,04",B,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Figues', 'Figues moelleuses']","['E200 - Acide sorbique', '', 'Risque élevé de sur-exposition']",,3,1 g,en faible quantité,0.1 g,en faible quantité,36 g,en quantité élevée,0.1 g,en faible quantité,,-11%,-12%,-30%,-63%,-18%,-18%,+12%,-36%,-36%,-3,-218%,A,-218%,85.7%,0.0%,0.0%,6.9%,5.6%,1.8%,86,,,,"['EMB 47323C', 'Villeneuve-sur-Lot (Lot-et-Garonne, France)']",,,,
365,Tartimalin Doux - President Professionnel - 1kg,3428200302392,"['President Professionnel', 'President']",,['France'],[],[],?,380,1590 kj(380 kcal),40,27,5,0,0,"0,6","0,24",E,,1 kg,['Plastique'],"['Produits laitiers', 'Matières grasses', 'Produits à tartiner', 'Matières grasses à tartiner', 'Matières grasses animales', 'Matière grasse laitière', 'Produits laitiers à tartiner', 'Beurres', 'Beurres allégés']",,,,40 g,en quantité élevée,27 g,en quantité élevée,0 g,en faible quantité,0.6 g,en quantité modérée,,-14%,-12%,-14%,-10%,+90%,-100%,-100%,-35%,-35%,16,-9%,D,-9%,91.6%,4.9%,1.3%,1.2%,0.8%,0.2%,27,,,,"['FR 35.239.005 CE', 'Retiers (Ille-et-Vilaine, France)']",,,,
366,Chocolat Gourmand - Lactel - 1L,3428272150013,['Lactel'],,['France'],"['Lait demi-écréme* ', '89 %', 'chocolat en poudre* ', '6,8 %', ' ', 'sucre*', 'cacao*', 'sucre*', 'amidon de riz*', 'arôme naturel', 'stabilisant : carraghénanes', "" *Issu de l'agriculture biologique""]","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",364,?,364 kj(87 kcal),"1,9","1,2","13,4","11,5","3,6","0,1","0,04",B,Boisson lactée au chocolat.,1 L,"['Bouteille', 'Plastique']","['Boissons', 'Produits laitiers', 'Boissons lactées', 'Laits aromatisés', 'Laits aromatisés au chocolat', 'Boissons avec sucre ajouté']","['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']",['Lait'],4,1.9 g,en quantité modérée,1.2 g,en quantité modérée,11.5 g,en quantité élevée,0.1 g,en faible quantité,+16%,,+17%,+12%,+8%,+22%,+11%,+11%,-22%,-22%,2,-84%,B,-84%,68.9%,1.0%,13.8%,9.0%,5.7%,1.6%,49,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01', 'Point Vert', 'AB Agriculture Biologique', 'Triman', 'en:lait-francais-french-milk']","['France', 'Hors France']",['France'],,,,,
367,Eveil Nature Croissance - Lactel - 6x 1L,3428274080035,"['Lactel', 'Lactel Eveil']",,['France'],"['Eau', 'lait partiellement écrémé', 'poudre de perméat de lait partiellement déminéralisé', 'maltodextrines', 'huile de colza', 'huile de tournesol', 'citrate de calcium', 'citrate de potassium', 'citrate de magnésium', 'phosphate de sodium', 'sulfate de fer', 'gluconate de zinc', 'gluconate de cuivre', 'gluconate de manganèse', 'sélénite de sodium', 'iodure de potassium', 'vitamines ', 'vitamine A', 'vitamine D', 'vitamine C', 'vitamine E', 'vitamine B1', 'vitamine B2', 'vitamine B5', 'vitamine B6', 'vitamine B8', 'vitamine B9', 'vitamine B12', 'vitamine K', 'vitamine PP', ' ', "" émulsifiant : mono et diglycérides d'acide gras"", 'antioxygène : alpha-tocophérol']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",272,?,272 kj(65 kcal),3,"1,4","7,7","5,9","1,7","0,081","0,033",B,Lait de suite pour nourrissons à partir de 10 mois et aliment lacté liquide pour enfants de 1 à 3 ans,6 x 1 L,"['Bouteille', 'Bouchon', 'Plastique', 'Film plastique']","['Aliments pour bébé', 'Laits pour bébé', 'Dès 10 mois', 'Laits de croissance']","[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E307 - Alphatocophérol']",,4,,,,,,,,,-40%,,-64%,-27%,+25%,-74%,-46%,-51%,-2%,-2%,,,,,71.8%,1.0%,10.1%,9.4%,6.0%,1.7%,94,"['Peu ou pas de sucre', 'Point Vert', 'Fabriqué en France', 'Sans sucre ajouté', 'Eco-Emballages', 'Sans arôme vanille']",,"['Société Laitière de Vitré (Filiale Groupe Lactalis) - Les Guichardières - 35500 Vitré', 'Ille-et-Vilaine', 'Bretagne', 'France']","['FR 35.360.001 CE', 'Vitré (Ille-et-Vilaine, France)']",,http://www.lactel.fr/nos-produits/lactel-eveil/la-gamme-eveil-de-lactel,,
368,>charbon végétal activé  - 150 Gelules - Super Diet,3428881125105,,,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
