,name,bar_code,brand,markets,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,generic_name,quantity,packaging,categories,additives,allergens,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,ingredients_origins,manufacturing,traceability_code,palm_ingredients,link,producer_info,brand_owner
10,Creme dessert gout vanille - Auchan,3254560366619,['Auchan'],['Auchan'],['France'],"['lait entier', 'sucre', 'amidon modifié de manioc', 'sirop de glucose', 'arôme vanille', 'poudre de babeurre ', 'contient lait', 'gélifiant carraghénanes ', ' colorants : riboflavine', 'rocou ', ' sel', 'correcteu diacidité : hydroxyde de sodium']",['Non végétalien'],?,103,431 kj(103 kcal),"2,8",2,"16,7","14,8","2,7","0,2","0,08",C,,,"['Barquette', 'pot']","['Produits laitiers', 'Desserts', 'Desserts lactés', 'Crèmes dessert', 'Crèmes dessert rayon frais', 'Crèmes dessert vanille']","['E14XX - Amidons modifiés', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E101i - Riboflavine', 'E160b - Rocou', 'E524 - Hydroxyde de sodium']",['Lait'],4,2.8 g,en faible quantité,2 g,en quantité modérée,14.8 g,en quantité élevée,0.2 g,en faible quantité,,-10%,-10%,-21%,-9%,-4%,+4%,-7%,+38%,+38%,4,-4%,C,-4%,75.1%,12.7%,4.2%,4.9%,2.4%,0.6%,65,['Nutriscore'],,,,,,,
11,Infusion tilleul menthe - Auchan - 40g,3254565185536,['Auchan'],['Auchan'],['France'],"['Tilleul 50%', 'menthe 50%']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,,?,,?,,?,,,A,,40 g,"['Sachet', 'Etui', 'Carton']","['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Boissons chaudes', 'Boissons à base de végétaux', 'Infusions', 'Boissons sans sucre ajouté']",,,1,,,,,,,,,,,,,,,,,,,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,['Point Vert'],,,,,,,
12,Le Porc Français - Saucisses fumées au bois de hêtre - Auchan,3254568635359,"['Auchan', 'Le Porc Francais']",['Auchan'],['France'],"['Viande de porc 93%', 'sel', 'saccharose', 'arômes', 'conservateur : nitrite de sodium', 'boyau de porc coloré : colorant rocou']","['Non végétalien', 'Non végétarien']",?,279,1167 kj(279 kcal),24,10,"< 0,5","< 0,5",15,2,"0,8",,,,['Barquette'],"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses fumées']","['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E160b - Rocou']",,4,24 g,en quantité élevée,10 g,en quantité élevée,0.5 g,en faible quantité,2 g,en quantité élevée,,-2%,-4%,-2%,+6%,-59%,-29%,-3%,-6%,-6%,20,+1%,E,+1%,,,,,,,,,,,,,,,
13,Mini Fourrés à l'abricot - Le Ster,3255290252531,['Le Ster'],,['France'],[],[],?,400,1674 kj(400 kcal),16,"2,33","58,67",35,"5,33","0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Maroilles Quart (26 % MG) - Fauquet - 200g,3255420014305,"['Fauquet', 'Savencia']",['Super U'],['France'],"['Maroilles', 'Fromage au lait de vache pasteurisé']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",?,322,1347 kj(322 kcal),26,18,1,"< 0,5",21,"2,3","0,92",C,"Maroilles, fromage au lait de vache pasteurisé",200 g,"['film plastique', 'boite carton']","['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Frais', 'Fromages de vache', 'Fromages de France', 'Fromages pasteurisés', 'Fromages à pâte molle à croûte lavée', 'Maroilles', 'en:aoc-cheeses', 'en:labeled-cheeses', 'Produits AOC', 'Produits labellisés']",,['Lait'],3,26 g,en quantité élevée,18 g,en quantité élevée,0.5 g,en faible quantité,2.3 g,en quantité élevée,,-2%,-2%,-3%,+2%,+72%,+6%,-1%,+7%,+7%,19,+9%,E,+9%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,"['AOP', 'Depuis 1925', 'Syndicat du Maroilles de Thiérache']",,"['Les Fromagers de Thiérache (Filiale Savencia Fromage & Dairy) - 28 Rue de la Croix - 02170 Le Nouvion-en-Thiérache', 'Aisne', 'Picardie', 'France']","['EMB 02558B', 'Nouvion-en-Thiérache (Aisne, France)', 'FR 02.558.002 CE', 'Nouvion-en-Thiérache (Aisne, France)']",,http://www.fauquet-maroilles.com/nos-produits/,,
15,Taboulé à l'Orientale - U - 500g,3256220133968,['U'],"['Super U', 'Magasins U']",['France'],"['Semoule de blé dur réhydratée 54% ', 'semoule de blé dur', 'eau', 'eau', 'tomates* 7%', 'poivron rouge* 6%', 'huile de colza', 'oignon* 4%', ""vinaigre d'alcool"", 'raisins secs réhydratés 2% [raisins sec 1% ', 'raison sec', ""agent d'enrobage : huile de colza"", 'eau]', 'poivron vert* 2%', 'menthe ', 'France', ' 1%', 'jus de citron concentré', 'sel', 'moutarde de Dijon [eau', 'graines de moutarde ', 'Canada', 'France', ""vinaigre d'alcool"", 'sel]', 'persil*', 'épices et plantes aromatiques ', 'épices et plantes aromatiques', 'farine de riz', 'sel', 'amidon transformé de pomme de terre', 'épaississant : gomme xanthane', 'ail en purée*', 'poivre blanc', ' *Produit décongelé', 'ne pas recongelé']",[],677,?,677 kj(162 kcal),"5,6","0,4","22,6","2,3","4,2","0,92","0,368",B,Taboulé à l'Orientale,500 g,"['Barquette', 'Plastique']","['Plats préparés', 'Frais', 'Plats préparés frais', 'Taboulés']","['E14XX - Amidons modifiés', 'E415 - Gomme xanthane']","['Gluten', 'Moutarde']",4,5.6 g,en quantité modérée,0.4 g,en faible quantité,2.3 g,en faible quantité,0.92 g,en quantité modérée,-4%,,-4%,-13%,-44%,+6%,-29%,-5%,-3%,-3%,2,-26%,B,-26%,63.1%,7.6%,11.4%,10.7%,5.7%,1.6%,94,"['Sans arômes artificiels', 'Point Vert', 'Sans colorants', 'Sans conservateurs', 'Transformé en France', 'Décongelé']",,,,,,,
16,Filets de limande meunière - U - 400g,3256220258494,['U'],"['Super U', 'Magasins U']",['France'],"['Filet de limande ', 'limanda limanda', ' pêché en atlantique nord est 75%', ' e', 'nrobage 25% : farine de ble', 'huiles végétales de tournesol et de colza', 'eau', 'fécule de pomme de terre', 'amidon transformé de maïs', 'gluten de', 'bleé', 'sel', 'jus de citron', 'dextrose', 'sucre', 'arôme', 'poudre d oeuf entier', 'lactose et protéines de lait', 'amidon transformé de tapioca', 'persil', 'traces éventuelles de mollusques']",['Non végétalien'],767,184,767 kj(184 kcal),"9,9","1,2","9,5","2,5","13,7","0,6","0,24",E,"Filets de limande meunière préfrits, surgelés",400 g,"['Carton', 'Surgelés']","['Produits de la mer', 'Poissons', 'Surgelés', 'Plats préparés', 'Filets de poissons', 'Préparations de poisson', 'Fruits de mer surgelés', 'Produits panés', 'Poissons surgelés', 'Poissons panés']",['E14XX - Amidons modifiés'],"['Œufs', 'Poisson', 'Gluten', 'Lait']",4,9.9 g,en quantité modérée,1.2 g,en faible quantité,2.5 g,en faible quantité,0.6 g,en quantité modérée,+64%,+61%,+59%,+166%,+62%,+299%,+539%,-17%,+38%,+38%,-1,,A,,88.5%,2.2%,1.2%,5.1%,0.6%,2.3%,21,"['Transformé en France', 'Entrepreneurs + Engagés']",['Atlantique nord-est'],,"['EMB 56094C', 'Kervignac (Morbihan, France)', 'FR 56.094.004 CE', 'Kervignac (Morbihan, France)']",,,,
17,"Café pur arabica - U - 36dosettes, 250g",3256220370516,['U'],['Magasins U'],['France'],['100% café Arabica torréfié'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,,"36 dosettes, 250 g",['Dosettes'],"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Cafés']",,,1,,,,,,,,,,-100%,-100%,-100%,-100%,-100%,-100%,-100%,-100%,-100%,,,,,,,,,,,,['Conditionné en France'],,,,,,,
18,Pâtes Chinoises aux Œufs - U - 250g,3256220666107,['U'],"['Super U', 'Magasins U']",['France'],"['Farine de blé tendre 50 %', 'semoule de blé dur', 'œufs 15 %', 'eau', 'sel']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",1569,370,1569 kj(370 kcal),3,"0,9","70,6","1,1","13,4","0,965","0,386",,Pâtes chinoises aux œufs,250 g,"['Sachet', 'Plastique', 'Carton']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Nouilles', 'Nouilles chinoises', 'Nouilles chinoises aux oeufs']",,"['Œufs', 'Gluten']",3,3 g,en quantité modérée,0.9 g,en faible quantité,1.1 g,en faible quantité,0.965 g,en quantité modérée,,,+11%,+17%,+45%,+13%,-61%,+15%,+81%,+81%,0,,B,,,,,,,,,"['Point Vert', 'Fabriqué en Belgique']",['Belgique'],,,,,,
19,Lentilles cuisinées - U Bio - 265g,3256221409383,"['U Bio', 'U']","['U', 'Magasins U', 'Super U']",['France'],"['Lentilles vertes* 53%', 'eau', 'sel de mer', 'échalote*', 'ail*', 'poivre*', 'thym', '*', ' *Ingrédient issu de l agriculture biologique']",[],387,92,387 kj(92 kcal),"0,3","0,1","13,8","0,3","6,5",1,"0,4",A,,265 g,"['Bocal', 'Verre', 'paquet']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Conserves', 'Aliments à base de fruits et de légumes', 'Légumineuses', 'Graines', 'Aliments à base de plantes en conserve', 'Graines de légumineuses', 'Légumes et dérivés', 'Légumes en conserve', 'Légumes secs', 'Lentilles']",,,3,0.3 g,en faible quantité,0.1 g,en faible quantité,0.3 g,en faible quantité,1 g,en quantité modérée,-60%,-62%,-62%,-80%,-62%,-58%,-76%,-63%,+246%,+246%,-8,,A,,57.6%,0.0%,16.2%,14.1%,4.5%,7.6%,99,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Transformé en France']",,,,,,,
