,name,bar_code,eco_score,brand,categories,traceability_code,markets,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,labels,additives,allergens,nova_score,brand_owner,generic_name,packaging,palm_ingredients,manufacturing,link,ingredients_origins
438,Ppushu ppushu - Ottogi,0645175560098,,['Ottogi'],,,,['France'],"['1', 'noodle wheat flour', 'potato starch', 'modified potato starch', 'palm oil', 'corn flour', 'salt', 'd-sorbitol solution', 'soybean oil', 'lecithin', 'calcium', 'sugar', '2', 'powdered soup red pepper paste powder', 'salt', 'glucose', 'soy sauce powder', 'soybean', 'wheat', 'salt', 'whey powder', 'onion powder,sugar', 'garlic powder', 'yeast extract powder', 'corn oil', 'contains wheat', 'soybean', 'milk ired bv']","['Huile de palme', 'Non végétalien']",,,,,,,,,?,,410,,1715 kj(410 kcal),,14,,"5,6",,64,,4,,7,,"1,8",,"0,72",,,,,,,,,,,,,,,['E322i - Lécithine'],"['Gluten', 'Soja']",4,,,,,,,
439,Tibi pralines cerise noir et caramel - Roshen,4823077616471,,['Roshen'],,,,['France'],[],[],,,,,,,,,?,,520,,2176 kj(520 kcal),,30,,18,,56,,46,,5,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
440,Chocolat lait aux éclats de caramel d'Isigny,3498752700052,,,,,,['France'],[],[],,,,,,,,,?,,547,,2289 kj(547 kcal),,"34,7",,21,,"51,4",,"47,3",,"7,2",,"0,44",,"0,176",,,,,,,,,,,,,,,,,,,,,,,,
441,Poulet blanc 3 filets - Volandry,2860118033523,,"['Volandry', 'Marque Repère']",,,['Leclerc'],['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442,Mcvities Digestive Cookies 230 G,8906033740031,,,,,,['France'],[],[],,,,,,,,,?,,489,,2046 kj(489 kcal),,"21,2",,"10,7",,"67,1",,"16,1",,"7,3",,1,,"0,4",,,,,,,,,,,,,,,,,,,,,,,,
443,Emmental francais,0212224016600,D,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de vache', 'Emmentals', 'Fromages de France', 'Emmentals français']",,,['France'],[],[],31.5 g,en quantité élevée,18.8 g,en quantité élevée,1 g,en faible quantité,0.4 g,en quantité modérée,?,,407,+7%,1703 kj(407 kcal),+8%,"31,5",+7%,"18,8",-5%,1,+64%,1,+111%,29,+5%,"0,4",-32%,"0,16",-32%,11,-2%,D,-2%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,['IGP'],,,,,,,,,,
444,Pain pave selection U,,,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445,Sable pur beurre pepites de chocolat,3585730033490,,,,,,['France'],[],[],,,,,,,,,?,,793,,3318 kj(793 kcal),,"21,7",,15,,"66,3",,"32,1",,"6,8",,"0,68",,"0,272",,,,,,,,,,,,,,,,,,,,,,,,
446,Bonbon: Softy'z Halal Confiserie (bisous Fraise),8410525190216,,,,,,['France'],[],[],,,,,,,,,?,,332,,1389 kj(332 kcal),,0,,0,,78,,0,,0,,0,,0,,,,,,,,,,,,,,['Halal'],,,,,,,,,,
447,Choky,0545454020902,,,,,,['France'],[],[],,,,,,,,,?,,381,,1594 kj(381 kcal),,5,,"3,1",,"60,9",,"58,1",,"18,9",,"1,09",,"0,436",,,,,,,,,,,,,,,,,,,,,,,,
448,Pasta di gragnano i.g.p.,8033986411791,,,,,,['France'],[],[],,,,,,,,,?,,356,,1490 kj(356 kcal),,"1,36",,"0,2",,"70,18",,"3,6",,"13,5",,"0,02",,"0,008",,,,,,,,,,,,,,,,,,,,,,,,
449,6 LAYER BAR - MyProtein,5056281161898,,['MyProtein'],,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450,Moutarde Salée 200G,6931029200215,,,,,,['France'],[],[],,,,,,,,,?,,59,,247 kj(59 kcal),,"1,9",,0,,"8,3",,"0,67",,"1,7",,"4,5",,"1,8",,,,,,,,,,,,,,,,,,,,,,,,
451,Trofie - 500g,8011119004430,,,,,,['France'],[],[],,,,,,,,,?,,278,,1163 kj(278 kcal),,"0,6",,0,,"59,5",,0,,0,,"0,001",,0,,,,,,,,,,,,,500 g,,,,,,,,,,,
452,Expression 2014,3760114605528,,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
453,Epicerie / Epicerie Sucrée / Chocolat Bio - 100g,3760222060172,,,,,,['France'],[],"['Végétalien', 'Végétarien']",,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,100 g,"['Bio', 'Végétarien', 'Bio européen', 'Végétalien', 'Agriculture UE/Non UE', 'FR-BIO-10', 'Fabriqué en France']",,,,,,,,,,
454,Crêpes froment,3760006391072,,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,
455,Terribe de sanglier,3458301000156,,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
456,3760043690015,3760043690015,,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
