,name,bar_code,eco_score,brand,categories,traceability_code,markets,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,labels,additives,allergens,nova_score,brand_owner,generic_name,packaging,palm_ingredients,manufacturing,link,ingredients_origins
0,Filets de poulet - Carrefour,2227548028800,D,['Carrefour'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']","['EMB 72264', 'Sablé-sur-Sarthe (Sarthe, France)']",['Carrefour'],['France'],[],[],7.1 g,en quantité modérée,1.9 g,en quantité modérée,0.7 g,en faible quantité,1.4 g,en quantité modérée,?,,168,+28%,703 kj(168 kcal),+29%,"7,1",+147%,"1,9",+155%,"0,8",+67%,"0,7",+188%,25,+10%,"1,4",+87%,"0,56",+87%,4,,C,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,
1,Noix de cajou grillées à l'huile et salées,2600159035496,E,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Snacks salés', 'Fruits à coques et dérivés', 'Fruits à coques', 'Fruits à coque salés', 'Noix de cajou', 'Noix de cajou salées']",,,['France'],[],[],47.8 g,en quantité élevée,8.5 g,en quantité élevée,5 g,en quantité modérée,1 g,en quantité modérée,?,,625,+2%,2615 kj(625 kcal),+2%,"47,8",-1%,"8,5",-7%,"30,2",+27%,5,-21%,"16,8",-12%,1,+12%,"0,4",+12%,10,+23%,C,+23%,85.9%,1.5%,2.7%,6.9%,1.9%,1.2%,21,,,,,,,,,,,,
2,Riz gluant 2kg,9120027410161,,,,,,['France'],[],[],,,,,,,,,?,,266,,1113 kj(266 kcal),,0,,0,,"80,8",,38,,"6,87",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
3,Pate de campagne au porto,3465130001049,D,,"['Viandes', 'Charcuteries', 'Charcuteries diverses', 'Pâté', 'Pâtés de porc', 'Pâtés de campagne']",,,['France'],[],[],29 g,en quantité élevée,11 g,en quantité élevée,0.9 g,en faible quantité,1.5 g,en quantité modérée,?,,333,+7%,1393 kj(333 kcal),+7%,29,+7%,11,+9%,"3,5",+45%,"0,9",-2%,15,+6%,"1,5",-10%,"0,6",-10%,20,+5%,E,+5%,74.1%,17.7%,4.6%,2.1%,1.2%,0.3%,39,,,,,,,,,,,,
4,Craquelin au riz,3760036358359,,,,"['EMB 74267A', 'Sévrier (Haute-Savoie, France)']",,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Filet de rouget,0290414025397,,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Chocolat au lait noix de coco - Chevaliers d'Argouges,3421371519798,,"[""Chevaliers d'Argouges""]",,,,['France'],[],[],,,,,,,,,?,,576,,2410 kj(576 kcal),,39,,24,,49,,49,,"6,5",,"0,2",,"0,08",,,,,,,,,,,,,,,,,,,,,,,,
7,Verveine - 20g,3517760003341,B,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Infusions', 'Verbénacées', 'Verveine']",,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,20 g,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01', 'AB Agriculture Biologique']",,,,,,,,,,
8,Inspiration du monde,3288310846045,,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,['Sans sucre ajouté'],,,,,,,,,,
9,Fromage,2488660024990,D,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages']",,,['France'],[],[],20 g,en quantité modérée,17 g,en quantité élevée,0 g,en faible quantité,1.7 g,en quantité élevée,?,,263,-20%,1100 kj(263 kcal),-20%,20,-25%,17,-4%,"0,9",-26%,0,-100%,20,-2%,"1,7",+31%,"0,68",+31%,15,+9%,D,+9%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,,,,
10,"Salade Thon, Oeuf bio Riz de Camargue Poivronnade -",3700365097796,,,,,,['France'],[],[],,,,,,,,,?,,192,,803 kj(192 kcal),,"11,7",,"2,5",,"15,8",,"2,1",,"5,3",,"0,9",,"0,36",,,,,,,,,,,,,,,,,,,,,,,,
11,Taboule oriental a l'huile d'olive vierge extra -,3342283114096,,,"[""Taboule oriental a l'huile d'olive vierge extra""]",,,['France'],"[""TABOULE ORIENTAL A L'HUILE D'OLIVE VIERGE EXTRA Taboulé oriental à l'huile d'olive vierge extra 3,1% Ingrédients semoule de bié dur réhydratée 62% "", 'eau', 'semoule de BLE dur', 'poivrons', 'tomates', 'oignons', 'raisins secs', ""huile d'olive vierge extra"", 'huile de colza', 'jus de citron à base de concentré', 'menthe', 'épices', ""vinaigre d'alcool"", 'sel', 'conservateur : sorbate de potassium']",[],6.7 g,en quantité modérée,0.8 g,en faible quantité,4.6 g,en faible quantité,1.1 g,en quantité modérée,?,,173,,724 kj(173 kcal),,"6,7",,"0,8",,22,,"4,6",,"4,8",,"1,1",,"0,44",,5,,C,,,,,,,,,,,"['E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",['Gluten'],3,,,,,,,
12,Comté Affiné,2480255024996,D,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']",,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,
13,Banane bio + équitable,2228463017450,,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'Commerce équitable', 'FR-BIO-10', 'Max Havelaar', 'AB Agriculture Biologique']",,,,,,,,,,
14,Velouté de Topinambour,3339332500139,,,,,,['France'],[],[],,,,,,,,,?,,59,,247 kj(59 kcal),,"1,8",,"0,3",,"9,1",,"4,9",,1,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
15,Sauce moutarde au miel,9001372001047,,,,,,['France'],[],[],,,,,,,,,?,,112,,469 kj(112 kcal),,"7,3",,"0,6",,"9,7",,8,,1,,"1,4",,"0,56",,,,,,,,,,,,,,,,,,,,,,,,
16,Dried fruit mix,0200030130597,,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Mangue Ananas Melon frais,3276530000361,,,,,,['France'],[],[],,,,,,,,,?,,185,,774 kj(185 kcal),,"0,2",,0,,"9,2",,"9,1",,"0,6",,"0,01",,"0,004",,,,,,,,,,,,,,['Sans conservateurs'],,,,,,,,,,
18,Chocolat - Chevaliers d'Argouges,3421371513840,,"[""Chevaliers d'Argouges""]",,,,['France'],[],[],,,,,,,,,?,,604,,2527 kj(604 kcal),,"43,7",,"18,2",,"42,4",,"38,6",,"8,6",,"0,15",,"0,06",,,,,,,,,,,,,,,,,,,,,,,,
19,Jasmine Queen Tea,8886456550120,,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Beignets décongelé,0209338025581,,,"['Snacks', 'Snacks sucrés', 'Beignets sucrés']",,,['France'],[],[],18 g,en quantité modérée,2 g,en quantité modérée,19 g,en quantité élevée,0.71 g,en quantité modérée,?,,385,+8%,1611 kj(385 kcal),+8%,18,+14%,2,-42%,47,+4%,19,+17%,"6,5",+3%,"0,71",-4%,"0,284",-4%,12,0%,D,0%,,,,,,,,,,,,,,,,,,,
21,Eclairs au chocolat,0216019012792,,,"['Biscuits et gâteaux', 'Pâtisseries', 'Éclairs', 'Éclairs au chocolat']",,,['France'],[],[],15 g,en quantité modérée,4.3 g,en quantité modérée,19 g,en quantité élevée,0.46 g,en quantité modérée,?,,277,+8%,1159 kj(277 kcal),+8%,15,+22%,"4,3",-26%,31,-2%,19,-6%,"3,5",-20%,"0,46",+20%,"0,184",+20%,13,+1%,D,+1%,,,,,,,,,,,,,,,,,,,
22,Hide & Seek egg hunt bag - Marks And Spencer,00255967,,['Marks And Spencer'],,,,['France'],[],[],,,,,,,,,?,,563,,2356 kj(563 kcal),,"32,6",,20,,"58,8",,"58,8",,"7,7",,"0,2",,"0,08",,,,,,,,,,,,,,,,,,,,,,,,
23,Cannes,0654479009172,,,,,,['France'],[],[],,,,,,,,,?,,516,,2159 kj(516 kcal),,26,,17,,65,,31,,"5,7",,"0,8",,"0,32",,,,,,,,,,,,,,,,,,,,,,,,
24,Chèvre le ventoux,0253206025586,,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Dessert riccadonna vino spumante - dolce,8000368520150,,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Little Coco nutters - 90g,5060426810992,,,,,,['France'],[],[],,,,,,,,,?,,113,,473 kj(113 kcal),,7,,"6,5",,11,,"5,3",,"1,2",,"0,03",,"0,012",,,,,,,,,,,,,90 g,,,,,,,,,,,
27,Pain campagne,0260053009188,,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Crème de chocolat & café,3760158963769,,,,,,['France'],[],[],,,,,,,,,?,,535,,2238 kj(535 kcal),,40,,25,,38,,33,,"5,3",,"0,3",,"0,12",,,,,,,,,,,,,,,,,,,,,,,,
29,Banane cavendish cat 2 18cm,2250140002190,,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen']",,,,,,,,,,
30,Filets de poulet jaune FERMIERS de Gascogne - Carrefour,0287458041780,D,['Carrefour'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,['Carrefour'],['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,"['IGP', 'Label Rouge']",,,,,,,,,,
31,Vitago fruits rouges,9319996227522,,,,,,['France'],[],[],,,,,,,,,?,,33,,138 kj(33 kcal),,"0,004",,0,,"8,41",,"8,39",,"0,001",,0,,0,,,,,,,,,,,,,,['Sans colorants'],,,,,,,,,,
32,Quest protein bar - 1bar,0888849003860,,['Quest'],['Snacks'],,,"['France', 'États-Unis']","['Protein blend ', 'milk protein isolate', 'whey protein isolate', 'soluble corn fiber ', 'prebiotic fiber', 'almonds', 'water', 'cocoa butter', 'natural flavors', 'erythritol', 'palm oil', 'dextrin', 'cocoa ', 'processed with alkali', 'sea salt', 'calcium carbonate', 'sunflower lecithin', 'sucralose', 'coconut oil', 'xanthan gum', 'baking soda', 'steviol glycosides ', 'stevia']","['Huile de palme', 'Non végétalien']",13.3 g,en quantité modérée,4.17 g,en quantité modérée,1.67 g,en faible quantité,0.875 g,en quantité modérée,?,,333,-26%,1393 kj(333 kcal),-26%,"13,33",-36%,"4,17",-54%,35,-38%,"1,67",-94%,35,+456%,"0,875",+66%,"0,35",+66%,6,-66%,C,-66%,,,,,,,,1 bar,['en:gluten-free'],"['E968 - Érythritol', 'E1400 - Dextrines', 'E170i - Carbonate de calcium', 'E322i - Lécithine', 'E955 - Sucralose', 'E415 - Gomme xanthane', 'E500ii - Carbonate acide de sodium', 'E960 - Glucosides de stéviol', '', 'Risque modéré de sur-exposition']",['Fruits à coque'],4,QUEST,,,,,,
33,Gourmandise de paques,3266054166018,,,,,,['France'],[],[],,,,,,,,,?,,564,,2360 kj(564 kcal),,36,,16,,51,,50,,"6,7",,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,,,,
34,Jambon sec de Bayonne - Despi,2228527040349,E,['Despi'],"['Viandes', 'Charcuteries', 'Jambons', 'Jambons crus', 'Jambons secs']",,,['France'],[],[],12 g,en quantité modérée,4.4 g,en quantité modérée,0.5 g,en faible quantité,3.88 g,en quantité élevée,?,,222,-5%,929 kj(222 kcal),-5%,12,-6%,"4,4",-10%,"0,5",-15%,"0,5",+33%,"28,4",-2%,"3,88",-23%,"1,552",-23%,16,-4%,D,-4%,81.4%,16.7%,0.3%,0.9%,0.5%,0.3%,7,,,,,,,,,,,,
35,Huel Bar v 3.0,5060495112317,,['Huel'],,,,['France'],[],[],,,,,,,,,?,,387,,1619 kj(387 kcal),,"14,2",,"4,8",,"36,7",,"15,8",,"23,2",,"0,4",,"0,16",,,,,,,,,,,,,,['en:gluten-free'],,,,,,,,,,
36,Chocolat au lait favorina - Lidl,4056489018537,,['Lidl'],,,,['France'],[],[],,,,,,,,,?,,553,,2314 kj(553 kcal),,"32,9",,"20,3",,"56,2",,"56,2",,"6,5",,"0,2",,"0,08",,,,,,,,,,,,,,,,,,,,,,,,
37,Olives vertes dénoyautées,8033803490282,,,,,,['France'],[],[],,,,,,,,,?,,160,,669 kj(160 kcal),,16,,"2,3",,"1,1",,"0,1",,"1,3",,"6,4",,"2,56",,,,,,,,,,,,,,,,,,,,,,,,
38,Brioche tressee,0200021022962,C,,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Brioches', 'Brioches tressées']",,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,81.5%,11.5%,4.5%,2.1%,0.3%,0.0%,56,,,,,,,,,,,,
39,Banane Cavendish du Ghana,2873496007284,,,,"['EMB 13027H', 'Châteaurenard (Bouches-du-Rhône, France)', 'EMB 13027', 'Châteaurenard (Bouches-du-Rhône, France)']",,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen']",,,,,,,,,,
40,Huile de noisette - Buttella,26008998,D,['Buttella'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Fruits à coques et dérivés', 'Matières grasses végétales', 'Huiles', 'Huiles de fruits à coques', 'Huiles de noisette']",,,['France'],[],[],92 g,en quantité élevée,8.9 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,?,,828,-6%,3464 kj(828 kcal),-5%,92,-6%,"8,9",+4%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,10,-4%,C,-4%,92.8%,2.3%,2.5%,1.3%,1.2%,0.0%,36,,,,,,,,,,,,
41,Gummi candy,4000512733164,,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,['Fabriqué en Allemagne'],,,,,,,,,,
42,Rich & creamy coconut milk,5017689472658,,,,,,['France'],[],[],,,,,,,,,?,,118,,494 kj(118 kcal),,12,,10,,0,,0,,"0,7",,"0,12",,"0,048",,,,,,,,,,,,,,,,,,,,,,,,
43,Verba Maté,3700111078345,,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Pâté en croûte poulet et moutarde,2274714030440,,,,,,['France'],[],[],,,,,,,,,?,,177,,741 kj(177 kcal),,"5,6",,"2,8",,"14,7",,1,,"16,3",,"1,65",,"0,66",,,,,,,,,,,,,,,,,,,,,,,,
45,Massaman curry to go,8717662261664,,,,,,['France'],[],[],,,,,,,,,?,,164,,686 kj(164 kcal),,"7,4",,"3,9",,"21,5",,"3,6",,"2,4",,"0,9",,"0,36",,,,,,,,,,,,,,,,,,,,,,,,
46,Pate de pistache 100%,3333330320027,,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,3155250336267,3155250336267,,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Carobella,8711812153991,,,,,,['France'],[],[],,,,,,,,,?,,563,,2356 kj(563 kcal),,37,,"23,1",,"49,9",,32,,"6,7",,"0,5",,"0,2",,,,,,,,,,,,,,"['Bio', 'Bio européen', 'NL-BIO-01']",,,,,,,,,,
49,Mix color,2416344060545,,,,,,['France'],[],[],,,,,,,,,?,,0,,0 kj(0 kcal),,"0,35",,"0,04",,"11,05",,"9,84",,"0,72",,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,,,,
50,Garniture pour paella,3442540141213,,,,,,['France'],[],[],,,,,,,,,?,,81,,339 kj(81 kcal),,"1,5",,"0,5",,"2,3",,0,,10,,"0,45",,"0,18",,,,,,,,,,,,,,,,,,,,,,,,
51,Choco mix,2600263018637,,,,,,['France'],[],[],,,,,,,,,?,,525,,2197 kj(525 kcal),,34,,14,,45,,40,,10,,"0,11",,"0,044",,,,,,,,,,,,,,,,,,,,,,,,
52,Compliments,0055742359114,,['Compliments'],,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Tranche de gigot,0200202060226,,,"['Viandes', ""Viandes d'agneau"", ""Gigot d'agneau"", 'Gigot', 'Tranches de gigot']",,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Carré frais - Elle & Vire,7636363939393,D,"['Elle & Vire', 'Savencia']","['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages à la crème']",,,['France'],[],[],15 g,en quantité modérée,11 g,en quantité élevée,2.5 g,en faible quantité,1.3 g,en quantité modérée,?,,193,+30%,808 kj(193 kcal),+29%,15,+42%,11,+58%,"2,5",-54%,"2,5",-48%,12,+78%,"1,3",+289%,"0,52",+289%,12,+193%,D,+193%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,Fromage frais demi-sel au lait pasteurisé,['Frais'],,,,
55,Jambon miche,2860460047490,,,,,,['France'],[],[],,,,,,,,,?,,449,,1879 kj(449 kcal),,"2,3",,1,,"0,6",,"0,5",,21,,"2,5",,1,,,,,,,,,,,,,,,,,,,,,,,,
56,Einbecker Senf Henrys Echter - Einbecker Senfmühle GmbH - 100g,4260209540158,B,['Einbecker Senfmühle GmbH'],"['Epicerie', 'Condiments', 'Sauces', 'Moutardes']",,,"['France', 'Allemagne']",[],[],,,,,,,2.9 g,en quantité élevée,?,,?,,,,?,,,,?,,,,?,,"2,9",-38%,"1,16",-38%,,,,,57.4%,14.5%,21.8%,4.8%,1.5%,0.0%,75,100g,"['Bio', 'Bio européen', 'DE-ÖKO-006']",,,,,,,,,,
57,Saucisses,2454828038901,,,,,,['France'],[],[],,,,,,,,,?,,241,,1008 kj(241 kcal),,20,,"7,2",,"0,8",,"0,7",,15,,"1,6",,"0,64",,,,,,,,,,,,,,,,,,,,,,,,
58,Confiture extra bio peche - Moulin des Moines,3347430005340,B,['Moulin des Moines'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de pêches']",,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,38.5%,19.4%,25.9%,11.0%,4.2%,1.1%,87,,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-10', 'AB Agriculture Biologique']",,,,,,,,,,
59,Mini cub' bio,3044346311601,,,,,,['France'],[],[],,,,,,,,,?,,338,,1414 kj(338 kcal),,"0,5",,"0,1",,82,,60,,"0,8",,"0,11",,"0,044",,,,,,,,,,,,,,['Bio'],,,,,,,,,,
60,Œufs en chocolat miraculous,8435477901277,,,"['Aliments de Pâques', 'Œufs de Pâques']",,,['France'],[],[],32 g,en quantité élevée,20 g,en quantité élevée,58 g,en quantité élevée,0.21 g,en faible quantité,?,,545,-1%,2280 kj(545 kcal),-1%,32,-5%,20,-0%,58,+8%,58,+11%,"5,7",-14%,"0,21",+4%,"0,084",+4%,26,-0%,E,-0%,,,,,,,,,['en:gluten-free'],,,,,,,,,,
61,Thé noir à l'abricot et gâteau d'Antan - Baronny's,3700496320121,,"[""Baronny's""]",,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Super Soupe - Hari&Co,3760257090601,,['Hari&Co'],,,,['France'],[],"['Végétalien', 'Végétarien']",,,,,,,,,?,,90,,377 kj(90 kcal),,"5,6",,"0,7",,"5,4",,"1,9",,"3,6",,"0,2",,"0,08",,,,,,,,,,,,,,"['Bio', 'Végétarien', 'Végétalien']",,,,,,,,,,
63,Brioche nanterre maison Leclerc - 0.420kg,2045687963215,,,,,,['France'],[],[],,,,,,,,,?,,404,,1690 kj(404 kcal),,"21,3",,14,,"44,8",,"9,4",,"6,8",,3,,"1,2",,,,,,,,,,,,,0.420 kg,,,,,,,,,,,
64,Goûters fourrés cacao - Monoprix,3310171902360,,['Monoprix'],,,['Monoprix'],['France'],[],[],,,,,,,,,?,,480,,2008 kj(480 kcal),,19,,"5,4",,67,,33,,"8,6",,"0,58",,"0,232",,,,,,,,,,,,,,['Bio'],,,,,,,,,,
65,Möbelspray,7613269330905,,,,,,"['France', 'Suisse']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Snack Bap Ngot,8934803043075,,,,,,['France'],[],[],,,,,,,,,?,,513,,2146 kj(513 kcal),,"24,66",,13,,66,,20,,"6,6",,"2,2",,"0,88",,,,,,,,,,,,,,,,,,,,,,,,
67,The original BBQ MARSH MALLOWS A real American tradition,8712767500199,,,,,,['France'],[],[],,,,,,,,,?,,323,,1351 kj(323 kcal),,0,,0,,79,,65,,"3,5",,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,,,,
68,Mini hache de poulet roti facon bouchere,3435660744600,,,,,,['France'],[],[],,,,,,,,,?,,148,,619 kj(148 kcal),,"5,4",,"1,6",,"2,7",,"1,5",,21,,"1,3",,"0,52",,,,,,,,,,,,,,['en:gluten-free'],,,,,,,,,,
69,Ratatouille - 980g,3267615005876,B,,"['Plats préparés', 'Légumes préparés', 'Ratatouilles']",,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,69.3%,12.8%,5.7%,6.8%,3.2%,2.3%,79,980 g,,,,,,,,,,,
70,Poulet fermier,2209332008861,D,,"['Viandes', 'Volailles', 'Poulets', 'Poulets fermiers']",,,['France'],[],[],7 g,en quantité modérée,0.5 g,en faible quantité,0.5 g,en faible quantité,0.2 g,en faible quantité,?,,149,+7%,623 kj(149 kcal),+8%,7,+13%,"0,5",-69%,"0,5",+34%,"0,5",+64%,21,+2%,"0,2",+24%,"0,08",+24%,-4,,A,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,['Label Rouge'],,,,,,,,,,
71,Baguette ( la ficelle ),3000010001582,,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Kelly‘s Classic - 80g,9000159014058,,,,,,"['Autriche', 'France']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,80 g,,,,,,,['Stück'],,,,
73,Brownies,2105920008711,,,,,,['France'],[],[],,,,,,,,,?,,470,,1966 kj(470 kcal),,29,,11,,45,,36,,"5,6",,"0,06",,"0,024",,,,,,,,,,,,,,,,,,,,,,,,
74,Musli Waldheean,4260014461068,,,,,,['France'],[],[],,,,,,,,,?,,369,,1544 kj(369 kcal),,"5,21",,"1,52",,"64,85",,"9,68",,"11,26",,"0,2",,"0,08",,,,,,,,,,,,,,,,,,,,,,,,
75,Beignets chocolat noisette - 280g,0260506013120,,,"['Snacks', 'Snacks sucrés', 'Beignets sucrés']",,,['France'],[],[],19 g,en quantité modérée,2.1 g,en quantité modérée,19 g,en quantité élevée,0.7 g,en quantité modérée,?,,394,+11%,1648 kj(394 kcal),+11%,19,+20%,"2,1",-39%,48,+6%,19,+17%,"6,7",+6%,"0,7",-5%,"0,28",-5%,13,+8%,D,+8%,,,,,,,,280 g,,,,,,,,,,,
76,Chocomatic smart cookies,5060619560055,,,,,,['France'],[],[],,,,,,,,,?,,471,,1971 kj(471 kcal),,20,,16,,61,,20,,"6,3",,"1,3",,"0,52",,,,,,,,,,,,,,,,,,,,,,,,
77,P'tite fraiz,50250561,,,,,,['France'],[],[],,,,,,,,,?,,344,,1439 kj(344 kcal),,?,,,,84,,78,,"1,8",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
78,Superfood bar,5453000837117,,,,,,['France'],[],"['Végétalien', 'Végétarien']",,,,,,,,,?,,161,,674 kj(161 kcal),,"6,1",,"3,1",,"24,8",,"19,2",,"4,8",,"0,1",,"0,04",,,,,,,,,,,,,,"['Végétarien', 'Végétalien']",,,,,,,,,,
79,Gallo 3 Grains Rice 400G - 400g,8001420003048,,['Gallo'],,,,['France'],[],[],,,,,,,,,?,,348,,1456 kj(348 kcal),,"1,2",,"0,3",,"74,3",,"5,2",,"8,2",,0,,0,,,,,,,,,,,,,400 g,,,,,,,,,,,
80,Test,3760081800261,,,"['Non alimentaire', 'en:Tests', 'Tests']",,,['France'],[],[],8 g,en quantité modérée,4.8 g,en quantité modérée,1.1 g,en faible quantité,0.8 g,en quantité modérée,?,,304,+47%,1272 kj(304 kcal),+47%,8,-14%,"4,8",+58%,29,+40%,"1,1",-86%,33,+402%,"0,8",+21%,"0,32",+21%,,,,,,,,,,,,,,,,,,,,,,,
81,Darnes de pangasius avec peau,8713289196907,,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Fig Marmalade - 250g,5213001022215,,,,,,['France'],[],[],,,,,,,,,?,,254,,1063 kj(254 kcal),,"0,7",,0,,65,,"50,1",,"1,3",,"0,02",,"0,008",,,,,,,,,,,,,250 g,,,,,,,,,,,
