,name,bar_code,generic_name,quantity,packaging,brand,categories,labels,manufacturing,markets,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,ingredients_origins,link,palm_ingredients,brand_owner,traceability_code
218,Schönenberger fine swiss chocolate,7611851117965,,,,,,,,,['France'],[],,,[],,?,,607,,2540 kj(607 kcal),,"49,3",,"12,9",,"30,7",,"25,7",,"8,3",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
219,Ovaltine Original Light Add Water Delivered Worldwide Ea,7612100015636,,,,['Ovaltine'],['Petit déjeuné'],"['Agriculture durable', 'en:UTZ Certified', 'en:utz-certified-cacao', 'Entrepreneurs + Engagés', 'en:verified']",,,['France'],"['malt ', '46%', 'MILK concentrate', 'glucose synp', 'vegetable oil ', 'coconut and rapeseed', 'fat-reduced cocoa powder ', '6%', 'wholeMILK powder', 'salt', 'minerals ', 'calcium', 'iron', 'stabilisers ', 'E340', 'E452', 'MILK proteins', '\\itamins ', 'C', 'E', 'niacin', 'A', 'pantothenicacid', 'B12', 'B6', 'B2', 'BI', 'folic acid', 'biotin', 'magnesiulll carbonate', 'sweetener ', 'acesulfame K', 'enliilsifier ', 'E471', 'anti-caking agent ', 'E551', ' For allergens', 'see ingredients in BOLD', ' UTZ Certified']","['E340 - Orthophosphates de potassium', '', 'Risque élevé de sur-exposition', 'E452 - Polyphosphates', '', 'Risque élevé de sur-exposition', 'E950 - Acésulfame K', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E551 - Dioxyde de silicium']","['Gluten', 'Lait']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",4,?,,412,,1724 kj(412 kcal),,"9,5",,"6,8",,"68,7",,"40,4",,"11,5",,"1,3",,"0,52",,9.5 g,en quantité modérée,6.8 g,en quantité élevée,40.4 g,en quantité élevée,1.3 g,en quantité modérée,22,,E,,,,,,,,,,,,,,
220,Ovomaltine Choco - 500g,7612100018767,Boisson instantanée à base de malt et de cacao,500 g,"['Sachet', 'Plastique']","['Ovomaltine', 'Wander']","['Boissons', 'Boissons instantanées']","['Agriculture durable', 'en:UTZ Certified']",['Suisse'],,"['France', 'Suisse']","['39% extrait de malt d’orge', 'sucre', 'sérum de lait concentré', 'cacao fortement dégraissé', 'lait entier en poudre', 'sels minéraux ', 'carbonate de calcium', 'carbonate de magnésium', 'phosphate de calcium', '1', '3% chocolat', 'huile de colza', 'sel de cuisine', 'vitamines ', 'C', 'E', 'niacine', 'A', 'acide pantothenique', 'B12', 'B6', 'B2', 'B1', 'acide folique', 'biotine', 'arôme vanilline']",,"['Gluten', 'Lait']","['Sans huile de palme', 'Non végétalien']",4,1719,+25%,406,+54%,1719 kj(406 kcal),+49%,"3,3",-12%,"1,7",-30%,85,+75%,57,+55%,"6,6",+14%,"0,6",+95%,"0,24",+95%,3.3 g,en quantité modérée,1.7 g,en quantité modérée,57 g,en quantité élevée,0.6 g,en quantité modérée,,,,,,,,,,,,,,,,,
221,Ovomaltine barre,7612100025222,,,,['Ovomaltine'],,,,,"['France', 'Suisse']","['lécithine de soja', 'Fructose', 'sirop de glucose']",['E322i - Lécithine'],['Soja'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",4,?,,422,,1766 kj(422 kcal),,12,,"6,5",,71,,39,,"5,7",,"0,68",,"0,272",,,,,,,,,,,,,,,,,,,,,,,,,,
222,Fast hydratation orange - Isostar - 500ml,7612100031667,,500 ml,,['Isostar'],"['Boissons', 'Boissons avec sucre ajouté', 'Boissons sans sucre ajouté']",,,,"['France', 'Luxembourg', 'Suisse']","['Eau', 'Saccharose', 'Sirop de glucose', 'acidifiant', 'acide citrique', ""arôme naturel d'orange avec autres arômes naturels"", 'citrate de sodium', 'chlorure de sodium']","['E330 - Acide citrique', 'E331 - Citrates de sodium']",,['Sans huile de palme'],4,125,-60%,?,,125 kj(30 kcal),-37%,0,-100%,0,-100%,"6,9",-20%,6,-12%,0,-100%,"0,13",+174%,"0,052",+174%,0 g,en faible quantité,0 g,en faible quantité,6 g,en quantité modérée,0.13 g,en faible quantité,9,+63%,D,+63%,,,,,,,,,,,,,
223,Surfin - Swiss premium chocolate drink - Caotina - 300g,7612100061572,Préparation en poudre pour boisson instantanée au cacao,300 g,['Boîte'],['Caotina'],"['Boissons', 'Snacks', 'Snacks sucrés', 'Petit-déjeuners', 'Cacao et dérivés', 'Confiseries', 'Cacaos et chocolats en poudre', 'Boissons instantanées', 'Chocolats en poudre', 'Boissons avec sucre ajouté']",['en:gluten-free'],,['Leclerc'],['France'],"['Sucre', 'cacao maigre ', '19%', ' ', 'émulsifiant : lécithine de soja', 'glucose', 'cacao sucré en poudre ', '7%', ' ', 'sucre', 'cacao en poudre', 'beurre de cacao', 'cacao maigre', 'pâte de cacao', 'arôme vanilline', 'phosphate de calcium', 'arôme de vanilline', 'sel', 'vitamines ', 'vitamine B1', 'vitamine B2', 'niacine', 'acide pantothénique', 'vitamine B6', 'acide folique', 'vitamine B12']",['E322i - Lécithine'],,['Sans huile de palme'],4,1645,+11%,389,+17%,1645 kj(389 kcal),+15%,"3,5",-19%,2,-22%,"81,3",+28%,"77,6",+38%,5,-21%,"0,432",+107%,"0,173",+107%,,,,,,,,,,,,,B,75.0%,1.1%,15.1%,5.7%,3.2%,0.0%,52,['Suisse'],,,,
224,Mattinella Apfelsaft 100% Saft Aus Schweizer Kernobst - 1l,7612300090037,,1l,['Brique'],['Mattinella'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de fruits à base de concentré']",['Sans sucre ajouté'],['Suisse'],,['France'],"['90% jus de pomme à partir de concentré', '10% jus de poire à partir de concentré', ' Pasteurisé', ' Une fois ouvert', 'conserver au réfrigérateur et consommer rapidement']",,,[],,?,,50,+11%,209 kj(50 kcal),+12%,0,-100%,0,-100%,12,+17%,11,+13%,0,-100%,"0,01",+29%,"0,004",+29%,0 g,en faible quantité,0 g,en faible quantité,11 g,en quantité élevée,0.01 g,en faible quantité,5,+37%,C,+37%,C,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,"['Pologne', 'Serbie']",,,,
225,Gressini Avec Olives Noires -,7612376001265,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Gressins']",,,,['France'],"['farine de blé', 'saindoux', 'sel', 'olives noires 2%', 'farine de céréales maltées', 'levure de bière']",,"['Gluten', 'Farine de céréales maltées']",['Non végétalien'],3,?,,412,-2%,1724 kj(412 kcal),-2%,"8,7",-19%,"3,3",+46%,72,+8%,"4,5",+80%,"10,5",-8%,"2,6",+37%,"1,04",+37%,8.7 g,en quantité modérée,3.3 g,en quantité modérée,4.5 g,en faible quantité,2.6 g,en quantité élevée,18,+41%,D,+41%,B,58.5%,23.6%,10.3%,6.6%,0.9%,0.0%,93,,,,,
226,Schüblig,7612462833862,,,,,,,,,['France'],[],,,[],,?,,240,,1004 kj(240 kcal),,20,,7,,1,,"0,5",,14,,"1,9",,"0,76",,,,,,,,,,,,,,,,,,,,,,,,,,
227,Lait drink,7612464367433,,,,,,,,,['France'],[],,,[],,?,,55,,230 kj(55 kcal),,"2,6",,"1,6",,"4,5",,"4,5",,"3,5",,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,,,,
228,Perle de lait Stracciatella - Yoplait - 500g,7612464732446,,500 g,['Pot'],['Yoplait'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts']",['Fabriqué en Suisse'],['Suisse'],,"['France', 'Suisse']","['lait et crème pasteurisés', 'eau', 'sucre', 'copeaux de chocolat 2', '4% ', 'pâte de cacao', 'beurre de cacao', 'sucre', 'sirop de glucose-fructose', 'amidons modifiés de riz et de maïs', 'épaississants : pectines', 'farine de graines de guar', 'jus de citron concentré', 'arôme', ""correcteur d'acidité : citrate de calcium"", 'ferments lactiques', 'bifidus', '\rInfo allergène : contient du lait']","['E14XX - Amidons modifiés', 'E440 - Pectines', 'E412 - Gomme de guar', 'E333 - Citrates de calcium']",['Lait'],"['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,644,+75%,154,+67%,644 kj(154 kcal),+68%,10,+206%,7,+241%,"13,5",+23%,13,+29%,"2,6",-31%,"0,1",-13%,"0,04",-13%,10 g,en quantité modérée,7 g,en quantité élevée,13 g,en quantité élevée,0.1 g,en faible quantité,8,+161%,C,+161%,,,,,,,,,,,,,['CH-2430']
229,Perle de lait - Yoplait - 125g,7612464732460,,125 g,,['Yoplait'],,,,,"['France', 'Suisse']","['Lait et crème pasteurisés', 'sucre', 'eau', 'caramel 2,8% ', 'sucre', 'eau', 'amidons modifiés de riz et de maïs', 'arômes', 'épaississant : gomme de guar', 'sel', 'conservateur : sorbate de potassium', 'acidifiant : acide lactique', ""correcteur d'acidité : hydroxyde de sodium"", 'ferments lactiques', 'bifidus', 'sirop de sucre caramélisé', ' Info allergène : content du lait']","['E14XX - Amidons modifiés', 'E412 - Gomme de guar', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E270 - Acide lactique', 'E524 - Hydroxyde de sodium']",['Lait'],['Non végétalien'],4,626,,?,,626 kj(150 kcal),,8,,"4,8",,17,,16,,"2,4",,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,,,,
230,Natural Tree Syrup - Madal Bal,7612811338826,,,,['Madal Bal'],['Boissons'],"['Sans additifs', 'Sans conservateurs']",,,['France'],"['Sirops de espèces de palmiers sélectionné', ""Sirop d'érable de qualité supérieure""]",,,[],,?,,280,+400%,1172 kj(280 kcal),+386%,"0,4",+15%,"0,4",+239%,67,+493%,"58,5",+520%,"0,5",+1%,"0,37",+792%,"0,148",+792%,0.4 g,en faible quantité,0.4 g,en faible quantité,58.5 g,en quantité élevée,0.37 g,en quantité modérée,21,+174%,E,+174%,,,,,,,,,,,,,
231,Ratatouille - Findus - 600g,7613030008576,,600 g,"['Sachet', 'Plastique', 'surgelé']",['Findus'],"['Surgelés', 'Plats préparés', 'Légumes préparés', 'Ratatouilles']","['Végétarien', 'Fabriqué en Suisse']",,,"['France', 'Suisse']","['Légumes 90 % ', 'tomates en morceaux', 'courgettes grillées', 'aubergines grillées', 'oignons', 'poivrons ', 'poivrons rouges grillées', 'poivrons jaunes grillées', 'huile de tournesol', 'sel de cuisine iodé', 'amidon de maïs', 'épices', 'sucre']",,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,273,+12%,?,,273 kj(65 kcal),-2%,"2,4",-36%,"0,6",+11%,"8,3",+62%,"0,5",-87%,"1,5",+27%,"1,2",+69%,"0,48",+69%,2.4 g,en faible quantité,0.6 g,en faible quantité,0.5 g,en faible quantité,1.2 g,en quantité modérée,-2,-304%,A,-304%,B,69.3%,12.8%,5.7%,6.8%,3.2%,2.3%,79,,,,,
232,Franch aux herbes - Thomy - 700ml,7613030009214,,700ml,,['Thomy'],,,,,"['France', 'Suisse']","['Eau', 'vinaigre de table', 'huile de tournesol 10%', 'sucre', 'amidon modifié', 'sel de cuisine iodé', 'moutarde', ""jaune d'oeuf"", 'exhausteur de goût ', 'glutamate de sodium', 'légumes déshydratés ', 'oignons', 'ail', 'épasississant ', 'gomme xanthane', 'herbes 0', '1% ', 'persil', 'ciboulette', 'aneth', 'épices']","['E14XX - Amidons modifiés', 'E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E415 - Gomme xanthane']","['Œufs', 'Moutarde']",['Non végétalien'],4,501,,?,,501 kj(120 kcal),,"10,3",,"1,6",,"5,4",,3,,"0,8",,"2,2",,"0,88",,,,,,,,,,,,,,,,,,,,,,,,,,
233,Super 8 - 29g,7613030612339,,29 g,,"['Super 8', 'Nestlé']","['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Barres', 'Biscuits et gâteaux', 'Confiseries chocolatées', 'Biscuits', 'Barres chocolatées']","['es:barra de chocolate', 'es:oblea', 'es:oblea bañada']",,,"['Chili', 'France']","['Harinade Trigo', 'Aceite Vegetal Ce Palmiste Fraccionado e Hidrogenado ', 'c01 Antioxidante BHT', 'Aceite Vegetal de Palma ', 'Con Antioxidantes Galato de Propilo y Palmitato de Ascorbilo', 'Suero de Leche en Polvo', 'Cacao en Polvo', 'nChile por Nestlé Chile SA', 'Avenida I as Condes NO 11 *7', 'Comuna de Las Condes • Santiago', ' Fab', ' Maipü', 'Cam', ' a Melipilla 15', '300', ' Res', ' NO 1560 - 24', '09', '90 - S', ' Salud del Ambiente R', 'M', ' Marcas Registradas', 'Procesos y Asistencia Técnica', 'bajo licencia Œ Produits Nestlé SA', ' Vevey', 'Suiza']","[""E304i - Palmitate d'ascorbyle"", 'E310 - Gallate de propyle', 'E500ii - Carbonate acide de sodium', ""E503ii - Carbonate acide d'ammonium""]","['Gluten', 'Aucun', 'Soja']","['Huile de palme', 'Non végétalien']",4,?,,516,+3%,2159 kj(516 kcal),+2%,"25,3",-7%,"15,2",+1%,68,+23%,55,+22%,4,-41%,0,-100%,0,-100%,25.3 g,en quantité élevée,15.2 g,en quantité élevée,55 g,en quantité élevée,0.000375 g,en faible quantité,26,+7%,E,+7%,D,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,,,,
234,Napolitain - Chocolats assortis - Cailler - 500g e,7613031079506,,500 g e,"['Sachet', 'Plastique']","['Cailler', 'Nestlé']","['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Assortiments de chocolats']","['Agriculture durable', 'en:UTZ Certified', 'Point Vert', 'en:utz-certified-cacao']",['Suisse'],,"['France', 'Suisse']","['Lait condensé sucré ', 'lait', 'lait écrémé', 'sucre', 'sucre', 'beurre de cacao', 'pâte de cacao', 'lait entier en poudre', 'amandes', 'cacao', 'noisettes', 'beurre fondu', 'FR : beurre pâtissier', 'miel', 'émulsifiant ', 'lécithines', 'sirop de glucose', ""blanc d'œuf en poudre"", 'extrait de vanille']",['E322 - Lécithines'],"['Œufs', 'Lait', 'Fruits à coque']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,?,,561,+2%,2347 kj(561 kcal),+2%,"35,3",-3%,"18,4",-13%,"50,9",+10%,"49,8",+20%,"8,6",+20%,"0,22",+63%,"0,088",+63%,35.3 g,en quantité élevée,18.4 g,en quantité élevée,49.8 g,en quantité élevée,0.22 g,en faible quantité,25,+2%,E,+2%,,,,,,,,,,,,,
