,name,bar_code,quantity,packaging,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,categories,labels,markets,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,allergens,nova_score,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,manufacturing,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,additives,traceability_code,brand_owner,ingredients_origins,generic_name,link,palm_ingredients
21,Sauté de porc sauce piquante et purée,3356067776318,,,,['France'],[],[],?,110,"6,2","7,4","5,8",,['Fabriqué en France'],,,,,,,,,,,,,,,,,460 kj(110 kcal),"3,4","1,5",1,"0,4",,,,,,,,,,,,,,,,,,,,"['FR 62.865.007 CE', 'Vitry-en-Artois (Pas-de-Calais, France)']",,,,,
22,Sauté de dinde à la normande et riz pilaf - 290g,3356067764377,290 g,,,['France'],[],[],?,101,"2,1",15,"5,5",,['Fabriqué en France'],,,,,,,,,,,,,,,,,423 kj(101 kcal),1,"0,8","0,9","0,36",,,,,,,,,,,,,,,,,,,,"['FR 62.865.007 CE', 'Vitry-en-Artois (Pas-de-Calais, France)']",,,,,
23,Pilons de poulet -  - 1kilo,0213147027223,1 kilo,,,['France'],[],[],?,?,?,?,?,"['Viandes', 'Volailles', 'Poulets', 'Volailles cuites', 'Poulets cuisinés', 'Manchons de poulet']",['Fabriqué en France'],,,,,,,D,83.0%,9.4%,2.7%,2.7%,1.4%,0.9%,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,3582680244792,3582680244792,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Biscuits artisanaux - 80g,3700442602615,80 g,,,['France'],[],[],?,437,13,70,"8,1",,['Sans colorants'],,,,,,,,,,,,,,,,,1828 kj(437 kcal),"1,3",44,"0,51","0,204",,,,,,,,,,,,,,,,,,,,,,,,,
26,Pineau des charentes,3263858124008,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
27,Raixa Pa Moreno,8436546340096,,,['Raixa'],['France'],[],[],?,268,"1,6","53,1","8,5",,,,,,,,,,,,,,,,,,,1121 kj(268 kcal),"0,27","2,2","0,05","0,02",,,,,,,,,,,,,,,,,,,,,,,,,
28,3489941049281,3489941049281,,,,['France'],[],[],?,?,?,?,?,"['Non alimentaire', 'Open Beauty Facts']","['Bio', 'Fabriqué en France', 'Sans conservateurs']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Saucisson à l'ail,3263858673414,,,,['France'],[],[],?,277,"24,6","1,4","12,5","['Viandes', 'Charcuteries', 'Saucissons', ""Saucissons à l'ail""]",,,,+1%,+10%,+27%,-22%,E,80.5%,12.7%,2.9%,1.1%,0.6%,2.3%,21,,,1159 kj(277 kcal),"9,6","1,4","3,1","1,24",,24.6 g,en quantité élevée,9.6 g,en quantité élevée,1.4 g,en faible quantité,3.1 g,en quantité élevée,+1%,+12%,+96%,+47%,+47%,22,+14%,E,+14%,,"['EMB 44180C', 'Saint-Mars-la-Jaille (Loire-Atlantique, France)', 'FR 44.180.004 CE', 'Saint-Mars-la-Jaille (Loire-Atlantique, France)']",,,,,
30,77337788,77337788,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Steak charolais - 240g,2319900002402,240 g,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 03.185.005 CE', 'Montluçon (Allier, France)', 'FR 03.185.002 CE', 'Montluçon (Allier, France)']",,,,,
32,Questbar - Quest,0888849000647,,,['Quest'],"['France', 'États-Unis']","['Protein blend ', 'whey protein isolate', 'milk protein isolate', 'isomalto-oligosaccharides++ ', 'prebiotic fiber', 'almonds', 'apples', 'water', ' contains less than 2% of the following: sea salt', 'cinnamon', 'lo han guo', 'natural flavors', 'sucralose']",['Non végétalien'],?,300,"8,33","41,67","33,33",['Snacks'],,,,-33%,-60%,-26%,+430%,,,,,,,,,['Fruits à coque'],4,1255 kj(300 kcal),0,"6,67","1,375","0,55",,8.33 g,en quantité modérée,0 g,en faible quantité,6.67 g,en quantité modérée,1.38 g,en quantité modérée,-33%,-100%,-78%,+161%,+161%,0,-100%,B,-100%,['E955 - Sucralose'],,"QUEST NUTRITION, LLC",,,,
33,2812877045729,2812877045729,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Ti ! Bio Cacao,3390390003659,,,,['France'],[],[],?,332,21,"12,4","22,3",,"['Bio', 'Bio européen', 'FR-BIO-01']",,,,,,,,,,,,,,,,,1389 kj(332 kcal),"13,2","0,3","0,08","0,032",,,,,,,,,,,,,,,,,,,,,,,,,
35,Mes crêpes bio au froment - NaturéO,3701091707652,,,['NaturéO'],['France'],[],[],?,267,"7,9","43,5","5,8",,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,1117 kj(267 kcal),"2,6","14,8","0,89","0,356",,,,,,,,,,,,,,,,,,,,,,,,,
36,chocapic - Nestlé - 1kg,04447625,1kg,['boîte carton'],"['Nestlé', 'Chocapic']",['France'],"['Céréales 65,4% ', 'blé complet 33,5%', 'farine de blé 16,8%', 'semoule de mais', 'chocolat en poudre 22,8% ', 'sucre', 'cacao en poudre', 'sirop de glucose', 'sucre', ""extrait de malt d'orge "", 'orge', 'orge malté', 'huile de tournesol', 'vitamines et minéraux ', 'carbonate de calcium', 'niacine', 'acide pantothénique', 'fer', 'vitamine D', 'vitamine B6', 'thiamine', 'riboflavine', 'acide folique', 'émulsifiant ', 'lécithine de tournesol', 'sel', 'arômes naturels', ' Peut contenir du lait', 'des arachides et des fruits à coque', "" Nous avons utilisé 33,5 g de blé complet pour produire 100g de céréales CHOCAPIC® Plus d'informations? 0 806 800701 SERVICE GRATUIT www"", 'nestle-cereals', 'fr Service Consommateurs Nestlé France', 'BP 900 Noisiel', '77446 Marne-la-Vallée Cedex 2 Veuillez conserver les coordonnées Nestlé en cas de besain +PRIX APPEL', ' NUTRITIONAL COMPASS Reg', ' Trademark of Société des Produits Nestle S', 'A']",[],?,387,"4,67","73,3","8,33","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Céréales au chocolat']",,['Leclerc'],,-8%,-54%,+4%,+5%,C,74.0%,13.1%,5.1%,5.5%,2.3%,0.0%,60,['Gluten'],4,1620 kj(387 kcal),"1,33",25,"0,333","0,133",,4.67 g,en quantité modérée,1.33 g,en faible quantité,25 g,en quantité élevée,0.333 g,en quantité modérée,-8%,-59%,-0%,-34%,-34%,6,-40%,C,-40%,['E322i - Lécithine'],,,,,,
37,Parmentier de Porc,3273230372460,,,,['France'],[],[],?,125,"6,2",11,"5,5",,"['Viande-francaise', 'Viande-porcine-francaise']",,,,,,,,,,,,,,,,,523 kj(125 kcal),"2,3","4,5",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,
38,Moutarde fine et douce - Cora,3257986241232,,,['Cora'],['France'],[],[],?,850,"17,2","7,2","4,3",,,,,,,,,,,,,,,,,,,3556 kj(850 kcal),"1,6","5,8","3,7","1,48",,,,,,,,,,,,,,,,,,,,,,,,,
39,Guimauves fantaisies aromatisées goût framboises,2080750180212,,,,['France'],[],[],?,344,0,82,4,,,,,,,,,,,,,,,,,,,1439 kj(344 kcal),0,74,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,
40,La couronne - Cloche d'Or - 170g,3224338600108,170g,,"[""Cloche d'Or""]",['France'],"['CERTIFIE PAR FR-810-16 AGRICULTURE FRANCE E CER COURONNE 170g BIO AB t AGRICULTURE BIOLOGIQUE FROMAGE AFFINE AU LAIT CRU DE CHEVRE BIO Ingredients lait cru entier de chèvre* 98', '4 ', 'origine France', 'sel', 'ferments presure animale', ""colorant charbon vegetal Ingredient issu de l'agriculture biologique"", ' No 1ot/']",[],?,254,21,"1,2",15,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-16']",['Intermarché'],,,,,,,,,,,,,,,,1063 kj(254 kcal),17,"1,1",1,"0,4",['Touraine'],,,,,,,,,,,,,,,,,,,"['FR 37.186.031 CE', 'Pont-de-Ruan (Indre-et-Loire, France)']",,,,,
41,Snoek sale,6149170912004,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Fleurie,3770000924114,,,,['France'],[],[],?,?,?,?,?,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français', 'Fleurie']",,,,,,,,C,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,,,,,0,0,,,,,,,,,,,,,-100%,-100%,,,,,,,,['France'],,,
