,name,bar_code,quantity,packaging,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,categories,labels,markets,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,allergens,nova_score,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,manufacturing,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,additives,traceability_code,brand_owner,ingredients_origins,generic_name,link,palm_ingredients
53,Ice mandarine-fraise tea,3217690057529,,,,['France'],[],[],?,307,"0,5",77,"0,5",,,,,,,,,,,,,,,,,,,1284 kj(307 kcal),"0,1",74,"0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,
54,Corn Flakes - 220g,8002816805109,220 g,,,['France'],[],[],?,371,1,81,8,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Flocons', 'Flocons de céréales', 'Céréales extrudées', 'Flocons extrudés', 'Corn-flakes']",,,,-2%,-8%,-2%,+11%,C,74.0%,13.1%,5.1%,5.5%,2.3%,0.0%,60,,,1552 kj(371 kcal),"0,3",6,2,"0,8",,1 g,en faible quantité,0.3 g,en faible quantité,6 g,en quantité modérée,2 g,en quantité élevée,-2%,+5%,-44%,+65%,+65%,13,+74%,D,+74%,,,,,,,
55,Merguez véritable - Jean Rozé,3250392334970,,,['Jean Rozé'],['France'],[],[],?,265,22,"1,5",15,"['Viandes', 'Charcuteries', 'Saucisses', 'Merguez']",,,,+1%,+2%,-29%,+5%,E,92.9%,4.8%,1.4%,0.6%,0.3%,0.1%,4,,,1109 kj(265 kcal),10,"1,2","2,3","0,92",,22 g,en quantité élevée,10 g,en quantité élevée,1.2 g,en faible quantité,2.3 g,en quantité élevée,+1%,+9%,+4%,+20%,+20%,22,+17%,E,+17%,,,,,,,
56,Crêpes vietnamiennes - Psp - 350g,3379141812498,350g,,['Psp'],['France'],"['Farine de riz', 'Farine de blé', 'Crevette ', 'Penaeus monodon', 'Pois vert', 'Pousses haricot mungo', 'Patate', 'Oignon', 'Assaisonnement', ' METHODE DE CONSERVATION']","['Non végétalien', 'Non végétarien']",?,138.9,"2,5","23,7","5,5","['Crêpes et galettes', 'Crêpes']",,,,-55%,-75%,-48%,-23%,B,67.6%,15.0%,9.2%,4.1%,4.2%,0.0%,86,"['Crustacés', 'Gluten']",1,581 kj(138 kcal),"1,9","0,5","0,3","0,12",,2.5 g,en faible quantité,1.9 g,en quantité modérée,0.5 g,en faible quantité,0.3 g,en quantité modérée,-55%,-48%,-98%,-63%,-63%,0,-100%,B,-100%,,,,,,,
57,Perles océanes au saumon et aux algues - La Belle Henriette,3342280892843,,,['La Belle Henriette'],['France'],[],[],?,150,"7,6",15,"4,7",,,,,,,,,,,,,,,,,,,628 kj(150 kcal),1,1,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,
58,vinaigrette vin rouge,3480886552331,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Petite tresse russe,7616700213744,,,,"['France', 'Suisse']",[],[],?,371,15,50,8,,,,,,,,,,,,,,,,,,,1552 kj(371 kcal),3,17,"0,65","0,26",,,,,,,,,,,,,,,,,,,,,,,,,
60,Lacrouze Pale Ale - Brasserie des 2 Roches - 75cl,3760277540001,75 cl,,['Brasserie des 2 Roches'],['France'],[],[],?,?,?,?,?,"['Boissons', 'Boissons alcoolisées', 'Produits artisanaux', 'Bières', 'Alcools artisanaux', 'Bières françaises', 'Bières artisanales', 'Bières blondes', 'Pale Ale']",,,,,,,,C,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Ail,3700444404392,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Banana Chips Bio - Interbari - 90g,8413111012558,90 g,,['Interbari'],"['France', 'Espagne']",[],[],?,559,"33,6",58,"2,3","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Bananes séchées']","['Bio', 'Bio européen', 'ES-ECO-020-CV']",,,+15%,+33%,-4%,+24%,D,59.6%,25.6%,2.0%,11.4%,1.4%,0.0%,29,,,2339 kj(559 kcal),"28,9",35,"0,01","0,004",,33.6 g,en quantité élevée,28.9 g,en quantité élevée,35 g,en quantité élevée,0.01 g,en faible quantité,+15%,+50%,+68%,-92%,-92%,17,+44%,D,+44%,,,,,,,
63,Whiskas,50045426,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Les rochers pralinés,3266191014708,,,,['France'],[],[],?,?,?,?,?,,['Fabriqué en France'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Carrefour - Boule,0202025012468,,,,['France'],[],[],?,?,?,?,?,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
