,name,bar_code,eco_score,brand,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,quantity,packaging,labels,allergens,nova_score,manufacturing,traceability_code,markets,additives,ingredients_origins,link,palm_ingredients,brand_owner
522,Café Moulu Pur arabica Classique - Belle France,3258561030364,E,['Belle France'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Cafés', 'Cafés moulus']",['France'],['café moulu 100% arabica'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,96.9%,0.9%,0.7%,1.3%,0.2%,0.0%,10,,,,,,1,,,,,,,,
523,Intermarché Pains au chocolat pur beurre -,0260146018370,D,,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Pains au chocolat']",['France'],[],[],22.8 g,en quantité élevée,14.9 g,en quantité élevée,8.3 g,en quantité modérée,0.88 g,en quantité modérée,?,,383,-3%,1602 kj(383 kcal),-3%,"22,8",+4%,"14,9",+12%,35,-17%,"8,3",-31%,"8,4",+17%,"0,88",-3%,"0,352",-3%,18,-9%,D,-9%,81.1%,12.4%,3.5%,2.7%,0.3%,0.0%,50,,,,,,,,,,,,,,
524,Morito - Auchan - 20cl,3596710404988,,['Auchan'],,['France'],[],[],,,,,,,,,?,,56,,234 kj(56 kcal),,0,,0,,14,,13,,0,,2,,"0,8",,,,,,,,,,,,,,20cl,,"['Sans alcool', 'Produits faisant référence au Mojito']",,,,,['Auchan'],,,,,
525,Pileje Escofine Relaxation,3760142290116,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,
526,Sucette chat 35g - confiserie chocolaterie,4039198924061,E,['confiserie chocolaterie'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']","['France', 'Italie']",[],[],38 g,en quantité élevée,23 g,en quantité élevée,53 g,en quantité élevée,0.16 g,en faible quantité,?,,577,+62%,2414 kj(577 kcal),+61%,38,+1943%,23,+2070%,53,-36%,53,-9%,"5,6",+164%,"0,16",+32%,"0,064",+32%,27,+88%,E,+88%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,,,,,,,,,,,,
527,Choco thins,20474942,,,,['France'],"['89% dark chocolate ', 'sugar', 'cocoa mass', 'cocca butter', 'cocoa powder', 'emulsifier: soya lecithins', 'natural vanilla flavouring', '11% puffed rice ', 'rice flour', 'sugar', 'barley malt extract', 'salt', 'stabiliser: calcium carbonate', 'colza oil', 'emulsifier: soya lecithins', '0,35% natural mint flavouring', 'dark chocolate contains: cocoa solids 57% minimum', 'allergy advioo']",[],,,,,,,,,?,,533,,2230 kj(533 kcal),,"31,3",,"19,8",,"51,5",,43,,"7,6",,"0,16",,"0,064",,,,,,,,,,,,,,,,"['Agriculture durable', 'en:UTZ Certified']",,4,,,,['E322 - Lécithines'],,,,
528,La cabriquette,3199241024009,,,,['France'],[],[],,,,,,,,,?,,307,,1284 kj(307 kcal),,25,,18,,"2,5",,1,,18,,"1,5",,"0,6",,,,,,,,,,,,,,,,,,,,,,,,,,
529,Boutons de rose - Fauchon,0697893035402,,['Fauchon'],,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
530,Auchan Dosette Café Classique x36 - - 250g,3596710334971,,['Auchan'],"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Boissons chaudes', 'Cafés', 'Dosettes', 'Cafés en dosettes']","['France', 'Espagne']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,250 g,,,,,,,['Auchan'],,,,,
531,Cailloux aux amandes,9999990060631,,,,['France'],[],[],,,,,,,,,?,,473,,1979 kj(473 kcal),,19,,15,,64,,63,,9,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
532,Chocolat blanc - COOP - 100g,7613379156914,E,['COOP'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats blancs']","['France', 'Suisse']","['sucre', 'beurre de cacao 30%', 'lait écrémé en poudre ', 'Suisse', 'petit-lait en poudre', 'beurre fondu', 'émulsifiant ', 'E 322 de soja', 'arôme naturel']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",34 g,en quantité élevée,20 g,en quantité élevée,56 g,en quantité élevée,0.2 g,en faible quantité,?,,562,-1%,2351 kj(562 kcal),-0%,34,-6%,20,-7%,60,+13%,56,+11%,4,-40%,"0,2",-22%,"0,08",-22%,27,+1%,E,+1%,91.5%,4.7%,1.2%,2.1%,0.4%,0.0%,24,Chocolat Blanc,100 g,"['Papier', 'Plastique']","['Commerce équitable', 'en:FSC', 'FSC Mix', 'Max Havelaar', 'Max-havelaar-cacao-program']","['Lait', 'Soja']",4,,['FSC-C017205'],['Coop'],['E322 - Lécithines'],,,,
533,Milka Collage Caramel 93G,7622210489289,,['Milka'],,['France'],[],[],,,,,,,,,?,,553,,2314 kj(553 kcal),,34,,19,,55,,52,,"5,5",,"0,32",,"0,128",,,,,,,,,,,,,,,,,,,,,,,,,,
534,Confit de canard - le petit marmiton - 680,3113010138605,E,['le petit marmiton'],"['Viandes', 'Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Volailles', 'Plats à la volaille', 'Plats au canard', 'Canards', 'Confits de canard']",['France'],"['Cuisses de canard*', 'graisse de canard', 'sel', ' *Origine UE']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",21.4 g,en quantité élevée,7 g,en quantité élevée,0.5 g,en faible quantité,1.6 g,en quantité élevée,1196,+8%,?,,1196 kj(286 kcal),+1%,"21,4",+1%,7,-3%,"< 0,5",-51%,"< 0,5",+89%,"23,8",+8%,"1,6",+7%,"0,64",+7%,16,+5%,D,+5%,79.0%,12.3%,1.9%,2.6%,1.0%,3.3%,27,,680,['4/5 cuisses'],,,3,,,,,['Union européenne'],,,
535,Sardines piquantes - Splendida - 88g,5601010511828,,['Splendida'],,['France'],[],[],,,,,,,,,?,,178,,745 kj(178 kcal),,"9,8",,"1,7",,"0,5",,"0,5",,22,,"1,8",,"0,72",,,,,,,,,,,,,,88 g,,,,,,,,,,,,
536,dankek fruit  cake - 210g,8690504064190,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,210 g,,,,,,,,,,,,
537,Protein whipped bites fraise - ON - 76g ( 2x 38g),5060469985084,,"['ON', 'Optimum Nutrition']","['Compléments alimentaires', 'Compléments pour le Bodybuilding', 'Barres protéinées']","['France', 'Italie']",[],[],11 g,en quantité modérée,6.3 g,en quantité élevée,2.6 g,en faible quantité,0.48 g,en quantité modérée,?,,320,-14%,1339 kj(320 kcal),-14%,11,-15%,"6,3",+7%,38,+16%,"2,6",-80%,26,-11%,"0,48",-2%,"0,192",-2%,7,-32%,C,-32%,,,,,,,,Protein whipped bites fraise,76 g ( 2 x 38 g),,,,,,,,,,,,
538,Cocktail de fruits de mer,8710319092017,,,,['France'],[],[],,,,,,,,,?,,72,,301 kj(72 kcal),,"1,7",,"0,7",,"1,3",,0,,13,,"1,6",,"0,64",,,,,,,,,,,,,,,,,,,,,,,,,,
539,Macérât huileux Lys - Aroma zone - 100ml,00587,,['Aroma zone'],,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,100 ml,,,,,,,,,,,,
540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
541,Hitman,0640509040147,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
542,Mauricette,3509190006931,,,,['France'],[],[],,,,,,,,,?,,0,,0 kj(0 kcal),,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
543,tartelette fine aux pommes - carrefour - 140g,0202935011810,B,['Carrefour'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Tartes', 'Tartes sucrées', 'Pâtisseries', 'Tartes aux pommes']",['France'],"['pomme golden 46%,\rpâte feuilletée 41%,\rfarine de blé,\rbeurre,\reau,\rsucre,\rsel,\rnappage ', 'sirop de glucose-fructose', 'eau', 'sucre', ""purée d'abricot"", 'gélifiants: E440 et E401', 'acidifiant E330', 'arome', 'conservateurs: E202', 'colorants: E163 et E160a', "",\rpoudre d'amande,\rsucre saveur vergeoise "", 'sucre', 'sirop de sucre inverti', 'antiagglomérant: glycérol', 'caramel']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,67.5%,16.8%,7.5%,4.2%,4.0%,0.0%,84,,140 g,['boîte en plastique'],,"['Gluten', 'Lait']",4,,,"['carrefour market', 'Carrefour']","['E440 - Pectines', 'E401 - Alginate de sodium', 'E330 - Acide citrique', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E163 - Anthocyanes', 'E160a - Carotènes mélangés', 'E422 - Glycérol']",,,,
544,Natürbal - 300g,5997214751130,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,300 g,,,,,,,,,,,,
545,Noix de cajou - Noberasco,8005120209731,E,['Noberasco'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Noix de cajou']",['France'],[],[],13 g,en quantité modérée,2.3 g,en quantité modérée,5.9 g,en quantité modérée,0.03 g,en faible quantité,?,,595,-1%,2489 kj(595 kcal),-0%,13,-72%,"2,3",-73%,30,+17%,"5,9",-9%,18,-4%,"0,03",-95%,"0,012",-95%,0,-100%,B,-100%,85.9%,1.5%,2.7%,6.9%,1.9%,1.2%,21,,,,,,,,,,,,,,
546,Ail avec piment piquant - Celorrio,8411916304571,,['Celorrio'],,['France'],[],[],,,,,,,,,?,,274,,1146 kj(274 kcal),,27,,"4,2",,"4,4",,0,,"1,8",,"1,4",,"0,56",,,,,,,,,,,,,,,,,,,,,,,,,,
547,thé vert bio - plantasia - 20sachets,3388742804030,,['Plantasia'],['Fairtrade'],['France'],"['Thé Vert du jardin AMBOOTIA bio 92%', ""Jasmin issus de l'agriculture biologique 7%"", 'fleurs de Jasmin bio 1%']",[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,20 sachets,['Sachets'],"['Bio', 'Bio européen', 'Commerce équitable', 'AB Agriculture Biologique', 'Max Havelaar']",,,,,,,,,,
548,Heroes - Cadbury,7622210706089,,['Cadbury'],,['France'],[],[],,,,,,,,,?,,499,,2088 kj(499 kcal),,25,,15,,62,,52,,"5,9",,"0,33",,"0,132",,,,,,,,,,,,,,,,,,,,,,,,,,
549,"Thé Vert Subtilement aromatisé - Netto - 32,5g",3250392427894,,['Netto'],,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,"32,5 g",['x25 sachets'],,,,,,,,,,,
550,Beurre arachide patte de datte,6132070900226,,,,['France'],[],[],,,,,,,,,?,,715,,2992 kj(715 kcal),,63,,1,,24,,1,,12,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
551,Jambon d'Ardenne igp -,5420027310688,E,,"['Viandes', 'Charcuteries', 'Produits à la viande', 'Jambons', 'Jambons crus', 'Jambons secs', 'Produits carnés belges', ""Jambon d'Ardenne"", 'en:raw-cured-ham']",['France'],[],[],10 g,en quantité modérée,3.7 g,en quantité modérée,1 g,en faible quantité,5 g,en quantité élevée,?,,182,-24%,761 kj(182 kcal),-24%,10,-26%,"3,7",-29%,1,+54%,1,+130%,22,-24%,5,+2%,2,+2%,15,-12%,D,-12%,81.4%,16.7%,0.3%,0.9%,0.5%,0.3%,7,,,,['IGP'],,,,,,,,,,
552,Bipertegia poudre de piment d'espelette AOP - 45g,3760137390005,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,45 g,,,,,,,,,,,,
553,Vanille bourbon,3274373062003,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
554,Riz Rond La Fuensantica,8411880444433,,,,['France'],[],[],,,,,,,,,?,,354,,1481 kj(354 kcal),,"6,04",,"0,626",,"60,65",,"10,7",,"19,3",,"0,06",,"0,024",,,,,,,,,,,,,,,,,,,,,,,,,,
555,Tesco Brazil Nuts,10112267,,['Tesco'],,"['France', 'Royaume-Uni']",[],[],,,,,,,,,?,,689,,2883 kj(689 kcal),,"66,4",,"15,1",,"4,8",,"2,3",,"14,3",,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,,,,,,
556,Miel de montagne - L'Abeille Verte,3760140330081,B,"[""L'Abeille Verte""]","['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de fleurs', 'Produits de montagne', 'Miels de montagne']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture UE', 'FR-BIO-01']",,,,,,,['France'],,,
557,huile,3760100682472,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,['Fabriqué en France'],,,,,,,,,,
558,Naturbal Honeycomb With Syrup - 400g,5997214751161,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,400 g,,,,,,,,,,,,
559,Eau de source de montagne - 12 x 33 cl UNITÉ - Marque Repère - 4440g,3564700427064,,"['Marque Repère', 'Laqueuille']","['Boissons', 'Eaux', 'Eaux de sources']",['France'],"['Résidu sec à 180°C : 74 mg/l - pH : 7,5']",[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,0,-100%,A,-100%,,,,,,,,,4440 g,['Bouteille'],,,,,,['Leclerc'],,,,,
560,Petit frais curcuma,3770009610049,,,,['France'],[],[],,,,,,,,,?,,350,,1464 kj(350 kcal),,27,,"5,2",,"14,1",,"0,2",,"12,7",,"0,2",,"0,08",,,,,,,,,,,,,,,,,,,,,,,,,,
561,betteraves rouges - daucy - 300grammes,11737056,A,['Daucy'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Légumes et dérivés', 'Légumes en conserve', 'Betteraves', 'Betteraves en conserve', 'Légumes cuits en conserves']",['France'],['daucy Betteraves rOUges CROQUANTES - Dejà égouttées 100 cultivee en France'],[],0 g,en faible quantité,0 g,en faible quantité,6.5 g,en quantité modérée,0.54 g,en quantité modérée,?,,40,-11%,167 kj(40 kcal),-9%,0,-100%,0,-100%,"7,7",+14%,"6,5",+5%,"1,1",-19%,"0,54",+37%,"0,216",+37%,-2,,A,,65.8%,0.0%,0.0%,19.7%,13.6%,0.9%,99,,300 grammes,['Conserves'],,,,['France'],,['Carrefour'],,['France'],,,
562,Velouté potiron et graines de courge - Liebig - 1L,5414972123554,B,['Liebig'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Plats préparés', 'Soupes', 'Veloutés', 'Soupes de légumes', 'Veloutés de légumes', 'Veloutés de potiron']","['Belgique', 'France']",[],[],1 g,en faible quantité,0.5 g,en faible quantité,1.6 g,en faible quantité,0.67 g,en quantité modérée,?,,34,-6%,142 kj(34 kcal),-5%,1,-32%,"0,5",-42%,5,+10%,"1,6",-24%,"0,8",+16%,"0,67",+6%,"0,268",+6%,2,+6%,B,+6%,25.5%,33.0%,16.0%,11.0%,10.2%,4.3%,97,,1L,,"['Bio', 'Bio européen', 'FR-BIO-10']",,,,,['Delhaize'],,,,,
563,"Mousse De Canard, Entenmousse Mit Kirschwasser",3018253188007,D,,"['Viandes', 'Produits à tartiner', 'Charcuteries', 'Produits à tartiner salés', 'Mousses salées', 'Mousses de canard']",['France'],[],[],36 g,en quantité élevée,12 g,en quantité élevée,0.6 g,en faible quantité,1.3 g,en quantité modérée,?,,378,-6%,1582 kj(378 kcal),-5%,36,-7%,12,-15%,"0,6",-81%,"0,6",-69%,12,+29%,"1,3",-12%,"0,52",-12%,19,-7%,E,-7%,78.1%,15.2%,3.0%,2.3%,1.1%,0.3%,36,,,,,,,,,,,,,,
564,2 Pavés de saumon -  - 250g,3250392481742,C,,"['Produits de la mer', 'Poissons', 'Saumons', 'Pavés de saumon']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,96.3%,0.0%,1.4%,1.4%,0.7%,0.2%,24,,250 g,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-10', 'Agriculture Norvège']",,,,,,,['Norvège'],,,
565,Versaillais - Auchan,2090000179439,,['Auchan'],,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,['Auchan'],,,,,
566,Heath & Heather Organic Rooibos Tea X20,5060123609547,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'GB-ORG-05']",,,,,,,,,,
567,Baguette precuite blanche,20771805,,,,['France'],[],[],,,,,,,,,?,,237,,992 kj(237 kcal),,"0,5",,"0,1",,"48,2",,"2,6",,"8,1",,"0,9",,"0,36",,,,,,,,,,,,,,,,,,,,,,,,,,
568,Froletti con mirtilli rossi - Laurieri,8015565033709,,['Laurieri'],,['France'],[],[],,,,,,,,,?,,471,,1971 kj(471 kcal),,18,,"2,5",,69,,24,,"7,4",,"0,41",,"0,164",,,,,,,,,,,,,,,,,,,,,,,,,,
569,Nems,3250391672882,C,,"['Plats préparés', 'Nems']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,62.8%,18.1%,4.7%,5.0%,2.0%,7.4%,57,,,,,,,,"['FR 44.072.002 CE', 'Herbignac (Loire-Atlantique, France)']",,,,,,
570,Fagiolini verdi finissimi,8024370054809,,,,['France'],[],[],,,,,,,,,?,,24,,100 kj(24 kcal),,"0,5",,"0,2",,"2,3",,"0,6",,"1,6",,"0,75",,"0,3",,,,,,,,,,,,,,,,,,,,,,,,,,
571,Torsades riz complet - La Vie Claire - 500g,3266191006994,,['La Vie Claire'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Pâtes de riz']",['France'],[],[],2.8 g,en faible quantité,0.7 g,en faible quantité,0.9 g,en faible quantité,0.015 g,en faible quantité,1495,+5%,?,,1495 kj(357 kcal),+1%,"2,8",+74%,"0,7",+57%,"73,9",-2%,"0,9",+49%,"6,4",-12%,"0,015",-74%,"0,006",-74%,-2,,A,,,,,,,,,,500 g,,"['Bio', 'Bio européen', 'en:gluten-free', 'Agriculture UE', 'FR-BIO-01', 'AB Agriculture Biologique']",,,,,['La Vie Claire'],,['Union européenne'],,,
572,"Baguette viennoise, la pièce de 200 gr - Intermarché",3250390883340,,['Intermarché'],"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Pains briochés']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,['Intermarché'],,,,,
573,Salatka warzywna z jajkiem,5900344523171,,,,['France'],[],[],,,,,,,,,?,,226,,946 kj(226 kcal),,"19,5",,2,,"9,3",,"2,8",,"2,5",,"1,3",,"0,52",,,,,,,,,,,,,,,,,,,,,,,,,,
574,Tukas Mayonneise -,8690508901415,D,,"['Epicerie', 'Sauces', 'Mayonnaises']",['France'],[],[],30 g,en quantité élevée,2 g,en quantité modérée,2.5 g,en faible quantité,1 g,en quantité modérée,?,,291,-53%,1218 kj(291 kcal),-52%,30,-55%,2,-68%,6,+123%,"2,5",+71%,"0,2",-84%,1,-25%,"0,4",-25%,8,-55%,C,-55%,80.2%,9.6%,5.0%,3.2%,1.6%,0.4%,49,,,,,,,,,,,,,,
575,Mélange pour Taboulé - Sainte Lucie - 45g,3162050040935,B,['Sainte Lucie'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', ""Mélanges d'épices""]",['France'],"['Sel', 'oignon', 'piment doux', 'poivron', 'menthe douce', 'ail', 'persil', 'poivre noir']","['Sans huile de palme', 'Végétalien', 'Végétarien']",,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,57.6%,0.0%,22.5%,15.7%,4.2%,0.0%,86,,45 g,['Flacon verre'],,,3,,"['EMB 60282A', 'Gouvieux (Oise, France)']",,,,,,
576,Balletjes,8718906543706,,,,['France'],[],[],,,,,,,,,?,,175,,732 kj(175 kcal),,7,,"0,8",,8,,"1,5",,18,,"1,5",,"0,6",,,,,,,,,,,,,,,,,,,,,,,,,,
577,Rillettes de canard -,3760147240130,D,,"['Viandes', 'Produits à tartiner', 'Charcuteries', 'Produits à tartiner salés', 'Rillettes', 'Rillettes de viande', 'Rillettes de viande blanche', 'Rillettes de volaille', 'Rillettes de canard']",['France'],[],[],21.1 g,en quantité élevée,6 g,en quantité élevée,0.13 g,en faible quantité,1.93 g,en quantité élevée,?,,263,-34%,1100 kj(263 kcal),-35%,"21,15",-42%,6,-52%,"0,15",-74%,"0,13",-48%,18,+11%,"1,93",+41%,"0,772",+41%,16,-17%,D,-17%,74.1%,17.7%,4.6%,2.1%,1.2%,0.3%,39,,,,,,,,,,,,,,
578,"Viande hachée pur boeuf, 20% de mat. Gr. - Bigard",3273230066895,,['Bigard'],,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
579,Baguette Tradition Française - 250g,3289665007006,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,250 g,,,,,,,,,,,,
580,Veritable cervelas d'Alsace - Iller,3481910312587,E,['Iller'],"['Viandes', 'Charcuteries', 'Saucisses', 'Cervelas', ""Cervelas d'Alsace""]",['France'],[],[],32 g,en quantité élevée,12 g,en quantité élevée,0.8 g,en faible quantité,2.2 g,en quantité élevée,?,,343,+14%,1435 kj(343 kcal),+14%,32,+19%,12,+20%,"0,8",-5%,"0,8",+27%,13,-4%,"2,2",+11%,"0,88",+11%,23,+11%,E,+11%,84.3%,9.6%,1.8%,1.2%,0.7%,2.5%,23,,,,,,,,"['EMB 67008', 'Altorf (Bas-Rhin, France)']",,,,,,
581,Rouleau de reglisse avec une gomme à macher - Patrelle,3215470515306,,['Patrelle'],,['France'],[],[],,,,,,,,,?,,315,,1318 kj(315 kcal),,"1,7",,0,,72,,40,,3,,1,,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,
582,poêlée océane - eismann - 900g,0405197918167,,['Eismann'],,['France'],"['riz prévoit ', 'eau', 'riz,sel', ""46%crème fraîche colin d'Alaska 8%saumon 6%fèves"", 'beurre', 'poireaux', 'arômes ', 'crustacés', 'écailles de paprika', 'sel']",['Non végétalien'],,,,,,,,,?,,141,,590 kj(141 kcal),,"6,5",,"4,7",,"17,2",,"1,2",,"3,4",,"0,74",,"0,296",,,,,,,,,,,,,,900g,['Sachet'],,"['Crustacés', 'Lait']",4,,,,,,,,
583,Mélange paëlla à l'espagnole - Sainte Lucie - 30g,3162050043080,B,['Sainte Lucie'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', ""Mélanges d'épices""]",['France'],"['Paprika – Sel – Curcuma – Oignon - Poivron rouge – Herbes de Provence ', 'romarin', 'thym', 'marjolaine', 'origan', 'basilic', 'sarriette', ' - Poivre – Ail – Arôme']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,57.6%,0.0%,22.5%,15.7%,4.2%,0.0%,86,,30 g,['Sachet plastique'],,,4,,"['EMB 60282A', 'Gouvieux (Oise, France)']",,,,,,
584,Gardiane de taureau,3272250700024,,,,['France'],[],[],,,,,,,,,?,,147,,615 kj(147 kcal),,"7,6",,"2,11",,"3,5",,"0,83",,"16,1",,"0,56",,"0,224",,,,,,,,,,,,,,,,,,,,,,,,,,
585,Petit pois carotte et kiri - Liebig,3036811367053,,['Liebig'],,['France'],[],[],,,,,,,,,?,,36,,151 kj(36 kcal),,"1,4",,"0,8",,"3,7",,"0,5",,"1,3",,"0,68",,"0,272",,,,,,,,,,,,,,,,['Fabriqué en France'],,,,,,,,,,
586,QNT Protein Burst Double Chocolate 70 g,5425002402334,,,,['France'],[],[],,,,,,,,,?,,371,,1552 kj(371 kcal),,"11,9",,"8,6",,"28,9",,"24,1",,"30,2",,"0,18",,"0,072",,,,,,,,,,,,,,,,,,,,,,,,,,
587,Sardines,3339571500006,,,,['France'],[],[],,,,,,,,,?,,264,,1105 kj(264 kcal),,"19,75",,"3,86",,1,,1,,"21,3",,"1,4",,"0,56",,,,,,,,,,,,,,,,,,,,,,,,,,
588,Blle 70CL Sirop Caramel Valdone - Moulin de Valdonne - 70cL,3272036003103,,['Moulin de Valdonne'],,['France'],[],[],,,,,,,,,1428,,?,,1428 kj(341 kcal),,"0,1",,0,,84,,84,,"0,1",,"0,01",,"0,004",,,,,,,,,,,,,,70 cL,,,,,,,,,,,,
589,Miel de montagne - Jurabeille - 500g,3354020007127,B,['Jurabeille'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de fleurs', 'Miels français', 'Produits de montagne', 'Miels du Jura', 'Miels de montagne']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,500 g,,,,,"['39130', 'Saffloz']",,,,['France'],,,
590,Les épisalée de l'île de ré - les saulniers de l'île de ré - 80g,3346904008030,,"[""les saulniers de l'île de ré""]",,['France'],"['Gros sel 88', '94 %', 'Aromates 11', '06%  ', '4 Poivres', '3 Poivres', 'Thym', ""Herbes de Provence Piment d'Espelette"", 'Piment doux 100 astra']",[],,,,,,,,,?,,0,,0 kj(0 kcal),,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,80g,['moulin à sel en verre'],,,,,['17019'],,,,,,
