,name,bar_code,quantity,traceability_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,labels,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,allergens,packaging,additives,nova_score,generic_name,palm_ingredients,manufacturing,link,ingredients_origins,markets,brand_owner
321,Les chips de pommes de terre - Top Budget - 200g,3410280021263,200 g,,['France'],"['Pommes de terre', 'huile de tournesol ', '33,5%', 'sel']","['Sans huile de palme', 'Végétalien', 'Végétarien']",2257,?,2257 kj(539 kcal),"33,5","2,6","51,8","< 0,5","6,1","1,05","0,42","[""À l'huile de tournesol""]",B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Céréales et pommes de terre', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de pommes de terre', ""Chips de pommes de terre à l'huile de tournesol""]",33.5 g,en quantité élevée,2.6 g,en quantité modérée,0.5 g,en faible quantité,1.05 g,en quantité modérée,+2%,,+1%,+1%,-12%,+2%,-61%,+4%,-20%,-20%,12,+10%,D,+10%,62.4%,19.7%,7.4%,7.2%,3.4%,0.0%,78,['Top Budget'],,"['Sachet', 'Plastique']",,3,Chips de pommes de terre,,['France'],,,['Intermarché'],
322,"Pate a tartiner, le pot - Top Budget - 750g",3410280023229,750 g,,['France'],"['Sucre', 'huiles végétales ', 'palme', 'colza', 'tournesol', 'poudre de cacao maigre ', '7,5%', 'lactosérum en poudre ', 'lait', 'noisettes ', '2%', 'émulsifiant : lécithine de tournesol', 'arôme : vanilline']","['Huile de palme', 'Non végétalien']",2303,?,2303 kj(550 kcal),"32,2","13,5","61,4","55,4","2,9","0,07","0,028",,E,"['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés', 'Pâtes à tartiner', 'Pâtes à tartiner aux noisettes', 'Pâtes à tartiner au chocolat', 'Pâtes à tartiner aux noisettes et au cacao']",32.2 g,en quantité élevée,13.5 g,en quantité élevée,55.4 g,en quantité élevée,0.07 g,en faible quantité,+1%,,+0%,-6%,+76%,+19%,+16%,-58%,-32%,-32%,26,+26%,E,+26%,82.7%,11.5%,2.8%,2.4%,0.6%,0.0%,40,['Top Budget'],"['Lait', 'Fruits à coque']","['Bocal', 'Plastique']",['E322i - Lécithine'],4,,['Huile de palme'],['Italie'],,,['Netto'],
323,Sardines à l'huile végétale - Cap Rousset,3410280023564,,,['France'],[],[],?,222,929 kj(222 kcal),20,"3,3","0,1",0,"26,4","0,2","0,08",,D,"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Sardines', 'Sardines en conserve', ""Sardines à l'huile"", ""Sardines à l'huile de tournesol""]",20 g,en quantité modérée,3.3 g,en quantité modérée,0 g,en faible quantité,0.2 g,en faible quantité,,+2%,+2%,+44%,+1%,-84%,-100%,+23%,-78%,-78%,0,-100%,B,-100%,26.2%,30.3%,28.3%,13.4%,0.9%,0.9%,42,['Cap Rousset'],,,,,,,,,,,
324,Roulés Au Fromage x4 520 g - Top budget,3410280023663,,,['France'],"['Sauce blanche 51,5% ', 'eau', 'farine de blé', 'maraorine [huiles et graisses v#tales ', 'palme', 'colza', 'eau', 'émulsifiant : E471', 'acidifiant : t330', 'arôme]', 'lactose* et rotéines de lait crème*', 'sel', 'épice', ""extraits naturels d'épices "", 'ôte ', 'farines [farine de blé', 'farine de fèves', 'farine ellé malté antioxydant : E3001 eau', 'maraarine [huiles et araisses vé étales ', 'palme colza', 'eau', 'sel', 'émulsifiant : E471', 'aci', 'lfiant : E3h', 'colorant : Él 60al', 'sucre', 'levure', 'sel', 'emmental* 4,4%', ' *dont lait', ' Pourcentages exprimés sur le total de la recette Traces éventuelles de : poissons', 'mollusques', 'crustacés', 'oeufs', 'céleri', 'moutarde', 'soja et de fruits à coque']","['Huile de palme', 'Non végétalien']",?,262,1096 kj(262 kcal),"14,4","7,3","27,4",3,"4,7","1,05","0,42",,,"['Plats préparés', 'Feuilleté salé', 'Friands']",14.4 g,en quantité modérée,7.3 g,en quantité élevée,3 g,en faible quantité,1.05 g,en quantité modérée,,-14%,-14%,-22%,-30%,+5%,+23%,-40%,-14%,-14%,14,-17%,D,-17%,,,,,,,,['Top budget'],"['Gluten', 'Lait']",,"[""E471 - Mono- et diglycérides d'acides gras alimentaires""]",4,,['Huile de palme'],,,,,
325,Chipolatas - Top Budget - 1kg,3410280024493,1 kg,"['FR 26.347.022 CE', ""Tain-l'Hermitage (Drôme, France)""]",['France'],"['Viande de porc 80%', 'eau', 'gras de porc', 'sel', 'acidifiant : E326', 'dextrose de blé', 'condiments et épices ', 'betterave', 'ail', 'paprika', 'muscade', 'conservateurs : E262', 'E250', 'arômes naturels', 'antioxydants : E301', 'E300', 'colorant E160c', 'boyau ', 'collagène bovin', 'eau', 'cellulose']","['Non végétalien', 'Non végétarien']",?,?,,?,,?,,?,,,,E,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Chipolatas']",,,,,,,,,,,,,,,,,,,,,,,86.2%,9.9%,1.8%,1.2%,0.7%,0.2%,24,['Top Budget'],,"['Plastique', 'Sous-vide']","['E326 - Lactate de potassium', 'E262 - Acétates de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E301 - Ascorbate de sodium', 'E300 - Acide ascorbique', 'E160c - Extrait de paprika', 'E460 - Cellulose']",4,,,,,,['Intermarché'],
326,Fromage frais sucrés aromatisés - Top budget - 12,3410280025391,12,,['France'],[],[],?,96,402 kj(96 kcal),"2,2","1,4","12,9","12,3","6,2","0,08","0,032",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Top budget'],,,,,,,,,,,
327,Top Budget Noix st Jaques s c,3410280025865,,,['France'],[],[],?,78,326 kj(78 kcal),"0,5","0,1","1,6","0,5",18,"0,68","0,272",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Top Budget'],,,,,,,,,,,
328,Eau de source - Source des fées -,3410280027258,,,['France'],[],[],?,?,,?,,?,,?,,,,,"['Boissons', 'Eaux', 'Eaux de sources', 'Eaux minérales']",,,,,,,,,,,,,,,,,,,0,-100%,A,-100%,,,,,,,,,,,,,,,,,,,
329,Compote - Top Budget,3410280028446,,,['France'],[],[],?,63,264 kj(63 kcal),"0,5","0,1","14,8","13,2","0,5","0,01","0,004",,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Compotes']",0.5 g,en faible quantité,0.1 g,en faible quantité,13.2 g,en quantité élevée,0.01 g,en faible quantité,,-6%,-5%,+53%,+18%,+1%,-1%,+20%,+1%,+1%,-3,,A,,35.2%,26.4%,14.9%,14.0%,7.5%,2.0%,96,['Top Budget'],,,,,,,,,,,
330,Riz Basmati 1 Kg 1 Kilo - Top budget,3410280037035,,,['France'],[],[],?,350,1464 kj(350 kcal),?,"0,2",?,"0,5","8,7","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Top budget'],,,,,,,,,,,
331,"Tarte Aux Pommes, Le Paquet, 750g - 750g",3410280041599,750 g,,['France'],[],[],?,241,1008 kj(241 kcal),"8,8","4,4","37,1","20,6","2,7","0,31","0,124",,B,"['Tartes', 'Tartes sucrées', 'Tartes aux pommes']",8.8 g,en quantité modérée,4.4 g,en quantité modérée,20.6 g,en quantité élevée,0.31 g,en quantité modérée,,-2%,-2%,-6%,-18%,+3%,0%,+12%,+22%,+22%,12,+9%,D,+9%,67.5%,16.8%,7.5%,4.2%,4.0%,0.0%,84,,,,,,,,,,,,
332,Oignon Jaune - Top Budget - 1kg,3410280052789,1 kg,"['EMB 45012A', 'Audeville (Loiret, France)']",['France'],['Oignon jaune'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,,?,,?,,?,,,['Point Vert'],A,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Aliments à base de fruits et de légumes', 'Plantes condimentaires', 'Légumes et dérivés', 'Frais', 'Aliments à base de plantes frais', 'Oignons et dérivés', 'Légumes frais', 'Oignons', 'Oignons frais', 'Oignons jaunes']",,,,,,,,,,,,,,,,,,,,,,,63.2%,0.0%,0.0%,18.6%,12.6%,5.6%,98,['Top Budget'],,"['Filet plastique', 'Plastique']",,1,oignon jaune,,,,['France'],['Intermarché'],
333,"Courgettes, Filet 1kg, Origine : ESPAGNE, Cat : 1 Cal : 14 / 21 - 1kg",3410280052793,1 kg,,['France'],[],[],?,13,54 kj(13 kcal),"1,7","0,4","1,8","0,49","1,2",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334,Orange Pulpée - Netto - 500ml,3410280055305,500 ml,"['EMB 61165A', 'Ferrière-Bochard (Orne, France)']",['France'],"[""Eau gazéifiée - jus d'orange à base de concentré 12% - sucre - pulpes d'orange 12% - acidifiant : acide citrique - arôme naturel d'orange - conservateur : sorbate de potassium - colorant : E161b""]","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",172,?,172 kj(41 kcal),0,0,"10,1","10,1",0,"0,01","0,004",,,['Boissons'],0 g,en faible quantité,0 g,en faible quantité,10.1 g,en quantité élevée,0.01 g,en faible quantité,-38%,,-29%,-100%,-100%,-11%,+7%,-100%,-76%,-76%,13,+70%,E,+70%,,,,,,,,['Netto'],,,"['E330 - Acide citrique', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E161b - Lutéine']",4,,,,,,['Netto'],
335,Kiwis 1kg - Top Budget - 1kg,3410280055381,1 kg,,['France'],"['Kiwi variété Hayward', ' Catégorie II']",[],?,?,,?,,?,,?,,,"['Catégorie II', 'Point Vert']",B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Fruits frais', 'Kiwis', 'Kiwis frais']",,,,,,,,,,,,,,,,,,,,,,,75.1%,0.0%,0.0%,11.4%,10.2%,3.4%,96,['Top Budget'],,"['Barquette', 'Plastique']",,,Kiwi Hayward,,['Italie'],,['Italie'],,
336,"Saint Paulin, 200G - Top budget - 200g",3410280056234,200 g,,['France'],"['Lait de vache pasteurisé origine : France', 'sel', 'ferments lactiques', 'conservateur de la croûte : E2 5', 'colorant de la croûte : E160b']",['Non végétalien'],?,276,1155 kj(276 kcal),20,13,"0,2","0,2",24,"1,91","0,764",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Top budget'],['Lait'],,['E160b - Rocou'],4,,,,,,,
337,Cola,3410280058450,,,['France'],[],[],?,43,180 kj(43 kcal),0,0,11,11,"0,5","0,02","0,008",,B,"['Boissons', 'Sirops', 'Sirops aromatisés', 'Sirops cola']",,,,,,,,,,-76%,-76%,-100%,-100%,-75%,-72%,+247%,+55%,+55%,,,,,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,,,,,,,,,,,,
338,Boules de Maïs au Miel - Top Budget - 500g,3410280059471,500 g,,['France'],"['Semoule de maïs 87%', 'sucre', 'miel 2%', 'sel']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",1629,?,1629 kj(389 kcal),"0,8",,"88,3",,"5,8",,,,C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Grains soufflées', 'Céréales soufflées', 'Céréales au miel']",0.8 g,en faible quantité,,,,,,,-2%,,-2%,-83%,,+13%,,-21%,,,,,,,74.0%,13.1%,5.1%,5.5%,2.3%,0.0%,60,['Top Budget'],,"['Carton', 'Boîte']",,3,Boules de maïs soufflé au miel,,,,,['Intermarché'],
339,Farce à Légumes Pur Porc - Auchan,3410280059693,,"['FR 26.347.022 CE', ""Tain-l'Hermitage (Drôme, France)""]",['France'],"['viande de porc ', 'origine : France', ' 65%', ' viande de veau origine :France et UE 11%', ' eau', ' gras de porc', ' viande de boeuf origine :France et UE 3%', ' acidifiant: E326', ' sel', ' dextrose de blé gras de boeuf', ' arômes', "" extraits naturel d'herbes et d'épices"", 'persil déshydraté', 'condiments et épices ', 'bette - rave,ail,paprika,muscade', ' antioxydanfs:E301 ,E300', 'colorant:E160c', ' Retirer le papier sous le pavé de chair avant cuisson']","['Non végétalien', 'Non végétarien']",?,319,1335 kj(319 kcal),29,12,"1,7","1,1",12,"1,58","0,632",,,['Farces'],29 g,en quantité élevée,12 g,en quantité élevée,1.1 g,en faible quantité,1.58 g,en quantité élevée,,+33%,+35%,+60%,+80%,-28%,+12%,-18%,-11%,-11%,20,+24%,E,+24%,,,,,,,,['Auchan'],,,"['E326 - Lactate de potassium', 'E301 - Ascorbate de sodium', 'E300 - Acide ascorbique', 'E160c - Extrait de paprika']",4,,,,,,['Auchan'],
340,"Chair a saucisse, la barquette de 500 gr",3410280059716,,"['FR 26.347.022 CE', ""Tain-l'Hermitage (Drôme, France)""]",['France'],[],[],?,322,1347 kj(322 kcal),30,12,"1,2","0,8",12,"1,6","0,64",,E,"['Viandes', 'Charcuteries', 'Saucisses', 'Chair à saucisse']",30 g,en quantité élevée,12 g,en quantité élevée,0.8 g,en faible quantité,1.6 g,en quantité élevée,,+22%,+22%,+33%,+39%,+4%,+24%,-10%,-4%,-4%,21,+19%,E,+19%,77.3%,16.5%,4.1%,1.3%,0.7%,0.2%,25,,,,,,,,,,,,
341,Riz soufflé goût cacao - Top Budget - 500g,3410280060941,500 g,,['France'],"['Farine de riz 61%', 'sucre', 'poudre de cacao maigre', 'sel', 'émulsifiant : E472c', 'huile de tournesol']","[""Pourrait contenir de l'huile de palme"", 'Peut-être végétalien', 'Peut-être végétarien']",1649,?,1649 kj(394 kcal),"2,8",,"84,3",,"6,6",,,['Point Vert'],C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Grains soufflées', 'Céréales soufflées', 'Riz soufflé']",2.8 g,en faible quantité,,,,,,,+1%,,+2%,+18%,,+2%,,+1%,,,,,,,74.0%,13.1%,5.1%,5.5%,2.3%,0.0%,60,"['Top Budget', 'Intermarché']",,"['Carton', 'Sachet', 'Plastique', 'Boîte']","[""E472c - Ester citrique des mono et diglycérides d'acides gras alimentaires""]",4,Riz soufflé goût cacao,,,,,['Intermarché'],
342,3410280063508,3410280063508,,,['France'],[],[],2110,?,2110 kj(504 kcal),25,,63,,"6,5",,,,C,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']",25 g,en quantité élevée,,,,,,,+6%,,+6%,+20%,,-2%,,0%,,,,,,,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,,,,,,,,,,,
343,"Double concentré de tomates (28%) - Top Budget - 70g, 71ml",3410280065618,"70 g, 71 ml",,['France'],"['Tomates', 'sel']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,,?,,?,,?,,,"['Point Vert', 'Acier recyclable', 'Eco-Emballages']",A,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Légumes et dérivés', 'Légumes en conserve', 'Tomates et dérivés', 'Tomates', 'Tomates en conserve', 'Concentrés de tomates']",,,,,,,,,,,,,,,,,,,,,,,23.6%,38.4%,18.3%,11.0%,8.7%,0.0%,96,['Top Budget'],,"['Boîte', 'Conserve', 'Acier recyclable']",,3,Concentré de tomates,,"['Giaguaro SpA - Via Ingnego SNC', '84087 Sarno', '(SA : Salerne)', 'Campanie', 'Italie']",http://www.giaguarospa.com,,['Intermarché'],
344,"Raclette En Tranches, La Barquette De",3410280065687,,,['France'],[],[],?,357,1494 kj(357 kcal),29,29,"0,5",0,"24,1","2,09","0,836",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345,Fondue 3 Fromages - Netto,3410280078878,,,['France'],"['Fromages 46% ', 'Emmental 36%', 'Tomme 7%', 'comté AOP 3%', 'eau', 'vin blanc 20%', 'crème', 'amidon modifié de maïs', 'sel', ""correcteur d'acidité phosphates de sodium"", 'ail en poudre', 'boisson spiritueuse à base de Kirsch', ' INFORMATIONS :']",['Non végétalien'],?,237,992 kj(237 kcal),18,"12,6","2,5",1,14,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Netto'],['Lait'],,"['E14XX - Amidons modifiés', 'E339 - Phosphates de sodium', '', 'Risque élevé de sur-exposition']",4,,,,,,['Netto'],
346,ASPERGES BLANCHE -  - 660g,3410280106298,660g,,['France'],"['asperge blanche', 'eau', 'sel']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,14,59 kj(14 kcal),"0,5","0,1","1,7","1,2","1,2","0,74","0,296",,C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Légumes tiges', 'Asperges', 'Asperges blanches']",0.5 g,en faible quantité,0.1 g,en faible quantité,1.2 g,en faible quantité,0.74 g,en quantité modérée,,-26%,-23%,+101%,+199%,-13%,+3%,-18%,-6%,-6%,-2,,A,,63.9%,17.1%,7.8%,4.4%,4.6%,2.3%,58,,,['bocal verre'],,3,ASPERGE,,,,,,
347,Échalote demie longue - Top budget - 500,3410280107509,500,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Top budget'],,,,,,,,,,,
348,Frites salées - Top Budget - 150g,3410280107615,150 g,"['EMB 07055', 'Charmes-sur-Rhône (Ardèche, France)']",['France'],"['Céréales 76% ', 'semoule de maïs', 'farine de blé', 'pomme de terre déshydratée 18% ', 'dont sulfites', 'matière grasse végétale ', 'palme', ' raffinée', 'sel', ""émulsifiants : mono - et diglycérides d'acides gras""]","[""Pourrait contenir de l'huile de palme""]",1888,?,1888 kj(451 kcal),"15,9","8,4","67,4",1,"7,4","2,49","0,996",,B,"['Snacks', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Biscuits apéritifs', 'Biscuits apéritifs soufflés', 'Biscuits apéritifs soufflés à base de maïs']",15.9 g,en quantité modérée,8.4 g,en quantité élevée,1 g,en faible quantité,2.49 g,en quantité élevée,-10%,,-10%,-37%,+139%,+19%,-71%,-17%,+32%,+32%,23,+55%,E,+55%,60.4%,21.2%,8.3%,6.3%,3.8%,0.0%,82,['Top Budget'],"['Gluten', 'Anhydride sulfureux et sulfites']","['Sachet', 'Plastique']","[""E471 - Mono- et diglycérides d'acides gras alimentaires""]",4,Produit soufflé à base de céréales et de pommes de terre goût salé,,['France'],,,['Intermarché'],
349,Pomme golden -,3410280119168,,,['France'],[],[],?,51,213 kj(51 kcal),"0,3",0,"11,7",0,"0,3",,,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Pommes', 'Fruits frais', 'Pommes sucrées', 'Pommes fraîches', 'Pommes Golden Delicious']",0.3 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,,,+42%,+44%,-3%,-100%,+40%,-100%,-80%,,,,,,,61.7%,0.0%,0.0%,19.0%,18.4%,0.9%,99,,,,,,,,,,,,
350,Saucisse fumées précuites - Top budget,3410280123431,,,['France'],[],[],?,409,1711 kj(409 kcal),"39,6","15,2","0,8","0,6","12,3","2,41","0,964","['Viande Française', 'Viande Porcine Française', 'Point Vert']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Top budget'],,,,,,,,,,,
351,Confiture Poire Miel Gingembre,3410280320441,,,['France'],[],[],?,241,1008 kj(241 kcal),"0,179","0,021","58,6","53,9","0,581","0,03","0,012",,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de poires']",0.179 g,en faible quantité,0.0213 g,en faible quantité,53.9 g,en quantité élevée,0.03 g,en faible quantité,,+10%,+10%,-44%,-70%,+11%,+5%,+73%,-20%,-20%,8,-12%,C,-12%,38.5%,19.4%,25.9%,11.0%,4.2%,1.1%,87,,,,,,,,,,,,
352,"Soda Goût Orange - Top Budget - 1,5L",3410281012604,"1,5 L","['EMB 45290', ""Saint-Martin-d'Abbat (Loiret, France)""]",['France'],"['Eau gazéifiée', 'acidifiant : acide citrique,', ' stabilisants : E1450 - E445', ""arôme naturel d'orange avec autres arômes naturels"", 'édulcorants : aspartame - acésulfame de potassium', 'antioxydant : acide L-ascorbique', 'colorant : béta-carotène']","[""Pourrait contenir de l'huile de palme"", 'Peut-être végétalien', 'Peut-être végétarien']",?,?,,?,,?,,?,,,,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons gazeuses', 'Boissons aux fruits', 'Sodas', 'Sodas aux fruits', ""Sodas à l'orange"", 'Boissons avec sucre ajouté']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Top Budget'],,,"['E330 - Acide citrique', ""E1450 - Octényle succinate d'amidon sodique"", 'E445 - Esters glycériques de résine de bois', 'E951 - Aspartame', 'E950 - Acésulfame K', 'E300 - Acide ascorbique', 'E160ai - Bêta-carotène']",4,,,,,,,
353,Sirop menthe,3410282446859,,,['France'],[],[],?,284,1188 kj(284 kcal),"0,5","0,1",71,71,"0,5","0,01","0,004",['Sans conservateurs'],B,"['Boissons', 'Sirops', 'Sirops aromatisés', 'Sirops de menthe']",,,,,,,,,,+19%,+15%,+355%,+237%,+15%,+20%,+339%,-55%,-55%,,,,,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,,,,,,,,,,,,
354,Le savoureux,3410442000303,,,['France'],[],[],?,253,1059 kj(253 kcal),17,"2,7",0,0,25,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355,Poisson pane - Top Budget,3410480339830,,,['France'],"['Chairhcchée de poisson ', '65 huile végétale de tournesol', 'de terre', 'blé', 't sel', 'levure', 'épices paprika', 'crime naturel Traces éventuelles de lait et œuf Ccrrtnortlff$ëfit a Q!cce du préférence cvGfit la dûte s', ""'""]",[],?,189,791 kj(189 kcal),"8,1","1,1","17,6","0,8","11,1","1,13","0,452",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Top Budget'],['Gluten'],,,,,,,,,,
356,Oeufs,3410600012605,,"['FR 45.251.002 CE', 'Pierrefitte-ès-Bois (Loiret, France)']",['France'],[],[],?,1,4 kj(1 kcal),1,1,1,1,1,1,"0,4",,D,"[""Produits d'élevages"", 'Œufs']",1 g,en faible quantité,1 g,en faible quantité,1 g,en faible quantité,1 g,en quantité modérée,,-99%,-99%,-89%,-58%,+47%,+106%,-92%,+280%,+280%,4,,C,,91.5%,0.0%,3.5%,2.5%,1.7%,0.8%,51,,,,,,,,,,,,
357,Perrier saveur Fraise - 33cl,3410611540470,33cl,,['France'],[],[],?,?,,?,,?,,?,,,"['Peu ou pas de sucre', 'Sans sucre']",,"['Boissons', 'Boissons gazeuses', 'Eaux', 'Eaux gazeuses', 'Eaux aromatisées']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Perrier'],,,,,,,,,,,
358,3410801013463,3410801013463,,,['France'],[],['Sans huile de palme'],?,?,,?,,?,,?,,,"['Fabriqué en France', 'en:palm-oil-free']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359,Rillettes d'Oie - Lafitte,3410840007973,,,['France'],[],[],?,347,1452 kj(347 kcal),31,"9,4","2,7","0,8",15,"1,7","0,68",['Sans additifs'],D,"['Viandes', 'Produits à tartiner', 'Charcuteries', 'Produits à tartiner salés', 'Rillettes', 'Rillettes de viande', 'Rillettes de viande blanche', 'Rillettes de volaille', ""Rillettes d'oie""]",31 g,en quantité élevée,9.4 g,en quantité élevée,0.8 g,en faible quantité,1.7 g,en quantité élevée,,-13%,-13%,-16%,-21%,+665%,+252%,-6%,+31%,+31%,20,+3%,E,+3%,74.1%,17.7%,4.6%,2.1%,1.2%,0.3%,39,['Lafitte'],,,,,,,,,,,
360,Rillons de Confit de Canard à la Landaise 20% Bloc de Foie Gras - Lafitte - 180g,3410840007980,180 g,"['FR 40.191.001 CE', 'Montaut (Landes, France)']",['France'],"['Chair et graisse de canard', 'bloc 20% ', 'Foie gras de canard', 'eau', 'sel', 'sucre', 'poivre', 'épices', 'sel', 'poivre']","['Non végétalien', 'Non végétarien']",?,?,,?,,?,,?,,,"['Sans additifs', 'Sans conservateurs']",C,"['Viandes', 'Poissons et viandes et oeufs', 'Volailles', 'Foies gras', 'Canards', 'Confit', 'Rillons']",,,,,,,,,,,,,,,,,,,,,,,83.0%,9.4%,2.7%,2.7%,1.4%,0.9%,37,['Lafitte'],,"['Bocal', 'Verre']",,3,Rillons de Confit de Canard,,,,"['France', 'Landes']",,
361,Terrine Landaise - LAFITTE,3410840008000,,,['France'],"['prédients : Viande de porc', 'bloc 20% ', 'foie gras de canard', 'eau', 'otvrs épices', 'viande de canard', 'foie de porc', 'foie de eufs', 'lait', 'sel', 'Armagnac', 'sucre', 'poivre', 'épices', ' SERVIR FRAIS - TENIR CE BOCAL EN LIEU ET SEC']","['Non végétalien', 'Non végétarien']",?,337,1410 kj(337 kcal),31,14,"1,6","1,2",14,"1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['LAFITTE'],['Lait'],,,,,,,,,,
362,Paté pur canard,3410840009380,,,['France'],[],[],?,402,1682 kj(402 kcal),39,13,"1,6","1,6",12,"1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
363,Pâté pur canard,3410840010874,,,['France'],[],[],?,402,1682 kj(402 kcal),39,13,"1,6","1,6",12,"1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
364,Paté de Magret de cannard fumé,3410840010881,,,['France'],[],[],?,348,1456 kj(348 kcal),31,12,"0,4","0,4",18,"2,3","0,92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
