,name,bar_code,quantity,traceability_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,labels,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,allergens,packaging,additives,nova_score,generic_name,palm_ingredients,manufacturing,link,ingredients_origins,markets,brand_owner
10,Salade de legume d'ete et quinoa bio - 150g,3399130020307,150 g,"['EMB 60139A', 'Chambly (Oise, France)']",['France'],[],[],?,158,661 kj(158 kcal),"12,7","1,45","7,3","1,7","2,1","0,3","0,12","['Bio', 'Bio européen', 'Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE', 'FR-BIO-10', 'Point Vert', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Beignet de crevette - Hauky,3399150070108,,,['France'],[],[],?,297,1243 kj(297 kcal),"20,1","7,6","20,3","1,2","8,5","1,27","0,508",,,"['Snacks', 'Snacks salés', 'Beignets salés']",20.1 g,en quantité élevée,7.6 g,en quantité élevée,1.2 g,en faible quantité,1.27 g,en quantité modérée,,+30%,+32%,+117%,+508%,-20%,-66%,+25%,-15%,-15%,15,+119%,D,+119%,,,,,,,,['Hauky'],,,,,,,,,,,
12,"Hakao ravioli aux crevettes - 1,25kg",3399150072218,"1,25 kg",,['France'],[],[],?,228,954 kj(228 kcal),"10,3","3,69","29,2","0,2",4,"0,97","0,388",,,"['Plats préparés', 'Plats à base de pâtes', 'Pâtes farcies', 'Ravioli', 'Ravioli chinois', 'Ravioli à la crevette']",10.3 g,en quantité modérée,3.69 g,en quantité modérée,0.2 g,en faible quantité,0.97 g,en quantité modérée,,+27%,+28%,+75%,+162%,+25%,-90%,-53%,0%,0%,7,+182%,C,+182%,,,,,,,,,,,,,,,,,,,
13,Bouchées aux crevettes,3399150072225,,,['France'],[],[],?,157,657 kj(157 kcal),5,"1,6","11,8","2,2","16,1","0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Perle de coco -,3399150072348,,"['FR 94.022.004 CE', 'Choisy-le-Roi (Val-de-Marne, France)']",['France'],[],[],?,320,1339 kj(320 kcal),"15,2","10,4",41,15,"3,5","0,6","0,24",,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Pâtisseries']",15.2 g,en quantité modérée,10.4 g,en quantité élevée,15 g,en quantité élevée,0.6 g,en quantité modérée,,-15%,-15%,-10%,+28%,-15%,-49%,-35%,+45%,+45%,18,+5%,D,+5%,,,,,,,,,,,,,,,,,,,
15,"Hakao - 1,10kg",3399150072386,"1,10 kg","['FR 94.022.034 CE', 'Choisy-le-Roi (Val-de-Marne, France)']",['France'],[],[],?,228,954 kj(228 kcal),"10,3","3,69","29,2","0,2",4,"0,97","0,388",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"Nem vietnamien au porc - 1,75kg",3399150072454,"1,75 kg",,['France'],[],[],?,226,946 kj(226 kcal),"9,9","2,8",20,"2,1","13,2","1,3","0,52",,C,"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats au porc', 'Nems', 'Nems au porc']",9.9 g,en quantité modérée,2.8 g,en quantité modérée,2.1 g,en faible quantité,1.3 g,en quantité modérée,,+2%,+2%,-13%,+4%,-8%,-34%,+87%,-6%,-6%,4,-44%,C,-44%,62.8%,18.1%,4.7%,5.0%,2.0%,7.4%,57,,,,,,,,,,,,
17,Mini Samoussa au boeuf,3399150073284,,,['France'],[],[],?,169,707 kj(169 kcal),"4,5","1,16","25,7","0,4","7,3",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Brioche chinoise à la viande,3399150073567,,,['France'],[],[],?,233,975 kj(233 kcal),"6,5","2,6",37,"7,9","7,4","0,79","0,316",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,vin - château  - 75cl,3399733127519,75 cl,,['France'],[],[],?,?,,?,,?,,?,,,,,"['Boissons', 'Boissons alcoolisées', 'Vins']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['château'],,,,,,,,,,,
