,name,bar_code,quantity,packaging,brand,labels,traceability_code,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,generic_name,categories,ingredients_origins,manufacturing,link,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,markets,origin_detail,palm_ingredients,brand_owner,producer_info
630,Miel de Tilleul,3770010148074,,,,,,['France'],[],,,[],,?,?,,?,,?,,?,,,B,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de tilleul']",,,,,,,,,,,,,,,,,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,
631,Soja cuisine fluide Cereal Bio,3175681274266,,,['Céréal Bio'],"['Nutriscore', 'Nutriscore A']",,['France'],[],,,[],,?,138,577 kj(138 kcal),13,"1,4","1,2","1,2","3,1",,,B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Crèmes végétales', 'Crèmes végétales pour cuisiner', 'Crèmes végétales à base de soja pour cuisiner']",,,,13 g,en quantité modérée,1.4 g,en faible quantité,1.2 g,en faible quantité,,,,-12%,-11%,-12%,-18%,-56%,-31%,+6%,,,,,,,50.8%,26.4%,8.8%,8.6%,5.3%,0.0%,91,,,,,
632,Ice tea Lotus blossom,5400606998063,,,,,,['France'],[],,,[],,?,23,96 kj(23 kcal),0,0,"5,8","5,8",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
633,Arachide wasabi,2600287021842,,,,,,['France'],[],,,[],,?,468,1958 kj(468 kcal),21,"6,8",56,"9,7",11,"0,96","0,384",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
634,Terribe de Thon,3302100015845,,,,,"['FR 62.894.102 CE', 'Wimille (Pas-de-Calais, France)']",['France'],[],,,[],,?,181,757 kj(181 kcal),"12,2","1,88","1,8","0,97","15,5","1,35","0,54",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
635,Torta Tiramisù,8033162043716,,,,,,['France'],[],,,[],,?,224,937 kj(224 kcal),"9,5","6,5",31,21,"3,6","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
636,Mini gratins de pomme de terre,3492500066995,,,,,,['France'],[],,,[],,?,111,464 kj(111 kcal),"5,2","3,38",12,"3,05","3,25","0,62","0,248",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
637,Yaourt lavande,3279231333011,,"['Pot en verre', 'Opercule en métal', 'Etui en carton']",,,"['FR 13.005.028 CE', 'Aubagne (Bouches-du-Rhône, France)']",['France'],[],,,[],,?,119,498 kj(119 kcal),"7,3","4,9",11,11,"2,9","0,16","0,064",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
638,Saucisson rosette,2261122038311,,,,,"['FR 01.241.002 CE', 'Meillonnas (Ain, France)']",['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
639,Herta jambon fumé engagé et bon,3154230800309,,,,,,['France'],[],,,[],,?,111,464 kj(111 kcal),3,1,1,"0,5",20,"1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
