,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,quantity,brand,categories,traceability_code,markets,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,nova_score,packaging,ingredients_origins,allergens,manufacturing,generic_name,link,additives,palm_ingredients
996,Pâtes de fruits de la Trappe,3338391918039,['France'],[],[],?,?,,?,,?,,?,,,C,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Aliments à base de fruits et de légumes', 'Snacks sucrés', 'Confiseries', 'Fruits et produits dérivés', 'Pâtes de fruits']",,,,,,,,,,,,,,,,,,,,,,,,,82.2%,8.9%,4.6%,3.2%,1.0%,0.0%,58,,,,,,,,,,
997,Glorious pesto seasoning,5056051800842,['France'],[],[],?,502,2100 kj(502 kcal),"27,5","2,9","54,7","1,6","7,1","0,9","0,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
998,Foie gras de canard du sud ouest - Anne Rozès - 180g,3519622000352,['France'],"['Foie gras de canard du Sud-Ouest ', '98%', 'sel', 'poivre', 'sucre']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,581,2431 kj(581 kcal),60,25,"2,7","0,7","7,6","1,4","0,56",B,180 g,['Anne Rozès'],"['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard']",,,60 g,en quantité élevée,25 g,en quantité élevée,0.7 g,en faible quantité,1.4 g,en quantité modérée,,+13%,+14%,+13%,+11%,+16%,-48%,+9%,+16%,+16%,23,+12%,E,+12%,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,['IGP'],3,,,,,,,,
999,Parmesan,2263787029451,['France'],[],[],?,402,1682 kj(402 kcal),30,20,0,,32,"1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000,Galettes boulgour et lentilles corail,3036858076017,['France'],[],[],?,188,787 kj(188 kcal),"8,9","2,6","18,3","1,6","6,8",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001,Haché de dinde aux carottes,3760177214729,['France'],[],[],?,98,410 kj(98 kcal),"1,1","0,3","5,9","1,4","15,4","1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002,Tropezienne framboise,0202470006562,['France'],[],[],?,?,,?,,?,,?,,,,,,"['Tartes', 'Tartes sucrées', 'Tartes tropéziennes']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003,Saucisson Ardèche Prestige Gueze,0265622044676,['France'],[],[],?,301,1259 kj(301 kcal),"21,1","8,3","0,8","0,6","26,9","5,8","2,32",,,,,"['FR 07.259.002 CE', ""Saint-Just-d'Ardèche (Ardèche, France)""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004,Confit de foie de porc,3261830104031,['France'],[],[],?,359,1502 kj(359 kcal),33,12,12,"0,5",14,"1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005,Sucre grains,11743343,['France'],[],[],?,?,,?,0,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1006,Cacahuete,8413762250101,['France'],[],[],?,587,2456 kj(587 kcal),50,"7,7",21,"4,9",24,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007,mini beignets fourrés aux pommes,3388484102128,['France'],[],[],?,328,1372 kj(328 kcal),17,"7,8",38,11,"5,3","0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008,Fleur de Sarrasin,3770016092036,['France'],[],[],?,352,1473 kj(352 kcal),"25,5","16,5","48,2","19,8","5,9","2,6","1,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009,Foie de veau - Les petits plats du bistrot,2665577023227,['France'],['foie de veau'],"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,100,418 kj(100 kcal),"3,4","1,3","5,6","0,5",1,"0,16","0,064",E,,['Les petits plats du bistrot'],"['Viandes', 'Viandes de veau', 'Foie de veau']",,,3.4 g,en quantité modérée,1.3 g,en faible quantité,0.5 g,en faible quantité,0.16 g,en faible quantité,,-24%,-24%,-25%,-16%,+78%,+331%,-95%,-14%,-14%,2,,B,,96.9%,0.5%,1.0%,0.9%,0.5%,0.1%,16,,1,['Frais'],,,,,,,
1010,Manque coco annanas,0209692022837,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011,Cuciole de Cateri,3594800001215,['France'],[],[],?,468,1958 kj(468 kcal),20,"0,7",60,21,"8,8","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012,Sprite citron,5000112569452,['France'],[],[],?,33,138 kj(33 kcal),0,0,"8,1",8,0,,,,,['Sprite'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013,Kunefe,8681672370282,['France'],[],[],?,131,548 kj(131 kcal),26,"3,9",70,40,"8,9",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1014,Orangettes chocolat - Antton,3514962811309,['France'],[],[],?,398,1665 kj(398 kcal),"10,6","6,4","72,1","70,1","2,3",,,,,['Antton'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015,Cabecou,3464420005262,['France'],[],[],?,?,,?,,?,,?,,,E,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de France', 'Fromages de chèvre', 'Cabécous']",,,,,,,,,,,,,,,,,,,,,,,,,91.6%,3.0%,2.1%,2.1%,0.9%,0.3%,33,,,,,,,,,,
1016,Cocktail fruits de mer standard congelé,8411530108432,['France'],[],[],?,83,347 kj(83 kcal),"1,7","0,5","3,6","0,1","13,6","1,44","0,576",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1017,Double concentre de tomate - Freshona,13198114,['France'],[],[],?,88,368 kj(88 kcal),"0,3","0,1","13,4","13,4","4,5","0,54","0,216",B,,['Freshona'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Tomates et dérivés', 'Concentrés de tomates', 'en:Canned-double-concentrate-tomato-paste']",,,0.3 g,en faible quantité,0.1 g,en faible quantité,13.4 g,en quantité élevée,0.54 g,en quantité modérée,,-4%,-5%,-52%,-31%,-11%,-5%,-2%,-17%,-17%,-2,,A,,23.6%,38.4%,18.3%,11.0%,8.7%,0.0%,96,,,,,,,,,,
1018,2369587001489,2369587001489,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1019,Ravioloni à la courge,8011207009477,['France'],[],[],?,229,958 kj(229 kcal),"6,9","3,8",33,"4,1",8,"0,58","0,232",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1020,Nougat - Sucralys,3760195985915,['France'],[],[],?,?,,?,,?,,?,,,E,,['Sucralys'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Nougats']",,,,,,,,,,,,,,,,,,,,,,,,,91.0%,4.2%,2.3%,2.0%,0.5%,0.0%,34,,,,,,,,,,
