,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,quantity,brand,categories,traceability_code,markets,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,nova_score,packaging,ingredients_origins,allergens,manufacturing,generic_name,link,additives,palm_ingredients
0,Isostar Energy Gel Cherry 35 g,3175681141193,['France'],[],[],?,100,418 kj(100 kcal),0,0,"27,3","18,9",0,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Meringues Myrtille-Framboise,3532420331671,['France'],[],[],?,865,3619 kj(865 kcal),0,0,94,93,"4,56","0,24","0,096",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Uni Sport zéro sports drink,8594073178572,['France'],[],[],?,49,205 kj(49 kcal),0,0,"0,4","0,2","1,5","1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Combava & pink pepper,3760155713046,['France'],[],[],?,50,209 kj(50 kcal),"41,82","10,8","44,28","39,4",11,"0,11","0,044",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Grignottes de poulet cuites nature - Auchan - 300g,3254568011627,['France'],[],[],?,190,795 kj(190 kcal),11,"3,3","1,6","1,2",21,5,2,D,300 g,['Auchan'],"['Viandes', 'Volailles', 'Poulets']",['61.096.018'],['Auchan'],11 g,en quantité modérée,3.3 g,en quantité modérée,1.2 g,en faible quantité,5 g,en quantité élevée,,+26%,+26%,+89%,+120%,-20%,+173%,+3%,+483%,+483%,15,+964%,D,+964%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,
5,6 oéufs bio,3483500012112,['France'],[],[],?,144,602 kj(144 kcal),"9,8","2,6","0,5","0,5",13,"0,31","0,124",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-10']",,,,,,,,,
6,Charakter scharf,4067700020185,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Fried Tapioca Chips,4792064025148,['France'],[],[],?,276,1155 kj(276 kcal),"15,87",0,"31,81",0,"0,68","0,23","0,092",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Limonade de savoie Bio,3760009532717,['France'],[],[],?,80,335 kj(80 kcal),"0,6","0,6","9,08","8,9",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,
9,0274036907002,0274036907002,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,White sangria - Whittard,5022032132929,['France'],[],[],?,?,,?,,?,,?,0,0,,,['Whittard'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Beauté in force,3700474200865,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Organic Maca and Cacao blend,5600961111279,['France'],[],[],?,384,1607 kj(384 kcal),"4,7","2,8",55,31,23,"0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Blanc de Poulet zéro nitrite,2302734025259,['France'],[],[],?,104,435 kj(104 kcal),"2,4","0,7","0,5","0,5",20,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Nutriscore', 'Nutriscore C']",,,,,,,,,
14,Kouhelhopf,2010163000005,['France'],[],[],?,354,1481 kj(354 kcal),10,"5,8",57,15,"8,4","1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Chorizo doux,8477013079279,['France'],[],[],?,419,1753 kj(419 kcal),35,15,"1,4","1,2",24,"2,7","1,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Prince Maxi Gourmand,7622210987303,['France'],[],[],?,507,2121 kj(507 kcal),24,12,65,37,"5,5","0,4","0,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Miel de Chateigner,,['France'],[],[],?,?,,?,0,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Huile de foie de morue - Nat & Form,3535400024020,['France'],[],[],?,?,,?,,?,,?,,,B,,['Nat & Form'],"['Matières grasses', 'Matières grasses animales', 'Huiles de poissons', 'Huiles de foie de cabillaud']",,,,,,,,,,,,,,,,,,,,,,,,,43.8%,28.4%,11.3%,10.5%,6.0%,0.0%,92,,,,,,,,,,
19,Baie de Chiloé - Terre exotique,3760063334234,['France'],[],[],?,?,,?,,?,,?,,,,,['Terre exotique'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Organic wild blueberry fine powder,4742824010365,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Sea Bass Fillets 1kg,5011659712508,['France'],[],[],?,127,531 kj(127 kcal),"6,7","1,5","0,9","0,5",15,"0,15","0,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Miel de fleurs liquide - Maison Peltier,3335440111014,['France'],[],[],?,?,,?,,?,,?,,,B,,['Maison Peltier'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de fleurs']",,,,,,,,,,,,,,,,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,
23,Oranges variété navel,3661030041462,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,"PiacerSi Melagrana,ribes mirtillo - Conad",8003170077645,['France'],[],[],?,72,301 kj(72 kcal),"1,5",1,12,10,"2,6",,,,,['Conad'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Poitrine fumée,2858755025254,['France'],[],[],?,277,1159 kj(277 kcal),"22,6","8,93","0,1","0,1","18,5","2,7","1,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Jus de pomme Bio,3760074503001,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,
27,kanna’bar,0113760278560395,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Concassé de sardines aux tomates séchées - Pêcheurs d'Islande,3760025370850,['France'],[],[],?,173,724 kj(173 kcal),11,"2,2","2,6","2,2",15,"1,2","0,48",,,"[""Pêcheurs d'Islande""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Gelée Extra Pomme-Citron - Carmel du Havre,3760183970602,['France'],"['Sucre 48,3%', 'jus de pomme 48,3%', 'citron 3,4%']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,277,1159 kj(277 kcal),"0,47","0,32",68,"67,6","0,5","0,01","0,004",D,,['Carmel du Havre'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Gelées de fruits', 'Gelées de pommes']",,,0.47 g,en faible quantité,0.32 g,en faible quantité,67.6 g,en quantité élevée,0.01 g,en faible quantité,,+21%,+21%,+140%,+331%,+25%,+28%,+90%,-86%,-86%,12,+10%,D,+10%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,3,,,,,,,,
30,Mélange indien Tikka Massala - Bedros,01161397,['France'],[],[],?,?,,?,,?,,?,,,,,['Bedros'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Complete chocolate +,080005719857001,['France'],[],[],?,354,1481 kj(354 kcal),"7,3","1,8",30,28,34,"0,78","0,312",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,"Noix de cajou grillées, aromatisées curry",2600299048349,['France'],[],[],?,580,2427 kj(580 kcal),44,"8,6",26,"8,6",18,0,0,E,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Noix de cajou']",,,44 g,en quantité élevée,8.6 g,en quantité élevée,8.6 g,en quantité modérée,0 g,en faible quantité,,-3%,-3%,-5%,+1%,+2%,+33%,-4%,-100%,-100%,6,-21%,C,-21%,85.9%,1.5%,2.7%,6.9%,1.9%,1.2%,21,,,,,,,,,,
33,Filet de poulet far west,2610531050641,['France'],[],[],?,112,469 kj(112 kcal),"4,4","1,4",0,0,18,"0,67","0,268",D,,,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,4.4 g,en quantité modérée,1.4 g,en faible quantité,0 g,en faible quantité,0.67 g,en quantité modérée,,-15%,-14%,+53%,+88%,-100%,-100%,-21%,-11%,-11%,-1,,A,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,
34,Tête roulée,0206089020278,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Collagen coconut creamer,0898220012084,['France'],[],[],?,140,586 kj(140 kcal),9,9,4,0,10,"0,138","0,055",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Filet de poulet,2245333036014,['France'],[],[],?,138,577 kj(138 kcal),"5,7","5,7","1,1",0,20,"0,16","0,064",D,,,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,5.7 g,en quantité modérée,5.7 g,en quantité élevée,0 g,en faible quantité,0.16 g,en faible quantité,,+5%,+6%,+98%,+664%,+130%,-100%,-12%,-79%,-79%,1,,B,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,
37,Antica acetaia dei carandini,8014347107805,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Protein whey Bonbon flavour,5600854627450,['France'],[],[],?,401,1678 kj(401 kcal),"7,2","2,4",21,11,63,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Ginger Beer,3770014856012,['France'],[],[],?,39,163 kj(39 kcal),0,0,"9,8","9,8",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Poulet cuit fumé au feu de hêtre et de chêne,2209625006833,['France'],[],[],?,170,711 kj(170 kcal),"9,6","2,8",1,"0,9",20,"1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Caprice,56685220,['France'],[],[],?,477,1996 kj(477 kcal),19,"8,4",67,48,"7,4","0,39","0,156",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Filet de dinde - Dulano,4056489115311,['France'],[],[],?,103,431 kj(103 kcal),2,"0,8",1,"0,9",20,"2,5",1,,,['Dulano'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Ice tea lemon - Farmer,7611330292787,['France'],[],[],?,12,50 kj(12 kcal),"0,5",0,"2,9","2,9","0,5",0,0,,,['Farmer'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Mélange d’épices - Fuchs,4027900144586,['France'],[],[],?,?,,?,,?,,?,,,,,['Fuchs'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Filets de poulets roti,2431628040730,['France'],[],[],?,151,632 kj(151 kcal),"5,8","1,4",0,,24,"1,4","0,56",D,,,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet', 'Filets de poulet rotis']",,,5.8 g,en quantité modérée,1.4 g,en faible quantité,,,1.4 g,en quantité modérée,,+4%,+4%,+8%,+3%,-100%,,+2%,+4%,+4%,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,"['Barquette', 'Film en plastique']",,,,,,,
46,Jalfrezi,5011308301695,['France'],[],[],?,285,1192 kj(285 kcal),"24,3","3,7","7,8","1,1","7,5","3,2","1,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Salade de gambas aux mandarines,2293262022639,['France'],[],[],?,146,611 kj(146 kcal),11,"0,8","6,8","4,9","4,2","0,99","0,396",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,BIO HAMBURGER DE BŒUF,2720729002915,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,
49,La droite,2602605026300,['France'],[],[],?,430,1799 kj(430 kcal),"33,5","14,1","6,7","2,63","25,4","4,47","1,788",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Impact Whey Isolat Schoko Karamell - Myprotein,5055534356005,['France'],[],[],?,376,1573 kj(376 kcal),0,0,0,,22,"0,5","0,2",,,['Myprotein'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Pavé aux céréales,0218504005258,['France'],[],[],?,852,3565 kj(852 kcal),"1,9","0,5",70,"5,8",12,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Kross lecker,20241391,['France'],[],[],?,213,891 kj(213 kcal),"7,9","3,2","25,1","3,8","9,3","1,08","0,432",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Canard,0276287024279,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Sirope de Mango,8413412210141,['France'],[],[],?,150,628 kj(150 kcal),0,0,0,0,0,"0,25","0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Pesticada Thon à la patate douce et coriandre,5600214569055,['France'],[],[],?,127,531 kj(127 kcal),"5,6","0,75","4,5","0,5","14,6","1,13","0,452",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Keto cookie,0787692511006,['France'],[],[],?,2,8 kj(2 kcal),15,6,15,7,8,"0,325","0,13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Mimolette jeune,0212442014174,['France'],[],[],?,?,,?,,?,,?,,,D,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Mimolettes', 'Mimolettes jeunes']",,,,,,,,,,,,,,,,,,,,,,,,,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,
58,Pomada Xoriguer Menorca,8411038010510,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Myrtilles,3760025969290,['France'],[],[],?,57.7,241 kj(57 kcal),"0,33",0,"10,6",0,"0,87",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Museau de porc,13035143,['France'],[],[],?,201,841 kj(201 kcal),18,"4,1","0,7","0,5","8,6","1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Ma salade Poulet Crudités - Leader Price,3263858024995,['France'],[],[],?,147,615 kj(147 kcal),"8,3","0,9",11,"2,4","6,3","0,41","0,164",,,['Leader Price'],,,['Leader Price'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Tomme de Brebis aux Truffes,0203401025911,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Filet mignon fumé,2243747030574,['France'],[],[],?,91,381 kj(91 kcal),"1,5","0,5","0,7","0,5",19,"3,5","1,4",,,,,"['FR 56.094.013 CE', 'Kervignac (Morbihan, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Rosée de Loire,3464671801149,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Yaourt fermier bio,3700491600242,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,
66,Rillettes de thon aux poivrons bio - Pêcheurs d'Islande,3760025370904,['France'],[],[],?,150,628 kj(150 kcal),"9,3","5,9","3,3","2,1",13,"1,3","0,52",D,,"[""Pêcheurs d'Islande""]","['Produits de la mer', 'Produits à tartiner', 'Poissons', 'Produits à tartiner salés', 'Rillettes', 'Thons', 'Préparations de poisson', 'Rillettes de poissons', 'Rillettes de thon']",,,9.3 g,en quantité modérée,5.9 g,en quantité élevée,2.1 g,en faible quantité,1.3 g,en quantité modérée,,-29%,-30%,-41%,+56%,+56%,+120%,-15%,+25%,+25%,11,+77%,D,+77%,74.4%,12.5%,3.8%,7.2%,1.7%,0.5%,51,,,,,,,,,,
67,Concassé de thon au pesto - Pêcheurs d'Islande,3760025370836,['France'],[],[],?,225,941 kj(225 kcal),18,"4,8","2,6","1,3",13,"1,6","0,64",,,"[""Pêcheurs d'Islande""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Jambonneau supérieur,3546650879070,['France'],[],[],?,130,544 kj(130 kcal),"3,4","1,9","0,6","0,6",20,"2,5",1,,,,,"['FR 35.196.001 CE', 'Mordelles (Ille-et-Vilaine, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Mixmilk - Balconi,80635369,['France'],[],[],?,?,,?,,?,,?,,,,,['Balconi'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Gingembre confit - Philia,3520832330467,['France'],[],[],?,334.60000610352,1400 kj(334 kcal),"0,2",0,76,72,"0,2",0,0,,,['Philia'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Nature - Auchan,3596710483099,['France'],[],[],?,540,2259 kj(540 kcal),34,"2,7",50,"< 0,5",6,"1,1","0,44",,,['Auchan'],"['Snacks', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips']",,['Auchan'],34 g,en quantité élevée,2.7 g,en quantité modérée,0.5 g,en faible quantité,1.1 g,en quantité modérée,,+5%,+5%,+15%,-13%,-8%,-79%,+5%,-17%,-17%,7,-40%,C,-40%,,,,,,,,"['Nutriscore', 'Nutriscore C']",,,,,,,,,
72,Purée de fruits d'été,3770009346009,['France'],[],[],?,54,226 kj(54 kcal),"0,3","0,1","12,8","11,6","0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Sorbet citron - Erhard,3428420009354,['France'],[],[],?,125,523 kj(125 kcal),0,0,31,27,0,0,0,,,['Erhard'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,carrotte rapées - André Loussouarn,3449480006695,['France'],[],[],?,91,381 kj(91 kcal),"6,4","0,48","6,2","4,8","0,8","0,67","0,268",B,,['André Loussouarn'],"['Plats préparés', 'Légumes préparés', 'Carottes râpées']",,,6.4 g,en quantité modérée,0.48 g,en faible quantité,4.8 g,en faible quantité,0.67 g,en quantité modérée,,+18%,+20%,+38%,+18%,+4%,-2%,-9%,+8%,+8%,4,+634%,C,+634%,62.4%,0.0%,0.0%,18.7%,12.9%,6.0%,98,,,,,,,,,,
75,Maíz,8410148508948,['France'],[],[],?,413,1728 kj(413 kcal),12,"1,7",63,"1,5","7,2","2,5",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Gaspacho,13958855,['France'],[],[],?,49,205 kj(49 kcal),"3,6","0,5","2,9","2,5","0,8","0,32","0,128",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Saint agur,0285520021067,['France'],[],[],?,361,1510 kj(361 kcal),33,23,"0,5","0,5",16,"2,2","0,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Saucisson extra casa ramon,8436569171028,['France'],[],[],?,348,1456 kj(348 kcal),28,"8,8","2,6",0,25,"3,1","1,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Sablés de châtaigne,3760210620043,['France'],[],[],?,474,1983 kj(474 kcal),22,13,61,25,"6,8","0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Macaroni & cheese dinner,17819712,['France'],[],[],?,361,1510 kj(361 kcal),"2,6","1,1",70,"9,2",13,"3,4","1,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Rôti Saumur,2245025048417,['France'],[],[],?,129,540 kj(129 kcal),"4,4","1,7","0,5","0,4",22,"3,4","1,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Film en plastique'],,,,,,,
82,Gros sel de Guerande aux algues,3770011665143,['France'],[],[],?,?,,?,,?,,?,,,B,,,"['Epicerie', 'Condiments', 'Sels', 'Sels français', 'Sels marins', 'Sels de Guérande']",,,,,,,,,,,,,,,,,,,,,,,,,50.9%,0.0%,27.5%,11.1%,10.5%,0.0%,98,,,,['France'],,,,,,
83,Vin,3760063164336,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Briquette reglisse - La Confiserie Bressaude,3389681001115,['France'],[],[],?,400,1674 kj(400 kcal),0,0,98,77,0,0,0,,,['La Confiserie Bressaude'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Coco Ti,3770013789205,['France'],[],[],?,16,67 kj(16 kcal),0,0,4,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,
86,Fruits de pays - La Confiserie Bressaude,3389681002440,['France'],[],[],?,?,,?,,?,,?,,,,,['La Confiserie Bressaude'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Caillette aux epinards,2246502023422,['France'],[],[],?,253,1059 kj(253 kcal),"19,6","7,4",7,2,"13,1",2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Jus d’argousier,8005235102569,['France'],[],[],?,39,163 kj(39 kcal),"0,2",0,"9,4","0,7","0,2",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Comte affine 18 mois minimum,2871736034243,['France'],[],[],?,418,1749 kj(418 kcal),35,23,0,0,27,"0,9","0,36",D,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté']",,,35 g,en quantité élevée,23 g,en quantité élevée,0 g,en faible quantité,0.9 g,en quantité modérée,,-0%,-0%,+1%,+1%,-100%,-100%,+0%,+7%,+7%,13,0%,D,0%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,
90,Fromage mi chevre mi brebis,3447840131001,['France'],[],[],?,405,1695 kj(405 kcal),34,22,0,,25,"0,36","0,144",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Meule de Savoie,2230253041590,['France'],[],[],?,411,1720 kj(411 kcal),"33,5","20,51","1,34","0,2","26,11","0,68","0,272",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Coca anis,8412945657010,['France'],[],[],?,581.59997558594,2433 kj(581 kcal),"39,22","23,9","51,28","14,98","5,16","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Pasport,2954912628482,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Gochtial blé T65 - Boulangerie des îles - 480g,0205391039367,['France'],"['farine de blé t65*', 'eau', 'beurre*', 'levaln de blé*', 'peufs*', 'poudre de lalt*', 'sucre de canne*', 'acérola* levure*', ""sel de guérande * issu de l'aqriculture blologlque""]",['Non végétalien'],?,?,,?,,?,,?,,,B,480 g,['Boulangerie des îles'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Céréales et pommes de terre', 'Snacks sucrés', 'Viennoiseries', 'Pains', 'Pains spéciaux', 'Pains briochés']",,['BioGolfe'],,,,,,,,,,,,,,,,,,,,,,,71.4%,16.0%,8.3%,3.7%,0.6%,0.0%,82,,,,,['Lait'],,,,,
95,Saucisse sèche tradition,2745281003200,['France'],[],[],?,313,1310 kj(313 kcal),"20,7","8,41","0,67","0,67","31,1","4,94","1,976",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Le Caramel fruits de la passion,3700796302865,['France'],[],[],?,436.39999389648,1826 kj(436 kcal),"23,9",16,"54,6","54,2","0,8","0,73","0,292",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,4 muffins,3316201000006,['France'],[],[],?,393,1644 kj(393 kcal),22,"3,9",44,24,"3,5","0,57","0,228",,,,"['Biscuits et gâteaux', 'Gâteaux', 'Muffins']",,,22 g,en quantité élevée,3.9 g,en quantité modérée,24 g,en quantité élevée,0.57 g,en quantité modérée,,-1%,-1%,+9%,+4%,-10%,-11%,-33%,-23%,-23%,14,-9%,D,-9%,,,,,,,,,,,,,,,,,
98,Terrine de campagne,2208365019295,['France'],[],[],?,310.70001220703,1300 kj(310 kcal),28,"10,2","2,83","1,88","12,7","1,76","0,704",,,,"['Viandes', 'Charcuteries', 'Terrines', 'Terrines de campagne']",,,28 g,en quantité élevée,10.2 g,en quantité élevée,1.88 g,en faible quantité,1.76 g,en quantité élevée,,-4%,-4%,-1%,-6%,+24%,+116%,-9%,+10%,+10%,20,+3%,E,+3%,,,,,,,,,,,,,,,,,
