,name,bar_code,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,traceability_code,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,quantity,additives,allergens,nova_score,brand_owner,generic_name,packaging,ingredients_origins,markets,manufacturing,link,palm_ingredients,producer_info
0,Biscuit au gingembre - Great Value,0628915164404,['Great Value'],['France'],[],[],?,390,1632 kj(390 kcal),"0,9",0,70,35,4,"0,4","0,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Graines sésame,5407001963641,,['France'],[],[],?,698,2920 kj(698 kcal),61,9,"11,5","0,5",20,"0,12","0,048",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Moulin de Carel,0200513029851,,['France'],[],[],?,277,1159 kj(277 kcal),21,"15,5",0,0,20,"1,55","0,62",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Miel de Corse,3770002488010,,['France'],[],[],?,?,,?,,?,,?,,,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels français', 'Miels de Corse']",,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Toblerone,03420849,['Toblerone'],['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Predators Pret,5600854627597,,['France'],[],[],?,390,1632 kj(390 kcal),"3,5","1,7",0,0,88,"1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Café grain,3700782000386,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Mélange de Thés Noir Zoubrovka (125g Dose) - Kusmi Tea,3585804000168,['Kusmi Tea'],['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Fruit & Nut Muesli,5060482840322,,['France'],[],"['Végétalien', 'Végétarien']",?,376,1573 kj(376 kcal),"10,5","1,5","52,5","9,7","14,1","0,02","0,008",,,,,,,,,,,,,,,"['Végétarien', 'en:gluten-free', 'Végétalien']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Boudin,2679649029789,,['France'],[],[],?,266,1113 kj(266 kcal),19,"5,3","7,7","2,4",16,"2,7","1,08",D,"['Viandes', 'Charcuteries', 'Poissons et viandes et oeufs', 'Abats', 'Boudins', 'Produits tripiers', 'Boudins noirs', 'Boudin noir sauté']",,+9%,-6%,+84%,+50%,87.1%,4.2%,2.1%,1.8%,1.0%,3.9%,35,,"['FR 10.008.003 CE', 'Argançon (Aube, France)']",19 g,en quantité modérée,5.3 g,en quantité élevée,2.4 g,en faible quantité,2.7 g,en quantité élevée,+9%,-32%,+14%,+86%,+86%,18,+15%,D,+15%,,,,,,,,,,,,,
10,Tentation fruitée,0203418104302,,['France'],[],[],?,278,1163 kj(278 kcal),21,14,20,19,"2,2","0,06","0,024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Rhamnus frangula,5412141002396,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Chocolate wafer curls,20142711,,['France'],[],[],?,440,1841 kj(440 kcal),11,"6,5",77,46,7,"0,18","0,072",,,,,,,,,,,,,,,"['Agriculture durable', 'en:UTZ Certified']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,18999495,18999495,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Panna Cotta Bio -,3661890062225,,['France'],[],[],?,?,,?,,?,,?,,,,"['Aides culinaires', 'Préparations pour desserts', 'Préparations pour panna cotta']",,,,,,,,,,,,,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01', 'Point Vert']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Amandes torréfiées au gianduja - 100g,3286110002357,,['France'],[],[],?,579,2423 kj(579 kcal),"42,6","14,6","35,9","32,4","12,4","0,004","0,002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 g,,,,,,,,,,,,
16,TRÉSOR - Kellogg's,39455383,"[""Kellogg's""]",['France'],[],[],?,450,1883 kj(450 kcal),16,4,68,29,"6,9","1,13","0,452",C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Céréales extrudées', 'Céréales au chocolat', 'Céréales fourrées']",,+3%,+16%,0%,-8%,74.0%,13.1%,5.1%,5.5%,2.3%,0.0%,60,,,16 g,en quantité modérée,4 g,en quantité modérée,29 g,en quantité élevée,1.13 g,en quantité modérée,+3%,+6%,+1%,+77%,+77%,19,+46%,E,+46%,,,,,,,,,,,,,
17,Calissons d'Aix -,3486725004405,,['France'],[],[],?,?,,?,,?,,?,,,B,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Calissons', ""Calissons d'Aix""]",,,,,,43.9%,29.6%,15.5%,7.5%,3.5%,0.0%,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Purethé,8717896007571,,['France'],[],[],?,19,79 kj(19 kcal),0,0,"4,8","4,6","0,1","0,05","0,02",,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Take Off Energy+fruit Mix,9040400003523,,['France'],[],[],?,59,247 kj(59 kcal),0,0,14,13,0,"0,05","0,02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Echinacea angustifolia,3580258110098,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Curry japonais,4901002133467,,['France'],[],[],?,480,2008 kj(480 kcal),"28,6","12,8","50,3","46,6","5,7","14,3","5,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Vincinni Wafreta,5310115007753,['Vincinni'],['France'],[],[],?,563,2356 kj(563 kcal),"31,1","15,7","56,1",37,4,"0,06","0,024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Aloel,8621960000248,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Edulcorant,0044800297079,,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,"0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Farmhouse White Loaf - Coop,5000128967266,['Coop'],['France'],"['ingredients fortified wheat flour ', 'wheat flour', 'calcium carbonate', 'iron', 'niacin', 'thiamin', 'water', 'yeast', 'salt', 'wheat protein', 'soya flour', 'vegetable oil ', 'rapeseed', 'palm', 'spirit vinegar', 'preservative ', 'calcium propionate', 'flour treatment agent ', 'ascorbic acid', ',']","['Huile de palme', 'Végétalien', 'Végétarien']",?,238,996 kj(238 kcal),"1,7","0,4",46,"3,5","8,7","0,78","0,312",,,,,,,,,,,,,,,"['Végétarien', 'Végétalien']",,,,,,,,,,,,,,,,,,,,"['E282 - Propionate de calcium', 'E300 - Acide ascorbique']","['Gluten', 'Soja']",,,,,,,,,,
26,Confiture d'abricots - Coop - 454g,5000128430012,['Coop'],"['France', 'Royaume-Uni']","['Apricots', 'Glucose-Fructose Syrup', ' Sugar,Acidity Regulators ', 'Citric acid', 'Sodium citrates', 'Gelling Agent ', 'Pectins', 'Prepared with 45g of fruit per 100g', ' Total sugar content 60g per 100g']",[],?,248,1038 kj(248 kcal),"0,5",0,60,51,"0,5","0,02","0,008",B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', ""Confitures d'abricot""]",,+13%,+121%,+13%,-0%,38.5%,19.4%,25.9%,11.0%,4.2%,1.1%,87,,,0.5 g,en faible quantité,0 g,en faible quantité,51 g,en quantité élevée,0.02 g,en faible quantité,+13%,-100%,+1%,-9%,-9%,12,+33%,D,+33%,454 g,"['E330 - Acide citrique', 'E331 - Citrates de sodium', 'E440 - Pectines']",,4,,,,,,,,,
27,Obello Rosso (vin rouge),8000716335139,,['France'],[],[],?,?,,?,,?,,?,,,D,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins rouges']",,,,,,38.9%,16.2%,33.0%,8.1%,2.4%,1.3%,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Naranja,0729090060410,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Huile de coco vierge 100%,3373020040644,,['France'],[],[],?,?,,?,,?,,?,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', 'Huiles', 'Huiles de fruits et graines de fruits', 'Huiles de coco', 'Huiles vierges de coco']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Mangue sauvage,3760199290008,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Vinaigre de coco,7467849560592,,['France'],[],[],?,5,21 kj(5 kcal),0,0,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,BrainXtorm,9369998110896,,['France'],[],[],?,318,1331 kj(318 kcal),"9,9","6,1","4,5","2,9","31,8","2,85","1,14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Muffins,0078742087054,,"['France', 'États-Unis']","['enriched wheat flour ', 'wheat flour', 'niacin', 'reduced iron', 'thiamine mononitrate', 'riboflavin', 'folic acid', 'sugar', 'semisweet chocolate chips ', 'sugar', 'chocolate liquor', 'cocoa butter', 'dextrose', 'soy lecithin', 'salt', 'natural vanilla flavor', 'soybean and/or canola oil', 'eggs', 'water', 'buttermilk ', 'part-skim milk', 'sea salt', 'sodium citrate', 'bacterial culture', 'egg whites', 'artificial flavor', 'leavening ', 'sodium bicarbonate', 'sodium aluminum phosphate', 'monocalcium phosphate', 'dextrose', 'whey ', 'milk', 'salt', 'mono - and diglycerides', 'sodium stearoyl lactylate', 'xanthan gum', 'citric acid', 'cellulose gum,']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",?,374,1565 kj(374 kcal),"18,18","5,05","49,49","30,3","5,05","0,732","0,293",,"['Biscuits et gâteaux', 'Gâteaux', 'Muffins', 'Pâtisseries']",,-6%,-10%,+1%,-3%,,,,,,,,,,18.2 g,en quantité modérée,5.05 g,en quantité élevée,30.3 g,en quantité élevée,0.733 g,en quantité modérée,-6%,+35%,+13%,-1%,-1%,16,+4%,D,+4%,,"['E322i - Lécithine', 'E500ii - Carbonate acide de sodium', ""E541 - Phosphate d'aluminium et de sodium"", 'E341i - Phosphate monocalcique', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E481 - Stéaroyl-2-lactylate de sodium', '', 'Risque élevé de sur-exposition', 'E415 - Gomme xanthane', 'E330 - Acide citrique', 'E466 - Carboxyméthylcellulose']","['Œufs', 'Gluten', 'Lait', 'Soja']",4,"Wal-Mart Stores, Inc.",,,,,,,,
34,italpasta,8009940102524,,['France'],[],[],?,348,1456 kj(348 kcal),0,0,71,0,12,0,0,,,,,,,,,,,,,,,['Fabriqué en Italie'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Pepero chocolat amande - Lotte,8801062637621,['Lotte'],['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Lomo Embuchado,8436001269559,,['France'],[],[],?,323,1351 kj(323 kcal),"18,5","6,68",5,"0,5",34,"1,47","0,588",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Fresh'n fruity,9414967250070,,['France'],[],[],?,78,326 kj(78 kcal),"1,4","0,9","12,3","10,9","3,8","0,36","0,144",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Pressed pretzel pizza seasoned,9421903662620,,['France'],[],[],?,435,1820 kj(435 kcal),12,"1,2",71,10,9,"0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Strong cappuccino,26321509,,['France'],"['cappuccino sachet ', '95%', ' [skim milk powder', 'instant coffee', 'vegetable fat', 'maltodextrin', 'sugar', 'glucose syrup ', 'from wheat', 'acidity regulator ', '501', 'stabiliser ', '339', 'salt', 'chocolate powder ', '5%', ' [sugar', 'low fat alkalised cocoa powder] contains 40% skim mik', '20% instant coffee and 1,6% cocoa powder contains milk and wheat', 'suitable for vegetarians', 'store in a cool', 'dry place', 'for best before: see bottom of pack,']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Végétarien']",?,34,142 kj(34 kcal),"0,9","0,8","4,8","2,8","1,5","0,04","0,016",,,,,,,,,,,,,,,['Végétarien'],,,,,,,,,,,,,,,,,,,,"['E501 - Carbonates de potassium', 'E339 - Phosphates de sodium', '', 'Risque élevé de sur-exposition']","['Gluten', 'Lait']",4,,,,,,,,,
40,Chocolat noir 70% -,3114008600012,,['France'],[],[],?,?,,?,,?,,?,,,E,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs']",,,,,,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Le medaillon du buisson,3760280480783,,['France'],[],[],?,276,1155 kj(276 kcal),23,"8,8","1,2","0,7",14,"1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Poitrine salee,2866838003679,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,27487020,27487020,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Huile Végétale Arôme Beurre Gourmet,5410556195948,,['France'],[],[],?,900,3766 kj(900 kcal),100,10,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Bio,5711546748053,,['France'],[],['Sans huile de palme'],?,621,2598 kj(621 kcal),70,16,0,0,0,"0,5","0,2",,,,,,,,,,,,,,,"['Bio', 'en:palm-oil-free']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Abricots moelleux,3490840008842,,['France'],[],[],?,193,808 kj(193 kcal),"0,3","0,1",42,32,2,"0,07","0,028",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Yaourt Ananas Passion,3339526062184,,['France'],[],[],?,118,494 kj(118 kcal),"5,7","3,7","14,1","13,6","2,6","0,11","0,044",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Lard petit dejeuner - Cora,5400134297775,['Cora'],['France'],[],[],?,281,1176 kj(281 kcal),"25,3","10,2","0,5","0,2","14,4","3,6","1,44",,,,,,,,,,,,,,,"['en:gluten-free', 'Sans lactose']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Promenade à Hyde Park - Thé vert earl grey avec pétales de bleuet - Guichard Perrachon - 40g,3222470111780,['Guichard Perrachon'],['France'],"['Thé vert de Chine 96', '5 % - huile essentielle de bergamote 3% - pétales de bleuet']",[],?,?,,?,,?,,?,,,B,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés', 'Thés verts', 'Thés aromatisés']",,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,,,,,,,,,,,,,,,,,,,40 g,,,1,,Thé vert aromatisé à la bergamote avec pétales de bleuet,"['Carton', 'Sachets', 'Plastique']",['Chine'],,,,,
50,Miel de lavande - Danse des butineuses - 500g,3770006192074,['Danse des butineuses'],['France'],[],[],?,?,,?,,?,,?,,,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de lavande']",,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,"['EMB 04068A', 'Dauphin (Alpes-de-Haute-Provence, France)']",,,,,,,,,,,,,,,,,,500 g,,,,,,,,,,,,
51,Palette fumée,2349446009856,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Amandes caramelisées,5290097007012,,['France'],[],[],?,526,2201 kj(526 kcal),"35,2","2,7","44,6","32,5","14,9","0,003","0,001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,FM 18 Bat Moell Omega,3302744576023,,['France'],[],[],?,111,464 kj(111 kcal),"4,4","0,6","10,5","4,3","7,3","1,8","0,72",,,,,,,,,,,,,,,['Sans colorants'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Pavé 3 meuniers céréales,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,100% Premium Whey Protein,6009706096465,,['France'],[],[],?,384,1607 kj(384 kcal),"6,9","4,5",11,"4,8",68,"0,9","0,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Cheese balls,3760006881115,,['France'],[],[],?,529,2213 kj(529 kcal),"30,7",14,"56,3","8,7","6,6",3,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Échaudés,3543931233019,,['France'],[],[],?,357,1494 kj(357 kcal),"3,3","0,7","70,6","14,3","11,4","0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Beurre de ferme au lait cru de vache,5425000120032,,"['Belgique', 'France']",[],[],?,743,3109 kj(743 kcal),"82,1","49,8","0,6","0,6","0,6",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Saint Nectaire laitier AOP,2487991020794,,['France'],[],[],?,340,1423 kj(340 kcal),28,"19,9",0,0,22,"1,7","0,68",D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Saint-nectaire']",,0%,+1%,-100%,+0%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,28 g,en quantité élevée,19.9 g,en quantité élevée,0 g,en faible quantité,1.7 g,en quantité élevée,+0%,+5%,-100%,+14%,+14%,16,+7%,D,+7%,,,,,,,,,,,,,
60,Saucisse prestige au porc fermier,2223800021718,,['France'],[],[],?,271,1134 kj(271 kcal),22,"8,63","0,7","0,4","17,6","2,14","0,856",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Confiture de framboise epepinée - Les Alpes Campagnardes,3565033750041,['Les Alpes Campagnardes'],['France'],"['Framboises épépinées', 'Sucre', 'eau', 'Pectine de fruits']",[],?,232,971 kj(232 kcal),"0,5",0,"55,9","49,8","0,52","0,05","0,02",C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de framboises']",,+4%,+85%,+5%,-23%,65.8%,9.7%,13.4%,8.4%,2.2%,0.6%,60,['Sans conservateurs'],,0.5 g,en faible quantité,0 g,en faible quantité,49.8 g,en quantité élevée,0.05 g,en faible quantité,+3%,-100%,-3%,+135%,+135%,11,+24%,D,+24%,,['E440 - Pectines'],,4,,,,,,,,,
62,Poitrine Fumée,0209993018560,,['France'],[],[],?,298,1247 kj(298 kcal),"25,8","10,2","0,7","0,5","15,9","1,5","0,6",,,,,,,,,,,,,,,"['Viande Française', 'Viande Porcine Française']","['FR 35.297.003 CE', 'Saint-Méen-le-Grand (Ille-et-Vilaine, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Brioche,0278715016405,,['France'],[],[],?,326,1364 kj(326 kcal),"7,2","2,8",49,"5,2",15,"0,65","0,26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Brioche vendéenne,0201075023615,,['France'],[],[],?,380,1590 kj(380 kcal),16,12,49,15,"9,1","0,84","0,336",C,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Brioches', 'Brioches Vendéennes']",,+1%,+5%,-1%,+9%,81.5%,11.5%,4.5%,2.1%,0.3%,0.0%,56,,,16 g,en quantité modérée,12 g,en quantité élevée,15 g,en quantité élevée,0.84 g,en quantité modérée,+1%,+18%,+3%,-10%,-10%,20,+5%,E,+5%,,,,,,,,,,,,,
65,Extra virgin olive oil,0657738000484,,['France'],[],[],?,819,3427 kj(819 kcal),91,15,0,0,0,0,0,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",,-5%,-5%,,,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,91 g,en quantité élevée,15 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,-4%,+7%,,-100%,-100%,7,+14%,C,+14%,,,,,,,,,,,,,
66,Confiture de mirabelles - Cactus,5400501107133,['Cactus'],['France'],[],[],?,239,1000 kj(239 kcal),"0,1",0,"58,6","58,5","0,4","0,01","0,004",B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de prunes', 'Confitures de mirabelles']",,+7%,-55%,+8%,+3%,38.5%,19.4%,25.9%,11.0%,4.2%,1.1%,87,,,0.1 g,en faible quantité,0 g,en faible quantité,58.5 g,en quantité élevée,0.01 g,en faible quantité,+7%,-100%,+13%,-51%,-51%,7,-28%,C,-28%,,,,,,,,,,,,,
67,Poulpy,8436036185879,,['France'],[],[],?,333,1393 kj(333 kcal),"0,2","0,2",75,54,"5,2","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Multivitamines et mineraux,0074312990267,,"['France', 'Espagne']",[],[],?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,"['Compléments alimentaires', 'Vitamines']",,-100%,-100%,-100%,-100%,,,,,,,,,,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,-100%,-100%,-100%,-100%,-100%,0,-100%,B,-100%,,,,,,,,,,,,,
69,Cocktail de fruits,3760036358274,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Filet mignon,2209252005292,,['France'],[],[],?,0,0 kj(0 kcal),3,"1,2",0,0,23,"0,15","0,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Thé rouge  Rooibos des Vahinés - Palais des Thés,2700856001005,['Palais des Thés'],['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Nectar de kiwi,3700785000567,,['France'],[],[],?,41,172 kj(41 kcal),"0,1",0,10,10,"0,1",0,0,D,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Nectars de fruits', 'Nectars de kiwi']",,-18%,-57%,-9%,-65%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,0.1 g,en faible quantité,0 g,en faible quantité,10 g,en quantité élevée,0 g,en faible quantité,-17%,-100%,+13%,-100%,-100%,13,-2%,E,-2%,,,,,,,,,,,,,
73,Expresso pure premium,3380880016504,,['France'],[],[],?,2,8 kj(2 kcal),0,0,"0,3",0,"0,2",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Miel de fleurs de la garonne,3760098480098,,['France'],[],[],?,?,,?,,?,,?,,,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de fleurs']",,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Poulet curry rouge - Blue Elephant,5425010203015,['Blue Elephant'],['France'],[],[],?,137,573 kj(137 kcal),4,"2,3",17,"1,4","7,1","0,3","0,12",D,"['Viandes', 'Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Volailles', 'Plats à base de riz', 'Poulets', 'Volailles cuites', 'Plats à la volaille', 'Poulets cuisinés', 'Plats au poulet', 'Poulets au curry']",,+1%,-13%,+23%,-1%,80.4%,13.1%,1.9%,2.8%,1.1%,0.8%,36,,,4 g,en quantité modérée,2.3 g,en quantité modérée,1.4 g,en faible quantité,0.3 g,en quantité modérée,+5%,+27%,-22%,-61%,-61%,0,-100%,B,-100%,,,,,,,,,,,,,
76,Les Jardins de Gaïa,3582810361627,['Les Jardins de Gaïa'],['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-01']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
