,name,bar_code,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,traceability_code,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,quantity,additives,allergens,nova_score,brand_owner,generic_name,packaging,ingredients_origins,markets,manufacturing,link,palm_ingredients,producer_info
666,Vinaigrette biologique,3021891302988,,['France'],[],[],?,0,0 kj(0 kcal),50,"5,6","4,5","0,5",0,"2,2","0,88",D,"['Epicerie', 'Sauces', 'Sauces salades', 'Vinaigrettes']",,-100%,+36%,-5%,-100%,80.2%,9.6%,5.0%,3.2%,1.6%,0.4%,49,['Bio'],,50 g,en quantité élevée,5.6 g,en quantité élevée,0.5 g,en faible quantité,2.2 g,en quantité élevée,-100%,+49%,-85%,+15%,+15%,14,-6%,D,-6%,,,,,,,,,,,,,
667,Berlingot,3663350088165,,['France'],[],[],?,396,1657 kj(396 kcal),"0,5","0,1",97,65,"0,5","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
668,Comte JuraFlore,2496158039234,,['France'],[],[],?,418,1749 kj(418 kcal),35,23,0,0,27,"0,9","0,36",D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']",,+5%,+7%,-100%,+7%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,35 g,en quantité élevée,23 g,en quantité élevée,0 g,en faible quantité,0.9 g,en quantité modérée,+6%,+6%,-100%,-8%,-8%,13,-3%,D,-3%,,,,,,,,,,,,,
669,Fromage frais de campagne,3760014990120,,['France'],[],[],?,96,402 kj(96 kcal),6,"3,7","3,5","3,5",7,"0,2","0,08",,,,,,,,,,,,,,,,"['FR 42.248.002 CE', 'Saint-Just-en-Chevalet (Loire, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670,Ei & schnittlauch,4008900441608,,['France'],[],[],?,329,1377 kj(329 kcal),"31,1",4,"2,6","2,4",9,"1,33","0,532",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
671,Pain complet,3950580400684,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
672,Filet mignon de porc cuisiné,0291500000007,,['France'],[],[],?,116,485 kj(116 kcal),"3,7","1,5","0,7","0,3",20,"1,7","0,68",,,,,,,,,,,,,,,,"['EMB 22093C', ""Lamballe (Côtes-d'Armor, France)""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
673,Boulettes liégeoises - Delhaize,5400112216200,['Delhaize'],"['Belgique', 'France']",[],[],?,116,485 kj(116 kcal),"5,1","1,4",10,"3,1","6,5","0,6","0,24",,"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats au porc']",,-36%,-44%,-32%,-22%,,,,,,,,,,5.1 g,en quantité modérée,1.4 g,en faible quantité,3.1 g,en faible quantité,0.6 g,en quantité modérée,-37%,-53%,+65%,-48%,-48%,0,-100%,B,-100%,,,,,,,,,['Delhaize'],,,,
674,"Marinoë Alga Marinha ""Laitue"" Bio",3565840403505,['Marinoë'],['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
675,Farçous aveyronnais,3265490013009,,['France'],[],[],?,144,602 kj(144 kcal),7,2,11,1,9,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
676,Saucisson sec aux noix,3700133913587,,['France'],[],[],?,448,1874 kj(448 kcal),36,12,"1,9","0,7",29,"4,3","1,72",D,"['Viandes', 'Charcuteries', 'Saucissons', 'Saucissons secs', 'Saucissons secs au noix']",,-0%,-2%,-41%,+11%,79.0%,17.2%,0.6%,1.8%,1.1%,0.3%,36,"['Viande Française', 'Viande Porcine Française']",,36 g,en quantité élevée,12 g,en quantité élevée,0.7 g,en faible quantité,4.3 g,en quantité élevée,-0%,-11%,-70%,-0%,-0%,25,+1%,E,+1%,,,,,,,,,,,,,
