,name,bar_code,labels,sales_countries,ingredients_list,allergens,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,generic_name,quantity,packaging,brand,categories,ingredients_origins,additives,nova_score,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,markets,manufacturing,link,traceability_code,palm_ingredients,brand_owner
0,MHD 30.8.17 Amaretti Virginia Weiche Amaretti In Geschenkdose -,8001311041883,['en:gluten-free'],['France'],"[""SUCRE NOYAUX D'ABRICOTS 36% - AMANDES 7,5%-BLANC D'OEUF - MIEL - AGENT""]","['Œufs', 'Fruits à coque']",['Non végétalien'],?,471,1971 kj(471 kcal),25,"1,7",46,45,13,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8001311043474,8001311043474,,['France'],[],,[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Baci di Dama - Amaretti Virginia - 80g,8001311172372,,['France'],"['Farine de blé', 'margarine végétale ', 'huile et graisse végétale', 'eau', 'sel', 'emulsifiants : E472c', 'E471', 'acidifiant : E330', 'arômes', 'colorant : E160a', 'sucre', 'noisettes grillées 17%', 'pur chocolat noir 12% ', 'sucre', 'pâte de cacao', 'beurre de cacao', 'emulsifiant : lécithine de soja', 'arôme : vanille', 'pâte de noisettes 3%', 'cacao en poudre 1%', ""blanc d'oeuf""]","['Œufs', 'Gluten']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",?,?,,?,,?,,?,,,D,Biscuit de pur style Ligurien. Produit de patisserie cuit au four.,80 g,"['Sachet', 'Plastique']",['Amaretti Virginia'],"['Snacks', 'Desserts', 'Snacks sucrés', 'Biscuits et gâteaux', 'Pâtisseries', 'Macarons']",['Italie'],"[""E472c - Ester citrique des mono et diglycérides d'acides gras alimentaires"", ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E330 - Acide citrique', 'E160a - Carotènes mélangés', 'E322i - Lécithine']",4,,,,,,88.9%,5.7%,2.0%,2.2%,1.2%,0.0%,37,,,,,,,,,,,,,,,,,,,,,,,
3,Amaretti Virginia Mini Panettone In Box 100 G (pack of ),8001311480491,,['France'],[],,[],?,375,1569 kj(375 kcal),14,9,54,7,1,"1,03","0,412",C,,,,['Amaretti Virginia'],"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Brioches', 'Panettone']",,,,,+0%,-7%,+5%,-85%,81.5%,11.5%,4.5%,2.1%,0.3%,0.0%,56,14 g,en quantité modérée,9 g,en quantité élevée,7 g,en quantité modérée,1.03 g,en quantité modérée,+1%,+0%,-73%,+134%,+134%,17,-9%,D,-9%,,,,,,
4,Panettone Virginia - Sassello,8001311481993,,['France'],"['FARINE DE BLE - AMARETTO ', 'SUCRE', ""NOYAUX D'ABRICOTS 21 0%"", 'BLANC d’œuf- CHOCOLAT NOIR 12% ', 'SUCRE', 'PATE DE BEURRE DE CACAO', 'EMULSIFIANT: LECITHINE DE SOJA', 'AROME NATUREL DE VANILLE', ' - BEURRE JAUNE JOEUF - SUCRE - LEVAIN NATUREL ', 'BLE', ' - SUCRE INVERTI - EMULSIFIANTS: MONO E DIGLYCERIDES DES ACIDES GRAS - LAIT - SEL - NATURELS', ' PEUT CONTENIR DES TRACE DE FRUITS A COQUE', "" CONSERVER A L'ABRI DE LA CHALEUR ET DE L'HUMIDITE""]","['Gluten', 'Lait', 'Fruits à coque', 'Soja']",['Non végétalien'],?,385,1611 kj(385 kcal),16,10,52,26,7,"0,4","0,16",C,,,,['Sassello'],"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Brioches', 'Panettone']",,['E322i - Lécithine'],4,,+3%,+7%,+1%,+2%,81.5%,11.5%,4.5%,2.1%,0.3%,0.0%,56,16 g,en quantité modérée,10 g,en quantité élevée,26 g,en quantité élevée,0.4 g,en quantité modérée,+3%,+11%,+0%,-9%,-9%,19,+2%,E,+2%,,,,,,
5,Dolce di Natale / Panettone - Amaretti Virginia Srl,8001311482402,['Une consommation excessive peut avoir des effets laxatifs'],['France'],"[""FARINE DE BLE - RAISIN SEC 17,8% - JAUNE D'OEUF - BEURRE - EDULCORANT: MALTITOL - LEVAIN NATUREL "", 'BLE', ' - EMULSIFIANTS: MONO ET DYGLYCERIDES DES ACIDES GRAS - MALT ', 'BLE', ' - SEL - AROMES - AGENT DE CONSERVATION: SORBATE DE POTASSIUM', 'IL PEUT CONTENIR DES TRACES DE FRUITS A COQUE', ' CONTIENT NATURELLEMENT SUCRES', ' UNE CONSOMMATION EXCESSIVE PEUT AVOIR DES EFFETS LAXATIFS', "" CONSERVER A L'ABRI DE LA CHALEUR ET DE L'HUMIDITE""]","['Œufs', 'Gluten', 'Lait', 'Fruits à coque']",['Non végétalien'],?,366,1531 kj(366 kcal),15,10,47,10,"8,4","0,3","0,12",C,,,,['Amaretti Virginia Srl'],"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Brioches', 'Panettone']",,"['E965 - Maltitol', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",4,,-2%,0%,-9%,+23%,81.5%,11.5%,4.5%,2.1%,0.3%,0.0%,56,15 g,en quantité modérée,10 g,en quantité élevée,10 g,en quantité modérée,0.3 g,en quantité modérée,-2%,+11%,-61%,-32%,-32%,16,-14%,D,-14%,,,,,,
6,Raibi fraise,8001323007334,,['France'],[],,[],?,76,318 kj(76 kcal),"1,5",1,"12,6","11,8",3,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Yogourt coco,8001344011914,"['en:gluten-free', 'Sans conservateurs']",['France'],[],,[],?,115,481 kj(115 kcal),"3,2",2,18,17,"3,5","0,1","0,04",,,,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts']",,,,,+25%,-2%,+64%,-7%,,,,,,,,3.2 g,en quantité modérée,2 g,en quantité modérée,17 g,en quantité élevée,0.1 g,en faible quantité,+25%,-2%,+68%,-13%,-13%,3,-2%,C,-2%,,,,,,
8,Yogurt Cremoso stracciatella,8001344017107,"['en:gluten-free', 'Sans conservateurs']",['France'],[],,[],?,125,523 kj(125 kcal),"4,3","2,8",18,18,"3,4","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,High protein shaker,8001344026079,['en:gluten-free'],['France'],[],,[],?,75,314 kj(75 kcal),"1,6","1,1","4,8","4,8",10,"0,21","0,084",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Carrefour Bio Riso Ribe 1KG - 1kg,8001350020238,['Bio'],['France'],[],,[],?,354,1481 kj(354 kcal),"0,5","0,1",80,"0,5","6,7","0,01","0,004",,,1 kg,,['Carrefour Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Carrefour'],,,,,
11,Carrefour Bio Succo 100% Mela 750ML,8001350027411,['Bio'],['France'],[],,[],?,46,192 kj(46 kcal),"0,5","0,1",11,"10,5","0,5","0,01","0,004",,,,,['Carrefour Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Carrefour'],,,,,
12,Tronchetto,8001352001273,,['France'],[],,[],?,469,1962 kj(469 kcal),"21,2",5,"56,8","48,1","9,9","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Tortellini boeuf cuit - Boscone,8001353989464,,['France'],"['TORTELLINI BOEIJF CUITS Pate aux oeu', 's avec arce de boeuf', ""Cuite Ingrédiints: Semou:a d' BLE dur 4796"", 'eauùbœuf braisé ', 'v ande de bœuf 7896', 'carot', 'J oignon', 'sel', 'arômes naturels', 'chapelure ', 'fare,ne de BLE tendre\'O""', 'fevure de ibre', 'sel', 'iOÈC S huile de tournesol', 'se extrait de levur» en poudre', 'romarin', 'marjolaine', 't,e Dans la m8mê u ine', 'on utilise produits laitiers crustacés', 'poissons', 'mollusques']","['Poisson', 'Gluten', 'Mollusques']","['Non végétalien', 'Non végétarien']",?,248,1038 kj(248 kcal),"8,5","2,9","32,9","1,2","9,1",7,"2,8",,,,,['Boscone'],,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Cappelletti saumon cuits - Maison bronzini,8001353989488,,['France'],[],,[],?,218,912 kj(218 kcal),"6,6","3,6","29,8","1,3","8,6","0,76","0,304",,,,,['Maison bronzini'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Farine complete de Kaf,8001353993010,,['France'],[],,[],?,358,1498 kj(358 kcal),"4,4","1,15","64,9","0,9","8,6","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Carciogoloso,8001364110680,,['France'],[],,[],?,43,180 kj(43 kcal),"2,6","2,6","3,1","0,4",1,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,CARCIOFINI GRIGLIATI,8001364151546,,['France'],[],,[],?,389,1628 kj(389 kcal),"5,6","0,8","3,9","0,8","2,8",2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Peperoncini farciti con tonno,8001364231057,,['France'],[],,[],?,166,695 kj(166 kcal),"10,8","10,3","0,1",0,"16,1",2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Farina di Mais Biance,8001392005408,,['France'],[],,[],?,348,1456 kj(348 kcal),"1,55","0,32","72,5","0,65","6,1","0,003","0,001",B,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Farines', 'Farines de céréales', 'Farines de maïs']",,,,,-1%,-9%,-5%,+1%,70.6%,1.8%,11.3%,11.7%,4.5%,0.0%,93,1.55 g,en faible quantité,0.32 g,en faible quantité,0.65 g,en faible quantité,0.003 g,en faible quantité,-2%,+19%,-14%,-96%,-96%,1,+22%,B,+22%,,,,,,
20,Confiture extra pêche,8001395000028,,['France'],[],,[],?,188,787 kj(188 kcal),"0,3",0,43,40,"0,7","0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Gressins sesames - Fagolosi Sesame,8001405013031,,['France'],"['FARINE DE BLÉ', ""HUILE D'OLIVE VIERGE EXTRA 7,4%"", 'LEVURE', 'GRAINES DE SÉSAME 3,6%', 'SEL IODÉ ', 'SEL', 'IODATE DE POTASSIUM 2,6%', 'FARINE DE BLÉ MALTÉ', ""EXTRAIT DE MALT D'ORGE"", 'AROMES NATURELS', ' PEUT CONTENIR DES TRACES DE SOJA', ' NE PAS EXPOSER À DES SOURCES DE CHALEUR']","['Gluten', 'Graines de sésame']",[],?,422,1766 kj(422 kcal),11,2,68,2,11,"2,5",1,B,,,,['Fagolosi Sesame'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Produits artisanaux', 'Pains', 'Gressins', 'Gressins artisanaux']",,,4,,-1%,-6%,+3%,-4%,58.5%,23.6%,10.3%,6.6%,0.9%,0.0%,93,11 g,en quantité modérée,2 g,en quantité modérée,2 g,en faible quantité,2.5 g,en quantité élevée,-1%,-3%,-7%,+32%,+32%,14,+19%,D,+19%,,,,,,
22,Fette Biscottate Bon Dal Cesto Di Alice 40 No Arr Integ Bio Integr Salut Integr 315 GR Bio - GrissinBon,8001405015004,['Bio'],['France'],"['INGRÉDIENTS: *FARINE DE BLÉ COMPLET ', '52%', ""'FARINE DE BLÉ"", ""'EXTRAIT DE MALT D'ORGE"", 'LEVURE', ""*HUILE D'OLIVE VIERGE EXTRA 4%"", 'SEL IODÉ PRESAL• ', 'SEL', 'IODATE DE POTASSIUM 0,007%', ' ARÔMES NATURELS', ' Contient du Gluten', 'PEUT CONTENIR DES TRACES DE SOJA', ' *BIOLOGIQUE', ' NE PAS EXPOSER À DES SOURCES DE CHALEUR', ' CONSERVER DANS UN ENDROIT FRAIS ET SEC', ' PRODUIT EN ITALIE']","['Gluten', 'Soja']",[],?,394,1648 kj(394 kcal),"5,8","1,1","69,1","3,5","12,5","1,3","0,52",,,,,['GrissinBon'],,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Burro - Fiandino - 250g,8001408870099,,"['France', 'Italie']",[],,[],?,745,3117 kj(745 kcal),82,47,"0,8","0,8",1,"0,06","0,024",E,,250 g,,['Fiandino'],"['Produits laitiers', 'Matières grasses', 'Produits à tartiner', 'Matières grasses à tartiner', 'Matières grasses animales', 'Matière grasse laitière', 'Produits laitiers à tartiner', 'Beurres', 'Matière grasse de beurre']",,,,,+17%,+18%,-0%,+73%,91.6%,4.9%,1.3%,1.2%,0.8%,0.2%,27,82 g,en quantité élevée,47 g,en quantité élevée,0.8 g,en faible quantité,0.06 g,en faible quantité,+19%,+9%,+50%,-90%,-90%,17,-9%,D,-9%,,,,,,
24,Selezione fiandino,8001408875155,,['France'],[],,[],?,404,1690 kj(404 kcal),30,13,"1,5","1,5",32,"2,2","0,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Risotto Porc. zaff. gr175 Gallo,8001420005295,,['France'],[],,[],?,344,1439 kj(344 kcal),"0,9","0,3",75,"1,5","8,1","0,8","0,32",,,,,['Gallo'],"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande']",,,,,+115%,-88%,+614%,-14%,,,,,,,,0.9 g,en faible quantité,0.3 g,en faible quantité,1.5 g,en faible quantité,0.8 g,en quantité modérée,+118%,-88%,-4%,-15%,-15%,2,-40%,B,-40%,,,,,,
26,Riso per Sushi Gallo - 500g,8001420005677,,['France'],['Riz Rond Grains'],,[],?,348,1456 kj(348 kcal),"0,7","0,2","78,3","0,2","6,8",0,0,B,Riz,500 g,"['Carton', 'sachet plastique']","['Gallo', 'Riso Gallo']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Riz', 'Riz pour sushi']",['Italie'],,,,+3%,+8%,-0%,+3%,79.0%,0.0%,6.4%,11.0%,3.6%,0.0%,74,0.7 g,en faible quantité,0.2 g,en faible quantité,0.2 g,en faible quantité,0 g,en faible quantité,-1%,+23%,-21%,-100%,-100%,0,-100%,B,-100%,['Carrefour Market'],,,,,
27,Risotti Da Chef Radicchio 175 GR - Gallo,8001420005790,,['France'],"['Riso parboiled', 'aromi ', 'contiene latte', 'fecola di patate', 'sale', 'radicchio in foglia 1,4 %', 'cipolla', 'formaggio fuso', 'maltodestrina', 'estratto di lievito']",['Lait'],['Non végétalien'],?,343,1435 kj(343 kcal),"1,1","0,4","75,4","1,9","7,2","2,2","0,88",,,,,['Gallo'],,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,175G Risotto Pronto Milanaise Riso Gallo,8001420006315,,['France'],[],,[],?,344,1439 kj(344 kcal),1,1,"76,6",1,"6,8","2,3","0,92",,,,,['Riso gallo'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Risotto Quatre Fromages - Riso gallo,8001420006322,,['France'],"['FR fromages fondus 5,9% ', 'dont 47,91% Camembert', 'Pécorino', 'Emmental', 'Cheddar et autres fromages [avec stabilisateur: E3391ìs fécule de pommes de terre', 'maltodextrine', 'amidon de riz', 'oignon', 'sucre', 'extrait de levure', 'sel de cuisine', 'arômes ', 'contient lait', ' Produit dans un site utilisant des céréales contenant du gluten', 'fruits à coque', 'soja', 'lait', 'poissons', 'crustacés', 'mollusques et produits dérivés', ' Contient des traces de ces substances', ' AKO/']","['Gluten', 'Lait']",['Non végétalien'],?,359,1502 kj(359 kcal),3,"1,7",74,"1,8",9,"2,2","0,88",,,,,['Riso gallo'],,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Risotto aux cèpes Gallo - 175g,8001420006346,,['France'],"['riz étuvé* 87%', 'cèpes ', 'Boletus Edulis et groupe relatif', ' 2,5%', 'arômes ', 'contient lait', 'sel de cuisine', 'fécule de pommes de terre', 'protéines de lait', 'oignon', 'maltodextrine', 'extrait de levure', 'sucre', 'fromage fondu en poudre ', 'avec stabilisateur : E339', 'persil 0,13%', 'ail']",['Lait'],['Non végétalien'],?,346,1448 kj(346 kcal),"1,1","0,4","75,2",2,"7,9","2,2","0,88",A,Risotto aux cèpes,175 g,"['Carton', 'atmosphère protectrice']",['Gallo'],"['Plats préparés', 'Plats à base de riz', 'Risottos', 'Risottos aux légumes', 'Risottos aux champignons', 'Risottos aux cèpes']",['Made in Italy'],"['E339 - Phosphates de sodium', '', 'Risque élevé de sur-exposition']",4,,+27%,-59%,+46%,+24%,38.0%,25.7%,12.0%,12.8%,6.7%,4.8%,95,1.1 g,en faible quantité,0.4 g,en faible quantité,2 g,en faible quantité,2.2 g,en quantité élevée,+28%,-66%,+75%,+156%,+156%,12,+212%,D,+212%,['Carrefour'],,,,,
31,Spaghetti Glutenfri 250 GR. Riso Gallo,8001420006551,,['France'],"['Farine de riz ', '59,5%', 'farine de maïs ', '30%', 'farine de sarrasin ', '10%', 'émulsifiant: mono et diglycérides des acides gras']",,[],?,356,1490 kj(356 kcal),"1,3","0,5","77,9","0,4","7,5",0,0,,,,,['Gallo'],,,"[""E471 - Mono- et diglycérides d'acides gras alimentaires""]",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Penne Rigate Glutenfri 250 GR. Riso Gall - Gallo - 250g,8001420006575,['en:gluten-free'],['France'],[],,[],?,356,1490 kj(356 kcal),"1,3","0,5","77,9","0,4","7,5",,,,,250 g,,['Gallo'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Penne', 'Penne rigate']",,,,,+1%,-23%,+11%,-38%,,,,,,,,1.3 g,en faible quantité,0.5 g,en faible quantité,0.4 g,en faible quantité,,,+1%,+34%,-86%,,,,,,,,,,,,
33,Fusilli Glutenfri 250 GR. Riso Gallo,8001420006582,['Entrepreneurs + Engagés'],['France'],"['Hidratos de carbono Carboidratos Di cui zuccheri Of which sugars Davon Zuckef Dont sucres los cuales az0cates quais açücares Crassi • Fat • Fett ides • Gresas • Gorduroy Dl cut saturi of \'""8hich ""turates Davon gassttlgt Dont g \'ures Delas eaales saturadas Fibrp allmentarl Fib/e • Ballaststoffe F\'bres alimentaires Sodio • Sodium Natrium • Sodium Sodio • S6dio Fosforo']",,[],?,357,1494 kj(357 kcal),"1,3","0,4","78,2","0,4","7,7",0,0,,,,,['Gallo'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Pâtes aux 3 grains,8001420006988,['en:gluten-free'],['France'],[],,[],?,296,1238 kj(296 kcal),"1,5",0,70,0,6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Gallo Risotto Pronto Summer Vegetable,8001420007121,,['France'],"['Riz', 'légumes en poudre ', 'onion 2,8%', 'courgettes 2,4%', 'petit pois 2,0%', 'carottes 1,6%', 'sel', 'amidon de pommes de terre', 'malto dextrine', 'dextrose']",,[],?,346,1448 kj(346 kcal),"0,9",0,"76,5",0,"7,1",0,0,,,,,['Gallo'],,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Riz étuvé grande saveur - Gallo - 1Kg,8001420007619,,['France'],['Riz long italien étuvé'],,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1490,?,1490 kj(356 kcal),1,,78,,7,,,A,Riz étuvé grande saveur,1 Kg,['Carton'],['Gallo'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Riz', 'Riz étuvé']",['Italie'],,1,0%,,+13%,+3%,-1%,79.0%,0.0%,6.4%,11.0%,3.6%,0.0%,74,1 g,en faible quantité,,,,,,,+3%,,,,,,,,,['Carrefour'],,,,,
37,Pates aux 3 céréales - Gallo,8001420007671,['en:gluten-free'],['France'],[],,[],?,356,1490 kj(356 kcal),"1,3","0,5","77,9","0,4","7,5",,,,,,,['Gallo'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Pâtes 3 Céréales Sans Gluten - Gallo - 500g e,8001420007688,['en:gluten-free'],"['France', 'Italie']",[],,[],?,356,1490 kj(356 kcal),"1,3","0,5","77,9","0,4","7,5",,,C,,500 g e,,['Gallo'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Produits sans gluten', 'Pâtes sèches', 'Pâtes alimentaires sans gluten', 'Penne', 'Penne rigate', 'en:Penne Rigate sans gluten']",,,,,+2%,-20%,+9%,-17%,65.0%,21.6%,6.8%,3.5%,3.1%,0.0%,74,1.3 g,en faible quantité,0.5 g,en faible quantité,0.4 g,en faible quantité,,,+1%,+5%,-48%,,,,,,,,,,,,
39,3 Cereali - Gallo,8001420007695,['en:gluten-free'],['France'],[],,[],?,356,1490 kj(356 kcal),"1,3","0,5","77,9","0,4",0,,,,,,,['Gallo'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,3 cereali free gluten - Gallo,8001420007749,['en:gluten-free'],['France'],[],,[],?,356,1490 kj(356 kcal),"1,3",1,"77,9","0,4","7,5",,,,,,,['Gallo'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Basmati - Gallo,8001420007923,,['France'],['MATURATO 1 ANNO RISO BASMATI BASMATI LONG GRAIN'],,[],?,354,1481 kj(354 kcal),"0,6","0,2","78,2","0,1","8,5",0,0,C,,,,['Gallo'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Riz', 'Riz parfumés', 'Riz de variété indica', 'Riz long grain', 'Riz Basmati']",,,,,+8%,-42%,+10%,+13%,79.0%,0.0%,6.4%,11.0%,3.6%,0.0%,74,0.6 g,en faible quantité,0.2 g,en faible quantité,0.1 g,en faible quantité,0 g,en faible quantité,+7%,-17%,-59%,-100%,-100%,-1,,A,,,,,,,
42,Gallo Il Mio Risottino Carote E Pomodoro GR 175,8001420007961,,['France'],"['Riso Parboiled', ' Purea di Carota Semiconcentrato di Pomodoro 156']",,[],?,354,1481 kj(354 kcal),"0,7","0,2","79,1","3,3","7,1",0,0,,,,,['Gallo'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Riso gallo risottino courgettes et épinards,8001420008098,,['France'],"['#100% Riz pour Risotto Risottòreis bas9de avec courge riz etuvé*', 'purée de courgettes 20%', 'purée diépinards 10% produit dans un site utilisant des céréales contenant du gluten', 'soja', 'lait', 'poissons', 'crustacés', 'mollus ues et produits érivés', 'Contient des traces e ces substances rabat sur le deosuee avant le: voir']",['Gluten'],[],?,358,1498 kj(358 kcal),"0,9","0,3","79,5","1,8","7,3",0,0,,,,,['Gallo'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Veggie risotto - Gallo,8001420008104,,['France'],"['riz précuit ', 'purée de carotte 15%', ' demi concentré de tomate Fabriqué dans une usine qui utilise des céréales contenant du gluten', ' noix', ' tait', ' poisson', 'crustacé', 'fruits de mer', 'et leurs dérivés Contient des traces des produits précédemment nommés', ' Conserver dens un endroit frais et sec']",['Gluten'],"['Non végétalien', 'Non végétarien']",?,354,1481 kj(354 kcal),"0,7","0,2","79,1","3,3","7,1",0,0,,,,,['Gallo'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Gallo pescatora,8001420008234,,['France'],"['acidity concentrate', '{elery']",,[],?,147,615 kj(147 kcal),3,"0,4","25,1","2,1","3,6","0,6","0,24",,,,,['Gallo'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Risotto Box - Gallo,8001420008241,,['France'],[],,[],?,52,218 kj(52 kcal),21,0,2,0,3,4,"1,6",,,,,['Gallo'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,QUICK COOKING RICE - GALLO RISO 0 MINUTI CHICCHI LUNGHI KG.,8001420008258,,['France'],[],,[],?,348,1456 kj(348 kcal),?,"0,2",?,"0,2","6,8",0,0,,,,,['Gallo'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,3 cereali - Le Gallotte - 120g,8001420008470,"['Bio', 'en:gluten-free']",['France'],"['riz complet 59,796', 'maïs 3596', 'sarrasin 596', 'sel de cuisine 0,3g', ' Produit dans un établissement qui utili se sésame et ses dériva                          ZUTATEN:V011k0rnreis 59,7%', 'Mais 59%', 'Il Produziert in einem Werk', 'in dem Sesam sowie daraus hergestellte                Produkte verarbeitet werden', '                     DA CONSERVARSI IN LUOGO FRESCO E ASCIUTTO IN A DRY PLACE UN LIEU FRAIS ET SEC KOHL AUFBEWAHREN indiquée sur le Produit ? Mindestens haltbar bis: RiSOG I Stgb? di Borgo Vercelli Qee', ' D :']",,[],?,383,1602 kj(383 kcal),"2,4","0,5","80,6","0,7","7,9","0,3","0,12",,,120 g,,['Le Gallotte'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Riz arborio pour risotto - Gallo,8001420008494,"['Bio', 'Bio européen']",['France'],"['Il gusto naturale e genuino di un buon piatto', ""il piacere di un'alimentazione sana ed - a linea Riso Gallo Bio è tutto questo: prodotti gustosi e genuini"", ""coltivati con i metodi fell'agricoltura biologica che prevedono l'utilizzo esclusivo di sostanze di origine naturale er la coltivazione e 10 stoccaggio"", ' Una bontà garantita da un ente di certificazione conosciuto', 'con continui controlli e verifiche eseguiti sui sistemi di e bioagrice/t oduzione e sul prodotto finito', ' ""utta la bontà di una del/e varietà più apprezzate per la preparazione di risotti', 'con in più la genuinità che solo la coltura biologica può garantire', ' // riso Bio Arborio è caratterizzato da chicchi di grandi dimensioni', 'perlati e corposi', ""con un'ideale quantità di amido che conferisce una eccezionale mantecatura ai risotti"", ' ', 'gni chicco assorbe i sapori', 'legandosi perfettamente con i diversi ingredienti per un risultato semplicemente straordinario', ' VALORI NUTRIZIONALI MEDI Perl 00 g di prodotto Per porzione ', '80 g']",,[],?,348,1456 kj(348 kcal),"0,7","0,2","78,3","0,2","6,8",0,0,,,,,['Gallo'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
