,name,bar_code,labels,sales_countries,ingredients_list,allergens,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,generic_name,quantity,packaging,brand,categories,ingredients_origins,additives,nova_score,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,markets,manufacturing,link,traceability_code,palm_ingredients,brand_owner
529,Sirea Racine De Réglisse Oronero 6 g,8002753100404,,['France'],"['Slrea•r', ' G,Gallle ', '42027 Montecchto ', 'RE', ' Itaua www', 'slrea', 'co e-m 11: slrea@s e It 8 002753 100404 /81', '12', '25', ' INSUMARSt ENTRO: BEST BEFORE:ACONSOMMER DE PREFERENCEAV LE ST HOLDBAR Tu', ': CONSUMIR PREFEKENTEMENTE ANTES OEL: TENMINSTE ICE Dl LIQUIRIZIA nslone', ' DE REGLISSE Indeh&r af majet hi dob0dan0Ërun DE REGALIZ zoETHOUlWORTEL']",,[],?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,,,,['Oronero'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
530,Oronero,8002753703582,,['France'],[],,[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
531,Parmigiano Reggiano DOP - Parmissimo - 150g,8002760980488,"['AOP', ""22 mois d'affinage""]",['France'],"['Lait', 'sel', 'présure']",['Lait'],"['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",?,392,1640 kj(392 kcal),28,17,0,0,33,"1,6","0,64",C,Parmesan 22 mois d'affinage - Parmigiano Reggiano AOP,150 g,"['Plastique', 'Frais']",['Parmissimo'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Parmigiano Reggiano']",['Italie'],,3,,-2%,-6%,-100%,+2%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,28 g,en quantité élevée,17 g,en quantité élevée,0 g,en faible quantité,1.6 g,en quantité élevée,-2%,-14%,,0%,0%,16,-4%,D,-4%,['Franprix'],['Italie'],http://www.parmissimo.it/prodotto-Parmissimo-Parmigiano-Reggiano-Regular-PDO-529oz-68.html#begin,['IT 0876 CE'],,
532,Cotechino Precotto - Maletti,8002772000204,['en:gluten-free'],['France'],"['carne suina 57%', 'cotica suina', 'grasso suino', 'sale', 'spezie', 'antiossidante ', 'ascorbato di sodio', ',conservante ', 'nitrito di sodio', ' Budello non commestibile']",,"['Non végétalien', 'Non végétarien']",?,309,1293 kj(309 kcal),25,10,0,0,21,"2,5",1,,,,,['Maletti'],,,"['E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
533,Quinoa lessata al naturale - Montello,8002785008402,,['France'],[],,[],?,42,176 kj(42 kcal),"0,3",0,"6,8","0,2","1,7","1,3","0,52",C,,,,['Montello'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Quinoa']",,,,,-87%,-94%,-88%,-86%,80.5%,0.0%,5.8%,10.4%,3.3%,0.0%,70,0.3 g,en faible quantité,0 g,en faible quantité,0.2 g,en faible quantité,1.3 g,en quantité modérée,-87%,-100%,-92%,+698%,+698%,4,,C,,,,,,,
534,Agnelli - Nocciole italiane - 175g,8002794050003,,['France'],['Nocciole sgusciate tostate'],,[],?,673,2816 kj(673 kcal),"64,1","4,16","6,1","4,1","13,8","0,028","0,011",,,175 g,,['Agnelli'],,['Italie'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
535,Mascarpone,8002795448243,,['France'],[],,[],?,355,1485 kj(355 kcal),"35,5","24,9",3,3,"5,8","0,07","0,028",D,,,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Fromages à la crème', 'Mascarpone']",,,,,-7%,-9%,-4%,+17%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,35.5 g,en quantité élevée,24.9 g,en quantité élevée,3 g,en faible quantité,0.07 g,en faible quantité,-7%,-8%,-1%,-25%,-25%,11,-8%,D,-8%,,,,,,
536,Ice Roobos Peach - Bos - 1l,8002810030149,"['Bio', 'Végétarien']",['France'],"['Eau', 'sucre de canne*', 'régulateur d’acidité : acide citrique', 'extrait de rooibos* ', '0', '11%', ' arôme naturel de pêche', '\r*Ingrédients organiques / Ingrédients Bio']",,['Végétarien'],?,20,84 kj(20 kcal),0,0,5,"4,9",0,0,0,,,1 l,"['Brique', 'Carton']",['Bos'],"['Boissons', 'Boissons avec sucre ajouté']",['Afrique du Sud'],['E330 - Acide citrique'],4,,-76%,-100%,-75%,-100%,,,,,,,,0 g,en faible quantité,0 g,en faible quantité,4.9 g,en quantité modérée,0 g,en faible quantité,-77%,-100%,-73%,-100%,-100%,7,-41%,D,-41%,"['CARREFOUR', 'FRANPRIX', 'AMAZON']",,,,,
537,Corn Flakes,8002816800258,,['France'],[],,[],?,371,1552 kj(371 kcal),1,"0,3",81,6,8,"1,5","0,6",C,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Flocons', 'Flocons de céréales', 'Céréales extrudées', 'Flocons extrudés', 'Corn-flakes']",,,,,-2%,-8%,-2%,+11%,74.0%,13.1%,5.1%,5.5%,2.3%,0.0%,60,1 g,en faible quantité,0.3 g,en faible quantité,6 g,en quantité modérée,1.5 g,en quantité modérée,-2%,+5%,-44%,+24%,+24%,11,+47%,D,+47%,,,,,,
538,Multicereale al miele,8002816805338,"['Bio', 'Bio européen', 'IT-BIO-009']",['France'],[],,[],?,398,1665 kj(398 kcal),"4,9","0,3","79,3","41,5","7,1","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
