,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,brand,traceability_code,quantity,markets,packaging,additives,allergens,nova_score,brand_owner,generic_name,manufacturing,ingredients_origins,link
26,Mayonnaise - Grand Jury - 175g,3245390062987,['France'],"['Huile de tourmesol ', '77%', ""jaune ď'oeuf"", 'vinaigre de vin blanc', 'moutarde', 'sel', 'sucre', 'vinaigre', 'jus de citron', 'amidon modifié de maïs', 'colorant : bêta-carotène']","[""Pourrait contenir de l'huile de palme""]",?,720,3012 kj(720 kcal),78,1,"1,1",1,1,5,2,D,"['Epicerie', 'Sauces', 'Mayonnaises']",78 g,en quantité élevée,1 g,en faible quantité,1 g,en faible quantité,5 g,en quantité élevée,,+17%,+18%,+18%,-84%,-59%,-32%,-19%,+276%,+276%,18,+1%,D,+1%,80.2%,9.6%,5.0%,3.2%,1.6%,0.4%,49,,['Grand Jury'],,175 g,['Carrefour'],,"['E14XX - Amidons modifiés', 'E160ai - Bêta-carotène']",['Moutarde'],4,,,,,
27,French Butter Cookies With Lemon & Almond,0080353991477,['France'],[],[],?,500,2092 kj(500 kcal),"23,684","13,158","68,421","34,211","5,263","0,329","0,132",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Cou de canard,13041843,['France'],[],[],?,396,1657 kj(396 kcal),37,13,"3,6","3,1",12,"1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Véritable andouille de Guémené,2292710038185,['France'],[],[],?,253,1059 kj(253 kcal),21,"9,9","0,5","0,5","15,5","2,33","0,932",E,"['Viandes', 'Charcuteries', 'Andouilles', 'Andouilles de Guémené']",21 g,en quantité élevée,9.9 g,en quantité élevée,0.5 g,en faible quantité,2.33 g,en quantité élevée,,+1%,+2%,+4%,-2%,+33%,+78%,-5%,-3%,-3%,22,+2%,E,+2%,81.2%,13.0%,3.0%,0.8%,0.4%,1.6%,11,['Sans colorants'],,"['FR 56.010.004 CE', 'Baud (Morbihan, France)']",,,,,,,,,,,
30,Saucisson de l'Ardèche Artisanal,5403526033982,['France'],[],[],?,400,1674 kj(400 kcal),"32,5","13,3","2,6","1,5",25,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Viande Française', 'Viande Porcine Française', 'Sans colorants']",,,,,,,,,,,,,
31,Gratons de canard,3435030000107,['France'],[],[],?,529,2213 kj(529 kcal),42,15,"4,1","0,1",34,"1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Top energy,3760265840014,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Clémentine clemenules,8414870014005,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Quenelle de potage,2606729020206,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Vin,3700898213366,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Banane,0209239003879,['France'],[],[],?,?,,?,,?,,?,,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Fruits tropicaux', 'Bananes']",,,,,,,,,,,,,,,,,,,,,,,63.7%,0.0%,0.0%,23.1%,9.9%,3.2%,95,,,,,,,,,,,,,,
37,Pâtes artisanale - 240g,3760243322631,['France'],[],[],?,358,1498 kj(358 kcal),"1,1","0,2",72,"0,5",13,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240 g,,,,,,,,,,
38,Pois chiches façon bistro,3770013175503,['France'],[],[],?,253,1059 kj(253 kcal),"19,3","2,9","8,6",1,7,"0,9","0,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Salchichón Pavé au poivre - 50g,8423759060033,['France'],[],[],?,267,1117 kj(267 kcal),"20,1","7,2","2,9","1,7",23,"4,3","1,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['en:gluten-free'],,,50 g,,,,,,,,,,
