,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,brand,traceability_code,quantity,markets,packaging,additives,allergens,nova_score,brand_owner,generic_name,manufacturing,ingredients_origins,link
308,Barres Chocolat Cacahuète,3701151300045,['France'],[],[],?,382,1598 kj(382 kcal),"12,6","4,1","41,6","20,4",24,"1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,Vitamin D3,5902860654988,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,"Sel aromatisé (fenouil, romarin)",3183280007017,['France'],[],[],?,?,,?,,?,,?,0,0,B,"['Epicerie', 'Condiments', 'Sels']",,,,,,,0 g,en faible quantité,,,,,,,,,-100%,-100%,,,,,50.9%,0.0%,27.5%,11.1%,10.5%,0.0%,98,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,,
311,beure aromatisé piment d'espelette - Le gaslonde - 100g,3332621012399,['France'],[],[],?,?,,?,,?,,?,0,0,E,"['Produits laitiers', 'Matières grasses', 'Produits à tartiner', 'Matières grasses à tartiner', 'Matières grasses animales', 'Matière grasse laitière', 'Produits laitiers à tartiner', 'Beurres', 'Beurres de baratte']",,,,,,,0 g,en faible quantité,,,,,,,,,-100%,-100%,,,,,91.6%,4.9%,1.3%,1.2%,0.8%,0.2%,27,,['Le gaslonde'],,100g,,['Frais'],,,,,Beurre aromatisé,,,
312,Super Porridge de Superfood,0701197959989,['France'],[],[],?,370,1548 kj(370 kcal),"7,6","0,9","60,4","22,1","10,7","0,06","0,024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313,Sorbet Framboise,3760029969104,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,Épices pour pizza ou pâtes,3760116740890,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Flacon'],,,,,,,,
315,Émincé de poulet sauce blanche et semoule - 300g,20251857,['France'],[],[],?,160,669 kj(160 kcal),"6,3","2,3",19,"3,8","6,3","1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300 g,,,,,,,,,,
316,Champignons émincés,2868019009319,['France'],[],[],?,256,1071 kj(256 kcal),"0,9","0,32","1,2","0,2","2,4","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Sans conservateurs'],,,,,,,,,,,,,
317,Bonhomme De Neige Au Lait Bio 60G - Moulin des moines,3347430015967,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],['Moulin des moines'],,,,,,,,,,,,
318,Puntine,8013034001099,['France'],[],[],?,353,1477 kj(353 kcal),"0,8","0,2","73,3","3,3","11,6","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,Mango pickle,1230026119502,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,Comté AOP,2480253033983,['France'],[],[],?,417,1745 kj(417 kcal),34,20,"0,5","0,5",28,"0,8","0,32",D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté']",34 g,en quantité élevée,20 g,en quantité élevée,0.5 g,en faible quantité,0.8 g,en quantité modérée,,-0%,-0%,-2%,-12%,+8%,+87%,+4%,-5%,-5%,13,0%,D,0%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,,,
321,Couronne pepites chocolat,0208532032142,['France'],[],[],?,328,1372 kj(328 kcal),11,"6,5",48,18,"8,2","0,95","0,38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,Mahoé - Weiss,3595181920577,['France'],[],[],?,0,0 kj(0 kcal),"39,5","23,6","43,8","42,8","8,9","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['en:gluten-free'],['Weiss'],,,,,,,,,,,,
323,Pure L-citruline - 220g,3770010399100,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220 g,,,,,,,,,,
324,Mix choco biscuit fun cakes,8718531935488,['France'],[],[],?,378,1582 kj(378 kcal),"2,9","2,5","82,7","46,7","4,5",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,Poulet fermier - Les fermiers de Loué,0217004086651,['France'],[],[],?,?,,?,,?,,?,,,D,"['Viandes', 'Volailles', 'Poulets']",,,,,,,,,,,,,,,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,['Les fermiers de Loué'],,,,,,,,,,,,
326,Hot & Sweet Sauce - 300g,8961005060357,['France'],[],[],?,152,636 kj(152 kcal),"1,19",0,34,0,"1,25","2,65","1,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300 g,,,,,,,,,,
327,Dasida poudre d’anchois pour soupe,8801007297521,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328,Samouraï,3760105899837,['France'],[],[],?,719,3008 kj(719 kcal),79,6,"0,7","0,1","1,2","2,1","0,84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,Cranberries sèches entières,2600327020408,['France'],[],[],?,314,1314 kj(314 kcal),"0,5","0,1",82,71,"0,5","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,Bonbons - 400g,3760115260764,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-01']",,,400 g,,,,,,,,,,
331,Cedrón,7861005620128,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,Orange curd - Fortnum & Mason,5053826480636,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Fortnum & Mason'],,,,,,,,,,,,
333,Famille montescaud,3499740000321,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334,Kornli coupé,5450005087493,['France'],[],[],?,274,1146 kj(274 kcal),"4,7","0,6","45,5","1,2","9,5","1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335,Comté - 20 mois d'affinage. - Juraflore,2481234039369,['France'],[],[],?,418,1749 kj(418 kcal),35,23,0,0,27,"0,9","0,36",D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté']",35 g,en quantité élevée,23 g,en quantité élevée,0 g,en faible quantité,0.9 g,en quantité modérée,,-0%,-0%,+1%,+1%,-100%,-100%,+0%,+7%,+7%,13,0%,D,0%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,['Juraflore'],,,,,,,,,,,,
336,Miel,3770002751121,['France'],[],[],?,?,,?,,?,,?,,,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels']",,,,,,,,,,,,,,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,,,
337,Scottish cream Shortbread,5010745055291,['France'],[],[],?,503,2105 kj(503 kcal),"24,8","3,3","62,6","18,4","6,4","0,64","0,256",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
338,Chocolat Hema,8718537528745,['France'],[],[],?,549,2297 kj(549 kcal),"32,4","19,5","55,6","54,6","6,2","0,17","0,068",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339,Cioccolato,8052870940827,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Fabriqué en Italie'],,,,,,,,,,,,,
340,Biscuits comte ortie,3770015186095,['France'],[],[],?,?,,?,,?,,?,0,0,C,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au Comté']",,,,,,,0 g,en faible quantité,,,,,,,,,-100%,-100%,,,,,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,,,,,,,,,,,,,
341,Skinny morning,0817908020029,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342,Bouchée de datte avec fruit sec,6191480300170,['France'],[],[],?,344,1439 kj(344 kcal),"15,2","4,3","44,4","35,5","1,4",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
343,Jus d'orange - Auchan,05678778,['France'],[],[],?,44,184 kj(44 kcal),"0,8","0,1","8,1","8,1","0,8","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Sans sucre ajouté'],['Auchan'],"['EMB 26174', 'Margès (Drôme, France)']",,['Auchan'],,,,,,,,,
344,Pin douglas - Aroma Zone,01118,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Aroma Zone'],,,,,,,,,,,,
345,Countrywild rice,0073416090156,['France'],[],"['Végétalien', 'Végétarien']",?,150,628 kj(150 kcal),"1,5","0,4",35,0,3,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Végétarien', 'Végétalien']",,,,,,,,,,,,,
346,Beignets pomme,2011000020149,['France'],[],[],?,310,1297 kj(310 kcal),"9,7","1,5",49,20,"6,7","0,73","0,292",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347,Pralinette - 20g,3760070240269,['France'],[],[],?,392,1640 kj(392 kcal),1,0,?,91,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20 g,,,,,,,,,,
348,Tisane variées - Twinings,0070177194062,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Twinings'],,,,,,,,,,,,
349,Seagood chocolat 71%,3770008708259,['France'],[],[],?,555,2322 kj(555 kcal),59,25,28,24,"10,7","0,1","0,04",E,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs']",59 g,en quantité élevée,25 g,en quantité élevée,24 g,en quantité élevée,0.1 g,en faible quantité,,-0%,+0%,+50%,+8%,-27%,-24%,+40%,+114%,+114%,21,-1%,E,-1%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,,,,,,,,,,,,,,
350,12 FRENCH SHIMMERED MACARONS - Morrisons - 120g,5010251747345,['France'],[],[],?,450,1883 kj(450 kcal),"20,7","6,2",55,"53,4","9,2","0,15","0,06",D,"['Desserts', 'Biscuits et gâteaux', 'Pâtisseries', 'Macarons']",20.7 g,en quantité élevée,6.2 g,en quantité élevée,53.4 g,en quantité élevée,0.15 g,en faible quantité,,+6%,+6%,+16%,+37%,-1%,+6%,+7%,+5%,+5%,21,+19%,E,+19%,88.9%,5.7%,2.0%,2.2%,1.2%,0.0%,37,,['Morrisons'],,120 g,,,,,,,,,,
351,Peanut & honey spread,0045300005386,"['France', 'États-Unis']","['Roasted Peanuts', 'Sugar', 'Organic Honey', 'Palm Oil', 'Molasses', 'Salt', 'CONTAINS: PEANUTS']","['Huile de palme', 'Non végétalien', 'Végétarien']",?,629,2632 kj(629 kcal),"48,57",10,"28,57","22,86","22,86",1,"0,4",,"['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés']",48.6 g,en quantité élevée,10 g,en quantité élevée,22.9 g,en quantité élevée,1 g,en quantité modérée,,+125%,+127%,+1022%,+862%,-49%,-56%,+1729%,+1924%,+1924%,20,+74%,E,+74%,,,,,,,,,,,,,,,['Arachides'],3,Conagra Brands,,,,
352,Amandes Nonpareil suprême crues,3700056707638,['France'],[],[],?,634,2653 kj(634 kcal),"53,4","4,19","18,05","4,4","25,4",4,"1,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
353,Seedai,8907003505018,['France'],[],[],?,600,2510 kj(600 kcal),45,15,0,0,7,6,"2,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354,Huile de coco - Le Bio De Manon,3760240723448,['France'],[],[],?,899,3761 kj(899 kcal),99,"94,7",0,0,0,0,0,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', 'Huiles', 'Huiles de fruits et graines de fruits', 'Huiles de coco']",99 g,en quantité élevée,94.7 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,,+5%,+5%,+2%,+12%,-100%,-100%,-100%,-100%,-100%,20,+3%,E,+3%,,,,,,,,['Bio'],['Le Bio De Manon'],,,,,,,,,,,,
355,Mousse au foie de canard,3293540421047,['France'],[],[],?,417,1745 kj(417 kcal),"40,2","16,4","6,2","3,3","7,6","1,27","0,508",D,"['Viandes', 'Produits à tartiner', 'Charcuteries', 'Produits à tartiner salés', 'Mousses salées', 'Mousses de canard', 'Mousses de foies']",40.2 g,en quantité élevée,16.4 g,en quantité élevée,3.3 g,en faible quantité,1.27 g,en quantité modérée,,+4%,+4%,+4%,+16%,+95%,+71%,-18%,-14%,-14%,20,-2%,E,-2%,78.1%,15.2%,3.0%,2.3%,1.1%,0.3%,36,,,,,,,,,,,,,,
356,Pastis Anaïs -,3328640121389,['France'],[],[],?,?,,?,,?,,?,,,C,"['Boissons', 'Boissons alcoolisées', 'Pastis']",,,,,,,,,,,,,,,,,,,,,,,0.0%,41.3%,42.0%,11.2%,3.6%,2.0%,57,,,,,,,,,,,,,,
357,Figue - 150g,3270799014039,['France'],[],[],?,291,1218 kj(291 kcal),"1,5","0,3",60,49,"3,3","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Sans sucre ajouté'],,,150 g,,,,,,,,,,
358,Escalope panée à griller - Despi,864102500004,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Despi'],,,,,,,,,,,,
359,Protein muffins,5600499519677,['France'],[],[],?,299,1251 kj(299 kcal),14,"2,8",37,"3,9",12,"0,9","0,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360,Lomo de cebo de campo ibérico raza ibérica peso aproximado,8437003445057,['France'],[],[],?,330,1381 kj(330 kcal),"21,1",8,1,1,1,"2,4","0,96",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361,Protéine végétal super physique - 2kg,3665144000117,['France'],[],"['Végétalien', 'Végétarien']",?,408,1707 kj(408 kcal),"9,2",3,"6,7",1,"66,7","1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Végétarien', 'Végétalien']",,,2 kg,,,,,,,,,,
362,Auverade,3249290446434,['France'],[],[],?,16,67 kj(16 kcal),0,0,"3,9","3,8",0,"0,26","0,104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Fabriqué en France'],,,,,,,,,,,,,
363,Poiré fermier de Normandie - Domaine Olivier,3760208720069,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,0,0,,"['Boissons', 'Boissons alcoolisées']",,,,,,,,,,-100%,-100%,,,,,,-100%,-100%,,,,,,,,,,,,,['Domaine Olivier'],,,,,,,,,,,,
364,Disney cuisine - Daco Bello,3270720015364,['France'],"['raisins noirs ', 'raisins secs', 'huile de tournesol', ' raisins blonds ', 'raisins secs', 'huile de tournesol', 'conservateur: anhydride sulfureux']",[],1333,315,1333 kj(315 kcal),"1,2",0,71,34,"2,8","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Daco Bello'],,,,,"['E220 - Anhydride sulfureux', '', 'Risque élevé de sur-exposition']",,,,,,,
365,Delacre tea time Astérix,3116430206589,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['en:Asterix licensed products', 'en:Licensed products']",['Delacre'],,,,,,,,,,,,
366,Taboule verde,2217175022968,['France'],[],[],?,102.48,429 kj(102 kcal),"6,26","0,75","8,53","1,97","1,93","0,6","0,24",B,"['Plats préparés', 'Taboulés']",6.26 g,en quantité modérée,0.75 g,en faible quantité,1.97 g,en faible quantité,0.6 g,en quantité modérée,,-39%,-39%,-3%,+5%,-60%,-40%,-56%,-36%,-36%,2,-26%,B,-26%,63.1%,7.6%,11.4%,10.7%,5.7%,1.6%,94,,,,,,,,,,,,,,
367,Chocolat,3770013837234,['France'],[],[],?,566,2368 kj(566 kcal),42,25,34,30,"8,1","0,72","0,288",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368,Coffret fruits rouges thé en sticks,3700873222321,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
369,Miel de GUARRIGUE du LANGUEDOC,3701162072764,['France'],[],[],?,?,,?,,?,,?,0,0,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels']",,,,,,,0 g,en faible quantité,,,,,,,,,-100%,-100%,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,,,
370,Biberli yeşil zeytin,8690800030134,['France'],[],[],?,125,523 kj(125 kcal),15,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371,Foodtown Macaroni & Cheese Dinner,0011153226100,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372,Abricots secs,2600110033653,['France'],[],[],?,?,,?,,?,,?,0,0,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Abricots secs']",,,,,,,0 g,en faible quantité,,,,,,,,,-100%,-100%,,,,,45.6%,45.5%,2.7%,4.3%,1.9%,0.0%,38,,,,,,,,,,,,,,
373,Pepites chocolat 500g - 500g,3760130790406,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500 g,,,,,,,,,,
374,Thé noir parfumé quatre fruits rouges,3259920066222,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375,Arachides Blanches,8429417102244,['France'],[],[],?,563,2356 kj(563 kcal),46,"8,7","7,9","4,5",25,"0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
376,Croustines aux 3 graines bio - 200g,44756185,['France'],[],[],?,455,1904 kj(455 kcal),"17,5","2,8","52,4","1,1","15,9","1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'Agriculture UE/Non UE']",,,200 g,,,,,,,,,,
377,Miel de chataignier,3770011830039,['France'],[],[],?,?,,?,,?,,?,,,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de châtaignier']",,,,,,,,,,,,,,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,,,
378,Pantalon espagnole,2401715603247,['France'],[],[],?,363,1519 kj(363 kcal),"0,5",0,88,74,"2,6","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
379,Préparation de miel et de gelée royale,3263628883463,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380,Veritables rillettes du mans,3296680010522,['France'],[],[],?,345,1443 kj(345 kcal),31,12,0,0,16,"1,2","0,48",D,"['Viandes', 'Produits à tartiner', 'Charcuteries', 'Produits à tartiner salés', 'Rillettes', 'Rillettes de viande', 'Rillettes françaises', 'Rillettes de viande rouge', 'Rillettes de la Sarthe', 'Rillettes de porc', 'Rillettes du Mans']",31 g,en quantité élevée,12 g,en quantité élevée,0 g,en faible quantité,1.2 g,en quantité modérée,,-14%,-14%,-17%,-16%,-100%,-100%,+1%,-4%,-4%,19,-3%,E,-3%,74.1%,17.7%,4.6%,2.1%,1.2%,0.3%,39,,,,,,,,,,,,,,
381,Double concentré de tomate - Cora - 140g,3257985601396,['France'],[],[],?,?,,?,,?,,?,,,A,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Tomates et dérivés', 'Concentrés de tomates']",,,,,,,,,,,,,,,,,,,,,,,23.6%,38.4%,18.3%,11.0%,8.7%,0.0%,96,,['Cora'],,140 g,,['Conserve'],,,,,,,,
382,Che bon - 80g,8052742252027,['France'],[],"['Végétalien', 'Végétarien']",?,425,1778 kj(425 kcal),"12,1","1,9","66,7","1,4","10,3",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'Végétarien', 'en:gluten-free', 'Végétalien', 'IT-BIO-005']",,,80 g,,,,,,,,,,
383,Hydro iso whey isobolic - 2kg,2701029545050,['France'],[],[],?,378,1582 kj(378 kcal),1,"0,001",2,"0,046",92,"0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 kg,,,,,,,,,,
384,Mariage Freres Paris Breakfast - 75g,3700286529635,['France'],[],[],?,?,,?,,?,,?,,,B,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés']",,,,,,,,,,,,,,,,,,,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,['Mariage Freres'],,75 g,,,,,,,,,,
385,Lentilles cuisinéee,3983680004759,['France'],[],[],?,97,406 kj(97 kcal),"0,7","0,2","13,7","0,4","6,4","0,89","0,356",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
386,Mini-saucisses précuites fumées cuites,2273342033915,['France'],[],[],?,236,987 kj(236 kcal),18,"7,2","0,5","0,5",18,"1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Sans colorants'],,"['FR 28.027.005 CE', 'Bazoche-Gouet (Eure-et-Loir, France)']",,,,,,,,,,,
387,Charcuterie Florette,3437135001096,['France'],[],[],?,376,1573 kj(376 kcal),"34,6","12,4",0,0,"14,1","2,08","0,832",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 07.338.002 CE', 'Vernoux-en-Vivarais (Ardèche, France)']",,,,,,,,,,,
388,Linguine,8051764324118,['France'],[],[],?,358,1498 kj(358 kcal),"1,3","0,25",71,"3,4","13,5",2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
389,Sampalok,4809011948174,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
390,Sushi vinegar,3770012065706,['France'],[],[],?,227,950 kj(227 kcal),2,"1,3",50,50,0,"4,5","1,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
391,Andouille de guéméné,0211197034048,['France'],[],[],?,252,1054 kj(252 kcal),"20,6",10,"1,1","0,5","15,4","2,7","1,08",E,"['Viandes', 'Charcuteries', 'Andouilles', 'Andouilles de Guémené']",20.6 g,en quantité élevée,10 g,en quantité élevée,0.5 g,en faible quantité,2.7 g,en quantité élevée,,+1%,+1%,+2%,-1%,+193%,+78%,-6%,+13%,+13%,22,+2%,E,+2%,81.2%,13.0%,3.0%,0.8%,0.4%,1.6%,11,,,,,,,,,,,,,,
392,Quesada pasiega,8436019980088,['France'],[],[],?,209,874 kj(209 kcal),"9,5",6,25,17,"5,4","0,4","0,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Sans conservateurs'],,,,,,,,,,,,,
393,Clementine,3701272602004,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'ES-ECO-001-AN']",,"['EMB 66136', 'Perpignan (Pyrénées-Orientales, France)']",,,,,,,,,,,
394,Nice biscuits - McVitie's,5000168211671,['France'],[],[],?,503,2105 kj(503 kcal),"23,6","13,4",65,26,"5,8","0,31","0,124",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""McVitie's""]",,,,,,,,,,,,
395,Raw organic dark chocolate,8594188400346,['France'],[],[],?,608,2544 kj(608 kcal),"54,2","32,1",12,"11,2","9,3","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'CZ-BIO-001', 'Agriculture UE/Non UE']",,,,,,,,,,,,,
396,Saucisson sec,2435866060413,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,Capres au vinaigre,8480017520777,['France'],[],[],?,29,121 kj(29 kcal),"0,9",0,2,"0,6","2,4",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398,Escalopes de dinde,0209278018896,['France'],[],[],?,?,,?,,?,,?,0,0,D,"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",,,,,,,0 g,en faible quantité,,,,,,,,,-100%,-100%,,,,,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,,"['FR 26.088.011 CE', 'Chatuzange-le-Goubet (Drôme, France)']",,,,,,,,,,,
399,Fenouil quinoa et estragon,3770012510077,['France'],[],[],?,30,126 kj(30 kcal),"0,56","0,12",3,"2,55","1,41","1,02","0,408",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Sans additifs'],,,,,,,,,,,,,
