,name,bar_code,labels,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,quantity,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,markets,traceability_code,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,packaging,allergens,nova_score,additives,generic_name,manufacturing,ingredients_origins,link,palm_ingredients,brand_owner
1841,Heart high in potassium,29039968,,['France'],[],[],?,78,326 kj(78 kcal),"1,6","0,4",15,"13,1","0,7","0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1842,Yaourt - Danone,3330261030100,,['France'],[],[],?,98,410 kj(98 kcal),"2,1","1,3",15,15,"3,8","0,12","0,048",,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts']",2.1 g,en faible quantité,1.3 g,en faible quantité,15 g,en quantité élevée,0.12 g,en faible quantité,,+7%,+7%,-36%,-37%,+36%,+49%,+1%,+4%,+4%,,,,,,,,['Danone'],,,3,-2%,C,-2%,,,,,,,,,,
1843,Banane bio/ origine Ghana,2250106001687,"['Bio', 'Bio européen', 'Commerce équitable', 'AB Agriculture Biologique', 'Max Havelaar']",['France'],[],[],?,?,,?,,?,,?,,,B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Fruits tropicaux', 'Bananes']",,,,,,,,,,,,,,,,,,,63.7%,0.0%,0.0%,23.1%,9.9%,3.2%,95,,,,,,,,,,,,,,,,,
1844,Pancake,3562562888887,,['France'],[],[],?,282,1180 kj(282 kcal),11,2,39,12,6,"1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1845,Confiture Figue de Provence 65% - Auchan,3596710475896,"['Produit en braille', 'Nutriscore']",['France'],[],[],?,201,841 kj(201 kcal),0,0,48,47,"0,9","0,03","0,012",C,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de figues']",0 g,en faible quantité,0 g,en faible quantité,47 g,en quantité élevée,0.03 g,en faible quantité,,-13%,-13%,-100%,-100%,-13%,-11%,+22%,+61%,+61%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,['Auchan'],['Auchan'],,10,+6%,C,+6%,"['Bocal', 'Verre']",,,,,,,,,
1846,Palazzo Espresso Intenso,8710435137463,,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1847,Noisettes grillées en poudre,8435177052415,,['France'],[],[],?,?,,?,,?,,?,0,0,D,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Noisettes', 'Noisettes en poudre']",,,,,,,0 g,en faible quantité,,,,,,,,,-100%,-100%,92.4%,1.7%,0.0%,3.6%,2.2%,0.0%,45,,,,,,,,,,,,,,,,,
1848,Confiture  extra fraise - Lidl - 450g,13000653,,['France'],[],[],?,?,,?,,?,,?,,,D,450 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de fraises']",,,,,,,,,,,,,,,,,,,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,['Lidl'],,,,,,,,,,,,,,,,
1849,Olives 'Bio' farcies au poivron nautrel - La Petite - 320g,3664959010021,"['Bio', 'Bio européen', 'Agriculture UE', 'FR-BIO-10']",['France'],"['Olives vertes Halkidiki farcies au poivron naturel ', 'dont poivron 12%', 'eau', 'sel', 'acidifiants : acide citrique ', 'E330', 'acide lactique ', 'E270']",[],497,119,497 kj(119 kcal),"11,7","1,6","1,8","< 0,1","1,6","3,5","1,4",A,320 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Pickles', ""Produits de l'olivier"", ""Pickles d'origine végétale"", 'Olives', 'Olives vertes', 'Olives farcies', 'Olives vertes farcies', 'Olives vertes farcies au poivron']",11.7 g,en quantité modérée,1.6 g,en quantité modérée,0.1 g,en faible quantité,3.5 g,en quantité élevée,-19%,-16%,-17%,-16%,-30%,-5%,-60%,+45%,+1%,+1%,33.7%,0.2%,40.3%,17.4%,6.7%,1.8%,95,"['La Petite', 'La Petite Étagère']",,,12,+7%,D,+7%,['bocal en verre'],,3,"['E330 - Acide citrique', 'E270 - Acide lactique']",Olives farcies au poivron,,,,,
1850,Energy Bar Berry Yoghurt - 55g,96181720,,['France'],[],[],?,392,1640 kj(392 kcal),"9,1","4,9",71,35,"4,8","0,18","0,072",,55 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1851,"Stabilo Surligneur 'Boss Original', Lavande",4006381118743,,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1852,Baba au Rhum - Milbona - 2x 150g,4056489109716,,['France'],[],[],?,173,724 kj(173 kcal),"2,5","1,4","35,1","26,6","2,2","0,23","0,092",B,2 x 150 g,"['Biscuits et gâteaux', 'Pâtisseries', 'Babas au rhum']",2.5 g,en faible quantité,1.4 g,en faible quantité,26.6 g,en quantité élevée,0.23 g,en faible quantité,,-20%,-20%,-38%,-35%,-8%,-6%,+9%,+5%,+5%,32.1%,36.9%,15.2%,7.8%,8.1%,0.0%,96,['Milbona'],,,8,-19%,C,-19%,,,,,,,,,,
1853,Brut de cookie,3770010634447,['Fabriqué en France'],['France'],[],[],?,299,1251 kj(299 kcal),0,0,"74,7","74,7",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1854,bourbon,5010282013761,,['France'],[],[],?,499,2088 kj(499 kcal),23,12,67,31,"5,4","0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1855,"Découpe de canard du Sud Ouest - Terroir de caractère - 0,220kg",3356650007010,,['France'],[],[],?,?,,?,,?,,?,,,,"0,220 kg",,,,,,,,,,,,,,,,,,,,,,,,,,,['Terroir de caractère'],,"['FR 40.194.002 CE', 'Montfort-en-Chalosse (Landes, France)']",,,,,,,,,,,,,,
1856,Le maté d'Emma Bio,3760076280771,['Bio'],['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,Paladin - 250ml,5601517390889,,['France'],[],[],?,?,,?,,?,,?,,,B,250 ml,"['Epicerie', 'Sauces', 'Sauces aigre-douces']",,,,,,,,,,,,,,,,,,,42.4%,22.5%,16.3%,10.1%,5.1%,3.6%,92,['Paladin'],,,,,,,,,,,,,,,,
1858,Dijon Originale - Maille,8711200448968,,['France'],[],[],?,150,628 kj(150 kcal),11,"0,6","3,5",2,7,"5,7","2,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Maille'],,,,,,,,,,,,,,,,
1859,Little big bro,3770007109262,,['France'],[],[],?,487,2038 kj(487 kcal),"32,5",4,"31,3","1,6","14,6","0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1860,Porto blanc,3250390478287,,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1861,Dogadan,8699580000290,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1862,Raclette -,3176582046952,,['France'],[],[],?,328,1372 kj(328 kcal),26,18,"0,5","0,1",23,"1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1863,Galette pomme caramel éclat de nougatine - Auchan,2030502393063,,['France'],[],[],?,326,1364 kj(326 kcal),"18,7","10,8",34,"13,3","4,4","0,56","0,224",,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Auchan'],['Auchan'],,,,,,,,,,,,,,,
1864,Bouché à la reine,3257983295085,,['France'],[],[],?,241,1008 kj(241 kcal),15,"9,5",19,"1,9","6,9","1,01","0,404",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 22389B', ""Yffiniac (Côtes-d'Armor, France)""]",,,,,,,,,,,,,,
1865,Bifteck - Charal,0292471021916,"['Viande Française', 'Viande-bovine-francaise']",['France'],[],[],?,113,473 kj(113 kcal),"2,3","0,8",0,0,23,"0,17","0,068",,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Charal'],,"['FR 49.099.002 CE', 'Cholet (Maine-et-Loire, France)']",,,,,,,,,,,,,,
1866,0066200015879,0066200015879,['Arômes naturels'],['France'],"['brown sugar', 'salt', 'dehydrated vegetables ', 'garlic', 'red bell pepper', 'green onion', 'golden syrup', 'spices', 'maple syrup', 'natural flavour', 'orange peel', 'rendered bacon fat and bacon', ""refiners' molasses"", 'caramel colour', 'worcestershire sauce ', 'vinegar', ""refiners' molasses"", 'glucose', 'salt', 'caramel colour', 'dehydrated garlic', 'sugar', 'spices', 'tamarind', 'natural flavour', 'corn maltodextrin', 'instant coffee', 'silicon dioxide', 'calcium silicate', 'ingrédients : cassonade', 'sel', 'légumes déshydratés ', 'ail', 'poivron rouge', 'oignon vert', 'sirop doré', 'épices', ""sirop d'érable"", 'arôme naturel', ""zeste d'orange"", 'gras de bácon rendu et bacon', 'mélasse de raffineur', 'colorant caramel sauce worcestershire ', 'vinaigre', 'mélasse de raffineur', 'glucose', 'sel', 'colorant caramel ail déshydrate', 'sucre', 'épices', 'tamarin', 'arôme naturel', 'maltodextrine de mais cafe instantane', 'bioxyde de silicium', 'silicate de calcium 900951890-13 ness of real maple ed with smoky bacon indy canadian flavour ill with warm spices', 'and green onion', 'maple anseasoning will add a alwist to pork', 'chicken', 'beef or fish', 'tile blended seasoning dat requires little preparation time', ""per sucrée du vrai sirop deable jumelée avec du con fumé donne une vraie per canadienne aux pilades fait d'épices onfortantes"", ""d'ail et ipon vert"", 'tassaisonnement acon et a lérable donnera setouche spéciale au porc', 'polet boeuf ou poisson', 'un assisonnement yalent qui demande peu detmgs de préparation,']","['Non végétalien', 'Non végétarien']",?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,"['E150c - Caramel ammoniacal', '', 'Risque modéré de sur-exposition', 'E552 - Silicate de calcium']",,,,,,
1867,Les classiques praliné crêpe dentelle - Chocolaterie Monbana,3474340026049,,['France'],[],[],?,533,2230 kj(533 kcal),34,17,55,51,7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Chocolaterie Monbana'],,,,,,,,,,,,,,,,
1868,Kéfir passion,5056138201265,,['France'],[],[],?,54,226 kj(54 kcal),"1,8","1,1","6,8","5,6","2,8","0,09","0,036",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1869,Fenioux - Bambou Tabashir 200 Gélules,3700790001979,,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1870,Sel rose de l'Himalaya,0667888344895,,['France'],[],[],?,?,,?,,?,,?,0,0,B,,"['Epicerie', 'Condiments', 'Sels']",,,,,,,0 g,en faible quantité,,,,,,,,,-100%,-100%,50.9%,0.0%,27.5%,11.1%,10.5%,0.0%,98,,,,,,,,,,,,,,,,,
1871,Arkopharma Arko,3578835500400,"['Sans colorants', 'Sans conservateurs']",['France'],"['Eau - Miel - Gelée Royale - Jus concentré de baie de Goji ', 'Lycium barbarum L', "" - Jus concentré d'Orange "", 'Citrus sinensis ', 'L', ' Osbeck', "" - Epaississant: gomme d'acacia - Jus concentré de Grenade "", 'Punica granatum L', ' - Poudre de pulpe de fruit de Baobab ', 'Adansonia digitata L', ' - Edulcorant : glycosides de stéviol']",[],?,?,,?,,?,,?,,,,,['Compléments alimentaires'],,,,,,,,,,,,,,,,,,,,,,,,,,['Arkopharma'],,,,,,,,,,,,,,,,
1872,boisson multi-fruits - Hortex,5900500038617,,['France'],[],[],?,42,176 kj(42 kcal),0,0,"10,5","10,5",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Hortex'],,,,,,,,,,,,,,,,
1873,Truffle - 35g,5425035700063,['Sans sucre ajouté'],['France'],[],[],?,573,2397 kj(573 kcal),"42,2","27,4","35,1","6,5","5,5","0,143","0,057",,35 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1874,Biberfi difim,4011259041276,,['France'],[],[],?,884,3699 kj(884 kcal),7,6,3,0,10,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1875,Münchner Gurken - Specht,4003274001359,,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Pickles', 'Légumes et dérivés', 'Légumes en conserve', ""Pickles d'origine végétale"", 'Pickles de légumes', 'Pickles de concombres']",,,,,,,,,,,,,,,,,,,,,,,,,,['Specht'],,,,,,,['Glas'],,,,,,,,,
1876,Bugnes à l'arôme de fleur d'oranger,3173310013507,,['France'],[],[],?,416,1741 kj(416 kcal),"19,4","12,4","49,6","9,9","9,8","0,94","0,376",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1877,Ravioli au bœuf Bio - Fiorini,3250392588212,"['Bio', 'Bio européen', 'Viande Française', 'AB Agriculture Biologique', 'Agriculture UE/Non UE', 'FR-BIO-01', 'Nutriscore', 'Viande-bovine-francaise']",['France'],[],[],?,123,515 kj(123 kcal),"5,7","1,2","13,4","3,6","3,6",1,"0,4",E,,"['Plats préparés', 'Produits à la viande', 'Plats à base de pâtes', 'Plats préparés à la viande', 'Pâtes farcies', 'Plats au bœuf', 'Pates farcies à la viande', 'Ravioli', 'Ravioli à la viande', 'Raviolis au bœuf']",5.7 g,en quantité modérée,1.2 g,en faible quantité,3.6 g,en faible quantité,1 g,en quantité modérée,,-10%,-9%,+64%,-1%,-28%,+43%,-35%,+12%,+12%,92.9%,3.7%,1.3%,1.1%,0.6%,0.4%,19,['Fiorini'],,,4,+84%,C,+84%,,,,,,,,,,
1878,Les nems de mon enfance au poulet,3770014263018,,['France'],[],[],?,185,774 kj(185 kcal),9,3,"17,9","3,7","4,8",1,"0,4",C,,"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats à la volaille', 'Plats au poulet', 'Nems', 'Nems au poulet']",9 g,en quantité modérée,3 g,en quantité modérée,3.7 g,en faible quantité,1 g,en quantité modérée,,-8%,-7%,+14%,+136%,-21%,+40%,-33%,-21%,-21%,62.8%,18.1%,4.7%,5.0%,2.0%,7.4%,57,,,,6,+42%,C,+42%,,,,,,,,,,
1879,Haricots beurre,3564706599789,,['France'],[],[],?,101,423 kj(101 kcal),"0,5",0,3,"0,8","1,6","0,75","0,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
