,name,bar_code,brand,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,salt_quantity,salt_comment,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,generic_name,packaging,labels,ingredients_origins,manufacturing,traceability_code,link,markets,palm_ingredients,brand_owner
0,Cuciole de Cateri Vin Blanc - Biscuiterie Salvatori,3594800001116,['Biscuiterie Salvatori'],['France'],"['Farine de BLE ', 'GLUTEN', 'de traltetnent de la farine: acide_ascorbique', 'xylanase ', 'BLF', 'alpha-amylase enzytnes ', 'BLE', 'vin blanc ', '18,1%', ' ', 'SULFITES', 'huile dtARACHIDE', 'sucre', 'poudre levante ', 'diphosphate disodique E450i', 'carbonate acide de sodlunz E500ii', 'farine de BLÉ ']","['E1100 - Amylases', 'E450i - Pyrophosphate de sodium acide', 'E502 - Carbonates']","['Gluten', 'Anhydride sulfureux et sulfites']",[],4,?,488,2042 kj(488 kcal),22,"3,7",66,24,"5,8","0,87","0,348",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Pruneau d'Agen mi cuits  sans conservat. - Maison Roucadil,3595120000797,['Maison Roucadil'],['France'],[],,,[],,?,232,971 kj(232 kcal),"0,5","0,1",53,35,"1,6",,,E,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Fruits', 'Aliments à base de plantes séchées', 'Fruits secs', 'Fruits français', 'Pruneaux', ""Pruneaux d'Agen""]",0.5 g,en faible quantité,0.1 g,en faible quantité,35 g,en quantité élevée,,-4%,-4%,+39%,-12%,-1%,-4%,-14%,73.8%,22.6%,1.7%,0.7%,1.2%,0.0%,24,,,,,,,,,,,,,,,,,,,
2,Solens Bonbons Saveur Eucalyptus,3595890128639,['Solens'],['France'],[],,,[],,?,234,979 kj(234 kcal),0,0,97,"0,5",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Solens Gommes Eucalyptus Menthol 100G (throat),3595899750732,,['France'],[],,,[],,?,205,858 kj(205 kcal),0,0,"75,5","0,2","5,1","0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,La charette beurre doux - Loyez Woessen - 250g,3596580002109,['Loyez Woessen'],['France'],"['83 g grasscS 57 g fcs Bras saturés 0,9 g 3 596580 0021 0,05 R Invédient : ', 'cc - lactiques', "" Elzboté à de le UE et conditionné en Frpnce Matieres craeg-cs : 82 A con%crytcr a 'CC A consommcf dc k : "", ""'Otit sut le côté""]",['E270 - Acide lactique'],['Lait'],['Non végétalien'],,?,753,3151 kj(753 kcal),83,57,"0,9","0,9","0,7","0,05","0,02",,['Matières grasses'],83 g,en quantité élevée,57 g,en quantité élevée,0.9 g,en faible quantité,,-6%,-6%,-6%,+150%,+302%,+456%,+295%,,,,,,,,250 g,0.05 g,en faible quantité,-74%,-74%,19,+68%,E,+68%,,,,,,,,,,
5,Palet fromager emmental - Père Dodu - 150g - X6,3596690267047,['Père Dodu'],['France'],"['Préparation fromagère 52% ', 'fromages 21,8%', 'eau', 'emmental 9,3%', 'beurre', 'amidons modifiés', 'protéines de lait', 'sels de fonte : phosphate de sodium-phosphate de calcium-diphosphate-polyphosphate', 'lactosérum', 'gélifiant : alginate de sodium', 'farine de blé', 'eau', 'lanières de pomme de terre ', 'pomme de terre', 'amidon de pomme de terre', ' 5,2%', 'amidon de blé et de pomme de terre', 'sel', ""poudre de blanc d'œuf"", 'dextrose', 'levure', 'stabilisant : méthylcellulose', 'conservateur: sorbate de potassium', 'agents levants: diphosphate et carbonate de sodium', ' Huile de tournesol']","['E14XX - Amidons modifiés', 'E401 - Alginate de sodium', 'E461 - Méthylcellulose', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E450i - Pyrophosphate de sodium acide', 'E500i - Carbonate de sodium']","['Œufs', 'Gluten', 'Lait']",['Non végétalien'],4,1268,304,1268 kj(304 kcal),18,"9,2",21,"1,9",13,2,"0,8",,"['Produits panés', 'Palets fromagers']",18 g,en quantité modérée,9.2 g,en quantité élevée,1.9 g,en faible quantité,+41%,+42%,+42%,+70%,+326%,+35%,+28%,+2%,,,,,,,,150 g - X6,2 g,en quantité élevée,+77%,+77%,17,+314%,D,+314%,Fromage fondu à l'emmental (52%) enrobé d'une chapelure aux lanières de pomme de terre frite (48%).,"['Carton', 'Etui']","['Sans colorants', 'Sans exhausteur de goût', 'Sans huile de palme', 'Nutriscore', 'Nutriscore D']",['Union européenne'],['Galliance Elaborés BP24 LA VRAIE CROIX 56250 ELVEN'],"['FR 56.261.001 CE', 'Vraie-Croix (Morbihan, France)']",https://www.peredodu.fr/les-panes/les-produits-sans-viande/les-palets-fromagers/,,,
6,Grignottes de poulet croustillante - 250g,3596690762054,,['France'],[],,,[],,?,253,1059 kj(253 kcal),15,"3,2",11,"0,9",18,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,250 g,,,,,,,,,,,,,,,,,,
7,Bonbons tendres fruits - Pouce,3596710131938,"['Pouce', 'Auchan']",['France'],"['sirop de glucose', 'sucre', 'graisse végétale ', 'palme', ""émulsifiants : mono et di-glycérides d'acides gras "", 'origine végétale', 'acidifiant : acide citrique', 'gélatine de porc', 'arômes', 'jus de sureau concentré ', ' colorants :  charbon végétale médicinal', 'luteine', 'extrait de paprika', ' Traces éventuelles de lait et de fruits à coque']","[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E330 - Acide citrique', 'E428 - Gélatine', 'E161b - Lutéine', 'E160c - Extrait de paprika']",,"['Huile de palme', 'Non végétalien', 'Non végétarien']",4,?,396,1657 kj(396 kcal),"4,5","2,4",88,71,5,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Auchan'],['Huile de palme'],
8,Auchan Tomato Ketchup - 560g,3596710174485,['Auchan'],['France'],[],,,[],,?,89,372 kj(89 kcal),"0,1",0,20,"16,9","1,1",2,"0,8",B,"['Epicerie', 'Sauces', 'Sauces tomate', 'Ketchup']",0.1 g,en faible quantité,0 g,en faible quantité,16.9 g,en quantité élevée,,-16%,-15%,-59%,-100%,-12%,-14%,-15%,37.2%,25.2%,17.2%,12.9%,5.9%,1.6%,94,560 g,2 g,en quantité élevée,+1%,+1%,12,-1%,D,-1%,,,,,,,,['Auchan'],,
9,Petit Pont l'evêque AOP - Auchan - 240g,3596710217045,['Auchan'],['France'],"['Lait de vache pasteurisé', 'sel', 'feiments', 'présure', 'Lait collecté en France', ""dans la zone d'appellation"", ' CONSEIL DE Sortir ce fromage du réfrigérateur 1/2 heure avant dégustation']",,,['Non végétalien'],,?,285,1192 kj(285 kcal),23,15,"0,5","0,5",19,"1,6","0,64",D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte molle à croûte lavée', ""Pont-l'évêque""]",23 g,en quantité élevée,15 g,en quantité élevée,0.5 g,en faible quantité,,-4%,-4%,-2%,-6%,+26%,+36%,-11%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,240 g,1.6 g,en quantité élevée,+0%,+0%,15,+2%,D,+2%,,,['Fabriqué en France'],,,"['FR 14.371.001 CE', 'Livarot (Calvados, France)']",,['Auchan'],,
10,Kit Burritos - Auchan,3596710273485,['Auchan'],['France'],"['galettes de blé ', '320g', ': Farine de blé ', 'contient gluten', ' ', '66%', 'eau', 'huile de colza', 'stabilisants : glycérol - carboxyméthyl-cellulose sodique - gomme guar', 'poudres à lever: diphosphate disodique - carbonate acide de sodium', 'sel', 'acidifiant: acide malique', ""émulsifiant: mono - et diglycérides d'acides gras"", 'dextrose', 'conservateurs: sorbate de potassium - propionate de calcium', ' Sauce cuisinée Burritos - sauce tomate épicée aux haricots et aux poivrons ', '150g', ': tomates concassées ', '32%', 'eau', 'haricots rouges ', '10%', 'oignons ', '7%', ""vinaigre d'alcool"", 'concentré de tomates', 'poivron rouge ', '3,5%', 'poivron vert ', '3,5%', ' amidon transformé de riz', 'sucre', 'arômes', 'épices ', '1 %', 'sel', 'acidifiant: acide citrique', 'antioxydant: acide ascorbique', ""Mix burritos - sachet d'assaisonnement "", '40g', ': amidon de pomme de terre', 'sel', 'sucre', 'épices', 'oignon', 'sirop de glucose', 'extrait de levure', 'acidifiant: acide citrique', 'origan', 'huile de colza', 'antiagglomérant: phosphates de calcium', 'extrait de paprika']","['E422 - Glycérol', 'E466 - Carboxyméthylcellulose', 'E412 - Gomme de guar', 'E450i - Pyrophosphate de sodium acide', 'E500ii - Carbonate acide de sodium', 'E296 - Acide malique', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E282 - Propionate de calcium', 'E330 - Acide citrique', 'E300 - Acide ascorbique', 'E160c - Extrait de paprika']",['Gluten'],"[""Pourrait contenir de l'huile de palme""]",4,?,300,1255 kj(300 kcal),"2,8","0,3",60,"14,4","4,3","12,8","5,12",D,"['Sandwichs', 'Burritos', 'Kit-pour-burritos']",2.8 g,en faible quantité,0.3 g,en faible quantité,14.4 g,en quantité élevée,,+27%,+30%,-31%,-60%,+49%,+266%,-28%,86.1%,5.4%,1.8%,2.1%,1.0%,3.8%,35,,12.8 g,en quantité élevée,+402%,+402%,11,+110%,D,+110%,,,"['Nutriscore', 'Nutriscore C']",,,,,['Auchan'],,
11,Soufflés saveur fromage - Auchan,3596710320882,['Auchan'],['France'],"['Amidon de pomme de terre', 'pomme de terre déshydratée 29%', 'huile de tournesol', 'arôme ', 'contient lait', 'chlorure de potassium', 'sel', 'épice : curcuma', ' Traces éventuelles diarachide et de gluten']",,['Lait'],[],4,?,508,2125 kj(508 kcal),29,"2,7",58,"2,9","3,1",3,"1,2",B,"['Snacks', 'Snacks salés', 'Apéritif', 'Biscuits apéritifs']",29 g,en quantité élevée,2.7 g,en quantité modérée,2.9 g,en faible quantité,,+9%,+8%,+46%,-50%,-2%,-26%,-69%,60.4%,21.2%,8.3%,6.3%,3.8%,0.0%,82,,3 g,en quantité élevée,+50%,+50%,17,+10%,D,+10%,,,"['Nutriscore', 'Nutriscore D']",,,,,['Auchan'],,
12,Lardons nature - Auchan - 300g (2 * 100g),3596710343218,['Auchan'],['France'],"['Poitrine de porc ', 'Origine France', 'sel', 'conservateurs : lactate de potassium', 'érythorbate de sodium', 'nitrite de sodium ', ' dextrose']","['E326 - Lactate de potassium', 'E316 - Érythorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",,"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,1046,?,1046 kj(250 kcal),20,9,1,"0,7",17,"2,75","1,1",C,"['Viandes', 'Charcuteries', 'Charcuteries diverses', 'Allumettes de porc', 'Lardons de porc']",20 g,en quantité modérée,9 g,en quantité élevée,0.7 g,en faible quantité,-0%,,-4%,-7%,+10%,+20%,+6%,+4%,85.6%,9.1%,2.1%,1.8%,1.1%,0.3%,36,300 g (2 * 100 g),2.75 g,en quantité élevée,+5%,+5%,21,+6%,E,+6%,,"['Barquette en plastique', 'Film en plastique', 'Sous atmosphère protectrice']","['Viande Française', 'Viande Porcine Française']",['France'],,"['FR 22.093.001 CE', ""Lamballe (Côtes-d'Armor, France)""]",,['Auchan'],,
13,Babybel - Auchan,3596710343584,['Auchan'],['France'],"['Lait de vache pasteurisé', 'sel', 'ferments lactiques', 'coagulant', ""correcteur d'acidité : acide citrique""]",['E330 - Acide citrique'],['Lait'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",3,?,328,1372 kj(328 kcal),28,19,0,0,19,"1,6","0,64",D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages pasteurisés']",28 g,en quantité élevée,19 g,en quantité élevée,0 g,en faible quantité,,+5%,+5%,+8%,+7%,-100%,-100%,+2%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,1.6 g,en quantité élevée,+11%,+11%,16,+12%,D,+12%,,,,,,,,['Auchan'],,
14,Maïs pour pop corn - Auchan - 125g e,3596710345113,['Auchan'],['France'],['Maïs'],,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,?,343,1435 kj(343 kcal),"4,2","0,6",63,"0,8","7,7","0,1","0,04",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Maïs', 'Mais-pour-pop-corn']",4.2 g,en quantité modérée,0.6 g,en faible quantité,0.8 g,en faible quantité,,+4%,+4%,+25%,+26%,+6%,-40%,-28%,,,,,,,,125 g e,0.1 g,en faible quantité,+72%,+72%,-5,,A,,Maïs Pop Corn,"['Plastique', 'Doypack']",['Point Vert'],['France'],['France'],,,['Auchan'],,
15,Génoise chocolat noir citron - Auchan - 150g,3596710360949,['Auchan'],['France'],"['Fourrage 55%: sirop de glucose-fructose', 'sucre', 'jus de citron à base de jus concentré ', '18%', '*', 'gélifiant: pectine', 'arôme', 'acidifiant: acide critique', ' *% exprimés sur le fourrage', '  Biscuit 28%: farine de blé ', 'contient gluten', 'sucre', 'oeuf entier ', '21%', '*', 'graisse végétale ', 'palme', 'stabilisant: sirop de sorbitol', 'sirop de glucose-fructose', 'amidon de blé ', 'contient gluten', 'amidon de tapioca', ""poudres à lever: carbonates d'ammonium - carbonates de sodium"", ""émulsifiants: mono et diglycérides d'acides gras"", ""correcteur d'acidité: citrates de sodium"", 'sel', ' *% exprimés sur le biscuit', ' Chocolat 17%: pâte de cacao', 'sucre', 'beurre de cacao', 'émulsifiant: lécithines ', 'soja', 'arôme']","['E440 - Pectines', 'E420ii - Sirop de sorbitol', ""E503 - Carbonates d'ammonium"", 'E500 - Carbonates de sodium', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E331 - Citrates de sodium', 'E322 - Lécithines']","['Œufs', 'Gluten', 'Soja']","['Huile de palme', 'Non végétalien']",4,?,382,1598 kj(382 kcal),10,6,69,52,3,"0,15","0,06",,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux']",10 g,en quantité modérée,6 g,en quantité élevée,52 g,en quantité élevée,,-11%,-11%,-48%,-30%,+21%,+79%,-49%,,,,,,,,150g,0.15 g,en faible quantité,-73%,-73%,17,-8%,D,-8%,Génoises nappées au citron et au chocolat noir,"['Carton', 'barquette plastique', 'film plastique']",['Produit en braille'],,,,,['Auchan'],['Huile de palme'],
16,Coquilles St Jacques Cuisinees a la Bretonne - Auchan,3596710375820,['Auchan'],['France'],"['Noix de St-Jacques* ', 'mollusques', ' 30%', 'eau', 'oignons', 'champignons ', 'contient sulfites', 'crème fraîche ', 'contient lait', 'vin blanc ', 'contient sulfites', 'poudre de lait entier', 'chapelure ', 'farine de blé ', 'contient sel', 'amidon modifié de mais', 'beurre ', 'contient lait', 'Brandy Cognac', 'Vermouth ', 'contient sulfites', 'huile végétale de tournesol', 'ail', 'sel', 'arôme ', 'contient poisson', 'sulfites', 'persil', 'arôme naturel de poivre']",['E14XX - Amidons modifiés'],"['Poisson', 'Gluten', 'Lait', 'Mollusques', 'Anhydride sulfureux et sulfites']","['Non végétalien', 'Non végétarien']",4,?,110,460 kj(110 kcal),"5,8","3,3","8,1","2,1","5,9","0,89","0,356",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Auchan'],,
17,Baies de Goji - Auchan - 125g,3596710385621,['Auchan'],['France'],[],,,[],,?,355,1485 kj(355 kcal),"3,5","0,6","58,7","46,3","13,1","1,2","0,48",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Baies de goji séchées']",3.5 g,en quantité modérée,0.6 g,en faible quantité,46.3 g,en quantité élevée,,+8%,+7%,+19%,+35%,-1%,+3%,+5%,,,,,,,,125 g,1.2 g,en quantité modérée,+92%,+92%,4,+36%,C,+36%,,"['Sachet', 'Plastique']",,,,,,['Auchan'],,
18,Petits Pois Extra Fins Surgelés - auchan - 1kg,3596710386246,['Auchan'],['France'],[],,,[],,?,66,276 kj(66 kcal),0,0,10,2,4,"0,03","0,012",B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Aliments à base de fruits et de légumes', 'Légumineuses', 'Surgelés', 'Légumes et dérivés', 'Aliments à base de plantes surgelés', 'Légumineuses surgelées', 'Légumes surgelés', 'Petits pois', 'Petits pois surgelés']",0 g,en faible quantité,0 g,en faible quantité,2 g,en faible quantité,,-21%,-21%,-100%,-100%,+22%,-35%,-24%,53.1%,0.0%,14.8%,11.8%,14.0%,6.3%,94,1kg,0.03 g,en faible quantité,-52%,-52%,-7,,A,,,"['Sachet', 'Surgelé']",,,['France'],,,['Auchan'],,
19,échalote hachée - Auchan,3596710391165,['Auchan'],['France'],[],,,[],,?,25,105 kj(25 kcal),"0,1",0,"3,2","3,2","1,9",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Yaourt au lait entier saveur vanille - Auchan - 500g (4x 125g),3596710392162,['Auchan'],['France'],"['Lait entier pasteurisé ', '87%', 'sucre ', '8,4%', 'lait concentré écrémé', 'ferments lactiques', 'arôme naturel de vanille', 'Élaboré à partir de lait origine France']",,['Lait'],['Non végétalien'],4,?,92,385 kj(92 kcal),"3,1","2,2",13,12,3,"0,09","0,036",,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts sucrés', 'Yaourts vanille', 'Yaourts entiers', 'Yaourts-sucres-au-sucre-de-canne']",3.1 g,en quantité modérée,2.2 g,en quantité modérée,12 g,en quantité modérée,,-5%,-5%,-12%,-2%,+9%,+8%,-22%,,,,,,,,500 g (4 x 125g),0.09 g,en faible quantité,-17%,-17%,4,+49%,C,+49%,,"['Frais', 'pot verre recyclable', 'opercule métal recyclable', 'étui carton recyclable']","['Lait Français', 'Produit en braille']",['France'],['France'],"['EMB 35288V', 'Saint-Malo (Ille-et-Vilaine, France)']",,['Auchan'],,
21,Mimolette - Auchan - 150g,3596710401314,['Auchan'],['France'],"['lait pasteurisé de vache ', 'Pays Bas', 'Sel', 'ferments lactiques', 'coagulant', 'colorant :rocou']",['E160b - Rocou'],['Lait'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",4,316,316,316 kj(316 kcal),"23,9","16,2",0,0,"25,3",2,"0,8",C,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages pasteurisés']",23.9 g,en quantité élevée,16.2 g,en quantité élevée,0 g,en faible quantité,-76%,+1%,-76%,-8%,-9%,-100%,-100%,+36%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,150 g,2 g,en quantité élevée,+39%,+39%,13,-9%,D,-9%,,['sous plastique'],,,['Pays-Bas'],,,['Auchan'],,
22,Croque monsieur x2 - Auchan - 260g,3596710401536,['Auchan'],['France'],[],,,[],,?,186,778 kj(186 kcal),"5,4","2,8",27,"2,9","7,1","1,4","0,56",D,"['Sandwichs', 'Croque-monsieur']",5.4 g,en quantité modérée,2.8 g,en quantité modérée,2.9 g,en faible quantité,,-22%,-23%,-49%,-47%,+8%,-6%,-35%,75.7%,13.8%,5.3%,3.1%,1.7%,0.5%,51,260 g,1.4 g,en quantité modérée,-5%,-5%,6,-52%,C,-52%,,,"['Nutriscore', 'Nutriscore C']",,,"['FR 42.127.001 CE', 'Mably (Loire, France)', 'EMB 42127A', 'Mably (Loire, France)']",,['Auchan'],,
23,Jambon Serrano - Auchan,3596710409044,['Auchan'],['France'],[],,,[],,?,229,958 kj(229 kcal),11,"3,9","0,5","0,5",32,5,2,E,"['Viandes', 'Charcuteries', 'Produits à la viande', 'Jambons', 'Jambons crus', 'Jambons secs', 'Produits carnés espagnols', 'Jambons Serrano', 'en:raw-cured-ham']",11 g,en quantité modérée,3.9 g,en quantité modérée,0.5 g,en faible quantité,,-4%,-4%,-13%,-16%,-30%,+12%,+5%,81.4%,16.7%,0.3%,0.9%,0.5%,0.3%,7,,5 g,en quantité élevée,+7%,+7%,15,-9%,D,-9%,,,['Fabriqué en Espagne'],,,"['EMB 85182G', 'Pouzauges (Vendée, France)']",,['Auchan'],,
24,Salade Américaine au Thon - Pouce - 280g,3596710414314,"['Pouce', 'Auchan']",['France'],[],,,[],,?,88,368 kj(88 kcal),"2,6","0,2","7,5","2,7","7,9",1,"0,4",,"['Plats préparés', 'Salades', 'Plats préparés au poisson', 'Salades composées', 'Salades au thon', 'Salades de légumes']",2.6 g,en faible quantité,0.2 g,en faible quantité,2.7 g,en faible quantité,,-42%,-40%,-69%,-78%,-4%,+34%,-1%,,,,,,,,280 g,1 g,en quantité modérée,+3%,+3%,1,+149%,B,+149%,,,,,,"['FR 62.448.100 CE', ""Hesdin-l'Abbé (Pas-de-Calais, France)""]",,['Auchan'],,
25,"Soda Pomme - Auchan - 1,5L",3596710419135,['Auchan'],['France'],[],,,[],,?,27,113 kj(27 kcal),"0,5","0,1","6,8","6,8","0,5","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,"1,5 L",,,,,,,,,,,,,,,,['Auchan'],,
26,Moelleux saveur citron - Auchan - 500g,3596710419814,['Auchan'],['France'],"['Sucre', 'huile de colza', 'œuf entier ', ""reconstitué à partir de poudre d'œuf"", 'farine de blé ', 'contient gluten', 'amidons de pomme de terre et de blé ', 'contient gluten', ' ', ' stabilisants : glycérol', 'gomme xanthane ', ' eau', 'arôme naturel de citron', 'poudres à lever : diphosphate disodique', ""carbonate de sodium émulsifiant : mono et diglycérides d'acides gras"", 'conservateur : sorbate de potassium', 'sel', 'colorant : riboflavine']","['E422 - Glycérol', 'E415 - Gomme xanthane', 'E450i - Pyrophosphate de sodium acide', 'E500i - Carbonate de sodium', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E101i - Riboflavine']","['Œufs', 'Gluten']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",4,?,415,1736 kj(415 kcal),"22,7","2,2","48,4","21,4","3,7","0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,500 g,,,,,,,,,,,,,,,,['Auchan'],,
27,Dessert lacte abricot - Auchan - 90g,3596710420735,['Auchan'],['France'],[],,,[],,?,95,397 kj(95 kcal),"1,9","1,4",17,13,2,"0,07","0,028",,,,,,,,,,,,,,,,,,,,,,,,90 g,,,,,,,,,,,['Sans conservateurs'],,,,,['Auchan'],,
28,Gourde compote poire baby - Auchan Baby,3596710420742,['Auchan Baby'],['France'],"['Purée de poires 99,9%', 'antioxydant : acide ascorbique']",['E300 - Acide ascorbique'],,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,?,50,209 kj(50 kcal),"0,5","0,1",11,"8,5","0,5","0,01","0,004",B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Aliments pour bébé', 'Goûters et desserts pour bébé', 'Compotes', 'Dès 6 mois', 'Compotes pour bébé']",,,,,,,,-9%,-10%,+102%,+155%,-8%,-17%,+14%,35.2%,26.4%,14.9%,14.0%,7.5%,2.0%,96,,,,-50%,-50%,,,,,,,"['Sans sucre ajouté', 'Sans colorants', 'Sans conservateurs']",,,,,,,
29,Pancakes Sucrés - Auchan - 176g,3596710425365,['Auchan'],['France'],"['lait frais entier ', 'origine France', 'farine de blé 30%', 'sucre de canne 15%', 'œuf frais 12,9%', 'beurre concentré ', 'lait origine UE', ' ', ' poudres à lever : diphosphates', 'carbonates de sodium', ' amidon de blé', 'sel', ' Pourcentages exprimés sur le total de la recette', ' Fabriqué avec des ingrédients qui ne proviennent pas exclusivement de Bretagne']","['E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E500 - Carbonates de sodium']","['Œufs', 'Gluten', 'Lait']",['Non végétalien'],4,?,292,1222 kj(292 kcal),"8,2","4,1",47,20,7,1,"0,4",,"['Snacks', 'Snacks sucrés', 'Petit-déjeuners', 'Pancakes']",8.2 g,en quantité modérée,4.1 g,en quantité modérée,20 g,en quantité élevée,,-4%,-4%,-11%,+106%,+14%,+23%,-24%,,,,,,,,176 g,1 g,en quantité modérée,-1%,-1%,14,+28%,D,+28%,8 petites crêpes sucrées épaisses,['Plastique'],"['Nutriscore', 'Nutriscore D', 'en:produced-in-bretagne']",,"['Lamballe', 'Bretagne', 'France']","['EMB 22093K', ""Lamballe (Côtes-d'Armor, France)""]",,['Auchan'],,
30,Preparation pour  Fondant au Chocolat - Auchan - 500g,3596710427048,['Auchan'],['France'],[],,,[],,?,398,1665 kj(398 kcal),21,"4,2",45,31,"4,9","0,46","0,184",,,,,,,,,,,,,,,,,,,,,,,,500 g,,,,,,,,,,,['en:gluten-free'],,,,,['Auchan'],,
31,Funny ghost saveur ketchup - Auchan - 80g,3596710429042,['Auchan'],['France'],"['Amidon de ,mais et pomme de terre', 'pomme de terre en poudre 22%', 'huile de tournesol', 'farine blé ', 'contient gluten', 'chapelure de blé ', 'contient gluten', 'base aromatisante ketchup ', 'arôme naturel', 'sucre', 'sel', 'maltodextrine', 'oignon en tomate en poudre', 'en poudre', 'herbes aromatiques', 'épices', 'acidifiant : acide citrique', 'sucre', ""émulsifiant : mono I et diglycérides d'acides gras"", 'épice', ' Traces éventuelles de lait et arachides']",['E330 - Acide citrique'],['Gluten'],[],4,?,482,2017 kj(482 kcal),22,"2,7",65,6,"4,3","1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,80 g,,,,,,,,,,,,,,,,['Auchan'],,
32,Mini rond - Auchan,3596710430000,['Auchan'],['France'],"['lait de RChe pasteurisé', 'sel', 'ferments lactiques et dlaffinage', 'coagulant', ' Élaboré à partir de lait origine France', ' Conseil de conservation : à conserver entre +40C et +80C', ' Conseil de dégustation : sortir ce fromage du réfrigérateur 1/4 dlheure avant dégustation,']",,['Lait'],[],,?,329,1377 kj(329 kcal),29,21,"0,5","0,5",17,"1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Fabriqué en France'],,,,,['Auchan'],,
33,Frites extra fines - Auchan,3596710433278,['Auchan'],['France'],"['oresp:es frites allumettes préfrites et surgelées ingrédients Ommes de terre 94,5%', 'huile de tournesol 5%', 'dextrose']",,,[],4,?,149,623 kj(149 kcal),"5,4","0,6",22,"0,5","2,4","0,07","0,028",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Auchan'],,
