,name,bar_code,brand,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,salt_quantity,salt_comment,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,generic_name,packaging,labels,ingredients_origins,manufacturing,traceability_code,link,markets,palm_ingredients,brand_owner
423,Cocktail noix et graines - Secrets d'énergie,3760099536381,"[""Secrets d'énergie""]",['France'],[],,,[],,?,647,2707 kj(647 kcal),"54,1","5,9","17,2","3,7","19,6","0,02","0,008",D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Noix']",54.1 g,en quantité élevée,5.9 g,en quantité élevée,3.7 g,en faible quantité,,-5%,-5%,-15%,-1%,+74%,+5%,+32%,87.8%,0.0%,4.7%,2.4%,3.2%,2.0%,36,,0.02 g,en faible quantité,+2%,+2%,7,+198%,C,+198%,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01']",,,,,,,
424,Comté AOP affiné 6 mois - Lait plaisirs,3760099536770,['Lait plaisirs'],['France'],[],,['Lait'],[],,?,418,1749 kj(418 kcal),35,23,0,0,27,"0,9","0,36",B,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']",35 g,en quantité élevée,23 g,en quantité élevée,0 g,en faible quantité,,+5%,+6%,+7%,+6%,-100%,-100%,+7%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,0.9 g,en quantité modérée,-8%,-8%,13,-3%,D,-3%,,['Sachet'],"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01', 'AOP', 'en:Lait-francais-french-milk', 'Agriculture France']",['France'],,"['FR 25.155.001 CE', 'Cléron (Doubs, France)']",,,,
425,Fuet catalan,3760101140179,,['France'],[],,,[],,?,520,2176 kj(520 kcal),"44,9","16,5","1,85","0,9","27,15","5,1","2,04",D,"['Viandes', 'Charcuteries', 'Saucissons', 'Saucissons secs']",44.9 g,en quantité élevée,16.5 g,en quantité élevée,0.9 g,en faible quantité,,+29%,+29%,+42%,+34%,-17%,-34%,-2%,79.0%,17.2%,0.6%,1.8%,1.1%,0.3%,36,,5.1 g,en quantité élevée,+9%,+9%,26,+8%,E,+8%,,,,,,,,,,
426,Mx3 bio,3760103001133,,['France'],[],,,[],,?,471,1971 kj(471 kcal),11,"3,2",79,36,13,"0,44","0,176",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,
427,Tagliatelles Thaïes de Riz Complet - Autour du riz - 400g,3760103146704,['Autour du riz'],['France'],"[""Riz complet thaïlandais issu de l'agriculture biologique""]",,,[],,?,357,1494 kj(357 kcal),"1,69","0,54",76,"0,69","7,82","0,031","0,012",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Pâtes de riz']",1.69 g,en faible quantité,0.54 g,en faible quantité,0.69 g,en faible quantité,,+1%,+1%,+5%,+21%,+1%,+14%,+8%,,,,,,,,400 g,0.031 g,en faible quantité,-46%,-46%,-3,,A,,,['Plastique'],"['Bio', 'en:gluten-free']",,,,,,,
428,SOUPE SICILIENNE - Autour du riz,3760103148456,['Autour du riz'],['France'],"['Riz rond complet Originario italien 24 %', 'légumineuses 76 % ', 'pois cassés', 'haricots occhio nero', 'haricots cannellini', 'haricots noirs', 'lentilles rouges', 'fèves', 'lentilles vertes']",,,[],3,?,340,1423 kj(340 kcal),"1,4","0,3","56,5","3,4","17,6","0,03","0,012",,"['Plats préparés', 'Soupes']",1.4 g,en faible quantité,0.3 g,en faible quantité,3.4 g,en faible quantité,,+496%,+500%,-28%,-50%,+883%,+97%,+700%,,,,,,,,,0.03 g,en faible quantité,-97%,-97%,-6,-466%,A,-466%,,,"['Bio', 'Bio européen', 'FR-BIO-10', 'IT-BIO-007']",,,,,,,
429,Delice ultra minceur,3760103193043,,['France'],[],,,[],,?,402,1682 kj(402 kcal),10,3,25,19,50,"0,34","0,136",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
430,Gommes Propolis Verte Bio Et Oligoelements - 45 GR,3760103750666,,['France'],[],,,[],,?,203,849 kj(203 kcal),"0,1",0,"65,9",10,"0,8",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,
431,Délice au saumon et noix de St Jacques -,3760105172640,,['France'],"['SAUMON atlantique 39% ', 'Salmo salar élevé en Norvège ou Ecosse - filet de SAUMON 22% - chair de SAUMON 17%', 'POISSON blanc 21% ', 'chaire de poisson blanc 19% - filet de POISSON blanc 2%', 'NOIX DE SAINT JACQUES coraillée 11% ', '""Zygochlamys patagonica origine Argentine', 'ou Argopecten purpuratus origine Pérou', 'ou Argope cten circularis origine Mexique ou Etats-Unis ou Chlamys c percularis origine Royaume-Uni ou lle de Man', 'base liante ', 'Fécule de pomme de terre', 'chapelure de BLE ', 'contient GLUTEŃ', ""blanc d'OEUF"", 'sel', 'dérivés LAITIERS', 'protéine de SOJA', 'farine de BLE ', 'contlent GLUTEN', 'amidon modifié de manioc', 'huile végétale de palme', 'LAIT', 'LACTOSERUM', 'poivre', 'oignon triglycérides de coprah et/ou palmiste', 'arômes naturels ', 'contient LAIT', 'CREME ', 'contient LAIT', 'stabilisant : carraghé nanes', 'eau', 'carotte', 'échalote', 'arômes ', 'dont CRUSTAČE', 'AIT', 'aneth']",['E14XX - Amidons modifiés'],"['Œufs', 'Poisson', 'Gluten', 'Lait', 'Mollusques', 'Soja']","['Huile de palme', 'Non végétalien', 'Non végétarien']",4,?,162,678 kj(162 kcal),"8,8","2,9","6,6","1,2",14,1,"0,4",,"['Plats préparés', 'Plats préparés au poisson']",8.8 g,en quantité modérée,2.9 g,en quantité modérée,1.2 g,en faible quantité,,-9%,-6%,-15%,+7%,-21%,-20%,+50%,,,,,,,,,1 g,en quantité modérée,-3%,-3%,3,-37%,C,-37%,,,,,,,,,['Huile de palme'],
432,Tartare saumon légumes du soleil - océan délice - 150g,3760105173715,['océan délice'],['France'],"['TARTARE SAUMON LEGUMES DU SOLEIL ingrédients', ' SAUMON atlantique i']",,['Poisson'],[],,?,166,695 kj(166 kcal),12,"1,4","1,1","1,1",13,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,150 g,,,,,,,,,,['1'],,"['Norvège', 'Écosse']",['France'],"['FR52160128', 'Daillancourt (Haute-Marne, France)']",,['super u'],,
