,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,packaging,brand,categories,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,traceability_code,allergens,nova_score,quantity,ingredients_origins,manufacturing,additives,markets,palm_ingredients,generic_name,link,origin_detail
0,Buchette de chevre aux petales de rose,3369640039250,['France'],[],[],?,270,1130 kj(270 kcal),22,"13,4","13,4","2,1","16,1",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"poudre de soja ""hitachiya""",4902463050287,['France'],[],[],?,434,1816 kj(434 kcal),"23,1","3,3","28,8","0,005","36,8","15,1","6,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Truffes fantaisie,3481294000575,['France'],[],[],?,579,2423 kj(579 kcal),43,31,41,38,"0,24","4,9","1,96",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Colliers fantaisie,3760107843487,['France'],[],[],?,367,1536 kj(367 kcal),"1,7","1,5",88,56,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,vinaigre de riz,4902106238225,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Mijoté  de canard sauce cèpes,3700766411610,['France'],[],[],?,135,565 kj(135 kcal),"8,4",2,"2,3","0,6",12,"0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,balli kaymak,4260193514913,['France'],[],[],?,256,1071 kj(256 kcal),"20,2","13,5","18,4",17,"2,3","0,13","0,052",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,miyakoichi yudeudon,4902817755110,['France'],[],[],?,117,490 kj(117 kcal),"0,6",0,"24,4",0,"3,3","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Prunes Salées Umeboshi Au Miel 200G,4035458207608,['France'],[],[],?,66,276 kj(66 kcal),"0,2","0,2","16,89","0,5","4,2","11,25","4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Miel,3770005339012,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Le conserve del trentino,8002583006365,['France'],[],[],?,185,774 kj(185 kcal),"0,1",0,44,43,"0,6","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,St Moret bio,3272701014168,['France'],[],[],?,238,996 kj(238 kcal),22,16,"3,7","3,7","6,2",1,"0,4",C,['Frais'],"['St moret', 'Savencia']","['Produits laitiers', 'Produits fermentés', 'Produits à tartiner', 'Produits laitiers fermentés', 'Produits à tartiner salés', 'Fromages', 'Fromages de vache', 'Fromages à tartiner']","['Bio', 'Bio européen', 'AB Agriculture Biologique']",22 g,en quantité élevée,16 g,en quantité élevée,3.7 g,en faible quantité,1 g,en quantité modérée,,+2%,+2%,+5%,+13%,+10%,+25%,-26%,-15%,-15%,13,+8%,D,+8%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,,,,
12,lamelles de radis blanc seche,4903222981170,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Maviar (tarama),3019897277164,['France'],[],[],?,195,816 kj(195 kcal),12,"6,7","1,8","0,8",20,"2,4","0,96",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 49.007.336 CE', 'Angers (Maine-et-Loire, France)']",,,,,,,,,,,
14,Nougat amande,2760089599052,['France'],[],[],?,411,1720 kj(411 kcal),10,"0,8",77,76,"4,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Saucisse sèche courbe supérieure haute loire,2602602031758,['France'],[],[],?,462,1933 kj(462 kcal),"36,6",15,"4,3","3,32","28,8","4,7","1,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Nounours,3367279999297,['France'],[],[],?,568,2377 kj(568 kcal),38,23,50,49,7,"0,19","0,076",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Organic English breakfast tea - Clipper,5021991941146,['France'],[],[],?,?,,?,,?,,?,,,,,['Clipper'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Calissons d'aix en Provence - Confiserie du Roy René,3102621012725,['France'],"['Fruits confits 41% ', 'fruits 54% ', 'melon 96%', ""écorces d'oranges 3,2% et de citrons 0,8%"", 'sirop de glucose-fructose', 'Sucre', 'amandes 30% ', ""dont 50% d'amandes de Provence"", 'sucre', ""blanc d'aeuf"", 'sirop de glucose', 'sirop de sucre inverti', 'pain azyme ', 'fécule de pomme de terre', 'huile de tournesol', 'arômes naturels', ""extrait d'amande amère"", "" Peut contenir des traces d'autres fruits à coque"", ' Origines : Amandes ', 'Provence ', 'France', 'Espagne', 'Melon ', 'Provence ', 'France']",[],?,440,1841 kj(440 kcal),18,"1,6",60,54,"7,4","0,02","0,008",B,,"['Confiserie du Roy René', 'Le Roy René']","['Snacks', 'Snacks sucrés', 'Confiseries', 'Calissons', ""Calissons d'Aix""]",,18 g,en quantité modérée,1.6 g,en quantité modérée,54 g,en quantité élevée,0.02 g,en faible quantité,,-2%,-2%,+1%,-8%,-3%,+8%,-3%,-41%,-41%,10,-31%,C,-31%,43.9%,29.6%,15.5%,7.5%,3.5%,0.0%,95,,['Fruits à coque'],4,,,,,,,,,
19,Chocolat,3421371528615,['France'],[],[],?,604,2527 kj(604 kcal),44,42,42,39,"8,6","0,15","0,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Orangette,1846090,['France'],[],[],?,100,418 kj(100 kcal),0,0,"0,3","0,01",100,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Bordeau Lamothe-Vincent,3463142001002,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Confiserie HEIDEL,4006446003793,['France'],[],[],?,578.6,2421 kj(578 kcal),39,24,50,49,"6,3","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Milk chocolate,9002859105715,['France'],[],[],?,529,2213 kj(529 kcal),29,19,19,0,"6,5","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Figues sèches,3502490239955,['France'],[],[],?,271,1134 kj(271 kcal),"2,8","0,4",58,49,"3,6","0,15","0,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Bonbons de chocolat,3760134630968,['France'],[],[],?,?,,?,,?,,?,"0,4","0,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Vin,3262850002956,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Perles de vinaigre balsamique saveur truffe,3113010153479,['France'],[],[],?,70,293 kj(70 kcal),0,0,17,14,0,"0,17","0,068",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Fèves de Cacao,3770000168822,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Saumon fume,2851582510078,['France'],[],[],?,169,707 kj(169 kcal),"9,113","2,45",0,0,"21,8",3,"1,2",E,,,"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés']",,9.11 g,en quantité modérée,2.45 g,en quantité modérée,0 g,en faible quantité,3 g,en quantité élevée,,-9%,-9%,-13%,+19%,-100%,-100%,-1%,+6%,+6%,14,+7%,D,+7%,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,,,,,,,,,,,,
30,Gelée de piment d’espelette,3760226280026,['France'],[],[],?,206,862 kj(206 kcal),"0,1","0,05",51,"48,8","0,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Tisane,3760235560072,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Hoy choco mix,8713305811999,['France'],[],[],?,384,1607 kj(384 kcal),"3,9","2,3",77,66,"6,5","0,225","0,09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Terrine de Campagne au Saint Emilion,3270270006003,['France'],[],[],?,275,1151 kj(275 kcal),23,"7,6","2,8","0,5",14,"1,5","0,6",,,,"['Viandes', 'Charcuteries', 'Terrines', 'Terrines de campagne']",,23 g,en quantité élevée,7.6 g,en quantité élevée,0.5 g,en faible quantité,1.5 g,en quantité modérée,,-15%,-15%,-19%,-30%,+22%,-42%,0%,-6%,-6%,16,-18%,D,-18%,,,,,,,,,,,,,,,,,,,
34,Terrine de Campagne au foie gras,3270270006027,['France'],[],[],?,339,1418 kj(339 kcal),31,12,1,"0,6",14,"1,6","0,64",,,,"['Viandes', 'Charcuteries', 'Terrines', 'Terrines de campagne']",,31 g,en quantité élevée,12 g,en quantité élevée,0.6 g,en faible quantité,1.6 g,en quantité élevée,,+5%,+5%,+10%,+11%,-56%,-31%,0%,0%,0%,21,+8%,E,+8%,,,,,,,,,,,,,,,,,,,
35,Terrine de campagne aux marrons glacés,3270270006010,['France'],[],[],?,302,1264 kj(302 kcal),24,9,"5,9","2,3",15,"1,6","0,64",,,,"['Viandes', 'Charcuteries', 'Terrines', 'Terrines de campagne']",,24 g,en quantité élevée,9 g,en quantité élevée,2.3 g,en faible quantité,1.6 g,en quantité élevée,,-7%,-6%,-15%,-17%,+158%,+165%,+7%,0%,0%,18,-7%,D,-7%,,,,,,,,,,,,,,,,,,,
36,Chocolat noir dessert palets 55%,2211522015153,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Bûche crème beurre nougat,,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Infusion - thé,3564884022932,['France'],[],[],?,1,4 kj(1 kcal),0,0,"0,2",0,"0,1",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Raffaello,5413548954813,['France'],[],[],?,628,2628 kj(628 kcal),"48,6","29,7","38,3","33,3","7,2","0,305","0,122",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Bonbon - Haribo,3103220047682,['France'],[],[],?,348,1456 kj(348 kcal),"0,5","0,1",80,52,"5,4",,,,,['Haribo'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Pipassole TURC,8697436521128,['France'],[],[],?,633,2648 kj(633 kcal),53,"6,3",24,"1,1",28,4,"1,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,"Jivara, chocolat au lait 40%cacao - Valrhona",3395328348437,['France'],[],[],?,586,2452 kj(586 kcal),41,25,45,44,"8,2","0,23","0,092",E,,['Valrhona'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats au lait']",,41 g,en quantité élevée,25 g,en quantité élevée,44 g,en quantité élevée,0.23 g,en faible quantité,,+6%,+6%,+19%,+28%,-13%,-10%,+14%,-1%,-1%,27,+6%,E,+6%,84.1%,11.8%,1.2%,2.5%,0.4%,0.0%,24,,,,,,,,,,,,
43,Chocolat pétillant,3760059939238,['France'],[],[],?,546,2284 kj(546 kcal),39,32,52,49,"6,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Nougat de Noël Miel de lavande de Provence IGP,3105560078616,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Rooibos de noël,3259920059989,['France'],[],[],?,1,4 kj(1 kcal),0,0,"0,2",0,"0,1",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Sirop brut gingembre,3760310820152,['France'],[],[],?,304,1272 kj(304 kcal),0,0,"76,5","76,5",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Eucalyptus,3389681002495,['France'],[],[],?,400,1674 kj(400 kcal),0,0,98,77,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Chistorra,2474757028477,['France'],[],[],?,407,1703 kj(407 kcal),37,13,"2,7","2,1",15,"2,2","0,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Truffes fantaisies,3290041002225,['France'],[],[],?,631,2640 kj(631 kcal),"50,2","43,9",39,"37,5","3,2",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Préparation bio pour vin chaud,3700324434563,['France'],[],[],?,?,,?,,?,,?,,,,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Nougat tendre assortiment,3105560082804,['France'],[],[],?,410,1715 kj(410 kcal),"8,1","0,7",79,73,"4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Feta,5200112731815,['France'],[],[],?,276,1155 kj(276 kcal),23,17,"0,7","0,7","16,5","2,3","0,92",,,,,"['Bio', 'Bio européen', 'GR-BIO-12']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Sauce à la truffe d été,8025386004970,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Foie gras entier de canard du sud ouest - Monoprix Gourmet,3350033747043,['France'],[],[],?,521,2180 kj(521 kcal),53,23,"0,5","0,5","9,5","1,4","0,56",,,['Monoprix Gourmet'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 46.102.004 CE', 'Figeac (Lot, France)']",,,,,,,,,,,
55,4796012179723,4796012179723,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Floating marshmallow,8718537881673,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Organic coconut oil - Sprouts,0646670682247,['France'],[],[],?,866.6667,3626 kj(866 kcal),"93,333","86,667",0,0,0,0,0,,,['Sprouts'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', 'Huiles', 'Huiles de fruits et graines de fruits', 'Huiles de coco']",,93.3 g,en quantité élevée,86.7 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,,+1%,+1%,-4%,+2%,-100%,-100%,-100%,-100%,-100%,20,+3%,E,+3%,,,,,,,,,,,,,,,,,,,
58,Kidibul,5410293012249,['France'],[],[],?,43,180 kj(43 kcal),0,0,11,"9,9",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Fromage ail et fines herbes,3466461210001,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,L' ours en guimauve,04075882,['France'],[],[],?,100,418 kj(100 kcal),11,7,73,55,3,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Madeleine sans gluten,3700566450383,['France'],[],[],?,?,,?,,?,,?,,,B,,,"['Biscuits et gâteaux', 'Gâteaux', 'Madeleines']",['Sans gluten'],,,,,,,,,,,,,,,,,,,,,,,73.9%,13.5%,6.0%,3.4%,3.2%,0.0%,75,,,,,,,,,,,,
62,Mentos mix beach,8723400784494,['France'],[],[],?,10,42 kj(10 kcal),0,0,"2,5",2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Gourmande au chèvre,,['France'],[],[],?,306,1280 kj(306 kcal),13,"7,5",32,"1,6",14,"1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Escargots l'air/noir au pralin,3367270001500,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,velouté de cacasse à cul nu,3760168112003,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Miel de Pays (Fleurs),00000915,['France'],[],[],?,?,,?,0,?,0,?,,,B,,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de fleurs']",,,,0 g,en faible quantité,0 g,en faible quantité,,,,,,,-100%,,-100%,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,
67,Cervelas pur porc à cuire pistaché,2229471045596,['France'],[],[],?,318,1331 kj(318 kcal),"27,3","10,58","0,9",0,"17,2","1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 42.059.001 CE', 'Chazelles-sur-Lyon (Loire, France)']",,,,,,,,,,,
68,Pain cereales biologique,0244089018376,['France'],[],[],?,283,1184 kj(283 kcal),"2,7","0,4",62,12,10,12,"4,8",,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Huile de Tournesol oléique Biologique,3770017047028,['France'],[],[],?,900,3766 kj(900 kcal),100,"7,8",0,0,0,0,0,,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Foie gros de canard cru,2458670177313,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,"Confiture Ananas, Passion, Vanille",3770009027595,['France'],[],[],?,241,1008 kj(241 kcal),0,0,55,55,"0,5",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Chicoree cacao,3770019057018,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,The Christmas song,3700286566999,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Foie gras - Labeyrie - x10,3033610031925,['France'],[],[],?,?,,?,,?,,?,,,B,['Sous vide'],['Labeyrie'],"['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard']","['Sans conservateurs', 'IGP']",,,,,,,,,,,,,,,,,,,,,,,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,"['FR 40.261.001 CE', 'Saint-Geours-de-Maremne (Landes, France)']",,,x10,['France'],['France'],,,,,,
75,Le Comptoir D'herboristerie Tilleul Des Baronnies Bio 25G,3481899023986,['France'],[],[],?,1,4 kj(1 kcal),0,0,"0,2",0,"0,1",0,0,,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Nougat,3389350012015,['France'],[],[],?,453,1895 kj(453 kcal),18,"1,9",62,52,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Buchettes creme beurre,0206851014436,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Crevette queue black tiger bangladesh,3003060200103,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Vollkorn lebkuchen - 175.0g,4099200064369,"['Autriche', 'France']",[],[],?,346,1448 kj(346 kcal),"4,4","0,4",70,44,"4,6","0,12","0,048",,['stück'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.0 g,,,,,,,,
80,Écrasé de potimarron aux 4 épices,3701353301109,['France'],[],[],?,82,343 kj(82 kcal),5,1,9,1,1,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Haricots à l'huile pimentée,6909003888018,['France'],[],[],?,102,427 kj(102 kcal),"5,2",1,"8,8","2,5","3,6",20,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Panettone - Maina,8005190406924,['France'],[],[],?,397,1661 kj(397 kcal),18,11,50,24,"7,3","0,44","0,176",C,,['Maina'],"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Brioches', 'Panettone']",,18 g,en quantité modérée,11 g,en quantité élevée,24 g,en quantité élevée,0.44 g,en quantité modérée,,+6%,+6%,+20%,+22%,-3%,-7%,+7%,-0%,-0%,20,+8%,E,+8%,81.5%,11.5%,4.5%,2.1%,0.3%,0.0%,56,,,,,,,,,,,,
83,Mijotée de canard sauce foie gras et jus de truffes brumale,3598960061218,['France'],[],[],?,191,799 kj(191 kcal),16,5,3,2,10,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Perfetto moka,8006363031691,['France'],[],[],?,1,4 kj(1 kcal),0,0,"0,3",0,"0,2",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Préparation pour poulet pimenté gong bao,6920143501520,['France'],[],[],?,312,1305 kj(312 kcal),5,"1,3","62,2",4,"2,6","5,1","2,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Amandes au Fromage de Chèvre,3760190291127,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Olio Extra Vergine Olio Extra Vergine 1 Liter,8001302001254,['France'],[],[],?,824,3448 kj(824 kcal),92,13,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Saumon fumé d'Ecosse -,3000421331605,['France'],[],[],?,212,887 kj(212 kcal),9,3,0,0,20,2,"0,8",E,,,"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés', 'en:smoked-salmons-from-scotland']",,9 g,en quantité modérée,3 g,en quantité modérée,0 g,en faible quantité,2 g,en quantité élevée,,+18%,+18%,-8%,+52%,-100%,-100%,-8%,-29%,-29%,12,-9%,D,-9%,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,,,,,['Ecosse'],,,,,,,
89,Mascarpone biologico,8005023012254,['France'],[],[],?,?,,?,,?,,?,,,,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Oeuf du moulin,3503010043151,['France'],[],[],?,145,607 kj(145 kcal),"10,3","2,7","0,7","0,7","12,3","0,32","0,128",,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Pavés de bison,2478611079445,['France'],[],[],?,96,402 kj(96 kcal),"0,5","0,2","0,5","0,5",22,"0,14","0,056",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Confiturelle 3 Agrumes,3470410025790,['France'],[],[],?,147,615 kj(147 kcal),"0,1","0,05",35,29,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Canette farcie cuite au cèpes et girolles,0215562139529,['France'],[],[],?,256,1071 kj(256 kcal),21,"7,2","1,3",0,15,"0,51","0,204",,,,,"['Nutriscore', 'Nutriscore D']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Rillettes de noix de St Jacques aux cèpes,3700238329740,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Jambon supérieur sans couenne,2871621028531,['France'],[],[],?,111,464 kj(111 kcal),3,"1,2",1,"0,5",20,"2,1","0,84",E,,,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs', 'Jambon sans couenne']",,3 g,en quantité modérée,1.2 g,en faible quantité,0.5 g,en faible quantité,2.1 g,en quantité élevée,,-16%,-15%,-38%,-35%,+49%,-16%,-5%,+12%,+12%,11,+56%,D,+56%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,"['FR 14.752.020 CE', 'Villers-Bocage (Calvados, France)']",,,,,,,,,,,
96,Sésame,3760173810031,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Poivre blanc de malabar,3760063329650,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Buchette crème au beurre café,3760122886032,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Panettone régal cioccolato,8003475009563,['France'],[],[],?,463,1937 kj(463 kcal),20,12,47,28,"7,1","0,54","0,216",C,,,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Brioches', 'Panettone']",,20 g,en quantité modérée,12 g,en quantité élevée,28 g,en quantité élevée,0.54 g,en quantité modérée,,+24%,+24%,+33%,+33%,-9%,+8%,+4%,+22%,+22%,23,+24%,E,+24%,81.5%,11.5%,4.5%,2.1%,0.3%,0.0%,56,,,,,,,,,,,,
100,Chocolat belge,5411901461251,['France'],[],[],?,543,2272 kj(543 kcal),33,18,54,50,6,"0,27","0,108",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Fourrage-Filling a l'orange,3608580009689,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
