,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,packaging,brand,categories,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,traceability_code,allergens,nova_score,quantity,ingredients_origins,manufacturing,additives,markets,palm_ingredients,generic_name,link,origin_detail
1304,Beurre,3760297230111,['France'],[],[],?,740,3096 kj(740 kcal),82,0,0,0,"0,5",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1305,datte medjoul,2609923038312,['France'],[],[],?,322,1347 kj(322 kcal),"0,2",0,75,"66,5","1,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1306,Vinaigre balsamique au miel,5200118473108,['France'],[],[],?,134,561 kj(134 kcal),0,0,31,29,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1307,Vinaigre De Vin Blanc,8000320070013,['France'],[],[],?,?,,?,,?,,?,,,B,,,"['Vinaigres', 'Vinaigres de vin', 'Vinaigres de vins blancs']",,,,,,,,,,,,,,,,,,,,,,,,39.4%,16.4%,33.5%,8.2%,2.4%,0.0%,91,,,,,,,,,,,,
1308,Assortiment de biscuits la fabrique,3770018540009,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1309,Bol de fromage de tête,3211524006561,['France'],[],[],?,459,1920 kj(459 kcal),12,"4,7","0,7","0,7",12,"1,92","0,768",D,,,"['Viandes', 'Charcuteries', 'Charcuteries diverses', 'Pâté', 'Pâtés de tête']",,12 g,en quantité modérée,4.7 g,en quantité modérée,0.7 g,en faible quantité,1.92 g,en quantité élevée,,+135%,+145%,-12%,-10%,-8%,+98%,-22%,+11%,+11%,17,+44%,D,+44%,76.6%,14.8%,4.7%,2.2%,1.3%,0.4%,42,,,,,,,,,,,,
1310,Mamma Mia,3701279400061,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1311,Chantal Dall,5031416091523,['France'],[],[],?,364,1523 kj(364 kcal),6,"0,06",61,11,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1312,TRS Mung Dal,5017689044459,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1313,Bonbons au miel,3760231770000,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1314,Prout,9782884712392,['France'],[],[],?,258,1079 kj(258 kcal),5,1,25,5,1,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1315,Pavé de saumon,0206023052808,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1316,Bloc de foie gras de oca,3161451018420,['France'],[],[],?,442,1849 kj(442 kcal),"45,5","16,7","2,1","0,5","5,9","1,51","0,604",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1317,Traditional Elk Jerky Black Pepper,7350095861011,['France'],[],[],?,272,1138 kj(272 kcal),"1,8","0,9","2,2","1,8",53,"3,9","1,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
