,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,brand,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,quantity,packaging,additives,nova_score,allergens,generic_name,traceability_code,markets,manufacturing,ingredients_origins,palm_ingredients,link,brand_owner
1869,Barre pâtissière - La Trinitaine,3260260130504,['France'],[],[],?,429,1795 kj(429 kcal),22,"2,4",50,29,"5,9","0,83","0,332",['La Trinitaine'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 56233A', 'Saint-Philibert (Morbihan, France)']",,,,,,
1870,Panier de Yoplait,3291330006405,['France'],[],[],?,108,452 kj(108 kcal),"2,9","1,8","15,8","15,4","3,6","0,11","0,044",['Yoplait'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1871,Baguette Campagne,3289668251505,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1872,Morbier Bio JuraFlore - Jura Flore,2285476034775,['France'],[],[],?,343,1435 kj(343 kcal),"28,1","19,6","0,5",0,22,"1,76","0,704",['Jura Flore'],C,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Morbiers']",28.1 g,en quantité élevée,19.6 g,en quantité élevée,0 g,en faible quantité,1.76 g,en quantité élevée,,-3%,-3%,-2%,+1%,-36%,-100%,-3%,+23%,+23%,16,+7%,D,+7%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,,
1873,Sauce chien,3760123450720,['France'],[],[],?,212,887 kj(212 kcal),21,"2,2","4,6","4,4",0,"3,2","1,28",,,"['Epicerie', 'Sauces', 'Sauces chien']",21 g,en quantité élevée,2.2 g,en quantité modérée,4.4 g,en faible quantité,3.2 g,en quantité élevée,,-11%,-10%,+16%,+2%,-54%,-32%,-100%,+32%,+32%,14,+21%,D,+21%,,,,,,,,,,,,,,,,,,,,,
1874,Farine de blé T110,2556353378931,['France'],[],[],?,333,1393 kj(333 kcal),"1,4","0,2","67,5","1,8","11,7","0,01","0,004",,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Farines', 'Farines de céréales', 'Farines de blé']",1.4 g,en faible quantité,0.2 g,en faible quantité,1.8 g,en faible quantité,0.01 g,en faible quantité,,-3%,-3%,+4%,-15%,-3%,+18%,+7%,-58%,-58%,-1,,A,,77.8%,3.5%,0.0%,10.3%,8.3%,0.0%,97,,,,,,,,,,,,,,
1875,Doppio,80042570,['France'],[],[],?,96,402 kj(96 kcal),"0,2","0,1",17,14,"4,2","0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1876,Fisherman's Friend,50070602,['France'],[],[],?,252,1054 kj(252 kcal),"1,4","1,3","96,79",0,"0,028","0,007","0,003","[""Fisherman's Friend"", 'Lofthouse']",,"['Snacks', 'Snacks sucrés', 'Confiseries']",1.4 g,en faible quantité,1.3 g,en faible quantité,0 g,en faible quantité,0.007 g,en faible quantité,,-40%,-40%,-90%,-80%,+45%,-100%,-99%,-95%,-95%,4,-78%,C,-78%,,,,,,,,,,,,,,,,,,,,,
1877,Gouda au cumin - Monoprix,2251663019481,['France'],[],[],?,376,1573 kj(376 kcal),31,21,0,0,24,"1,7","0,68",['Monoprix'],D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages des Pays-Bas', 'Goudas', 'Goudas au cumin']",31 g,en quantité élevée,21 g,en quantité élevée,0 g,en faible quantité,1.7 g,en quantité élevée,,+1%,+1%,+1%,0%,-100%,-100%,+1%,-7%,-7%,16,-3%,D,-3%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,['Monoprix'],,,,,
1878,7611736210002,7611736210002,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Fabriqué en France'],,,,,,,,,,,,,
