,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,brand,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,quantity,packaging,additives,nova_score,allergens,generic_name,traceability_code,markets,manufacturing,ingredients_origins,palm_ingredients,link,brand_owner
0,Jambon cuit sup fume,0281451032806,['France'],[],[],?,126,527 kj(126 kcal),"4,4","1,6","0,5",0,21,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Quick lunch - Maggi,7610100017704,['France'],[],[],?,444,1858 kj(444 kcal),"19,7","10,5","50,1",11,"14,3","4,4","1,76",['Maggi'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Bonbon suppaichu suppai lemon,4902888200939,['France'],[],[],?,413,1728 kj(413 kcal),7,0,"84,8","84,2",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Brioche tressée à la main,3608732262153,['France'],[],[],?,366,1531 kj(366 kcal),"13,2","8,2","51,8","13,6","9,5","1,3","0,52",,C,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Brioches', 'Brioches tressées']",13.2 g,en quantité modérée,8.2 g,en quantité élevée,13.6 g,en quantité élevée,1.3 g,en quantité modérée,,+3%,+3%,+3%,+29%,+1%,-6%,+18%,+30%,+30%,20,+25%,E,+25%,81.5%,11.5%,4.5%,2.1%,0.3%,0.0%,56,,,,,,,,,,,,,,
4,"100% Pure Sesame Oil, Foreway Brand Large 56 Oz Container",0008112100274,['France'],[],[],?,120,502 kj(120 kcal),14,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Palette de porc cuite,2211322041260,['France'],[],[],?,186,778 kj(186 kcal),14,"4,8",0,0,15,"2,2","0,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Ju pomme gingembre,3770006392269,['France'],[],[],?,42,176 kj(42 kcal),"0,1","0,006","9,95","9,67","0,1",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'Sans gluten', 'AB Agriculture Biologique']",,,,,,,,,,,,,
7,Foie gras entier Grand Héritage - Maison Montfort - 300g,3104544070974,['France'],"['foie gras de canard ', 'origine France', 'sel', 'poivres 0,3%', 'sucre', 'antioxydant : ascorbate de sodium', 'conservateur : nitrite de sodium']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,528,2209 kj(528 kcal),54,23,"2,7","0,9","7,6","1,2","0,48",['Maison Montfort'],A,"['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard']",54 g,en quantité élevée,23 g,en quantité élevée,0.9 g,en faible quantité,1.2 g,en quantité modérée,,+3%,+3%,+2%,+2%,+16%,-33%,+9%,-1%,-1%,21,+2%,E,+2%,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,['IGP Sud-Ouest'],300g,['Barquette'],"['E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",3,,,,,,,,,
8,Pasta salat - 250g,22176431,['France'],[],[],?,163,682 kj(163 kcal),"5,9","0,5",20,"2,8","6,5","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250 g,,,,,,,,,,,,
9,Carbonates flamandes,3585260502008,['France'],[],[],?,128,536 kj(128 kcal),"4,8","2,39",4,4,"17,1","0,86","0,344",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Purée sucrée surgelée Pêche de vigne -,3398281042701,['France'],[],[],?,87,364 kj(87 kcal),"0,5","0,1",21,21,"0,6","0,01","0,004",,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Compotes', 'Compotes de pêche']",0.5 g,en faible quantité,0.1 g,en faible quantité,21 g,en quantité élevée,0.01 g,en faible quantité,,-8%,-8%,+170%,+273%,-3%,+0%,-12%,-4%,-4%,0,,B,,35.2%,26.4%,14.9%,14.0%,7.5%,2.0%,96,"['Fabriqué en France', 'Sans sucre ajouté']",,,,,,,,,,,,,
11,Amandes en poudre - Biothentic - 150g,3760092216044,['France'],"[""AMANDES Issues de l'agriculture biologique"", ' Risques de traces de gluten', 'oeuf', 'lait', 'arachides', 'soja', 'sésame']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,639,2674 kj(639 kcal),"56,7","4,8","5,4","3,6","19,7","0,005","0,002",['Biothentic'],,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Farines', 'Fruits à coques et dérivés', 'Farines de fruits à coques', 'Amandes en poudre']",56.7 g,en quantité élevée,4.8 g,en quantité modérée,3.6 g,en faible quantité,0.005 g,en faible quantité,,+3%,+3%,+6%,+14%,-38%,-15%,-15%,-81%,-81%,-4,-172%,A,-172%,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",150 g,,,1,['Fruits à coque'],,,,,,,,
12,Jambon a l ancienne,2264752040211,['France'],[],[],?,?,,?,,?,,?,,,,E,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs', ""Jambons cuits à l'ancienne""]",,,,,,,,,,,,,,,,,,,,,,,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,,,,,,,,,,,,,,
13,Cecil,4040328067916,['France'],[],[],?,275,1151 kj(275 kcal),"18,5","11,24","1,28","1,22",26,7,"2,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Mac and cheese - Par Ici Cuisine - 280g,3701138134779,['France'],[],[],?,214,895 kj(214 kcal),"10,3","6,76","19,9","1,8","9,8","0,55","0,22",['Par Ici Cuisine'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280 g,,,,,,,,,,,,
15,Mélange japonais,2600153009776,['France'],[],[],?,399,1669 kj(399 kcal),"6,9","1,5","73,3","2,6","10,1","0,85","0,34",,,['Mélanges de biscuits soufflés'],6.9 g,en quantité modérée,1.5 g,en quantité modérée,2.6 g,en faible quantité,0.85 g,en quantité modérée,,-0%,-1%,-9%,-4%,+2%,-55%,0%,-6%,-6%,3,-48%,C,-48%,,,,,,,,,,,,,,,,,,,,,
16,Comté,0239995020209,['France'],[],[],?,431,1803 kj(431 kcal),35,24,2,"0,5",27,"0,9","0,36",,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']",35 g,en quantité élevée,24 g,en quantité élevée,0.5 g,en faible quantité,0.9 g,en quantité modérée,,+9%,+9%,+7%,+11%,+333%,+80%,+7%,-8%,-8%,13,-3%,D,-3%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,,,
17,Confit de canard - Larnaudie,3113010126480,['France'],[],[],?,?,,?,,?,,?,,,['Larnaudie'],E,"['Viandes', 'Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Volailles', 'Plats à la volaille', 'Plats au canard', 'Canards', 'Confits de canard']",,,,,,,,,,,,,,,,,,,,,,,79.0%,12.3%,1.9%,2.6%,1.0%,3.3%,27,,,,,,,,,,,,,,
18,Huile vierge de noisettes toastées - Guichard Perrachon - 250ml,3222470118680,['France'],"['Huile vierge de noisette', ""\r Traces d'autres fruits à coque et de sésame""]",[],3404,?,3404 kj(814 kcal),92,"9,2",0,0,0,0,0,['Guichard Perrachon'],D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Fruits à coques et dérivés', 'Matières grasses végétales', 'Huiles', 'Huiles de fruits à coques', 'Huiles de noisette', 'Huile vierge']",92 g,en quantité élevée,9.2 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,,,-7%,-6%,+7%,-100%,-100%,-100%,-100%,-100%,11,+6%,D,+6%,92.8%,2.3%,2.5%,1.3%,1.2%,0.0%,36,,250 ml,['Bouteille'],,2,['Fruits à coque'],Huile vierge de noisette,,,,,,,
19,Spaghetti Carbonara - 88g,5028738001071,['France'],[],[],?,518,2167 kj(518 kcal),"27,8","12,5",48,"3,2","17,1","1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88 g,,,,,,,,,,,,
20,Biothelema Acerola 960 Mg - 100 Comprimé,3760192000024,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Escalope de dinde,0212700010825,['France'],[],[],?,?,,?,,?,,?,,,,D,"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",,,,,,,,,,,,,,,,,,,,,,,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,,,,,,,"['FR 79.179.002 CE', 'Moncoutant (Deux-Sèvres, France)']",,,,,,
22,Vinaigre de cidre - Uberti,3760048990127,['France'],[],[],?,14,59 kj(14 kcal),"0,2","0,1","0,4","0,3","9,2","0,1","0,04",['Uberti'],B,"['Vinaigres', 'Vinaigres de cidre']",0.2 g,en faible quantité,0.1 g,en faible quantité,0.3 g,en faible quantité,0.1 g,en faible quantité,,-7%,-2%,+90%,+291%,-73%,-60%,+6159%,+475%,+475%,,,,,35.5%,6.3%,42.6%,12.0%,3.6%,0.0%,96,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,,
23,Antipasto Italiano,2874242034776,['France'],[],[],?,304,1272 kj(304 kcal),22,"8,1",0,0,26,"4,4","1,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['en:gluten-free'],,,,,,,,,,,,,
24,Veggie rolls,5391527074243,['France'],[],[],?,314,1314 kj(314 kcal),"19,3","10,1","27,7","2,4","6,7","1,36","0,544",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Cookie Vanille - 30g,3770011760015,['France'],[],[],?,371,1552 kj(371 kcal),19,8,40,21,10,"0,43","0,172",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Fabriqué en France'],30 g,,,,,,,,,,,,
26,Delicious Wafers,0023872002002,['France'],[],[],?,150,628 kj(150 kcal),1,1,20,13,1,20,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Frisée - Les Crudettes,3701035100655,['France'],[],[],?,?,,?,,?,,?,,,['Les Crudettes'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01', 'AB Agriculture Biologique']",,,,,,,"['EMB 13018', 'Cabannes (Bouches-du-Rhône, France)']",,,,,,
28,2 éclairs au chocolat - Leader Price,3263859725112,['France'],[],[],?,273,1142 kj(273 kcal),"13,7","8,4","29,9","18,6",6,"0,3","0,12",['Leader Price'],,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Pâtisseries', 'Éclairs', 'Éclairs au chocolat']",13.7 g,en quantité modérée,8.4 g,en quantité élevée,18.6 g,en quantité élevée,0.3 g,en quantité modérée,,+7%,+7%,+11%,+45%,-5%,-8%,+37%,-21%,-21%,16,+24%,D,+24%,,,,,,,,,,,,,,,"['EMB 14258C', 'Falaise (Calvados, France)']",['Leader Price'],,,,,
29,Pommes BIO variété Topaz - Fraisal - 6,3541600001587,"['France', 'Suisse']","[""FRAISAL os jandino d Helene Pomme d'Alsace 6 fruits Origine France varlété Topaz N°L bisg 45 05 Catl150/180g-1 kg net CERTIFIE AGRICULTURE BIOLOGIQUE 541600 OO1587 FRAISAL-F67160 Wissembourg""]",[],?,?,,?,,?,,?,,,['Fraisal'],B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Fruits rouges']",,,,,,,,,,,,,,,,,,,,,,,90.1%,0.0%,0.0%,7.2%,2.5%,0.1%,60,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01', 'AB Agriculture Biologique']",6,['Cellophane'],,,,,,,,,,,
30,gebratene Käsewurst - Schmiedbauer’s Beste - 80g,9002668011511,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,['Schmiedbauer’s Beste'],,"['Viandes', 'Charcuteries', 'en:Cut']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80 g,['Kunststoff'],,,,,,,,,,,
31,Le colombo de veau et ces légumes,3760259580049,['France'],[],[],?,131,548 kj(131 kcal),"7,3","3,2","2,3","1,1","13,7","0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Sans colorants', 'Sans conservateurs']",,,,,,,,,,,,,
32,mimi Wiener - Mühlenhof - 320g,24113366,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,['Mühlenhof'],,"['Viandes', 'Charcuteries', 'Saucissons', 'de:Brühwürstchen']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320 g,['Kunststoff'],,,,,,,,,,,
33,Proper tomato,5011673444829,['France'],[],[],?,531,2222 kj(531 kcal),29,"3,4",58,"2,6","7,1","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Jambon de Vendée,3275461004493,['France'],[],[],?,215,900 kj(215 kcal),12,4,1,1,25,4,"1,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,"Sirop de rhubarbe - Les Saveurs du Vercors - 49,8cl",3760163631011,['France'],[],[],?,?,,?,,?,,?,,,['Les Saveurs du Vercors'],B,"['Boissons', 'Sirops', 'Sirops aromatisés', 'Sirops de rhubarbe']",,,,,,,,,,,,,,,,,,,,,,,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture UE/Non UE', 'FR-BIO-01']","49,8 cl",,,,,,,,,,,,
36,Tripes mode de caen -  - 1kg,3155060010722,['France'],[],[],?,109,456 kj(109 kcal),3,"1,5","0,5","0,5",20,"1,1","0,44",,E,"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Spécialités à base de tripes', 'Tripes à la mode de Caen']",3 g,en quantité modérée,1.5 g,en quantité modérée,0.5 g,en faible quantité,1.1 g,en quantité modérée,,-13%,-6%,-8%,0%,-3%,+47%,+12%,-6%,-6%,1,-35%,B,-35%,96.2%,1.8%,0.7%,0.7%,0.4%,0.3%,8,,1 kg,,,,,,,,,,,,
37,Bollywood Party Curry,4019738010584,['France'],[],[],?,129,540 kj(129 kcal),"9,4","0,9","8,6","5,3","1,6","1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Saucisse fumé au bois de hetre,2654215023811,['France'],[],[],?,216,904 kj(216 kcal),17,17,"6,6","0,5",16,"1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Sans colorants'],,,,,,,"['FR 56.094.013 CE', 'Kervignac (Morbihan, France)']",,,,,,
39,Quart de jambon sec - Maison Milhau,2282868094003,['France'],[],[],?,226,946 kj(226 kcal),"11,8","4,2","0,5","0,4","29,5",6,"2,4",['Maison Milhau'],E,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons crus', 'Jambons secs']",11.8 g,en quantité modérée,4.2 g,en quantité modérée,0.4 g,en faible quantité,6 g,en quantité élevée,,-3%,-4%,-8%,-14%,-15%,+7%,+2%,+20%,+20%,16,-4%,D,-4%,81.4%,16.7%,0.3%,0.9%,0.5%,0.3%,7,"['Viande Française', 'Viande Porcine Française']",,,,,,,,,,,,,
40,Gommes Framboises,3760115260115,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'Sans colorants']",,,,,,,,,,,,,
41,Moutarde mi-forte,7613312000298,['France'],[],[],?,101,423 kj(101 kcal),6,"0,5","4,5",2,6,3,"1,2",,B,"['Epicerie', 'Condiments', 'Sauces', 'Moutardes', 'Moutardes mi-fortes']",6 g,en quantité modérée,0.5 g,en faible quantité,2 g,en faible quantité,3 g,en quantité élevée,,-41%,-39%,-55%,-68%,+29%,+25%,+5%,-27%,-27%,11,-10%,D,-10%,57.4%,14.5%,21.8%,4.8%,1.5%,0.0%,75,['Sans conservateurs'],,,,,,,,,,,,,
42,The,3700992001043,['France'],[],[],?,?,,?,,?,,?,,,,B,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés']",,,,,,,,,,,,,,,,,,,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,,,,,,,,,,,,,
43,Nuggets dinde,3760044393021,['France'],[],[],?,256,1071 kj(256 kcal),"15,7","3,1","14,1","1,6","14,1","1,65","0,66",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 22.147.001 CE', ""Merdrignac (Côtes-d'Armor, France)""]",,,,,,
44,Pavés de bonite à ventre rayé - Picard,3270160746217,['France'],[],[],?,116,485 kj(116 kcal),"0,6",0,"0,7",0,"26,8","0,1","0,04",['Picard'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Picard'],,,,,
45,Terrine à l'andouille,3770003617549,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Sans conservateurs'],,,,,,,,,,,,,
46,Raspberry flavour delight - Tesco,5052910308672,['France'],[],[],?,110,460 kj(110 kcal),"4,2","3,3","14,5","5,5","3,4","0,5","0,2",['Tesco'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Sans sucre ajouté'],,,,,,,,,,,,,
47,Torsades au pesto,2263851313516,['France'],[],[],?,109,456 kj(109 kcal),"4,7","1,2","11,8",1,"4,1",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Potage Gout Mais,7290010259847,['France'],[],[],?,320,1339 kj(320 kcal),14,7,3,3,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Tortillas,8718226580603,['France'],[],[],?,292,1222 kj(292 kcal),"6,4","3,3","49,7","1,6","7,9","1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Figatelli Corse LS,2603751019611,['France'],[],[],?,374,1565 kj(374 kcal),30,11,"3,5",2,22,3,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Le torchonay jambon supérieur,0209083018371,['France'],[],[],?,137,573 kj(137 kcal),"6,2","2,8","0,7","0,7","19,8","1,91","0,764",,E,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs']",6.2 g,en quantité modérée,2.8 g,en quantité modérée,0.7 g,en faible quantité,1.91 g,en quantité élevée,,+4%,+5%,+29%,+52%,+5%,+18%,-6%,+2%,+2%,11,+56%,D,+56%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,['Qualité supérieure'],,,,,,,,,,,,,
52,Marshmallows,28443384,['France'],[],[],?,334,1397 kj(334 kcal),"0,5","0,1",79,69,0,"0,02","0,008",,B,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons', 'Guimauves']",0.5 g,en faible quantité,0.1 g,en faible quantité,69 g,en quantité élevée,0.02 g,en faible quantité,,-5%,-6%,-85%,-95%,+3%,+8%,-100%,-65%,-65%,14,-11%,D,-11%,60.5%,21.9%,10.2%,5.2%,2.3%,0.0%,89,['Fabriqué en Belgique'],,,,,,,,,,,,,
53,Pain céréales - 350g,3289664232508,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350 g,,,,,,,,,,,,
54,Thé vert à l'erable,0629098100012,['France'],[],[],?,1,4 kj(1 kcal),0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Praliné lisse amandes/noisettes - La Maison des Gourmets,3308650175497,['France'],[],[],?,524,2192 kj(524 kcal),"29,6","2,2","53,3","52,5","8,2","0,004","0,002",['La Maison des Gourmets'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2239819040145,2239819040145,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 22.046.001 CE', ""Collinée (Côtes-d'Armor, France)""]",,,,,,
57,"Magret De Canard grqs, Sud-ouest Sous Skin x2 - Maison Montfort - 720g",3104544013834,['France'],"['Magret de canard cru ', 'viande origine France']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,341,1427 kj(341 kcal),30,10,"1,5","0,7",16,"0,12","0,048",['Maison Montfort'],D,"['Viandes', 'Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Volailles', 'Plats à la volaille', 'Plats au canard', 'Canards', 'Magrets de canard']",30 g,en quantité élevée,10 g,en quantité élevée,0.7 g,en faible quantité,0.12 g,en faible quantité,,+0%,+0%,+2%,0%,+20%,+4%,-11%,-93%,-93%,13,-29%,D,-29%,81.9%,9.6%,2.1%,2.2%,1.1%,3.1%,28,['IGP Sud-Ouest'],720g,['Sous vide'],,3,,,,,"['Maubourguet', 'France']",,,,
58,6 Crêpes Caramel au beurre salé - Paysan Breton,3218938826006,['France'],[],[],?,403,1686 kj(403 kcal),14,"9,8",62,34,"6,7","1,7","0,68",['Paysan Breton'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Pure Series Omega 3 Fish Oil - Bulk Powders,5060343743397,['France'],[],[],?,?,,?,,?,,?,,,['Bulk Powders'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,roasted cashews,5060038570116,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Palette salée,2617369054582,['France'],[],[],?,385,1611 kj(385 kcal),38,"13,2","0,1","0,1",11,"2,1","0,84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Mini muffins,0202309027164,['France'],[],[],?,456,1908 kj(456 kcal),25,"5,4",52,40,"4,4","0,59","0,236",,,"['Biscuits et gâteaux', 'Gâteaux', 'Muffins']",25 g,en quantité élevée,5.4 g,en quantité élevée,40 g,en quantité élevée,0.59 g,en quantité modérée,,+15%,+15%,+24%,+44%,+7%,+49%,-15%,-20%,-20%,20,+30%,E,+30%,,,,,,,,,,,,,,,,,,,,,
63,Joue de boeuf - Bigard,2222708048483,['France'],[],[],?,116,485 kj(116 kcal),"2,6","1,1","0,8","0,8",22,"0,91","0,364",['Bigard'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Petits fours financiers,3449610574506,['France'],[],[],?,452,1891 kj(452 kcal),"22,9","11,9",52,"31,6","8,1","0,13","0,052",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Tomme au poivre vert vinage,2480625017917,['France'],[],[],?,240,1004 kj(240 kcal),"13,2","8,44",0,0,31,"1,84","0,736",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Turkey Hill Plastic Jug Maple Syrup,0065928325024,['France'],[],[],?,1,4 kj(1 kcal),0,0,54,48,0,"0,01","0,004",,,"['Édulcorants', 'Sirops', 'Sirops simples', ""Sirops d'érable""]",0 g,en faible quantité,0 g,en faible quantité,48 g,en quantité élevée,0.01 g,en faible quantité,,-100%,-100%,-100%,-100%,-21%,-21%,-100%,-94%,-94%,10,-24%,C,-24%,,,,,,,,,,,,,,,,,,,,,
67,Mimolette extra vieille,0208611017329,['France'],[],[],?,405,1695 kj(405 kcal),29,20,2,2,34,3,"1,2",,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Mimolettes', 'Mimolettes extra vieilles']",29 g,en quantité élevée,20 g,en quantité élevée,2 g,en faible quantité,3 g,en quantité élevée,,+3%,+3%,-0%,-3%,+123%,+164%,+6%,+0%,+0%,20,+4%,E,+4%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,,,
68,TERRINE DE CAMPAGNE,2401011100112,['France'],[],[],?,?,,?,,?,,?,,,,,"['Viandes', 'Charcuteries', 'Produits à la viande', 'Terrines', 'Terrines de campagne']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Sans colorants', 'Sans conservateurs']",,,,,,,,,,,,,
69,"Sauce salade ""maison"" - Hero",7614200109451,['France'],[],[],?,388,1623 kj(388 kcal),41,"3,9","3,1","2,9","1,1","2,2","0,88",['Hero'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Gelato Ananas,3665147112046,['France'],[],[],?,102,427 kj(102 kcal),"0,96","0,51","24,16","22,18","4,29","0,07","0,028",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['en:gluten-free'],,,,,,,,,,,,,
71,Focaccia deux olives - Auchan,3596710435388,['France'],[],[],?,267,1117 kj(267 kcal),"8,9","1,4",40,"4,8",6,"2,2","0,88",['Auchan'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Fabriqué en Italie'],,,,,,,,['Auchan'],,,,,
72,Aperitivos,8410573101479,['France'],[],[],?,516,2159 kj(516 kcal),27,"3,1",61,"7,5",6,"1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Lazzari Arrabbiata -,8068020992233,['France'],[],"['Végétalien', 'Végétarien']",?,91,381 kj(91 kcal),"4,1","0,9","11,8",10,"0,9","0,8","0,32",,B,"['Epicerie', 'Sauces', 'Sauces pour pâtes', 'Sauces tomate', 'Sauces Arrabiata']",4.1 g,en quantité modérée,0.9 g,en faible quantité,10 g,en quantité modérée,0.8 g,en quantité modérée,,-15%,-10%,-37%,+10%,+84%,+89%,-44%,-27%,-27%,6,+52%,C,+52%,48.3%,19.8%,11.8%,11.5%,5.0%,3.5%,91,"['Bio', 'Végétarien', 'en:gluten-free', 'Végétalien', 'Produit en braille', 'Sans additifs', 'Sans conservateurs']",,,,,,,,,,,,,
