,name,bar_code,labels,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,eco_score,brand,categories,additives,allergens,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,packaging,ingredients_origins,manufacturing,traceability_code,generic_name,markets,palm_ingredients,link
125,Galettes fines aux pepites de caramel,3760009688469,,['France'],[],[],?,447,"18,2","65,6","6,1",,,,,,,,,,,,,,,,,1870 kj(447 kcal),,,"12,5",,,"26,4",,,"0,95",,"0,38",,,,,,,,,,,,,,,,,,,,,
126,Galettes fines,3760009688490,,['France'],[],[],?,482,"19,9","70,3","6,2",,,,,,,,,,,,,,,,,2017 kj(482 kcal),,,"13,8",,,"27,1",,,"0,7",,"0,28",,,,,,,,,,,,,,,,,,,,,
127,"Boite Estafette ""Douanes""",3760009688506,,['France'],[],[],?,482,"19,9","70,3","6,2",,,,,,,,,,,,,,,,,2017 kj(482 kcal),,,"13,8",,,"27,1",,,"0,7",,"0,28",,,,,,,,,,,,,,,,,,,,,
128,La plage,3760009689176,,['France'],[],[],?,408,"10,9","73,5",3,,,,,,,,,,,,,,,,,1707 kj(408 kcal),,,7,,,"49,3",,,"1,7",,"0,68",,,,,,,,,,,,,,,,,,,,,
129,Biscuit,3760009800038,,['France'],[],[],?,?,?,?,?,C,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,,,,,,,,
130,Rillettes de Dinde,3760009880047,,['France'],[],[],?,387,37,"0,5",13,D,,"['Viandes', 'Produits à tartiner', 'Charcuteries', 'Produits à tartiner salés', 'Rillettes', 'Rillettes de viande', 'Rillettes de viande blanche', 'Rillettes de volaille', 'Rillettes de dinde']",,,,37 g,en quantité élevée,11 g,en quantité élevée,0.5 g,en faible quantité,1 g,en quantité modérée,,+2%,1619 kj(387 kcal),+2%,+7%,11,-4%,-7%,"0,5",+80%,-20%,1,-24%,"0,4",-24%,18,-4%,D,-4%,74.1%,17.7%,4.6%,2.1%,1.2%,0.3%,39,,,,,"['FR 44.079.002 CE', 'Landreau (Loire-Atlantique, France)']",,,,
131,Farine de blé noir,3760009950009,,['France'],[],[],?,?,?,?,?,B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Farines', 'Farines de céréales', 'Farines de blé']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.8%,3.5%,0.0%,10.3%,8.3%,0.0%,97,,,,,,,,,
132,Fest Noz - Cidre Artisanal Breton - Brut - Les Maîtres Cidriers de Cornouaille - 75cl,3760009980013,['en:produced-in-bretagne'],['France'],"['Pur jus de pommes à cidre de vergers bretons - 5', '5% vol', ' alcool']",[],?,?,?,?,?,B,['Les Maîtres Cidriers de Cornouaille'],"['Boissons', 'Boissons alcoolisées', 'Produits artisanaux', 'Cidres', 'Alcools artisanaux', 'Cidres artisanaux', 'Cidres demi-secs', 'Cidre de Bretagne']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.6%,5.6%,37.9%,16.7%,6.5%,1.8%,53,75 cl,"['Bouteille', 'Verre']","['France', 'Bretagne']","['Bretagne', 'France']","['EMB 29174', 'Plonéour-Lanvern (Finistère, France)']",,['Noz'],,
133,Gâteaux Basques à la cerise noire - Miguelgorry,3760010090091,,['France'],[],[],?,302,"6,7","55,4",4,,['Miguelgorry'],,,,,,,,,,,,,,,1264 kj(302 kcal),,,"4,8",,,"29,5",,,"0,1",,"0,04",,,,,,,,,,,,,,,,,"['EMB 64495', 'Saint-Pée-sur-Nivelle (Pyrénées-Atlantiques, France)']",,,,
134,Pastis landais - Miguelgorry - 550g,3760010090367,['Point Vert'],['France'],"['Farine de blé ', 'antioxydant : acide ascorbique', 'œufs', 'sucre', 'sucre inverti', 'beurre', 'huile végétale ', 'coprah', 'colza', 'en proportion variable', 'lait', 'anisette', 'eau', 'levure', 'émulsifiants : E471 et E472e', 'sel', ""arôme fleur d'oranger arôme saveur vanille"", ' Décor : sucre perle enrobé ', 'sucre', 'graisse végétale de palme']","['Huile de palme', 'Non végétalien']",?,469,"28,3",47,"5,7",D,['Miguelgorry'],"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Brioches', 'Pastis landais']","['E300 - Acide ascorbique', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", ""E472e - Ester Monoacéthyltartrique de mono- et diglycérides d'acides gras""]","['Œufs', 'Gluten', 'Lait']",4,28.3 g,en quantité élevée,22.3 g,en quantité élevée,16.1 g,en quantité élevée,0.42 g,en quantité modérée,,+29%,1962 kj(469 kcal),+29%,+105%,"22,3",+193%,-8%,"16,1",-18%,-24%,"0,42",-42%,"0,168",-42%,19,+12%,E,+12%,81.5%,11.5%,4.5%,2.1%,0.3%,0.0%,56,550 g,"['Sachet', 'Plastique']",,,,Brioche aromatisée à l'anis,,['Huile de palme'],
135,Caramel a la fleur de sel de salies de bearn - Miguelgorry,3760010099117,,['France'],"['Caramel au beurre et à la fleur de sel de Salies de Béarn Inyédients: sucre ', 'stabilisants', ""' carraghénanes"", 'sim de tucose', 'fructose', 'beurre 10%', 'eau', 'fleur de sel de Salie*am a!eurs nfritionnelles moyennes pour 100g : Energie : 1817kJ433kcaI grasses : 19', '10 dont acides aras sabJl± : 12', '81 Glucides :63$ • dont sucres : 56', '41 Prfféines : 0', '8g', ': 0,37g']",['Non végétalien'],?,433,"19,1","63,9","0,8",,['Miguelgorry'],,,['Lait'],,,,,,,,,,,,1812 kj(433 kcal),,,"12,8",,,"56,4",,,"0,37",,"0,148",,,,,,,,,,,,,,,,,,,,,
136,Basquella - Miguelgorry,3760010099124,['en:palm-oil-free'],['France'],"['Sucre', 'matière grasse']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",?,524,"28,5","59,3","5,4",,['Miguelgorry'],,,,,,,,,,,,,,,2192 kj(524 kcal),,,"20,1",,,"57,6",,,"0,17",,"0,068",,,,,,,,,,,,,,,,,,,,,
137,Rousse au Malt Tourbé - Britt - 75cl,3760010130049,"['Point Vert', 'en:produced-in-bretagne', 'Déconseillé aux femmes enceintes']",['France'],"['Bière rousse au malt tourbé', ""contient du malt d'orge "", 'Gluten']",[],?,?,?,?,?,C,['Britt'],"['Boissons', 'Boissons alcoolisées', 'Produits artisanaux', 'Bières', 'Alcools artisanaux', 'Bières françaises', 'Bières bretonnes', 'Bières artisanales', 'Bières rousses']",,['Gluten'],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,75 cl,"['Bouteille', 'Verre', 'Goulot']",,['SAS BRITT Kerouel - 29910 TREGUNC'],,,"['Leclerc', 'E.Leclerc']",,
138,Dremmwe Dorée bio - SAS brasserie de Bretagne,3760010130063,['Bio'],['France'],[],[],?,?,?,?,?,C,['SAS brasserie de Bretagne'],"['Boissons', 'Boissons alcoolisées', 'Bières']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,,,,,,,,,
139,Bière de blé noir bio - Gwiniz du - 75cl,3760010130094,['Bio'],['France'],[],[],?,?,?,?,?,,['Gwiniz du'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75cl,,,,,,,,
140,Britt,3760010130322,,['France'],[],[],?,?,?,?,?,,['Britt'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,88° - Celtika - 33cl,3760010130353,"['en:produced-in-bretagne', 'Déconseillé aux femmes enceintes', ""Medaille d'or en 2010 à Strasbourg""]",['France'],"[""malt d'orge"", 'eau', 'sucre', 'levure', 'épices']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,?,?,?,C,['Celtika'],"['Boissons', 'Boissons alcoolisées', 'Bières', 'Bières françaises', 'Bières bretonnes', 'Bières blondes']",,['Gluten'],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,33 cl,"['Bouteille en verre brune', 'Capsule en metal', 'Point vert']",,"['29910', 'Trégunc', 'Bretagne', 'France']",,Bière blonde celte,['Leclerc'],,http://www.britt.fr
142,Dremmwel Stout Bio - Britt - 33cl,3760010130872,"['Bio', 'Ecocert', 'Bio européen', 'Déconseillé à certaines catégories de personnes', 'FR-BIO-01', 'Point Vert', 'Non recommandé aux femmes enceintes', 'en:produced-in-bretagne', 'AB Agriculture Biologique']",['France'],"['Eau', ""malt d'orge 'pilsen' breton*"", ""malt d'orge torréfié*"", 'houblon*', 'sucre*', 'levure ', ""* Ingrédients issus de l'agriculture biologique""]",[],?,?,?,?,?,B,"['Britt', 'Dremmwel']","['Boissons', 'Boissons alcoolisées', 'Bières']",,['Gluten'],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,33 cl,"['Bouteille', 'Verre', 'Capsule', 'Métal']",,"['France', 'Bretagne']",,,,,
143,Rosée à la fraise de Plougastel - Britt - 33cl,3760010130933,"['en:produced-in-bretagne', 'Déconseillé aux femmes enceintes']",['France'],"['Concentré naturel de fraise de Plougastel', ""malt d'orge""]",[],?,?,?,?,?,C,['Britt'],"['Boissons', 'Boissons alcoolisées', 'Bières', 'Bières françaises', 'Bières bretonnes', 'Bières aromatisées']",,['Gluten'],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,33 cl,"['Bouteille en verre brune', 'Capsule en metal', 'Point vert']",,"['Trégunc', 'France', 'Bretagne', 'Finistère']",,Bière rosée à la fraise de Plougastel,['Leclerc'],,
144,Bières de plaisir - Britt - 6x33cl,3760010131060,['Déconseillé aux femmes enceintes'],['France'],[],[],?,?,?,?,?,C,['Britt'],"['Boissons', 'Boissons alcoolisées', 'Bières', 'Produit en Bretagne']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,6x33cl,"['Étui carton à recycler', 'Bouteille verre à recycler', 'Capsule metal à recycler', 'Pensez au tri', 'Triman']",,"['Tregunc', 'France', '29910', 'Brasserie de Bretagne']",,,['Leclerc'],,
145,Bière blonde - Barbe Torte - 33cl,3760010140017,"['Point Vert', 'Déconseillé aux femmes enceintes']",['France'],"[""malt d'orge"", 'eau', 'levure', 'houblon', 'farine de sarrasin', 'sucre']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,?,?,?,C,['Barbe Torte'],"['Boissons', 'Boissons alcoolisées', 'Produits artisanaux', 'Bières', 'Alcools artisanaux', 'Bières françaises', 'Bières artisanales', 'Bières blondes']",,['Gluten'],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,33 cl,"['Bouteille', 'Verre']",,"['Brasserie Bretonne - 29910 - Trégunc', 'Finistère', 'Bretagne', 'France']","['EMB 29293G', 'Trégunc (Finistère, France)']",Bière blonde artisanale,,,
146,12 GROS Oeufs,3760010220160,,['France'],[],[],?,145,"10,3","0,7","12,3",D,,"[""Produits d'élevages"", 'Œufs']",,,,10.3 g,en quantité modérée,2.7 g,en quantité modérée,0 g,en faible quantité,0.32 g,en quantité modérée,,+10%,607 kj(145 kcal),+9%,+10%,"2,7",+12%,+3%,0,-100%,0%,"0,32",+22%,"0,128",+22%,-1,,A,,91.5%,0.0%,3.5%,2.5%,1.7%,0.8%,51,,,,,,,,,
147,Oeufs de poule,3760010220252,,['France'],[],[],?,145,"10,3","0,7","12,3",,,,,,,,,,,,,,,,,607 kj(145 kcal),,,"2,7",,,"0,7",,,"0,32",,"0,128",,,,,,,,,,,,,,,,,,,,,
148,Sirop de cassis - Les Confituriers du Vieux Chérier - 50cl,3760010230114,,['France'],"['Sucre', 'jus de cassis 40 %', 'eau']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,305,0,74,"0,7",A,['Les Confituriers du Vieux Chérier'],"['Boissons', 'Sirops', 'Sirops aromatisés', 'Sirops de cassis', 'Boissons avec sucre ajouté']",,,3,,,,,,,,,,+10%,1276 kj(305 kcal),+3%,-100%,0,-100%,+7%,73,+8%,+340%,0,-100%,0,-100%,,,,,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,50 cl,"['Bouteille', 'Verre']",,,,,['Carrefour'],,
149,Sirop de Myrtille - Les Confituriers du Vieux Chérier - 50cl,3760010230121,['Point Vert'],['France'],"['Sucre', 'jus de myrtille 40 %', 'eau']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,299,0,74,0,A,['Les Confituriers du Vieux Chérier'],"['Boissons', 'Sirops', 'Sirops aromatisés', 'Sirops de myrtille', 'Boissons avec sucre ajouté']",,,3,,,,,,,,,,-1%,1251 kj(299 kcal),-1%,-100%,0,-100%,+0%,73,+5%,-100%,0,-100%,0,-100%,,,,,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,50 cl,"['Bouteille', 'Verre']",,,,Sirop de myrtille,['Carrefour'],,
150,Sirop de griotte - Les Confitures Du Vieux Chérier,3760010230619,,['France'],[],[],?,309,0,77,0,,['Les Confitures Du Vieux Chérier'],,,,,,,,,,,,,,,1293 kj(309 kcal),,,0,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,
151,Confiture de coing - Les Confituriers du Vieux Chérier,3760010230817,,['France'],"['Purée de coing 70%,eau', 'fibre végétale', 'pectine de fruits', 'citrate tricalcique', 'sorbate de potassium', 'ace sulfane de potassium']",[],?,57,"0,3","8,8","0,3",B,['Les Confituriers du Vieux Chérier'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de coings']","['E440 - Pectines', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",,4,0.3 g,en faible quantité,0.03 g,en faible quantité,5 g,en quantité modérée,0.06 g,en faible quantité,,-74%,238 kj(57 kcal),-74%,+35%,"0,03",-26%,-84%,5,-90%,+24%,"0,06",+149%,"0,024",+149%,-9,-189%,A,-189%,38.5%,19.4%,25.9%,11.0%,4.2%,1.1%,87,,,,,,,,,
152,Délice Crémeux au chocolat au lait - Les Confituriers du Vieux Chérier - 340g,3760010230947,,['France'],"['Chocolat au lait 32% ', 'sucre 42%', 'beurre de cacao 24%', 'poudre de lait entier 22,5%', 'pâte de cacao 11,5%', 'émulsifiant : lécithine de soja', 'arôme naturel de vanille', 'crème', 'glucose', 'lait entier 13%', 'sucre', 'gélifiant : pectine']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,400,20,50,"3,2",,['Les Confituriers du Vieux Chérier'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés', 'Pâtes à tartiner', 'Pâtes à tartiner au chocolat']","['E322i - Lécithine', 'E440 - Pectines']",['Lait'],4,20 g,en quantité modérée,13 g,en quantité élevée,50 g,en quantité élevée,0.07 g,en faible quantité,,-26%,1674 kj(400 kcal),-26%,-41%,13,+66%,-2%,50,+8%,-51%,"0,07",-37%,"0,028",-37%,24,+17%,E,+17%,,,,,,,,340 g,"['Bocal', 'Verre']",,,,,['Carrefour'],,
153,"Pêche de vigne,cassis,framboise - Les Confitures Du Vieux Chérier",3760010231029,,['France'],"['purée de pêche de vigne 47% ', 'purée de pêche de vigne 90%', 'sucre 10%', 'antioxydant: acide ascorbique', 'purée de cassis 9%', 'purée de framboise 9%', 'sucre', 'gélifiants ', 'pectine', 'citrate de calcium']",[],?,190,0,45,"0,7",D,['Les Confitures Du Vieux Chérier'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures multifruits', 'Confitures de fruits rouges', 'Confitures de fruits rouges mélanges']","['E300 - Acide ascorbique', 'E440 - Pectines']",,4,0 g,en faible quantité,0 g,en faible quantité,45 g,en quantité élevée,0.03 g,en faible quantité,,-13%,795 kj(190 kcal),-13%,-100%,0,-100%,-14%,45,-11%,+28%,"0,03",+46%,"0,012",+46%,10,+5%,C,+5%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,,,,
154,Preparation de Poire Williams - Les Sanctuaires De Paray Le Monial,3760010231067,,['France'],"['ingrédients : purée de poire 25% [dont antioxydant : acide ascorbique', ""peche jaune 25% purée d'églantine 10%"", 'sucre', 'gélifiants ', 'pectine', 'citrate de calcium', ',']",[],?,64,0,12,0,,['Les Sanctuaires De Paray Le Monial'],,['E440 - Pectines'],,4,,,,,,,,,,,268 kj(64 kcal),,,0,,,12,,,"0,07",,"0,028",,,,,,,,,,,,,,,,,,,,,
155,Préparation d abricot - Les Confitures Du Vieux Chérier - 350g,3760010231128,,['France'],[],[],?,193,0,46,"0,6",B,['Les Confitures Du Vieux Chérier'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', ""Confitures d'abricot""]",,,,0 g,en faible quantité,0 g,en faible quantité,45 g,en quantité élevée,0.03 g,en faible quantité,,-12%,808 kj(193 kcal),-12%,-100%,0,-100%,-14%,45,-11%,+20%,"0,03",+36%,"0,012",+36%,10,+11%,C,+11%,38.5%,19.4%,25.9%,11.0%,4.2%,1.1%,87,350 g,,,,,,,,
156,Caramel au beurre doux - Confiture Du Vieux Cherier,3760010231180,,['France'],"['crèmo', 'sucro', ' simp de beurre doux oau', 'stabitisant : pectine', ' AU O üSì']",[],?,463,23,57,0,,['Confiture Du Vieux Cherier'],,['E440 - Pectines'],,4,,,,,,,,,,,1937 kj(463 kcal),,,11,,,51,,,"0,03",,"0,012",,,,,,,,,,,,,,,,,,,,,
157,La gaufre du nord Vergeoise - Nord Boulangerie - 450grs,3760010351000,,['France'],"['farine de blé,fondant pâtissier', 'sucre', 'sirop de glucose,eau', 'matières grasses ', 'huiles et graisses de palme et colza', ""émulsifiant : lécithine de soja E322,mono et diglycerides d'acide gras E471"", 'conservateur : sorbate de potassium E 202', 'sucre', ' acidifiant :acide citrique E330,arôme naturels', 'vergeoise', 'œufs frais,sel', 'arômes naturels']","['Huile de palme', 'Non végétalien']",?,415,"13,5","69,92","3,4",,['Nord Boulangerie'],,"['E322i - Lécithine', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique']","['Œufs', 'Gluten']",4,,,,,,,,,,,1736 kj(415 kcal),,,"5,7",,,69,,,"0,49",,"0,196",,,,,,,,,,,,,450 grs,['sachet plastique'],,,,,['détaillants'],['Huile de palme'],http://gourmandisesdunord.com
158,La gaufre du Nord,3760010351055,,['France'],[],[],?,415,"13,5","69,9","3,4",,,,,,,,,,,,,,,,,1736 kj(415 kcal),,,"5,7",,,"69,9",,,"0,49",,"0,196",,,,,,,,,,,,,,,,,,,,,
159,Creamy - Skippy - 340g,3760010600,,['France'],"['cacahuètes grillées 90%', 'sucre', 'huile de palme hydrogénée', 'sel']","['Huile de palme', 'Végétalien', 'Végétarien']",2697,?,"51,6","18,8","25,3",D,"['Skippy', 'Hormel foods corporation']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Produits à tartiner', 'Fruits à coques et dérivés', 'Pâtes à tartiner végétales', ""Purées d'oléagineux"", 'Beurres de légumineuses', 'Beurres de fruits à coques', 'Beurres de cacahuètes']",,['Arachides'],4,51.6 g,en quantité élevée,10 g,en quantité élevée,10.9 g,en quantité modérée,1.13 g,en quantité modérée,+7%,,2697 kj(645 kcal),+8%,+7%,10,+20%,+31%,"10,9",+72%,+3%,"1,13",+112%,"0,452",+112%,10,-9%,C,-9%,74.9%,2.4%,8.8%,4.1%,6.0%,3.7%,57,340g,"['Pot', 'Plastique']",,"['Austin', 'USA']",,Beurre de cacahuète crémeux,['Carrefour'],['Huile de palme'],
160,Spray Assaisonnement - Vinaigre Balsamique - Food&co,3760010610121,,['France'],"['moût de raisin concentré', 'vinaigre de vint colorant 50d', 'Contient des sulfites']",[],?,72,"0,01","12,66","0,7",,['Food&co'],,,['Anhydride sulfureux et sulfites'],,,,,,,,,,,,301 kj(72 kcal),,,0,,,"12,66",,,"0,07",,"0,028",,,,,,,,,,,,,,,,,"['FR 85.034.005 CE', 'Bournezeau (Vendée, France)']",,,,
161,Les petites sardines à l'huile d'olive -,3760010610541,['Omega-3'],['France'],[],[],?,220,16,0,19,D,,"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Sardines', 'Sardines en conserve', ""Sardines à l'huile"", ""Sardines à l'huile d'olive""]",,,,16 g,en quantité modérée,3 g,en quantité modérée,0 g,en faible quantité,1.2 g,en quantité modérée,,-11%,920 kj(220 kcal),-11%,-10%,3,-22%,-100%,0,-100%,-11%,"1,2",+33%,"0,48",+33%,4,-29%,C,-29%,26.2%,30.3%,28.3%,13.4%,0.9%,0.9%,42,,,,,,,,,
162,Spray assaisonnement Huile d'olive vierge extra,3760010611555,,['France'],[],[],?,822,91,0,0,D,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",,,,91 g,en quantité élevée,14 g,en quantité élevée,0 g,en faible quantité,,,,-4%,3439 kj(822 kcal),-4%,-5%,14,0%,,0,,,,,,,,,,,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,,
163,Spray assaisonnement au piment - Brume - 100ml,3760010611562,,['France'],"[""Huile d'olive "", '99,2%', 'arôme : piment ', '0,8%']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",3378,?,"91,3",0,0,,"['Brume', 'Food&Co']","['Epicerie', 'Condiments', 'Assaisonnements']",,,4,91.3 g,en quantité élevée,13.3 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,+231%,,3378 kj(807 kcal),+274%,+885%,"13,3",+939%,-100%,0,-100%,-100%,0,-100%,0,-100%,15,+35%,D,+35%,,,,,,,,100 ml,['aérosol'],,,"['FR 85.034.005 CE', 'Bournezeau (Vendée, France)']",Assaisonnement en spray,['Franprix 34 rue Hemet 93300 Aubervilliers'],,
164,Spray assaisonnement à la truffe - Brume - 100ml,3760010611579,,['France'],"[""Huile d'olive "", '99,2%', 'arôme : truffe ', '0,8%']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",3378,?,"91,3",0,0,,"['Brume', 'Food&Co']","['Epicerie', 'Condiments', 'Assaisonnements']",,,4,91.3 g,en quantité élevée,13.3 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,+231%,,3378 kj(807 kcal),+274%,+885%,"13,3",+939%,-100%,0,-100%,-100%,0,-100%,0,-100%,15,+35%,D,+35%,,,,,,,,100 ml,['aérosol'],,,"['FR 85.034.005 CE', 'Bournezeau (Vendée, France)']",Assaisonnement en spray,['Franprix 34 rue Hemet 93300 Aubervilliers'],,
165,Pizzas jambon fromage - Comptoir M,3760010629505,['en:gluten-free'],['France'],"['Composition & ingrédients Mélange panifiable sans gluten ', 'amidon de maïs', 'OEUF', 'dextrose', 'stabilisant E-415', 'antioxydant E-300', ""régulateur d'acidité E-341i,sel"", 'préparation lactée à la mozzarella: protéines de LAIT', 'matière grasse végétale ', 'palme', 'mozzarella', 'amidon modifié', 'sel', 'émulsifiants ', 'E-331', 'E-339 et E-452', 'stabilisants ', 'E-407', 'E-440 et E-464', ""correcteur d'acidité "", 'E-330', ' et antiagglomérant ', 'amidon de maïs', ' jambon cuit standard ', 'jambon', 'eau', 'sel', 'dextrose', 'LACTOSE', 'stabilisants ', 'E-451', 'E-420', 'antioxydants ', 'E-331', 'E-316', 'gélifiant ', 'Carraghénanes', 'arômes et conservateur ', 'E-250', 'eau', 'tomate concassée ', 'tomate', 'sel et régulateur de ph : acide citrique', 'margarine végétale ', 'matières grasses de palme', 'coco', 'soja', 'tournesol en proportion variable', 'eau', 'émulsifiant E-471', 'lécithines', 'sel', 'acidifiant ', 'E-330', 'arômes', 'conservateur ', 'E-202', ' et colorant: carotènes', 'OEUF pasteurisé ', 'OEUF', 'conserva - teur : sorbate de potassium', 'acide citrique', 'levure fraiche', 'sel', 'origan et conservateur ', 'Propionate de calcium', ' Ce produit a été élaboré dans un atelier qui utilise des FRUITS A COQUE du POISSON ainsi que des ingrédients contenant du SOJA et de la MOUTARDE']","['Huile de palme', 'Non végétalien', 'Non végétarien']",?,230,"7,6",32,8,D,['Comptoir M'],"['Plats préparés', 'Produits à la viande', 'Pizzas tartes salées et quiches', 'Plats préparés à la viande', 'Pizzas', 'Plats au porc', 'Pizza jambon fromage']","['E415 - Gomme xanthane', 'E300 - Acide ascorbique', 'E341i - Phosphate monocalcique', 'E14XX - Amidons modifiés', 'E331 - Citrates de sodium', 'E339 - Phosphates de sodium', '', 'Risque élevé de sur-exposition', 'E452 - Polyphosphates', '', 'Risque élevé de sur-exposition', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E440 - Pectines', 'E464 - Hydroxypropylméthylcellulose', 'E330 - Acide citrique', 'E451 - Triphosphates', '', 'Risque élevé de sur-exposition', 'E420 - Sorbitol', 'E316 - Érythorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E322 - Lécithines', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E160 - Caroténoïdes', 'E282 - Propionate de calcium']","['Œufs', 'Poisson', 'Lait', 'Moutarde', 'Soja']",4,7.6 g,en quantité modérée,4.1 g,en quantité modérée,2.2 g,en faible quantité,2.2 g,en quantité élevée,,+5%,962 kj(230 kcal),+4%,+12%,"4,1",+20%,+16%,"2,2",-25%,-24%,"2,2",+56%,"0,88",+56%,15,+90%,D,+90%,65.3%,14.8%,5.7%,4.3%,2.1%,7.8%,60,,,,,,,,['Huile de palme'],
