,name,bar_code,labels,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,eco_score,brand,categories,additives,allergens,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,packaging,ingredients_origins,manufacturing,traceability_code,generic_name,markets,palm_ingredients,link
12,Rillettes  cabillaud tourteau wakame - L'Atelier du Poissonnier,3760007090356,,['France'],[],[],?,193,"14,7","1,6","13,3",D,"[""L'Atelier du Poissonnier""]","['Viandes', 'Produits de la mer', 'Produits à tartiner', 'Poissons', 'Plats préparés', 'Charcuteries', 'Produits à tartiner salés', 'Rillettes', 'Préparations de poisson', 'Plats préparés au poisson', 'Rillettes de poissons', 'Rillettes de cabillaud', 'en:preparations-made-from-fish-meat']",,,,14.7 g,en quantité modérée,8.2 g,en quantité élevée,1.4 g,en faible quantité,0.8 g,en quantité modérée,,+7%,808 kj(193 kcal),+7%,+5%,"8,2",+18%,-13%,"1,4",+36%,+21%,"0,8",-26%,"0,32",-26%,13,+15%,D,+15%,74.4%,12.5%,3.8%,7.2%,1.7%,0.5%,51,,,,,,,,,
13,"Crackers tomate, ail et pinent",3760007090431,,['France'],[],[],?,441,12,72,10,,,,,,,,,,,,,,,,,1845 kj(441 kcal),,,"4,1",,,"0,6",,,2,,"0,8",,,,,,,,,,,,,,,,,,,,,
14,Crackers classico - L'Atelier du Poissonnier,3760007090486,['Point Vert'],['France'],[],[],?,423,10,72,10,,"[""L'Atelier du Poissonnier""]",,,,,,,,,,,,,,,1770 kj(423 kcal),,,"1,5",,,"0,9",,,"1,5",,"0,6",,,,,,,,,,,,,,,,,,,,,
15,Rillettes à la langouste et au foie gras - L'Atelier du Poissonnier,3760007092114,,['France'],[],[],?,0,0,0,0,D,"[""L'Atelier du Poissonnier""]","['Produits de la mer', 'Produits à tartiner', 'Poissons', 'Produits à tartiner salés', 'Rillettes', 'Préparations de poisson', 'Rillettes de poissons', 'Rillettes de crustacés', 'Rillettes de langoustine']",,,,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,,,-100%,0 kj(0 kcal),-100%,-100%,0,-100%,-100%,0,-100%,-100%,,,,,,,,,74.4%,12.5%,3.8%,7.2%,1.7%,0.5%,51,,,,,,,,,
16,Rillettes de rouget barbet au piment d'espelette - L'Atelier du Poissonnier,3760007092398,,['France'],[],[],?,185,"15,8","1,6",9,D,"[""L'Atelier du Poissonnier""]","['Produits de la mer', 'Produits à tartiner', 'Poissons', 'Produits à tartiner salés', 'Rillettes', 'Préparations de poisson', 'Rillettes de poissons']",,,,15.8 g,en quantité modérée,7.1 g,en quantité élevée,1.2 g,en faible quantité,1.1 g,en quantité modérée,,-16%,774 kj(185 kcal),-16%,-7%,"7,1",+25%,-29%,"1,2",+20%,-34%,"1,1",+1%,"0,44",+1%,13,+34%,D,+34%,74.4%,12.5%,3.8%,7.2%,1.7%,0.5%,51,,,,,,,,,
17,"Rillettes De limande,Citron Poivre De MALABAR - L'Atelier du Poissonnier",3760007092404,,['France'],[],[],?,198,"16,6","2,3","9,8",D,"[""L'Atelier du Poissonnier""]","['Viandes', 'Produits de la mer', 'Produits à tartiner', 'Poissons', 'Plats préparés', 'Charcuteries', 'Produits à tartiner salés', 'Rillettes', 'Préparations de poisson', 'Plats préparés au poisson', 'Rillettes de poissons', 'en:preparations-made-from-fish-meat', 'Rillettes de Limande']",,,,16.6 g,en quantité modérée,10.6 g,en quantité élevée,1.4 g,en faible quantité,1 g,en quantité modérée,,-10%,828 kj(198 kcal),-10%,-2%,"10,6",+86%,+2%,"1,4",+41%,-28%,1,-8%,"0,4",-8%,16,+65%,D,+65%,74.4%,12.5%,3.8%,7.2%,1.7%,0.5%,51,,,,,,,,,
18,Soupe de poisson à l'huile d'olive et au safran - L'Atelier du Poissonnier,3760007094002,,['France'],[],[],?,62,"3,9","1,1","5,4",E,"[""L'Atelier du Poissonnier""]","['Plats préparés', 'Soupes', 'Soupes à réchauffer', 'Soupes de poissons']",,,,3.9 g,en quantité modérée,0.5 g,en faible quantité,0.7 g,en faible quantité,1.1 g,en quantité modérée,,+29%,259 kj(62 kcal),+30%,+105%,"0,5",+11%,-40%,"0,7",+8%,+4%,"1,1",+25%,"0,44",+25%,1,+15%,B,+15%,89.9%,2.6%,1.2%,5.2%,0.8%,0.3%,25,,,,,,,,,
19,Soupe cremeuse de moules - L'Atelier du Poissonnier,3760007094019,,['France'],[],[],?,76,"5,2","2,4","3,8",,"[""L'Atelier du Poissonnier""]",,,,,,,,,,,,,,,318 kj(76 kcal),,,"3,2",,,1,,,"0,8",,"0,32",,,,,,,,,,,,,,,,,,,,,
20,Soupe de crustace - L'Atelier du Poissonnier,3760007094026,,['France'],[],[],?,93,6,"2,6","7,2",,"[""L'Atelier du Poissonnier""]",,,,,,,,,,,,,,,389 kj(93 kcal),,,"0,9",,,"0,5",,,"0,8",,"0,32",,,,,,,,,,,,,,,,,,,,,
21,Soupe de poisson - L Atelier Du Poissonnier - 1L,3760007095009,,['France'],[],[],"257,4",?,"3,9","1,1","5,4",E,['L Atelier Du Poissonnier'],"['Plats préparés', 'Soupes', 'Soupes à réchauffer', 'Soupes de poissons']",,,,3.9 g,en quantité modérée,0.5 g,en faible quantité,0.7 g,en faible quantité,1.1 g,en quantité modérée,+32%,,"257,4 kj(62 kcal)",+29%,+105%,"0,5",+11%,-40%,"0,7",+8%,+4%,"1,1",+25%,"0,44",+25%,1,+15%,B,+15%,89.9%,2.6%,1.2%,5.2%,0.8%,0.3%,25,1 L,,,,"['FR 50.003.141 CE', 'Agon-Coutainville (Manche, France)']",,,,
