,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,packaging,brand,labels,ingredients_origins,manufacturing,traceability_code,markets,quantity,link,additives,allergens,nova_score,palm_ingredients,generic_name,brand_owner,origin_detail
564,Mangue,2868532017518,['France'],[],[],?,0,"0,5","15,3","0,7",E,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Fruits tropicaux', 'Mangues']",0.5 g,en faible quantité,0.01 g,en faible quantité,12.9 g,en quantité élevée,,,,-100%,0 kj(0 kcal),-100%,+40%,"0,01",-76%,+7%,"12,9",+5%,+14%,,,,,,,,,15.0%,0.0%,0.0%,83.7%,1.0%,0.3%,25,,,['Sans conservateurs'],,,,,,,,,,,,,
565,Pain de dieppe,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
566,Mortadelle a la truffe,2293838002508,['France'],[],[],?,271,23,"0,1",16,,,,,,,,,,,,,1134 kj(271 kcal),,,9,,,"0,1",,,"0,96",,"0,384",,,,,,,,,,,,,,,,,,,,,,,,,,,,
567,Houmous,3760301680055,['France'],[],[],?,333,"28,8","10,4","5,4",,,,,,,,,,,,,1393 kj(333 kcal),,,"3,3",,,"0,81",,,"0,97",,"0,388",,,,,,,,,,,,,,,,,,,,,,,,,,,,
568,Houmoud betterave,3441260001326,['France'],[],[],?,170,10,14,"4,4",,,,,,,,,,,,,711 kj(170 kcal),,,"2,5",,,"8,5",,,"0,56",,"0,224",,,,,,,,,,,,,,,,,,,,,,,,,,,,
569,Crème de piment des oiseaux,3760063320183,['France'],[],[],?,228,17,11,"3,5",,,,,,,,,,,,,954 kj(228 kcal),,,"2,2",,,"3,9",,,"0,9",,"0,36",,,,,,,,,,,,,,,,,,"['EMB 37203C', 'Rochecorbon (Indre-et-Loire, France)']",,,,,,,,,,
570,KLAMATH BIO,3476500880850,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
571,Gaufre liégeoise pépite chocolat -,4016000014158,['France'],[],[],?,434,22,52,7,C,"['Biscuits et gâteaux', 'Pâtisseries', 'Gaufres']",22 g,en quantité élevée,11 g,en quantité élevée,22 g,en quantité élevée,1.1 g,en quantité modérée,,-4%,1816 kj(434 kcal),-3%,+3%,11,+6%,-9%,22,-28%,+16%,"1,1",+56%,"0,44",+56%,23,+6%,E,+6%,77.1%,12.7%,5.0%,2.6%,2.6%,0.0%,66,,,,,,,,,,,,,,,,
572,Crostatine integrali alle more,8003781277403,['France'],[],[],?,179,16,65,"1,3",,,,,,,,,,,,,749 kj(179 kcal),,,16,,,65,,,,,,,,,,,,,,,,,,,,['Sans huile de palme'],,,,,,,,,,,,,
573,Boisson Amande - Bjorg - 1L,3229820801926,['France'],[],[],171,41,"1,9","5,4","0,5",D,"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Boissons à base de végétaux', 'Substitut du lait', 'Boissons végétales', 'Boissons végétales de fruits à coque', ""Laits d'amande""]",1.9 g,en quantité modérée,0.3 g,en faible quantité,4 g,en quantité modérée,0.05 g,en faible quantité,+18%,+8%,171 kj(41 kcal),+8%,-11%,"0,3",+21%,+45%,4,+45%,-42%,"0,05",-43%,"0,02",-43%,0,-100%,B,-100%,82.5%,2.9%,5.0%,5.8%,2.9%,0.8%,27,['Brique'],['Bjorg'],"['Bio', 'Bio européen', 'Nutriscore', 'Nutriscore B', 'AB Agriculture Biologique']",,,,,1 L,,,,,,,,
574,Filets de Poulet fermier blanc - Licques - x2,0248243046779,['France'],[],[],?,?,?,?,?,C,"['Viandes', 'Volailles', 'Poulets']",,,,,,,,,,,,,,,,,,,,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,['Barquette'],['Licques'],,['France'],,,,x2,,,,,,,,
575,Desmodium -  - 30gellules,3160920644801,['France'],[],"['Végétalien', 'Végétarien']",?,?,?,?,?,,['Compléments alimentaires'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Végétarien', 'Végétalien', 'Fabriqué en France']",,,,,30 gellules,,,,,,,,
576,"Tournedos de Canard -  - 0,216kg (x2)",0223318033915,['France'],['Magret de canard'],"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,?,?,?,?,C,"['Viandes', 'Volailles', 'Canards', 'Viande de canard avec peau', 'Tournedos de magret de canard']",,,,,,,,,,,,,,,,,,,,,,,,,,,,83.0%,9.4%,2.7%,2.7%,1.4%,0.9%,37,"['Barquette plastique', 'film plastique']",,"['Sans antibiotique', 'Viande Française', 'Volaille Française', 'Sans OGM']",['France'],,"['FR 71.536.001 CE', 'Terrans (Saône-et-Loire, France)']",,"0,216kg (x2)",,,,1,,,,
577,macarons amandes enrobés de chocolat - le père craquant - 80gr,3247222140801,['France'],"['MACARONS AMANDES enrobés de chocolet Ingradien ts: sucre', 'g096', ""blance d'OBufe"", 'tarine amandes ble', ' bie huile de tournesol', 'arôme: amande amère', 'anticaygene de acide ascorbique', "" Traces éventuelles d'autres fruite à coques"", 'chocolat Vairhona Les informations en gras sont destinées aux personnes sllergiques ou intolérantes', ' A consommar de práférence avant fin: 04/2021 LOT N° 273 Poids net 80 g 3 2472221 40801 Le Père Craquant - BP 7-26340 Saillans 04 75 21 E2 44']",[],?,?,?,?,?,D,"['Desserts', 'Biscuits et gâteaux', 'Pâtisseries', 'Macarons', 'Gâteau sec']",,,,,,,,,,,,,,,,,,,,,,,,,,,,88.9%,5.7%,2.0%,2.2%,1.2%,0.0%,37,['Plastique'],['le père craquant'],,,['Saillans'],,['gam vert'],80 gr,,,,4,,,,
578,Ferme & Fondant Citron - Andros,3608580055761,['France'],[],[],?,92,4,"13,5","0,5",,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts']",4 g,en quantité modérée,3.4 g,en quantité modérée,8.4 g,en quantité modérée,,,,0%,385 kj(92 kcal),+0%,+22%,"3,4",+66%,+23%,"8,4",-17%,-87%,,,,,,,,,,,,,,,,,['Andros'],,,,,,,,,,,,,,
579,Chaussons aux pommes pur beurre - Leclerc - x4,,['France'],"['Pate 58', '5% : farine de BLE,BEURRE 21,6%,eau,sel', '\rGarniture 40%:purée de pommes concentrée 20%,morceaux de pommes 13%,sirop de glucose-Fructose', 'sucre ', '\rDorure 1', '5%:DEUFS', ' Traces de S0JA et fruits à coque']",['Non végétalien'],?,304,18,30,"3,6",B,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Chaussons aux pommes']",18 g,en quantité modérée,12 g,en quantité élevée,10 g,en quantité modérée,0.53 g,en quantité modérée,,-3%,1272 kj(304 kcal),-4%,0%,12,+4%,-9%,10,-6%,-8%,"0,53",-11%,"0,212",-11%,17,0%,D,0%,75.3%,14.7%,6.1%,3.4%,0.5%,0.0%,75,['Plastique'],['Leclerc'],,,,,,x4,,,"['Gluten', 'Lait']",4,,,,
580,Spaghetti di liquirizia confezione,8000279930031,['France'],[],[],?,299,"0,3","77,1","3,4",,,,,,,,,,,,,1251 kj(299 kcal),,,"0,3",,,"38,9",,,"0,5",,"0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,
581,Médaillon de Pangasius,5415195017453,['France'],[],[],?,70,"1,3","0,01","14,6",,,,,,,,,,,,,293 kj(70 kcal),,,"0,5",,,"0,01",,,"0,5",,"0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,
582,Scarola surgelati,8003495104163,['France'],[],[],?,16,0,"1,8","1,2",,,,,,,,,,,,,67 kj(16 kcal),,,0,,,1,,,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,
583,Lait de coco gingembre citronnelle,3760311990403,['France'],[],[],?,175,17,4,"1,5",,,,,,,,,,,,,732 kj(175 kcal),,,16,,,"2,1",,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,,
584,Vinaigre Balsamique De Modena,8033813740810,['France'],[],[],?,180,0,40,"1,1",,,,,,,,,,,,,753 kj(180 kcal),,,0,,,40,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
585,Metka,2205630003157,['France'],[],[],?,278,"24,63","2,3","11,8",,,,,,,,,,,,,1163 kj(278 kcal),,,"9,5",,,"0,6",,,"2,88",,"1,152",,,,,,,,,,,,,,,,,,"['FR 62.727.002 CE', 'Ruitz (Pas-de-Calais, France)']",,,,,,,,,,
586,Cervelas - Dufaure & Fils,20276065,['France'],"['Viande de porc 85%', 'eau', 'sel', 'stabilisants: disphosphates polyphosphates', 'sirop de glucose', 'oignon', 'gras de porc', 'antioxydants: enythoa Sadum-acide ascorbique', 'acidifiants : acide citrique - gucono-belta atre atimes ', 'dont céleri', ""extraits d'épices"", 'exhausteur de goût: monogidave te sadum', 'lactose', 'ail', 'épices ', 'dont célerî', 'conservateur: nitrite de sodiumcet amins', ' Porc origine France', ' Boyau non comestible']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",?,288,26,"0,6",13,E,"['Viandes', 'Charcuteries', 'Saucisses', 'Cervelas']",26 g,en quantité élevée,10 g,en quantité élevée,0.6 g,en faible quantité,2.29 g,en quantité élevée,,+6%,1205 kj(288 kcal),+7%,+9%,10,+18%,-53%,"0,6",-29%,+4%,"2,29",+9%,"0,916",+9%,22,+13%,E,+13%,84.8%,9.7%,1.8%,1.2%,0.7%,1.9%,15,['Film en plastique'],['Dufaure & Fils'],,,,,,,,['E330 - Acide citrique'],['Lait'],4,,,,
587,Pâté Basque au piment d’Espelette,3760133675199,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
588,Olio extra vergine di oliva fruttato intenso,8033373572937,['France'],[],[],?,824,"91,6",0,0,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",91.6 g,en quantité élevée,15.2 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,,-4%,3448 kj(824 kcal),-4%,-4%,"15,2",+9%,,0,,,0,-100%,0,-100%,7,+14%,C,+14%,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,,,,,,,,,
589,Fourme d'Ambert affinage 40 jours,2230100001678,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
590,Pignon de pin,3700056713677,['France'],[],[],?,702,"64,2","14,3","18,3",,,,,,,,,,,,,2937 kj(702 kcal),,,"6,55",,,"4,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
591,Pizza Nordique,0208734045261,['France'],[],[],?,1272,20,16,15,,,,,,,,,,,,,5322 kj(1272 kcal),,,11,,,"3,3",,,"1,3",,"0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,
592,Strawberry jam,9300633988418,['France'],[],[],?,42,"0,1","66,3",22,,,,,,,,,,,,,176 kj(42 kcal),,,"0,1",,,"9,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
593,La tierra bio - Malongo,0972210151868,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Malongo'],,,,,,,,,,,,,,
594,Raw organic protein,0658010116060,['France'],[],[],?,379.3103,"8,621","6,897","75,862",,,,,,,,,,,,,1587 kj(379 kcal),,,0,,,0,,,"1,552",,"0,621",,,,,,,,,,,,,,,,,,,,,,,,,,,,
595,Ginseng light,8033406476072,['France'],[],[],?,239.3,"16,7","71,5","4,2",,,,,,,,,,,,,1001 kj(239 kcal),,,"16,5",,,"3,8",,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
596,Manuka Honig,9421023628018,['France'],[],[],?,0,?,?,?,,,,,,,,,,,,,0 kj(0 kcal),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
597,Galbi bontàlatte crema al caramello,8000430215816,['France'],[],[],?,105,"3,4",16,"2,7",,,,,,,,,,,,,439 kj(105 kcal),,,"2,4",,,12,,,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,
598,Smart Sauce BBQ,8718774040499,['France'],[],[],?,25,"0,2","4,3","0,4",B,"['Epicerie', 'Sauces', 'Sauces barbecue']",0.2 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,1.6 g,en quantité élevée,,-84%,105 kj(25 kcal),-84%,-79%,0,-100%,-86%,0,-100%,-55%,"1,6",-21%,"0,64",-21%,7,-52%,C,-52%,42.3%,24.8%,16.7%,9.7%,5.1%,1.3%,92,,,,,,,,,,,,,,,,
599,Bouchées de Blé & Pois Façon Orientale - U - 200g,3256228115027,['France'],"['Eau', 'protéines de blé texturées déshydratées 16% ', 'protéines de blé', 'farine de blé', 'oignons 10%', 'huiles végétales ', 'tournesol', 'colza', 'protéines de pois déshydratées 8%', 'tomate double concentré 3%', ""blanc d'œuf en poudre"", 'amidon', 'coriandre 1,5%', 'arôme naturel', 'vinaigre', 'fibres de blé ', 'fibres de blé et de psyllium', 'mix ras el hanout ', 'curry', 'cumin', 'ail', 'anis', 'cannelle', 'coriandre', 'fenouil', 'gingembre', 'girofle', 'curcuma', ' 0,7%', 'ail déshydraté', 'poudre de jus de betterave rouge ', 'jus concentré de betterave rouge', 'maltodextrine', ""correcteur d'acidité : E330"", ""extrait de malt d'orge"", 'poivre', ' [% exprimés sur la totalité du produit]']",['Non végétalien'],?,200,"7,8",12,19,,,,,,,,,,,,,837 kj(200 kcal),,,"0,8",,,"1,6",,,"0,87",,"0,348",,,,,,,,,,,,,"['Plastique', 'Carton', 'Barquette', 'Film en plastique']",['U'],"['Sans arômes artificiels', 'Emballage responsable', 'Entreprise de france']",,,['FSC-C113115'],['super u'],200g,,['E330 - Acide citrique'],['Gluten'],4,,,,
600,Jambon cuit superieur Aveyron,2693037035626,['France'],[],[],?,171,10,"0,6",20,,,,,,,,,,,,,715 kj(171 kcal),,,"2,4",,,"0,6",,,"1,9",,"0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,
601,Purée de noisette grillé et chocolat,2730384003486,['France'],[],[],?,660,"57,6","17,1",12,,,,,,,,,,,,,2761 kj(660 kcal),,,0,,,"15,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
602,Parmigiano reggiano oltre 30 mesi DOP,8005821030474,['France'],[],[],?,402,30,0,32,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Parmigiano Reggiano']",30 g,en quantité élevée,20 g,en quantité élevée,0 g,en faible quantité,1.6 g,en quantité élevée,,+0%,1682 kj(402 kcal),+1%,+1%,20,+1%,-100%,0,,-1%,"1,6",0%,"0,64",0%,17,+2%,D,+2%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,,,,,
603,Vollgran Weizenkeime,4011396112150,['France'],[],[],?,359,"10,6",30,28,,,,,,,,,,,,,1502 kj(359 kcal),,,"2,2",,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
604,Goslank,8717953291523,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
605,Le Croque-Monsieur BISTROT,6209106384043,['France'],[],[],?,214,11,19,10,,,,,,,,,,,,,895 kj(214 kcal),,,"7,2",,,"2,3",,,"1,1",,"0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,
606,Abricot sec,2609842033191,['France'],[],[],?,283,"0,5","62,6","3,4",D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Abricots secs']",0.5 g,en faible quantité,0 g,en faible quantité,53.4 g,en quantité élevée,0 g,en faible quantité,,+8%,1184 kj(283 kcal),+8%,+3%,0,-100%,+8%,"53,4",+18%,+10%,0,-100%,0,-100%,6,+73%,C,+73%,45.6%,45.5%,2.7%,4.3%,1.9%,0.0%,38,,,,,,,,,,,,,,,,
607,Noix de pécan,2600161022705,['France'],[],[],?,760,72,"13,9","9,2",,,,,,,,,,,,,3180 kj(760 kcal),,,"6,2",,,4,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
608,Croissants au beurre,0220533013784,['France'],[],[],?,424,23,43,"7,8",C,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Croissants', 'Croissants au beurre']",23 g,en quantité élevée,17 g,en quantité élevée,5.6 g,en quantité modérée,1.2 g,en quantité modérée,,+10%,1774 kj(424 kcal),+10%,+6%,17,+20%,+5%,"5,6",-21%,+4%,"1,2",+22%,"0,48",+22%,21,+12%,E,+12%,78.5%,13.2%,5.3%,2.6%,0.4%,0.0%,69,,,,,,,,,,,,,,,,
609,Concentré de réglisse anis,11098302,['France'],[],[],?,33,"0,9","4,2","2,1",,,,,,,,,,,,,138 kj(33 kcal),,,"0,1",,,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
610,900008366,900008366,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
611,Cuisse de poulet,3531940428007,['France'],[],[],?,114,"4,05",0,"19,3",,,,,,,,,,,,,477 kj(114 kcal),,,"1,03",,,0,,,"0,23",,"0,092",,,,,,,,,,,,,,,,,,,,,,,,,,,,
612,Figues & Vanille de Madagascar Bio,3760302930142,['France'],[],[],?,243,"0,58",58,"0,8",,,,,,,,,,,,,1017 kj(243 kcal),,,"0,1",,,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
613,Yaourts,56563450,['France'],[],[],?,88,"3,2","10,8",3,,,,,,,,,,,,,368 kj(88 kcal),,,"2,1",,,"10,8",,,"0,12",,"0,048",,,,,,,,,,,,,['Pot en plastique'],,,,,,,,,,,,,,,
614,Palmbräu Natur Bier,4100390026003,['France'],[],[],?,0,?,?,?,,,,,,,,,,,,,0 kj(0 kcal),,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
615,Hakka noodles masala,8901595972159,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
616,Cahier polypro réf : 79859,3266810798590,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
617,Œuf à cacher - Réauté,3710200000003,['France'],[],[],?,545,36,44,"5,7",,,,,,,,,,,,,2280 kj(545 kcal),,,22,,,41,,,,,,,,,,,,,,,,,,,['Réauté'],,,,,,,,,,,,,,
618,Biere - Asahi breweries limited,8008440449108,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,['Asahi breweries limited'],,,,,,,,,,,,,,
619,Girasoli - Turini,3564706651692,['France'],[],[],?,273,"4,9",43,11,,,,,,,,,,,,,1142 kj(273 kcal),,,"4,9",,,34,,,"0,97",,"0,388",,,,,,,,,,,,,,['Turini'],,,,,,,,,,,,,,
620,Akpi,2500013300008,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
621,Soupe de poissons,3547350003789,['France'],[],[],?,45.5,"1,7","3,19","4,35",E,"['Plats préparés', 'Soupes', 'Soupes à réchauffer', 'Soupes de poissons']",1.7 g,en faible quantité,1 g,en faible quantité,0.5 g,en faible quantité,1.22 g,en quantité modérée,,-5%,190 kj(45 kcal),-5%,-11%,1,+123%,+75%,"0,5",-23%,-16%,"1,22",+38%,"0,488",+38%,3,+244%,C,+244%,89.9%,2.6%,1.2%,5.2%,0.8%,0.3%,25,,,,,,,,,,,,,,,,
622,Verveine,3664887004703,['France'],[],[],?,1,0,"0,2","0,1",,,,,,,,,,,,,4 kj(1 kcal),,,0,,,0,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
623,Fideos Con Sabor A Carne No Picante,8801073839830,['France'],[],[],?,0,22,58,"7,7",,,,,,,,,,,,,0 kj(0 kcal),,,"10,9",,,3,,,"6,3",,"2,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,
624,CACIOTTA FROMAGE MIXTE a LA TRUFFE,8000005063774,['France'],[],[],?,349,28,"0,3",24,,,,,,,,,,,,,1460 kj(349 kcal),,,19,,,"0,2",,,"1,08",,"0,432",,,,,,,,,,,,,,,,,,,,,,,,,,,,
625,Tamsüt,5706792153225,['France'],[],[],?,300,26,"1,5",15,,,,,,,,,,,,,1255 kj(300 kcal),,,"17,2",,,"1,5",,,3,,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,
626,Emmentale switzerland dop,8001230004273,['France'],[],[],?,395,31,0,29,,,,,,,,,,,,,1653 kj(395 kcal),,,22,,,0,,,"0,5",,"0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,
627,Radis,2868380007488,['France'],[],[],?,10,"0,05","1,1","0,7",,,,,,,,,,,,,42 kj(10 kcal),,,"0,01",,,"1,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
628,Clean,3760001764604,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
629,Barbe à papa,3800128107066,['France'],[],[],?,404,0,"99,6",0,,,,,,,,,,,,,1690 kj(404 kcal),,,0,,,"99,6",,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
630,Pogne de romans,4794456640984,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
631,Red fruits,0331558020180,['France'],[],[],?,202,8,"11,6","0,21",,,,,,,,,,,,,845 kj(202 kcal),,,"0,1",,,"11,2",,,"11,7",,"4,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,
632,Biscotti - Barilla - 450g,8076809579445,['France'],['Blé'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",1521,457,68,"0,6","0,175",,,,,,,,,,,,,1521 kj(457 kcal),,,"23,5",,,"0,5",,,3,,"1,2",,,,,,,,,,,,,,['Barilla'],,,,,,450 g,,,['Gluten'],,,Papiri 450g lc int'l,,
633,Ricotta,3701002405851,['France'],[],[],?,151,12,"3,7",7,,,,,,,,,,,,,632 kj(151 kcal),,,"9,5",,,"3,7",,,"0,43",,"0,172",,,,,,,,,,,,,,,,,,,,,,,,,,,,
634,Muesli croustillant,26904443,['France'],[],[],?,440,15,61,11,,,,,,,,,,,,,1841 kj(440 kcal),,,"5,6",,,18,,,"0,67",,"0,268",,,,,,,,,,,,,,,,,,,,,,,,,,,,
635,Boudin noir oignons,2205488015418,['France'],[],[],?,222,"15,4",7,"13,8",,,,,,,,,,,,,929 kj(222 kcal),,,"6,1",,,"1,8",,,"1,1",,"0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,
636,Jambon cuit l’os AOSTE,0209636089346,['France'],[],[],?,156,8,"0,9",20,,,,,,,,,,,,,653 kj(156 kcal),,,"3,2",,,"0,9",,,2,,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,
637,7601153546,7601153546,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
638,Jambon supérieur de couenne,2871621028210,['France'],[],[],?,111,3,1,20,,,,,,,,,,,,,464 kj(111 kcal),,,"1,2",,,"0,5",,,"2,1",,"0,84",,,,,,,,,,,,,,,,,,,,,,,,,,,,
639,Petit frisson,3760099400644,['France'],[],[],?,45,"0,2","9,6","0,3",,,,,,,,,,,,,188 kj(45 kcal),,,"0,05",,,"7,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
640,Bonbon goût pastèque sans sucre,85710139,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
641,3770018173016,3770018173016,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
642,Poulet fermier,2209670008899,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
643,Saucisse d’herbes,2434092059369,['France'],[],[],?,204,15,"2,8",15,,,,,,,,,,,,,854 kj(204 kcal),,,"6,1",,,1,,,"2,2",,"0,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,
644,Bowl - recette orientale,3175681263758,['France'],[],[],?,170,"1,5","7,5",10,,,,,,,,,,,,,711 kj(170 kcal),,,"0,7",,,"5,7",,,"0,96",,"0,384",,,,,,,,,,,,,,,,,,,,,,,,,,,,
645,Café capsule pérou - Casino Bio,3222477369481,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Casino Bio'],"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,,
646,TeneronIGPizzacotto,8004225055984,['France'],[],[],?,197,12,"3,2",?,,,,,,,,,,,,,824 kj(197 kcal),,,"5,1",,,"1,4",,,"1,4",,"0,56",,,,,,,,,,,,,,,,,,['FSC-C115580'],,,,,,,,,,
647,Animal NRG,0039442131737,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
648,Pâte à tartiner au chocolat noir-orange confite,3770012968076,['France'],[],[],?,286,6,50,5,,,,,,,,,,,,,1197 kj(286 kcal),,,4,,,45,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
649,Baton proteic,5941581000155,['France'],[],[],?,463,"22,8","28,63","10,22",,,,,,,,,,,,,1937 kj(463 kcal),,,"16,35",,,"21,2",,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650,INVINCIBLE - Yumi,3760099400552,['France'],[],[],?,38.2000007629395,"2,4","8,3","0,7",,,,,,,,,,,,,160 kj(38 kcal),,,"0,1",,,"6,6",,,,,,,,,,,,,,,,,,,['Yumi'],,,,,,,,,,,,,,
651,Pain au chocolat,0000819009843,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
