,name,bar_code,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,quantity,categories,labels,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,traceability_code,allergens,generic_name,packaging,additives,markets,manufacturing,ingredients_origins,link,palm_ingredients,brand_owner
429,Nougat de Montelimar,3105560600909,,['France'],[],[],?,506,2117 kj(506 kcal),"26,3","2,2","59,3","52,8","6,8","0,11","0,044",E,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Confiseries de France', 'Nougats', 'Nougats de Montélimar']",,,26.3 g,en quantité élevée,2.2 g,en quantité modérée,52.8 g,en quantité élevée,0.11 g,en faible quantité,,+11%,+11%,+57%,+26%,-10%,-8%,-12%,+208%,+208%,18,+14%,D,+14%,91.0%,4.2%,2.3%,2.0%,0.5%,0.0%,34,,,,,,,,,,,
430,Pâte de nougat,3105560713104,,['France'],[],[],?,374,1565 kj(374 kcal),"0,01","0,01",93,81,"0,7","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
431,Nougat Noir - Chabert & Guillot,3105560900900,['Chabert & Guillot'],['France'],"['AMANDES 36%', 'sucre', 'sirop de glucose', 'miel 7 %', 'pain azyme ', 'fécule de pomme de terre', 'eau', 'arôme naturel de vanille', "" Présence possible d'autres fruits coque et d'ŒUFS""]","['Sans huile de palme', 'Non végétalien']",?,471,1971 kj(471 kcal),"19,6","1,6","62,2","56,6","9,3","0,04","0,016",E,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Nougats', 'Nougats noirs']",,4,19.6 g,en quantité modérée,1.6 g,en quantité modérée,56.6 g,en quantité élevée,0.04 g,en faible quantité,,-9%,-9%,-37%,-40%,+39%,+53%,-21%,+84%,+84%,16,+11%,D,+11%,91.0%,4.2%,2.3%,2.0%,0.5%,0.0%,34,,"['Œufs', 'Fruits à coque']",,,,,,,,,
432,Nougat de Montélimar - Chabert et Guillot,3105561040100,['Chabert et Guillot'],['France'],"['NOUGAT DE MONTÉLIMAR 60% : sucre', 'amandes 30%', 'miel 19 %', 'sirop de glucose', ""albumine d'oeuf"", 'pain azyme ', 'fécule de pomme de terre', 'eau', 'arôme naturel de vanille', "" CHOCOLAT NOIR OU AU LAIT AROMATISÉ À L'ORANGE : sucre"", 'pâte de cacao', 'beurre de cacao', 'poudre de lait entier', 'émulsifiant lécithine de soja', ""arômes naturels de vanille et d'orange"", "" Présence possible d'autres fruits à coque""]",['Non végétalien'],?,486,2033 kj(486 kcal),24,"9,1",58,53,"7,6","0,07","0,028",E,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Confiseries de France', 'Nougats', 'Nougats de Montélimar']",,4,24 g,en quantité élevée,9.1 g,en quantité élevée,53 g,en quantité élevée,0.07 g,en faible quantité,,+7%,+7%,+43%,+423%,-12%,-7%,-2%,+96%,+96%,21,+33%,E,+33%,91.0%,4.2%,2.3%,2.0%,0.5%,0.0%,34,,"['Lait', 'Fruits à coque']",,,,,,,,,
433,Nougat de Montélimar,3105561043804,,['France'],[],[],?,458,1916 kj(458 kcal),"18,6","1,5",61,"53,7","9,5","0,04","0,016",E,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Confiseries de France', 'Nougats', 'Nougats de Montélimar']",,,18.6 g,en quantité modérée,1.5 g,en quantité modérée,53.7 g,en quantité élevée,0.04 g,en faible quantité,,+1%,+1%,+11%,-14%,-8%,-6%,+22%,+12%,+12%,16,+1%,D,+1%,91.0%,4.2%,2.3%,2.0%,0.5%,0.0%,34,,,,,,,,,,,
434,Calisson de Provence - Chabert & Guillot,3105561082209,['Chabert & Guillot'],['France'],"['AMANDES', 'melon confit ', 'melon', 'sirop de glucose-fructose', 'sucre', 'conservateurs E202', 'ANHYDRIDE SULFUREUX', ""correcteur d'acidité E330"", ""écorce d'orange confite "", ""écorce d'orange"", 'sirop de glucose-fructose', 'sucre', ""correcteur d'acidité : E330"", 'conservateur : ANHYDRIDE SULFUREUX', 'suere', 'eau', 'sirop de glucose', 'sucre Inverti', 'pain azyme ', 'fécule de pomme de terre', 'eau', ""blanc d'OEUF"", 'arómes', "" Présence possible d'autres frults à coque""]",['Non végétalien'],?,449,1879 kj(449 kcal),"17,8","1,5","64,3","61,3",8,"< 0,01","0,004",B,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Calissons']",,4,17.8 g,en quantité modérée,1.5 g,en quantité modérée,61.3 g,en quantité élevée,0.01 g,en faible quantité,,+2%,+2%,-1%,-7%,+6%,+24%,+4%,-80%,-80%,16,+10%,D,+10%,43.9%,29.6%,15.5%,7.5%,3.5%,0.0%,95,,"['Œufs', 'Fruits à coque', 'Anhydride sulfureux et sulfites']",,,"['E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E220 - Anhydride sulfureux', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique']",,,,,,
435,Nougat Chabert & Guillot,3105561102808,,['France'],[],[],?,582,2435 kj(582 kcal),44,11,27,26,18,"0,11","0,044",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
436,Amande enrobées de chocolat Gianduja - Chabert & Guillot,3105561103508,['Chabert & Guillot'],['France'],"['Chocolat 60% ', 'sucre', 'NOISETTES', 'pâte de cacao', 'beurre de cacao', 'LAIT écrémé en poudre', 'matière grasse', 'LAITIERE anhydre', 'émulsifiant lécithine de SOJA', 'arôme naturel de vanille', 'AMANDES', 'sucre glace', "" Présence possible d'autres fruits à coque""]","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",?,567,2372 kj(567 kcal),40,11,38,35,11,"0,05","0,02",,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Lait', 'Fruits à coque', 'Soja']",,,,,,,,,
437,Confiserie - Chabert et guillot,3105561103904,['Chabert et guillot'],['France'],"['Chocolat noir ou LAIT 70 ', 'pâte de cacao', 'sucre', 'LAIT entier', 'poudre', 'beurre de cacao', 'émulsifiant: lécithine de SOJA', 'arôme nat vanille', 'chocolat blanc ', 'sucre', 'beurre de cacao', 'LAIT écrémé poudre', 'matière grasse de LAIT', 'émulsifiant lécithine de SOJA', 'arôme naturel de vanille', 'AMANDES crème de nougat 2,5% ', 'AMANDES', 'sucre', 'sirop de glucose', 'miel', ""blanc d'Œuf pin azyme "", 'fécule de pomme de terre etu', 'arôme naturel de vanille', 'beurre de cacao', 'gomme laque', ""\rPrésera possible d'autres fruits à coque,""]","['Non végétalien', 'Non végétarien']",?,569,2381 kj(569 kcal),42,14,30,29,14,"0,11","0,044",,,"['Snacks', 'Snacks sucrés', 'Confiseries']",,4,42 g,en quantité élevée,14 g,en quantité élevée,29 g,en quantité élevée,0.11 g,en faible quantité,,+35%,+35%,+186%,+117%,-55%,-42%,+233%,-25%,-25%,23,+26%,E,+26%,,,,,,,,,"['Lait', 'Fruits à coque', 'Soja']",,,"['E322i - Lécithine', 'E904 - Gomme-laque']",,,,,,
438,3105714170555,3105714170555,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
439,Pois nain à grain rond,3105751231660,,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
440,Mini fruits pâte d amandes,3105910000007,,['France'],[],[],?,448,1874 kj(448 kcal),17,"1,2",62,62,"8,5","0,04","0,016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
441,"Filets de maquereaux a la sauce tomate, la - Saupiquet",3106000025412,['Saupiquet'],['France'],"['Filets de maquereaux ', '57%', 'eau', 'concentré de tomate ', '15%', 'huile de tournesol', ""vinaigre d'alcool"", 'vinaigre de vin blanc', 'sel', 'vin blanc', 'épaississant : gomme xanthane', 'arômes']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,144,602 kj(144 kcal),10,"1,9","2,5","2,3",11,"0,93","0,372",D,,"['Produits de la mer', 'Poissons', 'Filets de poissons', 'Maquereaux', 'Filets de maquereaux']",,4,10 g,en quantité modérée,1.9 g,en quantité modérée,2.3 g,en faible quantité,0.93 g,en quantité modérée,,-35%,-35%,-39%,-49%,+131%,+333%,-33%,-16%,-16%,1,-84%,B,-84%,39.4%,14.2%,30.5%,14.0%,0.9%,0.9%,45,"['FR 29.232.501 CE', 'Quimper (Finistère, France)']",,,,['E415 - Gomme xanthane'],,,,,,
442,Maquereaux à La Sauce Escabèche - Saupiquet,3106000026426,['Saupiquet'],['France'],[],[],?,218,912 kj(218 kcal),18,"2,4","2,7","1,5",10,"0,96","0,384",D,,"['Produits de la mer', 'Poissons', 'Filets de poissons', 'Maquereaux', 'Filets de maquereaux', ""Filets de maquereaux à l'escabeche""]",,,18 g,en quantité modérée,2.4 g,en quantité modérée,1.5 g,en faible quantité,0.96 g,en quantité modérée,,+4%,+5%,+11%,-32%,-26%,-3%,-17%,+8%,+8%,3,-7%,C,-7%,39.4%,14.2%,30.5%,14.0%,0.9%,0.9%,45,,,,,,,,,,,
443,Thon Albacore Au Naturel - Saupiquet,3106000114017,['Saupiquet'],['France'],[],[],?,521,2180 kj(521 kcal),1,"0,2",0,0,28,"1,1","0,44",E,,"['Produits de la mer', 'Poissons', 'Thons', 'Thons tropicaux', 'Thons au naturel', 'Thons albacore', 'Thons albacore au naturel']",,,1 g,en faible quantité,0.2 g,en faible quantité,0 g,en faible quantité,1.1 g,en quantité modérée,,+349%,+352%,-34%,-57%,-100%,-100%,+11%,+1%,+1%,5,+1209%,C,+1209%,71.8%,6.5%,14.0%,6.7%,0.4%,0.5%,24,,,,,,,,,,,
444,Thon naturel - Saupiquet,3106000806028,['Saupiquet'],['France'],[],[],?,106,444 kj(106 kcal),"0,5","0,2",0,0,25,"1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445,Filets de Maquereaux à la sauce Moutarde - Furic Saupiquet - 705g,3106002511050,"['Furic Saupiquet', 'Saupiquet Restauration', 'Furic', 'Saupiquet']",['France'],"['Filets de maquereaux ', '57%', 'eau', 'moutarde 13% ', 'eau', 'graines de moutarde', ""vinaigre d'alcool"", 'sel', 'antioxydant : bisulfite de sodium ou du potassium', 'acidifiant : acide citrique', ""vinaigre d'alcool"", 'huile de tournesol', 'vinaigre de vin blanc', 'vin blanc', 'sel', 'amidon transformé de manioc', 'arômes', 'épaississant : gomme xanthane']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,164,686 kj(164 kcal),12,"2,1","1,2","0,3",11,"1,7","0,68",C,705 g,"['Produits de la mer', 'Poissons', 'Filets de poissons', 'Maquereaux', 'Filets de maquereaux', 'Filets de maquereaux à la moutarde']","['en:produced-in-bretagne', 'Produits destinés aux professionnels']",4,12 g,en quantité modérée,2.1 g,en quantité modérée,0.3 g,en faible quantité,1.7 g,en quantité élevée,,-22%,-22%,-27%,-35%,+7%,-48%,-17%,+37%,+37%,11,+84%,D,+84%,39.7%,14.3%,30.7%,14.1%,1.0%,0.3%,55,"['FR 29.232.501 CE', 'Quimper (Finistère, France)']",['Moutarde'],Filets de Maquereaux à la sauce Moutarde,"['Conserve', 'Boîte', 'Metal']","['E222 - Bisulfite de sodium', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique', 'E14XX - Amidons modifiés', 'E415 - Gomme xanthane']",,"['France', 'Bretagne']",,,,
446,Thon Albacore au Naturel - Saupiquet Furic Restauration - 800g (600g),3106003511011,"['Saupiquet Furic Restauration', 'Saupiquet', 'Saupiquet Restauration']",['France'],"['Thon albacore ', 'Thunnus albacares ', 'eau', 'sel']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,115,481 kj(115 kcal),"1,4","0,3",0,0,26,"1,1","0,44",E,800 g (600 g),"['Produits de la mer', 'Poissons', 'Thons', 'Thons tropicaux', 'Thons au naturel', 'Thons albacore', 'Thons albacore au naturel']",['Produits destinés aux professionnels'],3,1.4 g,en faible quantité,0.3 g,en faible quantité,0 g,en faible quantité,1.1 g,en quantité modérée,,-1%,-0%,-7%,-36%,-100%,-100%,+3%,+1%,+1%,0,-100%,B,-100%,71.8%,6.5%,14.0%,6.7%,0.4%,0.5%,24,,['Poisson'],Thon Albacore au Naturel,"['Conserve', 'Boîte', 'Métal']",,,"[""Côte d'Ivoire"", 'Afrique']",,,,
447,Filets de maquereaux marinés au vin blance - Saupiquet,3106004443014,['Saupiquet'],['France'],[],[],?,147,615 kj(147 kcal),"9,9","2,3",0,0,14,"0,88","0,352",D,,"['Produits de la mer', 'Poissons', 'Filets de poissons', 'Maquereaux', 'Filets de maquereaux']",['en:produced-in-bretagne'],,9.9 g,en quantité modérée,2.3 g,en quantité modérée,0 g,en faible quantité,0.88 g,en quantité modérée,,-34%,-33%,-40%,-38%,-100%,-100%,-15%,-21%,-21%,1,-84%,B,-84%,39.4%,14.2%,30.5%,14.0%,0.9%,0.9%,45,,,,,,,,,,,
448,Maquereaux Au Vin Blanc - Saupiquet,3106004444011,['Saupiquet'],['France'],"['Filets de maquereaux 76% eau', ""vinaigre d'alcool vinaigre de vin blanc"", 'vin blanc ', '2%', 'sel', 'arôme', 'épaississant : gomme guar']",[],?,147,615 kj(147 kcal),"9,9","2,3",0,0,14,"0,88","0,352",C,,"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Filets de poissons', 'Maquereaux', 'Filets de maquereaux', 'Filets de maquereaux au vin blanc et aromates', 'Maquereaux en conserve']",,4,9.9 g,en quantité modérée,2.3 g,en quantité modérée,0 g,en faible quantité,0.88 g,en quantité modérée,,-13%,-11%,-13%,-20%,-100%,-100%,-6%,-4%,-4%,1,-60%,B,-60%,39.7%,14.3%,30.7%,14.1%,1.0%,0.3%,55,,,,,['E412 - Gomme de guar'],,,,,,
449,Filets De Thons Sauce Provençale - Saupiquet,3106006000444,['Saupiquet'],['France'],[],[],?,138,577 kj(138 kcal),"5,7","0,8","2,1",1,20,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450,Les Galettes de Pont-Aven - Traou Mad - 33g (4biscuits),3106130000204,['Traou Mad'],['France'],"['Farine de froment', 'beurre frais 26 %', 'sucre', 'œufs', 'sel', 'dorure : lait écrémé']","['Sans huile de palme', 'Non végétalien']",2174,?,2174 kj(520 kcal),"25,7","15,5","64,4","29,6",6,"0,914","0,366",B,33 g (4 biscuits),"['Snacks', 'Desserts', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits secs', 'Biscuits sablés']","[""À l'ancienne"", 'en:produced-in-bretagne', 'Au Beurre Frais']",3,25.7 g,en quantité élevée,15.5 g,en quantité élevée,29.6 g,en quantité élevée,0.914 g,en quantité modérée,+16%,,+16%,+58%,+152%,-3%,-7%,-18%,+94%,+94%,25,+48%,E,+48%,80.5%,11.6%,3.5%,2.3%,2.1%,0.0%,56,,"['Œufs', 'Gluten', 'Lait']","Fine galette de Bretagne sablée tout au beurre frais, à l'ancienne","['Boite carton', 'Barquette', 'Plastique']",,['Biscuiterie de Bretagne'],"['Bretagne', 'France']","['France', 'Bretagne']",http://www.traoumad.fr/fr/2-galette-pont-aven,,
451,Trou Mad de Pont-Aven à l'Ancienne - Traou Mad - 33g (2Biscuits),3106130000303,['Traou Mad'],['France'],"['Farine de froment', 'beurre frais 30 % ', 'sucre', ""jaunes d'œufs"", 'lait entier', 'sel', 'poudre à lever : bicarbonate de sodium', 'dorure : lait écrémé']","['Sans huile de palme', 'Non végétalien']",2197,?,2197 kj(525 kcal),"29,2","17,41","59,33","21,3","6,4","1,092","0,437",C,33 g (2 Biscuits),"['Snacks', 'Desserts', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits sablés', 'Palets']","['Pur beurre', 'Au beurre frais']",3,29.2 g,en quantité élevée,17.4 g,en quantité élevée,21.3 g,en quantité élevée,1.09 g,en quantité modérée,+6%,,+6%,+15%,+6%,-2%,-18%,+9%,+25%,+25%,22,-9%,E,-9%,80.5%,11.6%,3.5%,2.3%,2.1%,0.0%,56,,"['Œufs', 'Gluten', 'Lait']",Biscuits sablés bretons,"['Sachet plastique', 'Boite carton', 'Sachet', 'Carton']",['E500ii - Carbonate acide de sodium'],['Avion'],"['Pont-Aven', 'France']",,,,
452,65G Etui 4 Traou Mad,3106130000365,['Traou Mad'],['France'],"['FARINE DE FROMENT', 'BEURRE FRAIS 30%', 'SUCRE', ""JAUNES D'ŒUFS"", 'LAIT ENTIER', 'SEL', 'POUDRE A LEVER: BICARBONATE DE SODIUM', ' DORURE: LAIT ÉCRÉMÉ']","['Sans huile de palme', 'Non végétalien']",?,526,2201 kj(526 kcal),"29,2","17,41","59,33","21,3","6,4","0,43","0,172",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Œufs', 'Gluten', 'Lait']",,,['E500ii - Carbonate acide de sodium'],,,,,,
453,Caramels au beurre salé au sel de Guérande  - Traou Mad de Pont-Aven - 150g,3106130001003,['Traou Mad de Pont-Aven'],['France'],"['Sirop de glucose', 'sucre', 'lait concentré sucré', 'beurre ', 'lait', ' frais ', '10 %', 'poudre de lait', 'sel de Guérande ', '0,8 %', 'fleur de sel de Guérande ', '0,3 %']",[],?,418,1749 kj(418 kcal),"12,5",7,72,"47,4","4,3","1,08","0,432",,150 g,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Caramels', 'Caramels au beurre salé']",,,12.5 g,en quantité modérée,7 g,en quantité élevée,47.4 g,en quantité élevée,1.08 g,en quantité modérée,,+2%,+2%,-9%,-21%,+6%,-6%,+83%,+12%,+12%,25,+1%,E,+1%,,,,,,,,,,,"['Sachet', 'Plastique']",,,,,,,
454,Caramel au beurre salé au sel de guerande,3106130001010,,['France'],[],[],?,418,1749 kj(418 kcal),"12,5",7,72,"47,4","4,3","1,08","0,432",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
455,Red Tin Traou Mad Palets De Pont Aven Butter Cookies,3106130002086,['Traou Mad'],['France'],[],[],?,523,2188 kj(523 kcal),29,19,60,20,"6,2","1,1","0,44",,,,['Fabriqué en France'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
456,Les Galettes de Pont-Aven,3106130002222,,['France'],[],[],?,514,2151 kj(514 kcal),25,17,65,30,6,"0,88","0,352",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
457,Les Galettes De Pont Aven - étui 200 gr - Traou Mad,3106130002239,"['Traou Mad', 'Traou Mad de Pont-Aven']",['France'],[],[],?,514,2151 kj(514 kcal),25,17,65,30,6,"0,88","0,352",C,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits sablés']",['en:produced-in-bretagne'],,25 g,en quantité élevée,17 g,en quantité élevée,30 g,en quantité élevée,0.88 g,en quantité modérée,,+5%,+4%,+7%,+22%,+3%,+18%,-3%,+29%,+29%,25,+14%,E,+14%,80.5%,11.6%,3.5%,2.3%,2.1%,0.0%,56,,,,,,,,,,,
458,Traou Mad de Pont Aven,3106130002246,['Traou Mad'],['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
459,Assortiment ronde bretonne,3106130002420,,['France'],[],[],?,523,2188 kj(523 kcal),"28,6","18,9","59,6",20,"6,2","1,1","0,44",,,,['Fabriqué en France'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
460,14 Oz Large Red Tin Traou Mad Palets De Pont Aven Butter Cookies,3106130002581,['Traou mad'],['France'],"['Farine de blé', 'Beurre frais 30% ', 'lait', 'Sucre', ""Jaunes d'œufs"", 'Lait entier', 'Sel', 'Poudre à lever : Bicarbonate de sodium', 'Dorure : lait écrémé']","['Sans huile de palme', 'Non végétalien']",?,523,2188 kj(523 kcal),"28,6","18,9","59,6",20,"6,2","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Œufs', 'Gluten', 'Lait']",,,['E500ii - Carbonate acide de sodium'],,,,,,
461,Palets de Pont-Aven au chocolat - Traou-Mad de Pont-Aven - 100g,3106130002666,['Traou-Mad de Pont-Aven'],['France'],"['Farine de blé 48 %', 'beurre frais ', 'lait', ' 28 %', 'sucre', 'pépites de chocolat 10 % ', 'pâte de cacao', 'sucre', 'vanille', ""jaunes d'oeufs 4 %"", 'sel de Guérande', 'lait entier', 'poudre à lever : carbonates de sodium', ' Dorure : lait écrémé']","['Sans huile de palme', 'Non végétalien']",2143,?,2143 kj(512 kcal),"27,3","18,2","59,4","21,8","6,2","0,9","0,36",C,100 g,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat']","['Fabriqué en France', 'en:produced-in-bretagne']",3,27.3 g,en quantité élevée,18.2 g,en quantité élevée,21.8 g,en quantité élevée,0.9 g,en quantité modérée,+4%,,+4%,+17%,+54%,-5%,-33%,-5%,+63%,+63%,23,+7%,E,+7%,84.4%,9.1%,2.7%,2.2%,1.6%,0.0%,46,,"['Œufs', 'Gluten', 'Lait']",,['Carton'],['E500 - Carbonates de sodium'],,"['Bretagne', 'France']",,,,
462,Apéri' Crêpes tomate & romarin - Traou Mad - 60g,3106130040699,['Traou Mad'],['France'],"['Huile et graisse végétales ', 'colza', 'coprah', 'farine de blé', 'crème en poudre ', 'lait', 'maltodextrine', 'beurre concentré ', 'lait', 'poudre de tomate 7 %', ""poudre d'oignon "", ""jus concentré d'oignon"", 'maltodextrine', 'sirop de glucose', 'sel', ""extrait de malt d'orge"", ""huile d'olive"", 'arôme naturel de poivre', 'romarin 0,2 %', 'émulsifiant : lécithine de colza', 'colorants : extrait de paprika', 'caroténoïdes', 'acidifiant : acide citrique']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",2318,?,2318 kj(554 kcal),"36,5","14,6","51,4","20,4","6,5","1,5","0,6",B,60 g,"['Snacks', 'Snacks salés', 'Apéritif', 'Biscuits apéritifs']",['Fabriqué en France'],4,36.5 g,en quantité élevée,14.6 g,en quantité élevée,20.4 g,en quantité élevée,1.5 g,en quantité modérée,+16%,,+18%,+83%,+169%,-13%,+420%,-34%,-25%,-25%,26,+69%,E,+69%,60.4%,21.2%,8.3%,6.3%,3.8%,0.0%,82,"['EMB 29217E', 'Pont-Aven (Finistère, France)']","['Gluten', 'Lait']",Crêpes fourrées avec une préparation à base de tomate et romarin,['Carton'],"['E322i - Lécithine', 'E160c - Extrait de paprika', 'E160 - Caroténoïdes', 'E330 - Acide citrique']",,['France'],,,,
463,Traou Mad de Pont Aven Apéri'Crêpes Mini galettes tomate & olive 60 g - Gavotte,3106130040828,['Gavotte'],['France'],[],[],?,496,2075 kj(496 kcal),?,8,?,52,7,"2,5",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
464,Mini galettes poivron piment de cayenne - Gavottes - 60g,3106130040835,['Gavottes'],['France'],[],[],?,493,2063 kj(493 kcal),27,8,53,9,"7,2","2,4","0,96",B,60 g,"['Snacks', 'Snacks salés', 'Apéritif', 'Biscuits apéritifs']","['Point Vert', 'Fabriqué en France', 'Nouveau']",,27 g,en quantité élevée,8 g,en quantité élevée,9 g,en quantité modérée,2.4 g,en quantité élevée,,+6%,+5%,+36%,+48%,-11%,+130%,-27%,+20%,+20%,24,+56%,E,+56%,60.4%,21.2%,8.3%,6.3%,3.8%,0.0%,82,,,,"['Carton', 'Plastique']",,,,,,,
465,Krak'o,3106130045564,,['France'],[],[],?,481,2013 kj(481 kcal),21,"7,1",67,33,"5,5","0,9","0,36",,,,['en:produced-in-bretagne'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
466,Les petites Flûtes Sablées Chocolat & Saveur Caramel - Traou Mad - 130g,3106130350101,"['Traou Mad', 'Loc Maria', 'Loc Maria Biscuits']",['France'],"['Farine de blé 46%', 'sucre', ' beurre concentré ', 'lait', 'chocolat 10% ', 'pâte de cacao', 'sucre', 'cacao maigre en poudre', 'œuf entier frais 5%', 'arômes naturels ', 'lait', 'sel de Guérande', ""jaune d'œuf"", ""poudres à lever : carbonates de sodium - diphosphates - carbonates d'ammonium"", 'lait demi-écrémé']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",?,482,2017 kj(482 kcal),22,14,65,30,"6,2","0,8","0,32",C,130 g,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat', 'Biscuits sablés', 'Biscuits au caramel']",['en:produced-in-bretagne'],4,22 g,en quantité élevée,14 g,en quantité élevée,30 g,en quantité élevée,0.8 g,en quantité modérée,,+0%,+1%,+1%,+11%,+3%,-9%,+15%,+14%,+14%,25,+8%,E,+8%,80.5%,11.6%,3.5%,2.3%,2.1%,0.0%,56,,"['Œufs', 'Gluten', 'Lait']",,"['Boite', 'Carton', 'Barquette fraicheur', 'Plastique']","['E500 - Carbonates de sodium', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', ""E503 - Carbonates d'ammonium""]","['Leclerc', 'E.Leclerc', 'La Biscuiterie Bretonne', 'Boutique Les Gavottes', 'La Biscuiterie de Pont-Aven']","['Zone industrielle de Lanviliou', '29370 CORAY', 'Loc Maria Biscuits', 'Finistère', 'Bretagne', 'France']",,,,
467,Petites crêpes fourées ROQUEFORT -,3106131355457,,['France'],[],[],?,554,2318 kj(554 kcal),36,17,49,14,"8,1","1,7","0,68",B,,"['Snacks', 'Snacks salés', 'Apéritif', 'Biscuits apéritifs', 'Crêpes dentelle salées', 'Crêpes dentelle au fromage']",,,36 g,en quantité élevée,17 g,en quantité élevée,14 g,en quantité élevée,1.7 g,en quantité élevée,,-1%,-0%,-0%,-2%,+3%,-6%,-5%,-5%,-5%,26,-2%,E,-2%,60.4%,21.2%,8.3%,6.3%,3.8%,0.0%,82,,,,,,,,,,,
468,Creperolles - Traou mad - 100g,3106131355655,"['Traou mad', 'Traou MAD']",['France'],"['Comté en poudre 23% ', 'Comté lait', 'sels de fonte: phosphates de sodium', 'huile et graisse végétales colza', 'coprah', 'farine de blé/ ma?tnne', 'beurre concentré ', 'lait', 'crème']",['Non végétalien'],?,584,2443 kj(584 kcal),42,19,39,14,13,"2,3","0,92",,100g,['Matières grasses'],['Fabriqué en France'],2,42 g,en quantité élevée,19 g,en quantité élevée,14 g,en quantité élevée,2.3 g,en quantité élevée,,-27%,-27%,-53%,-17%,+17311%,+8542%,+7245%,+1079%,+1079%,26,+130%,E,+130%,,,,,,,,,['Lait'],,,,,,,,,
