,name,bar_code,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,quantity,categories,labels,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,traceability_code,allergens,generic_name,packaging,additives,markets,manufacturing,ingredients_origins,link,palm_ingredients,brand_owner
10,Gaspacho giraudet,3100080040112,['Giraudet'],['France'],[],[],?,44,184 kj(44 kcal),3,"0,4","3,5","3,4",1,"1,3","0,52",,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Soupe fraîche - Giraudet,3100080040129,['Giraudet'],['France'],[],[],?,40,167 kj(40 kcal),"2,4","0,4","3,3","2,5","0,9","0,9","0,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Gaspacho Rose - Giraudet,3100080040136,['Giraudet'],['France'],[],[],?,65,272 kj(65 kcal),"4,1","1,1","6,8","4,6","0,6","0,9","0,36",B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Plats préparés', 'Soupes', 'Soupes de légumes', 'Soupes froides', 'Gaspacho']",,,4.1 g,en quantité modérée,1.1 g,en faible quantité,4.6 g,en faible quantité,0.9 g,en quantité modérée,,+59%,+57%,+67%,+185%,+102%,+80%,-24%,+35%,+35%,5,+320%,C,+320%,8.9%,40.5%,20.0%,12.5%,12.7%,5.4%,98,,,,,,,,,,,
13,Soupe Tibétaine Bio - Giraudet,3100080044769,['Giraudet'],['France'],"['TIBETAINE 10 AGRICULTURE UE / NON UE INGREDIENTS EAU', 'LENTILLES PUREE DE TOMATES*', 'LAIT DE COCO OIGNONS*', ""HUILE D'OLIVE*"", 'SEL MARIN', ""AIL* CARDAMOME: PIMENT DE CAYENNE* *INGREDIENT ISSU DE L'AGRICULTURE BIOLOGIQUE PEUT CONTENIR DES TRACES OtALLERGENES TOUTES CATEGORIES D'INFORMATIONS : CONTACT@GIRAUDEIFR SUGGESTION DE PREPARATION AJOUTER QUELQUES FEUILLES DE PERSIL PLAT HACHE FAIRE RECHAUFFER A UNE CASSEROLE'E"", '_--']",[],?,73,305 kj(73 kcal),"3,2","1,2",8,"1,3","3,3",0,0,,,,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-10']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 01.053.006 CE', 'Bourg-en-Bresse (Ain, France)']",['Lait'],,,,,,,,,
14,Confiture de framboise,3100100000034,,['France'],[],[],?,?,,?,,?,,?,,,C,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de framboises']",,,,,,,,,,,,,,,,,,,,,,,,,65.8%,9.7%,13.4%,8.4%,2.2%,0.6%,60,,,,,,,,,,,
15,Boudin de lyon - La Bresse Sas,3100150009285,['La Bresse Sas'],['France'],"['S : SHNG FRRIS OIGNONS', 'EPINRROS', 'GRRS PORC', 'LRIT', '4%', 'DE FROHEUr', 'DEXTROSE', 'PROTEINES DE LRIT', 'SEL', 'EPICES', 'BOYRIJ NBTUREL DE PORC', "" Traces possibles d'oeuf"", ' Faire cuire à La poêle 10 min']",[],?,310,1297 kj(310 kcal),"9,4",0,"7,4","3,4",11,1,"0,4",,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 01224', 'Loyettes (Ain, France)']",,,,,,,,,,
16,Plateau grill LA BRESSE,3100150009414,,['France'],[],[],?,245,1025 kj(245 kcal),19,8,2,1,15,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Andouillette aux herbes,3100150009469,,['France'],[],[],?,930,3891 kj(930 kcal),"16,1","6,95","0,7","0,7",19,"1,55","0,62",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Brochettes boudins noir et blanc,3100150646756,,['France'],[],[],?,241,1008 kj(241 kcal),"18,9","7,7","4,8","1,6","8,7","1,6","0,64",D,,"['Viandes', 'Charcuteries', 'Poissons et viandes et oeufs', 'Abats', 'Boudins', 'Produits tripiers', 'Boudins blancs', 'Boudins noirs', 'Boudin noir sauté']",,,18.9 g,en quantité modérée,7.7 g,en quantité élevée,1.6 g,en faible quantité,1.6 g,en quantité élevée,,-1%,-1%,-6%,-2%,+12%,-19%,-16%,+7%,+7%,17,+6%,D,+6%,87.1%,4.2%,2.1%,1.8%,1.0%,3.9%,35,,,,,,,,,,,
19,Boudin de Lyon à la crème - La Bresse - 300g,3100150646961,['La Bresse'],['France'],"['Sang frais de porc', 'oignons rissolés ', 'oignons', 'saindoux', 'couenne de porc', 'graisse de porc', 'crème 6', '6%', 'épinards', ""blanc d'œuf"", 'dextrose', 'sucre', 'sel', 'épices et aromates', 'protéines de lait', 'rhum', 'vin blanc', 'vinaigre', 'acidifiant : E325', 'colorant: E150a', 'boyau naturel de porc']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,209,874 kj(209 kcal),15,"6,5","4,7","2,3",13,"1,6","0,64",D,300 g,"['Viandes', 'Charcuteries', 'Poissons et viandes et oeufs', 'Abats', 'Boudins', 'Produits tripiers', 'Boudins noirs', 'Boudin noir sauté']",,4,15 g,en quantité modérée,6.5 g,en quantité élevée,2.3 g,en faible quantité,1.6 g,en quantité élevée,,-14%,-14%,-26%,-17%,+12%,+10%,+21%,+10%,+10%,15,-4%,D,-4%,87.1%,4.2%,2.1%,1.8%,1.0%,3.9%,35,"['FR 01.405.004 CE', 'Servas (Ain, France)', 'EMB 01405C', 'Servas (Ain, France)']","['Œufs', 'Lait']",boudin,"['Plastique', 'Frais']","['E325 - Lactate de sodium', 'E150a - Caramel E150a']",,,,,,
