,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,quantity,brand,markets,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,allergens,nova_score,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,labels,traceability_code,packaging,brand_owner,additives,generic_name,manufacturing,link,palm_ingredients,ingredients_origins
0,2600901045728,2600901045728,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sauce à l aneth - Thiriet - 200g,3292590889302,['France'],[],[],?,147,13,"5,2","1,3",200 g,['Thiriet'],['Thiriet'],615 kj(147 kcal),8,"1,9","0,96","0,384",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Tomme de Savoie IGP,2206087012792,['France'],"['lait de vache cru et entier', 'sel', 'ferments lactiques', 'présure', 'caséine', ' 30% MG dans le produit fini']",['Non végétalien'],?,?,?,?,?,,,['Carrefour'],,,,,,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de France', 'Produits de montagne', 'Fromages de montagne', 'Tommes', 'en:tomme-cheese-from-mountain-or-savoy', 'Tomme de Savoie IGP']",['Lait'],4,,,,,,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Gaufres de Liege au Sucre - Lotus,5410126022032,['France'],[],[],?,442,22,"55,4",5,,['Lotus'],,1849 kj(442 kcal),"10,5","29,2","0,6","0,24",C,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Pâtisseries', 'Gaufres', 'Gaufres liégeoises']",,,,-3%,-7%,+4%,-16%,77.1%,12.7%,5.0%,2.6%,2.6%,0.0%,66,22 g,en quantité élevée,10.5 g,en quantité élevée,29.2 g,en quantité élevée,0.6 g,en quantité modérée,-3%,-13%,+6%,-21%,-21%,23,0%,E,0%,,,,,,,,,,
4,Filet de Poulet - La Nouvelle Agriculture,0213400021456,['France'],[],[],?,104,"1,3",0,23,,['La Nouvelle Agriculture'],,435 kj(104 kcal),"0,4",0,"0,11","0,044",D,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,-21%,-55%,-100%,+1%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,1.3 g,en faible quantité,0.4 g,en faible quantité,0 g,en faible quantité,0.11 g,en faible quantité,-20%,-46%,-100%,-85%,-85%,-4,,A,,,,,,,,,,,
5,Amandino,53253064,['France'],[],[],?,673,"59,3","4,5","24,3",,,,2816 kj(673 kcal),5,4,"0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['en:gluten-free'],,,,,,,,,
6,Coppa de bœuf fine tranche,2296565026502,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 67.447.004 CE', 'Schiltigheim (Bas-Rhin, France)']",,,,,,,,
7,Jambon cuit supérieur,0200111024807,['France'],[],[],?,124,"5,1","0,8",19,,,,519 kj(124 kcal),"1,7","0,4","2,1","0,84",E,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs']",,,,-6%,+6%,+20%,-10%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,5.1 g,en quantité modérée,1.7 g,en quantité modérée,0.4 g,en faible quantité,2.1 g,en quantité élevée,-5%,-8%,-33%,+12%,+12%,11,+56%,D,+56%,['Qualité supérieure'],,,,,,,,,
8,Jean Brunet,3269617104618,['France'],[],[],?,?,?,?,?,,['Jean Brunet'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Fabriqué en France', 'Sans colorants']",,,,,,,,,
9,HERBES DE PROVENCE 500 g,3417960039259,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Brique affinée,3250392283735,['France'],[],[],?,351,31,1,17,,,,1469 kj(351 kcal),"22,5","0,4","1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Setas al ajillo,8422107040307,['France'],[],[],?,233,20,6,"6,4",,,,975 kj(233 kcal),"2,7","0,9","1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Rillettes paysannes à la bière du Nord - Les Foies Gras de Saulzoir,3760122674097,['France'],[],[],?,?,?,?,?,,['Les Foies Gras de Saulzoir'],,,,,,,D,"['Viandes', 'Produits à tartiner', 'Charcuteries', 'Produits à tartiner salés', 'Rillettes', 'Rillettes de viande', 'Rillettes de viande rouge', 'Rillettes de porc']",,,,,,,,74.1%,17.7%,4.6%,2.1%,1.2%,0.3%,39,,,,,,,,,,,,,,,,,,,,"['Bocal', 'Verre']",,,,,,,
13,Poitrine fumee,2643374038835,['France'],[],[],?,324,"28,1","0,6","16,8",,,,1356 kj(324 kcal),"10,5","0,6","3,6","1,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Chicorée café - Leader Price - 250g,3263850104206,['France'],[],[],?,?,?,?,?,250 g,['Leader Price'],['Leader Price'],,,,,,E,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons instantanées', 'Chicorée soluble']",,,,,,,,78.8%,9.8%,6.8%,3.1%,1.4%,0.0%,25,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Sliced bread wholemeal,2200001206441,['France'],[],[],?,235,"2,95",44,"8,1",,,,983 kj(235 kcal),"1,34",1,"0,42","0,168",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Salade - 240g,3701138105281,['France'],[],[],?,177,12,11,"5,3",240 g,,,741 kj(177 kcal),"2,7","2,8","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Véritable jambon persillé de bourgogne,2272809015358,['France'],[],[],?,140,"5,8","0,5",22,,,,586 kj(140 kcal),"2,2","0,5","1,8","0,72",,"['Viandes', 'Charcuteries', 'Jambons', 'Jambon persillé', 'Jambon persillé de Bourgogne']",,,,-4%,-8%,-2%,0%,,,,,,,,5.8 g,en quantité modérée,2.2 g,en quantité modérée,0.5 g,en faible quantité,1.8 g,en quantité élevée,-4%,-4%,+5%,+5%,+5%,5,-16%,C,-16%,['Fabriqué en France'],"['EMB 21231C', ""Dijon (Côte-d'Or, France)""]",,,,,,,,
18,Mcvities Chocolate Chip Cookie PM,5000168183510,['France'],[],[],?,502,"25,8",60,"5,7",,['McVities'],,2100 kj(502 kcal),"13,4","31,7","0,75","0,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Le club poulet avocat crudités piment - Monoprix - 155g,0002000037659,['France'],[],[],?,219,8,27,"8,8",155 g,['Monoprix'],['Monoprix'],916 kj(219 kcal),"2,6","2,9","1,3","0,52",,['Sandwichs'],,,,-9%,-23%,+8%,-17%,,,,,,,,8 g,en quantité modérée,2.6 g,en quantité modérée,2.9 g,en faible quantité,1.3 g,en quantité modérée,-9%,-24%,-11%,-2%,-2%,4,-48%,C,-48%,,"['EMB 91286H', 'Grigny (Essonne, France)']",,,,,,,,
20,Champignons à la grecque -,0209144020862,['France'],[],[],?,73,"5,3","3,7","1,5",,,,305 kj(73 kcal),"0,4","1,9",1,"0,4",B,"['Plats préparés', 'Légumes préparés', 'Champignons à la grecque']",,,,+7%,+26%,-22%,-13%,64.9%,4.7%,11.1%,12.1%,5.6%,1.5%,93,5.3 g,en quantité modérée,0.4 g,en faible quantité,1.9 g,en faible quantité,1 g,en quantité modérée,+8%,+19%,-37%,-15%,-15%,4,+29%,C,+29%,,,,,,,,,,
21,Tartelette chocolat,2090000182064,['France'],[],[],?,?,?,?,?,,,,,,,,,D,"['Tartes', 'Tartelettes', 'Tartelette au chocolat']",,,,,,,,84.4%,9.1%,2.7%,2.2%,1.6%,0.0%,46,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Salade composée 1 - E Leclerc - 240g,0200436009381,['France'],[],[],?,?,?,?,?,240g,['E Leclerc'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Energy Power Gums - Sponser - 75g,7611174177004,"['France', 'Suisse']",[],[],1410,?,"0,2",75,"6,6",75 g,['Sponser'],,1410 kj(337 kcal),"0,2",75,"0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Épinards en branche -,3574311020189,['France'],[],[],?,27,0,"1,9","2,9",,,,113 kj(27 kcal),0,0,"0,84","0,336",B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Légumes et dérivés', 'Légumes en conserve', 'Légumes-feuilles', 'Épinards', 'Épinards en conserve']",,,,-16%,-100%,+6%,-12%,13.8%,38.4%,18.3%,9.2%,12.9%,7.5%,91,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0.84 g,en quantité modérée,-16%,-100%,-100%,+90%,+90%,-3,,A,,,,,,,,,,,
25,chèvre buche - 146gr,0223181014370,['France'],[],[],120,?,23,1,20,146gr,,,120 kj(29 kcal),16,1,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Miel de chataignier - Les miels de Joyeuse,3770002216149,['France'],[],[],?,?,?,?,?,,['Les miels de Joyeuse'],,,,,,,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de châtaignier']",,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Pain sarrasin mais,0701197963733,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Jambon a l'ancienne,2252505038189,['France'],[],[],?,123,"3,1","0,5",23,,,,515 kj(123 kcal),"1,4","0,5",2,"0,8",E,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs', ""Jambons cuits à l'ancienne""]",,,,-19%,-50%,+1%,+3%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,3.1 g,en quantité modérée,1.4 g,en faible quantité,0.5 g,en faible quantité,2 g,en quantité élevée,-19%,-42%,+3%,+3%,+3%,5,-49%,C,-49%,,,,,,,,,,
29,Cassoulet au confit et à la saucisse de Toulouse,3337530520027,['France'],[],[],?,140,7,5,12,,,,586 kj(140 kcal),3,"0,6",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,
30,Big cookie,3101800700286,['France'],[],[],?,506,28,53,"6,4",,,,2117 kj(506 kcal),15,27,"1,08","0,432",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Jambon sup dd torchon kermene,0221121012929,['France'],[],[],?,144,"6,9",0,20,,,,602 kj(144 kcal),"2,7",0,"1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Velouté potimarrô,3770010491033,['France'],[],[],?,94,"5,2",9,"1,6",,,,393 kj(94 kcal),"0,7","0,7","3,1","1,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,
33,Saucisson sec,3760210384495,['France'],[],[],?,378,"25,9","0,27","36,1",,,,1582 kj(378 kcal),"9,7",0,"3,36","1,344",D,"['Viandes', 'Charcuteries', 'Saucissons', 'Saucissons secs']",,,,-6%,-18%,-88%,+31%,79.0%,17.2%,0.6%,1.8%,1.1%,0.3%,36,25.9 g,en quantité élevée,9.7 g,en quantité élevée,0 g,en faible quantité,3.36 g,en quantité élevée,-6%,-21%,-100%,-28%,-28%,23,-4%,E,-4%,,,,,,,,,,
34,Envy max - Shneider's,0838948011105,['France'],[],[],?,162,"0,5",66,"0,52",,"[""Shneider's""]",,678 kj(162 kcal),"0,5","0,5",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Tarte au flan,3456580208195,['France'],[],[],?,207,"8,6",28,"4,1",,,,866 kj(207 kcal),"4,3",14,"0,28","0,112",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Cava bonaval - 1,8420209012840,['France'],[],[],?,?,?,?,?,1,['Bonaval'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Croûtons Ail,2369754702553,['France'],[],[],?,483,29,48,7,,,,2021 kj(483 kcal),3,"1,4",2,"0,8",D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Croûtons']",,,,+2%,+41%,-18%,-26%,87.8%,8.3%,1.9%,1.8%,0.2%,0.0%,35,29 g,en quantité élevée,3 g,en quantité modérée,1.4 g,en faible quantité,2 g,en quantité élevée,+2%,-0%,-62%,+3%,+3%,16,+10%,D,+10%,,,,,,,,,,
38,Fruits du verger - 113g,3514910380215,['France'],[],[],?,?,?,?,?,113 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Point Vert'],,,,,,,,,
39,Mini  fourrés fraise,3700621730702,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Fabriqué en France'],,,,,,,,,
40,JO2,50412204,['France'],[],[],?,21,0,"4,7",0,,,,88 kj(21 kcal),0,"4,7","0,06","0,024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Croc'peps,3770011907021,['France'],[],[],?,520,28,47,16,,,,2176 kj(520 kcal),"2,5",18,"0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-09']",,,,,,,,,
42,Fondant pâtissier,3215450023807,['France'],[],[],?,352,"0,1","88,1","0,1",,,,1473 kj(352 kcal),"0,1","81,3","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Flan coco,0204383010179,['France'],[],[],?,244,12,30,"3,8",,,,1021 kj(244 kcal),"8,7",20,"0,18","0,072",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Avocado gusto,2244447029523,['France'],[],[],?,105,"9,16","2,2","2,42",,,,439 kj(105 kcal),"2,61",0,"0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Abricots secs,2600110019350,['France'],[],[],?,283,"0,5","62,6","3,4",,,,1184 kj(283 kcal),"0,02","53,4","0,02","0,008",D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Abricots secs']",,,,+8%,+3%,+8%,+10%,45.6%,45.5%,2.7%,4.3%,1.9%,0.0%,38,0.5 g,en faible quantité,0.02 g,en faible quantité,53.4 g,en quantité élevée,0.02 g,en faible quantité,+8%,-67%,+18%,-43%,-43%,6,+73%,C,+73%,,,,,,,,,,
46,Filets de poulet rôtis,3258225775075,['France'],[],[],?,146,"4,1","1,3",26,,,,611 kj(146 kcal),"1,2","1,3","1,2","0,48",D,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,+11%,+42%,+171%,+14%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,4.1 g,en quantité modérée,1.2 g,en faible quantité,1.3 g,en faible quantité,1.2 g,en quantité modérée,+13%,+61%,+435%,+60%,+60%,2,,B,,,"['FR 85.065.001 CE', 'Chavagnes-en-Paillers (Vendée, France)']",,,,,,,,
47,Jus de rainsin Bio - Carrefour,3560030820568,['France'],[],[],?,66,"0,5",16,"0,5",,['Carrefour'],['Carrefour'],276 kj(66 kcal),0,16,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,
48,24 bâtonnets saveur crabe -,3276170043148,['France'],[],[],?,118,"4,6",12,"5,8",24,,,494 kj(118 kcal),"0,4","1,9","2,2","0,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Mushroom risotto - Morrisons,5010251774006,"['France', 'Royaume-Uni']",[],[],?,122,"5,2","15,6",3,,['Morrisons'],,510 kj(122 kcal),"2,3","0,9","0,55","0,22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Latte Macchiato pain d'épices - Tassimo,8711000385463,"['France', 'Allemagne']",[],[],?,30,"1,4","3,6","0,2",,"['Tassimo', 'Jacobs']",,126 kj(30 kcal),1,"3,6","0,13","0,052",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Chocolat noir,7363333463465,['France'],[],[],?,575,43,33,"8,5",,,,2406 kj(575 kcal),27,29,"0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Saucisse fraiche,2404328028674,['France'],[],[],?,198,14,"0,8",18,,,,828 kj(198 kcal),5,"0,3","1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Roti de porc fumé,0278402020470,['France'],[],[],?,141,"6,3","1,2",20,,,,590 kj(141 kcal),"2,9","0,9","2,21","0,884",E,"['Viandes', 'Porc', 'Rôtis de porc']",,,,-2%,+25%,+47%,-11%,77.9%,17.0%,3.2%,1.1%,0.6%,0.2%,21,6.3 g,en quantité modérée,2.9 g,en quantité modérée,0.9 g,en faible quantité,2.21 g,en quantité élevée,-1%,+39%,+44%,+28%,+28%,12,+68%,D,+68%,,,,,,,,,,
54,Joue de bœuf fondante et son jus façon carbonade - Bigard,2222708049596,['France'],[],[],?,490,"2,6","0,8",22,,['Bigard'],,2050 kj(490 kcal),"1,1","0,8","0,91","0,364",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Terrine aux cèpes,3377440001667,['France'],[],[],?,333,"10,4","3,47","14,7",,,,1393 kj(333 kcal),"10,4",0,"2,98","1,192",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Sans colorants'],,,,,,,,,
56,Tomme de Brebis - Monoprix,0200012022438,['France'],[],[],?,377,31,"2,6",22,,['Monoprix'],['Monoprix'],1577 kj(377 kcal),21,"0,5","2,1","0,84",D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Produits de montagne', 'Fromages de montagne', 'Fromages de brebis', 'Tommes', 'Tomme de brebis']",,,,-4%,-7%,+86%,-2%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,31 g,en quantité élevée,21 g,en quantité élevée,0.5 g,en faible quantité,2.1 g,en quantité élevée,-4%,-3%,+128%,+22%,+22%,18,+9%,D,+9%,,,,,,,,,,
57,Huile d'olive vierge,3414480002312,['France'],[],[],?,823,"91,5",0,0,,,,3443 kj(823 kcal),"12,6",0,"0,25","0,1",D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",,,,-4%,-4%,,,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,91.5 g,en quantité élevée,12.6 g,en quantité élevée,0 g,en faible quantité,0.25 g,en faible quantité,-4%,-10%,,+495932%,+495932%,7,+14%,C,+14%,,,,,,,,,,
58,POTÉE,0210820099317,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Viande Française', 'Viande Porcine Française']",,,,,,,,,
59,Paquito,3250394531643,['France'],[],[],?,26,"0,5",6,"0,5",,,,109 kj(26 kcal),"0,1",6,"0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Moutarde estragon,80285021,['France'],[],[],?,188,"12,1","10,8","8,4",,,,787 kj(188 kcal),"0,8","4,4","4,7","1,88",B,"['Epicerie', 'Condiments', 'Sauces', 'Moutardes']",,,,+11%,+12%,+57%,+28%,57.4%,14.5%,21.8%,4.8%,1.5%,0.0%,75,12.1 g,en quantité modérée,0.8 g,en faible quantité,4.4 g,en faible quantité,4.7 g,en quantité élevée,+11%,-2%,+14%,-0%,-0%,12,+3%,D,+3%,,,,,,,,,,
61,Paté de campagne - Carrefour,5400101063686,['France'],[],[],?,343,32,2,12,,['Carrefour'],['Carrefour'],1435 kj(343 kcal),13,"0,6","1,9","0,76",D,"['Viandes', 'Charcuteries', 'Charcuteries diverses', 'Pâté', 'Pâtés de porc', 'Pâtés de campagne']",,,,+10%,+19%,-17%,-15%,74.1%,17.7%,4.6%,2.1%,1.2%,0.3%,39,32 g,en quantité élevée,13 g,en quantité élevée,0.6 g,en faible quantité,1.9 g,en quantité élevée,+10%,+29%,-35%,+14%,+14%,22,+16%,E,+16%,,,,,,,,,,
62,Orbit White Sugar,0022000014252,"['France', 'États-Unis']","['Made of: sorbitol', 'maltitol', 'gum base', 'acacia', 'natural and artificial flavors', ' less than 2% of: glycerol', 'soy lecithin', 'aspartame', 'acesulfame k', 'sodium bicarbonate', 'carnauba wax', 'bht ', 'to maintain freshness', 'color ', 'red 3']",[],?,167,0,"66,67",0,,,,699 kj(167 kcal),0,0,0,0,,"['Snacks', 'Snacks sucrés', 'Confiseries']",['Soja'],4,,-60%,-100%,+0%,-100%,,,,,,,,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,-60%,-100%,-100%,-100%,-100%,2,-89%,B,-89%,,,,Wm. Wrigley Jr. Company,"['E420 - Sorbitol', 'E965 - Maltitol', 'E422 - Glycérol', 'E322i - Lécithine', 'E951 - Aspartame', 'E950 - Acésulfame K', 'E500ii - Carbonate acide de sodium', 'E903 - Cire de carnauba', 'E321 - Butylhydroxytoluène', 'E127 - Érythrosine']",,,,,
63,Mundo En Tubo Recetas Fáciles: Carne Pack,3760116744034,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Gold Double Cream Alternative 1 Litre,5010652998476,['France'],[],[],?,328,"33,5",4,"2,7",,,,1372 kj(328 kcal),"28,6",4,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Smart Bar - Delicious Coconut Flavour,8718774007713,['France'],[],[],?,341,"12,5",25,"33,9",,,,1427 kj(341 kcal),"7,1","4,1","0,27","0,108",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Alic Coeur de Chocolat,3760165751724,['France'],[],[],?,524,"31,9","48,7","7,8",,,,2192 kj(524 kcal),"16,01","44,5","0,04","0,016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Slim a soup golden vegetable - Batchelors,5000354403309,['France'],[],[],?,25,"0,7","3,9","0,5",,['Batchelors'],,105 kj(25 kcal),"0,5","0,6","0,43","0,172",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Jasmine Tea,6932877716033,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Madeleines nappées au chocolat noir - Bijou,26967868,['France'],[],[],?,470,25,54,6,,['Bijou'],,1966 kj(470 kcal),6,29,"0,6","0,24",D,"['Biscuits et gâteaux', 'Gâteaux', 'Gâteaux au chocolat', 'Madeleines', 'Madeleines au chocolat']",,,,+5%,+6%,+3%,+5%,82.9%,10.9%,2.4%,2.5%,1.3%,0.0%,39,25 g,en quantité élevée,6 g,en quantité élevée,29 g,en quantité élevée,0.6 g,en quantité modérée,+5%,-10%,+2%,-21%,-21%,18,-2%,D,-2%,,,,,,,,,,
70,Bâtonnet epinards - Delhaize - 180g,5400112203637,"['Belgique', 'France']",[],"['Végétalien', 'Végétarien']",?,167,"5,5",23,42,180 g,['Delhaize'],['Delhaize'],699 kj(167 kcal),"0,6","0,4",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Végétarien', 'Végétalien']",,,,,,,,,
71,LOLLY MONSTER,4053900012310,['France'],[],[],?,392,0,98,0,,,,1640 kj(392 kcal),0,67,"0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Thon entier - Filet d'Argent,3700604200949,['France'],[],[],?,?,?,?,?,,"[""Filet d'Argent""]",,,,,,,D,"['Produits de la mer', 'Poissons', 'Thons', 'Thons entiers']",,,,,,,,86.9%,0.0%,2.5%,9.0%,1.2%,0.3%,41,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Buchstaben Kekse - 175g,23384729,['France'],[],[],?,417,"10,7","67,2","8,4",175 g,,,1745 kj(417 kcal),"4,9","18,4","1,03","0,412",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
