,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,quantity,brand,markets,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,allergens,nova_score,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,labels,traceability_code,packaging,brand_owner,additives,generic_name,manufacturing,link,palm_ingredients,ingredients_origins
1674,Confiture Extra de Fraise Gariguette du Périgord - Albert Ménès - 280g,3234750038106,['France'],"['Fraises Gariguette du Périgord', 'sucre', 'gélifiant: pectine de fruits', 'acidifiant: acide citrique']",[],1013,239,"0,5",58,"0,5",280 g,['Albert Ménès'],,1013 kj(239 kcal),"0,1",58,"0,01","0,004",D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de fraises']",,4,+10%,+10%,+107%,+9%,+13%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,0.5 g,en faible quantité,0.1 g,en faible quantité,58 g,en quantité élevée,0.01 g,en faible quantité,+11%,+122%,+14%,-56%,-56%,11,+26%,D,+26%,,,,,"['E440 - Pectines', 'E330 - Acide citrique']",Confiture Extra de Fraise Gariguette du Périgord 280 g,,,,
1675,Paté de campagne - 180g,3304188500459,['France'],[],[],?,307,28,"1,6",12,180 g,,,1284 kj(307 kcal),"5,7","0,8","1,9","0,76",D,"['Viandes', 'Charcuteries', 'Charcuteries diverses', 'Pâté', 'Pâtés de porc', 'Pâtés de campagne']",,,,-1%,+4%,-34%,-15%,74.1%,17.7%,4.6%,2.1%,1.2%,0.3%,39,28 g,en quantité élevée,5.7 g,en quantité élevée,0.8 g,en faible quantité,1.9 g,en quantité élevée,-1%,-44%,-13%,+14%,+14%,16,-16%,D,-16%,,,,,,,,,,
1676,Feuille De Citron Kaffir Sèches,8857122559235,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1677,wintergemüse -,7613312045039,"['France', 'Suisse']",[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1678,TOMATE RONDE BIO - Bouquet - 500g,8412276313357,['France'],[],[],?,?,?,?,?,500 g,['Bouquet'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,
1679,Choucroute garnie Alsacienne,3252832603400,['France'],[],[],?,129,11,"0,9","6,4",,,,540 kj(129 kcal),"4,4","0,9","1,8","0,72",C,"['Plats préparés', 'Choucroutes', 'Choucroutes garnies']",,,,+13%,+30%,-59%,+17%,59.3%,25.1%,6.2%,5.0%,2.6%,1.9%,70,11 g,en quantité modérée,4.4 g,en quantité modérée,0.9 g,en faible quantité,1.8 g,en quantité élevée,+15%,+38%,+55%,+36%,+36%,12,+112%,D,+112%,,"['FR 10.297.001 CE', 'Pont-Sainte-Marie (Aube, France)']",,,,,,,,
1680,Confined de tomate,2600147014694,['France'],[],[],?,188,16,"6,9","2,5",,,,787 kj(188 kcal),"1,1","6,3","5,81","2,324",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Fabriqué en France'],,,,,,,,,
1681,Farfalle arlecchino,8000253001122,['France'],[],[],?,368,"1,4",75,12,,,,1540 kj(368 kcal),"0,3","3,7","0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Fabriqué en Italie'],,,,,,,,,
1682,Cordon de dinde,0248828012533,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1683,Tartelettes citron,0202275019026,['France'],[],[],?,100,10,32,16,,,,418 kj(100 kcal),2,32,"0,05","0,02",C,"['Tartes', 'Tartes sucrées', 'Tartes aux fruits', 'Tartelettes', 'Tartes au citron', 'Biscuit sec nappé aux fruits']",,,,-71%,-34%,-30%,+225%,81.3%,10.4%,3.5%,2.6%,2.1%,0.0%,56,10 g,en quantité modérée,2 g,en quantité modérée,32 g,en quantité élevée,0.05 g,en faible quantité,-71%,-78%,+4%,-77%,-77%,4,-78%,C,-78%,,,,,,,,,,
1684,Aubergine duo bio,3700530903235,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-09', 'AB Agriculture Biologique']",,,,,,,,,
1685,Morbier aop 130 jours,2096561033067,['France'],[],[],?,?,?,?,?,,,,,,,,,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Morbiers']",,,,,,,,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,,,,,,,,,,,,,,,,
1686,Sauce gastronomique bordelaise -,3193840270324,['France'],[],[],?,?,?,?,?,,,,,,,,,,"['Epicerie', 'Sauces', 'Sauces bordelaises']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1687,Boule de campagne,0272425008200,['France'],[],[],?,961,"0,8",45,"7,4",,,,4021 kj(961 kcal),0,"0,9","1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1688,Herbapol - Pomarańcza,5900956100746,"['France', 'Allemagne']",[],[],?,?,?,?,?,,['Herbapol'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
