,name,bar_code,labels,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,markets,traceability_code,manufacturing,packaging,brand_owner,additives,allergens,nova_score,ingredients_origins,generic_name,link
135,Clif Energy 12 Bars - Clif Bar - 12x 68g,0722252331304,['Entrepreneurs + Engagés'],['France'],"['BROWN RICE SYRUP', 'ROLLED DATS ', '17,2%', 'SOY PROTEIN ISOLATE', 'CANE SYRUP', 'RICE FLOUR', 'ROASTED SOYBEANS', 'COCONUT ', '3,3%', 'SOY FLOUR', 'GAY FIBRE', 'CANE SUCA ASWEETENED CHOCOLATE ', '1,6%', 'HIGH OLEIC SUNFLOWER OIL', 'FLAVOURINGS', 'UNSWEETENED CHOCOLATE ', '0,6%', 'BARLEY MALT EXTRACT', 'COCCA BUTTER ', 'O3%', 'AFA SAL', 'COCOA BUTTER ', '0,2%', 'EMULSIFIER: SOY LECITHIN', 'ANTIOXIDANT: TOCOPHEROL RICH EXTRACTS', ' VITAMINS & MINERALS: CALCIUM SALTS OF ORIEOPROSPHORIE ACII', 'MAGNESIUM OXIDE', 'L-ASCORBIC ACID ', 'VIT', ' C', 'DL-ALPHA TOCOPHERYL ACETATE ', 'VIT', ' E', 'BETA CAROTENE ', 'VIT', ' A', 'NICOTINAMIDE ', 'VIT', ' B3', 'RIBOFLAVIN ', '4IT 02', ' THIANIKE MONDNITRATE ', 'VIT', ' B1', 'PYRIDOXINE HYDROCHLORIDE ', 'VIT', ' B6', 'ERGOCALCIFEROL ', 'VIT', ' D2', 'CYANOCOBALAMIN ', 'VIT', ' B12']",[],?,403,1686 kj(403 kcal),"8,8","3,7",63,29,15,"0,63","0,252",12 x 68 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Clif Bar'],,,,,,"['E322i - Lécithine', 'E306 - Extrait riche en tocophérols']",['Soja'],4,,,
136,Le Ricochet - 250g,3297260100053,,['France'],[],[],?,1380,5774 kj(1380 kcal),"24,6","14,2","2,2","0,02","25,3","1,35","0,54",250 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 85.133.001 CE', 'Maillezais (Vendée, France)']",,,,,,,,,
137,Terrine de canard aux olives,3277168000273,,['France'],[],[],?,255,1067 kj(255 kcal),21,"7,3","0,3","0,1",16,"1,4","0,56",,E,"['Viandes', 'Charcuteries', 'Produits à la viande', 'Terrines', 'Terrines de volailles', 'Terrines de canard']",21 g,en quantité élevée,7.3 g,en quantité élevée,0.1 g,en faible quantité,1.4 g,en quantité modérée,,-17%,-17%,-20%,-23%,-83%,-84%,+13%,-8%,-8%,16,-11%,D,-11%,77.8%,15.8%,3.0%,2.2%,1.0%,0.3%,33,,,,,,,,,,,,
138,Coupe framboise,3276550585398,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,Graines décortiquées de chanvre biologique,3701298100010,"['Bio', 'Bio européen', 'en:gluten-free', 'FR-BIO-01']",['France'],[],[],?,567,2372 kj(567 kcal),44,5,"7,1","1,7",32,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,juliette biere fleurie,8794036720064,,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,Bonbon Fresh,0303278136335,,['France'],[],[],?,345,1443 kj(345 kcal),0,0,85,58,0,"0,75","0,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,Caramels,3555080020372,,['France'],[],[],?,398,1665 kj(398 kcal),"8,5",6,78,64,"2,5","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,Banane,2227682003800,,['France'],[],[],?,?,,?,,?,,?,,,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Fruits tropicaux', 'Bananes']",,,,,,,,,,,,,,,,,,,,,,,63.7%,0.0%,0.0%,23.1%,9.9%,3.2%,95,,,,,,,,,,,,
144,Carottes rapées,0208785005979,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
