,name,bar_code,labels,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,markets,traceability_code,manufacturing,packaging,brand_owner,additives,allergens,nova_score,ingredients_origins,generic_name,link
356,Sirop goût Violette - A'ROM - 35cl,3700389701273,"['Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone']","['France', 'Suisse']","['Sucre', 'eau', 'arôme', 'acidifiant ', 'acide citrique', 'colorants ', 'E124*', 'E132', 'E133', 'conservateur : E202', ""                                   \r*Peut avoir des effets indésirables sur l'activité et l'attention chez les enfants""]","['Non végétalien', 'Non végétarien']",1390,?,1390 kj(332 kcal),0,0,83,83,0,0,0,35 cl,,['Boissons'],0 g,en faible quantité,0 g,en faible quantité,83 g,en quantité élevée,0 g,en faible quantité,+398%,,+477%,-100%,-100%,+635%,+779%,-100%,-100%,-100%,20,+161%,E,+161%,,,,,,,,"[""A'ROM""]","['GLOBUS', 'FUTUROSCOPE', 'LITTLE EXTRA']","['EMB 13119B', 'Carnoux-en-Provence (Bouches-du-Rhône, France)']",['FRANCE'],"['VERRE', 'BOUTEILLE']",,"['E330 - Acide citrique', 'E124 - Ponceau 4R', ""E132 - Indigotine carmin d'indigo"", 'E133 - Bleu brillant FCF', '', 'Risque modéré de sur-exposition', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",['NON RENSEIGNE'],4,['France'],Sirop goût Violette,
357,Yaourt Saveurs Tropicales - 8x 120g,3579075574442,,['France'],[],[],?,78,326 kj(78 kcal),1,"0,7","12,6","12,6","3,4","0,1","0,04",8 x 120 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358,Flan,3660454016407,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359,tamarin gellule -,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360,Pepsi 1.5LTR Cherry Pepsi Max,4060800172419,,['France'],[],[],?,10,42 kj(10 kcal),0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Pepsi'],,,,['pet-bottle'],,,,,,,
361,Kombucha Bio Organic Raspberry and Lemon,5060593390365,['Bio'],['France'],[],[],?,10,42 kj(10 kcal),0,0,"1,7","1,5",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
362,Ribs a la provencale,0238432054517,,['France'],[],[],?,224,937 kj(224 kcal),15,"5,2","2,2","0,8",20,"1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
363,Amande hachee - 1kg,3289131700332,,['France'],[],[],?,590,2469 kj(590 kcal),"52,5","3,9","18,7","3,9","21,4","0,05","0,02",1 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
364,Miel de Prairie,3479550000421,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
365,Saucisse sèche,2603908039691,,['France'],[],[],?,390,1632 kj(390 kcal),31,11,"0,5","0,5",25,4,"1,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
366,Mochi ganache chocolat,5027324008883,,['France'],[],[],?,360,1506 kj(360 kcal),15,"8,8",52,37,"3,8","0,12","0,048",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367,Preparation pour cake à la rose - Légendes Gourmandes,3760155985603,,['France'],[],[],?,355,1485 kj(355 kcal),"1,95","1,03",72,37,"6,8","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Légendes Gourmandes'],,,,,,,,,,,
368,Je craque! Façon tatin - 150g,3760116503075,,['France'],[],[],?,451,1887 kj(451 kcal),14,"1,2",74,60,"5,8","1,112","0,445",150 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
369,Lemonade,5060032801636,,['France'],[],[],?,24,100 kj(24 kcal),0,0,"5,9","5,9",0,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
370,Dinde,0209717019156,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371,Whey protéines,5400663805823,,['France'],[],[],?,400,1674 kj(400 kcal),"6,4","3,8","8,2","5,5","76,8","1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372,Fromage des chaumes,0208678027033,,['France'],[],[],?,309,1293 kj(309 kcal),25,17,0,0,21,"2,2","0,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
373,Confit de basilic,3162909039547,,['France'],[],[],?,150,628 kj(150 kcal),14,"1,5","5,7","0,5","2,5","2,8","1,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374,Cuisse de poulet rôti - Maître Coq,0215780036013,,['France'],[],[],?,166,695 kj(166 kcal),10,"2,6",0,0,19,"1,4","0,56",,D,"['Viandes', 'Volailles', 'Poulets', 'Cuisses de poulet']",10 g,en quantité modérée,2.6 g,en quantité modérée,0 g,en faible quantité,1.4 g,en quantité modérée,,-13%,-13%,-19%,-22%,-100%,-100%,+3%,+84%,+84%,5,+42%,C,+42%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,['Maître Coq'],,,,,,,,,,,
375,Lasagnes Saumon - Leclerc,0209578070389,,['France'],[],[],?,123,515 kj(123 kcal),6,"2,5","8,9","1,7","8,3","0,1","0,04",,D,"['Plats préparés', 'Plats à base de pâtes', 'Plats préparés au poisson', 'Lasagnes préparées', 'Lasagnes au poisson', 'Plats au saumon', 'Lasagnes au saumon']",6 g,en quantité modérée,2.5 g,en quantité modérée,1.7 g,en faible quantité,0.1 g,en faible quantité,,-13%,-11%,-7%,-10%,-26%,-20%,+23%,-86%,-86%,-2,-180%,A,-180%,79.3%,12.2%,2.8%,3.0%,1.6%,1.1%,48,['Leclerc'],,,,,,,,,,,
376,Tarte fingers aux pêches 6 parts,0207678029528,,['France'],[],[],?,215,900 kj(215 kcal),"7,3","4,4",33,20,"3,4","0,27","0,108",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377,Gorgonzola/ Mascarpone,2449193017385,,['France'],[],[],?,377,1577 kj(377 kcal),36,26,"1,3","1,3",12,"0,84","0,336",,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Gorgonzola et mascarpone']",36 g,en quantité élevée,26 g,en quantité élevée,1.3 g,en faible quantité,0.84 g,en quantité modérée,,-1%,-1%,-1%,+2%,+15%,+33%,0%,+5%,+5%,12,+1%,D,+1%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,['Gorgonzola et mascarpone'],,,,,,,
378,Curry de légumes aux noix de cajou - 2kg,3220440179655,,['France'],[],[],?,111,464 kj(111 kcal),"7,3","4,4","7,8","3,4","2,5","0,48","0,192",2 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 56.151.001 CE', 'Noyal-Pontivy (Morbihan, France)']",,,,,,,,,
379,Olive,2609800007615,['Fabriqué en France'],['France'],[],[],?,220,920 kj(220 kcal),"21,8","2,8","4,4","0,5","1,5","3,44","1,376",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380,Piments entiers en conserve,3760137390128,,['France'],[],[],?,41,172 kj(41 kcal),"1,3","0,2","3,4","2,3","1,7","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
381,Arôme fleur d'oranger,0637913789656,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382,Emincés de saumon fumé sauvage pacifique - 200g,5060374379428,,['France'],[],[],?,166,695 kj(166 kcal),"7,4","1,4","0,1","0,1","24,3","0,2","0,08",200 g,E,"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés', 'Saumons sauvages', 'Saumons fumés sauvages']",7.4 g,en quantité modérée,1.4 g,en faible quantité,0.1 g,en faible quantité,0.2 g,en faible quantité,,+25%,+26%,+99%,+74%,-80%,-73%,+2%,-93%,-93%,-2,-118%,A,-118%,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,,,,,,,,,,,,
383,Jambon blanc,0281450036270,,['France'],[],[],?,528,2209 kj(528 kcal),"4,4","4,4","0,5",0,21,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
384,Sirop de menthe - Moulin de Valdonne,3272036002274,,['France'],[],[],?,?,,?,,?,,?,,,,B,"['Boissons', 'Sirops', 'Sirops aromatisés', 'Sirops de menthe']",,,,,,,,,,,,,,,,,,,,,,,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,['Moulin de Valdonne'],,,,,,,,,,,
385,Tomates séchées - Agidra,3580281738207,,['France'],[],[],?,200,837 kj(200 kcal),"16,2","1,09","7,1","6,9","3,6","3,76","1,504",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Agidra'],,,,,,,,,,,
386,Saucisson aux cèpes,3039050521187,,['France'],[],[],?,367,1536 kj(367 kcal),29,11,"2,5",0,24,"4,6","1,84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
387,Château Allégret,26080581,,['France'],[],[],?,?,,?,,?,,?,,,,,"['Boissons', 'Boissons alcoolisées', 'Vins']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
388,Delices souffles - Ecochard - 4x 120g,3153573000049,,['France'],[],[],?,208,870 kj(208 kcal),13,"1,5",14,"0,5",8,"0,87","0,348",4 x 120 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Ecochard'],,,,,,,,,,,
389,Schlemmerfilet,20263164,"['Pêche durable', 'Pêche durable MSC']",['France'],[],[],?,740,3096 kj(740 kcal),"10,8","4,7","8,8","1,6","10,9","0,83","0,332",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
390,Le Brebiou - Migros,2153297007509,['Sans lactose'],['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Migros'],['Migros'],['CH-2049'],,,,,,,,,
391,Melrose,3339336300056,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
392,Saucisse de veau,3346230418008,,['France'],[],[],?,?,,?,,?,,?,,,,,"['Viandes', 'Charcuteries', 'Saucisses', 'Viandes de veau', 'Saucisses de veau']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
393,Miel de fleurs - 250g,3770000600025,,['France'],[],[],?,?,,?,,?,,?,0,0,250 g,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de fleurs']",,,,,,,0 g,en faible quantité,,,,,,,,,-100%,-100%,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,
394,Mélange de fruits déshydratés aromatisés en cubes,2600304027628,,['France'],[],[],?,344,1439 kj(344 kcal),0,0,82,72,0,"0,55","0,22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
395,Cramberries séchées en moitiés,2609931033521,,['France'],[],[],?,355,1485 kj(355 kcal),"0,5","0,5","83,2",65,"0,1","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
396,Le Tendre Magret,0275958055178,,['France'],[],[],?,305,1276 kj(305 kcal),26,"8,7","1,2","1,2",16,"0,69","0,276",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,Hoemoes,8714779010222,,"['France', 'Pays-Bas']",[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398,Emmental grand cru Label Rouge,0214002032543,['Label Rouge'],['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
399,Acapulco ( sans alcool ),3107877651506,,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,Tête de moine AOP,0261520016869,,['France'],[],[],?,401,1678 kj(401 kcal),33,20,0,0,25,"1,9","0,76",,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages au lait cru', 'Fromages de Suisse', 'Fromages à pâte pressée demi-cuite', 'Têtes de Moine']",33 g,en quantité élevée,20 g,en quantité élevée,0 g,en faible quantité,1.9 g,en quantité élevée,,-4%,-4%,-5%,-8%,-100%,-100%,-2%,-3%,-3%,18,+1%,D,+1%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,,,,
401,Antipasto - 100g,8718906619449,['Fabriqué en Italie'],"['France', 'Pays-Bas']",[],[],?,?,,?,,?,,?,,,100 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Jar'],,,,,,,
402,Reblochon au lait cru,2215186018307,,['France'],[],[],?,328,1372 kj(328 kcal),"27,4","18,8",0,0,"19,9","1,3","0,52",,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Reblochons']",27.4 g,en quantité élevée,18.8 g,en quantité élevée,0 g,en faible quantité,1.3 g,en quantité modérée,,+1%,+2%,+2%,0%,-100%,-100%,-1%,-3%,-3%,14,-2%,D,-2%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,,,,
403,Vanilla cream wafers,8888101500207,,['France'],[],[],?,490,2050 kj(490 kcal),20,15,72,13,4,"0,14","0,056",,C,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Gaufrettes', 'Gaufrettes fourrées', 'Gaufrettes fourrées à la vanille']",20 g,en quantité modérée,15 g,en quantité élevée,13 g,en quantité élevée,0.14 g,en faible quantité,,-6%,-6%,-25%,-5%,+16%,-60%,-9%,-40%,-40%,18,-20%,D,-20%,76.6%,12.3%,5.4%,2.8%,2.9%,0.0%,70,,,,,,,,,,,,
404,Salade viande pot au feu,3433700016533,,['France'],[],[],?,130,544 kj(130 kcal),8,"0,73","2,2","0,9","10,8","0,27","0,108",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
405,Coquitos - 200g,8410251000049,,['France'],[],[],?,488,2042 kj(488 kcal),"31,8","29,8",41,"31,9","5,1","0,15","0,06",200 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
406,Assortiment charcuterie,2403701031621,,['France'],[],[],?,314,1314 kj(314 kcal),22,"7,8","0,5","0,5",29,"6,2","2,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407,Pate - 1kg,3065620034221,,['France'],[],[],?,359,1502 kj(359 kcal),3,1,70,3,13,"0,1","0,04",1 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408,Espetec noisettes,8437000162216,,['France'],[],[],?,476,1992 kj(476 kcal),"38,1","14,2","5,6","3,1","27,6","4,7","1,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
409,Whole almonds,943222,,['France'],[],[],?,591,2473 kj(591 kcal),"49,4","3,7","9,4","3,8","21,2","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410,Mini beignets fourrés au caramel,0222034019685,,['France'],[],[],?,381,1594 kj(381 kcal),19,"9,5",47,14,6,"0,72","0,288",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411,MEXILHÕES EM ESCABECHE,22021847,,['France'],[],[],?,160,669 kj(160 kcal),"7,5","1,1",5,0,"18,1","1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,Saucisson,8433635122632,,['France'],[],[],?,295,1234 kj(295 kcal),21,"7,8","3,6","2,6",23,"3,8","1,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
413,Tomme Brebis - Monoprix,0200012019889,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Monoprix'],['Monoprix'],,,,,,,,,,
414,Olives vertes dénoyautées,1633639004188,,['France'],[],[],?,129,540 kj(129 kcal),13,"1,5","1,7","0,5","1,4","3,5","1,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
415,GOUDA HOLLAND IGP JEUNE CUMIN,0204599012004,,['France'],[],[],?,?,,?,,?,,?,,,,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages des Pays-Bas', 'Goudas', 'Goudas jeunes']",,,,,,,,,,,,,,,,,,,,,,,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,
416,Huile spéciale friture Biologique_Goût neutre,2155746443661,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
417,Tartin'Algues,3770006106088,,['France'],[],[],?,234,979 kj(234 kcal),22,"3,1","7,2","2,3","1,3","0,78","0,312",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
418,Laborbe juillot,3330548002721,,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
419,SAUCISSON SEC FUME,3273239639816,,['France'],[],[],?,420,1757 kj(420 kcal),35,14,"1,2","0,5",25,"4,6","1,84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420,Pan di torrone,93799843,,['France'],[],[],?,472,1975 kj(472 kcal),"23,2","10,5","55,4","49,9","5,5","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
421,berne inspiration cotes de provence,0818252020314,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
422,Terrine au piment d espelette -,3377440001599,"['Sans colorants', 'Sans conservateurs']",['France'],[],[],?,333,1393 kj(333 kcal),"10,4","10,4","3,47",0,"14,7","2,98","1,192",,,"['Viandes', 'Charcuteries', 'Charcuteries diverses']",10.4 g,en quantité modérée,10.4 g,en quantité élevée,0 g,en faible quantité,2.98 g,en quantité élevée,,+13%,+15%,-58%,+13%,+98%,-100%,-2%,+53%,+53%,24,+28%,E,+28%,,,,,,,,,,,,,,,,,,,
423,Mentos Pure Fresh canelle-menthe,0073390014643,,['France'],[],[],?,4,17 kj(4 kcal),0,0,"1,5",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Mentos'],,,,,,,,,,,
424,Château Gloria 2006,3700415100339,,['France'],[],[],?,?,,?,,?,,?,0,0,,,"['Boissons', 'Boissons alcoolisées', 'Vins']",,,,,,,,,,,,,,,,,-100%,-100%,,,,,,,,,,,,,,,,,,,,,,,
425,Crunchers,0068000531405,,['France'],[],[],?,400,1674 kj(400 kcal),18,10,56,34,6,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
426,Che bon di maïs,8052742251105,"['Végétarien', 'en:gluten-free', 'Végétalien']","['France', 'Espagne']",[],"['Végétalien', 'Végétarien']",?,418,1749 kj(418 kcal),"10,3","1,6","75,2","0,5","5,5",1,"0,4",,,"['Snacks', 'Snacks salés']",10.3 g,en quantité modérée,1.6 g,en quantité modérée,0.5 g,en faible quantité,1 g,en quantité modérée,,-10%,-9%,-57%,-62%,+58%,-85%,-35%,-35%,-35%,7,-43%,C,-43%,,,,,,,,,,,,,,,,,,,
427,Filet poulet roti,2463498034632,['Halal'],['France'],[],[],?,134,561 kj(134 kcal),"4,7","1,4","0,6","0,6",22,"1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 61.096.018 CE', ""Chapelle-d'Andaine (Orne, France)""]",,,,,,,,,
428,Torrone morbido,8017596101044,,['France'],[],[],?,460,1925 kj(460 kcal),17,"1,6",71,65,5,"0,04","0,016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
429,Alcool Intéressant - Barbero,8004160610507,,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Barbero'],,,,,,,,,,,
430,Muscador,3438930444347,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
431,Génoises - 2g,3564705012692,,['France'],[],[],?,375,1569 kj(375 kcal),"9,7","5,6",68,"52,7",3,"0,15","0,06",2 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
432,Salade de fruits au sirop - Bharlev - 3L,3700785006118,,['France'],"['Fruits ', '70%', ' : ananas', 'mangue ', 'décongelée', 'pommes vertes et/ou pommes rouges', 'pastèque', 'melon blanc', 'melon orange', 'sirop ', '30%', ' : eau', 'sirop de sucre inverti', 'acidifiant : acide citrique', 'conservateur : sorbate de potassium', 'antioxydant : acide ascorbique']",[],?,83,347 kj(83 kcal),"0,15",0,"19,23","17,24","0,4",0,0,3 L,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Salades de fruits', 'Salades de fruits au sirop']",0.15 g,en faible quantité,0 g,en faible quantité,17.2 g,en quantité élevée,0 g,en faible quantité,,+24%,+25%,-23%,-100%,+23%,+17%,+35%,-100%,-100%,-1,,A,,74.4%,7.2%,7.9%,6.7%,2.2%,1.6%,81,['Bharlev'],,,,"['Plastique', 'Seau']",,"['E330 - Acide citrique', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E300 - Acide ascorbique']",,4,,,
433,Combi,4040328072583,,['France'],[],[],?,262,1096 kj(262 kcal),24,"15,7","1,5","1,5",10,"3,2","1,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
434,Slim tea,8588005300094,,['France'],[],[],?,1,4 kj(1 kcal),0,0,0,0,"0,69",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
435,Canneberges moelleuses,3452510520054,,['France'],[],[],?,227,950 kj(227 kcal),"0,3","0,1",68,60,"0,3","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
436,Ananas tranche déshydratés,2600125013916,,['France'],[],[],?,376,1573 kj(376 kcal),0,0,93,77,0,"0,73","0,292",,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Fruits tropicaux', 'Ananas']",0 g,en faible quantité,0 g,en faible quantité,77 g,en quantité élevée,0.73 g,en quantité modérée,,+288%,+303%,-100%,-100%,+372%,+348%,-100%,+836%,+836%,12,,D,,37.7%,0.0%,0.0%,33.4%,15.9%,13.1%,95,,,,,,,,,,,,
437,Noix de Coco râpée - Meyva - 1kg,3418659103244,,['France'],[],[],?,668,2795 kj(668 kcal),70,64,5,5,7,"0,02","0,008",1 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Meyva'],,,,,,,,,,,
438,Lait 1 / 2 écrémé En Poudre,3274930700416,['Fabriqué en France'],['France'],[],[],?,430,1799 kj(430 kcal),14,"10,8",45,45,30,"1,12","0,448",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 29209D', 'Plouvien (Finistère, France)']",,,,,,,,,
439,PANE CARASAU - ricetta murgia,8052400480502,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
440,Confiture,3349550003114,['Sans colorants'],['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
441,Nespresso syrups - Nestlé - 3x 50ml,7630054402302,['Fabriqué en France'],['France'],[],[],?,347,1452 kj(347 kcal),0,0,85,"83,9",0,"0,03","0,012",3 x 50 ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Nestlé'],,['FSC-C084648'],,,,,,,,,
442,Pains au chocolat,8783395056723,,['France'],[],[],?,720,3012 kj(720 kcal),21,13,47,14,"7,1","0,87","0,348",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443,Kanna'bar abricot & chia,3766478560091,,['France'],[],[],?,422,1766 kj(422 kcal),20,"2,1",40,30,17,"1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
