,name,bar_code,eco_score,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,packaging,brand,additives,allergens,nova_score,generic_name,quantity,labels,markets,traceability_code,manufacturing,palm_ingredients,link,ingredients_origins
10,California sauce OIGNON POIVRON - Lesieur,3036810979134,,,['France'],[],[],,,,,,,,,?,,300,,1255 kj(300 kcal),,26,,"2,1",,"14,8",,"8,7",,"1,4",,"2,9",,"1,16",,,,,,,,,,,,,,['Lesieur'],,,,,,,,,,,,
11,Velouté de Légumes Poêlés - Liebig - 2L (2x 1L),3036811355425,A,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Plats préparés', 'Soupes', 'Veloutés', 'Soupes de légumes', 'Veloutés de légumes']",['France'],"['Légumes 59 % dont légumes poêlés 18 % ', 'pomme de terre', 'carotte', 'oignon', 'chou-fleur', 'poireau', 'céleri-rave', 'eau', 'huile de colza', 'beurre de cuisine', 'sel', 'arômes ', 'contient : céleri', 'blé', 'sucre', 'ail']",['Non végétalien'],2.8 g,en faible quantité,0.9 g,en faible quantité,2.1 g,en faible quantité,0.73 g,en quantité modérée,225,+41%,?,,225 kj(54 kcal),+38%,"2,8",+82%,"0,9",+49%,"5,2",+9%,"2,1",+14%,"1,1",+29%,"0,73",+13%,"0,292",+13%,2,+49%,B,+49%,25.5%,33.0%,16.0%,11.0%,10.2%,4.3%,97,"['film plastique', 'Carton']",['Liebig'],,"['Céleri', 'Gluten', 'Lait']",4,soupe,2 L (2 x 1 L),['en:FSC'],['Intermarché'],,,,,
12,Liebig Pursoup' Velouté de Carottes fraîches et point de crème - 2x 30cl,3036811357979,,"['Plats préparés', 'Soupes']",['France'],"['Légumes 53% ', 'carotte 31%', 'pomme de terre', 'jus de tomates à base de concentré', 'oignon', 'eau', 'lait écrémé reconstitué', 'crème fraîche 3,6%', 'sel', 'amidon transformé de maïs', 'beurre de cuisine', 'sucre', 'arômes']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",1.6 g,en faible quantité,1 g,en faible quantité,2.4 g,en faible quantité,0.787 g,en quantité modérée,167,-23%,?,,167 kj(40 kcal),-30%,"1,6",-18%,1,+66%,"4,6",-20%,"2,4",+39%,"0,9",-59%,"0,787",-9%,"0,315",-9%,1,-39%,B,-39%,,,,,,,,['Carton'],"['Liebig', 'Campbell']",['E14XX - Amidons modifiés'],['Lait'],4,Velouté de carottes,2 x 30 cl,"['Sans colorants', 'Sans conservateurs']",['Carrefour'],,,,,
13,Brick 2X30CL Potager Toma / Ver - Liebig - 2x 30cl,3036811358341,,,['France'],[],[],,,,,,,,,?,,37,,155 kj(37 kcal),,"0,9",,"0,3",,"5,5",,"2,4",,1,,"0,8",,"0,32",,,,,,,,,,,,,,['Liebig'],,,,,2 x 30 cl,,,,,,,
14,"Huit Légumes et Noix de Muscade - Liebig - 64,9g",3036811358839,A,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Plats préparés', 'Produits déshydratés', 'Produits lyophilisés à reconstituer', 'Soupes', 'Plats préparés déshydratés', 'Soupes de légumes', 'Soupes déshydratées', 'Soupes de légumes déshydratées']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,25.5%,33.0%,16.0%,11.0%,10.2%,4.3%,97,['Sachet'],"['Liebig', 'Campbell']",,,,,"64,9 g","['Peu ou pas de sel', 'Peu de sel', 'Allégé en sel', 'Moins 25% de sel', 'Point Vert', 'Sans colorants', 'Sans conservateurs']",,,,,,
15,Les Gourmandes Duo D'asperges éclats De Morilles - Liebig,3036811359010,,,['France'],"['eau', 'légumes 22 % ', 'asperges blanches et vertes 13 0%', 'pomme de terre', 'oignon', 'épinard', 'rème', 'amidon transformé de maïs', 'morilles ', 'réhydratées', ' 0,9 %', 'huiles de tournesol oléique et de colza', 'sel', 'exhausteur de goût : glutamate de sodium', 'lactose et protéines de lait', 'arôme ', 'contient 1: orge', ' Peut contenir des traces de céleri', 'blé', 'œuf']",['Non végétalien'],,,,,,,,,?,,53,,222 kj(53 kcal),,"3,6",,"1,6",,"4,1",,"0,6",,"0,7",,"0,77",,"0,308",,,,,,,,,,,,,,['Liebig'],"['E14XX - Amidons modifiés', 'E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition']",['Lait'],4,,,,,,,,,
16,Soupe Légumes et Langoustines - Liebig,3036811359423,,,['France'],[],[],,,,,,,,,?,,57,,238 kj(57 kcal),,"3,3",,"1,8",,5,,"1,4",,"1,3",,"0,75",,"0,3",,,,,,,,,,,,,,['Liebig'],,,,,,,,,,,,
17,Délice de homard à l'amoricaine - Liebig,3036811360351,,,['France'],[],[],,,,,,,,,?,,54,,226 kj(54 kcal),,"2,8",,"1,2",,"5,6",,2,,"1,1",,"0,31",,"0,124",,,,,,,,,,,,,,['Liebig'],,,,,,['Sans colorants'],,,,,,
18,Brick 1L Soupe Plaisir Legumes Tomate / Creme Liebig,3036811360436,,,['France'],"['légumes 78 % ', 'puréc de tomates basc de concentré 49 oignon', 'carotte', 'panats', "" cremc fraiche 6 huile d'olive vtetf'e extra"", ' transfortn e de mais', 'huile de colza', ' sel', ' sucre', ' ail', ' arômes COLORANT C03%fiVA1tUa? o la téglanmtation']",[],,,,,,,,,?,,428,,1791 kj(428 kcal),,24,,"8,5",,45,,19,,"6,8",,"0,72",,"0,288",,,,,,,,,,,,,,['Liebig'],,,,,,"['Sans colorants', 'Sans conservateurs']",,,,,,
19,Délice de Tomates au Pesto - Liebig - 1l,3036811362270,A,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Plats préparés', 'Soupes', 'Soupes de légumes', 'Soupes de tomate']",['France'],[],[],4.8 g,en quantité modérée,0.8 g,en faible quantité,4 g,en faible quantité,0.75 g,en quantité modérée,297,+58%,?,,297 kj(71 kcal),+71%,"4,8",+198%,"0,8",+74%,"5,2",-8%,4,+33%,1,-6%,"0,75",+1%,"0,3",+1%,2,+33%,B,+33%,25.5%,33.0%,16.0%,11.0%,10.2%,4.3%,97,"['Brique', 'Carton']",['Liebig'],,,,,1 l,"['Cuisiné en France', 'Sans colorants', 'Sans conservateurs']",,,['France'],,,
20,Doux Plaisir Potiron et Kiri - Liebig,3036811362317,,,['France'],"['eau', 'légumes 36 % ', 'potiron 18%', 'carotte', 'oignon', 'pomme de terre', 'purée de tomates à base de concentré', 'fromage blanc fondu Kiri@ 3,1% ', 'fromage blanc', 'crème', 'protéines de lait', 'sels de fonte : polyphosphates', 'phosphates et citrates de sodium', 'acide citrique', 'sel', 'amidon transformé de maïs', 'crème', 'sel', 'sucre', 'arômes', 'exhausteur de goût : glutamate de sodium', 'tait écrémé', ' Peut contenir des traces de céleri', 'blé et oeuf']",['Non végétalien'],,,,,,,,,?,,38,,159 kj(38 kcal),,"1,5",,1,,"4,9",,2,,"0,9",,"0,7",,"0,28",,,,,,,,,,,,,,['Liebig'],"['E452 - Polyphosphates', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique', 'E14XX - Amidons modifiés', 'E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition']",['Lait'],4,,,"['Sans colorants', 'Sans conservateurs']",,,,,,
21,Confit d'aubergines - Liebig - 500g,3036811362539,,['Légumes cuisinés'],['France'],"['Courgettes 26%', 'aubergines pré-frites 16% ', 'aubergines', 'huile de tournesol', 'oignons', 'purée de tomate 12%', 'eau', ""huile d'oliver vierge extra 2%"", 'sucre', 'huile de colza', 'arômes', 'amidon transformé de maïs', 'sel', 'jus concentré de citron', 'épaississant : gomme xanthane', 'acidifiant : acide citrique', 'ail', 'lait écrémé']",['Non végétalien'],7 g,en quantité modérée,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,428,+40%,?,,428 kj(102 kcal),+33%,7,+148%,0,-100%,"7,5",+1%,0,-100%,"1,6",-37%,0,-100%,0,-100%,-1,,A,,,,,,,,,['Briques'],['Liebig'],"['E14XX - Amidons modifiés', 'E415 - Gomme xanthane', 'E330 - Acide citrique']",['Lait'],4,,500g,"['Sans colorants', 'Sans conservateurs']",,,,,,
22,Ratatouille - Liebig - 500g,3036811362553,B,"['Plats préparés', 'Légumes préparés', 'Ratatouilles']",['France'],[],[],6 g,en quantité modérée,0.8 g,en faible quantité,4.8 g,en faible quantité,0.53 g,en quantité modérée,?,,94,+38%,393 kj(94 kcal),+41%,6,+60%,"0,8",+48%,"7,4",+44%,"4,8",+23%,"1,7",+44%,"0,53",-26%,"0,212",-26%,3,+207%,C,+207%,69.3%,12.8%,5.7%,6.8%,3.2%,2.3%,79,,['Liebig'],,,,,500g,,,,,,,
23,Liebig Tajine Legume,3036811362607,,"['Plats préparés', 'Légumes préparés', 'Tajine']",['France'],[],[],2 g,en faible quantité,0.3 g,en faible quantité,6.8 g,en quantité modérée,0.65 g,en quantité modérée,?,,63,-32%,264 kj(63 kcal),-33%,2,-43%,"0,3",-51%,"8,5",-15%,"6,8",+57%,"1,6",-55%,"0,65",-17%,"0,26",-17%,3,+15773%,C,+15773%,,,,,,,,,['Liebig'],,,,,,,,,,,,
24,Liebig pursoup mouliné 10légumes variés,3036811363123,,,['France'],[],[],,,,,,,,,?,,36,,151 kj(36 kcal),,"1,4",,"0,4",,"4,6",,"1,4",,"0,9",,"0,7",,"0,28",,,,,,,,,,,,,,['Liebig'],,,,,,,,,,,,
25,Velouté Cèpes et Bolets - Liebig - 700ml (2 * 350ml),3036811363567,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Plats préparés', 'Légumes et dérivés', 'Champignons et produits dérivés', 'Soupes', 'Veloutés', 'Veloutés de champignons']",['France'],"['Eau', 'lait écrémé reconstitué', 'champignons 5% ', 'cèpes 2,5%', 'bolets 2,5%', 'amidon modifié de maïs', 'crème fraîche 3%', 'arômes ', 'contient : lait', 'sel', 'épaississant : gomme xanthane']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",1 g,en faible quantité,0.6 g,en faible quantité,1 g,en faible quantité,0.79 g,en quantité modérée,?,,30,-25%,126 kj(30 kcal),-27%,1,-50%,"0,6",-39%,"4,2",-3%,1,+31%,"0,8",-22%,"0,79",+12%,"0,316",+12%,3,,C,,,,,,,,,"['Brique', 'Carton']",['Liebig'],"['E14XX - Amidons modifiés', 'E415 - Gomme xanthane']",['Lait'],4,,700 ml (2 * 350 ml),,,,,,,
26,PurSoup' velouté de tomates - Liebig - 2briquettes,3036811363581,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Plats préparés', 'Légumes et dérivés', 'Tomates et dérivés', 'Soupes', 'Veloutés', 'Soupes de légumes', 'Veloutés de légumes', 'Veloutés de tomates']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,25.5%,33.0%,16.0%,11.0%,10.2%,4.3%,97,,['Liebig'],,,,,2 briquettes,,,,,,,
27,"Velouté de légumes verts, 2x35cl - Liebig",3036811363598,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Plats préparés', 'Soupes', 'Veloutés', 'Soupes de légumes', 'Veloutés de légumes']",['France'],"['eau', 'légumes verts 21,4% ', 'courgette', 'poireau', 'petit poise épinard', 'lait écrémé reconstitué', 'pomme de terre', 'oignon 2,2%', 'amidon transformé de maïs', 'sel', 'beurre de cuisine', 'arômes', ' Peut contenir des traces de céleri', 'blé et œuf,']",['Non végétalien'],0.7 g,en faible quantité,0.4 g,en faible quantité,0.9 g,en faible quantité,0.67 g,en quantité modérée,?,,30,-23%,126 kj(30 kcal),-23%,"0,7",-55%,"0,4",-34%,"4,6",-3%,"0,9",-51%,1,+17%,"0,67",+4%,"0,268",+4%,2,+49%,B,+49%,25.5%,33.0%,16.0%,11.0%,10.2%,4.3%,97,,['Liebig'],['E14XX - Amidons modifiés'],,4,Velouté de légumes verts,,,,,,,,
28,Délice de Légumes et Langoustines - Liebig - 2X 35cl,3036811363710,,"['Plats préparés', 'Soupes']",['France'],"['eau', 'légumes 42 % ', 'pomme de terre', 'carott', 'purée de tomates à base de concentre', 'oignon', 'potiron', 'poireau', 'crème', 'langoustines 2 %', 'amidon transformé de maïs', 'sel', 'beurre de cuisine', 'huile de tournesol oléique', 'arômes ', 'contient: poisson', 'lait', 'exhausteur de goût: glutamate de sodium', 'lactose et protéines de lait', ' Peut contenir des traces de céleri', 'blé', 'ceuf et St Jacques', ' FR ', '84-092-002 CE']","['Non végétalien', 'Non végétarien']",2.6 g,en faible quantité,1.3 g,en faible quantité,1.2 g,en faible quantité,0.78 g,en quantité modérée,?,,50,-12%,209 kj(50 kcal),-12%,"2,6",+34%,"1,3",+115%,"4,9",-15%,"1,2",-31%,"1,4",-36%,"0,78",-10%,"0,312",-10%,3,+83%,C,+83%,,,,,,,,['Briquettes'],['Liebig'],"['E14XX - Amidons modifiés', 'E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition']","['Crustacés', 'Poisson', 'Lait']",4,,2 X 35 cl,['Liebig'],,"['FR 84.092.002 CE', 'Pontet (Vaucluse, France)']",,,,
29,Doux Plaisirs Légumes au Kiri - Liebig - 70cl (2 * 35cl e),3036811363741,A,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits laitiers', 'Produits fermentés', 'Aliments à base de fruits et de légumes', 'Produits laitiers fermentés', 'Plats préparés', 'Fromages', 'Soupes', 'Soupes de légumes']",['France'],"['Eau', 'légumes 32 % ', 'courgette 12,8 %', 'oignon', 'petit pois', 'brocoli', 'épinard', 'fromage blanc fondu Kiri 3,1 % ', 'fromage blanc', 'crème', 'protéines de lait', 'sels de fonte : polyphosphates', 'phosphates et citrates de sodium', 'acide citrique', 'sel', 'amidon transformé de maïs', 'beurre de cuisine', 'sel', 'exhausteur de goût : glutamate de sodium', 'arôme naturel', 'lait écrémé en poudre']",['Non végétalien'],2.4 g,en faible quantité,1.5 g,en quantité modérée,0.9 g,en faible quantité,0.7 g,en quantité modérée,?,,43,+5%,180 kj(43 kcal),+5%,"2,4",+39%,"1,5",+167%,"3,7",-19%,"0,9",-54%,"1,3",+40%,"0,7",+7%,"0,28",+7%,3,+111%,C,+111%,25.5%,33.0%,16.0%,11.0%,10.2%,4.3%,97,"['Brique', 'Carton']",['Liebig'],"['E452 - Polyphosphates', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique', 'E14XX - Amidons modifiés', 'E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition']",['Lait'],4,,70 cl (2 * 35 cl e),,,,,,,
30,Delice de potiron aux girolle liebig 2x35c,3036811363765,,,['France'],[],[],,,,,,,,,?,,54,,226 kj(54 kcal),,"3,3",,2,,"4,8",,2,,"0,9",,"0,7",,"0,28",,,,,,,,,,,,,,['Liebig'],,,,,,,,,,,,
31,"Mouliné de légumes printaniers, 2x35cl - Liebig",3036811363796,,,['France'],"['eau', 'légumes 38 % ', 'carotte', 'pomme de terre', 'navet', 'petits pois', 'asperge', 'oignon', 'épinard', 'crème', 'amidon transformé de maïs', 'sel', 'beurre de cuisine', 'arômes ', 'contient : lait', ' Peut contenir des traces de céleri', 'blé et oeuf']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",,,,,,,,,?,,36,,151 kj(36 kcal),,"1,2",,"0,7",,"4,7",,"0,9",,"0,9",,"0,69",,"0,276",,,,,,,,,,,,,,['Liebig'],['E14XX - Amidons modifiés'],['Lait'],4,,,,,,,,,
