,name,bar_code,eco_score,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,packaging,brand,additives,allergens,nova_score,generic_name,quantity,labels,markets,traceability_code,manufacturing,palm_ingredients,link,ingredients_origins
349,Haricots à oeil noir - Vivien Paille - 300g,3039820523212,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Légumineuses', 'Graines', 'Graines de légumineuses', 'Légumes secs', 'Haricots', 'Cornilles', 'Haricots à oeil noir']",['France'],['Haricots à oeil noir'],[],0.9 g,en faible quantité,0.2 g,en faible quantité,2.1 g,en faible quantité,0.04 g,en faible quantité,1318,+132%,?,,1318 kj(315 kcal),+113%,"0,9",-8%,"0,2",-3%,45,+139%,"2,1",+67%,"23,4",+139%,"0,04",-93%,"0,016",-93%,-7,,A,,,,,,,,,"['Sachet', 'Plastique']",['Vivien Paille'],,,,,300 g,['en:gluten-free'],,,,,,
350,Pois chiche - isia - 2kg,3039820529313,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Légumineuses']",['France'],['pois chiches'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",6 g,en quantité modérée,0.6 g,en faible quantité,2.7 g,en faible quantité,0.06 g,en faible quantité,?,,336,+82%,1406 kj(336 kcal),+85%,6,+26%,"0,6",-22%,43,+153%,"2,7",+32%,19,+79%,"0,06",-88%,"0,024",-88%,-1,,A,,,,,,,,,['sachet plastique'],['Isia'],,,1,pois chiches,2 kg,,"['Carrefour', 'Magasins U']",,,,,
351,"2,5 KG Lentilles Corail",3039820530159,,,['France'],[],[],,,,,,,,,?,,332,,1389 kj(332 kcal),,"1,3",,"0,1",,"56,3",,"0,1",,"23,8",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
352,Lentilles - isis - 500g,3039820535208,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Légumineuses', 'Graines', 'Graines de légumineuses', 'Légumes secs', 'Lentilles']","['Belgique', 'France']",[],[],1.6 g,en faible quantité,0.27 g,en faible quantité,3.8 g,en faible quantité,0.01 g,en faible quantité,?,,332,+37%,1389 kj(332 kcal),+36%,"1,6",+9%,"0,27",+4%,"48,5",+47%,"3,8",+206%,"24,5",+38%,"0,01",-97%,"0,004",-97%,-1,,A,,57.6%,0.0%,16.2%,14.1%,4.5%,7.6%,99,,['Isis'],,,,,500g,,,,,,,
353,Flageolets verts - Vivien Paille - 300g,3039820557255,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Légumineuses', 'Graines', 'Graines de légumineuses', 'Légumes secs', 'Flageolets']",['France'],['Flageolets verts'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",1.7 g,en faible quantité,0.3 g,en faible quantité,4.6 g,en faible quantité,0.03 g,en faible quantité,1180,,?,,1180 kj(282 kcal),+56%,"1,7",+78%,"0,3",+104%,"35,7",+51%,"4,6",+330%,"18,6",+71%,"0,03",,"0,012",,-6,,A,,,,,,,,,"['Sachet', 'Plastique']",['Vivien Paille'],,,1,,300 g,"['en:gluten-free', 'Riche en fibres', 'Riche en protéines']",['Carrefour'],,,,http://www.vivienpaille.fr/les-selections/fiche-produit-gamme-selection-flageolets-verts/,
354,Lentilles Vitess - 200 g - Vivien Paille,3039820570216,A,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Légumineuses', 'Graines', 'Graines de légumineuses', 'Plats préparés', 'Légumes secs', 'Lentilles', 'Lentilles préparées']",['France'],[],[],1.06 g,en faible quantité,0.25 g,en faible quantité,1.65 g,en faible quantité,0 g,en faible quantité,?,,351,+269%,1469 kj(351 kcal),+265%,"1,06",-35%,"0,25",-21%,"48,6",+312%,"1,65",+94%,"26,4",+305%,0,-100%,0,-100%,-1,,A,,57.6%,0.0%,16.2%,14.1%,4.5%,7.6%,99,"['sachet cuisson', 'Boîte', 'Carton']",['Vivien Paille'],,,,Lentilles préparées,200 g,,,,,,,
355,Lentilles à poêler à l'indienne - Vivien Paille - 350g (2x 175g),3039820580024,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Légumineuses', 'Graines', 'Graines de légumineuses', 'Plats préparés', 'Légumes secs', 'Lentilles', 'Lentilles préparées']",['France'],"['Lentilles vertes précuites 92 %', 'maltodextrine de pomme de terre', 'saccharose', 'sel', 'épices 1,5 %', 'plantes aromatiques', 'extrait de levure']","['Sans huile de palme', 'Végétalien', 'Végétarien']",2 g,en faible quantité,0.2 g,en faible quantité,4.4 g,en faible quantité,1.63 g,en quantité élevée,1404,+258%,?,,1404 kj(336 kcal),+249%,2,+22%,"0,2",-37%,"48,5",+311%,"4,4",+418%,"22,9",+251%,"1,63",+119%,"0,652",+119%,6,,C,,57.6%,0.0%,16.2%,14.1%,4.5%,7.6%,99,"['Carton', 'Plastique', 'Sachet']",['Vivien Paille'],,,3,,350 g (2 x 175 g),,,,,,,
356,Haricots rouges - Isia - 2kg,3039820581311,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Légumineuses', 'Graines', 'Graines de légumineuses', 'Légumes secs', 'Haricots', 'Haricots rouges']",['France'],[],[],1.1 g,en faible quantité,0.2 g,en faible quantité,2.1 g,en faible quantité,0 g,en faible quantité,?,,316,+103%,1322 kj(316 kcal),+98%,"1,1",+30%,"0,2",+45%,46,+114%,"2,1",+46%,23,+102%,0,-100%,0,-100%,-7,,A,,21.5%,38.3%,18.4%,8.4%,5.2%,8.2%,92,,['Isia'],,,,,2 kg,,,,,,,
357,Torti de lentilles vertes - Vivien Paille,3039820590252,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Torti']",['France'],[],[],1.5 g,en faible quantité,0.4 g,en faible quantité,3.9 g,en faible quantité,0.01 g,en faible quantité,?,,352,-1%,1473 kj(352 kcal),-2%,"1,5",-14%,"0,4",+20%,"63,9",-11%,"3,9",+12%,"17,3",+43%,"0,01",-53%,"0,004",-53%,-1,,A,,,,,,,,,,['Vivien Paille'],,,,,,,,,,,,
358,Torti de lentilles corail - Vivien Paille - 250g,3039820590269,C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Pâtes sèches', 'Torti']",['France'],"['Semoule de blé dur de qualité supérieure', 'farine de lentilles corail ', '30 %', 'poudre de paprika']","['Sans huile de palme', 'Végétalien', 'Végétarien']",1.3 g,en faible quantité,0.3 g,en faible quantité,4.4 g,en faible quantité,0.02 g,en faible quantité,1506,-1%,?,,1506 kj(360 kcal),+0%,"1,3",-25%,"0,3",-10%,65,-9%,"4,4",+26%,19,+57%,"0,02",-6%,"0,008",-6%,-4,,A,,65.0%,21.6%,6.8%,3.5%,3.1%,0.0%,74,"['Sachet', 'Plastique']",['Vivien Paille'],,['Gluten'],1,,250 g,,,,,,,
359,Quinoa Blond De France - Vivien Paille,3039820630217,,,['France'],"['A preference avant la date imprimée sur le du sachet I Best before date : See date on top of pack I Mindestens bis SietË Packtngsœerseite', ' I Ten minste mudbaar tot : zie hieronder op het pakket I Bàst fôre : se datum pâ pàsens framsida A ccrseaer à rari la dialetr et [humidité', ' I Store in a codand dry place aufœwahren I Koel en droog bewaren I Fôrvaras torrt och svalt', "" Poids net / flet Illeigllt '/ Ilettogeui"", 'ht / Ilettovik']",[],,,,,,,,,?,,364,,1523 kj(364 kcal),,"6,9",,1,,"57,8",,"4,1",,"13,4",,"0,01",,"0,004",,,,,,,,,,,,,,['Vivien Paille'],,,,,,,,,,,,
360,Boulgour,3039820683053,,,['France'],[],[],,,,,,,,,?,,329,,1377 kj(329 kcal),,"1,8",,"0,03",,62,,"0,5",,"12,5",,"0,04",,"0,016",,,,,,,,,,,,,,,,,,,,,,,,,,
361,Riz Rond Blanc - Vivien Paille - 10kg e,3039821100030,C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Riz', 'Riz à grain court', 'Riz blanc']",['France'],['Riz rond'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",0.6 g,en faible quantité,,,,,,,1465,-1%,?,,1465 kj(350 kcal),-0%,"0,6",-26%,,,"78,3",+1%,,,"6,6",-6%,,,,,,,,,79.0%,0.0%,6.4%,11.0%,3.6%,0.0%,74,"['Sachet', 'Plastique', '04']","['Vivien Paille', 'Vivien Paille Restauration', 'Soufflet Alimentaire']",,,1,,10 kg e,"['Point Vert', 'Produits destinés aux professionnels', 'Qualité supérieure']",,,,,,
362,Lentilles vertes du Puy,3039821957283,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Légumineuses', 'Graines', 'Graines de légumineuses', 'Légumes secs', 'Lentilles', 'Lentilles vertes', 'Lentille verte du Puy']",['France'],[],[],1.78 g,en faible quantité,0.3 g,en faible quantité,1.77 g,en faible quantité,0.23 g,en faible quantité,?,,353,+21%,1477 kj(353 kcal),+21%,"1,78",+45%,"0,3",+34%,"60,2",+53%,"1,77",+37%,"24,09",+6%,"0,23",+48%,"0,092",+48%,0,,B,,57.6%,0.0%,16.2%,14.1%,4.5%,7.6%,99,,,,,,,,,,,,,,
363,Riz au lait,3039822780002,B,"['Desserts', 'Puddings', 'Riz au lait']",['France'],[],[],1.9 g,en faible quantité,0.6 g,en faible quantité,12 g,en quantité modérée,0.15 g,en faible quantité,?,,129,-11%,540 kj(129 kcal),-10%,"1,9",-49%,"0,6",-74%,24,+6%,12,-11%,3,-12%,"0,15",+16%,"0,06",+16%,2,-50%,B,-50%,63.9%,15.4%,7.4%,8.1%,4.1%,1.1%,87,,,,,,,,,,,,,,
364,Purée de Lentilles Pommes de Terre & sa Crème Fraîche  - Vivien Paille - 100g,3039823800013,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Plats préparés', 'Produits déshydratés', 'Produits lyophilisés à reconstituer', 'Plats préparés déshydratés', ""Plats préparés d'origine végétale""]",['France'],"['Farine de Lentilles blondes 50%', 'Pommes de terre en flocon 39,1%', 'crème fraîche en poudre 4%', 'sel', 'sirop de sucre au caramel', 'lait écrémé en poudre', 'protéines de lait', 'épices', 'stabilisants : E450', 'émulsifiant : E471', 'arômes naturels', 'farine de moutarde', 'antioxydant : E304']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",,,,,,,,,375,-53%,?,,375 kj(90 kcal),-47%,"1,6",-52%,1,-11%,13,-50%,"2,1",-44%,"4,6",-7%,"0,63",-76%,"0,252",-76%,,,,,,,,,,,,"['Sachet', 'Plastique', 'Doypack', 'Atmosphère protectrice']",['Vivien Paille'],"['E450 - Diphosphates', '', 'Risque élevé de sur-exposition', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E304 - Acide palmityle-6-L-ascorbique']","['Lait', 'Moutarde']",4,"Purée de lentilles et pommes de terre déshydratée, en flocons.",100 g,['Point Vert'],['Super U'],,['France'],"[""E304 - Palmitate d'ascorbyle""]",http://www.vivienpaille.fr/les-purees-de-legumes-secs/fiche-produit-puree-de-lentilles-pommes-de-terre-creme-fraiche/,
365,Lentilles blondes 4mm - Vivien Paille - 10kg,3039824300031,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Légumineuses', 'Graines', 'Graines de légumineuses', 'Légumes secs', 'Lentilles', 'Lentilles blondes']",['France'],['Lentilles blondes'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,57.6%,0.0%,16.2%,14.1%,4.5%,7.6%,99,"['Sac', 'Plastique']","['Vivien Paille', 'Vivien Paille Restauration']",,,1,,10 kg,,,"['EMB 59606B', 'Valenciennes (Nord, France)']",['France'],,,
366,Movin' Box Lentilles aux épices & Poulet - Vivien Paille - 300g,3039825000053,,"['Plats préparés', 'Plats préparés à réchauffer au micro-ondes', 'Box']",['France'],"['Lentilles blondes précuites 30%', 'filet de poulet 7% ', 'poulet', 'sel', 'carottes 6%', 'oignons', 'coulis de tomate', 'huile de tournesol', 'amidon modifié de maïs', 'sel', 'curry', 'persil', 'cumin basilic']","['Non végétalien', 'Non végétarien']",2.1 g,en faible quantité,0.24 g,en faible quantité,1.5 g,en faible quantité,0.617 g,en quantité modérée,375,-40%,?,,375 kj(90 kcal),-41%,"2,1",-66%,"0,24",-91%,"8,5",-51%,"1,5",-11%,"7,6",+26%,"0,617",-16%,"0,247",-16%,-4,-257%,A,-257%,,,,,,,,"['Box', 'Carton']",['Vivien Paille'],['E14XX - Amidons modifiés'],,4,,300 g,['Mijoté en France'],,,['France'],,,
367,Préparation Riz au lait - Vivien Paille,3039825000107,B,"['Desserts', 'Aides culinaires', 'Préparations pour desserts', 'Puddings', 'Riz au lait']",['France'],"['à base de riz rond sucrée saveur caramel salé', ' Riz rond 65%', 'sucre', 'caramel au beurre5dle de glucose', 'sucre de canne', 'beurre', 'laitentiêf,sel sorbitol', 'arôme naturel', 'maltodextrine', ' DE : fruits à coques', 'soja']",['Non végétalien'],,,,,,,,,?,,366,+152%,1531 kj(366 kcal),+156%,"1,9",-49%,"1,1",-52%,82,+263%,30,+122%,"5,1",+49%,"0,2",+55%,"0,08",+55%,,,,,63.9%,15.4%,7.4%,8.1%,4.1%,1.1%,87,,['Vivien Paille'],,"['Lait', 'Fruits à coque', 'Soja']",4,,,,,,,,,
368,Rie au lait saveur 3 chocolats - Vivien Paille,3039825000114,,,['France'],[],[],,,,,,,,,?,,374,,1565 kj(374 kcal),,"3,9",,"2,3",,80,,35,,"4,7",,,,,,,,,,,,,,,,,,['Vivien Paille'],,,,,,,,,,,,
369,Riz au lait,3039825000121,B,"['Desserts', 'Puddings', 'Riz au lait']",['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,28 g,en quantité élevée,,,?,,353,+143%,1477 kj(353 kcal),+147%,0,-100%,0,-100%,83,+267%,28,+107%,"5,3",+55%,,,,,,,,,63.9%,15.4%,7.4%,8.1%,4.1%,1.1%,87,,,,,,,,,,,,,,
370,Riz au lait,3039825444345,B,"['Desserts', 'Puddings', 'Riz au lait']",['France'],[],[],1.9 g,en faible quantité,1.1 g,en faible quantité,30 g,en quantité élevée,0.2 g,en faible quantité,?,,366,+152%,1531 kj(366 kcal),+156%,"1,9",-49%,"1,1",-52%,82,+263%,30,+122%,"5,1",+49%,"0,2",+55%,"0,08",+55%,11,+173%,D,+173%,63.9%,15.4%,7.4%,8.1%,4.1%,1.1%,87,,,,,,,,,,,,,,
371,Tapioca,3039827400295,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372,Riz basmati (tres fin et naturellement parfumé ),3039894581132,C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Riz', 'Riz parfumés', 'Riz de variété indica', 'Riz long grain', 'Riz Basmati']",['France'],[],[],0.6 g,en faible quantité,0.1 g,en faible quantité,0.3 g,en faible quantité,0.01 g,en faible quantité,?,,350,+6%,1464 kj(350 kcal),+5%,"0,6",-42%,"0,1",-58%,78,+10%,"0,3",+23%,"7,4",-2%,"0,01",-72%,"0,004",-72%,0,,B,,79.0%,0.0%,6.4%,11.0%,3.6%,0.0%,74,,,,,,,,['en:gluten-free'],,,,,,
373,Lentilles vertes - Vivien Paille,3039895844618,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Légumineuses', 'Graines', 'Graines de légumineuses', 'Légumes secs', 'Lentilles', 'Lentilles vertes']",['France'],[],[],1.1 g,en faible quantité,0.2 g,en faible quantité,2 g,en faible quantité,0.02 g,en faible quantité,?,,307,+7%,1284 kj(307 kcal),+5%,"1,1",-19%,"0,2",-7%,37,-4%,2,+52%,"25,8",+17%,"0,02",-86%,"0,008",-86%,-2,,A,,57.6%,0.0%,16.2%,14.1%,4.5%,7.6%,99,,['Vivien Paille'],,,,,,,,,,,,
374,Lentilles Corail,3039899530234,,,['France'],[],[],,,,,,,,,?,,345,,1443 kj(345 kcal),,"1,8",,"0,2",,56,,"3,4",,23,,"0,04",,"0,016",,,,,,,,,,,,,,,,,,,,,,,,,,
375,30368279,30368279,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
376,Lisse dru -,3040072716734,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377,Palets framboise - 180g,3040280000076,,,['France'],[],[],,,,,,,,,?,,433,,1812 kj(433 kcal),,17,,"9,5",,"65,1",,"30,7",,"4,3",,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,180 g,,,,,,,
378,Palets orange - 250g,3040280001059,,,['France'],"[""farine de blé'"", 'sucre de canne', ""oeufs'"", ""beurre concentré 15%* écorces d'oranges 11% "", 'fruits', 'sucre', 'sucre inverti', 'arôme naturel', 'poudre levante ', 'bicarbonate allergènes', ' Tracyventue!e de fruits à coque et de sulfite']",['Non végétalien'],,,,,,,,,?,,425,,1778 kj(425 kcal),,"16,7",,"9,3",,"64,2",,"30,1",,"4,1",,"0,12",,"0,048",,,,,,,,,,,,,,['Palets Orange'],,"['Œufs', 'Gluten', 'Lait', 'Anhydride sulfureux et sulfites']",4,,250 g,,['Magasins U'],"['EMB 45179', 'Lailly-en-Val (Loiret, France)']",,,,
379,Palets pur beurre Pistache 450g,3040280001110,,,['France'],[],[],,,,,,,,,?,,0,,0 kj(0 kcal),,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,['Magasins U'],,,,,
380,Palets fraises pur beurre - 250g,3040280001127,,,['France'],[],[],,,,,,,,,?,,433,,1812 kj(433 kcal),,17,,"9,5",,"65,1",,"30,7",,"4,3",,"0,13",,"0,052",,,,,,,,,,,,,,,,,,,250 g,,['Magasins U'],"['EMB 45179', 'Lailly-en-Val (Loiret, France)']",,,,
381,Palets Orange Bio - Biscuiterie Moderne - 180g,3040280002520,C,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']",['France'],"['Farine de blé', 'sucre de canne', 'œufs entiers', 'beurre concentré 15 %', ""écorces d'orange 11 % "", 'fruits', 'sucre', 'sirop de glucose', ""arôme naturel d'orange"", ""poudre à lever : bicarbonate d'ammonium""]","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,"['Sachet', 'Plastique']",['Biscuiterie Moderne'],"[""E503ii - Carbonate acide d'ammonium""]","['Œufs', 'Gluten', 'Lait']",4,,180 g,"['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique']",,,['France'],,,
382,Palets poire william - 250g,3040280007051,,,['France'],[],[],,,,,,,,,?,,433,,1812 kj(433 kcal),,17,,"9,5",,"65,1",,"30,7",,"4,3",,"0,13",,"0,052",,,,,,,,,,,,,,,,,,,250 g,,['Magasins U'],"['EMB 45179', 'Lailly-en-Val (Loiret, France)']",,,,
383,Rochers Noix de Coco - 400g,3040280007143,,,['France'],[],[],,,,,,,,,?,,424,,1774 kj(424 kcal),,"18,3",,"16,2",,"58,7",,"39,6",,"4,3",,"0,11",,"0,044",,,,,,,,,,,,,,,,,,,400 g,,['Magasins U'],"['EMB 45179', 'Lailly-en-Val (Loiret, France)']",,,,
384,macaron noix de coco - biscuiterie moderne,3040280008034,D,"['Desserts', 'Biscuits et gâteaux', 'Pâtisseries', 'Macarons', 'Macarons à la noix de coco']",['France'],"['Sucre de canne', 'Farine de blé*', ""Blancs d'oeufs*"", 'Noix de coco 15%', 'Sucre inverti', 'Poudre à lever ', ""bicarbonate d'ammonium"", ' *Ingrédients allergènes']",['Non végétalien'],6.8 g,en quantité modérée,5.8 g,en quantité élevée,46.1 g,en quantité élevée,0.12 g,en faible quantité,?,,368,-11%,1540 kj(368 kcal),-11%,"6,8",-53%,"5,8",-54%,"72,1",+13%,"46,1",-6%,"3,9",-2%,"0,12",+39%,"0,048",+39%,19,-13%,E,-13%,88.9%,5.7%,2.0%,2.2%,1.2%,0.0%,37,,['biscuiterie moderne'],"[""E503ii - Carbonate acide d'ammonium""]","['Œufs', 'Gluten']",4,,,,,,,,,
385,Palets Chocorange,3040280008058,,,['France'],[],[],,,,,,,,,?,,429,,1795 kj(429 kcal),,"17,1",,"9,6",,"63,9",,31,,"4,2",,"0,12",,"0,048",,,,,,,,,,,,,,,,,,,,,['Magasins U'],,,,,
386,Mini macarons Noix de coco -  - 350g,3040280009031,D,"['Desserts', 'Biscuits et gâteaux', 'Pâtisseries', 'Macarons', 'Macarons à la noix de coco']",['France'],[],[],6.8 g,en quantité modérée,5.8 g,en quantité élevée,46.1 g,en quantité élevée,0.12 g,en faible quantité,?,,368,-11%,1540 kj(368 kcal),-11%,"6,8",-53%,"5,8",-54%,"72,1",+13%,"46,1",-6%,"3,9",-2%,"0,12",+39%,"0,048",+39%,19,-13%,E,-13%,88.9%,5.7%,2.0%,2.2%,1.2%,0.0%,37,,,,,,,350 g,,['Magasins U'],"['EMB 45179', 'Lailly-en-Val (Loiret, France)']",,,,
387,Palets Pur Beurre Citron - Biscuiterie Moderne - 180g,3040280009161,C,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits sablés']",['France'],"['PALETS CITRON POIDS NET : 180g Ingrédients Farine de blé', 'sucre de canne', 'Œufs', 'beurre concentré 15%', 'écorces de citron 11% ', 'cube de citron', 'sirop de glucose-fructose et saccharose', ""correcteur d'acidité : acide citrique"", 'conservateur : sulfites', 'arôme naturel de citron', 'poudre levante ', ""bicarbonate d'ammonium"", ',']",['Non végétalien'],16.7 g,en quantité modérée,9.3 g,en quantité élevée,30.1 g,en quantité élevée,0.12 g,en faible quantité,?,,426,-13%,1782 kj(426 kcal),-13%,"16,7",-28%,"9,3",-33%,"64,3",+2%,"30,1",+19%,"4,2",-32%,"0,12",-82%,"0,048",-82%,20,-9%,E,-9%,80.5%,11.6%,3.5%,2.3%,2.1%,0.0%,56,,['Biscuiterie Moderne'],"['E330 - Acide citrique', ""E503ii - Carbonate acide d'ammonium""]","['Œufs', 'Lait']",4,,180 g,['Pur beurre'],,,,,,
388,Palets amandes - 180g,3040280009598,,,['France'],[],[],,,,,,,,,?,,455,,1904 kj(455 kcal),,"21,2",,"9,9",,"59,9",,"24,8",,"5,9",,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,180 g,,,,,,,
389,Pâte d'amande confiseur,3040400018370,E,"['Massepain', ""Pâtes d'amande""]",['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,?,,0,-100%,0 kj(0 kcal),-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,B,-100%,92.2%,3.6%,1.7%,1.8%,0.8%,0.0%,25,,,,,,,,['Fabriqué en France'],,,,,,
390,Muffins Citron X2 - Brooklyn Coffee Bar,3040400210217,,"['Biscuits et gâteaux', 'Gâteaux', 'Muffins', 'Muffins aux fruits']",['France'],"['Muffin au cifron', 'surgelé : INGRÉDIENTS DE BLÉ', 'de calcium ', 'E 170', 'Fer', 'Niacine', 'Thiamine', 'Sucre', 'Eau', 'Huile de colza', 'DE POULS ÉLEVÉES EN PLEIN AIR EN POUDRE', 'Crème de et aux Œufs ', '3,9%', ' ŒUF DE POULS ÉLEVÉES EN PLEIN AIR', 'BEURRE Eau', 'Jus de ciÙon concenfré', 'Gélifiant', 'Agar-agar ', 'E 406', 'Huile de citron', 'Zeste de cifron ', '2,9%', 'Humectant', 'Glycérol ', 'E 422', 'Amidon de maïs', 'BEURRE', 'Poudre à Lever', 'Carbonates de sodium ', 'E 500', 'Phosphates de calcium ', 'E 341', 'Diphosphates ', 'E450', 'POUDRE DE LAIT ÉCRÉMÉ', 'Jus de concentré ', '07%', 'Arôme', 'Sel', ' Peut contenir des taces de : SOJA', 'skSAME', 'FRUITS À COQUE', 'LUPIN', 'SULFITE']",['Non végétalien'],16.7 g,en quantité modérée,2.5 g,en quantité modérée,22.3 g,en quantité élevée,0.6 g,en quantité modérée,?,,357,-3%,1494 kj(357 kcal),-4%,"16,7",-4%,"2,5",-7%,"45,2",-6%,"22,3",-14%,"5,7",+16%,"0,6",-10%,"0,24",-10%,12,-11%,D,-11%,,,,,,,,,['Brooklyn Coffee Bar'],"['E170 - Carbonates de calcium', 'E406 - Agar-agar', 'E422 - Glycérol', 'E500 - Carbonates de sodium', 'E341 - Phosphates de calcium', '', 'Risque élevé de sur-exposition', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition']","['Œufs', 'Gluten', 'Lupin', 'Lait', 'Soja', 'Anhydride sulfureux et sulfites']",4,,,,,,,,,
391,One spray - Csm,3040400330267,,['Matières grasses'],['France'],"['Huile végétale: ', 'colza', 'palme', 'noix de coco', 'en proportions variables', ' gaz propulseur: ', 'butane', 'propane', "" matière grasse végétale: noix de coco,' esters de cire"", ' lécithines']","['Huile de palme', 'Non végétalien']",99.5 g,en quantité élevée,19 g,en quantité élevée,0 g,en faible quantité,0.619 g,en quantité modérée,?,,895,+11%,3745 kj(895 kcal),+12%,"99,5",+12%,19,-17%,0,-100%,0,-100%,0,-100%,"0,619",+217%,"0,248",+217%,14,+24%,D,+24%,,,,,,,,,['Csm'],"['E943a - Butane', 'E944 - Propane', 'E910 - Esters de cires', 'E322 - Lécithines']",,4,,,,,,,['Huile de palme'],,
392,Pâte D'amandes Blanche - Escabo,3040403060109,E,"['Massepain', ""Pâtes d'amande""]",['France'],[],[],16.4 g,en quantité modérée,1.7 g,en quantité modérée,62 g,en quantité élevée,0.05 g,en faible quantité,?,,433,-2%,1812 kj(433 kcal),-2%,"16,4",-2%,"1,7",-5%,"65,8",+1%,62,+2%,"5,5",-12%,"0,05",+30%,"0,02",+30%,16,+3%,D,+3%,92.2%,3.6%,1.7%,1.8%,0.8%,0.0%,25,,['Escabo'],,,,,,,,,,,,
