,name,bar_code,brand,labels,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,packaging,categories,markets,allergens,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,manufacturing,additives,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,ingredients_origins,link,traceability_code,palm_ingredients,brand_owner,producer_info
0,SoFish Burgers - SoFine,8718885890808,['SoFine'],"['Végétarien', 'Végétalien']",['France'],[],"['Végétalien', 'Végétarien']",?,202,845 kj(202 kcal),"12,6","1,7","12,9","1,2","7,2","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Galettes aux asperges et courgettes - SoFine - 80g,8718885891010,['SoFine'],"['Végétarien', 'Végétalien', 'Union Végétarienne Européenne']",['France'],[],"['Végétalien', 'Végétarien']",?,174,728 kj(174 kcal),"9,7","1,1","14,2","1,7","6,2","0,98","0,392",80 g,['Pot'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Nuggets Veggie aux pétales de maïs - SoFine,8718885891034,['SoFine'],"['Végétarien', 'Végétalien']",['France'],[],"['Végétalien', 'Végétarien']",?,267,1117 kj(267 kcal),17,2,14,2,12,"1,33","0,532",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Batonnets veggie aux algues marines - So Fine - 180g,8718885891157,['So Fine'],['V.label.ue'],['France'],"['Tofu ', 'eau', 'fèves de soja', 'coagulant : sulfate de calcium', 'chapelure ', 'farine de blé', 'levure', 'sel', 'paprika', 'légumes ', 'carotte', 'tomate', 'oignon', 'ail', 'riz', 'pâte à frire ', 'eau', 'farine de blé', 'sel', 'algues réhydratées ', 'laitue de mer', ' 7%', 'huile de tournesol', 'eau', ""flocons d'avoine"", 'herbes aromatiques', 'farine de sarrasin', 'arôme naturel', 'gluten de blé', 'flocons de pommes de terre ', 'soja', 'vitamines ', 'B2', 'B12', 'pyrophosphate de fer', 'Oxyde de zinc']",[],?,219,916 kj(219 kcal),"10,2","1,3","20,7","1,9","9,5",1,"0,4",180g,['Barquette'],['Vegan'],['Monop'],"['Gluten', 'Soja']",4,10.2 g,en quantité modérée,1.3 g,en faible quantité,1.9 g,en faible quantité,1 g,en quantité modérée,,+5%,+6%,+34%,+5%,+20%,-66%,+46%,+59%,+59%,2,-40%,B,-40%,,,,,,,,,,,,,,,,,
4,Biologisch Sinaasappelsap Pak - AH,8718906124066,['AH'],['Bio'],['France'],[],[],?,41,172 kj(41 kcal),"0,2",0,9,9,"0,7",0,0,,['SIG combifit'],,,,,,,,,,,,,,,,,,,,,,,,,,,['AH'],,,,,,,,,,,,,,,,
5,On biologisch waldkorn beschuit,8718906156067,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Albert Heijn Muesli Appel Kaneel Gedroogd Fruit Rozijnen,8718906179707,['Albert heijn'],,['France'],"['Muesli gedroogd fruit en kaneel 315ge/ ca portie ', '40 g', ' Ingrediênten: volkoren havervlok', 'gcrstevlok', 'gedroogd fruit ', '16% rozijn', '4% appel', 'mais', 'plantaardige Olie ', 'zonnel', 'loelll$ katoenzaad', 'suiker', '0,3% kaneelj zout', 'gerstemoutl emulgator ', 'lecittline', 'antioxidant trozemarijn - extract', 'E223 ', 'sulfiet', 'l', 'voedingSZUUr ', 'ascorbinezuur', 'citroenzuur', ' Allergie-informatia: bevat havergluten', 'verstgluten', 'suifiet', "" Gemaakt in een 'o«rijf ook noten worden verwerkt"", ' ', 'loe 40 gram mllesli in koli', ' melki halfvOlle tot: zie acliterziLé', '-L Aren', ' Na ope']",[],?,350,1464 kj(350 kcal),"4,5","0,7",64,14,"9,5","0,2","0,08",,,,['Albert Heijn'],['Anhydride sulfureux et sulfites'],,,,,,,,,,,,,,,,,,,,,,,,,"['E223 - Disulfite de sodium', '', 'Risque élevé de sur-exposition', 'E300 - Acide ascorbique', 'E330 - Acide citrique']",,,,,,,,,,,,,,,
7,Varken Mager Half Om Half Gehakt Schaaltje 300 Gram Koeling - Albert heijn,8718906189164,['Albert heijn'],,['France'],"['Ingrediënten: 49,8% varkensvlees', ' 49,8% rundvleest ', 'citrus', 'granaatappel']",[],?,190,795 kj(190 kcal),12,5,"0,3","0,1",20,"0,2","0,08",,,,['Albert Heijn'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Pittige Chili Sauce - AH,8718906223318,['AH'],,['France'],[],[],?,71,297 kj(71 kcal),"0,1",0,15,10,1,"1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Fusilli van durum,8718906255487,,,['France'],[],[],?,350,1464 kj(350 kcal),1,"0,2",72,3,12,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Roomboter Gevulde Koeken,8718906286191,,,['France'],[],[],?,400,1674 kj(400 kcal),16,7,57,31,"5,5","0,4","0,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Filet Américain -,8718906299986,,,"['France', 'Pays-Bas']","['Filet americain Rauw rundyleesproduct Ingrediënten: 65% rundvlees', 'plantaardige olie ', 'zonno locn', '""aap', 'water', 'azijn', 'tomatenpuree', 'suiker', 'specerijs ', 'nosterd', 'zout', 'scharreleigeel', 'voedingszuur ', 'citroen', '325', 'emulgator ', 'E472c', 'natuurlijk aroma', 'derese', 'specerijen - en kruidenextract ', 'selderij', 'maltodextrine', 'glucosestroop', ""aroma's "", 'selderij', 'soja', 'kruiden', 'gehydrolyseerd plantaardig eiwit ', 'soja', 'mais', 'gistextract', 'paprikaconcentraat', 'antioxidant ', 'rozemarijnextract', 'conserveermiddel ', 'E202', '150 g E melkvrij']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",?,250,1046 kj(250 kcal),21,5,2,1,13,2,"0,8",,,"['Viandes', 'Produits à la viande', 'Préparations de viande', 'Préparations de viande hachée']",,"['Céleri', 'Œufs', 'Soja']",4,21 g,en quantité élevée,5 g,en quantité modérée,1 g,en faible quantité,2 g,en quantité élevée,,+14%,+14%,+30%,-21%,-17%,+35%,-14%,+67%,+67%,15,+29%,D,+29%,,"[""E472c - Ester citrique des mono et diglycérides d'acides gras alimentaires"", 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",,,,,,,,,,,,,,,
12,Smoothie Pomme Banane Poire Framboise,8718906335998,,['en:gluten-free'],['France'],[],[],?,59,247 kj(59 kcal),"0,2","0,1",13,12,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Thé Rooibos - AH,8718906336858,['AH'],,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Zachte bloemen honing - Albert Heijn,8718906354777,['Albert Heijn'],['en:gluten-free'],['France'],['zachte Honing crème'],[],?,300,1255 kj(300 kcal),0,0,75,75,"0,4",0,0,,,,['Albert Heijn'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Goulash soep -,8718906493346,,,['France'],[],[],?,50,209 kj(50 kcal),"1,5","0,2",7,2,2,"0,8","0,32",,,"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Goulash']",,,,1.5 g,en faible quantité,0.2 g,en faible quantité,2 g,en faible quantité,0.8 g,en quantité modérée,,-69%,-68%,-80%,-92%,-33%,+27%,-79%,-15%,-15%,2,-40%,B,-40%,,,,,,,,,,,,,,,,,
16,Burger au potiron et au thym - Albert Heijn,8718906543676,['Albert Heijn'],['Bio'],['France'],"['flocon dlavoine*', 'amidon de tapioca*', 'graine de potiron arôme naturel', ""protéine d'œuf* sel marin"", 'ail* herbes* ', 'e', 'a', ' 0,2% thym', ' *Agriculture biologique', ' Informations pour les personnes allergiques: contient œuf', ""gluten d'avoine"", 'gluten de blé']",[],?,170,711 kj(170 kcal),"7,5","0,9",19,4,5,"1,1","0,44",,,,['Albert Heijn'],"['Œufs', 'Gluten']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Noten Reep Kokos - Albert heijn,8718906577084,['Albert heijn'],,['France'],"['KOKOS GRANOLA REEP INGREDIÉNTEN pompoenpitten 20%', 'gedroogde kokosvlokken 20%', 'zonnebloempitten 20%', 'havervlokken 15%', 'speltstroop 15%', 'hazelnoten 4,9%', 'rietsuiker 4,9%', 'zonnebloemolie 1,5%', ' Kan sporen van ei', 'melk', ""pinda's"", 'sesam', 'soja en andere noten bevatten']",[],?,577,2414 kj(577 kcal),42,18,30,"16,5",15,"0,084","0,034",,,,['Albert Heijn'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Biologische 100% Appel Stroop - Albert Heijn - 330g,8718906611030,['Albert Heijn'],"['Bio', 'en:gluten-free']","['France', 'Pays-Bas']",['pomme* *Agricultùre biologique'],[],?,265,1109 kj(265 kcal),"0,1",0,63,50,"0,8",0,0,330 g,['Jar'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés']",['Albert Heijn'],,,0.1 g,en faible quantité,0 g,en faible quantité,50 g,en quantité élevée,0 g,en faible quantité,,-5%,-4%,-98%,-100%,+12%,-4%,-36%,-100%,-100%,8,-30%,C,-30%,,,,,,,,,,,,,,,,,
19,Biologische Hagelslag Puur Pak 200 Gram - AH,8718906618602,['AH'],"['Bio', 'Commerce équitable', 'Max Havelaar', 'en:AH']",['France'],"['sucre de canne*', 'cacao maigre en poudre*', 'beurre de cacao*', 'émulsifiant ', 'lécithines', 'extrait de vanille Bourbon*', ' *Agriculture biologique', ' Informations pour ies personnes allergiques: - Peut contenir des traces de lait']",[],?,490,2050 kj(490 kcal),19,11,73,72,"6,5",0,0,200,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs']",,,4,19 g,en quantité modérée,11 g,en quantité élevée,72 g,en quantité élevée,0 g,en faible quantité,,-12%,-12%,-52%,-52%,+89%,+127%,-15%,-100%,-100%,26,+23%,E,+23%,,['E322 - Lécithines'],E,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,,,,,,,
20,Fruit biscuit appelsmaak,8718906620896,,,['France'],[],[],?,390,1632 kj(390 kcal),"6,5","1,5",74,34,6,"0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Tempeh,8718906675902,,,['France'],[],[],?,343,1435 kj(343 kcal),"24,9","3,6","9,5","6,7","17,9","1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Vloeibaar Bewust voor bakken en braden - AH,8718906797550,['AH'],,['France'],[],[],?,815,3410 kj(815 kcal),90,"9,5","0,7","0,7","0,4",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Noten muesli - AH,8718906836761,['AH'],,['France'],[],[],?,390,1632 kj(390 kcal),11,"1,5",56,10,12,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Noix de coco en poudre,8718924017227,,,['France'],[],[],?,660,2761 kj(660 kcal),"64,53","57,22","7,35","7,35","6,88","0,09","0,036",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Glow & Highlights Palette - Maxbrands,8718924879115,['Maxbrands'],,['France'],"['MICA', 'SYNTHETIC FLUORPHLOGOPITE', 'SQUALANE', 'ETHYLHEXYL PALMITATE', 'MAGNESIUM STEARATE', 'ALIMINUM STARCH OCTENYLSUCCINATE', 'PHENOXYETHANOL', 'TOCOPHERYL ACETATE', 'PROPYLPARABEN', '± Cl 77019 ', 'MICA', 'Cl 77891', 'Cl 77861 ', 'TIN OXIDE', 'Cl 77510', 'Cl 75470', 'Cl 77491', '16035', 'Cl 45410:2']",[],?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['E572 - Stéarate de magnésium', 'E216 - 4-hydroxybenzoate de propyle']",,,,,,,,,,,,,,,
26,Indian korma chicken with rice - Asian Favorites,8718964013050,['Asian Favorites'],,['France'],"['57 % riz préparé [98,5% riz blanc à long grain cuit ', 'eau', 'riz', '1,5% huile de son de riz]', '43% sauce Korma [eau', '9% extrait de noix de coco', 'oignon', '4% viande de poulet cuite', 'sucre', 'huile de son de riz', 'sel', 'tomates', 'ail', 'plantes aromatiques et épices', ""amidon modifié de mai' gingembre"", 'colorant ', 'extrait de paprika', ']', ' Peut contenir: blé', 'crustacés', 'poisson', 'soja', 'graines de sésame', 'arachides', 'noix de cajou', 'œuf et lait', ' A consommer de préférence avant Ie: voir fond', ' Après ouverture', 'à conserver au réfrigérateur ', '0-7 oc', "" Pays d'origine Thaïlande""]","['Non végétalien', 'Non végétarien']",?,288,1205 kj(288 kcal),"9,6","4,7","41,6","4,3","8,3","1,77","0,708",,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,"['E14XX - Amidons modifiés', 'E160c - Extrait de paprika']",,,,,,,,,,,,,,,
27,Green curry chicken with rice - ASIAN Favorites,8718964013074,['ASIAN Favorites'],,['France'],"['57% riz préparé [98,5% riz blanc à long grain cuit ', 'eau', 'riz', '1,5% huile de son de riz]', '43% Sauce au curry vert [eau', 'extrait de noix de coco', 'dolique asperge', 'pousses de bambou', '4% viande de poulet cuite', 'sucre', 'huile de son de riz', 'piment vert', 'échalote', 'citronnelle', 'ail', 'galanga', 'sel', 'feuilles de combava', 'amidon modifié de maïs', 'pâte de crevettes ', 'crevettes ', 'crustacés', 'sel', ']']","['Non végétalien', 'Non végétarien']",?,129,540 kj(129 kcal),"4,8","1,8","18,1",3,"3,4","0,83","0,332",,,,,['Crustacés'],4,,,,,,,,,,,,,,,,,,,,,,,,['E14XX - Amidons modifiés'],,,,,,,,,,,,,,,
28,Sushi soy sauce - Mikoya - 150ml,8718964013098,['Mikoya'],,['France'],"['eau', 'sel', '12% graine de soja', 'farine de blé,sel', 'Conservateur ', 'E202']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,28,117 kj(28 kcal),0,0,"2,6",0,"4,4","17,1","6,84",150 ml,['Bouche plastique'],"['Epicerie', 'Sauces']",['Action'],"['Gluten', 'Soja']",3,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,17.1 g,en quantité élevée,,-88%,-88%,-100%,-100%,-74%,-100%,+64%,+607%,+607%,3,-74%,C,-74%,,"['E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",,,,,,,,,Assaisonnement à base de soja,,,,,,
29,Smoothie,8718964031016,,,['France'],[],[],?,178,745 kj(178 kcal),0,0,40,35,0,"0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,GOURDES POMME-POIRE - Bio Idea,8718976015387,['Bio Idea'],"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture UE']",['France'],[],[],?,60,251 kj(60 kcal),"0,2",0,14,14,"0,5","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Gourdes Pomme-banane - La Bio Idea,8718976015424,['La Bio Idea'],"['Bio', 'Sans sucre ajouté']",['France'],[],[],?,66,276 kj(66 kcal),"0,3",0,15,15,"0,8","0,005","0,002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,La bioidea café corsé - La Bio Idea,8718976016452,['La Bio Idea'],"['Bio', 'Bio européen', 'AB Agriculture Biologique']",['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Ratatouille - La Bio Idea,8718976016896,['La Bio Idea'],['Bio'],['France'],[],[],?,73,305 kj(73 kcal),4,"0,6",7,"6,2",1,"0,87","0,348",,,"['Plats préparés', 'Légumes préparés', 'Ratatouilles']",,,,4 g,en quantité modérée,0.6 g,en faible quantité,6.2 g,en quantité modérée,0.87 g,en quantité modérée,,+7%,+9%,+7%,+11%,+36%,+59%,-15%,+22%,+22%,4,+309%,C,+309%,,,B,69.3%,12.8%,5.7%,6.8%,3.2%,2.3%,79,,,,,,,
34,Strawberry watermelon zero - Sodastream,8719128110073,['Sodastream'],,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Post workout - Sodastream,8719128110240,['Sodastream'],['Sans arômes artificiels'],['France'],[],[],?,16,67 kj(16 kcal),0,0,"3,9","3,8",0,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Hocus focus - All natur all,8719153003296,['All natur all'],,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Muesli à l'épeautre - BioWise - 500g,8719153005467,['BioWise'],"['Bio', 'Bio européen', 'NL-BIO-01']",['France'],"[""flocons d'épeautre* 28%"", 'flocons de seigle*', 'flocons de blé*', 'graines de tournesol* 10%', 'raisins secs* 8%', ' *biologique']","['Sans huile de palme', 'Végétalien', 'Végétarien']",1552,?,1552 kj(371 kcal),7,"0,7",62,"5,7","12,3","0,04","0,016",500 g,"['Sachet', 'Plastique']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Mueslis']",['Action'],['Gluten'],1,7 g,en quantité modérée,0.7 g,en faible quantité,5.7 g,en quantité modérée,0.04 g,en faible quantité,-13%,,-11%,-47%,-79%,+2%,-66%,+25%,-77%,-77%,-5,-202%,A,-202%,,,B,53.5%,25.9%,8.6%,6.8%,5.2%,0.0%,90,Muesli d'épeautre,['UE/non UE'],,,,,
38,100% Organic - Bio Wise - 500g,8719153005474,"['Bio Wise', 'BioWise']",['Bio'],['France'],"[""flocons d'avoine 90%"", 'raisins secs*', 'noix de coco râpé* 3%', 'mûre noir* 2%', '*=biologique']",[],?,407,1703 kj(407 kcal),"7,8","2,7",65,"5,2",13,"0,02","0,008",500 g,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Aliments à base de fruits et de légumes', 'Petit-déjeuners', 'Céréales et dérivés', 'Fruits et produits dérivés', 'Céréales pour petit-déjeuner', 'Produits déshydratés', 'Fruits', 'Aliments à base de plantes séchées', 'Flocons', 'Fruits rouges', 'Flocons de céréales', 'Fruits secs', 'Flocons laminés', ""Flocons d'avoine"", 'Mûres', 'Noix de coco râpée', 'Raisins secs']",['Intermarché'],,1,7.8 g,en quantité modérée,2.7 g,en quantité modérée,5.2 g,en quantité modérée,0.02 g,en faible quantité,,-39%,-39%,-88%,-95%,+507%,-23%,+76%,-70%,-70%,-7,-195%,A,-195%,,,D,37.4%,55.6%,3.3%,1.3%,2.3%,0.0%,44,,,http://plbio.nl/test/biowise/,,,,
39,Biscuits d'avoine Biowise - 240g,8719153005504,['Biowise'],"['Bio', 'Bio européen', 'Huile de palme durable', 'RSPO']",['France'],"[""flocons d'avoine 25%-farine de blé entier-graisse végétales "", 'huile de palme RSPO', 'huile de tournesol', 'huile de noix de coco', '-Raisins secs 11%-Semences ', 'graines de sésame', 'graines de tournesol', 'graines de lin', 'millet', '-sirop de malt de maïs ', 'orge', '-pomme 4,5%-sirop de riz-noisette-poudre à lever-sel de mer']",['Huile de palme'],1950,?,1950 kj(466 kcal),21,"7,9",56,14,"9,1","0,8","0,32",240g,['Emballage plastique'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', ""Biscuits à l'avoine""]",['Action'],"['Gluten', 'Graines de sésame']",3,21 g,en quantité élevée,7.9 g,en quantité élevée,14 g,en quantité élevée,0.8 g,en quantité modérée,-1%,,+1%,+2%,-1%,-4%,-38%,+22%,+30%,+30%,13,-16%,D,-16%,['Allemagne'],,B,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,biscuits d'avoine,['Allemagne'],,['026841'],['Huile de palme'],,
40,Barre Arachides Amandes et Cannelle - Bio Wise - 3x 25g,8719153005511,['Bio Wise'],"['Bio', 'Bio européen', 'Végétarien', 'en:gluten-free', 'Végétalien', 'GR-BIO-01', 'Sans lactose']",['France'],"['Arachides* 40%', ""sirop d'agave*"", 'raisins secs* 16% ', 'raisins secs*', 'huile de tournesol*', 'amandes 14%', 'graines de citrouille*', 'cannelle* 0,5%', ' *biologiques']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,549,2297 kj(549 kcal),32,"4,5",50,30,16,"0,01","0,004",3 x 25 g,"['Carton', 'Sachets', 'Plastique']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Snacks sucrés', 'Fruits à coques et dérivés', 'Barres', 'Barres de fruits à coques', 'Barres de cacahuètes']",['Action'],"['Fruits à coque', 'Arachides']",3,32 g,en quantité élevée,4.5 g,en quantité modérée,30 g,en quantité élevée,0.01 g,en faible quantité,,+8%,+9%,+6%,-29%,+34%,+32%,-6%,-97%,-97%,9,-33%,C,-33%,,,,,,,,,,,"Barre arachides, amandes et cannelle",,,,,,
41,Barre de canneberge crunchy - Carrefour Bio - 3x 25g (75g),8719153005528,"['Carrefour Bio', 'BioWise']","['Bio', 'Végétarien', 'Bio européen', 'en:gluten-free', 'Végétalien', 'GR-BIO-01', 'Sans lactose']",['France'],"['Arachides* 51 %', 'sirop de maltose*', 'canneberges* 9 % ', 'canneberges*', 'jus de pomme concentré*', 'huile de tournesol*', 'sucre de canne*', 'graines de citrouille*', 'amandes* 6 %', ' *biologique']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,539,2255 kj(539 kcal),"32,5","4,9","42,5","31,5","16,1",0,0,3 x 25 g (75 g),"['Plastique', 'Emballage individuel', 'Carton']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Snacks sucrés', 'Fruits à coques et dérivés', 'Barres', 'Barres de fruits à coques']","['Action', 'Carrefour']","['Fruits à coque', 'Arachides']",3,32.5 g,en quantité élevée,4.9 g,en quantité modérée,31.5 g,en quantité élevée,0 g,en faible quantité,,+9%,+9%,+8%,-15%,+13%,+27%,+6%,-100%,-100%,10,-19%,C,-19%,['Pays bas'],,,,,,,,,,Barre d'arachide avec canneberges et amandes,['UE/non UE'],,['LOT 10WCC067'],,,
42,Vruchtenmix met noten - Bio wise - 200gr,8719153005559,['Bio wise'],"['Bio', 'Bio européen', 'NL-BIO-01']","['Belgique', 'France']","['raisins secs* 42%', 'non salées blanches* 18%', 'noix de coco râpée* 14%', 'noix de Grenoble morceaux* 3,6% 2%', 'sucré canneberges* 1,5%', 'canneberges* 60%0 sucre de canne* 39%', 'c ? ?biologique']",[],?,221,925 kj(221 kcal),22,"9,6",51,35,"8,9","0,07","0,028",200 gr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Nutritional yeast flakes - Bio Today,8719153010348,['Bio Today'],"['Bio', 'Végétarien', 'Végétalien']",['France'],[],"['Végétalien', 'Végétarien']",?,330,1381 kj(330 kcal),6,1,28,2,30,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Confitures et Conserves,8719153012861,,,['France'],[],[],?,187,782 kj(187 kcal),"0,2",0,45,45,"0,7","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Mixed nut butter - Bio wise,8719153446901,['Bio wise'],"['Bio', 'Bio européen']",['France'],[],[],?,595,2489 kj(595 kcal),49,6,11,"4,6",24,"0,4","0,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Houmous Végan Épicé - Mieux Manger - 170g,8719172050172,['Mieux Manger'],"['Végétarien', 'en:gluten-free', 'Kascher', 'Végétalien']",['France'],"['Pois chiches ', '41%', 'eau', 'piments piquants rouges ', '19%', 'pâte de graines de sésame ', '13%', 'huile de colza', 'ail', 'sel', 'vinaigre', 'épices', 'sucre', 'piment relevé rouge', 'stabilisateur ', 'gomme Tara', 'fibres alimentaires', ""régulateur d'acidité "", 'acide citrique']","['Végétalien', 'Végétarien']",724,?,724 kj(173 kcal),"12,46","1,84","13,19","0,6","7,08","1,13","0,452",170 g,"['Pot', 'Plastique', 'Frais']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Produits à tartiner salés', 'Pâtes à tartiner végétales', 'Houmous']",['Franprix'],['Graines de sésame'],4,12.5 g,en quantité modérée,1.84 g,en quantité modérée,0.6 g,en faible quantité,1.13 g,en quantité modérée,-34%,,-34%,-38%,-25%,+24%,-55%,+9%,+9%,+9%,4,-20%,C,-20%,,"['E417 - Gomme tara', 'E330 - Acide citrique']",B,51.0%,18.6%,11.1%,13.1%,4.9%,1.3%,91,,,,,,,
47,Hummus,8719172050240,,,['France'],[],[],?,279,1167 kj(279 kcal),21,"2,5",15,"0,7","6,6","0,68","0,272",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Kruidvat Pro Dynamics Cookies & Cream Barre Protéinée,8719179032898,['Kruidvat'],,['France'],"['smaaken —Barre protéinée saveur cookies & cream de Kruidvatp res e Geschikt revêtementde chocolat au Lait avec ad • 7gdieis Convientà tout moment de La journée', '1 Droog sport', "" Alimentdestinéà l'effort musculaire intense"", 'ICOLA - Conserverau secetde référence au frais', ' INGREDIENTso OTER', 'ENROBAGEDECHOCOËATAU - SIROPOE GLUCdSE', 'HYDROLY&AT-DE COLLA ÈNF', ""sikop DE FR'UCTPS GLYCÉRINEÈ* GRAISSE DE PALME* DEXTROSE"", 'SOUFFLES* CACAO A ', 'FARINE E BLE - FARINE DE Riz', 'FARINE DE MAYS - POUPCF', "" DE PROTÉINE D'ŒUF,' HUIL*E DE PALME"", ' PeUt contenirües * et cravachides']",['Non végétalien'],?,389,1628 kj(389 kcal),11,"6,3",41,23,35,"0,06","0,024",,,"['Compléments alimentaires', 'Compléments pour le Bodybuilding', 'Barres protéinées']",,"['Œufs', 'Gluten']",,11 g,en quantité modérée,6.3 g,en quantité élevée,23 g,en quantité élevée,0.06 g,en faible quantité,,+5%,+5%,-15%,+7%,+25%,+73%,+19%,-88%,-88%,15,+46%,D,+46%,,,,,,,,,,,,,,,,,
