,name,bar_code,packaging,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,brand,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,generic_name,ingredients_origins,link,markets,nova_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,brand_owner,additives,traceability_code,allergens,manufacturing,palm_ingredients,producer_info,origin_detail
617,Pommes Royal Gala - Delhaize,5400112396353,,"['Belgique', 'France']",[],[],?,47,197 kj(47 kcal),?,0,?,"9,7","0,3",0,0,,['Delhaize'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Pommes', 'Fruits frais', 'Pommes sucrées', 'Pommes fraîches', 'Pommes gala']",,,0 g,en faible quantité,9.7 g,en quantité modérée,0 g,en faible quantité,,-10%,-9%,,-100%,,+15%,-2%,-100%,-100%,,,,,B,,,,['Delhaize'],,61.7%,0.0%,0.0%,19.0%,18.4%,0.9%,99,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'BE-BIO-02', 'Agriculture UE/Non UE']",,,,,,,,
618,les drôles de pommes - Delhaize - 1.5kg,5400112428122,,"['Belgique', 'France']",[],[],?,47,197 kj(47 kcal),0,0,"10,4","9,7","0,3",0,0,1.5 kg,['Delhaize'],,,,,,,,,,,,,,,,,,,,,,,,,,,,['Delhaize'],,,,,,,,,,,,,,,,,
619,Ham sauvage - Delhaize - 150g,5400112567319,,"['Belgique', 'France']","['Viande de porc 68%', 'eau', 'amidon de pomme de terre', 'sel', 'herbes et épices ', 'moutarde', 'soja', 'dextrose', 'sirop de glucose', 'protéine de lait', 'antioxydants ', 'acrobate et citrate de sodium', 'conservateur ', 'nitrite de sodium', 'stabilisants ', 'polyphosphates', 'farine de traine de guar', 'colorant ', 'rouge cochenille', ' Contient: soja', 'lait', 'moutarde']","['Non végétalien', 'Non végétarien']",1034,249,1034 kj(249 kcal),21,"8,4","4,6","0,9","10,5","1,9","0,76",150 g,['Delhaize'],,,,,,,,,,,,,,,,,,,,,,,,,Saucisson de jambon,,,['Delhaize'],4,,,,,,,,,,"['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E452 - Polyphosphates', '', 'Risque élevé de sur-exposition', 'E120 - Acide carminique']",,"['Lait', 'Moutarde', 'Soja']",,,,
620,Lardons - Delhaize - 200g,5400112573907,"['Barquette', 'Plastique']","['Belgique', 'France']","['Viande de porc', 'sel', 'sirop de glucose', 'antioxydant ', 'E301', 'conservateurs ', 'E250', 'E252', 'fumée']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,226,946 kj(226 kcal),"15,8","5,9","0,5","0,5","20,4",3,"1,2",200 g,['Delhaize'],"['Viandes', 'Charcuteries', 'Charcuteries diverses', 'Allumettes de porc', 'Lardons de porc']",15.8 g,en quantité modérée,5.9 g,en quantité élevée,0.5 g,en faible quantité,3 g,en quantité élevée,,-14%,-13%,-27%,-28%,-40%,-24%,+24%,+15%,+15%,17,-15%,D,-15%,C,,['Belgique'],,['Delhaize'],4,85.6%,9.1%,2.1%,1.8%,1.1%,0.3%,36,['Bleu Blanc Cœur'],,"['E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition']",['BE B255 EC-EG'],,,,,
621,Lard petit-déjeuner - Delhaize Bio - 200g,5400112580516,,"['Belgique', 'France']","['porc* ', 'sel', 'dextrose* ', 'arômes naturels*', 'antioxydants ', 'acide L-ascorbique', 'citrate de sodium', '1009 de produit fini est préparé avec 1139 de viande de porc', ' * Biologische landbouw / Agriculture biologique']","['Non végétalien', 'Non végétarien']",?,364,1523 kj(364 kcal),32,14,"0,5","0,5",18,3,"1,2",200 g,['Delhaize Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,['Delhaize'],4,,,,,,,,"['Bio', 'Agriculture UE']",,"['E300 - Acide ascorbique', 'E331 - Citrates de sodium']",,,,,,
622,Gouda light jeune - Delhaize,5400112717608,,"['Belgique', 'France', 'Luxembourg']",[],[],?,294,1230 kj(294 kcal),"19,6","14,1",0,0,"29,3","2,1","0,84",,['Delhaize'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages des Pays-Bas', 'Goudas', 'Goudas jeunes']",19.6 g,en quantité modérée,14.1 g,en quantité élevée,0 g,en faible quantité,2.1 g,en quantité élevée,,-19%,-19%,-34%,-29%,-100%,-100%,+25%,+7%,+7%,17,+1%,D,+1%,D,,,,['Delhaize'],,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,
623,Saucisson de Paris - Delhaize - 150g,5400112719862,,"['Belgique', 'France']",[],[],?,228,954 kj(228 kcal),"18,1","6,9","2,2","1,3",14,"2,1","0,84",150 g,['Delhaize'],,,,,,,,,,,,,,,,,,,,,,,,,,,,['Delhaize'],,,,,,,,,,,,,,,,,
624,BioBurger - Delhaize - 125g,5400112725313,['2 burgers'],"['Belgique', 'France']","['Amidon de maïs 29%', 'eau ', 'levain naturel de riz ', 'farine de riz', 'eau', 'farine de riz', 'sésame 5%', 'œuf entier', 'amidon de tapioca', 'sucre de canne', 'sirop de glucose', 'huile de tournesol non hydrogénée', 'glumes de psyllium', 'protéine de pois', 'levure', 'sel de mer', 'épaississant ', 'gomme de guar', 'épaississant ', 'gomme xanthane', 'épices']",['Non végétalien'],?,210,879 kj(210 kcal),"4,8","0,6",36,"3,5",3,"0,68","0,272",125g,['Delhaize'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains spéciaux', 'Pains Burger']",4.8 g,en quantité modérée,0.6 g,en faible quantité,3.5 g,en faible quantité,0.68 g,en quantité modérée,,-27%,-27%,-17%,-42%,-26%,-44%,-66%,-40%,-40%,-1,-145%,A,-145%,B,,,,['Delhaize'],4,72.6%,15.0%,7.8%,4.1%,0.5%,0.0%,81,"['Bio', 'Bio européen', 'en:gluten-free', 'Sans lactose']",,"['E412 - Gomme de guar', 'E415 - Gomme xanthane']",,['Graines de sésame'],,,,
625,Fromage à tartiner Sambal - Delhaize - 150g,5400112780503,['Plastic'],"['Belgique', 'France']","['fromage [lait', 'sel', 'levain', 'présure', 'conservateur ', 'E251', 'colorant ', 'E160a', ']', 'eau', 'beurre', 'lactosérum en poudre ', 'lait', 'sels émulsifiants ', 'E452', 'E450', 'E331', 'sambal oelek 1', '8% ', 'piments', 'sel', 'lait écrémé en poudre', 'extrait de levure', 'paprika']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",?,253,1059 kj(253 kcal),"20,6",13,3,3,14,"2,6","1,04",150 g,['Delhaize'],"['Produits laitiers', 'Produits fermentés', 'Produits à tartiner', 'Produits laitiers fermentés', 'Produits à tartiner salés', 'Fromages', 'Fromages à tartiner']",20.6 g,en quantité élevée,13 g,en quantité élevée,3 g,en faible quantité,2.6 g,en quantité élevée,,+9%,+8%,-1%,-8%,-11%,+1%,+67%,+122%,+122%,18,+50%,D,+50%,D,Fromage à tartiner sambal au lait de vache,,,['Delhaize'],4,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,"['E251 - Nitrate de sodium', '', 'Risque élevé de sur-exposition', 'E160a - Carotènes mélangés', 'E452 - Polyphosphates', '', 'Risque élevé de sur-exposition', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E331 - Citrates de sodium']",['NL Z0019 EG'],['Lait'],,,,
626,Galettes au beurre frais - Delhaize,5400112855676,,"['Belgique', 'France']",[],[],?,504,2109 kj(504 kcal),"27,7","17,5","50,6","32,7",6,"0,9","0,36",,['Delhaize'],,,,,,,,,,,,,,,,,,,,,,,,,,,,['Delhaize'],,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,
