,name,bar_code,packaging,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,brand,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,generic_name,ingredients_origins,link,markets,nova_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,brand_owner,additives,traceability_code,allergens,manufacturing,palm_ingredients,producer_info,origin_detail
0,Cinnamon and raisin,5020364010144,['ldpe-bag'],['France'],[],[],?,265,1109 kj(265 kcal),"1,5","0,2","50,3","8,6","10,3","0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Kinder Chocolate Mini - Ferrero - 72g,5020411123056,['Carton'],['France'],[],[],2360,?,2360 kj(564 kcal),35,"22,6","53,5","53,3","8,7","0,313","0,125",72 g,"['Ferrero', 'Kinder']","['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Barres', 'Confiseries chocolatées', 'Barres chocolatées']",35 g,en quantité élevée,22.6 g,en quantité élevée,53.3 g,en quantité élevée,0.313 g,en quantité modérée,+9%,,+12%,+28%,+50%,-4%,+18%,+28%,-3%,-3%,28,+15%,E,+15%,,,,,,,,,,,,,,,,,,,,,,
2,Riz au Jasmin - Thai Kitchen - 500g,5021047101227,['Brique'],"['France', 'Allemagne', 'Suisse']",['Riz jasmin'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",1425,336,1425 kj(336 kcal),"0,3","0,1","75,4","0,1","6,7",0,0,500 g,['Thai Kitchen'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Riz', 'Riz parfumés', 'Riz de variété indica', 'Riz long grain', 'Riz thaï']",0.3 g,en faible quantité,0.1 g,en faible quantité,0.1 g,en faible quantité,0 g,en faible quantité,-4%,-4%,-3%,-71%,-61%,0%,-61%,-9%,-100%,-100%,0,,B,,C,Riz au Jasmin,['Thaïlande'],http://www.thaikitchen.com/Products/Jasmine-Rice.aspx,['Monoprix'],1,79.0%,0.0%,6.4%,11.0%,3.6%,0.0%,74,,,,,,,,,
3,Geetas Chutney Oignons,5021185041027,,['France'],[],[],?,221,925 kj(221 kcal),"0,2","0,01","52,8","48,2","1,1",2,"0,8",,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Plantes condimentaires', 'Produits à tartiner salés', 'Légumes et dérivés', 'Pâtes à tartiner végétales', 'Oignons et dérivés', ""Confits d'oignons""]",0.2 g,en faible quantité,0.01 g,en faible quantité,48.2 g,en quantité élevée,2 g,en quantité élevée,,+32%,+31%,-88%,-96%,+51%,+49%,+10%,+219%,+219%,15,+128%,D,+128%,,,,,,,,,,,,,,['en:gluten-free'],,,,,,,,
4,Geeta's Mango Chutney 320G - Geeta’s Foods Ltd,5021185201223,['glass-jar'],"['France', 'États-Unis']","['Mangoes ', '56%', 'Sugar', 'salt', 'Acidity Regulator : Acetic Acid', 'Whole Garlic Cloves', 'Seeds Mixed Spices', 'Fenugreek Seeds', 'Nigella Seeds', 'Black Peppercorns', 'cardamom pods', 'Whole cloves', 'herbs']",[],?,258,1079 kj(258 kcal),"0,2","0,01",62,"57,2","0,8",2,"0,8",,['Geeta’s Foods Ltd'],['en:Salted snacks'],0.2 g,en faible quantité,0.01 g,en faible quantité,57.2 g,en quantité élevée,2 g,en quantité élevée,,+137%,+137%,-96%,-99%,+366%,+696%,-39%,-1%,-1%,20,+137%,E,+137%,,,,,,3,,,,,,,,,GEETA'S,['E260 - Acide acétique'],,,,,,
5,Wheat crisp bread,5021476000504,['mixed plastic-bag'],['France'],[],[],?,88,368 kj(88 kcal),"0,8","0,3","16,6","3,4",3,"0,68","0,272",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Biscuits D'avoine Biologique - Traditionnels - Clearspring - 200g,5021554000549,,['France'],[],"['Végétalien', 'Végétarien']",?,432,1807 kj(432 kcal),17,3,55,"1,2",10,"2,4","0,96",200 g,['Clearspring'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', ""Biscuits à l'avoine""]",17 g,en quantité modérée,3 g,en quantité modérée,1.2 g,en faible quantité,2.4 g,en quantité élevée,,-6%,-7%,-17%,-62%,-6%,-95%,+34%,+291%,+291%,17,+10%,D,+10%,C,,,,,,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,"['Bio', 'Végétarien', 'Végétalien', 'Sans sucre ajouté']",,,,,,,,
7,Sweet white miso - Clearspring - 250g,5021554000747,,"['France', 'Royaume-Uni']",[],"['Végétalien', 'Végétarien']",?,171,715 kj(171 kcal),4,"0,4",26,22,"7,7","5,5","2,2",250 g,['Clearspring'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Miso']",4 g,en quantité modérée,0.4 g,en faible quantité,22 g,en quantité élevée,5.5 g,en quantité élevée,,+6%,+9%,-20%,-44%,+90%,+169%,-19%,-31%,-31%,16,+45%,D,+45%,B,,['Japon'],,,,51.8%,21.5%,10.7%,9.6%,6.4%,0.0%,94,"['Bio', 'Végétarien', 'Bio européen', 'en:gluten-free', 'Végétalien', 'en:Soil Association Organic', 'en:jp-bio-134']",,,,,,,,
8,Kombu - Clearspring,5021554002291,,['France'],[],[],?,2,8 kj(2 kcal),"0,1",0,"0,2",0,0,"0,02","0,008",,['Clearspring'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits de la mer', 'Algues et dérivés', 'Algues kombu']",0.1 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0.02 g,en faible quantité,,-99%,-99%,-99%,-100%,-98%,-100%,-100%,-99%,-99%,0,-100%,B,-100%,E,,,,,,53.0%,42.3%,1.8%,1.5%,1.4%,0.0%,25,,,,,,,,,
9,BROWN RICE MISO - Clearspring - 300.0g,5021554980056,,['France'],[],[],?,158,661 kj(158 kcal),"6,1","1,2",10,7,12,"12,7","5,08",300.0 g,['Clearspring'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Cuisses de Poulet RÔTI - Le Gaulois,0217637023948,,['France'],[],[],?,168,703 kj(168 kcal),10,"2,6","0,01","0,01",19,"1,4","0,56",,['Le Gaulois'],"['Viandes', 'Volailles', 'Poulets', 'Cuisses de poulet']",10 g,en quantité modérée,2.6 g,en quantité modérée,0.01 g,en faible quantité,1.4 g,en quantité modérée,,-12%,-12%,-19%,-22%,-97%,-94%,+3%,+84%,+84%,5,+42%,C,+42%,D,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,
11,Eclair vanille X2 Decongele,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Madeleines Monarc - 250g,23306486,,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,250 g,,"['Biscuits et gâteaux', 'Gâteaux', 'Madeleines']",,,,,,,,,,,,,,,,,,,,,,,B,,,,,,73.9%,13.5%,6.0%,3.4%,3.2%,0.0%,75,,,,,,,,,
13,Pointe de brie,26014388,,['France'],[],[],?,314,1314 kj(314 kcal),26,18,2,2,18,"1,6","0,64",,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages à pâte molle à croûte fleurie', 'Fromages de France', 'Bries']",26 g,en quantité élevée,18 g,en quantité élevée,2 g,en faible quantité,1.6 g,en quantité élevée,,+1%,+1%,+0%,-1%,+186%,+426%,-5%,+1%,+1%,15,+1%,D,+1%,D,,,,,,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,
14,12 steaks Hachés,26028668,,['France'],[],[],?,?,,?,,?,,?,,,,,"['Viandes', 'Bœuf', 'Steaks', 'Steaks de bœuf', 'Viandes fraîches', 'Steaks hachés', 'Steaks de bœuf hachés', 'Steaks hachés frais', 'Steaks hachés de bœuf frais']",,,,,,,,,,,,,,,,,,,,,,,E,,,,,,98.0%,0.5%,0.6%,0.6%,0.3%,0.1%,3,"['Viande Française', 'Viande-bovine-francaise']",,,"['FR 84.054.001 CE', 'Isle-sur-la-Sorgue (Vaucluse, France)']",,,,,
15,Bourguignon à mijoter - Socopa - 650g,26099354,['Barquette'],['France'],['Viande bovine'],"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,?,,?,,?,,?,,,650 g,['Socopa'],"['Viandes', 'Bœuf', 'Boeuf à bourguignon']",,,,,,,,,,,,,,,,,,,,,,,E,,,,,1,98.0%,0.5%,0.6%,0.6%,0.3%,0.1%,3,,,,"['FR 84.054.001 CE', 'Isle-sur-la-Sorgue (Vaucluse, France)']",,,,,
16,Pistaches - Menguy's,30170605,"['Sachet', 'sous vide']",['France'],['Pistaches'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,616,2577 kj(616 kcal),50,"6,3",11,"6,5",25,"0,01","0,004",,"[""Menguy's"", ""menguy's""]","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Pistaches']",50 g,en quantité élevée,6.3 g,en quantité élevée,6.5 g,en quantité modérée,0.01 g,en faible quantité,,+1%,+1%,+2%,-1%,-29%,-6%,+13%,-99%,-99%,-1,-117%,A,-117%,C,,,http://www.menguys.fr/fr,,1,80.2%,0.0%,5.4%,8.3%,3.7%,2.3%,40,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Bio france']",,,,['Fruits à coque'],,,,
17,10 burgers moelleux - Casino - 10x 100g,3222477016118,,['France'],"['Viande bovine hachée ', 'origine france', ' 80% - protéines de soja réhydratées 16% - sel - arômes - poudre de jus de betterave - dextrose', ' traces de lait', 'gluten', 'céleri']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",787,189,787 kj(189 kcal),13,"6,3",2,0,16,"0,79","0,316",10 x 100 g,['Casino'],,,,,,,,,,,,,,,,,,,,,,,,,"Préparation à 80% de viande hachée de boeuf avec protéines végétales, assaisonnée, surgelée",,,['Casino'],4,,,,,,,,"['Viande Française', 'Viande-bovine-francaise']",,,,['Soja'],,,,
18,Cigalou Cannelle BAT.10G,3250390008729,['flacon verre'],['France'],[],[],?,?,,?,,?,,?,,,,['Cigalou'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Cornets Exalto vanille gousse Bourbon - Thiriet,3292590084042,,['France'],[],[],?,257,1075 kj(257 kcal),11,"7,8",34,25,"3,6","0,1","0,04",,['Thiriet'],,,,,,,,,,,,,,,,,,,,,,,,,,,,['Thiriet'],,,,,,,,,,,,,,,,,
20,Framboisier Feuilles,3374010110750,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Olives noires à la grecque - Maayane - 450g,3700029206465,,['France'],[],[],?,346,1448 kj(346 kcal),"26,6","3,86","20,7",0,"1,46","8,2","3,28",450 g,['Maayane'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Miel de Tilleul de Picardie - Les Ruchers du Luberon - 500g,3760009390737,['Pot en verre'],['France'],['100% miel de tilleul'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,?,,?,,?,,?,,,500 g,['Les Ruchers du Luberon'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels français', 'Miels de tilleul']",,,,,,,,,,,,,,,,,,,,,,,A,Miel de Tilleul,"['France', 'Picardie']",,,2,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,['Aucun'],"['Produit et récolté en Picardie', 'Mis en pot en Provence', 'Mis en pot en France']",,,
23,Tartare marin nature,3760028530398,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Coca cola 0,5000112634655,,['France'],[],[],?,1,4 kj(1 kcal),0,0,"0,3","0,3",0,"0,02","0,008",,['Coca-Cola'],"['Boissons', 'Boissons gazeuses', 'Sodas', 'Sodas au cola']",0 g,en faible quantité,0 g,en faible quantité,0.3 g,en faible quantité,0.02 g,en faible quantité,,-95%,-96%,-100%,-100%,-94%,-94%,-100%,+85%,+85%,2,-73%,C,-73%,,,,,,,,,,,,,,,,,,,,,,
25,Organic tofu silken & smooth - Clearspring - 300g,5021554987710,"['carton', 'composite-carton']","['France', 'Pays-Bas', 'Royaume-Uni']","['Eau,graines de soja ', '26%', ',gelifiant: nigari', 'chlorure de magnesium', "" de l'agriculture biologique"", 'Produit du Japon']","['Végétalien', 'Végétarien']",?,64,268 kj(64 kcal),3,"0,6","1,9","1,3","6,8","0,1","0,04",300 g,['Clearspring'],,,,,,,,,,,,,,,,,,,,,,,,,,,,['Ekoplaza'],4,,,,,,,,"['Bio', 'Végétarien', 'Bio européen', 'en:gluten-free', 'Végétalien', 'Agriculture non UE', 'SI-EKO-002', 'en:JP-BIO-154']",,,,['Soja'],,,,
26,Meat Alternatives - Vegan - Cheatin Pepperoni Slices,5021821002351,,['France'],[],"['Végétalien', 'Végétarien']",?,282,1180 kj(282 kcal),"18,7","7,3",0,0,"22,7","1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Végétarien', 'Végétalien']",,,,,,,,
27,Pure green tea - clipper - 160g,5021991979019,,"['France', 'Royaume-Uni']",[],[],?,?,,?,,?,,?,,,160g,['Clipper'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés', 'Thés verts']",,,,,,,,,,,,,,,,,,,,,,,B,,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,,,,,,,,
28,Limonade aromatisée fleur de sureau - Belvoir Fruit Farms,5022019150113,,['France'],"['eaudesourœ gazéifiee', 'sucre biologique', 'fleurs citronbiologique', 'acidifiant ', 'acide citrique', ""jus de citron bi' k±lurhpudend 'dgeand un endroit frais et à l'abri de la lumière"", 'Unefois Ouvert', 'au réfrigérateur et consommer dans les 3jours• Na het openen gekoeld bewaren enblnnen3dagen opdrinken']",[],?,42,176 kj(42 kcal),0,0,10,10,0,0,0,,['Belvoir Fruit Farms'],"['Boissons', 'Boissons sans sucre ajouté']",0 g,en faible quantité,0 g,en faible quantité,10 g,en quantité élevée,0 g,en faible quantité,,-5%,-11%,-100%,-100%,+16%,+47%,-100%,-100%,-100%,13,+136%,E,+136%,,,,,,,,,,,,,,['Bio'],,['E330 - Acide citrique'],,,,,,
29,Luxury Hot Chocolate - Whittard,5022032097129,['Can'],['France'],"[""INGRÉDIENTS'"", ' Sucre', 'Cacao 39% Dextrose', 'Sel', 'Arôme', ' Contient solides de Cacao']",[],?,397,1661 kj(397 kcal),"8,3",5,"66,5","59,2","8,7","0,55","0,22",,['Whittard'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,
30,Chocolat blanc en poudre praliné - Whittard,5022032105541,,['France'],[],[],?,457,1912 kj(457 kcal),"14,8",9,"76,8","76,6","4,1","1,2","0,48",,['Whittard'],"['Boissons', 'Petit-déjeuners', 'Cacao et dérivés', 'Cacaos et chocolats en poudre', 'Boissons instantanées', 'Chocolats en poudre', 'Chocolat blanc en poudre praliné']",,,,,,,,,,+38%,+34%,+244%,+253%,+21%,+36%,-35%,+474%,+474%,,,,,D,,,,,,75.0%,1.1%,15.1%,5.7%,3.2%,0.0%,52,['en:gluten-free'],,,,,,,,
31,Cranberry & Raspberry Flavour Instant Tea - Whittard,5022032114901,,['France'],[],[],?,379,1586 kj(379 kcal),0,0,95,93,0,0,0,,['Whittard'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Blueberry cheesecake white hot chocolate - Whittard - 350g,5022032122739,,"['France', 'Royaume-Uni']","['Sucre', 'Beurre de Cacao ', '15%', 'Lait Écrémé en Poudre', 'Dextrose', 'Arômes', 'Couleur : E163 ', 'Anthocyanine', 'Emulsifiant: E450 ', 'Diphosphates', 'Sel', 'Poudre de Petit-lait ', 'Lait']",['Non végétalien'],?,458,1916 kj(458 kcal),15,9,78,74,4,1,"0,4",350 g,['Whittard'],"['Boissons', 'Petit-déjeuners', 'Cacao et dérivés', 'Cacaos et chocolats en poudre', 'Boissons instantanées', 'Chocolats en poudre']",,,,,,,,,,+38%,+34%,+249%,+253%,+23%,+31%,-37%,+378%,+378%,,,,,D,,,,,4,75.0%,1.1%,15.1%,5.7%,3.2%,0.0%,52,,,"['E163 - Anthocyanes', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition']",,['Lait'],,,,
33,Naked Green Machine Smoothie,5022313395586,['pet-bottle'],['France'],"['Apple juice ', '64%', 'Pineapple juice ', '11%', 'Banana puree ', '9%', 'Kiwi puree ', '7%', 'Mango puree ', '7%', 'Botanical extracts ', '0', '5%', ' ', 'Spirulina ', '0', '3%', 'Spinach', 'Chlorella', 'Ginger root', 'Broccoli', 'Barley grass', 'Wheat grass', 'Parsley', 'Garlic', 'Blue green algae', 'Natural flavourings']",[],?,52,218 kj(52 kcal),0,0,12,11,"0,5",0,0,,['Naked'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Boissons sans alcool']",0 g,en faible quantité,0 g,en faible quantité,11 g,en quantité élevée,0 g,en faible quantité,,+37%,+31%,-100%,-100%,+39%,+50%,+119%,-100%,-100%,5,-29%,C,-29%,C,,,,,4,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,['Sans sucre ajouté'],,,,,,,,
34,"Smooth - Orange Juice - Tropicana - 1,6l",5022313734736,['composite-carton'],['France'],"[""100% jus d'orange""]","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,43,180 kj(43 kcal),0,0,"8,9","8,9","0,8",0,0,"1,6 l",['Tropicana'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', ""Jus d'orange"", 'Jus de fruits pur jus', ""Jus d'orange pur jus""]",0 g,en faible quantité,0 g,en faible quantité,8.9 g,en quantité élevée,0 g,en faible quantité,,0%,-1%,-100%,-100%,-8%,-3%,+27%,-100%,-100%,2,-33%,C,-33%,C,,,,,1,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,['en:FSC'],,,['FSC-C081801'],,,,,
35,Dried Pineapple - Forest Feast - 500g,5022374044058,,['France'],"['ananas', 'act', ' ', 'DIOXYDE DE SOUFRE', ' INFORMATION ALLERGÈ S peut ds', ' contenir des traces de cacahuètes', 'fruits à coque et graines de sésame']",[],?,276,1155 kj(276 kcal),"1,3",0,"67,9","67,9","2,5","0,03","0,012",500 g,['Forest Feast'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['E220 - Anhydride sulfureux', '', 'Risque élevé de sur-exposition']",,,,,,
36,Sparkling Lemon And Lime Water - Tims Dairy,5022463175915,['pp-pot'],['France'],"['Bio-Live Greek Holte Ingredients ', 'allergens in BOLD', ' Greek Style Natural Yogurt ', 'Skimmed MILK', ' Cteam ', 'MILK', 'MILK Soll', 'js', ' Brown Sugar', 'Cane Sugar', 'Honey ', '4', '890', ' Rice Starch Natural Flavouring', 'Lemon Juice Concentrate Suitable for Vegetarians', 'Gluten Free Free from artificial colours and flavours Storage Information: Keep refrigerated - Do not freeze Consume within3 days ofopening', ' use by: lid']",[],?,632,2644 kj(632 kcal),"8,5","5,5","14,2","12,3","4,9","0,2","0,08",,"['Tims Dairy', 'Morrisons']","['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts à la grecque', 'Yaourts au miel']",8.5 g,en quantité modérée,5.5 g,en quantité élevée,12.3 g,en quantité modérée,0.2 g,en faible quantité,,+418%,+416%,+60%,+69%,-4%,-13%,+24%,+101%,+101%,14,+225%,D,+225%,,,,,,,,,,,,,,['en:gluten-free'],,,,['Lait'],,,,
37,Fingerfoods - 20g,5024121368110,,['France'],[],[],?,450,1883 kj(450 kcal),14,"1,6",70,"3,5","8,2",0,0,20 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Goodies Banana & Date Fruit Bars 6 x - Organix Chunky Fruit,5024121423215,,['France'],[],[],?,302,1264 kj(302 kcal),"0,5","0,1",69,59,"2,4","0,03","0,012",,['Organix Chunky Fruit'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,
39,Organix Goodies,5024121437212,,['France'],"['Wholegrain oats', 'Raisins', 'Sunflower oil', 'Apple juice concentrate', 'Strawberry juice concentrate', 'Raspberry juice concentrate']",[],?,405,1695 kj(405 kcal),"15,1","1,8","56,6","26,1","7,7","0,03","0,012",,,"['Snacks', 'Snacks sucrés', 'Barres', 'Barres de céréales']",15.1 g,en quantité modérée,1.8 g,en quantité modérée,26.1 g,en quantité élevée,0.03 g,en faible quantité,,-4%,-5%,-4%,-70%,-6%,-4%,+3%,-92%,-92%,11,-17%,D,-17%,,,,,,,,,,,,,,"[""À l'huile de tournesol""]",,,,,,,,
40,Organix: Goodies Animal Biscuits - 100G,5024121617300,,['France'],"[""Our organie ingrcdionto Wheat flout Wheat flour Grepe juice concentrate Palm oil Sunflower oil Raising agent' "", 'sodium bicarbonate', ' Thiamin ', 'vitamin BI', ' • Total']",[],?,438,1833 kj(438 kcal),"13,6","4,1",68,17,"8,3","0,39","0,156",,['Organix'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,['E500ii - Carbonate acide de sodium'],,,,,,
41,Cocoa Raspberry Seed Bar,5024278001847,,['France'],[],[],?,542,2268 kj(542 kcal),"38,1",10,"29,7","27,1",15,"0,33","0,132",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['en:gluten-free'],,,,,,,,
42,Fruité sans gluten - 9bar - 160g (4x 40g),5024278004176,['Carton'],['France'],"['Mélange de graines ', 'tournesol', 'potiron', 'sésame', 'chanvre décortiqué', ' ', '50%', 'nappage caroube ', 'sucre', 'huile végétale', 'soja', 'caroube', 'émulsifiant : lécithine de tournesol', 'abricots séchés ', '11%', 'sirop de sucre de canne ambré', 'dattes ', '9%', 'sucre de canne brut', 'huile végétale', 'farine de riz']","[""Pourrait contenir de l'huile de palme"", 'Végétarien']",2226,?,2226 kj(532 kcal),"34,2","10,5","39,4","33,3","14,3","0,254","0,102",160 g (4 x 40 g),['9bar'],"['Snacks', 'Snacks sucrés', 'Barres', 'Barres de graines']",34.2 g,en quantité élevée,10.5 g,en quantité élevée,33.3 g,en quantité élevée,0.254 g,en faible quantité,,,+0%,-5%,+46%,+27%,+33%,-13%,-7%,-7%,19,+38%,E,+38%,,barre énergétique,,,['Carrefour'],4,,,,,,,,"['Végétarien', 'en:gluten-free', 'Sans additifs', 'Sans œufs', 'Sans conservateurs', 'en:Vegetarian Society', 'Sans blé', 'Sans levure']",,['E322i - Lécithine'],,"['Graines de sésame', 'Soja']",,,,
43,Club saumon & fromage frais sur un pain aux flocons d’avoine -,5024373108991,,['France'],[],[],?,490,2050 kj(490 kcal),"29,3","9,3","37,8","4,1","17,9","2,2","0,88",,,"['Sandwichs', 'Sandwichs au poisson', 'Sandwichs au saumon']",29.3 g,en quantité élevée,9.3 g,en quantité élevée,4.1 g,en faible quantité,2.2 g,en quantité élevée,,+108%,+107%,+225%,+303%,+37%,+6%,+86%,+64%,+64%,24,+349%,E,+349%,B,,,,,,68.6%,11.8%,7.2%,8.4%,3.1%,0.8%,78,,,,,,,,,
44,American pizza - Pizza Express - 250g,5024530005316,"['Carton', 'plastic film', 'card-box']","['France', 'Royaume-Uni']","['FORTIFIED WHEAT FLOUR ', 'wheat flour', 'calcium carbonate', 'iron', 'niacin', 'thiamin', 'tomatoes ', '24%', 'mozzarella cheese ', 'milk', ' ', '17%', 'PEPPERONI ', '10%', ' ', 'pork', 'pork fat', 'salt', 'dextrose', 'caraway', 'garlic', 'rosemary extract', 'anise', 'paprika', 'paprika extract', 'antioxidant sodium ascorbate', 'ginger extract', 'pepper extract', 'preservative sodium nitrite', 'rapeseed oil', 'wheat semolina', 'water', 'salt', 'yeast', 'sugar', 'black pepper', 'oregano', 'wheat flour', 'dextrose', 'emulsifier E472e', 'basil', 'white pepper', 'flour treatment agent ascorbic acid']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",?,271,1134 kj(271 kcal),"11,2","5,1","30,5","3,1","11,3","1,13","0,452",250g,['Pizza Express'],"['Plats préparés', 'Pizzas tartes salées et quiches', 'Pizzas']",11.2 g,en quantité modérée,5.1 g,en quantité élevée,3.1 g,en faible quantité,1.13 g,en quantité modérée,,+18%,+18%,+34%,+30%,+13%,+5%,+10%,-10%,-10%,13,+67%,D,+67%,,"Pepperoni, creamy mozzarella & crushed tomato passata pizza",,,['Tesco'],4,,,,,,,,,,"['E160c - Extrait de paprika', 'E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', ""E472e - Ester Monoacéthyltartrique de mono- et diglycérides d'acides gras"", 'E300 - Acide ascorbique']",,"['Gluten', 'Lait']",,,,
45,Pitta bread,5024718001307,,['France'],[],[],?,254,1063 kj(254 kcal),"1,5","0,21","48,2","3,5","10,3","0,69","0,276",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Handmade Shortbread,5024769530078,,['France'],[],[],?,532,2226 kj(532 kcal),"29,5","19,6","60,7","21,5","4,9","0,8","0,32",,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits sablés', 'Shortbread']",29.5 g,en quantité élevée,19.6 g,en quantité élevée,21.5 g,en quantité élevée,0.8 g,en quantité modérée,,+3%,+3%,+5%,+17%,+0%,+13%,-11%,+21%,+21%,23,+8%,E,+8%,C,,,,,,80.5%,11.6%,3.5%,2.3%,2.1%,0.0%,56,,,,,,,,,
47,GO isotonic energy gel - 60ml,5025324002672,,['France'],[],[],?,144,602 kj(144 kcal),1,0,36,1,0,"0,1","0,04",60 ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
