,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,brand,labels,packaging,markets,generic_name,manufacturing,additives,allergens,nova_score,traceability_code,ingredients_origins,link,palm_ingredients,brand_owner
0,Mini viennoiseries,3700462030726,['France'],[],[],?,328,1372 kj(328 kcal),17,12,37,11,"5,4","0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Part de flan x,3700462031266,['France'],[],[],?,187,782 kj(187 kcal),"7,1","4,5",27,18,"3,5","0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Pains aux raisins,3700462033123,['France'],[],[],?,295,1234 kj(295 kcal),13,"7,8",41,17,"5,4","0,57","0,228",C,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Pains aux raisins']",13 g,en quantité modérée,7.8 g,en quantité élevée,17 g,en quantité élevée,0.57 g,en quantité modérée,,-1%,-1%,+18%,+30%,-7%,-1%,-6%,-10%,-10%,15,+9%,D,+9%,74.6%,17.9%,4.8%,2.4%,0.4%,0.0%,64,,,,,,,,,,,,,,,
3,Pain de campagne - 177g,3700462034083,['France'],[],[],?,265,1109 kj(265 kcal),"1,3","0,2",52,"1,4",10,"1,3","0,52",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains de campagne']",1.3 g,en faible quantité,0.2 g,en faible quantité,1.4 g,en faible quantité,1.3 g,en quantité modérée,,-0%,-0%,-62%,-58%,+8%,-30%,+22%,+4%,+4%,3,+5%,C,+5%,,,,,,,,177 g,,,,,,,,,,,,,,
4,Baguette les 3 meniers - Leclerc,3700462034120,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Leclerc'],['Bio'],,,,,,,,,,,,
5,Pains aux Céréales - Leclerc,3700462035035,['France'],[],[],?,278,1163 kj(278 kcal),"4,6","0,4",47,"1,6","9,6","5,5","2,2",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains spéciaux', 'Pains multicéréales']",4.6 g,en quantité modérée,0.4 g,en faible quantité,1.6 g,en faible quantité,5.5 g,en quantité élevée,,+2%,+3%,-14%,-46%,+6%,-27%,+16%,+358%,+358%,13,+6400%,D,+6400%,,,,,,,,,['Leclerc'],,"['Sachet', 'Plastique']",['Leclerc'],,,,,,,,,,
6,"Beignets Pomme Décongelés, x4 -",3700462035943,['France'],[],[],?,282,1180 kj(282 kcal),"8,7","1,2",41,12,"6,1","0,69","0,276",,"['Snacks', 'Snacks sucrés', 'Beignets sucrés']",8.7 g,en quantité modérée,1.2 g,en faible quantité,12 g,en quantité modérée,0.69 g,en quantité modérée,,-21%,-21%,-45%,-65%,-9%,-26%,-4%,-6%,-6%,6,-50%,C,-50%,,,,,,,,,,,,,Beignets fourrés à la purée de pomme,,,,,,,,,
7,"Chouquettes, x20 - Leclerc",3700462036049,['France'],[],[],?,270,1130 kj(270 kcal),13,"8,7",32,16,"6,2","0,64","0,256",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Leclerc'],,,,,,,,,,,,,
8,Pastèque,3700462041531,['France'],[],[],?,35,146 kj(35 kcal),0,0,"7,3","6,7","0,6",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Crepe,3700462047359,['France'],[],[],?,408,1707 kj(408 kcal),"5,3","1,7",74,34,15,"1,4","0,56",B,"['Crêpes et galettes', 'Crêpes']",5.3 g,en quantité modérée,1.7 g,en quantité modérée,34 g,en quantité élevée,1.4 g,en quantité modérée,,+33%,+32%,-46%,-53%,+63%,+60%,+109%,+72%,+72%,19,+57%,E,+57%,67.6%,15.0%,9.2%,4.1%,4.2%,0.0%,86,,,,,,,,,,,,,,,
10,Confit d'oignons Muscat de Frontignan arôme Truffe blanche - Bo&No - 100g,3700463710023,['France'],"['Oignons préfrits 42 % ', 'oignon', 'huile de tournesol', 'Muscat de Frontignan 13 %', 'sucre', 'miel', ""vinaigre d'alcool coloré "", ""vinaigre d'alcool : colorant caramel E150d"", 'sirop de grenadine ', 'sirop de sucre inverti', 'eau', 'jus de fruits concentrés', 'colorant : anthocyanes', 'acidifiant : acide citrique', 'arôme', 'vinaigre de Xérès ', 'sulfites', 'raisins blonds', '5 baies', 'arôme truffe blanche 0,09 %']",['Non végétalien'],1877,?,1877 kj(449 kcal),24,"11,4","51,2","32,4","3,5","1,5","0,6",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Plantes condimentaires', 'Produits à tartiner salés', 'Légumes et dérivés', 'Pâtes à tartiner végétales', 'Oignons et dérivés', ""Confits d'oignons""]",24 g,en quantité élevée,11.4 g,en quantité élevée,32.4 g,en quantité élevée,1.5 g,en quantité modérée,+167%,,+167%,+1363%,+4218%,+46%,0%,+251%,+140%,+140%,21,+219%,E,+219%,,,,,,,,100 g,['Bo&No'],,"['Bocal', 'Verre']",,,['France'],"[""E150d - Caramel au sulfite d'ammonium"", 'E163 - Anthocyanes', 'E330 - Acide citrique']",['Anhydride sulfureux et sulfites'],4,,,,,
11,Sauce Tomate Cuisinée a l'ancienne,3700463718043,['France'],[],[],?,96,402 kj(96 kcal),"7,38","1,03","5,13","4,39","1,6","0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Sauce Tomate cuisinée à l'Arrabiata - Bo&No - 180g,3700463718050,['France'],"['Pulpe de tomate 41 %', 'tomates cerise 40 %', ""huile d'olive vierge extra 7 %"", 'oignons', 'tomates séchées réhydratées', 'sel 0,5 %', 'piments', 'poivre noir']","['Sans huile de palme', 'Végétalien', 'Végétarien']","407,92",98.32,"407,92 kj(98 kcal)","7,39","1,03","5,5","4,58","1,76","0,791","0,316",A,"['Epicerie', 'Sauces', 'Sauces pour pâtes', 'Sauces tomate', 'Sauces Arrabiata']",7.39 g,en quantité modérée,1.03 g,en faible quantité,4.58 g,en faible quantité,0.791 g,en quantité modérée,+55%,-8%,-4%,+13%,+25%,-14%,-14%,+10%,-27%,-27%,-2,-151%,A,-151%,48.3%,19.8%,11.8%,11.5%,5.0%,3.5%,91,180 g,['Bo&No'],"[""Informations incorrectes sur l'emballage"", ""Informations nutritionnelles incorrectes sur l'emballage""]","['Bocal', 'Verre']",,,['Italie'],,,3,,,,,
13,Sauce tomate cuisinee au basilic,3700463718067,['France'],[],[],?,95,397 kj(95 kcal),"7,38","1,03","5,01","4,27","1,65","0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Sauce 2 Tomates - BO & NO - 180g e,3700463718074,['France'],"['Rehydrated sun', ' dried tomatoes 28%', ""tomato pulp 25i4%c 'cherri tomatoes 24%"", 'extra Virgin Olive oil 17%', 'onions', 'garlic', 'salt black pepper', ' Heat in microwave without cap min', ' or in bain marie', ' Sere With pastas', 'olive oil and grated parmiggiano', ' After opening', 'keep refrigerated maximum 5 days']",[],?,256,1071 kj(256 kcal),"17,74","2,58","17,4","12,31","4,6","0,2","0,08",A,"['Epicerie', 'Sauces', 'Sauces tomate']",17.7 g,en quantité modérée,2.58 g,en quantité modérée,12.3 g,en quantité modérée,0.2 g,en faible quantité,,+191%,+200%,+721%,+637%,+46%,+27%,+195%,-84%,-84%,1,-81%,B,-81%,48.3%,19.8%,11.8%,11.5%,5.0%,3.5%,91,180 g e,"['BO & NO', 'Les Menus du Monde']","['Point Vert', 'Fabriqué en Italie', 'Triman']","['Verre', 'Bocal']",,,['Italie'],['E175 - Or'],,4,,,,,
15,Sauce Tomate - BO&NO,3700463718081,['France'],"[""'minced beefmeat 21 tòmato pulp 16%"", 'white wine ', 'contains sulphites', '/ onions olive oil carrots', 'garlic', 'basil salt 0,290', 'pepper', 'oregan', ' Heat in microwave without cap 3 min', ' or in bain marie', ' Serve With pastas', 'olive oil and grated parmiggiano', ' After ooening', 'keep refrigcratcd at +40C/ maximum de 5 dayse Best before : see on the cape 45 rue']",[],?,85,356 kj(85 kcal),6,1,3,3,5,"0,2","0,08",B,"['Epicerie', 'Sauces', 'Sauces tomate']",6 g,en quantité modérée,1 g,en faible quantité,3 g,en faible quantité,0.2 g,en faible quantité,,-3%,-0%,+178%,+186%,-75%,-69%,+221%,-84%,-84%,-3,-158%,A,-158%,48.3%,19.8%,11.8%,11.5%,5.0%,3.5%,91,,['BO&NO'],,,,,,['E175 - Or'],,4,,,,,
16,Concassée de tomates séchées au soleil,3700463718098,['France'],[],[],?,590,2469 kj(590 kcal),"48,1","7,02",29,"19,55","7,34","3,7","1,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,La framboise - Carla - 300g,3700463730038,['France'],"['Framboise 64%', 'sucre 33%', 'jus et pulpe de citron 2,6%', 'pectine 0,4%']",['Sans huile de palme'],?,202,845 kj(202 kcal),"0,2",0,44,"43,9","1,1",0,0,C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de framboises']",0.2 g,en faible quantité,0 g,en faible quantité,43.9 g,en quantité élevée,0 g,en faible quantité,,-10%,-10%,-26%,-100%,-18%,-15%,+63%,-100%,-100%,9,+2%,C,+2%,65.8%,9.7%,13.4%,8.4%,2.2%,0.6%,60,300 g,['Carla'],,,,,,['E440 - Pectines'],,4,,,,,
18,Confiture fraises - Carla - 300g,3700463730069,['France'],"['Fraise ', 'senga', 'gariguette', 'mara des bois', ' 60%', 'sucre', 'jus et pulpe de citron', 'pectine']",[],?,208,870 kj(208 kcal),"0,2","0,01","48,7","48,6","0,6","0,01","0,004",D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de fraises']",0.2 g,en faible quantité,0.01 g,en faible quantité,48.6 g,en quantité élevée,0.01 g,en faible quantité,,-4%,-5%,-17%,-78%,-8%,-4%,+35%,-56%,-56%,11,+26%,D,+26%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,300 g,['Carla'],,"['Pot', 'Verre', 'Métal']",,Préparation de fruits,,['E440 - Pectines'],,4,,,,,
19,Chocolat noix de coco - Carla,3700463730212,['France'],[],[],?,458,1916 kj(458 kcal),"26,6","19,7","49,5","48,1","3,5",,,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés']",26.6 g,en quantité élevée,19.7 g,en quantité élevée,48.1 g,en quantité élevée,,,,+64%,+65%,+514%,+1794%,-12%,-8%,+180%,,,,,,,,,,,,,,,['Carla'],,,,,,,,,,,,,
20,Confiture de fraises,3700463731035,['France'],[],[],?,208,870 kj(208 kcal),"0,2",0,"48,7","48,6","0,6",,,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de fraises']",0.2 g,en faible quantité,0 g,en faible quantité,48.6 g,en quantité élevée,,,,-4%,-5%,-17%,-100%,-8%,-4%,+35%,,,,,,,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,,,,,,,,,,
21,Sorbet les fraises - Carla - 380g (500ml),3700463750029,['France'],"['Purée de fraise senga 40% ', 'fraise senga 90%', 'sucre', 'purée de fraise gariguette 25% ', 'fraise gariguette 90%', 'sucre', 'sucre', 'eau', 'dextrose', 'jus de citron', 'stabilisants: pectine ', 'E440i', 'sucrose', ' Fabriqué dans un atelier manipulant également du lait', 'gluten', 'oeufs', 'soja', 'fruits à coques', 'arachide', 'sulfites', 'céleri', 'sésame', 'moutarde', 'lupin']",['Non végétalien'],?,158,661 kj(158 kcal),< 1,< 1,39,39,< 1,"0,2","0,08",C,"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Sorbets', 'Sorbets à la fraise']",1 g,en faible quantité,1 g,en faible quantité,39 g,en quantité élevée,0.2 g,en faible quantité,,+35%,+36%,+326%,+1377%,+43%,+67%,+137%,+793%,+793%,8,+62%,C,+62%,79.1%,7.1%,4.2%,4.2%,3.4%,2.0%,56,380 g (500 ml),['Carla'],,"['Carton', 'surgelé']",,,,"['E440 - Pectines', 'E440i - Pectine non amidée']","['Céleri', 'Œufs', 'Gluten', 'Lupin', 'Moutarde', 'Fruits à coque', 'Arachides', 'Graines de sésame', 'Soja', 'Anhydride sulfureux et sulfites']",4,,,,,
22,Glace yaourt,3700463750036,['France'],[],[],?,204,854 kj(204 kcal),9,6,29,29,"1,9","0,3","0,12",B,"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces', 'Crèmes glacées en pot', 'Yaourts glacés']",9 g,en quantité modérée,6 g,en quantité élevée,29 g,en quantité élevée,0.3 g,en quantité modérée,,+20%,+22%,+48%,+51%,+18%,+41%,-44%,+138%,+138%,14,+79%,D,+79%,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,,,,,,,,,,,,,,,
23,Vanille de Tahiti,3700463750043,['France'],[],[],?,256,1071 kj(256 kcal),14,8,30,29,"2,1","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Les fraises -,3700463797017,['France'],[],[],?,208,870 kj(208 kcal),"0,2",0,"48,7","48,6","0,6",0,0,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de fraises']",0.2 g,en faible quantité,0 g,en faible quantité,48.6 g,en quantité élevée,0 g,en faible quantité,,-4%,-5%,-17%,-100%,-8%,-4%,+35%,-100%,-100%,7,-20%,C,-20%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,,,,,,,,,,
25,Pasteque,3700465215267,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Arôme alimentaire coquelicot,3700467200278,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Colorant alimentaire hydrosoluble intense jaune citron - Déco-Relief - 50g,3700467202104,['France'],['E102 85%'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,,?,,?,,?,,,,"['Additifs alimentaires', 'Colorants alimentaires']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50g,['Déco-Relief'],,"['Pot', 'Plastique']",,,,['E102 - Tartrazine'],,4,,,,,
28,Colorant alimentaire hydrosoluble intense rose - Déco-Relief - 50g,3700467202135,['France'],['E122 85%'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,,?,,?,,?,,,,"['Additifs alimentaires', 'Colorants alimentaires']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50g,['Déco-Relief'],,"['Pot', 'Plastique']",,,,['E122 - Azorubine carmoisine'],,4,,,,,
29,Colorant alimentaire hydrosoluble intense rouge Père Noël - Déco-Relief - 50g,3700467202142,['France'],['E124 82%'],"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,0,0 kj(0 kcal),0,0,0,0,0,,,,"['Additifs alimentaires', 'Colorants alimentaires']",0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,,,-100%,-100%,-100%,-100%,-100%,-100%,-100%,,,,,,,,,,,,,,50g,['Déco-Relief'],,"['Pot', 'Plastique']",,,,['E124 - Ponceau 4R'],,4,,,,,
30,Colorant Alimentaire Hydrosoluble Intense Bleu - Déco Relief - 50g,3700467202173,['France'],"['E133 ', '85 %']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,,?,,?,,?,,,,"['Additifs alimentaires', 'Colorants alimentaires']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50 g,['Déco Relief'],,"['Plastique', 'Pot']",,,,"['E133 - Bleu brillant FCF', '', 'Risque modéré de sur-exposition']",,4,,,,,
31,Perlé velours,3700467202425,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Colorant alimentaire hydrosoluble intense vert pistache - Déco-Relief - 50g,3700467202661,['France'],"['E102', 'E151']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,,?,,?,,?,,,,"['Additifs alimentaires', 'Colorants alimentaires']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50g,['Déco-Relief'],,"['Pot', 'Plastique']",,,,"['E102 - Tartrazine', 'E151 - Noir brillant BN']",,4,,,,,
33,Pâte a sucre - 250g,3700467226971,['France'],[],[],?,6,25 kj(6 kcal),"4,9","0,6","85,89",85,0,7,"2,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250 g,,,,,,,,,,,,,,
34,Sucre pétillant,3700467234044,['France'],[],[],?,449,1879 kj(449 kcal),0,0,68,0,24,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Poivron Tricolore 500g - 500g,3700468300199,['France'],[],[],?,25,105 kj(25 kcal),"4,7","0,1","4,8","1,32","0,92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500 g,,,,,,,,,,,,,,
36,Oranges sanguines à jus - Kremmos Sanguinelli,3700468300939,['France'],[],[],?,46,192 kj(46 kcal),0,0,"8,3","0,3",0,,,D,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', ""Jus d'orange"", ""Jus d'orange sanguine""]",0 g,en faible quantité,0 g,en faible quantité,0.3 g,en faible quantité,,,,+5%,+4%,-100%,-100%,-15%,-97%,-100%,,,,,,,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,['Kremmos Sanguinelli'],,,,,,,,,,,,,
37,Chipolatas de dinde aux herbes,3700468401919,['France'],[],[],?,213,891 kj(213 kcal),15,5,"1,8","0,9","1,7","1,6","0,64",E,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Chipolatas']",15 g,en quantité modérée,5 g,en quantité modérée,0.9 g,en faible quantité,1.6 g,en quantité élevée,,-11%,-11%,-21%,-31%,+54%,+42%,-89%,-11%,-11%,13,-22%,D,-22%,86.2%,9.9%,1.8%,1.2%,0.7%,0.2%,24,,,,,,,,,,,,,,,
38,Merguez de dinde,3700468401933,['France'],[],[],?,251,1050 kj(251 kcal),20,"9,6","4,5","1,3",13,"2,3","0,92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Cuisses de poule cuites dans la graisse de canard - La Table Des Jean,3700468402749,['France'],"['CUISSES DE POULE CUITES DANS LA GRAISSE DE I CANARD - 4/5 PIECES Ingrédients ', ' cuisse ', 'Fe poule 50 %', 'graisse de canard 47%', 'sel']","['Non végétalien', 'Non végétarien']",?,262,1096 kj(262 kcal),18,"1,6","0,5","0,5",25,"1,5","0,6",D,"['Viandes', 'Volailles', 'Canards', 'Cuisses de canard']",18 g,en quantité modérée,1.6 g,en quantité modérée,0.5 g,en faible quantité,1.5 g,en quantité modérée,,+10%,+10%,+9%,-70%,+10%,+196%,+17%,+9%,+9%,5,-53%,C,-53%,83.0%,9.4%,2.7%,2.7%,1.4%,0.9%,37,,['La Table Des Jean'],,,,,,,,,,,,,
40,Plateau grill saucisses,3700468403159,['France'],[],[],?,218,912 kj(218 kcal),16,"5,03","0,93","0,47","17,67","2,17","0,868",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 53.121.001 CE', 'Javron-les-Chapelles (Mayenne, France)']",,,,
41,Les confits,3700468408710,['France'],[],[],?,308,1289 kj(308 kcal),"23,6","8,2",0,0,"27,3","1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Mijote de canard sauce crémeuse jus de truffes,3700468414612,['France'],[],[],?,150,628 kj(150 kcal),"9,7","3,1","2,8","0,8",13,"0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Lobe de goie gras,3700468414926,['France'],[],[],?,544,2276 kj(544 kcal),50,50,"2,2","0,9","7,5","1,28","0,512",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Foie gras de canard - Douce Foie,3700468414964,['France'],[],[],?,544,2276 kj(544 kcal),"56,1","23,6","2,2","0,9","7,5","1,28","0,512",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Douce Foie'],,,,,,,,,,,,,
45,Gésiers de canard confit - Douce Foie - 400g,3700468415268,['France'],"['Gésiers de canard 7o%', 'graisse de canard', 'sel', 'poivre']","['Non végétalien', 'Non végétarien']",?,238,996 kj(238 kcal),"13,7","4,6",0,0,"28,6","1,6","0,64",,"['Poissons et viandes et oeufs', 'Abats', 'Gésiers', 'Gésiers de canard']",13.7 g,en quantité modérée,4.6 g,en quantité modérée,0 g,en faible quantité,1.6 g,en quantité élevée,,+28%,+29%,+121%,+124%,-100%,-100%,-1%,+10%,+10%,13,+110%,D,+110%,,,,,,,,400g,['Douce Foie'],,['Verre'],['Leclerc'],,,,,3,,['France'],http://www.gersditribution.free-com.fr/,,
46,Lobe de Foie Gras de Canard Entier - Mets des Rois,3700468418528,['France'],"['Foie gras de canard', 'sel nitrité', ""piment d'Espelette"", 'poivre']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,554,2318 kj(554 kcal),"56,1","23,6","2,2","0,9","7,5","0,5","0,2",B,"['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard', 'Foies gras entiers', 'Foies gras mi-cuits']",56.1 g,en quantité élevée,23.6 g,en quantité élevée,0.9 g,en faible quantité,0.5 g,en quantité modérée,,+6%,+6%,+4%,+2%,-6%,-43%,+9%,-57%,-57%,18,-13%,D,-13%,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,,['Mets des Rois'],,"['Frais', 'Plastique', 'Carton']",,,,"['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",,3,,,,,
47,Lomo de Dinde Ail et Persil,3700468421153,['France'],[],[],?,102,427 kj(102 kcal),"1,7","0,6","0,7","0,5",21,"1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Osaka poulet,3700469190997,['France'],[],[],?,157,657 kj(157 kcal),"6,1","1,1","16,8","0,6","7,6","2,3","0,92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Bananes séchées pays,3700469192038,['France'],[],[],?,367,1536 kj(367 kcal),"1,8","0,5","80,7","65,3","3,9",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Sans conservateurs'],,,,,,,,,,,,
50,Eau de bouleau -,3700474200704,['France'],"['sève de bouleau', ""sirop d'agave"", 'E330']",[],?,15,63 kj(15 kcal),0,0,"3,8","3,8",0,"0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,['E330 - Acide citrique'],,,,,,,
51,Eau de bouleau - Evoleum,3700474200797,['France'],"['Sève de bouleacf ', '95', '29c', 't ', '4', '7%', ' Acidifiant : acide citrique', 'Sans gluten']",[],?,16,67 kj(16 kcal),0,0,"3,9","3,9",0,"0,03","0,012",,['Boissons'],0 g,en faible quantité,0 g,en faible quantité,3.9 g,en quantité modérée,0.03 g,en faible quantité,,-71%,-72%,-100%,-100%,-65%,-59%,-100%,-28%,-28%,6,-22%,D,-22%,,,,,,,,,['Evoleum'],"['Bio', 'Sans gluten']",,,,,['E330 - Acide citrique'],,,,,,,
52,Banania,3700476400881,['France'],[],[],?,370,1548 kj(370 kcal),?,"1,2",?,68,"5,7","0,06","0,024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Banania'],,,,,,,,,,,,,
53,Pâte à tartiner - Banania,3700476403936,['France'],"['Matières grasses végétales ', 'huile de tournesol', 'beurre de cacao et huile de coco', 'poudre de Banania 25% ', 'Sucre', 'cacao fortement dégraissé 19%', 'céréales biscuitées ', 'farine de FROMENT', 'malté', ' ', 'flocons de banane', 'miel', 'arôme', 'sel', ' sucre', 'LAIT écrémé en poudre', 'LACTOSE', 'flocons de bananes ', '2', '4%', ': lécithine de tournesol', 'émulsifiant arôme', ' Contient du GLUTEN et du LAIT', ' contenir des NOISETTES']",['Non végétalien'],?,540,2259 kj(540 kcal),31,"6,2",58,54,"5,6","0,18","0,072",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Banania'],,,,,,['E322i - Lécithine'],"['Gluten', 'Lait', 'Fruits à coque']",4,,,,,
54,Pink lady,3700476619108,['France'],[],[],?,50,209 kj(50 kcal),"0,1","0,1","10,9","8,3","0,2","0,001",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Pink Lady'],,,,,,,,,,,,,
55,Thé vert pêche abricot - Comptoir français du Thé,3700476830404,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Comptoir français du Thé'],,,,,,,,,,,,,
56,Noël boréal - Comptoir français du Thé,3700476830510,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Comptoir français du Thé'],,,,,,,,,,,,,
57,Oolong caramel - Comptoir français du Thé,3700476830589,['France'],[],[],?,5,21 kj(5 kcal),0,0,0,0,0,"0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Comptoir français du Thé'],,,,,,,,,,,,,
