,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,brand,labels,packaging,markets,generic_name,manufacturing,additives,allergens,nova_score,traceability_code,ingredients_origins,link,palm_ingredients,brand_owner
1530,Madeleine Nature - Biscuiterie Jeannette,3701005300757,['France'],[],[],?,114,477 kj(114 kcal),27,17,48,25,"6,2","1,3","0,52",D,"['Biscuits et gâteaux', 'Gâteaux', 'Madeleines', 'Madeleines natures']",27 g,en quantité élevée,17 g,en quantité élevée,25 g,en quantité élevée,1.3 g,en quantité modérée,,-74%,-73%,+16%,+166%,-8%,-3%,+9%,+63%,+63%,21,+23%,E,+23%,82.9%,9.8%,3.5%,1.9%,1.9%,0.0%,51,,['Biscuiterie Jeannette'],,,,,,,,,,,,,
1531,Madeleines pur beurre d’Isigny AOP et aux oeufs - Biscuiterie Jeannette,3701005300771,['France'],"['œufs frais de poules élevées en plein air ', '23%', ""beurre d'Isigny AOP "", '22%', 'farine de blé ', 'gluten', 'sucre', 'sirop de glucose', 'stabilisant : sorbitol', 'poudre à lever ', 'diphosphate disodique', 'carbonate acide de sodium', 'farine de blé', 'sel']",['Non végétalien'],?,457,1912 kj(457 kcal),27,17,48,25,"6,2","1,3","0,52",A,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Madeleines']",27 g,en quantité élevée,17 g,en quantité élevée,25 g,en quantité élevée,1.3 g,en quantité modérée,,+4%,+4%,+18%,+145%,-9%,-9%,+9%,+60%,+60%,25,+36%,E,+36%,73.9%,13.5%,6.0%,3.4%,3.2%,0.0%,75,,['Biscuiterie Jeannette'],"['Fabriqué en France', 'Pur beurre']","['boîte', 'métal']",,,['France'],"['E420 - Sorbitol', 'E450i - Pyrophosphate de sodium acide', 'E500ii - Carbonate acide de sodium']","['Œufs', 'Gluten', 'Lait']",4,,['France'],,,
1532,Madeleines - Biscuiterie Jeannette - 500g,3701005300801,['France'],"['œufs frais de poules élevées en plein air ', '23%', ""beurre d'Isigny AOP "", '21 0%', 'farine de blé ', 'gluten', 'sucre', 'sirop de glucose', 'stabilisant ', ' sorbitol', 'pâte naturelle de framboise concentrée', 'poudre à lever ', 'diphosphate disodique', 'carbonate acide de sodium', 'farine de blé', 'poudre de mandarine', 'sel', 'arôme naturel de Rose de Damas bio', 'arôme naturel de mandarine', 'poudre de yuzu', 'arôme de yuzu']",['Non végétalien'],1907,?,1907 kj(456 kcal),27,17,48,25,"6,2","1,3","0,52",B,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Madeleines']",27 g,en quantité élevée,17 g,en quantité élevée,25 g,en quantité élevée,1.3 g,en quantité modérée,+2%,,+4%,+18%,+145%,-9%,-9%,+9%,+60%,+60%,25,+36%,E,+36%,73.9%,13.5%,6.0%,3.4%,3.2%,0.0%,75,500 g,['Biscuiterie Jeannette'],,,,,,"['E420 - Sorbitol', 'E450i - Pyrophosphate de sodium acide', 'E500ii - Carbonate acide de sodium']",['Gluten'],4,,,,,
1533,Pyramide assortiment de 8 madeleines - Biscuiterie Jeannette,3701005300832,['France'],[],[],?,457,1912 kj(457 kcal),27,17,48,25,"6,2","1,3","0,52",B,"['Biscuits et gâteaux', 'Gâteaux', 'Madeleines']",27 g,en quantité élevée,17 g,en quantité élevée,25 g,en quantité élevée,1.3 g,en quantité modérée,,+4%,+4%,+18%,+145%,-9%,-9%,+9%,+60%,+60%,25,+36%,E,+36%,73.9%,13.5%,6.0%,3.4%,3.2%,0.0%,75,,['Biscuiterie Jeannette'],,,,,,,,,,,,,
1534,Sauce pour saumon à l'aneth,3701008801435,['France'],[],[],?,400,1674 kj(400 kcal),"40,6",3,"4,2","2,5","4,5",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1535,Harengs - Maison St Geours,3701008801817,['France'],[],[],?,184,770 kj(184 kcal),11,"2,8",0,0,21,"3,8","1,52",B,"['Produits de la mer', 'Poissons', 'Harengs', 'Poissons fumés', 'Harengs fumés']",11 g,en quantité modérée,2.8 g,en quantité modérée,0 g,en faible quantité,3.8 g,en quantité élevée,,+1%,+1%,-10%,-6%,-100%,-100%,+24%,+3%,+3%,14,+1%,D,+1%,64.6%,0.0%,6.7%,24.9%,3.0%,0.8%,76,,['Maison St Geours'],,,,,,,,,,,,,
1536,Maquereaux fumés au poivre - Maison genours - 150grammes,3701008801831,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150 grammes,['Maison genours'],,,,,,,,,,,,,
1537,Samon Fume - Jean & Freres,3701008802234,['France'],[],[],?,213,891 kj(213 kcal),?,"2,2",?,0,20,"2,85","1,14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Jean & Freres'],,,,,,,,,,,,,
1538,Brandade de Morue - Jean et Frères,3701008802272,['France'],[],[],?,175,732 kj(175 kcal),?,"2,1",?,"1,1",11,"1,1","0,44",E,"['Plats préparés', 'Plats préparés au poisson', 'Brandades de morue', 'Brandades de morue parmentière', 'en:preparations-made-from-fish-meat']",,,2.1 g,en quantité modérée,1.1 g,en faible quantité,1.1 g,en quantité modérée,,+20%,+20%,,+27%,,+22%,+62%,+34%,+34%,,,,,90.1%,2.6%,1.1%,5.1%,0.6%,0.4%,21,,['Jean et Frères'],,,,,,,,,,,,,
1539,Risotto de crevettes & parmesan - Jean Et Frères - 600g,3701008802289,['France'],[],[],?,160,669 kj(160 kcal),"7,8","4,3",19,"0,4","5,7","0,7","0,28",,"['Plats préparés', 'Frais', 'Plats préparés frais']",7.8 g,en quantité modérée,4.3 g,en quantité modérée,0.4 g,en faible quantité,0.7 g,en quantité modérée,,-14%,-12%,-6%,+70%,+13%,-82%,-24%,-31%,-31%,5,+21%,C,+21%,,,,,,,,600 g,['Jean Et Frères'],,['Barquette PET'],['Carrefour'],"RISOTTO AUX CREVETTES, PARMESAN. BASILIC",,,,,"['FR 17.197.004 CE', 'Jonzac (Charente-Maritime, France)']",,,,
