,name,bar_code,quantity,packaging,brand,categories,labels,ingredients_origins,manufacturing,traceability_code,markets,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,palm_ingredients,link,brand_owner
338,Modifast Protein Shape Pudding Vanille 540G,5410063012547,,,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,335,,1402 kj(335 kcal),,"2,8",,"1,9",,32,,"6,1",,38,,"2,2",,"0,88",,,,,,,,,,,,,,,,,
339,Preparation pour gateau mœlleux - Céréal,5410063015463,,,['Céréal'],,['en:gluten-free'],,,,,['France'],"['sucre', 'amidon de maïs', 'amidon de pomme de terre', 'dextrose', 'sucre', 'épaississant : gomme guar', 'poudres à lever : E575', 'tartrate monopotassique et carbonate acide de sodium', 'gélifiaot : pectine', 'arôme', "" Peut contenir des traces d'oeuf"", 'de lait', 'de noix ', 'noiSette', 'amande', ' et de sésame']","['E412 - Gomme de guar', 'E575 - Glucono-delta-lactone', 'E336i - Tartrate monopotassique', 'E500ii - Carbonate acide de sodium', 'E440 - Pectines']",,[],4,,,,,,,,,?,,369,,1544 kj(369 kcal),,"20,7",,"12,5",,"41,1",,"19,7",,"4,3",,"0,22",,"0,088",,,,,,,,,,,,,,,,,
340,Tartines Craquantes Sarrasin - Céréal Bio,5410063016187,,,['Céréal Bio'],,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Sans colorants', 'Sans conservateurs']",,,,,['France'],[],,,[],,,,,,,,,,?,,376,,1573 kj(376 kcal),,?,,"0,6",,?,,"2,7",,11,,"0,32",,"0,128",,,,,,,,,,,,,,,,,
341,Protein shape bar chocolate,5410063018440,,,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,351,,1469 kj(351 kcal),,11,,"4,5",,33,,12,,30,,"0,43",,"0,172",,,,,,,,,,,,,,,,,
342,Cereal Limonadesiroop Framboos,5410063020092,,,['Cereal'],"['Boissons', 'Boissons édulcorées']",,,,,,['France'],"['Water', 'voedingszuur: appelzuur', 'sap uit geconcentreerd sap 2% ', 'framboos 1%', 'appel', 'zoetstoffen: conserveermiddelen: cyclamaat', 'aspartaam*', 'sacharine', 'kaliumsorbaat en natriumbenzoaat', 'aroma', 'kleurstoffen: sulfiet', 'ammoniakkaramel en anthocyanen', 'zuurteregelaar: natriumcitraat']","['E296 - Acide malique', 'E951 - Aspartame', 'E954 - Saccharine et ses sels', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E211 - Benzoate de sodium', '', 'Risque élevé de sur-exposition', ""E150d - Caramel au sulfite d'ammonium"", 'E163 - Anthocyanes']",,[],4,0 g,en faible quantité,0 g,en faible quantité,0.2 g,en faible quantité,0.1 g,en faible quantité,?,,6,-60%,25 kj(6 kcal),-58%,0,-100%,0,-100%,"0,2",-93%,"0,2",-91%,0,-100%,"0,1",+187%,"0,04",+187%,2,-54%,C,-54%,,,,,,,,,,,,
343,Sirop orange,5410063020108,,,,"['Boissons', 'Sirops', 'Sirops aromatisés', ""Sirops d'orange""]",,,,,,['France'],[],,,[],,,,,,,,,,?,,12,-95%,50 kj(12 kcal),-95%,0,-100%,0,-100%,"0,5",-99%,"0,5",-99%,0,-100%,"0,12",+292%,"0,048",+292%,,,,,B,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,,,,
344,Cereal Doy Puree Linzen Pompoen - Cereal bio,5410063020313,,,['Cereal bio'],,['Bio'],,,,,['France'],"['Eau', 'lentilles corail* 23%', 'potimarron* 12%', 'carotte*', ""oignon huile d'olive*"", 'amidon de maïs*', 'sel marin', 'sauce soja* ', 'sop*', 'blé*', 'sel marin ferment ', 'Aspergillus oryzae', "" *Ingrédients d'agriculture biologiquel""]",,['Gluten'],[],,,,,,,,,,?,,90,,377 kj(90 kcal),,3,,"0,5",,"8,7",,"1,2",,5,,"0,66",,"0,264",,,,,,,,,,,,,,,,,
345,Céréal Orange Bonbons,5410063021433,,,['Céréal'],,['Bio'],,,,,['France'],"['Édulcorants: sirop de maltitol et glycosides de stéviol', 'eau', 'amidon transformé de pomme de terre', 'gélatine', 'acidifiant: acide citrique', 'colorant: extrait de paprika', ""arôme naturel d'orange"", ""correcteur d'acidité: citrates de sodium"", 'huile de coco', ""agent d'enrobage: cire de carnauba"", 'amidon de blé']","['E965ii - Sirop de maltitol', 'E960 - Glucosides de stéviol', '', 'Risque modéré de sur-exposition', 'E14XX - Amidons modifiés', 'E428 - Gélatine', 'E330 - Acide citrique', 'E160c - Extrait de paprika', 'E331 - Citrates de sodium', 'E903 - Cire de carnauba']",,"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,,,,,,,,,?,,218,,912 kj(218 kcal),,"0,5",,"0,5",,78,,"0,5",,"3,2",,"0,09",,"0,036",,,,,,,,,,,,,,,,,
346,Draineur detox bio,5410063022195,,,,,['Bio'],,,,,['France'],[],,,[],,,,,,,,,,?,,90,,377 kj(90 kcal),,0,,0,,37,,0,,0,,,,,,,,,,,,,,,,,,,,,
347,Weight Care Maaltijd Indische Rijst,5410063024151,,,['Weight Care'],,,,,,,['France'],"['Maltiid van rijst en groenten', ' / Repas de riz et de légumes', ' Ingdl\\éfiten•', ' Water', 'courgette z 9%', '\\qnrtel 19%', 'mg*ookte riist 18% en rode W', 'scjËiwitten', 'gedrct gde appelstukhs 3% ', 'sulker', 'appel', 'deftose', 'conserœ niddel: oliifolie', 'kha FMIander', 'venkel', 'fenegrieu: gember', 'kardetqon', 'paprika', 'UI', 'gerstemoutextract,zeezout Ingreltents: courgette 19%', 'carotte 19%', 'riz 18% ', 'riz blanc et de scia', 'morceaux de pomme déshydratée ', 'lire', 'pomme', 'dextrose', 'acide atlique,conseNateur: anhydride sulfureux', 'hi le de curry coure', 'fenouil', 'fenugrec paprika', 'sd', 'p PONre', 'eùaitde orge', 'sel marin']","['E220 - Anhydride sulfureux', '', 'Risque élevé de sur-exposition']",,[],4,,,,,,,,,?,,230,,962 kj(230 kcal),,"4,1",,"0,7",,31,,"6,7",,13,,"0,99",,"0,396",,,,,,,,,,,,,,,,,
348,Weight Care Maaltijd Noedels Groente,5410063024175,,,['Weight Care'],,,,,,,['France'],"['Maaltijd van noedets en groenten', ' / Repas de nouilles ct do légumes', ' Ingrcdiënten: Gœlten 44% ', 'courgettes 1506 bÙtelen', 'paprikSs rode 4,70K 4,7%', 'shiitake 1,3%', 'water', 'griesmeel van tante', 'eiMtp0eder ', 'ei', 'olijfolie', 'sojasaus ', 'water', 'tarwe,zeezcut schimme!cultuur: Aspergillus 5 ', 'gember', 'dtwas', 'Schuan steranijs', 'kaneel', 'gerstemoutatract', 'aroma', ' Invédients: 44% ', 'courgettes 15%', 'carottes poi\\Tonsverts 4,7%', 'poivrons 4,79%', 'oignons 4,7%', 'champignons shitaké 1,3%', 'eau', 'nouilles 17% ', 'semoule de doeuf en poudre ', 'oeuf', 'protéines de soja huile dolive', 'sauce soja ', 'eau', 'soja', 'blé', 'sel marim ferment Aspergillus oryzae', 'mélange 5 épices ', 'gingembre', 'eftait de malt diorze', 'sel marin', 'arôme']",,"['Œufs', 'Gluten', 'Soja']",['Non végétalien'],4,,,,,,,,,?,,202,,845 kj(202 kcal),,"4,3",,"0,7",,"23,2",,"2,7",,"12,8",,"1,35",,"0,54",,,,,,,,,,,,,,,,,
349,Gerlinéa Mon Repas Pudding Saveur Vanille,5410063024274,,,['Gerlinéa'],,,,,,,['France'],[],,,[],,,,,,,,,,?,,100,,418 kj(100 kcal),,"2,6",,"1,5",,12,,"9,5",,"6,5",,"0,34",,"0,136",,,,,,,,,,,,,,,,,
350,Gerlinéa Mon Repas Pudding Saveur Chocolat,5410063024298,,,['Gerlinéa'],,,,,,,['France'],[],,,[],,,,,,,,,,?,,440,,1841 kj(440 kcal),,20,,"9,1",,37,,25,,20,,"1,5",,"0,6",,,,,,,,,,,,,,,,,
351,Céréales gluten free bio,5410063024465,,,,,"['Bio', 'Bio européen', 'Sans gluten', 'Agriculture non UE', 'BE-BIO-04', 'Agriculture UE', 'Agriculture UE/Non UE']",,,,,['France'],[],,,[],,,,,,,,,,?,,372,,1556 kj(372 kcal),,"0,4",,"0,4",,79,,"0,7",,"7,7",,"0,15",,"0,06",,,,,,,,,,,,,,,,,
352,Vermicelli Riz - Céréal - 500g,5410063024472,500 g,"['Sachet', 'Plastique']",['Céréal'],['Vermicelles'],"['Bio', 'Bio européen', 'en:gluten-free', 'BE-BIO-04']",,,,,['France'],"['Farine de riz 95%', 'farine de riz complet 3,6%', 'épaississant: gomme xanthane']",['E415 - Gomme xanthane'],,"['Sans huile de palme', 'Végétalien', 'Végétarien']",4,0.7 g,en faible quantité,0.2 g,en faible quantité,0.9 g,en faible quantité,0.15 g,en faible quantité,1540,,?,,1540 kj(368 kcal),+10%,"0,7",-30%,"0,2",-20%,81,+9%,"0,9",-94%,7,+72%,"0,15",+282%,"0,06",+282%,-2,-185%,A,-185%,,,,,,,,,,,,
353,Gerlinéa repas minceur,5410063025837,,,['Gerlinéa'],,,,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,
354,Gerlinéa Easy Go Choco Crisp Barres Repas,5410063028159,,,['Gerlinéa'],,,,,,['Delhaize'],"['Belgique', 'France']",[],,,[],,,,,,,,,,?,,366,,1531 kj(366 kcal),,12,,"4,8",,38,,21,,23,,"0,78",,"0,312",,,,,,,,,,,,,,,,,
355,Galettes Brebis Figue - Cereal Bio,5410063030466,,,['Cereal Bio'],,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01']",,,,,['France'],[],,,[],,,,,,,,,,?,,245,,1025 kj(245 kcal),,?,,"2,9",,?,,"4,8",,"6,7",,"1,5",,"0,6",,,,,,,,,,,,,,,,,
356,Galette Forestiere - Cereal Bio,5410063030473,,,['Cereal Bio'],,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,['France'],[],,,[],,,,,,,,,,?,,215,,900 kj(215 kcal),,?,,"1,1",,?,,"1,4",,"4,7",,1,,"0,4",,,,,,,,,,,,,,,,,
357,Pudding minceur - Wright care - 420g,5410063030770,420g,,['Wright care'],,,,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,
358,Modifast Intensive Poeder Vla Aardbei,5410063031067,,,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,355,,1485 kj(355 kcal),,"4,5",,"0,8",,39,,26,,36,,"1,8",,"0,72",,,,,,,,,,,,,,,,,
359,Weight Care Havershake Yummy Vanille - WeightWatchers,5410063031197,,,['WeightWatchers'],,,,,,,['France'],"['$ Maltodextrinet lait écremé en poudre', 'inuline', ""son d'avoine 7,106 protéines de _lait"", 'caséinatede lécithines de soja', 'minéraux ', 'citrate de potassiUm', 'sels de calcium deltacide de magnésium', 'diphosphate ferrique', 'iodure de potassium', 'oxide de zinc', 'gluconate de de manganèse', 'sélénite de sodium', 'protéines de blé hydrolysees', 'huile de soja raffiné arôme naturel de vanille avec autres arômes naturels', ""gélifiant'"", ' agar-agar 1%', 'extRlt épaississnt: carboxyméthylcellulose de sodium', 'arômes naturels ', 'contientlait', 'vitarnines', 'ÇE niacinet acide pantothénique', 'acide folique', 'biotine', ""antioxydant: extrait naturel 'roll?eutcontenirdèstraces dloeuf"", ' Gpasde boire au minimum 115 litre de boissons lypocaloriques', ' Veillez à avoir une alimentation variée etun mode de vie sain,']","['E406 - Agar-agar', 'E466 - Carboxyméthylcellulose']",['Lait'],[],4,,,,,,,,,?,,367,,1536 kj(367 kcal),,"5,7",,"1,1",,54,,14,,20,,"0,6",,"0,24",,,,,,,,,,,,,,,,,
360,Weight Care Maaltijdshake Haver Aardbei Banaan -,5410063031210,,,,['Boissons'],,,,,,['France'],"['upas poub contìô', 'edu pod& en poudre', 'protéines de lait ', 'caséinate de calcium', 'émulsifiant lécithi±de protéines hydrolysees de blé', 'huile raffinée de so•a', 'minéraux ', 'citrate de oflhophosphorlque', 'carbonate de magnésium', 'diphosplate ferrique iodure de de cuivre', 'de manganèse', 'sélénite de sodium', ' poudre de fraise citrique', 'yaourt', 'arômes', 'extrait naturel riche en tocophérol', "" Peut 'contenir des boiree"", 'auemifinlmtum 15 attrare id/eo blPisaslSons Wypocalorlques', ' veillez à avoir une alimen mode de vie sain']",['E330 - Acide citrique'],['Lait'],['Non végétalien'],4,6.2 g,en quantité modérée,1.1 g,en quantité modérée,12 g,en quantité élevée,0.52 g,en quantité modérée,?,,372,+564%,1556 kj(372 kcal),+546%,"6,2",+1687%,"1,1",+832%,55,+387%,12,+27%,18,+3529%,"0,52",+1153%,"0,208",+1153%,16,+109%,E,+109%,,,,,,,,,,,,
361,Weight Care Maaltijdshake Haver Appel Kaneel,5410063031234,,,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,372,,1556 kj(372 kcal),,"6,2",,"1,1",,55,,12,,18,,"0,52",,"0,208",,,,,,,,,,,,,,,,,
362,Céréal Multicéréales & Miel Biscuits Petit Dej',5410063031630,,,['Céréal'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']","['Bio', 'Sans colorants']",,,,,['France'],"['Farine intégrale de meule de blé* 32%', 'farine de blé* 20%', 'huile de tournesol*', 'sucre de canne roux*', 'billes extrudées de riz* 9,7% ', 'riz*', 'avoine*', 'sucre de canne*', ""sirop de malt d'orge*"", 'sel de mer', 'semoule de maïs complète* 9,4%', 'miel* 6,5%', 'amidon de blé*', 'poudres à lever: carbonates de sodium et tartrates de potassium', 'sel marin', 'émulsifiant: lécithines de colza', "" *Ingrédients issus de l'agriculture biologique""]","['E500 - Carbonates de sodium', 'E336 - Tartrates de potassium', 'E322i - Lécithine']","['Gluten', 'Avoine']",['Non végétalien'],4,15 g,en quantité modérée,1.4 g,en faible quantité,17 g,en quantité élevée,0.75 g,en quantité modérée,?,,452,-5%,1891 kj(452 kcal),-5%,15,-28%,"1,4",-86%,69,+8%,17,-42%,"7,9",+22%,"0,75",+27%,"0,3",+27%,8,-60%,C,-60%,C,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,,,
363,Weight Care Havermout Afslankmaaltijd,5410063031739,,,['Weight Care'],,,,,,,['France'],"[""Flocons d'avoine complète 33%"", 'protéines de lait', 'lait écrémé en poudre', ""son d'avoine 10%"", 'maltodextrine', 'minéraux ', 'citrate de potassium', 'citrate de sodium', 'carbonate de magnésium', ""sels de potassium de l'acide orthophosphorique"", 'diphosphate ferrique', 'sulfate de zinc', 'iodure de potassium', 'gluconate de cuivre', 'sélénite de sodium', 'sulfate de manganèse', 'huile de tournesol', 'huile de soja', 'épaississant: carboxyméthyl-cellulose sodique', 'inuline', 'sirop de glucose', 'arômes', 'édulcorant acésulfame-K', ""émulsifiant: esters citriques des mono- et diglycerides d'acides gras"", 'vitamines ', 'C', 'E', 'A', 'BI', 'D', 'B6', 'B2', 'B12', 'niacine', 'acide pantothénique', 'acide folique', 'biotine', ""antioxydants: esters d'acides gras de llacide ascorbique"", 'extrait riche en tocophérols et acide ascorbique', 'arômes naturels', ' Peut contenir des traces dtoeuf et de soja', ' Nioubliez pas de boire au minimum litre de boissons hypocaloriques', ' Veillez à avoir une alimentation variée et équilibrée et un mode de vie sain']","['E466 - Carboxyméthylcellulose', 'E950 - Acésulfame K', ""E472c - Ester citrique des mono et diglycérides d'acides gras alimentaires"", 'E306 - Extrait riche en tocophérols']",['Lait'],"[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",4,,,,,,,,,?,,373,,1561 kj(373 kcal),,"8,1",,"1,4",,43,,"9,1",,26,,"1,2",,"0,48",,,,,,,,,,,,,,,,,
364,Gerlinéa Repas Minceur Avoine,5410063032576,,,['Gerlinéa'],"['Plats préparés', 'Produits déshydratés', 'Produits lyophilisés à reconstituer', 'Substituts de repas']",,,,,,['France'],"[""Flocons d'avoine compte:e de lait lait ecrémé en poudre"", ""son d'avoine 10%"", 'maltodextrine', 'minéraux ', 'citrate de potassium', 'citrate de sodium', 'carbonate de de pttzrxn de racide orthophosphorique', 'diphosphale ferrique', 'sulfate de zinc', 'iodure de potassium', 'gluconate de cuivre', 'sélénite de sodéorn', 'sCfa:e de rrzrrmk@', 'huile de tournesol', 'huile de soja', 'épaississant: carboxyméthyl-cellulose sodique', 'inuline', 'sirop de glucose', 'arômes', ' édulcorent: esters ', ""triques des mono- et diglycerides d'acides gras"", 'vitamines ', 'C', 'E', 'A', 'BI', 'D', 'B6', '132', 'BII', 'acide pantothéntque', ""acide antioxydaats: esters cfaades gras de l'acide ascorbique"", 'extrait riche en tocophérols et acide ascorbique', 'arômes naturels Peut contenir des traces de soja et ffœuf', ' À consommer de ptéféreoce avant voir le dessts']","['E502 - Carbonates', 'E466 - Carboxyméthylcellulose', 'E306 - Extrait riche en tocophérols']",['Soja'],[],4,,,,,,,,,?,,373,+14%,1561 kj(373 kcal),+17%,"8,1",-14%,"1,4",-32%,43,+31%,"9,1",-34%,26,+26%,"1,2",+50%,"0,48",+50%,,,,,B,62.5%,17.1%,9.5%,6.2%,3.7%,1.0%,84,,,,
365,Gerlinea - Boulghour,5410063033337,,,['Boulghour'],,,,,,['Delhaize'],"['Belgique', 'France']","['Boulghour de blé complet précuit 33% ', 'boulghour de blé', 'eau', 'poivron rouge 12%', 'tomate 11%', 'aubergine 11%', 'courgette 11%', 'pois chiches précuits 9% ', 'pois chiches', 'eau', 'protéines de soja', 'oignon', 'eau', ""huile d'olive"", 'sel', 'mélange de plantes aromatique', 'ail']",,,[],,,,,,,,,,?,,100,,418 kj(100 kcal),,"1,7",,"0,3",,12,,"1,5",,"6,6",,"0,7",,"0,28",,,,,,,,,,,,,,,,,
366,Modifast Protein Shape Mini Bites Chocolate Soja. ..,5410063033702,,,['Modifast'],,,,,,,['France'],"[""UN ÜROII'IN"", 'S tout en maintefiàfit• un do À ', 'N GLUCIOts crMAïltRtSGRASStS& co Cube contient et pattàitement dans un en glucides', 'des to En-cas au chocolat', ' avec édulcorants', ' INGRÉOIENTS: Croustillants de soja ', 'p', 'otéines de Sola', 'sel', ' agent de chatge: polydexttose', ' choco at avec édulcorant édulcotant: maltitols', 'beutre de cacao', ' qtaisse de tait lécithines de soja', 'vanillel édutcotants: erythiltol et sucratosà pite de cacao cacao maiote humectant ', ' atomes', 'beurre de cacao', 'émulsifiant: lécithines tc', 't tcntcnir des traces de blé', 'diarachides', ""d'œuf"", ""de fruits vous povvgz corrsor«rrgrgg PR0DÜITs pxorrgrrf • comme en-cas respon contenant seulement • comme faisant partiineceur d'un programme m""]","['E965 - Maltitol', 'E322 - Lécithines']",,['Non végétalien'],4,,,,,,,,,?,,334,,1397 kj(334 kcal),,15,,"7,9",,26,,1,,30,,1,,"0,4",,,,,,,,,,,,,,,,,
367,Crispy cubes - Gerlinéa,5410063033719,,,['Gerlinéa'],,,,,,,['France'],[],,,[],,,,,,,,,,?,,334,,1397 kj(334 kcal),,15,,"7,9",,26,,1,,30,,1,,"0,4",,,,,,,,,,,,,,,,,
368,Fines galettes aux cereales courgette & curry - Céréal,5410063034259,,,['Céréal'],,"['Bio', 'Végétarien', 'Végétalien']",,,,,['France'],[],,,"['Végétalien', 'Végétarien']",,,,,,,,,,?,,180,,753 kj(180 kcal),,"5,2",,"0,7",,26,,"3,1",,"4,5",,"0,85",,"0,34",,,,,,,,,,,,,,,,,
369,Fines galettes aux cereales - Céréal,5410063034273,,,['Céréal'],,"['Bio', 'Végétarien', 'Végétalien']",,,,,['France'],[],,,"['Végétalien', 'Végétarien']",,,,,,,,,,?,,232,,971 kj(232 kcal),,"9,1",,1,,28,,"2,6",,"6,7",,1,,"0,4",,,,,,,,,,,,,,,,,
370,Nuggets - Céréal,5410063034297,,,['Céréal'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Substituts de viande', 'Nuggets végétaux']","['Végétarien', 'Végétalien']",,,,,['France'],"['Eau', 'chapelure* ', 'farine de blé*', 'eau', 'sel', 'levure*', 'farine de soja déshuilé* 17% ', 'huile de tournesol oléique*', 'gluten de blé* 6%', 'farine de blé* 4%', 'flocons de blé complet* 2', '1%', 'extrait de levure*', 'sel de mer', 'épaississants: gomme xanthane et farine de graines de caroube*', 'herbes de Provence*', "" *Ingrédients issus de l'agriculture biologique""]",['E415 - Gomme xanthane'],['Gluten'],"['Végétalien', 'Végétarien']",4,12 g,en quantité modérée,1.2 g,en faible quantité,2.3 g,en faible quantité,1.8 g,en quantité élevée,?,,259,+5%,1084 kj(259 kcal),+6%,12,+4%,"1,2",-3%,20,+6%,"2,3",+33%,16,+15%,"1,8",+41%,"0,72",+41%,11,+326%,D,+326%,,,,,,,,,,,,
371,Seitan croc - Céréal,5410063034358,,,['Céréal'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Substituts de viande', 'Seitan']","['Bio', 'Végétarien', 'Végétalien']",,,,,['France'],[],,,"['Végétalien', 'Végétarien']",,10 g,en quantité modérée,2.5 g,en quantité modérée,2.5 g,en faible quantité,1.2 g,en quantité modérée,?,,221,+33%,925 kj(221 kcal),+33%,10,+94%,"2,5",+265%,16,+101%,"2,5",+131%,15,-24%,"1,2",+8%,"0,48",+8%,4,+208%,C,+208%,,,,,,,,,,,,
372,Tofu Croc Provencale - Céréal,5410063034372,,,['Céréal'],,"['Bio', 'Végétarien', 'Bio européen', 'Végétalien', 'Agriculture UE/Non UE', 'FR-BIO-01']",,,,,['France'],[],,,"['Végétalien', 'Végétarien']",,,,,,,,,,?,,158,,661 kj(158 kcal),,"8,4",,"1,3",,4,,"1,7",,14,,"0,9",,"0,36",,,,,,,,,,,,,,,,,
373,Tofu Croc Forestière - Céréal,5410063034396,,,['Céréal'],,"['Bio', 'Végétarien', 'Bio européen', 'Végétalien', 'FR-BIO-01']",,,,,['France'],[],,,"['Végétalien', 'Végétarien']",,,,,,,,,,?,,157,,657 kj(157 kcal),,"8,2",,"1,3",,"3,9",,"0,7",,15,,"0,95",,"0,38",,,,,,,,,,,,,,,,,
374,Biscuits figues-son - Cereal,5410063212947,,,['Cereal'],,,,,,,['France'],"['Farine complète de blé', 'farine de blé', 'son de blé 24%', 'huile de colza', 'sucre de canne roux', 'pâte de figue 5,2%', 'arôme naturel de vanille', 'émulsifiant: lécithines de colza', ""poudre à 'lever: carbonates de potassium et carbonates dlammonium"", 'protéines de lait', ' Peut contenir des traces de fruits à coque', 'de soja', 'dloeuf et de lupin']",['E322i - Lécithine'],"['Gluten', 'Lait']",['Non végétalien'],4,,,,,,,,,?,,448,,1874 kj(448 kcal),,19,,"1,6",,53,,17,,"8,8",,0,,0,,,,,,,,,,,,,,,,,
375,Céréal Barre De Fibres,5410063421844,,,['Céréal'],,['Bio'],,,,,['France'],"['son de blé 20%', 'sucre de canne', 'graisse de palme', 'farine intégrale de blé 11%', 'sirop de glucose', 'crème de pruneaux 8% ', 'pruneaux 4%', 'sucre de canne', 'dextrose', 'oeuf', 'stabilisant: glycerol', 'lait écrémé en poudre', 'billettes de son de blé 2,8% ', 'son de blé', 'riz', 'farine de blé', 'sucre de canne', 'sirop de malt dlorge', 'sel', 'pâte de figue', 'arôme naturel de pruneaux avec autres arômes naturels', 'sel marin', 'poudre à lever : carbonates dlammonium', ' Peut contenir des traces de soja']","['E422 - Glycérol', 'E502 - Carbonates']","['Œufs', 'Gluten']","['Huile de palme', 'Non végétalien']",4,,,,,,,,,?,,394,,1648 kj(394 kcal),,15,,"7,2",,53,,34,,"7,4",,"0,42",,"0,168",,,,,,,,,,,,,,,['Huile de palme'],,
376,Céréal Biscuits Aux Fruits,5410063662049,,,['Cereal'],,['Bio'],,,,,['France'],"['iscuit aux fruits et graineso Farine de blé int& ', 'tale 37%', 'huiles végétales ', 'palme tournesol', 'coco', 'raisins secs jus de pomme base de concentré cranberro/ 8%9 sirop de riz', 'gaines 7% ', 'graines de gaines de tournesol', 'graines de lin', 'millet', 'flocons diav*e', 'sirop de blép jus de framboise à base de concentré 1,5%', 'poudre à lever', 'bicarbonate de sodium', 'cannello contenir des traces de goba', 'de lait et de']",['E500ii - Carbonate acide de sodium'],,['Non végétalien'],,,,,,,,,,?,,435,,1820 kj(435 kcal),,15,,"5,9",,64,,22,,"7,2",,"0,83",,"0,332",,,,,,,,,,,,,,,['Huile de palme'],,
377,Céréal Biscuits Complets Au Muesli,5410063662148,,,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,457,,1912 kj(457 kcal),,19,,7,,59,,17,,"7,9",,"0,63",,"0,252",,,,,,,,,,,,,,,,,
378,Jus Pur - Céréal - 750ml,5410063781542,750 ml,"['Bouteille', 'Verre', 'Capsule', 'Métal']",['Céréal'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Aliments et boissons à base de légumes', 'Boissons aux fruits', 'Jus et nectars', 'Boissons aux légumes', 'Jus de légumes', 'Jus de fruits', 'Jus de carotte']",['Point Vert'],,,,,['France'],"['Jus de fruits 89% ', 'jus de pomme 83%', ""jus d'orange 5"", '6%', 'jus de citron 0', '7%', 'jus de carotte 10%', 'extrait pissenlit', ""extrait d'ortie"", 'acide L-ascorbique', 'dl-alpha-tocopherol acetate']",,,[],1,0.1 g,en faible quantité,0.1 g,en faible quantité,10.3 g,en quantité élevée,0.05 g,en faible quantité,198,+52%,?,,198 kj(47 kcal),+53%,"0,1",-47%,"< 0,1",+176%,"10,9",+60%,"10,3",+71%,"0,3",-43%,"0,05",-47%,"0,02",-47%,4,,C,,C,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,Jus à base de fruits et de carotte,,,
379,Pringles Hot & Spicy,5410076002894,,,['Pringles'],"['Snacks', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Tuiles salées']",['Fabriqué en Belgique'],,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,B,60.4%,21.2%,8.3%,6.3%,3.8%,0.0%,82,,,,
380,Tuiles Goût Paprika Pringles,5410076605989,,,['Pringles'],"['Snacks', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Tuiles salées']",,,,,,['France'],[],,,[],,30.9 g,en quantité élevée,4.6 g,en quantité modérée,3.5 g,en faible quantité,0.62 g,en quantité modérée,?,,504,-1%,2109 kj(504 kcal),-1%,"30,9",+4%,"4,6",+37%,52,-6%,"3,5",+1%,"4,7",+7%,"0,62",-59%,"0,248",-59%,12,-10%,D,-10%,B,60.4%,21.2%,8.3%,6.3%,3.8%,0.0%,82,,,,
