,name,bar_code,quantity,packaging,brand,categories,labels,ingredients_origins,manufacturing,traceability_code,markets,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,palm_ingredients,link,brand_owner
10,Noix de cajou grillées à l'huile salée - Winny - 150g,5400247062222,150 g,"['Sachet', 'Plastique']",['Winny'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Snacks salés', 'Apéritif', 'Fruits à coques et dérivés', 'Fruits à coques', 'Noix de cajou']",,,,,['Cora'],['France'],"['Noix de Cajou 96%', 'huile de tournesol', 'sel']",,['Fruits à coque'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,48.5 g,en quantité élevée,9.1 g,en quantité élevée,8.8 g,en quantité modérée,1 g,en quantité modérée,2560,+2%,?,,2560 kj(612 kcal),+2%,"48,5",+5%,"9,1",+7%,"25,4",-1%,"8,8",+36%,"18,3",-2%,1,+59%,"0,4",+59%,8,+6%,C,+6%,E,85.9%,1.5%,2.7%,6.9%,1.9%,1.2%,21,,,,
11,Chocolat blanc - Winny - 4 * 100g (400g),5400247062260,4 * 100 g (400 g),['Plastique'],['Winny'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats blancs']",,,,,['Cora'],['France'],"['Sucre', 'beurre de cacao', 'poudre de lait écrémé', 'matière grasse de lait', 'émulsifiants : lécithine de tournesol - E476', 'arôme naturel de vanille']","['E322i - Lécithine', ""E476 - Esters polyglycériques d'acides gras d'huile de ricin""]",['Lait'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",4,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,E,91.5%,4.7%,1.2%,2.1%,0.4%,0.0%,24,,,,
12,Dessert Chocolat - Winny - 200g,5400247062277,200 g,"['Plastique', 'Papier']",['Winny'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats']",,,,,['Cora'],['France'],"['Sucre', 'pâte de cacao', 'beurre de cacao', 'émulsifiants : lécithine de tournesol', 'E476', 'arôme vanille', '\rCacao : 44% minimum']","['E322i - Lécithine', ""E476 - Esters polyglycériques d'acides gras d'huile de ricin""]",,"['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",4,25 g,en quantité élevée,15 g,en quantité élevée,56 g,en quantité élevée,0.02 g,en faible quantité,2040,-10%,?,,2040 kj(488 kcal),-11%,25,-31%,15,-29%,56,+21%,56,+36%,6,-17%,"0,02",-86%,"0,008",-86%,21,-11%,E,-11%,,,,,,,,,,,,
13,Mayonnaise à la Moutarde - Winny - 500ml,5400247062604,500 ml,"['Bocal', 'Verre']",['Winny'],"['Epicerie', 'Sauces', 'Mayonnaises', 'Mayonnaises de Dijon']",,,['Belgique'],,['Cora'],['France'],"['Huile de colza', 'eau', ""jaunes d'oeufs "", ""jaunes d'oeufs"", 'sel', 'sirop de glucose', 'moutarde de Dijon ', '5,2%', ' ', 'eau', 'graines de moutarde', 'vinaigre', 'sel', 'acidifiant : acide citrique', 'conservateur : disulfite de potassium', 'vinaigre', 'vinaigre de vin blanc', 'sel', 'sucre', 'extraits naturels', 'amidon modifié', 'acidifiant : acide citrique', 'colorant E160a', 'stabilisant : gomme xanthane', 'arôme', 'antioxydant : E385']","['E330 - Acide citrique', 'E224 - Disulfite de potassium', '', 'Risque élevé de sur-exposition', 'E14XX - Amidons modifiés', 'E160a - Carotènes mélangés', 'E415 - Gomme xanthane', 'E385 - Éthylène diamine tétra-acétate de calcium disodium']","['Œufs', 'Moutarde']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",4,72.2 g,en quantité élevée,5.7 g,en quantité élevée,1.3 g,en faible quantité,1.5 g,en quantité modérée,2724,-1%,?,,2724 kj(651 kcal),+1%,"72,2",+3%,"5,7",-11%,"1,3",-43%,"1,3",-10%,"1,8",+30%,"1,5",+1%,"0,6",+1%,19,+1%,E,+1%,C,80.2%,9.6%,5.0%,3.2%,1.6%,0.4%,49,,,,
14,Biscuit avec tablette parfum Chocolat lait - Winny - 150g,5400247062697,150 g,['Carton'],['Winny'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat', 'Biscuits tablette de chocolat', 'Biscuits au chocolat au lait', 'Biscuits tablette de chocolat au lait']",,,['France'],,['Cora'],['France'],"['Farine de blé', 'sucre', 'matière grasse végétale hydrogénée ', 'palmiste', 'matière grasse végétale ', 'palme', 'lactosérum en poudre', 'cacao maigre en poudre 3,1%', 'lait écrémé en poudre', 'lactose', 'sirop de glucose', ""poudre à lever : carbonates d'ammonium et carbonates de sodium"", 'acidifiant :a code citrique', 'sel', 'arômes', 'émulsifiant : lécithines ', 'soja']","[""E503 - Carbonates d'ammonium"", 'E500 - Carbonates de sodium', 'E322i - Lécithine']","['Gluten', 'Lait', 'Soja']","['Huile de palme', 'Non végétalien']",4,22.9 g,en quantité élevée,18.9 g,en quantité élevée,39.2 g,en quantité élevée,0.49 g,en quantité modérée,2100,+0%,?,,2100 kj(502 kcal),0%,"22,9",-3%,"18,9",+30%,67,+5%,"39,2",+6%,"5,5",-19%,"0,49",-14%,"0,196",-14%,24,-1%,E,-1%,D,84.4%,9.1%,2.7%,2.2%,1.6%,0.0%,46,,['Huile de palme'],,
15,Passata - Best Of - 680g (72cl),5400247062710,680 g (72 cl),"['Bouteille', 'Verre']",['Best Of'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Tomates et dérivés', 'Sauces', 'Sauces tomate', 'Purées de tomates']",,,,,,['France'],"['Tomates', 'sel', ""correcteur d'acidité : acide citrique""]",['E330 - Acide citrique'],,"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,0.2 g,en faible quantité,0 g,en faible quantité,4.3 g,en faible quantité,0.4 g,en quantité modérée,114,-7%,?,,114 kj(27 kcal),-44%,"0,2",-82%,0,-100%,"4,3",-26%,"4,3",-4%,"1,5",-5%,"0,4",-10%,"0,16",-10%,-5,,A,,A,22.8%,37.1%,17.7%,10.6%,8.4%,3.3%,96,Purée de tomates,,,
16,Puree de tomates - 500g,5400247062727,500 g,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Tomates et dérivés', 'Sauces', 'Sauces tomate', 'Purées de tomates']",,,,,,['France'],[],,,[],,0.25 g,en faible quantité,0.04 g,en faible quantité,3.75 g,en faible quantité,0.25 g,en faible quantité,?,,24,-54%,100 kj(24 kcal),-51%,"0,25",-77%,"0,04",-71%,"3,75",-35%,"3,75",-17%,"1,25",-21%,"0,25",-44%,"0,1",-44%,-4,,A,,B,22.8%,37.1%,17.7%,10.6%,8.4%,3.3%,96,,,,
17,Chips - Winny - 200g,5400247062840,200 g,"['Sachet', 'Plastique']",['Winny'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Céréales et pommes de terre', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de pommes de terre']",,,,,['Cora'],['France'],"['Pommes de terre', 'huile de palme', 'sel ', '1,4%']",,,"['Huile de palme', 'Végétalien', 'Végétarien']",3,37.1 g,en quantité élevée,19.8 g,en quantité élevée,0.49 g,en faible quantité,1.4 g,en quantité modérée,2351,+6%,563,+6%,2351 kj(563 kcal),+6%,"37,1",+14%,"19,8",+541%,"50,6",-2%,"0,49",-65%,"6,5",+9%,"1,4",+8%,"0,56",+8%,23,+104%,E,+104%,C,62.4%,19.7%,7.4%,7.2%,3.4%,0.0%,78,Chips de pommes de terre au sel,['Huile de palme'],,
18,Blanc de poulet - Winny - 180g,5400247062864,180 g,"['Barquette', 'Plastique']",['Winny'],"['Viandes', 'Charcuteries', 'Volailles', 'Poulets', 'Charcuteries cuites', 'Blancs de volaille en tranches', 'Blancs de poulet en tranches']",,['Union européenne'],['France'],"['EMB 85086', 'Falleron (Vendée, France)', 'FR 85.086.001 CE', 'Falleron (Vendée, France)']",['Cora'],['France'],"['Filet de poulet 66%', 'eau', 'sel', 'dextrose', 'gluten de blé', 'acidifiants : lactate de potassium et acétate de sodium', 'fibre de blé', 'stabilisants : diphosphate disodique et triphosphates de sodium', 'gélifiant : algue Euchema transformée', 'sirop de glucose', 'arômes', 'antioxydant : érythorbate de sodium', 'conservateur : nitrite de sodium']","['E326 - Lactate de potassium', 'E262i - Acétate de sodium', 'E450i - Pyrophosphate de sodium acide', 'E407a - Algues euchema transformées', '', 'Risque élevé de sur-exposition', 'E316 - Érythorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",['Gluten'],"['Non végétalien', 'Non végétarien']",4,0.5 g,en faible quantité,0.1 g,en faible quantité,2.5 g,en faible quantité,2.2 g,en quantité élevée,357,-19%,?,,357 kj(85 kcal),-20%,"< 0,5",-76%,"< 0,1",-83%,3,+178%,"2,5",+193%,"17,3",-16%,"2,2",+19%,"0,88",+19%,4,-10%,C,-10%,D,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,"Blanc de poulet de qualité standard traité en salaison, cuit, tranché",,,
19,Nic Nac - Winny - 400g,5400247063069,400 g,"['Sachet', 'Plastique']",['Winny'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']",,,['France'],,,['France'],[],,,[],,10 g,en quantité modérée,5 g,en quantité modérée,23 g,en quantité élevée,1.57 g,en quantité élevée,?,,401,-15%,1678 kj(401 kcal),-16%,10,-52%,5,-50%,69,+8%,23,-22%,"7,1",+9%,"1,57",+167%,"0,628",+167%,20,+1%,E,+1%,C,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,Biscuits,,,
