,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,brand,packaging,eco_score,generic_name,quantity,categories,labels,ingredients_origins,manufacturing,link,markets,allergens,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand_owner,origin_detail,producer_info,traceability_code,additives,palm_ingredients
428,Les bon asticot -,3575070019247,['France'],[],[],?,?,,?,,?,,?,,,,,,,,"['Viandes', 'Insectes']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
429,Défiligne brucia grassi giorno-notte,3660005700687,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
430,ButterCroissant,4337256091299,['France'],[],[],?,396,1657 kj(396 kcal),19,12,"45,5",10,"9,6",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
431,Gran aroma café mezcla,8410091016439,['France'],[],[],?,332,1389 kj(332 kcal),12,"5,2",16,"0,5",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
432,Boission vegetale au amande et au proteine de petit pois,7290108505832,['France'],[],[],?,38,159 kj(38 kcal),"1,8","0,3",1,"0,1","4,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
433,FunghIGPorcini secchi busta - 30g,8004828230016,['France'],[],[],?,286.2,1197 kj(286 kcal),"4,6","1,2","13,8",10,"0,2","15,6","6,24",,,,,30 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits déshydratés', 'Aliments à base de plantes séchées']",,,,,,,,4.6 g,en quantité modérée,1.2 g,en faible quantité,10 g,en quantité modérée,15.6 g,en quantité élevée,,-11%,-11%,-32%,-40%,-74%,-73%,-96%,+5900%,+5900%,16,+252%,D,+252%,,,,,,,,,,,,,
434,Figues sèches,3325350263521,['France'],[],[],?,323,1351 kj(323 kcal),29,"0,3","65,1","54,6","3,2","0,47","0,188",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
435,Moelleux choco,0202456045264,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
436,tagliatelle all\'uovo - barilla,0807608201293,['France'],[],[],?,?,,?,,?,,?,,,['Barilla'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437,DOUCEUR PROVENCALE - Passport tea,3760273671723,['France'],[],[],?,?,,?,,?,,?,,,['Passport tea'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
438,Psyllium blond bio,0701197960060,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
439,La terrine campagnarde au jus de truffes noires du Périgord 3%,3598962004091,['France'],[],[],?,324,1356 kj(324 kcal),29,11,1,"0,1",15,"1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
440,Les ani'bio,3120470010211,['France'],[],[],?,545,2280 kj(545 kcal),32,20,57,56,"6,1","0,18","0,072",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
441,Mets Cola - Kirin - 480mL,4909411084318,"['France', 'Japon']","['dextrine indigeste ', 'fibre alimentaire', ' /acide carbonique', 'colorant caramel', 'arôme', 'acidulant', 'édulcorant ', 'aspartame-L-phénylalanine', 'sucralose', 'glutamate de calcium', 'caféine']",[],?,?,,?,,"1,4",,0,0,0,['Kirin'],['Plastique'],,,480mL,"['Boissons', 'Boissons gazeuses', 'Boissons édulcorées', 'Sodas', 'Boissons light', 'Sodas au cola', 'Sodas light', 'Sodas au cola sans caféine', 'Colas non sucrés avec édulcorants sans caféine']",,,,,['Oishi Market'],,4,,,,,,,0 g,en faible quantité,,,,,,-71%,,-100%,-100%,-100%,,,,,,,,,,,,,,,,"['E1400 - Dextrines', 'E290 - Dioxyde de carbone', 'E150 - Caramel', 'E951 - Aspartame', 'E955 - Sucralose', 'E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition']",
442,Perles myrtille framboise,3700422235185,['France'],[],[],?,151,632 kj(151 kcal),"0,5","0,5",98,70,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443,Confetti Buratti Bianco Cioccolato KG,8013936000046,['France'],[],[],?,425,1778 kj(425 kcal),"10,49","6,57","81,47","69,98","2,16",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444,Pimientos dEl piquillo,8421251919880,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445,Gandola Grissy Choc Cream 35Gr,80083702,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446,Raisin sec,3700056711161,['France'],[],[],?,336,1406 kj(336 kcal),"0,4","0,15",82,59,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447,Anacardi tostati,8051490807107,['France'],[],[],?,559.8,2342 kj(559 kcal),"45,1","8,4","24,3","7,2","20,8","0,11","0,044",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448,"pour l'amour du thé, tisane biologique chai - Clipper - 44g",5021991940385,['France'],[],[],?,?,,?,,?,,?,,,['Clipper'],"['Carton', 'Plastique']",,,44g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,Feuille de graviola,3701262570023,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450,Tapenade aux olives,0627843436973,['France'],[],[],?,50,209 kj(50 kcal),6,"0,5",1,0,0,"0,45","0,18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
451,Dattes - Luxurian Arabian Dates,6291100880591,['France'],[],[],?,282,1180 kj(282 kcal),"0,4",0,75,63,"2,5",5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
452,Muffin milka X6,0202554019020,['France'],[],[],?,408,1707 kj(408 kcal),22,"3,5","46,5","26,1","4,9","0,65","0,26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
