,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,brand,categories,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,traceability_code,quantity,packaging,labels,manufacturing,markets,allergens,nova_score,additives,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,ingredients_origins,generic_name,link,palm_ingredients,producer_info
0,Protein Mug Cake Mix,5060385449219,['France'],[],[],?,349,1460 kj(349 kcal),"4,4","1,3",23,"7,4","47,2","0,95","0,38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Matcha Green Tea Powder - The Protein Works,5060385449325,['France'],['Unflavored - Matcha Green Tea'],[],?,372,1556 kj(372 kcal),4,"0,58","55,1","3,3","28,9","0,02","0,008",B,['The Protein Works'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés', 'Thés verts']",,+3000%,+3142%,+3977%,+1525%,+2360%,+173%,+13662%,+37%,+37%,8,+90%,D,+90%,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,,,,,,,,,,,,,,,,,,,,,
2,5060385463154,5060385463154,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,['FSC-C099978'],,,,,,,,,,,,,,,,,,,,,
3,Black Hawk Coffee Stout - Brewmeister - 330ml,5060386350019,['France'],"['Water', 'Barley', 'Wheat', 'Hops', 'Yeast & Coffee']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,,?,,?,,?,,,C,['Brewmeister'],"['Boissons', 'Boissons alcoolisées', 'Bières']",,,,,,,,,,,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,,330 ml,"['Bouteille', 'Verre']",['Déconseillé aux femmes enceintes'],"['Scotland', 'UK']",['405'],['Gluten'],3,,,,,,,,,,,,,,
4,Sun Pat Crunchy Peanut Butter - 700G,5060391620022,"['France', 'Royaume-Uni']","['Peanuts 95%', 'Stabiliser: E471', 'Cane Sugar', 'Peanut Oil 1%', 'Sea Salt']","[""Pourrait contenir de l'huile de palme"", 'Peut-être végétalien', 'Peut-être végétarien']",?,611,2556 kj(611 kcal),"48,7","9,2","14,5","6,7","24,8",1,"0,4",C,['Sun Pat'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Matières grasses', 'Produits à tartiner', 'Fruits à coques et dérivés', 'Pâtes à tartiner végétales', ""Purées d'oléagineux"", 'Beurres de légumineuses', 'Beurres de fruits à coques', 'Beurres de cacahuètes']",,+2%,+2%,+1%,+11%,+1%,+6%,+1%,+88%,+88%,-1,-109%,A,-109%,74.9%,2.4%,8.8%,4.1%,6.0%,3.7%,57,,700G,['Product'],,,,['Arachides'],4,"[""E471 - Mono- et diglycérides d'acides gras alimentaires""]",48.7 g,en quantité élevée,9.2 g,en quantité élevée,6.7 g,en quantité modérée,1 g,en quantité modérée,,,,,
5,Ginger preserve,5060391620336,['France'],[],[],?,266,1113 kj(266 kcal),0,0,"65,9",59,"0,1","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Sun Pat,5060391621821,['France'],[],[],?,616,2577 kj(616 kcal),"49,9","10,2","13,1","5,3","24,8","1,25","0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Best Strawberry Jam,5060391622163,['France'],[],[],?,252,1054 kj(252 kcal),"0,5","0,2","60,8","49,9","0,3","0,04","0,016",D,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de fraises']",,+16%,+16%,+107%,+343%,+15%,-2%,-32%,+76%,+76%,8,-8%,C,-8%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,,,,,0.5 g,en faible quantité,0.2 g,en faible quantité,49.9 g,en quantité élevée,0.04 g,en faible quantité,,,,,
8,Original Honey,5060391622743,['France'],[],[],?,300,1255 kj(300 kcal),0,0,75,75,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Raspberry and fresh mint,5060395590031,['France'],[],[],?,85,356 kj(85 kcal),"0,12","0,04","19,6","19,5","0,71",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Sirop d'Agave - Naturally Organic - 525g,5060397850065,['France'],"[""Sirop d'agave""]","['Sans huile de palme', 'Végétalien', 'Végétarien']",1305,?,1305 kj(312 kcal),0,0,75,75,0,0,0,,['Naturally Organic'],"['Édulcorants', 'Sirops', 'Sirops simples', ""Sirops d'agave""]",+0%,,+0%,-100%,-100%,-2%,+3%,-100%,-100%,-100%,13,+1%,D,+1%,,,,,,,,,525 g,"['Bocal', 'Verre']","['Bio', 'Bio européen', 'BE-BIO-01']",['Belgique'],,,1,,0 g,en faible quantité,0 g,en faible quantité,75 g,en quantité élevée,0 g,en faible quantité,['Mexique'],,,,
11,Cocoa Libre Orange Rice Milk Bar,5060397880048,['France'],"['Sugar', 'cocoa butter', 'cocoa mass', 'rice powder ', 'rice syrup', 'rice flour', ' 13', '5%', 'dietary fibre ', 'inulin', 'emulsifier: soya lecithin', 'natural vanilla flavouring', 'natural cocoa flavouring', 'orange oil', ' Allergy advice: see ingredients in bold']",['Sans huile de palme'],?,520,2176 kj(520 kcal),"33,1","20,7","49,4","37,8","1,9",0,0,,['Cocoa Libre'],,,,,,,,,,,,,,,,,,,,,,,,,,"['en:gluten-free', 'Pur beurre de cacao']",,,,4,['E322i - Lécithine'],,,,,,,,,,,,,
12,"Salted Caramel Peanut, Mit Protein - Dr ZAK'S",5060399740067,['France'],"['uts', 'Whey Protein Isolatte ', 'Peanut* Sheat û*bnÜt', 'Sunfiower Lec tary Fibre', 'Fructoseï Emulsifier ithin', 'Salt Natural Flavour']",[],?,551,2305 kj(551 kcal),"38,1","6,3",13,"8,3",35,"0,52","0,208",,"[""Dr ZAK'S""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Bulk Deal 12 X Dr Zaks Barn Farmed Liquid Egg White - Dr ZAK'S,5060399740418,['France'],"['Energy ', 'kJ\\ Energy skëal of whiçh Saturates Carbohydrate of whict', ' Sugars']",[],?,50,209 kj(50 kcal),"0,5",0,"1,1","1,1","10,2","0,4","0,16",,"[""Dr ZAK'S""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Smooth peanut,5060399740432,['France'],[],[],?,553,2314 kj(553 kcal),"38,2","6,3",13,"8,4",35,"0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Pack of 3 Deal Dr Zaks Powder P / Butter - Rich Choc 180G - Dr Zak's - 180g,5060399740524,['France'],"['ZAI', ""'S APPROVEO RICH CHOCOLATE POWDERED BUTTER ALL THE TASTE OF PEANUT BUTTER WITH 70% LESS FAT* JUST ADD WATER TO CREATE A CREAMY PEANUT SPREAD 180g SWEETENED WITH STEVIA"", 'A NATURAL SOURCE']",[],?,419,1753 kj(419 kcal),"15,7","3,49","21,14","8,1",41,"0,8","0,32",,"[""Dr Zak's""]",,,,,,,,,,,,,,,,,,,,,,,,180 g,,,,,"['Lait', 'Arachides']",,,,,,,,,,,,,,,
16,Pack of 3 Deal Dr Zaks Powder P / Butter - Original 180G - Dr Zak's - 180g,5060399740555,['France'],"[""Farine d'arachide "", '99,9%', ' Edulcorant : glycosides de stéviol']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,369,1544 kj(369 kcal),14,2,29,"15,1",48,"0,02","0,008",,"[""Dr Zak's""]",,,,,,,,,,,,,,,,,,,,,,,,180 g,,,,,['Arachides'],4,"['E960 - Glucosides de stéviol', '', 'Risque modéré de sur-exposition']",,,,,,,,,,,,,
17,High Protein Chocolate Clusters,5060399740708,['France'],[],[],?,448,1874 kj(448 kcal),"18,6","10,4",32,"8,4",33,"0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,['Halal'],,,,,,,,,,,,,,,,,,
18,Clusters fruits et yaourts - Dr Zak’s - 30g,5060399740715,['France'],"['écrémé en poudre', 'émulsifiant : lécithine de soja', 'acidifiant : acide citrique', 'sel', 'Fibre de maïs', 'Graisse végétale ', 'sal', 'karité', 'mangue', ""Flocons d'avoine"", 'Flocons de blé entier', 'Fruits rouëes en morceaux ', 'purée de fruits tmùres', ' cassis', 'framboise]', 'sucre', 'sirop de fructose', 'farine de riz', 'beurre de cacao', 'gélifiant : pectine', 'arôme', 'acidifiant : acide citrique', 'Isolat de protéines de soja', 'Fruits lyophilisés en morceaux ', 'framboises', 'cassis', 'mûres', 'Amidon de tapioca', 'Arôme', 'Acidifiant : acide citrique', 'Gomme arabique', 'Infos Allergènes: voir les ingrédients en caractères gras', ' Peut également contenir du lait', 'des céréales avec du gluten et des noix', ' Conditions conservation: Conserver au frais', ""au sec et à l'abri de la lumière,""]",['Végétarien'],?,426,1782 kj(426 kcal),"14,8",8,34,"14,3",35,"0,9","0,36",C,['Dr Zak’s'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner']",,+7%,+7%,+70%,+264%,-49%,-14%,+275%,+152%,+152%,13,+141%,D,+141%,74.0%,13.1%,5.1%,5.5%,2.3%,0.0%,60,,30 g,['Plastique'],"['Végétarien', 'Halal']",,,"['Lait', 'Fruits à coque']",4,"['E322i - Lécithine', 'E330 - Acide citrique', 'E440 - Pectines', ""E414 - Gomme d'acacia""]",14.8 g,en quantité modérée,8 g,en quantité élevée,14.3 g,en quantité élevée,0.9 g,en quantité modérée,,Clusters fruits et yaourts,,,
19,Chocolate fudge brownie peanut spread - Dr Zak's,5060399740814,['France'],"['Arachides grillées 70%', 'Isokt lactosérum ', 'lait', ' Caséinate Cacao dégraissé Fructose', 'végétales ', 'tournesol', 'karité et notx aiimentaire de ±jcorée', 'Emulsifiant Sel', 'Arôme Chocolat']",['Non végétalien'],?,556,2326 kj(556 kcal),"40,3","5,4",13,"8,8",32,"0,08","0,032",,"[""Dr Zak's""]",,,,,,,,,,,,,,,,,,,,,,,,,,['100% végétal'],,,['Lait'],4,,,,,,,,,,,,,,
20,Cru Kafe Organic Nespresso Friendly Dark Roast Capsules,5060399770873,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,,"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Boissons chaudes', 'Cafés', 'Dosettes', 'Cafés en dosettes', 'Cafés en dosettes compatible Nespresso']",,-100%,-100%,-100%,-100%,-100%,-100%,-100%,-100%,-100%,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'Agriculture non UE', 'IT-BIO-006']",,,,,,,,,,,,,,,,,,
21,"Barres De Céréales, Fruits - Planet Organic",5060401050528,['France'],[],[],?,428,1791 kj(428 kcal),23,13,41,31,13,0,0,C,['Planet Organic'],"['Snacks', 'Snacks sucrés', 'Barres', 'Barres de céréales', 'Barres de céréales aux fruits']",,+10%,+9%,+137%,+374%,-38%,+15%,+110%,-100%,-100%,16,+75%,D,+75%,80.5%,10.3%,4.6%,2.5%,2.1%,0.0%,56,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,23 g,en quantité élevée,13 g,en quantité élevée,31 g,en quantité élevée,0 g,en faible quantité,,,,,
22,Paleo Granola Sweet Greens 350G Planet Organic - 350g,5060401050610,['France'],"['Copeaux de Noix de Coco', 'Dattes hachées ', 'avec Farine de Noix de Coco', 'Graines de Tournesol', 'Noix de Cajou', 'Graines de Potiron', 'Morceaux de Noix du Brésil', 'Sucre de Noix de Cocot Banane Séchée ', '5,1%', 'Amandes', 'Graines de Lin Broyées', 'Graines de Chiat Poudre diAgropyre ', '0,4%', 'Poudre d}Herbe di0rge', 'Poudre de Spiruline ', '0,1%', ' Pour les allergènes', 'voir les ingrédients en caractères gras Produit dans un établissement qui traite des Cacahuètes du Lait', 'du Soja', 'des Graines de Sésame']",[],?,542,2268 kj(542 kcal),35,11,42,22,"7,6","0,03","0,012",,['Planet organic'],,,,,,,,,,,,,,,,,,,,,,,,350 g,,['Bio'],,,"['Fruits à coque', 'Graines de sésame', 'Soja']",,,,,,,,,,,,,,,
23,Epicerie / Spécialités Végétaliennes / Biscuits Végétaliens,5060401050634,['France'],[],[],?,550,2301 kj(550 kcal),37,"7,9",38,20,15,"0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Planet organic,5060401050788,['France'],"['Maïs Soufflé* ', '69%', 'Huile de Coco*', 'Chou Frisé* 128%', ""Sel Rose de l'Himalaya"", 'Levure Nutritionnelle ', '2%', "" *Ingrédients Issus de l'agriculture biologique""]",[],?,512,2142 kj(512 kcal),28,24,53,"0,9","7,7","0,15","0,06",,['Planet organic'],,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,,,,,,,
25,"Epicerie / Epicerie Sucrée / Gâteaux, Biscuits, Encas",5060401050795,['France'],[],[],?,498,2084 kj(498 kcal),25,22,53,"0,2","9,4","0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Paleo Granola Caramel Pie,5060401051891,['France'],[],[],?,409,1711 kj(409 kcal),28,"9,7",35,15,"8,7","0,12","0,048",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,"Epicerie / Epicerie Sucrée / Barres De Céréales, Fruits",5060401051907,['France'],[],[],?,391,1636 kj(391 kcal),26,11,36,17,"7,3","0,16","0,064",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Barre Paleo Granola Délice Chocolat 30G Planet Organic,5060401051914,['France'],"['coconut nectar', 'sunflower seeds', 'cashew nuts', 'coconut chips', 'chopped dates  ', 'with rice flower', ' Brazil nuts', 'coconuts sugar', 'almond', 'cacao powder 3,81%', 'cacao nibs 1', '82% milled linseed', 'vanilla powder 0', '75%', 'chia seeds']",[],?,409,1711 kj(409 kcal),28,9,33,16,"9,3","0,13","0,052",,['Planet Organic'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Fruits à coque'],,,,,,,,,,,,,,,
29,Pina colada - The Cherry Tree,5060401220655,['France'],"['Sugar', 'EGG', 'butter ', 'milk', 'pineapple juice concentrate ', '18', '5%', 'coconut liqueur ', '8%', 'gelling agent: pectine ,acidity regulator: citric acide ,coconut flavouring ', '0', '7%']",['Non végétalien'],?,398,1665 kj(398 kcal),"17,6","10,6",54,"51,7","3,2","0,1","0,04",,['The Cherry Tree'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Œufs', 'Lait']",4,,,,,,,,,,,,,,
30,Mr Basil pineapple,5060401970277,['France'],"['eau', ""jus d'ananas"", '30%', 'graines de basilic ', '15%', 'sucre', 'acide citrique', 'agent épaississant ', 'gomme de xanthane', 'agent gélifiant ', 'gomme de guar', ""arôme d'ananas"", 'colorants artificiels ', 'E102', 'E110']",[],?,46,192 kj(46 kcal),0,0,"11,5",11,0,"0,05","0,02",,['Mr Basil'],"['Boissons', 'Boissons avec sucre ajouté']",,-46%,-48%,-100%,-100%,-42%,-40%,-100%,+34%,+34%,15,+26%,E,+26%,,,,,,,,,,,,,,,4,"['E330 - Acide citrique', 'E415 - Gomme xanthane', 'E412 - Gomme de guar', 'E102 - Tartrazine', 'E110 - Jaune orangé S']",0 g,en faible quantité,0 g,en faible quantité,11 g,en quantité élevée,0.05 g,en faible quantité,,,,,
31,Aloe vera drink Lychee Flavour,5060401970369,['France'],[],[],?,32,134 kj(32 kcal),0,0,8,0,0,"2,5",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Basil seed drink,5060401970512,['France'],[],[],?,53,222 kj(53 kcal),0,0,"13,2","12,5","0,15","0,02","0,008",,,"['Boissons', 'en:Basil seeds drinks']",,-17%,-17%,-100%,,-17%,-16%,+838%,-87%,-87%,2,-69%,C,-69%,,,,,,,,,,,,,,,,,0 g,en faible quantité,0 g,en faible quantité,12.5 g,en quantité modérée,0.02 g,en faible quantité,,,,,
33,Basil seed drink PEACH,5060401970536,['France'],[],[],?,53,222 kj(53 kcal),0,0,"13,2","12,5","0,15","0,03","0,012",,,"['Boissons', 'en:Basil seeds drinks']",,-17%,-17%,-100%,,-17%,-16%,+838%,-81%,-81%,2,-69%,C,-69%,,,,,,,,,,,,,,,,,0 g,en faible quantité,0 g,en faible quantité,12.5 g,en quantité modérée,0.03 g,en faible quantité,,,,,
34,Aloe Vera Drink Peach Flavour,5060401970956,['France'],[],[],?,32,134 kj(32 kcal),0,0,8,0,0,"2,5",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Mr basil mint - The London Juice Company,5060401971373,['France'],"['Eau', 'graines de basilic', 'sucre', 'gélifiant E418', 'arôme menthe', 'cobrants artificiels El 33', 'E102', ""de fabrication et d'expirationl Voir sur la capsule"", ' dans un endroit frais et sec rted and Distributed By H-Sweets 36 Rue Victor Grignard 42000 Saint Etienne']",[],?,53,222 kj(53 kcal),0,0,"13,2","12,5","0,15","0,02","0,008",,['The London Juice Company'],"['Boissons', 'Boissons avec sucre ajouté']",,-38%,-40%,-100%,-100%,-33%,-32%,-72%,-47%,-47%,17,+43%,E,+43%,,,,,,,,,,,,,,,4,"['E418 - Gomme gellane', 'E102 - Tartrazine']",0 g,en faible quantité,0 g,en faible quantité,12.5 g,en quantité élevée,0.02 g,en faible quantité,,,,,
36,Coco me pure,5060401971434,['France'],[],[],?,80,335 kj(80 kcal),1,"0,1",15,15,1,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Mr.Basil Lime & Lemon,5060401972417,['France'],[],[],?,16,67 kj(16 kcal),0,0,"11,5",11,0,"0,05","0,02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Le Sapin de Noël -,5060402882005,['France'],"['Chocolat au lait Belge', ' 33', '6 % ', 'min', ' solides de cacao', '20,8 % extraits secs laitiers ', 'Lait', ',sucre', 'beurre de cacao', 'poudre de lait entier', 'masse de cacao', 'lécithine de soja', 'vanille naturelle', ' Chocolat blanc: 28 % cacao minim sucre', 'beurre de cacao', 'poudre de lait ', 'lécithine de soja', 'vanille naturelle', ' Paillettes comestibles : dioxide de titane']",['Non végétalien'],?,565,2364 kj(565 kcal),36,"21,7","52,3","51,5","6,6","0,2","0,08",,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Aliments et boissons de Noël', 'Chocolats', 'Moulages en chocolat', 'Chocolats de Noël']",,+4%,+4%,+14%,+11%,-7%,-5%,+2%,+3%,+3%,27,+3%,E,+3%,,,,,,,,,,['Plastique'],,,,"['Lait', 'Soja']",3,['E322i - Lécithine'],36 g,en quantité élevée,21.7 g,en quantité élevée,51.5 g,en quantité élevée,0.2 g,en faible quantité,,,,,
39,Mars Milk - 470ml,5060402901232,"['France', 'Royaume-Uni']","['Lait ', '2,2% de matières grasses', ' ', '75 %', 'eau', 'sucre', 'fructose', 'poudre de lactosérum ', 'de lait', 'poudre de cacao ', '0,6 %', 'stabilisants: carraghénane', 'gomme de guar', "" émulsifiant: mono- et diglycérides d'acides gras d'origine végétale"", ""extrait de malt d'orge"", 'arômes', 'sel', 'mélasse de canne']","['Non végétalien', 'Végétarien']",?,70,293 kj(70 kcal),"2,1","1,4","9,7","9,6",3,"0,2","0,08",,['Mars'],"['Boissons', 'Produits laitiers', 'Boissons lactées', 'Boissons avec sucre ajouté']",,+1%,0%,+30%,+43%,-7%,-1%,+4%,+80%,+80%,18,+23%,E,+23%,,,,,,,,,470 ml,"['Bouteille', 'Plastique']",['Végétarien'],,,"['Gluten', 'Lait']",4,"['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E412 - Gomme de guar']",2.1 g,en quantité modérée,1.4 g,en quantité modérée,9.6 g,en quantité élevée,0.2 g,en quantité modérée,,Boisson lactée aromatisée chocolat et caramel.,,,
40,Mars milk,5060402901706,['France'],[],[],?,56,234 kj(56 kcal),"0,2","0,1","10,1",10,"3,3","0,22","0,088",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Bounty coconut hot chocolate,5060402903311,['France'],"['Whey Permeate ', 'milk', 'Sugar', 'Fat Reduced Cocoa Powder', 'Cocon ut Oil', 'Dried Glucose Syrup', 'Milk Chocolate ', '3%', ' ', 'sugar', 'cocoa butter', 'skimmed milk powder', 'cocoa mass', 'lactose and protein from whey ', 'milk', 'palm fat', 'whey powder ', 'milk', 'milk fat', 'emulsifier ', 'soya lecithin', 'natural vanilla extract', 'Skimmed Milk Powder', 'Flavourings', 'Stabilisers ', 'guar gum', 'E466', 'E340ii', 'E339ii', 'E452i', 'Anti-Caking Agent ', 'E551', 'Coconut Milk Powder ', 'coconut milk ', '1% coconut', 'maltodextrin', 'milk proteins', 'Acidity Regulator ', 'E331', 'Milk Proteins', 'Natural Flavouring', 'Salt', 'Emulsifier ', 'E471', 'Sweetener ', 'sodium saccharin', ' Milk chocolate contains milk solids 14% minimum and cocoa solids 25% minimum', ' Milk chocolate contains vegetable fat in addition Suitable for vegetarians']","['Huile de palme', 'Non végétalien']",?,164,686 kj(164 kcal),"4,8","3,5",23,"21,5","6,8","0,5","0,2",,['Bounty'],"['Boissons', 'Boissons avec sucre ajouté']",,+93%,+85%,+1180%,+2008%,+16%,+17%,+1162%,+1237%,+1237%,25,+110%,E,+110%,,,,,,,,,,,['Pur beurre de cacao'],,,"['Lait', 'Soja']",4,"['E322i - Lécithine', 'E412 - Gomme de guar', 'E466 - Carboxyméthylcellulose', 'E340ii - Phosphate dipotassique', 'E339ii - Phosphate disodique', 'E452i - Polyphosphate de sodium', 'E551 - Dioxyde de silicium', 'E331 - Citrates de sodium', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E954 - Saccharine et ses sels']",4.8 g,en quantité modérée,3.5 g,en quantité élevée,21.5 g,en quantité élevée,0.5 g,en quantité modérée,,,,,
42,Malteser shake - Maltesers,5060402903892,['France'],[],[],?,68,285 kj(68 kcal),"0,7","0,5","11,8","11,6","3,4","0,18","0,072",,['Maltesers'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Mars 100% Whey Protein 800 GR + Gratis Shaker,5060402904103,['France'],[],[],?,386,1615 kj(386 kcal),"7,3","2,7","11,4","7,1","67,5","0,98","0,392",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,MilkyWay Protein - Mars,5060402904936,['France'],"['Barra rica em proteinas com cobertura de chocolate de leite ', '51g', ' Ingredientes: Mistura de proteinas do leite ', '23%', ' ', 'proteina de leite', 'concentrado de proteina de soro ', 'leite', 'emulsionante ', 'lecitina de soja', 'chocolate de leite ', '19%', ' ', 'açücar', 'manteiga de cacau', 'leite em pé magro', 'massa de cacau', 'lactose e proteina de soro ', 'leite', 'gordura de palma', 'soro em pé ', 'leite', 'gordura do leite', 'emulsionantes ', 'lecitina de soja', 'E476', 'extrato natural de baunilha', 'colagénio hidrolisado ', '15%', 'humidificante ', 'glicerol', 'xarope de glicose', 'fruto- oligossacarideo', 'albümen de ovo ', '3', '6%', 'leite em Pô', 'aromas', 'éleo de girassol', 'extrato de malte de idante ', 'extracto rico -']",[],?,359,1502 kj(359 kcal),8,"4,2","36,5","19,9","37,6","0,36","0,144",,['Mars'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,"[""E476 - Esters polyglycériques d'acides gras d'huile de ricin""]",,,,,,,,,,,,,
45,Smooth Milk - Galaxy - 350g,5060402906558,['France'],"['Milk chocolate flavoured spread', ' Ingredients: Sugar', 'Vegetable Oils ', 'rapeseed', 'palm', 'Maltodextrin', 'Milk Chocolate ', '10%', ' ', 'sugar', 'cocoa butter', 'skimmed milk powder', 'cocoa mass', 'lactose and proteirn from whey ', 'milk', 'palm fat', 'whey powder ', 'milk', 'milk fat', 'emulsifier: lecithins ', 'soya', 'natural vanilla extract', 'whole milk powder', 'sunflower oil', 'fat-reduced cocoa powder ', '3%', 'emulsifier: lecithins ', 'sunflower', 'salt', 'hazelnuts', 'natural flavouring', ' May contain Almonds', ' Suitable for vegetarians']","['Huile de palme', 'Non végétalien', 'Végétarien']",?,?,,?,,?,,?,,,,"['Galaxy', 'Mars']","['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés', 'Pâtes à tartiner', 'Pâtes à tartiner au chocolat']",,,,,,,,,,,,,,,,,,,,,,,350 g,['Glass'],['Végétarien'],,,"['Lait', 'Fruits à coque', 'Soja']",4,['E322 - Lécithines'],,,,,,,,,,,,,
46,Simplee Aloe 1L - Soothing inside out,5060403010025,['France'],[],[],?,28,117 kj(28 kcal),0,0,"6,9","6,7",0,,,D,"['Soothing inside out', 'Simplee aloe']","['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de raisin', ""Jus d'aloe vera""]",,-58%,-58%,-100%,-100%,-58%,-58%,-100%,,,,,,,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,1l,['Brique'],,,,,,,0 g,en faible quantité,0 g,en faible quantité,6.7 g,en quantité élevée,,,,,,,
47,Vinaigrette et marinade,5060403020161,['France'],[],[],?,612,2561 kj(612 kcal),"63,4","7,4","8,3","8,3","0,6","1,3","0,52",D,,"['Epicerie', 'Sauces', 'Sauces salades', 'Vinaigrettes']",,+69%,+71%,+72%,+96%,+75%,+152%,+2%,-32%,-32%,20,+34%,E,+34%,80.2%,9.6%,5.0%,3.2%,1.6%,0.4%,49,,,,,,,,,,63.4 g,en quantité élevée,7.4 g,en quantité élevée,8.3 g,en quantité modérée,1.3 g,en quantité modérée,,,,,
48,Kiwi babana & pear,5060403110022,['France'],[],[],?,48,201 kj(48 kcal),"0,2",0,"11,1","9,9","0,5","0,05","0,02",,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Agriculture UE/Non UE', 'Sans additifs']",,,,,,,,,,,,,,,,,,
49,Yoghurt raisins,5060403361356,['France'],[],[],?,440,1841 kj(440 kcal),"19,2",12,"64,6","62,4","3,6","0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
