,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,brand,categories,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,traceability_code,quantity,packaging,labels,manufacturing,markets,allergens,nova_score,additives,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,ingredients_origins,generic_name,link,palm_ingredients,producer_info
1184,Dried Fruit Serano - Raisins Seedless,5290097007562,['France'],"['RAISIN', 'SUNFLOWER au PRESERVATIVE: SULPHUR DIOXIDE', "" PAYS D'ORIGINE: CHILI / COUNTRY OF CHILE Déclaratbn nubiüGFdle I""]",[],?,304,1272 kj(304 kcal),"0,5","0,1","71,6","68,3","2,4",0,0,D,['Serano'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Raisins secs']",,-4%,-4%,-14%,-29%,-1%,+9%,-15%,-100%,-100%,4,-29%,C,-29%,37.4%,55.6%,3.3%,1.3%,2.3%,0.0%,44,,,,,,,['Anhydride sulfureux et sulfites'],,"['E220 - Anhydride sulfureux', '', 'Risque élevé de sur-exposition']",0.5 g,en faible quantité,0.1 g,en faible quantité,68.3 g,en quantité élevée,0 g,en faible quantité,,,,,
1185,Snackin'good - Serano - 150g,5290097007593,['France'],"['CRANBERRIES', 'SUCRE', 'JUS CONCENTRÉ DE GRENADE ARÔMES', ""CORRECTEUR D'ACIDITÉ: ACIDE MALIQUE"", 'HUILE DE TOURNESOL', 'COULEUR JUS CONCENTRÉ DE SUREAU', 'CONSERVATEUR: DIOXYDE DE SOUFRE']",[],?,325,1360 kj(325 kcal),0,0,"82,5","72,5",0,0,0,,['Serano'],,,,,,,,,,,,,,,,,,,,,,,,150 g,,,,,['DIOXYDE'],,"['E296 - Acide malique', 'E220 - Anhydride sulfureux', '', 'Risque élevé de sur-exposition']",,,,,,,,,,,,,
1186,Ananas séché et sucré - Serano,5290097011118,['France'],[],[],?,355,1485 kj(355 kcal),"10,3",0,85,74,"0,5","0,5","0,2",,['Serano'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1187,Snacking good papaye séchée et sucrée - Serano,5290097011125,['France'],[],[],?,344,1439 kj(344 kcal),0,0,86,"66,6","0,1","0,1","0,04",,['Serano'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1188,Trail Mix - Serano,5290097011941,['France'],[],[],?,563,2356 kj(563 kcal),?,"5,4",?,"6,5","22,3","0,12","0,048",,['Serano'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1189,Edam 17% light - Valio,5290122007499,['France'],"['TYPI ENTAM LIGHT 17% AlflAPA 2E OETEE Xojpic» / Lactose free va f for rruna', ' aoBÉono', ' Ingredtertts CCMS milk remet', 'sa', ' refXiiator ', 'calcium chlonde', ' oc / Packed ln a cyotect', 've atmosphero Liarrjp€jrat oro 44•C - •6•C I Keep refnqerated at +4•C - è6•C atarpovtK6ç nivaxaç J Nutritional Irtormation aval per flA%/ RrYo•']",[],?,270,1130 kj(270 kcal),17,"9,4",0,0,29,"1,25","0,5",,['Valio'],,,,,,,,,,,,,,,,,,,,,,,,,,['Sans lactose'],,,,,,,,,,,,,,,,,,
1190,Gouda - Valio,5290122016637,['France'],"['rKOYNTA / Lactose free KatdÀÀnÀo xoptoçdyouç / Suitable for vegetarians AyeÀaElvé aÀdtl', 'puegmhç ', 'XÀOJPIOÜXO ""dients Cowls mllk', 'rennet', 'salti acidity regulator ', 'calcium chloride', ' rrpoc7ateuÏlKh atgé*atpc / Packed in a protective atmosphere ptftal efo +40C - +60C / Kee refri erated at +40C - +î0C flA% avd/p•r 100g ITP 0 QIK6ç nvaxaç / Nutrhlonal Information']",[],?,362,1515 kj(362 kcal),29,16,0,0,25,"2,1","0,84",,['Valio'],,,,,,,,,,,,,,,,,,,,,,,,,,['Sans lactose'],,,,,,,,,,,,,,,,,,
1191,Honey Mustard,5290134002208,['France'],[],[],?,487,2038 kj(487 kcal),"41,26","4,6","27,04","15,46",2,"0,44","0,176",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1192,Loukoumi,5290135000999,['France'],[],[],?,388,1623 kj(388 kcal),"1,5",0,"88,5","78,6","1,6","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1193,Coconut water,5290227003167,['France'],[],[],?,22,92 kj(22 kcal),0,0,"5,5","5,2",0,"0,025","0,01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1194,Crème Dessert,5290448003731,['France'],[],[],?,104,435 kj(104 kcal),"2,7","1,9","13,8","13,7",2,"0,16","0,064",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1195,Huile d'olive pressée à froid,5291413001073,['France'],[],[],?,809,3385 kj(809 kcal),"89,9",14,0,0,0,"0,001",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1196,Adam light cheese,5292459000372,['France'],[],[],?,270,1130 kj(270 kcal),17,"9,4",0,0,29,"1,25","0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,['Sans lactose'],,,,,,,,,,,,,,,,,,
