,name,bar_code,categories,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_energy_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,markets,quantity,packaging,traceability_code,manufacturing,link,allergens,nova_score,ingredients_origins,generic_name,additives,origin_detail
20,Canistrelli aux figues,3348710001007,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Ossau-iraty aop,2232070002204,,['France'],[],[],?,,422,,35,,"1,2",,25,,25,"0,5",1766 kj(422 kcal),"1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Yaourt bio local,3760171890868,,['France'],[],[],?,,80,,"3,3",,"10,5",,"3,6",,"0,87","10,5",335 kj(80 kcal),0,0,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Marini,8015997000324,,['France'],[],[],?,,510,,"22,1",,71,,"6,8",,"5,6","29,4",2134 kj(510 kcal),"0,27","0,108",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Saucisses de volaille,2344021002642,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses de volaille']",['France'],[],[],?,,158,-12%,"9,3",-21%,"0,4",-68%,18,+9%,"2,7","0,3",661 kj(158 kcal),"1,7","0,68",E,,9.3 g,en quantité modérée,2.7 g,en quantité modérée,0.3 g,en faible quantité,1.7 g,en quantité élevée,-13%,-26%,-42%,-4%,-4%,5,-49%,C,-49%,88.4%,6.6%,1.6%,0.9%,0.5%,2.0%,17,,,,,,,,,,,,,
25,Tropezienne X2,0203980015099,"['Tartes', 'Tartes sucrées', 'Tartes tropéziennes']",['France'],[],[],?,,290,+5%,15,+47%,34,-13%,"4,2",-1%,10,17,1213 kj(290 kcal),"0,48","0,192",,,15 g,en quantité modérée,10 g,en quantité élevée,17 g,en quantité élevée,0.48 g,en quantité modérée,+5%,+47%,-16%,-4%,-4%,17,+13%,D,+13%,,,,,,,,,,,,,,,,,,,,
26,Pecorino Sardo Dolce DOP -,8010861005481,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Fromages de brebis', 'Pecorino', 'it:Pecorino Sardo']",['France'],[],[],?,,340,-14%,28,-13%,1,+599%,22,-14%,"15,9",1,1423 kj(340 kcal),"1,6","0,64",D,"['Sans conservateurs', 'AOP']",28 g,en quantité élevée,15.9 g,en quantité élevée,1 g,en faible quantité,1.6 g,en quantité élevée,-14%,-18%,+529%,-63%,-63%,16,-14%,D,-14%,87.8%,4.4%,3.0%,3.1%,1.4%,0.4%,44,,,,,,,,,,,,,
27,Gyozas - Picard,3270160863082,,['France'],[],[],?,,88,,"0,5",,21,,"1,6",,"0,1",17,368 kj(88 kcal),"1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,['Picard'],['Picard'],,,,,,,,,,,
28,Graisse à frire,3263859339999,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Pur jus Cranberry,3289196400314,,['France'],[],[],?,,16,,0,,4,,0,,0,4,67 kj(16 kcal),0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
