,name,bar_code,categories,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_energy_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,markets,quantity,packaging,traceability_code,manufacturing,link,allergens,nova_score,ingredients_origins,generic_name,additives,origin_detail
306,Filet Americain,0207977015154,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,Collagen peptides,9010128029358,,['France'],[],[],?,,400,,"0,1",,"0,1",,20,,"0,1","0,1",1674 kj(400 kcal),"0,75","0,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,Les Médaillés de nos Terroirs -,3492847636004,['Plateau de fromages'],['France'],[],[],?,,382.6,,"31,4",,"0,9",,"24,4",,"20,8","0,5",1601 kj(382 kcal),"1,44","0,576",,,31.4 g,en quantité élevée,20.8 g,en quantité élevée,0.5 g,en faible quantité,1.44 g,en quantité modérée,,,,,,20,,E,,,,,,,,,,,,"['Barquette', 'Film en plastique']","['FR 31.582.001 CE', 'Villefranche-de-Lauragais (Haute-Garonne, France)']",,,,,,,,
309,"Yaourt à boire, parfum vanille -",3256242645180,,['France'],[],[],?,,72,,"1,3",,12,,"3,1",,"0,9",12,301 kj(72 kcal),"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,Kombucha,3770018463032,,['France'],[],[],?,,17,,0,,4,,0,,0,"3,7",71 kj(17 kcal),0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,Tartes aux pommes,0297428038702,,['France'],[],[],?,,201,,"8,1",,32,,"1,6",,"5,5",8,841 kj(201 kcal),"0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,Nicolas,3760006274030,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313,Assaisonnement pimenté à la japonaise,4901002168858,,['France'],[],[],?,,343,,13,,19,,18,,"4,1","3,6",1435 kj(343 kcal),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,sauce yopie,3770005926724,,['France'],[],[],?,,477,,"42,3",,"22,6",,"0,8",,"3,5","20,9",1996 kj(477 kcal),"1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,Envie de nuts,7622201464080,,['France'],[],[],?,,507,,33,,34,,11,,14,25,2121 kj(507 kcal),"0,65","0,26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,Galette frangipane 4 personnes,0211276026179,,['France'],[],[],?,,447,,31,,33,,"7,6",,14,19,1870 kj(447 kcal),"0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,Sirop Fraise des bois -,3770010211723,['Sirops'],['France'],[],[],?,,328,+28%,0,-100%,"81,3",+25%,0,-100%,0,1,1372 kj(328 kcal),"0,03","0,012",,,0 g,en faible quantité,0 g,en faible quantité,1 g,en faible quantité,0.03 g,en faible quantité,+25%,-100%,-98%,-20%,-20%,4,-67%,C,-67%,,,,,,,,,,,,,,,,,,,,
318,Knack de volaille x6 -,2858262025655,,['France'],[],[],?,,?,,?,,?,,?,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 67.127.001 CE', 'Ergersheim (Bas-Rhin, France)']",,,,,,,,
319,Raspberry,8714100265611,,['France'],[],[],?,,2,,0,,"0,6",,0,,0,"0,2",8 kj(2 kcal),0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,Eaa méga strong,8594014867503,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,ProSlimer,5904213000305,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,Framboiselle décors sucrés licorne,3700392490430,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,Poulet,0213935051430,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,Couac,3770017052022,,['France'],[],[],?,,388.8,,"0,8",,"94,3",,"1,1",,"0,3","0,5",1627 kj(388 kcal),"0,11","0,044",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,Riz au lait vanille,3424140000176,,['France'],[],[],?,,558,,"3,7",,"22,6",,"3,4",,"2,3","13,4",2335 kj(558 kcal),"0,825","0,33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 50.363.002 CE', 'Moyon (Manche, France)']",,,,,,,,
326,Pink lady,40896083,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,Nouilles de blé,8801007218618,,['France'],[],[],?,,352,,"0,9",,76,,10,,0,2,1473 kj(352 kcal),"2,7","1,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328,Saumon fumé,2007341051898,"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés']",['France'],[],[],?,,177,-4%,"9,3",-11%,"0,5",+1%,23,+4%,"1,4",0,741 kj(177 kcal),"2,8","1,12",E,,9.3 g,en quantité modérée,1.4 g,en faible quantité,0 g,en faible quantité,2.8 g,en quantité élevée,-4%,-32%,-100%,-1%,-1%,13,-1%,D,-1%,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,,,,,"['FR 76.664.003 CE', 'Sasseville (Seine-Maritime, France)']",,,,,,,,
329,Sérélys one,3665351000061,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,Jus de pomme,3770004420322,,['France'],[],[],?,,51,,"0,5",,12,,"0,2",,"0,1",12,213 kj(51 kcal),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,Herbes à l’huile,3760103461128,,['France'],[],[],?,,493,,"53,6",,"0,9",,11,,"7,4","0,8",2063 kj(493 kcal),"1,45","0,58",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,Haribo Word mix,03723876,,['France'],[],[],?,,350,,1,,80,,"4,4",,"0,7",53,1464 kj(350 kcal),,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Haribo'],,,,,,,,,,,,
333,Citronelle,7061259759043,,['France'],[],[],?,,112,,"0,4",,25,,"2,1",,"0,1",0,469 kj(112 kcal),,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334,Croquette,3269878030206,,['France'],[],[],?,,?,,?,,?,,?,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335,Panetone,8054317030009,,['France'],[],[],?,,487,,"21,2",,"64,5",,"9,6",,"13,6","26,2",2038 kj(487 kcal),"0,9","0,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336,Comté AOP Intense,2480254051160,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté']",['France'],[],[],?,,417,-0%,35,+1%,"0,5",+8%,28,+4%,20,"0,5",1745 kj(417 kcal),"0,8","0,32",D,,35 g,en quantité élevée,20 g,en quantité élevée,0.5 g,en faible quantité,0.8 g,en quantité modérée,-0%,-12%,+87%,-5%,-5%,13,0%,D,0%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,,
337,Couronne des rois,0223322032140,,['France'],[],[],?,,12,,13,,14,,17,,1,0,50 kj(12 kcal),0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
338,Mini filetti,7613287209610,,['France'],[],[],?,,?,,?,,?,,?,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339,Dragibus,2608115013786,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,Skittkes,3760285526219,,['France'],[],[],?,,404,,"4,2",,"90,8",,0,,"2,3","89,9",1690 kj(404 kcal),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,Müesli chocolaz,5371000000006,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342,Sarcives impériales,0271129048413,,['France'],[],[],?,,293,,"19,5",,"8,8",,"20,7",,"9,4","7,4",1226 kj(293 kcal),"1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
343,Galette des rois bio,3496531158056,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,Minigomma pastel,8000825027369,,['France'],[],[],?,,486,,10,,1,,"0,5",,1,0,2033 kj(486 kcal),"0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345,Galette des rois Leclerc pomme,0209590025916,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346,Poivron,3606760111566,,['France'],[],[],?,,0,,0,,0,,0,,0,0,0 kj(0 kcal),0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347,Minci flash,3760265840045,,['France'],[],[],?,,10,,0,,0,,0,,0,0,42 kj(10 kcal),0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348,Tisane nerf - sommeil - Pharmacie verte - 100g,00000303,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Infusions', 'Tisanes de plantes mélangées']",['France'],"['Passiflore 20g', 'aubépine sf 20g', 'eschscholtzia 20g aspérule odorante 20g', 'mélilot 10g', 'oranger fe 10g']",[],?,,?,,?,,?,,?,,,,,,,A,['en:herboristerie'],,,,,,,,,,,,,,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,['Pharmacie verte'],,100 g,['Papier'],,,,,,,,,
349,Sushi,3701292606532,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350,Coconut,6917541780213,,['France'],[],[],?,,60,,2,,11,,0,,2,9,251 kj(60 kcal),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351,Couronne brioche,0258312025918,,['France'],[],[],?,,296,,"8,1",,47,,8,,"5,1","9,2",1238 kj(296 kcal),"1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352,Maxi Moelleux pépites chocolat - 700g,3423000000486,,['France'],"['Eau', 'sucre', 'OEUFS', 'pépites de chocolat ', 'sucre', 'pâte de cacao', 'beurre de cacao', 'dextrose', 'émulsifiant: Lécithine de SOJA', 'amidon de froment', 'huile de colza', 'farine de froment', 'amidon modifié', 'fibres solubles', 'poudres à lever ', 'E450', 'E500', 'E341', 'poudre de LAIT écrémé', 'émulsifiants ', 'E471', 'E472e', 'amidon', 'farine de froment prégélatinisée', 'bicarbonate de soude ', 'E500ii', 'sel', 'arâme naturel']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700g,,,,,"['Œufs', 'Gluten', 'Lait', 'Soja']",4,,,"['E322i - Lécithine', 'E14XX - Amidons modifiés', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E500 - Carbonates de sodium', 'E341 - Phosphates de calcium', '', 'Risque élevé de sur-exposition', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", ""E472e - Ester Monoacéthyltartrique de mono- et diglycérides d'acides gras"", 'E500ii - Carbonate acide de sodium']",
353,Pate de bison aux noix,3770002480038,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354,Confiture,3760029942077,,['France'],[],[],?,,178,,"0,6",,40,,"0,8",,"0,1",40,745 kj(178 kcal),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355,Herbe de Provence 1A,3356510143841,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356,Dattes Branchées D'Algérie,3458435183572,,['France'],[],[],?,,272,,"0,5",,"61,1",,"1,8",,"0,1","59,5",1138 kj(272 kcal),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357,Bacon,2273327022569,,['France'],[],[],?,,128,,"0,5",,25,,"2,9",,"0,5","2,4",536 kj(128 kcal),"1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358,Pocky ( groseilles ),6901845045086,,['France'],[],[],?,,526,,"28,4",,"58,9",,"7,1",,0,"28,4",2201 kj(526 kcal),"0,4","0,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359,Pain triple choco,0256607025582,,['France'],[],[],?,,391,,20,,42,,"5,6",,14,17,1636 kj(391 kcal),"0,73","0,292",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360,2800356001847,2800356001847,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361,Sel de mer fin,3183282444858,"['Epicerie', 'Condiments', 'Sels']",['France'],[],[],?,,?,,?,,?,,?,,,,,,,B,,,,,,,,,,,,,,,,,,,50.9%,0.0%,27.5%,11.1%,10.5%,0.0%,98,,,,,,,,,,,,,
362,Saucisse frankfort,2274732019687,,['France'],[],[],?,,241,,"19,7",,"2,1",,14,,"7,4","1,5",1008 kj(241 kcal),2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
363,Viande,0248068119849,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
364,Rillettes de SARDINES,3193840570110,,['France'],[],[],?,,?,,?,,?,,?,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
365,Gambas Black Tiger,5411658060035,,['France'],[],[],?,,82,,"0,8",,0,,19,,"0,3",0,343 kj(82 kcal),"0,25","0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
366,Pain chocolat bio,0242551024276,,['France'],[],[],?,,378,,21,,39,,"7,1",,15,12,1582 kj(378 kcal),"0,82","0,328",,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367,Pickle Mango with chili,8851101993126,,['France'],[],[],?,,232,,0,,56,,0,,0,24,971 kj(232 kcal),12,"4,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368,8437562235557,8437562235557,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
369,Korean red ginseng tea,8801767912573,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés']",['France'],[],[],?,,12,+33%,0,-100%,0,-100%,0,-100%,0,0,50 kj(12 kcal),,,B,,,,,,,,,,+35%,-100%,-100%,,,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,,,,,,,,,,,,
370,Garniture poir flammekueche,3052420331032,,['France'],[],[],?,,112,,"6,6",,"5,6",,"6,9",,"3,3","3,4",469 kj(112 kcal),"1,26","0,504",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371,Candy box,3215470520003,,['France'],[],[],?,,408,,"12,3",,"76,9",,"2,1",,"10,8","52,5",1707 kj(408 kcal),"0,13","0,052",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372,Osso buco,0247267052216,,['France'],[],[],?,,92,,"3,4",,"2,4",,13,,"1,4","1,4",385 kj(92 kcal),"0,59","0,236",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
373,Croccante,8001910630044,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374,Torn Din 933 M-4 x 16,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375,Oasis pomme cassis framboise,8711295406218,,['France'],[],[],?,,?,,?,,?,,?,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
376,Sugo Antico,8032505200854,,['France'],[],[],?,,142,,12,,"5,8",,"1,7",,"1,8","5,8",594 kj(142 kcal),"1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377,Tournée du chat noir de rodolphe salis,0654479007703,,['France'],[],[],?,,514,,26,,65,,"5,3",,17,31,2151 kj(514 kcal),"0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
378,Boudin noir oignons mini-brasse -,496076532312,"['Viandes', 'Charcuteries', 'Poissons et viandes et oeufs', 'Abats', 'Boudins', 'Produits tripiers', 'Boudins noirs']",['France'],[],[],1040,+5%,251,+2%,22,+9%,"2,3",-45%,11,+2%,8,"2,1",1040 kj(251 kcal),"0,01","0,004",D,,22 g,en quantité élevée,8 g,en quantité élevée,2.1 g,en faible quantité,0.01 g,en faible quantité,+2%,+2%,-0%,-99%,-99%,5,-68%,C,-68%,87.1%,4.2%,2.1%,1.8%,1.0%,3.9%,35,,,,,,,,,,,,,
379,Galette pomme,3461180382954,,['France'],[],[],?,,269,,15,,29,,"3,4",,"9,7","7,9",1125 kj(269 kcal),"0,53","0,212",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380,Desperados virgin,03167726,,['France'],[],[],?,,32,,"0,6",,"7,8",,"0,5",,0,4,134 kj(32 kcal),"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,['Desperados'],,,"['Bouteille en verre', 'Capsule en métal']",,,,,,,,,
381,Mini besace affinees 2 saveurs,3417881232470,,['France'],[],[],?,,302,,"24,4",,"1,9",,"18,7",,"16,4",1,1264 kj(302 kcal),"1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382,Pains sans  gluten,3700442602431,,['France'],[],[],?,,251,,"6,2",,"38,9",,"4,8",,"0,8","4,5",1050 kj(251 kcal),"0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383,Côtes de porc premières,2666847019681,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
384,Tisane bien-être menstruel,3770013983238,,['France'],[],[],?,,1,,0,,"0,2",,"0,1",,0,0,4 kj(1 kcal),0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
385,Terrine végétale potimarron curry,3347432601304,,['France'],[],[],?,,172,,"13,1",,"10,6",,"2,6",,"1,7","1,1",720 kj(172 kcal),1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
386,Le Supérieur,2688490038901,,['France'],[],[],?,,382,,"28,7",,"1,4",,"29,6",,"12,2","1,37",1598 kj(382 kcal),"5,42","2,168",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
387,Coppa espagnole,8436018992396,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
388,le poulet fermier de ma campagne,0215937042645,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 85.215.001 CE', 'Saint-Fulgent (Vendée, France)']",,,,,,,,
389,Pergamena tartufo,8021299992991,,['France'],[],[],?,,100,,"17,2",,"66,8",,"10,6",,3,"1,4",418 kj(100 kcal),"3,3","1,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
390,Terrines de chevreuil,3760272010042,,['France'],[],[],?,,177,,"8,4",,"3,9",,"15,1",,"2,5","0,8",741 kj(177 kcal),"0,94","0,376",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
391,Ketchup aus gelben Tomaten - sharf -,4260619580362,,['France'],[],[],?,,60,,1,,11,,1,,0,10,251 kj(60 kcal),"1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
392,Confit de canard 6 manchons,3276341120074,,['France'],[],[],?,,?,,?,,?,,?,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
393,Boudin blanc -,2336201004768,"['Viandes', 'Charcuteries', 'Boudins', 'Boudins blancs']",['France'],[],[],?,,292,+20%,20,-1%,"1,09",-75%,"12,3",+19%,10,"0,85",1222 kj(292 kcal),"1,65","0,66",,['IGP'],20 g,en quantité modérée,10 g,en quantité élevée,0.85 g,en faible quantité,1.65 g,en quantité élevée,+20%,+28%,-57%,+11%,+11%,19,+19%,E,+19%,,,,,,,,,,,,,,,,,,,,
394,Saucisson sec au jambon,0286768059171,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
395,Galette,2429851036507,,['France'],[],[],?,,421,,30,,31,,"6,5",,16,10,1761 kj(421 kcal),"0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
396,"Cabillaud, coco paimpolais et pequillos",3760281270215,,['France'],[],[],?,,158,,"7,9",,"6,8",,10,,"5,1",0,661 kj(158 kcal),"1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,Spicy chicken burgers,8719497603770,,['France'],[],[],?,,225,,"22,5",,"22,5",,7,,"14,7",13,941 kj(225 kcal),"1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398,Jambon cuit,2228586033399,,['France'],[],[],?,,101.5,,"1,9",,"0,8",,"20,3",,"0,7","0,4",425 kj(101 kcal),"2,2","0,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
399,Aoc luberon rose - prieure,3256813111533,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,Velouté courgette au curry - Babelicot - 500ml,3760253591768,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Plats préparés', 'Soupes', 'Veloutés', 'Soupes à réchauffer', 'Soupes de légumes', 'Veloutés de légumes', 'Soupes aux légumes verts']",['France'],"['courgette 62%', 'eau de cuisson', 'crème de soja ', 'jus de soja ', 'eau', 'graines de soja', 'huile de tournesol désodorisée', 'émulsifiant : gomme arabique', 'sucre de canne non raffiné', 'épaississants : gomme xanthane', 'carraghénanes', 'sel de Guérande', ""vinaigre d'alcool"", 'curry 0', '2%', 'ail', 'semoule']",[],57,-71%,14,-70%,"0,6",-68%,"0,9",-60%,"0,7",-85%,"0,1","0,9",57 kj(14 kcal),"0,52","0,208",A,"['Bio', 'Bio européen', 'Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE', 'FR-BIO-01', 'Point Vert', 'en:Agriculture biologique']",0.6 g,en faible quantité,0.1 g,en faible quantité,0.9 g,en faible quantité,0.52 g,en quantité modérée,-71%,-79%,+15%,-39%,-39%,-1,-201%,A,-201%,9.9%,40.2%,19.9%,12.0%,12.7%,5.3%,98,['Babelicot'],,500 ml,['Verre'],,,,['Soja'],4,['en:courgettes de Bretagne'],,"[""E414 - Gomme d'acacia"", 'E415 - Gomme xanthane', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']",
401,SAMBAL HOT CHILLI SAUCE,8697436520978,,['France'],[],[],?,,51,,"0,9",,"9,3",,"1,2",,0,"3,4",213 kj(51 kcal),"9,9","3,96",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402,Cocktail Fruits Mer Surgele 500G,3760099533267,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
403,Mélange duo gourmand,2600271051039,,['France'],[],[],?,,566,,40,,34,,16,,16,24,2368 kj(566 kcal),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404,Fromage fondu,3450260047814,,['France'],[],[],?,,244,,20,,"8,5",,"7,5",,14,7,1021 kj(244 kcal),2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
405,Papouasie chocolat noir 80%,2010056610014,,['France'],[],[],?,,?,,?,,?,,?,,,,,12,"4,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
406,Achrachu,4792040090122,,['France'],[],[],?,,56,,"0,4",,"13,2",,"2,2",,"0,2",7,234 kj(56 kcal),4,"1,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407,Duo raclette - U,3256228438201,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Raclettes']",['France'],[],[],?,,340,-2%,28,+2%,"0,5",-32%,22,-7%,18,"0,5",1423 kj(340 kcal),"1,7","0,68",D,,28 g,en quantité élevée,18 g,en quantité élevée,0.5 g,en faible quantité,1.7 g,en quantité élevée,-1%,-3%,+17%,+1%,+1%,16,+2%,D,+2%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,['U'],,,,,,,,,,,,
408,Plateau grandissimo,3700656405514,,['France'],[],[],?,,321,,20,,"9,2",,26,,"6,8","0,5",1343 kj(321 kcal),"4,4","1,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
409,Le petit Béret,3760251402073,,['France'],[],[],?,,42,,0,,"10,4",,0,,0,"10,2",176 kj(42 kcal),0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410,Sainte victoire,3701144900023,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
