,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,traceability_code,categories,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,eco_score,quantity,brand,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,labels,packaging,allergens,ingredients_origins,additives,nova_score,markets,generic_name,brand_owner,manufacturing,link,producer_info,palm_ingredients
0,Biscuits graines et pepites,31309950,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Gâteau de semoule poire,3374270425595,['France'],[],[],?,121,3,"20,1","3,5",506 kj(121 kcal),"1,75","16,3","0,12","0,048",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Avocat,3760187780542,['France'],[],[],?,?,?,?,?,,,,,,"['EMB 13027', 'Châteaurenard (Bouches-du-Rhône, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Blue Sky Crystal Menth Candy,5060243070913,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Oeufs de saumon,5450266010353,['France'],[],[],?,?,?,?,?,,,,,,,"['Conserves', 'Frais', 'Œufs de poisson', 'Semi-conserves', 'Oeufs de saumon']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Saucisses à l'ancienne x4,2654209032546,['France'],[],[],?,212,16,6,16,887 kj(212 kcal),6,"0,7",2,"0,8","['FR 56.094.013 CE', 'Kervignac (Morbihan, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Miel de printemps - Les Ruchers des Ducs de Lorraine - 500g,3770007054012,['France'],[],[],?,?,?,?,?,,,,,,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels français']",,,,,,B,500 g,['Les Ruchers des Ducs de Lorraine'],87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Freson de palos,8425697002236,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Laitue Iceberg,3662954000955,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Guimauve tressée - Sucralys,3760195986011,['France'],[],[],?,324,0,73,5,1356 kj(324 kcal),0,66,"0,01","0,004",,,,,,,,,,['Sucralys'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Filet de poulet,2424503039035,['France'],[],[],?,95,"0,6","1,2",21,397 kj(95 kcal),0,0,1,"0,4",,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,-27%,-79%,+151%,-8%,D,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,0.6 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,1 g,en quantité modérée,-27%,-100%,-100%,+33%,+33%,0,,B,,,,,,,,,,,,,,
11,Lunettes de Romans,6319281000109,['France'],[],[],?,442,15,70,"6,3",1849 kj(442 kcal),11,31,"0,23","0,092",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Appelsin  orange,0200030078561,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Andouille de guemene,2316621008300,['France'],[],[],?,233,19,"0,5",15,975 kj(233 kcal),10,"0,5","1,9","0,76",,['Fr:Andouille de Guémené'],,-5%,-5%,+62%,-9%,,,,,,,,,,,19 g,en quantité modérée,10 g,en quantité élevée,0.5 g,en faible quantité,1.9 g,en quantité élevée,-5%,-1%,+97%,-24%,-24%,19,-12%,E,-12%,,,,,,,,,,,,,
14,Epicerie / Boissons Et Vins / Bières Bio,3760009533035,['France'],[],[],?,?,?,?,?,,,,,,,"['Boissons', 'Boissons alcoolisées', 'Vins']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,
15,Sandwich emmental oeuf,3496100002018,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,9210805994911,9210805994911,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Mystic-dragon - Capri-Sun,3760079798327,['France'],[],[],?,36,"0,5","8,7","0,5",151 kj(36 kcal),"0,1","8,6","0,01","0,004",,,,,,,,,,['Capri-Sun'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Ajdovi Struklji s Skuto - 400g,3838700080803,"['France', 'Italie']",[],[],?,?,?,?,?,,,,,,,,,,,,,,400 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Pirini Piskoti z Visnjevim Polnilom - 300g,3831029340214,"['France', 'Italie']",[],[],?,?,?,?,?,,,,,,,,,,,,,,300 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Galette des rois framboise - Cora,3021990090113,['France'],[],[],?,?,?,?,?,,,,,,,"['Biscuits et gâteaux', 'Pâtisseries', 'Galettes des rois']",,,,,,D,,['Cora'],88.4%,6.6%,2.2%,1.6%,1.2%,0.0%,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Farine de blé biologique type 80 - Moulins Waast - 5kg,3286450000716,['France'],['Farine de blé type 80 biologique'],[],?,341,"1,3",69,11,1427 kj(341 kcal),"0,2","1,8","< 0,01","0,004","['EMB 59411', 'Mons-en-Pévèle (Nord, France)']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Farines', 'Farines de céréales', 'Farines de blé', 'Farines de froment', 'Farines de blé type T80']",,+6%,+6%,+2%,+7%,A,5 kg,['Moulins Waast'],77.8%,3.5%,0.0%,10.3%,8.3%,0.0%,97,1.3 g,en faible quantité,0.2 g,en faible quantité,1.8 g,en faible quantité,0.01 g,en faible quantité,+6%,+21%,+15%,+145%,+145%,-5,,A,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01']","['Sachet', 'Papier']",['Gluten'],,,,,,,,,,
22,Muselie chocolat noir,0206181007153,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Nems au porc - Mont Asie,3661945812232,['France'],[],[],?,?,?,?,?,,,,,,,"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats au porc', 'Nems', 'Nems au porc']",,,,,,C,,['Mont Asie'],62.8%,18.1%,4.7%,5.0%,2.0%,7.4%,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Morilles du Dauphiné au grand marnier,3700699908508,['France'],[],[],?,455,20,66,4,1904 kj(455 kcal),11,54,"0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Salmon Jerky,5060030541961,['France'],[],[],?,395,"19,3","25,5","30,1",1653 kj(395 kcal),"3,4","23,1","3,9","1,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['en:gluten-free'],,,,,,,,,,,,
26,Mozzarella,3428200387221,['France'],[],[],?,278,20,0,24,1163 kj(278 kcal),14,0,"1,2","0,48",,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Fromages à pâte filée', 'Mozzarella']",,+7%,-3%,-100%,+43%,D,,,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,20 g,en quantité modérée,14 g,en quantité élevée,0 g,en faible quantité,1.2 g,en quantité modérée,+8%,0%,-100%,+78%,+78%,13,+27%,D,+27%,,,,,,,,,,,,,
27,Galette bretonnes à la fleur de sel,3328079161109,['France'],[],[],?,480,"19,7","70,1","6,3",2008 kj(480 kcal),13,"27,3","0,82","0,328",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Yaourt aux fruits,0206051004930,['France'],[],[],?,94,"2,7",14,"3,5",393 kj(94 kcal),"1,9","11,4","0,07","0,028","['EMB 89209', 'Jouy (Yonne, France)', 'FR 89.209.001 CE', 'Jouy (Yonne, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01']",,,,,,,,,,,,
29,Bonbons miel assortiment,3760216390292,['France'],[],[],?,398,"0,5",99,"0,5",1665 kj(398 kcal),"0,1",99,"0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Sablé natures,3585730001208,['France'],[],[],?,497,25,70,"6,5",2079 kj(497 kcal),"14,5",27,"0,875","0,35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Golden breaded turkey steaks,5010236073438,['France'],[],[],?,297,"17,5","19,9","13,4",1243 kj(297 kcal),"2,3","1,8","0,9","0,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Daunat,3367651001600,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,['Daunat'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Perle noir,3434389110222,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Fabriqué en France'],,,,,,,,,,,,
34,Thé - Hediard,3418320033269,['France'],[],[],?,?,?,?,?,,,,,,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés']",,,,,,B,,['Hediard'],66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Tzatziki,5202872020154,['France'],[],[],?,138,12,"2,4",4,577 kj(138 kcal),"4,5","2,2",1,"0,4",,"['Epicerie', 'Sauces', 'Tzatzíki']",,-1%,+8%,-37%,-19%,,,,,,,,,,,12 g,en quantité modérée,4.5 g,en quantité modérée,2.2 g,en faible quantité,1 g,en quantité modérée,-0%,+59%,-19%,+15%,+15%,7,+47%,C,+47%,,,,,,,,,,,,,
36,Groksi - Granarolo - 60g,8033182651359,['France'],[],[],?,572,42,0,47,2393 kj(572 kcal),29,0,"1,6","0,64",,,,,,,,,60g,['Granarolo'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Bake your own sheep cupcakes - Hema,8717763010765,['France'],[],[],?,377,13,"57,7","5,5",1577 kj(377 kcal),"7,6","42,2","0,34","0,136",,,,,,,,,,['Hema'],,,,,,,,,,,,,,,,,,,,,,,,,"['Agriculture durable', 'en:UTZ Certified', 'en:utz-certified-cacao']",,,,,,,,,,,,
38,Lov Organic - Rooibos Rose,3700616457188,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,['Lov organic'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Ritz crackers,34654385,['France'],[],[],?,493,25,59,"7,6",2063 kj(493 kcal),11,"8,2","2,45","0,98",,,,,,,,,,['Ritz'],,,,,,,,,,,,,,,,,,,,,,,,,['Fabriqué en France'],,,,,,,,,,,,
40,Aperitif,3283587780351,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Coconut biscuit colour,8717624001086,['France'],[],[],?,434,11,"63,2","5,9",1816 kj(434 kcal),"9,5","21,5",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Café pur arabica qualite professionnelle - San Marco,3259234213008,['France'],[],[],?,?,?,?,?,,,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Cafés']",,,,,,,,['San Marco'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Tablette de chocolat - Pergalé,4770179125281,['France'],[],[],?,509,27,60,"5,4",2130 kj(509 kcal),17,56,"0,22","0,088",,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats au lait', 'Chocolats fourrés', 'Chocolats au lait fourrés']",,-8%,-22%,+15%,-17%,E,,['Pergalé'],84.1%,11.8%,1.2%,2.5%,0.4%,0.0%,24,27 g,en quantité élevée,17 g,en quantité élevée,56 g,en quantité élevée,0.22 g,en faible quantité,-7%,-6%,+13%,+13%,+13%,26,+2%,E,+2%,,,,,,,,,,,,,
44,Hasselpähkinä-kaakaolevite - Rainbow - 400g,6415712000318,"['Finlande', 'France']","['Sokeri', 'kasviöljy ', 'rapsi', 'palmu', 'hasselpähkinä 10% ', 'Turkki', 'vähärasvainen kaakaojauhe 3,7% ', 'Länsi-Afrikka', 'herajauhe ', 'maito', 'emulgointiaine ', 'E 322', 'aromi']","['Huile de palme', 'Non végétalien']",?,573,36,59,"2,4",2397 kj(573 kcal),"7,3",58,"0,08","0,032",,"['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés', 'Pâtes à tartiner', 'Pâtes à tartiner aux noisettes']",,+4%,+5%,+16%,-65%,E,400g,['Rainbow'],82.7%,11.5%,2.8%,2.4%,0.6%,0.0%,40,36 g,en quantité élevée,7.3 g,en quantité élevée,58 g,en quantité élevée,0.08 g,en faible quantité,+4%,-4%,+24%,-23%,-23%,24,+17%,E,+17%,,,"['Lait', 'Fruits à coque']","['Turquie', 'fi:West Africa']",['E322 - Lécithines'],4,,,,,,,
45,5690351233858,5690351233858,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Terrine Sanglier Sauvage du Massif des Vosges au Pinot Gris,3770012870027,['France'],[],[],?,166,"9,4","1,3",19,695 kj(166 kcal),"3,4","0,5","0,7","0,28",,"['Viandes', 'Charcuteries', 'Produits à la viande', 'Terrines', 'Terrines de sanglier']",,-46%,-65%,-37%,+36%,,,,,,,,,,,9.4 g,en quantité modérée,3.4 g,en quantité modérée,0.5 g,en faible quantité,0.7 g,en quantité modérée,-46%,-66%,-19%,-56%,-56%,3,-83%,C,-83%,,,,,,,,,,,,,
47,Lou cebou,3700888905295,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Mel nectar,5601319002874,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Miel d'acacia - Jean-Louis Lautard,3526050004029,['France'],[],[],?,?,?,?,?,,,,,,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', ""Miels d'acacia""]",,,,,,B,,['Jean-Louis Lautard'],87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Mini suisse au chocolat ×12,0200471018041,['France'],[],[],?,401,20,47,7,1678 kj(401 kcal),13,18,"0,95","0,38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Sanglier Sauvage du Massif des Vosges au Gewurztraminer,3770012870010,['France'],[],[],?,166,"9,4","1,3",19,695 kj(166 kcal),"3,4","0,5","0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Chevreuil Sauvage du massif des Vosges aux noisettes,3770012870034,['France'],[],[],?,313,27,2,15,1310 kj(313 kcal),"9,7","0,1","0,9","0,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Banane cavendish,2184099001099,['France'],[],[],?,?,?,?,?,,,,,,"['EMB 94065', 'Rungis (Val-de-Marne, France)']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Fruits tropicaux', 'Bananes']",,,,,,B,,,63.7%,0.0%,0.0%,23.1%,9.9%,3.2%,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Saucisson sec l'extra,2688492032679,['France'],[],[],?,363,25,"1,6",29,1519 kj(363 kcal),10,0,"6,2","2,48",,"['Viandes', 'Charcuteries', 'Saucissons', 'Saucissons secs']",,-10%,-21%,-28%,+5%,D,,,79.0%,17.2%,0.6%,1.8%,1.1%,0.3%,36,25 g,en quantité élevée,10 g,en quantité élevée,0 g,en faible quantité,6.2 g,en quantité élevée,-10%,-19%,-100%,+33%,+33%,23,-4%,E,-4%,"['Viande Française', 'Viande Porcine Française', 'Sans colorants']",,,,,,,,,,,,
55,Cornulete,5941300007151,['France'],[],[],?,469,24,58,5,1962 kj(469 kcal),12,10,"0,16","0,064",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Rice meal pomme cannelle,8606018700288,['France'],[],[],?,422,"6,6","83,9","4,2",1766 kj(422 kcal),"2,2","27,8","0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Galletas rellenas sabor Chocolate - Unide,8423086012767,['France'],"['Harina de trigo', 'crema de chocolate 30% ', 'azúcar', 'grasa vegetal hidrogenada ', 'coco', 'cacao desgrasado en polvo ', '16,8%', ""lactosuero,'aroma: vainillina"", 'azúcar', 'grasa vegetal ', 'palma', 'jarabe de glucosa y fructosa', 'lactosuero', 'sal', 'emulgen - te: lecitina de soja', 'gasificantes: bicarbonatos sódico y amónico', 'leche en polvO', 'aroma: vainillina', ' Contiene gluten', 'leche y soja', ' Puede contener trazas de cacahuete y huevo']","['Huile de palme', 'Non végétalien']",?,490,20,70,6,2050 kj(490 kcal),14,30,"0,45","0,18",,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits fourrés']",,+4%,+4%,+5%,+3%,D,,['Unide'],80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,20 g,en quantité modérée,14 g,en quantité élevée,30 g,en quantité élevée,0.45 g,en quantité modérée,+4%,+65%,-9%,-19%,-19%,23,+16%,E,+16%,['Contient du gluten'],,"['Gluten', 'Lait', 'Soja']",,,4,,,,,,,
58,Jus de gingembre -,3760208361200,['France'],[],[],?,37,0,"9,3",0,155 kj(37 kcal),0,"9,3",0,0,,"['Boissons', 'Jus de gingembre']",,-34%,-100%,-18%,-100%,,,,,,,,,,,0 g,en faible quantité,0 g,en faible quantité,9.3 g,en quantité élevée,0 g,en faible quantité,-36%,-100%,-1%,-100%,-100%,13,+70%,E,+70%,['Sans colorants'],,,,,,,,,,,,
59,Chocolat blanc de caramel au beurre salé,3760163210698,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Chewing gum,7350075691652,['France'],[],"['Végétalien', 'Végétarien']",?,170,0,70,0,711 kj(170 kcal),0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Végétarien', 'Végétalien', 'en:The Vegan Society']",,,,,,,,,,,,
61,Magret de canard de gascogne,2846034064551,['France'],[],[],?,?,?,?,?,,,,,,,"['Viandes', 'Volailles', 'Canards', 'Magrets de canard']",,,,,,E,,,81.9%,9.6%,2.1%,2.2%,1.1%,3.1%,28,,,,,,,,,,,,,,,,,,['Point Vert'],,,,,,,,,,,,
62,Nuggets de poulet panés - Yesh Premium Food,3324321279257,['France'],"['Filet de poulet 34%', 'farine de BLÉ', 'amidon de BLÉ', 'gluten de BLÉ', 'amidon de maïs', 'huile de colza', 'protéine de SOJA texturisée', 'eau', ""fibres d'agrumes"", 'sel', 'stabilisant E 451i', 'épaississant E 415', 'épice ', 'paprika', 'levure', 'arôme']","['Non végétalien', 'Non végétarien']",?,177,"7,4",16,11,741 kj(177 kcal),"0,8","0,7","1,5","0,6",,"['Viandes', 'Préparations de viande', 'Volailles', 'Produits panés', 'Poulets', 'Volailles cuites', 'Préparations au poulet', 'Poulets cuisinés', 'Nuggets de volaille', 'Poulets panés', 'Nuggets de poulet']",,-21%,-34%,-5%,-14%,D,,['Yesh Premium Food'],71.2%,17.5%,4.4%,1.9%,1.1%,4.0%,36,7.4 g,en quantité modérée,0.8 g,en faible quantité,0.7 g,en faible quantité,1.5 g,en quantité modérée,-21%,-60%,-47%,+28%,+28%,3,-18%,C,-18%,,['Sachet plastique'],"['Gluten', 'Soja']",,"['E451i - TPP', 'E415 - Gomme xanthane']",4,,,,,,,
63,Pop corn chocolat caramel,3606019266320,['France'],[],[],?,467,"16,1","76,4","3,4",1954 kj(467 kcal),"4,8","44,5","0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Cuisse de poulet jaune,2851286057923,['France'],[],[],?,209,16,0,16,874 kj(209 kcal),"4,4",0,"0,21","0,084",,"['Viandes', 'Volailles', 'Poulets', 'Cuisses de poulet']",,+9%,+29%,-100%,-13%,D,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,16 g,en quantité modérée,4.4 g,en quantité modérée,0 g,en faible quantité,0.21 g,en faible quantité,+9%,+31%,-100%,-72%,-72%,1,-72%,B,-72%,,,,,,,,,,,,,
65,Rillettes de legine,6091315900219,['France'],[],[],?,258,22,"8,3","6,3",1079 kj(258 kcal),"6,7","0,9",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Kabanos Yarden,7290003072408,['France'],[],[],?,60,33,6,17,251 kj(60 kcal),11,1,"2,5",1,,,,,,,,,,['Yarden'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Aiguillette de canard France aux cèpes,3700057807986,['France'],[],[],?,156,"7,4",4,18,653 kj(156 kcal),2,1,"1,6","0,64","['FR 24.439.004 CE', 'Saint-Laurent-sur-Manoire (Dordogne, France)']","['Viandes', 'Volailles', 'Canards', 'Aiguillettes de canard']",,+29%,+150%,+215%,-16%,D,,,83.0%,9.4%,2.7%,2.7%,1.4%,0.9%,37,7.4 g,en quantité modérée,2 g,en quantité modérée,1 g,en faible quantité,1.6 g,en quantité élevée,+30%,+113%,+102%,+160%,+160%,4,,C,,['Point Vert'],,,,,,,,,,,,
68,Filets de poulet jaune,0253060030832,['France'],[],[],?,104,"1,3",0,23,435 kj(104 kcal),"0,4",0,"0,11","0,044",,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,-21%,-55%,-100%,+1%,D,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,1.3 g,en faible quantité,0.4 g,en faible quantité,0 g,en faible quantité,0.11 g,en faible quantité,-20%,-46%,-100%,-85%,-85%,-4,,A,,,,,,,,,,,,,,
69,Gouda jeune,2952702601581,['France'],[],[],?,366,"30,3",0,"23,1",1531 kj(366 kcal),"20,7",0,"1,9","0,76",,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages des Pays-Bas', 'Goudas', 'Goudas jeunes']",,+1%,+1%,-100%,-2%,D,,,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,30.3 g,en quantité élevée,20.7 g,en quantité élevée,0 g,en faible quantité,1.9 g,en quantité élevée,+1%,+4%,-100%,-3%,-3%,17,+1%,D,+1%,,,,,,,,,,,,,
70,Chouquettes,0202113018044,['France'],[],[],?,?,?,?,?,,,,,,,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Chouquettes']",,,,,,C,,,77.4%,13.4%,5.7%,3.0%,0.4%,0.0%,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Huitres extra,3000115266114,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Ahmad Tea,0054881015592,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Banane,2228463018839,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'Commerce équitable', 'FR-BIO-10', 'Max Havelaar']",,,,,,,,,,,,
74,Tartinade chocolat noisettes -,0051651093446,['France'],[],[],?,80,"33,35","53,36","6,67",335 kj(80 kcal),"10,005","53,36","0,067","0,027",,"['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés', 'Pâtes à tartiner', 'Pâtes à tartiner aux noisettes', 'Pâtes à tartiner au chocolat', 'Pâtes à tartiner aux noisettes et au cacao']",,-85%,-2%,+4%,-2%,D,,,82.7%,11.5%,2.8%,2.4%,0.6%,0.0%,40,33.4 g,en quantité élevée,10 g,en quantité élevée,53.4 g,en quantité élevée,0.0667 g,en faible quantité,-85%,+30%,+12%,-35%,-35%,19,-8%,E,-8%,,,,,,,,,,,,,
75,gourmeline,,['France'],[],[],?,395,17,53,"7,6",1653 kj(395 kcal),"5,9",14,"0,72","0,288",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Cordon bleu de volaille,2691605034187,['France'],[],[],?,261,17,14,12,1092 kj(261 kcal),"4,5","1,6","1,29","0,516",,"['Viandes', 'Préparations de viande', 'Produits panés', 'Cordons bleus', 'Cordons bleus de volaille']",,+2%,+4%,-1%,-1%,D,,,76.4%,12.7%,2.3%,2.9%,1.2%,4.4%,39,17 g,en quantité modérée,4.5 g,en quantité modérée,1.6 g,en faible quantité,1.29 g,en quantité modérée,+2%,+5%,+7%,-1%,-1%,12,+5%,D,+5%,,,,,,,,,,,,,
77,Aiguillettes de canard,2672693035362,['France'],[],[],?,?,?,?,?,,,,,,,"['Viandes', 'Volailles', 'Canards', 'Aiguillettes de canard']",,,,,,D,,,83.0%,9.4%,2.7%,2.7%,1.4%,0.9%,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,3131910212218,3131910212218,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
