,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,traceability_code,categories,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,eco_score,quantity,brand,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,labels,packaging,allergens,ingredients_origins,additives,nova_score,markets,generic_name,brand_owner,manufacturing,link,producer_info,palm_ingredients
669,Figues,5420038405632,['France'],[],[],?,0,0,65,2,0 kj(0 kcal),0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670,0217004084039,0217004084039,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
671,Borlotti Beans - Giaguaro,8001764100410,['France'],[],[],?,88,"0,3","13,1","5,3",368 kj(88 kcal),0,"1,9","0,7","0,28",,,,,,,,,,['Giaguaro'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
672,Turron de cacahuète -,8410771310246,['France'],"['ARACHIDE ', '38%', 'sucre', '6 sirop de glucose-fructose', ""blanc d'OÉUF"", 'pain azyme* ', 'amidon de pomme de terre', 'huile de tournesol', ' Peut contenir des traces de FRUITS À COQUE', ' *pain azyme comme enrobage dans le surface']",['Non végétalien'],?,240,9,34,6,1004 kj(240 kcal),"1,5",31,"0,01","0,004",,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Aliments et boissons de Noël', 'Confiseries de Noël', 'Touron', 'Tourons aux cacahuètes', 'Tourons croquants aux cacahuètes']",,-51%,-56%,-33%,-51%,E,,,91.0%,4.2%,2.3%,2.0%,0.5%,0.0%,34,9 g,en quantité modérée,1.5 g,en quantité modérée,31 g,en quantité élevée,0.01 g,en faible quantité,-51%,-59%,-30%,-53%,-53%,6,-65%,C,-65%,['en:gluten-free'],,"['Œufs', 'Arachides']",,,3,,,,,,,
673,Riz au lait au chocolat - Leader Price,3267859891815,['France'],"['Lait 75,2% - sucre - riz 7,8% - chocolat 5% ', 'masse de cacao - sucre - émulsifiant : lécithine de soja - arôme', ' - poudre de cacao maigre 2%', ' Les informations en gras sont destinées aux personnes allergiques ou intolérantes']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",?,149,"4,5","22,5","3,9",623 kj(149 kcal),3,14,"0,1","0,04","['FR 33.448.002 CE', ""Saint-Médard-d'Eyrans (Gironde, France)"", 'EMB 22448R']","['Desserts', 'Puddings', 'Riz au lait']",,+3%,+20%,-0%,+14%,B,,['Leader Price'],63.9%,15.4%,7.4%,8.1%,4.1%,1.1%,87,4.5 g,en quantité modérée,3 g,en quantité modérée,14 g,en quantité élevée,0.1 g,en faible quantité,+4%,+32%,+4%,-22%,-22%,4,-1%,C,-1%,,,['Lait'],,['E322i - Lécithine'],4,['Leader Price'],,,,,,
674,Crème de marrons de l'ARDÈCHE,0022314484444,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
675,Choux rouge émincé,0291416008531,['France'],[],[],?,29,"0,19","4,52","1,33",121 kj(29 kcal),"0,04","3,4","0,05","0,02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
676,Crêpes bretonnes nature,29004812,['France'],[],[],?,259,"8,9",37,"6,9",1084 kj(259 kcal),"2,2",17,"0,39","0,156",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
677,Fromage comté cuivre 20 mois,2606412042515,['France'],[],[],?,?,?,?,?,,,,,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']",,,,,,D,,,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
678,Banane chips,2600128036677,['France'],[],[],?,509,29,58,"0,01",2130 kj(509 kcal),25,15,"0,08","0,032",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Bananes séchées']",,+5%,+15%,-4%,-99%,E,,,59.6%,25.6%,2.0%,11.4%,1.4%,0.0%,29,29 g,en quantité élevée,25 g,en quantité élevée,15 g,en quantité élevée,0.08 g,en faible quantité,+5%,+30%,-28%,-35%,-35%,14,+19%,D,+19%,,,,,,,,,,,,,
