,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,quantity,traceability_code,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,brand,labels,eco_score,categories,ingredients_origins,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,packaging,manufacturing,allergens,nova_score,markets,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,additives,generic_name,palm_ingredients,link,brand_owner
0,Huile d'olive,5425014706000,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Andouillette tirée à la ficelle - 0,380kg",2977369003806,['France'],[],[],?,208,15,"0,5",18,"0,380 kg","['FR 69.211.001 CE', ""Saint-Jean-d'Ardières (Rhône, France)""]",870 kj(208 kcal),"6,6","0,5","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Pain de seigle,0201340007876,['France'],[],[],?,286,"1,4",56,10,,,1197 kj(286 kcal),"0,4","1,7","1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Pieds de porc à l'ancienne façon tripes,3418470001408,['France'],[],[],?,179,12,"0,8",17,,"['FR 50.127.004 CE', 'Chef-du-Pont (Manche, France)']",749 kj(179 kcal),"3,9","0,8",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Reeses pieces - Reese's,85138643,['France'],[],[],?,210,10,27,5,,,879 kj(210 kcal),8,22,"0,6","0,24","[""Reese's""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Wrap poulet,3283040623973,['France'],[],[],?,200,"6,4",25,9,,,837 kj(200 kcal),"1,9","2,2","1,2","0,48",,['Fabriqué en France'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Izem Energy Naturel,6130093061948,['France'],[],[],?,47,0,11,0,,,197 kj(47 kcal),0,11,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Camembière,3760268722263,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Grand vin de bordeaux,3342850808120,['France'],[],[],?,?,?,?,?,,,,,,,,,,C,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français']",['France'],,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"Chistorra - Hiruak - 0,382kg",2474757026305,['France'],[],[],?,40,37,5,17,"0,382 kg",,167 kj(40 kcal),"15,7",5,12,"4,8",['Hiruak'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Léa Nature - Floressance,3456300009057,['France'],[],[],?,?,?,?,?,,,,,,,,"['Floressance', 'Léa Nature']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Humeur du Brasseur (2017) - Jenlain - 75cl,3271915010751,['France'],"['Bière', "" Contient du malt d'orge""]","['Sans huile de palme', 'Peut-être végétalien', 'Végétarien']",?,?,?,?,?,75 cl,,,,,,,['Jenlain'],['Déconseillé aux femmes enceintes'],C,"['Boissons', 'Boissons alcoolisées', 'Bières', 'Bières françaises', 'Bières blondes']",,,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,"['Bouteille', 'Verre']",['France'],['Gluten'],3,,,,,,,,,,,,,,,,,,,,,,,
12,Lactose free natural - Rachel's,5021638000540,['France'],[],[],?,67,"3,4","5,1",4,,,280 kj(67 kcal),"2,2","5,1","0,2","0,08","[""Rachel's""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Spliterwten - HAK,8720600604386,['France'],[],[],?,359,2,61,22,,,1502 kj(359 kcal),"0,8",6,"0,04","0,016",['HAK'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Crunchy fig banana,5060379650041,['France'],[],[],?,448,13,"78,8",4,,,1874 kj(448 kcal),"6,3","57,2","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Spaghetti - Pouce - 1kg,3596710262847,['France'],[],[],?,369,"1,9","73,4","12,8",1 kg,,1544 kj(369 kcal),"0,4","3,7",0,0,"['Pouce', 'Auchan']",,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Spaghetti']",,,+5%,+9%,+6%,+8%,,,,,,,,,,,,['Auchan'],1.9 g,en faible quantité,0.4 g,en faible quantité,3.7 g,en faible quantité,0 g,en faible quantité,+4%,+8%,+25%,-100%,-100%,-1,,A,,,,,,
16,Pilon de poulet,0213150019420,['France'],[],[],?,?,?,?,?,,,,,,,,,,D,"['Viandes', 'Volailles', 'Poulets', 'Volailles cuites', 'Poulets cuisinés', 'Manchons de poulet']",,,,,,,83.0%,9.4%,2.7%,2.7%,1.4%,0.9%,37,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Melange catalan - Boni,5400141412192,['France'],[],[],?,97,"5,01","9,8","1,8",,,406 kj(97 kcal),"0,7","1,9","0,54","0,216","['Boni', 'Boni Selection']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Sera Halva Vanille,8690777524735,['France'],[],[],?,592,"35,9","47,2","13,7",,,2477 kj(592 kcal),"6,4","29,8",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Vermicelle de riz - 400g,,['France'],[],[],?,180,0,42,3,400 g,,753 kj(180 kcal),0,2,"0,002","0,001",,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Nouilles', 'Vermicelle de riz']",,,-46%,-100%,-39%,-39%,,,,,,,,,,,,,0 g,en faible quantité,0 g,en faible quantité,2 g,en faible quantité,0.002 g,en faible quantité,-46%,-100%,+383%,-99%,-99%,1,-49%,B,-49%,,,,,
20,Pâtes farfalle,5410028096643,['France'],[],[],?,345,"1,5",72,"11,8",,,1443 kj(345 kcal),"0,1","3,5","0,025","0,01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Brioche Avesnoise,2030509001442,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Nouilles Royales,2808781021867,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Bun Feuilleté - Sapresti,3287390080400,['France'],[],[],?,305,18,25,10,,,1276 kj(305 kcal),13,"3,6","0,85","0,34",['Sapresti'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Pain au lait,67033973,['France'],[],[],?,367,10,51,"8,2",,,1536 kj(367 kcal),"3,8",10,"1,1","0,44",,,C,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Pains au lait']",,,+4%,-12%,-4%,-4%,78.8%,12.6%,5.3%,2.8%,0.4%,0.0%,69,,,,,,10 g,en quantité modérée,3.8 g,en quantité modérée,10 g,en quantité modérée,1.1 g,en quantité modérée,+4%,-10%,-25%,+8%,+8%,13,-2%,D,-2%,,,,,
25,Sushi,3760232050521,['France'],[],[],?,218,"8,7",31,"3,3",,,912 kj(218 kcal),"8,7","6,8","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Ail Blanc,3363292558015,['France'],[],[],?,?,?,?,?,,,,,,,,,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Aliments à base de fruits et de légumes', 'Plantes condimentaires', 'Légumes et dérivés', 'Ail et dérivés', 'Ail', 'Ail Blanc']",,,,,,,58.5%,0.0%,0.0%,19.1%,16.5%,5.8%,98,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Pate de alcachofa - Cabezon - 150g,8414710004319,"['France', 'Espagne']","['Alcachofa', ' aceite vegetal de girasol', 'vinagre', 'ajo', 'sal', 'puré de patata', 'especias', 'ácido cítrico', 'ácido ascórbico']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,167,"13,9","9,8","1,1",150 g,,699 kj(167 kcal),"1,7","0,3","1,5","0,6",['Cabezon'],,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Pâtes à tartiner végétales']",,,-38%,+69%,-77%,-53%,,,,,,,,['Cristal'],,,3,,13.9 g,en quantité modérée,1.7 g,en quantité modérée,0.3 g,en faible quantité,1.5 g,en quantité modérée,-38%,+30%,-99%,+673%,+673%,9,-4%,C,-4%,['E330 - Acide citrique'],,,,
28,Trio Thon crudités oeuf - Carrefour,3560070794706,['France'],[],[],?,186,"5,1",25,9,,,778 kj(186 kcal),"0,6","2,7","1,2","0,48",['Carrefour'],,,,,,,,,,,,,,,,,,,,,['Carrefour'],,,,,,,,,,,,,,,,,,,,,,
29,Charcuterie volaille,2150621002759,['France'],[],[],?,142,8,"1,5",16,,,594 kj(142 kcal),2,1,"2,2","0,88",,['Fabriqué en Suisse'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Pain aux cereales,0204039008598,['France'],[],[],?,271,"2,6",51,"9,4",,,1134 kj(271 kcal),"0,3","1,3","1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Balles de poulet,4031759645101,['France'],[],[],?,184,"11,8",8,0,,,770 kj(184 kcal),"4,9","0,5","2,4","0,96",,['Halal'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Sapin,3274510004309,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,4 Fruit Scobes with juicy sulatanas and irish buttermilk - Dunnes Stores,5099874082118,['France'],[],[],?,294,7,50,7,,,1230 kj(294 kcal),"2,4","10,6","1,38","0,552",['Dunnes Stores'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Croquant cacao noisettes amandes - 240g,3760105822828,['France'],[],[],?,483,28,48,"7,6",240 g,,2021 kj(483 kcal),16,24,"0,68","0,272",,['Sans colorants'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Cuisses poulet roti - Le Gaulois,0217637027755,['France'],[],[],?,168,10,0,19,,,703 kj(168 kcal),"2,6",0,"1,4","0,56",['Le Gaulois'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Bissap,3760208361255,['France'],[],[],?,41,0,"10,2",0,,,172 kj(41 kcal),0,"10,2","0,02","0,008",,"['Sans colorants', 'Sans conservateurs']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,very hot chilli sauce - lion,5010285100611,['France'],"['lion esto', '1831 2,27 litrese or very hot chilli sauce']",[],?,88,"2,4","9,6","1,7",,,368 kj(88 kcal),"0,4","1,1","2,3","0,92",['Lion'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,"0,545kg",2606766021389,['France'],[],[],?,?,?,?,?,"0,545 kg","['FR 67.309.001 CE', 'Mundolsheim (Bas-Rhin, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Vital cookies nature 's bakes,8710508770948,['France'],[],[],?,489,31,42,9,,,2046 kj(489 kcal),24,29,"0,25","0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Turrón de guirlache -,8433329059060,['France'],[],[],?,563,38,37,15,,,2356 kj(563 kcal),"3,8",34,"0,2","0,08",,,E,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Aliments et boissons de Noël', 'Confiseries de Noël', 'Touron', 'Touron de guirlache']",,,+6%,+16%,-9%,+10%,91.0%,4.2%,2.3%,2.0%,0.5%,0.0%,34,,,,,,38 g,en quantité élevée,3.8 g,en quantité modérée,34 g,en quantité élevée,0.2 g,en faible quantité,+6%,+39%,+29%,,,17,,D,,,,,,
41,Thé vert Matcha,5425035577245,['France'],[],[],?,449,"27,4","44,5","10,2",,,1879 kj(449 kcal),"6,1","11,3","0,31","0,124",,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Panettone cioccosoffice,82958381,['France'],[],[],?,392,18,50,"7,4",,,1640 kj(392 kcal),10,31,"0,44","0,176",,,C,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Brioches', 'Panettone']",,,+5%,+20%,-3%,+8%,81.5%,11.5%,4.5%,2.1%,0.3%,0.0%,56,,,,,,18 g,en quantité modérée,10 g,en quantité élevée,31 g,en quantité élevée,0.44 g,en quantité modérée,+5%,+11%,+20%,-0%,-0%,20,+8%,E,+8%,,,,,
43,Cranberries au chocolat - Fructivia,3760159371686,['France'],"['chocolat noir* ', '50%', 'cranberries* ', '50%', "" *issus de l'agriculture biologique""]","['Sans huile de palme', 'Peut-être végétalien', 'Végétarien']",?,?,?,?,?,,,,,,,,['Fructivia'],"['Bio', 'Bio européen', 'Agriculture non UE', 'AB Agriculture Biologique', 'FR-BIO-12']",,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat', 'Confiseries aux fruits', 'Fruits enrobés de chocolat', 'Canneberges enrobées de chocolat']",,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,
44,donut au sucre 4x decongele,0250418017057,['France'],[],[],?,368,17,47,"5,5",,,1540 kj(368 kcal),9,10,"1,2","0,48",,,B,"['Biscuits et gâteaux', 'Gâteaux', 'Donuts']",,,-10%,-25%,+5%,-7%,65.3%,17.3%,8.4%,4.6%,4.4%,0.0%,87,,,,,,17 g,en quantité modérée,9 g,en quantité élevée,10 g,en quantité modérée,1.2 g,en quantité modérée,-10%,-15%,-40%,+26%,+26%,19,-3%,E,-3%,,,,,
45,Terramezzo Mixed Peppercorn Grinder (210G),8053626380218,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Cidre fermier brut - Clos des Citots - 75cl,3760048422000,['France'],[],[],?,?,?,?,?,75cl,,,,,,,['Clos des Citots'],,C,"['Boissons', 'Boissons alcoolisées', 'Cidres', 'Cidres demi-secs']",,,,,,,31.6%,5.6%,37.9%,16.7%,6.5%,1.8%,53,['Bouteille en verre'],,,,,,,,,,,,,,,,,,,,,,,,,,
47,Belvedere,5901867803702,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Pâté de campagne catalan,2626387016014,['France'],[],[],?,?,?,?,?,,,,,,,,,,D,"['Viandes', 'Charcuteries', 'Charcuteries diverses', 'Pâté', 'Pâtés de porc', 'Pâtés de campagne']",,,,,,,74.1%,17.7%,4.6%,2.1%,1.2%,0.3%,39,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Panettone - Maina,8005190403428,['France'],[],[],?,361,13,53,"6,5",,,1510 kj(361 kcal),"8,5",25,"0,4","0,16",['Maina'],,C,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Brioches', 'Panettone']",,,-3%,-13%,+3%,-5%,81.5%,11.5%,4.5%,2.1%,0.3%,0.0%,56,,,,,,13 g,en quantité modérée,8.5 g,en quantité élevée,25 g,en quantité élevée,0.4 g,en quantité modérée,-3%,-5%,-3%,-9%,-9%,18,-3%,D,-3%,,,,,
50,walking fruit,8717215039429,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Tortis surimi,0209020017511,['France'],[],[],?,279,"9,4",39,"8,5",,,1167 kj(279 kcal),"1,1","6,2","5,3","2,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,01032725,01032725,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,BLEU TRANCHE BARQUETTE 600G -,3760019790121,['France'],[],[],?,?,?,?,?,600g,,,,,,,,,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages']",,,,,,,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,['Plastic'],,,,['Metro'],,,,,,,,,,,,,,,,,,,Fromage bleu tranche,,,
54,Bonner,5411251106352,['France'],[],[],?,340,"0,5",81,"0,5",,,1423 kj(340 kcal),"0,5",81,"0,08","0,032",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Bolos sortidos,5602121006173,['France'],[],[],?,336,"7,6","64,97",5,,,1406 kj(336 kcal),"3,7","37,1","0,7","0,28",,['Point Vert'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Terrine au lapin aromatisée au Cognac,3701096800020,['France'],[],[],?,465,"43,7","1,2","15,8",,,1946 kj(465 kcal),"16,6","0,02","4,4","1,76",,,D,"['Viandes', 'Charcuteries', 'Produits à la viande', 'Terrines', 'Terrines de lapin']",,,+69%,+93%,-27%,+3%,77.1%,15.8%,3.3%,2.4%,1.1%,0.3%,38,,,,,,43.7 g,en quantité élevée,16.6 g,en quantité élevée,0.02 g,en faible quantité,4.4 g,en quantité élevée,+69%,+97%,-97%,+193%,+193%,25,+48%,E,+48%,,,,,
57,Filet de canard,2211110005221,['France'],[],[],?,193,13,"0,5",19,,,808 kj(193 kcal),"3,3","0,5","0,17","0,068",,,D,"['Viandes', 'Volailles', 'Canards', 'Filets de canard']",,,-2%,+3%,+1%,-2%,83.0%,9.4%,2.7%,2.7%,1.4%,0.9%,37,,,,,,13 g,en quantité modérée,3.3 g,en quantité modérée,0.5 g,en faible quantité,0.17 g,en faible quantité,-2%,-11%,+50%,-84%,-84%,0,-100%,B,-100%,,,,,
58,Beignets fourrés à la pomme -  - 280g,0260191016406,['France'],[],[],?,310,"9,6",49,"6,6",280 g,,1297 kj(310 kcal),"1,5",20,"0,72","0,288",,,,"['Snacks', 'Snacks sucrés', 'Beignets sucrés']",,,-13%,-39%,+8%,+4%,,,,,,,,,,,,,9.6 g,en quantité modérée,1.5 g,en quantité modérée,20 g,en quantité élevée,0.72 g,en quantité modérée,-13%,-57%,+23%,-2%,-2%,11,-8%,D,-8%,,Beignets fourrés à la purée de pomme,,,
59,Irish Peas - batchelors,5011001202350,['France'],"['processed peas', 'water', 'salt', 'colours riboflavin', 'green s', 'sweetener: saccharin,']",[],?,89,"0,6","14,7","4,6",,,372 kj(89 kcal),"0,1",1,"0,69","0,276",['Batchelors'],['Sans sucre ajouté'],,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,"['E101i - Riboflavine', 'E142 - Vert acide brillant BS', '', 'Risque modéré de sur-exposition', 'E954 - Saccharine et ses sels']",,,,
60,Pain au chocolat - Leader Price - 450g,3424200303957,['France'],[],[],?,?,?,?,?,450 g,"['EMB 97206A', 'Diamant (Martinique, France)']",,,,,,['Leader Price'],,D,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Pains au chocolat']",,,,,,,81.1%,12.4%,3.5%,2.7%,0.3%,0.0%,50,,,,,['Leader Price'],,,,,,,,,,,,,,,,,,,,,,
61,Ananas Kiwi fraise,2244450021064,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,3760060870018,3760060870018,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Etorki,0200142026177,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Flammekueche,3464012000606,['France'],[],[],?,198,"10,6","18,7","6,3",,,828 kj(198 kcal),"5,99","4,8","0,91","0,364",,,C,"['Plats préparés', 'Tartes', 'Pizzas tartes salées et quiches', 'Tartes salées', 'Flammekueches']",,,-15%,-9%,-23%,-9%,64.0%,16.9%,4.0%,4.3%,2.3%,8.5%,64,,,,,,10.6 g,en quantité modérée,5.99 g,en quantité élevée,4.8 g,en faible quantité,0.91 g,en quantité modérée,-15%,+13%,+44%,-27%,-27%,12,+5%,D,+5%,,,,,
65,Dained tuna steak - Tesco,5057753304041,['France'],[],[],?,109,1,0,"24,9",,,456 kj(109 kcal),"0,3",0,1,"0,4",['Tesco'],,,,,,,,,,,,,,,,,['steel-can'],,,,,,,,,,,,,,,,,,,,,,,,,,
66,"Epaule d'agneau - L’Etal du boucher - 0,830kg",2286103013699,['France'],[],[],?,202,14,0,19,"0,830 kg",,845 kj(202 kcal),"6,2",0,"0,17","0,068",['L’Etal du boucher'],,,"['Viandes', ""Viandes d'agneau"", ""Epaule d'agneau""]",,,+35%,+98%,-100%,+1%,,,,,,,,,,,,,14 g,en quantité modérée,6.2 g,en quantité élevée,0 g,en faible quantité,0.17 g,en faible quantité,+35%,+127%,-100%,-83%,-83%,3,+7%,C,+7%,,,,,
67,Myrtilles - 100g,3523680342187,['France'],[],[],?,?,?,?,?,100 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Parmigiano Reggiano,0263642034509,['France'],[],[],?,402,30,0,32,,,1682 kj(402 kcal),20,0,"1,6","0,64",,,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Parmigiano Reggiano']",,,+0%,+1%,-100%,-1%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,30 g,en quantité élevée,20 g,en quantité élevée,0 g,en faible quantité,1.6 g,en quantité élevée,+1%,+1%,,0%,0%,17,+2%,D,+2%,,,,,
69,Mini Beignet Chocolat x8,3021990077725,['France'],[],[],?,?,?,?,?,,,,,,,,,,,"['Snacks', 'Snacks sucrés', 'Beignets sucrés']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Filets de poulet jaune,2227365058776,['France'],[],[],?,?,?,?,?,,,,,,,,,,D,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Box brochette de boulette de poulet,3701292605160,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Saucisson de dinde et boeuf halal,2229477003187,['France'],[],[],?,464,"40,7","2,58","21,9",,,1941 kj(464 kcal),"19,34","2,58","5,06","2,024",,['Halal'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,New York style Deli,5045096871733,['France'],[],[],?,222,"7,5",25,13,,,929 kj(222 kcal),"2,2","3,1","0,94","0,376",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Paupiettes de dinde sans porc,7971226004505,['France'],[],[],?,203,14,"0,1",20,,,849 kj(203 kcal),"4,7","0,1","0,96","0,384",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Pandoro classico - 750g,8023065113777,['France'],[],[],?,416,20,50,"8,2",750 g,,1741 kj(416 kcal),13,21,"0,64","0,256",,['Fabriqué en Italie'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Nina's orange juice,5060333540630,['France'],[],[],?,48,"0,1","10,9","0,6",,,201 kj(48 kcal),0,"9,3",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Coupelle framboise - Carrefour,3276550577942,['France'],[],[],?,?,?,?,?,,,,,,,,['Carrefour'],,,,,,,,,,,,,,,,,,,,,['Carrefour'],,,,,,,,,,,,,,,,,,,,,,
78,"Pate d'epices ail, piment et gingembre - 1.75oz",8886390203083,['France'],[],[],?,174,"7,8",22,"2,5",1.75 oz,,728 kj(174 kcal),"1,2",20,4,"1,6",,['en:gluten-free'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Pain (grains Rustiques),0061077540707,['France'],[],[],?,110,"1,5",19,4,,,460 kj(110 kcal),"0,4",2,2,"0,8",,['Sans colorants'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Raz el hanout rouge,3183811059195,['France'],[],[],?,?,?,?,?,,,,,,,,,,,"['Epicerie', 'Condiments', ""Mélanges d'herbes et d'épices"", 'Ras el hanout']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Whipped butter,0014353110026,['France'],[],[],?,780,78,0,0,,,3264 kj(780 kcal),50,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Banane Moelleuse,0201188030760,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Premium Orange juice,0727891000758,['France'],[],[],?,46,0,"11,25","0,4",,,192 kj(46 kcal),0,"10,4",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Oeuf Chocolat au lait décoré - Casino - 220g,3222472939092,['France'],"['Chocolat au lait : sucre - beurre de cacao - poudre de lait entier 18% - pâte de cacao - émulsifiant : lécithine de soja - arôme ', 'dont dextrose de blé', ' Décors: chocolat blanc ', 'sucre - beurre de cacao - poudre de lait entier - émulsifiant : lécithine de soja - arôme', ' - chocolat noir ', 'sucre - pâte de cacao - beurre de cacao - émulsifiant : lécithine de soja', ' Chocolat au lait : cacao : 31% minimum', ' Chocolat noir : cacao : 50% minimum']",['Non végétalien'],?,545,32,57,6,220 g,,2280 kj(545 kcal),20,56,"0,15","0,06","['Casino', 'Beaumesnil']","['Agriculture durable', 'en:UTZ Certified']",,,,,,,,,,,,,,,,,,,4,['Casino'],,,,,,,,,,,,,,,,,,['E322i - Lécithine'],Moulage oeuf en chocolat au lait extra fin décoré,,,
