,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,quantity,traceability_code,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,brand,labels,eco_score,categories,ingredients_origins,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,packaging,manufacturing,allergens,nova_score,markets,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,additives,generic_name,palm_ingredients,link,brand_owner
1500,Tisane Cerises et Gratte-cul,3701013200063,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1501,Pain de Maïs Maison - Leclerc,,['France'],[],[],?,305,"6,2",49,12,,,1276 kj(305 kcal),"0,2","1,2","1,6","0,64",['Leclerc'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1502,Pate a crepes,2020001590346,['France'],[],[],?,213,"6,35","27,75",7,,,891 kj(213 kcal),"2,93","5,61","0,67","0,268",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1503,Fleurs d'E.Bach,4250424100381,['France'],[],"['Végétalien', 'Végétarien']",?,?,?,?,?,,,,,,,,,"['Végétarien', 'Végétalien']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1504,Brie,0205063027951,['France'],[],[],?,347,31,"0,5",17,,,1452 kj(347 kcal),22,"0,5","1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1505,Poulet,2435199046702,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1506,Des seves et du soleil,3760079080095,['France'],[],[],?,46,"0,5",11,"0,5",,,192 kj(46 kcal),"0,1",10,"0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1507,Benim'O,8690526623290,['France'],[],[],?,464,"21,6","61,3","4,7",,,1941 kj(464 kcal),0,"42,5","0,4","0,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1508,COPP,8850424002379,['France'],[],[],?,140,1,29,3,,,586 kj(140 kcal),"0,5",10,"0,04","0,016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1509,Mais ultra croquant,8025800109328,['France'],[],[],?,90,"2,4",12,"2,9",,,377 kj(90 kcal),"0,5","4,9","0,43","0,172",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1510,Ramune grappe,2002657021313,['France'],[],[],?,35,0,"9,5",0,,,146 kj(35 kcal),0,"9,5",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1511,Bouquet de basilic,3573190000039,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1512,"Chocolat Nestlé-quality street,",5000426104073,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1513,Véritables praslines Orange girofle - Mazet - 65g,3286110002692,['France'],[],[],?,460,17,70,8,65 g,,1925 kj(460 kcal),1,67,0,0,['Mazet'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1514,The Majestic White Cliff,3770009570060,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1515,Gruyère,2663635059508,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1516,Noid ee Cajou Crues Bio,0208514023168,['France'],[],[],?,?,?,?,?,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-10']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1517,Doce De Leite Em Pasta 400G - Viçosa - 400g,7896706900422,"['Brésil', 'France']",[],[],?,72,13,"1,5",2,400 g,,301 kj(72 kcal),0,"0,5","2,5",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1518,Anabolic Iso whey,5902610934018,['France'],[],[],?,377,"2,8",3,85,,,1577 kj(377 kcal),"1,6","2,9","0,45","0,18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1519,Cocktail con pasas,8412669060806,['France'],[],[],?,457,20,52,13,,,1912 kj(457 kcal),"4,4","8,7","1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1520,Almond frost,8719189236446,['France'],[],[],?,201,11,"21,6","3,9",,,841 kj(201 kcal),"0,9","19,4",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1521,Les bêtises chez les Normands - Afchain,3048461820031,['France'],[],[],?,385,"0,5","96,2","0,5",,,1611 kj(385 kcal),"0,01",78,"0,1","0,04",['Afchain'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1522,Rillettes pur canard du sud-ouest - Clos Saint Sozy - 180g,3443705042895,['France'],"['Viande et graisse de canard', 'cèpes déshydratés 0', '33%', 'champignons déshydratés', 'sel', 'poivre', 'épices', 'arômes']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",?,?,?,?,?,180 g,,,,,,,"['Clos Saint Sozy', 'La Quercynoise']",,D,"['Viandes', 'Produits à tartiner', 'Charcuteries', 'Produits à tartiner salés', 'Rillettes', 'Rillettes de viande', 'Rillettes de viande blanche', 'Rillettes de volaille', 'Rillettes de canard']",,,,,,,74.1%,17.7%,4.6%,2.1%,1.2%,0.3%,39,['pot verre'],,,4,,,,,,,,,,,,,,,,,,,,,,,
1523,Toxic wast,5060045051080,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1524,Xiajis sangju - 10g,6936850900143,['France'],[],[],?,0,32,0,0,10 g,,0 kj(0 kcal),0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1525,Chonois Mirabelle,3021990106463,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1526,Bière,3760143820060,['France'],[],[],?,?,?,?,?,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture UE/Non UE', 'FR-BIO-10']",C,"['Boissons', 'Boissons alcoolisées', 'Bières']",,,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,,,,,,,,,,,,,,,,,,,,,,,,,,,
1527,Fromage de tête piment,0216572013458,['France'],[],[],?,275,"21,6","1,4","19,3",,,1151 kj(275 kcal),"7,8","0,2","1,9","0,76",,,D,"['Viandes', 'Charcuteries', 'Charcuteries diverses', 'Pâté', 'Pâtés de tête']",,,+41%,+58%,+85%,+26%,76.6%,14.8%,4.7%,2.2%,1.3%,0.4%,42,,,,,,21.6 g,en quantité élevée,7.8 g,en quantité élevée,0.2 g,en faible quantité,1.9 g,en quantité élevée,+47%,+50%,-44%,+10%,+10%,18,+53%,D,+53%,,,,,
1528,Ferraduras,5600816734875,['France'],[],[],?,227,"1,75","48,51","0,19",,,950 kj(227 kcal),"1,75","47,65",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1529,Skinless & Boneless Wild Pink Salmon,5391517271454,['France'],[],[],?,111,"3,1",0,"20,8",,,464 kj(111 kcal),"0,9",0,"0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1530,Tomme blanche,0200078010158,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1531,Fili-tube XL,3116792464184,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1532,Flahavans Progress Oatlets 1KG,5099801000024,['France'],[],[],?,371,"5,8",64,11,,,1552 kj(371 kcal),1,"0,9","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1533,6 filets de poulet - Auchan,2600497087966,['France'],[],[],?,110,"1,5","0,5",24,,,460 kj(110 kcal),"0,5","0,5","0,1","0,04",['Auchan'],,D,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,-16%,-48%,+4%,+5%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,['Auchan'],1.5 g,en faible quantité,0.5 g,en faible quantité,0.5 g,en faible quantité,0.1 g,en faible quantité,-15%,-33%,+106%,-87%,-87%,-4,,A,,,,,,
1534,Purée de mangue - Metro Chef - 1kg,3439496608457,['France'],[],[],?,97,1,21,"0,8",1 kg,"['EMB 19153', 'Objat (Corrèze, France)']",406 kj(97 kcal),0,21,"0,02","0,008",['Metro Chef'],['Fabriqué en France'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1535,Biere blonde,3760032530117,['France'],[],[],?,?,?,?,?,,,,,,,,,['Agriculture UE/Non UE'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1536,Crackers de lentilles Curry,0779998905016,['France'],[],[],?,382,10,58,"13,1",,,1598 kj(382 kcal),"1,3","1,6","1,7","0,68",,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1537,Brésilien - Fauchon,3457041166177,['France'],[],[],?,?,?,?,?,,,,,,,,['Fauchon'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1538,Dom perignon lumineuse vintage brut,3185370625101,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1539,Sonic Syndicate - We Rule,3357423512502,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1540,"Smarties Party Cake, Schokolade - 430g",4004311184172,['France'],[],[],?,?,?,?,?,430 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1541,Irish Low Fat Milk 3L - Tesco,5052004843676,['France'],[],[],?,47,"1,5","4,8","3,5",,,197 kj(47 kcal),"1,1","4,8","0,1","0,04",['Tesco'],,C,"['Produits laitiers', 'Laits', 'Laits écrémés']",,,-31%,+276%,-52%,-44%,78.7%,1.1%,11.0%,6.0%,3.2%,0.0%,54,"['mixed plastic-unknown', 'hdpe-bottle']",,,,,1.5 g,en faible quantité,1.1 g,en faible quantité,4.8 g,en faible quantité,0.1 g,en faible quantité,-36%,+508%,-51%,-44%,-44%,0,,B,,,,,,
1542,Peanut butter,8425402167854,['France'],[],['Sans huile de palme'],?,637,30,"9,6","29,2",,,2665 kj(637 kcal),7,"4,4","0,006","0,002",,"['Sans sucre ajouté', 'en:palm-oil-free']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1543,Pro 80 - Inkospor,4260057666949,['France'],[],[],?,92,"0,2","2,8",20,,,385 kj(92 kcal),"0,1","0,4","0,04","0,016",['Inkospor'],['Fabriqué en Allemagne'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1544,WHEY - Inkospor,4260057667021,['France'],[],[],?,108,"0,84","1,9",24,,,452 kj(108 kcal),"0,59","1,9","0,28","0,112",['Inkospor'],['Fabriqué en Allemagne'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1545,Olivier noire au jus de truffe,3533320030343,['France'],[],[],?,171,"18,34","0,62","0,95",,,715 kj(171 kcal),"2,14","0,07","2,45","0,98",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1546,Mes 2 grands macarons caramel congelés - 150g,3760126972113,['France'],[],[],?,422,25,41,"7,9",150 g,,1766 kj(422 kcal),11,39,"0,18","0,072",,,D,"['Desserts', 'Biscuits et gâteaux', 'Pâtisseries', 'Macarons']",,,-1%,+40%,-26%,-8%,88.9%,5.7%,2.0%,2.2%,1.2%,0.0%,37,,,,,,25 g,en quantité élevée,11 g,en quantité élevée,39 g,en quantité élevée,0.18 g,en faible quantité,-1%,+143%,-22%,+26%,+26%,23,+31%,E,+31%,,,,,
1547,Nopal,3535400020107,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1548,Popping Candy,8590311103191,['France'],[],[],?,397,0,99,0,,,1661 kj(397 kcal),0,91,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1549,marc de raisin,3401547547015,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1550,Saucisse fraîche du couserans,2462761040325,['France'],[],[],?,194,"13,9","0,9","16,8",,,812 kj(194 kcal),"4,5","0,4","2,1","0,84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1551,Saucisson sec,2276763023947,['France'],[],[],?,428,33,"2,7",29,,,1791 kj(428 kcal),13,"1,8","4,7","1,88",,,D,"['Viandes', 'Charcuteries', 'Saucissons', 'Saucissons secs']",,,+6%,+4%,+21%,+5%,79.0%,17.2%,0.6%,1.8%,1.1%,0.3%,36,,,,,,33 g,en quantité élevée,13 g,en quantité élevée,1.8 g,en faible quantité,4.7 g,en quantité élevée,+6%,+6%,+31%,+1%,+1%,25,+4%,E,+4%,,,,,
1552,Confit de canard,3700888905165,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1553,Filet d'anchois marinés à l'ail et au persil -,3418840571241,['France'],[],[],?,264,21,17,17,,,1105 kj(264 kcal),"5,2","1,3","1,9","0,76",,"['Sans colorants', 'Sans conservateurs']",B,"['Produits de la mer', 'Poissons', 'Anchois', 'Filets de poissons', ""Filets d'anchois"", ""Filets d'anchois marinés"", ""Filets d'anchois marinés à l'ail et au persil"", ""Filets d'anchois marinés à l'huile végétale""]",,,+32%,+54%,+1072%,-7%,57.5%,14.4%,6.7%,17.0%,3.4%,0.9%,81,,,,,,21 g,en quantité élevée,5.2 g,en quantité élevée,1.3 g,en faible quantité,1.9 g,en quantité élevée,+28%,+102%,+176%,-13%,-13%,16,+30%,D,+30%,,,,,
1554,Poulet fermier,2144860011757,['France'],[],[],?,53,"12,9","0,1",26,,,222 kj(53 kcal),"8,7",0,"8,9","3,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1555,Terrine de campagne traditionnelle rotie au four - Carrefour Bio,2227848013780,['France'],[],[],?,331,29,2,15,,"['EMB 29004D', 'Bannalec (Finistère, France)']",1385 kj(331 kcal),11,"0,9","1,5","0,6","['Carrefour Bio', 'Carrefour']","['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-13', 'Fabriqué en France']",,"['Viandes', 'Charcuteries', 'Produits à la viande', 'Terrines', 'Terrines de campagne']",,,+2%,+2%,-13%,+7%,,,,,,,,,,,,['Carrefour'],29 g,en quantité élevée,11 g,en quantité élevée,0.9 g,en faible quantité,1.5 g,en quantité modérée,+3%,+2%,+4%,-6%,-6%,20,+3%,E,+3%,,,,,
1556,Black tartinade,3770008455344,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1557,Pelmenis au porc et au bœuf,4750170000558,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1558,Amandes grillées au sel marin,20088835,['France'],[],[],?,625,"52,6","13,6",21,,,2615 kj(625 kcal),"3,7","3,8","1,8","0,72",,,E,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Amandes', 'Amandes grillées']",,,-0%,+1%,+6%,-4%,96.4%,0.5%,1.0%,1.5%,0.7%,0.0%,11,,,,,,52.6 g,en quantité élevée,3.7 g,en quantité modérée,3.8 g,en faible quantité,1.8 g,en quantité élevée,-0%,-16%,-33%,+113%,+113%,7,+64%,C,+64%,,,,,
1559,Classic Mint Sauce - 280g,7178601000156,['France'],[],[],?,33,"0,1","7,2","0,6",280 g,,138 kj(33 kcal),0,2,"0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1560,Pomme banane - Babylove,4058172042539,['France'],[],[],?,124,1,"25,1",1,,,519 kj(124 kcal),"0,34","22,4","0,006","0,002",['Babylove'],['en:gluten-free'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561,Planet popcorn,6111255560035,['France'],[],[],?,118,6,12,"2,75",,,494 kj(118 kcal),6,12,"0,25","0,1",,['en:gluten-free'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1562,Preserve collection,0637793024700,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1563,Fromage,0285590024401,['France'],[],[],?,393,33,"0,5",24,,,1644 kj(393 kcal),23,"0,5","1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1564,Choux chantilly x2 décongelés,0206073012791,['France'],[],[],?,359,28,22,"4,8",,,1502 kj(359 kcal),19,13,"0,76","0,304",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1565,Palette à la diable,2445710042052,['France'],[],[],?,136,"8,4","1,1",14,,,569 kj(136 kcal),"3,6","0,5","1,7","0,68",,"['Viande-francaise', 'Viande-porcine-francaise']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1566,Chicorée Liquide,2067106441531,['France'],[],[],?,234,"0,6","53,3","2,4",,,979 kj(234 kcal),"0,1","34,9","0,14","0,056",,,,"['Aides culinaires', 'Aide culinaire sucrée']",,,-40%,-96%,+2%,-56%,,,,,,,,,,,,,0.6 g,en faible quantité,0.1 g,en faible quantité,34.9 g,en quantité élevée,0.14 g,en faible quantité,-39%,-98%,-11%,+3%,+3%,8,-42%,C,-42%,,,,,
1567,Nopal - 25g,3700225621451,['France'],[],[],?,?,?,?,?,25 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1568,Bonbons en fête,3374609984441,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
