,name,bar_code,labels,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,brand,ingredients_origins,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,generic_name,packaging,markets,additives,allergens,manufacturing,palm_ingredients,link,traceability_code,brand_owner,origin_detail,producer_info
10,Choco Wafer - borovets,3800102740432,,"['France', 'Espagne']",[],[],?,526,2201 kj(526 kcal),29,13,62,38,"4,2","0,07","0,028",C,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Gaufrettes']",,+5%,+17%,+0%,-24%,76.6%,12.3%,5.4%,2.8%,2.9%,0.0%,70,,['Borovets'],,,29 g,en quantité élevée,13 g,en quantité élevée,38 g,en quantité élevée,0.07 g,en faible quantité,+5%,-12%,+10%,-80%,-80%,24,+9%,E,+9%,,,,,,,,,,,,
11,"Bruschette chips tomato, olives & oregano - Maretti - 70g",3800205872788,,['France'],"['Farine de blé 60%', 'huile de tourneșol', 'mélange de mais 13% ', 'farine de maïs extrudé', 'lait écrémé en poudre', 'gluten', 'stabilisant : gomme guar ', ' dextrose', ' assaisonement Tomate', 'olives et origan 6% ', 'dextrose', 'sel', 'amidon de maïs', 'poudre de tomate 9%', ""poudre d'oignon"", 'persil séché', 'extrait de levure', 'poudre d ail', ""régulateur d'acidité : acide citrique "", ' agent antiagglomérant : dioxyde de silicium ', ' olives séchées 0', '5%', 'origan seché 0', '5%', 'arôme', 'sel', 'sucre', 'levure', 'antioxydant : extrait de romarin']",['Non végétalien'],?,453,1895 kj(453 kcal),14,"1,2",71,"5,5","9,1",2,"0,8",B,"['Snacks', 'Snacks salés', 'Apéritif', 'Biscuits apéritifs']",,-2%,-30%,+20%,-8%,60.4%,21.2%,8.3%,6.3%,3.8%,0.0%,82,70g,['Maretti'],,4,14 g,en quantité modérée,1.2 g,en faible quantité,5.5 g,en quantité modérée,2 g,en quantité élevée,-3%,-78%,+40%,0%,0%,12,-22%,D,-22%,,,,"['E412 - Gomme de guar', 'E330 - Acide citrique', 'E392 - Extrait de romarin']",['Gluten'],,,,,,,
12,Cacao Beans - Dragon Superfoods,3800225476027,"['Bio', 'Bio européen', 'Sans gluten', 'BG-BIO-16']",['France'],"['yoghurt anddesserts', ' ', 'EN', ' Organic cacao beans ', '10096', ' Keep in a cool and dry place', ' Origin/ Lot/ Best before end: see stamp below', ' ', 'DE', ' Bio Kakaobohnen ', '100%', ' Kùhl und trocken aufbewahren', ' Herkunft/Li Mindestens haftbar bis Ende: siehe Stempel unten - ', 'DK', ' Bedst for opevares udgagen at se stempel herunder', ' ', 'ES', ' Granos ecolbgicos de cacao ', '100%', ' Guardar en un lugar fresco', 'seco y oscuro', ' Origen/ Lote/ consumir preferentemente antes de:verfecha en el envase', ' ', 'FR', ' Fèves de cacao bio ', '100%']",[],?,642,2686 kj(642 kcal),53,34,26,0,14,0,0,,,,,,,,,,,,,,,,['Dragon Superfoods'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Bouquet fleur simple,3800500099033,,['France'],[],[],?,324,1356 kj(324 kcal),"0,1",0,76,53,"5,9","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Milk UHT - 1l SEMI SKIMED,3838800059907,,['France'],[],[],?,46,192 kj(46 kcal),"1,5","0,9","4,7","4,7","3,3","0,12","0,048",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,crème caramel - Badel - 100mL,3850112110640,,['France'],[],[],?,150,628 kj(150 kcal),5,"1,5",17,14,9,"0,13","0,052",,,,,,,,,,,,,,,100 mL,['Badel'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Pasteta,3872216000009,,['France'],[],[],?,309,1293 kj(309 kcal),29,"3,6","2,1","0,5",10,"1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Orange x - Capri-Sun,4000177167892,,['France'],[],[],?,21,88 kj(21 kcal),0,0,"4,9","4,9",0,0,0,,,,,,,,,,,,,,,,['Capri-Sun'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,BOUILLON VEGETAL PAUVRE EN SEL CUBES - Natur compagnie,4000345051428,['Bio'],['France'],"['Sirop de glucose""', 'beurre de karité*', 'sel marin', 'jus de légumes concentré*', 'céteri*', 'carottes*', 'oignons*', 'extrait de levure', 'carottes* ', '2,4 0%', 'oignons* ', 'céleri* ', '1,9%', ',_persil*', 'poudre depanais* ', '0,5 %', 'sucre caramélisé*', 'macis*', ' tomate en poudre* ', '0,3 %', 'curcuma*', 'huile de de livèche*,gingembre*', "" *issu de l'agriculture biologiqÜe contrôlée"", ' Certifié par DE-ÔKO-OOI', ' Conserver au sec', ' Peut contenir des traces de laiti de gluten', 'de soja', ""de moutarde et d'œuf""]",['Non végétalien'],?,9,38 kj(9 kcal),"0,6","0,3","0,8","0,2","0,1","0,12","0,048",,,,,,,,,,,,,,,,['Natur compagnie'],,4,,,,,,,,,,,,,,,,,,,,,,['Céleri'],,,,,,,
19,Bouillon Cubes Persil - Natur compagnie,4000345051534,"['Bio', 'Bio européen', 'CH-BIO-004', 'Agriculture UE/Non UE']","['France', 'Pays-Bas']","['Sel marin', 'beurre de karité* ', 'lactosérum en poudre*', 'amidon de maïs* ', 'persil* ', '7,5 %', 'huile de tournesol*', 'ail*', 'feuilles de céleri* ', 'livèche* ', '0,5 %', 'curcuma*', "" *issu de l'agriculture biologique contrôlée""]",['Non végétalien'],?,404,1690 kj(404 kcal),"32,81","14,4","22,1","12,4","3,8","34,9","13,96",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Produits déshydratés', 'Produits lyophilisés à reconstituer', 'Bouillons', 'Bouillons déshydratés', 'Bouillons de légumes', 'Bouillons cubes']",,+211%,+497%,+40%,+10%,,,,,,,,,['Natur compagnie'],,4,,,,,,,,,+204%,+503%,+145%,+77%,+77%,,,,,,,['Ekoplaza'],,,,,,,,,
