,name,bar_code,labels,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,brand,ingredients_origins,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,generic_name,packaging,markets,additives,allergens,manufacturing,palm_ingredients,link,traceability_code,brand_owner,origin_detail,producer_info
514,Mediterranean Tonic Water - Fever-Tree - 500ml,5060108450546,"[""Fabriqué dans l'UE""]","['Belgique', 'France', 'Allemagne', 'Royaume-Uni']","['Carbonated spring water', 'cane sugar', 'acid: citric acid', 'natural flavours including natural quinine']",[],?,36,151 kj(36 kcal),0,0,9,"7,4",0,0,0,,"['Boissons', 'Boissons gazeuses', 'Sodas', 'Eau tonique', 'Boissons avec sucre ajouté']",,+29%,-100%,+37%,-100%,,,,,,,,500 ml,['Fever-Tree'],,3,0 g,en faible quantité,0 g,en faible quantité,7.4 g,en quantité élevée,0 g,en faible quantité,+30%,-100%,+17%,-100%,-100%,11,+23%,E,+23%,,"['Glass', 'Bottle']","['Delhaize', 'Rewe']",['E330 - Acide citrique'],,,,,,,,
515,Elderflower Tonic Water - Fever-tree - 0.2000000029802322l,5060108450843,,"['Belgique', 'France', 'Allemagne']","['LLULKFLOWER TONIC WATER NGREDIENTS: Carbonated Springyater', 'Car Sugar', 'Fresh Elderflower Extract', 'Acid: Citric dd', 'Natural Flavours includinV,NaCural Quir NUTRITION FACTS: ', 'Typical values Energy: 143kJ,']",[],?,34,142 kj(34 kcal),0,0,"8,5","7,8",0,0,0,,"['Boissons', 'Boissons gazeuses', 'Sodas', 'Eau tonique']",,+21%,-100%,+29%,-100%,,,,,,,,0.2000000029802322 l,['Fever-tree'],,,0 g,en faible quantité,0 g,en faible quantité,7.8 g,en quantité élevée,0 g,en faible quantité,+22%,-100%,+23%,-100%,-100%,11,+23%,E,+23%,,"['Flaschen', 'flasche']",,,,,,,,,,
516,Rude Health Rye Oaty - 4x 50g,5060120281722,,['France'],[],[],?,430,1799 kj(430 kcal),"17,1","2,42","56,3","4,4",8,"1,41","0,564",,,,,,,,,,,,,,,4 x 50 g,['Rude health'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
517,Natural Selection Ideal Ingredients Crystallised Ginger 200g - Evolution Foods - 200g,5060135530457,,"['France', 'Suisse']",[],[],1283,?,1283 kj(307 kcal),0,0,74,74,"0,3",0,0,,,,,,,,,,,,,,,200 g,['Evolution Foods'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
518,"Higgidy Spinach,Feta & Roasted Pepper Quiche 400G - 400g",5060136250194,,['France'],"['Dried Skimmed Milk', 'Butter ', 'Milk', 'Wheat Flour Iron', 'Niacin', 'Thiamin', 'Double Powder', 'Wheat Flou ', 'Wheat Flour', 'Ca!ciùnî Cârbonatê', 'Iron', 'Niacin', 'Thiamin', 'Mature Cheddar Cheese ', 'Milk', ' ', '13%', 'Sautéed Onion ', '13%', ' ', 'Onions', 'Rapeseed Oil', 'Spina ', '13%', 'Free Range Whole Egg ', '8%', 'Roasted Red Pepper ', '6%', 'Water', 'Fet Cheese ', 'Milk', ' ', '4%', 'Vegetable Oils ', 'Palm Oil', 'Rapeseed Oil', 'Butter ', 'Milk', ' Medium Fat Hard Cheese ', 'Milk', 'Cornflour', 'Concentrated Butter ', 'Milk', ' ', 'Contains Colour: Mixed Carotenes', 'Sesame Seeds ', '<1%', 'Poppy Seeds ', '<1%', 'Nutmeg ', '<1%', 'Black Pepper', 'Cayenne Pepper', 'Salt']","['Huile de palme', 'Non végétalien']",?,252,1054 kj(252 kcal),"16,9","7,6","17,5","1,1","8,3","0,6","0,24",,"['Plats préparés', 'Pizzas tartes salées et quiches', 'Quiches', 'Quiches aux légumes', 'Quiches aux épinards']",,-1%,+10%,-9%,+1%,,,,,,,,400 g,['Higgidy'],,4,16.9 g,en quantité modérée,7.6 g,en quantité élevée,1.1 g,en faible quantité,0.6 g,en quantité modérée,+0%,-7%,-52%,-38%,-38%,11,-14%,D,-14%,,"['card-box', 'pet-tray']",,"['E502 - Carbonates', 'E160a - Carotènes mélangés']","['Gluten', 'Lait', 'Graines de sésame']",,,,,,,
519,Poulet Tikka et riz - Summit to Eat - 126g,5060138531253,,"['France', 'Allemagne']","['Langkornreis ', '30%', 'Gehackte Tomaten ', '11%', 'Zwiebelwürfel', 'Gekochte Hühnerfleischwürfel', 'Sahne ', 'Milch', 'Naturjoghurt ', 'Milch', 'Rapsöl', 'Tikka-Currypaste ', '3%', ' ', 'Weinessig', 'Tomatenmark', 'Sonnenblumenöl', 'Ingwer', 'Knoblauch', 'Koriander', 'Garam Masala', 'Gemahlener Koriander', 'Zucker', 'Paprikapulver', 'Meersalz', 'Entrahmtes Milchpulver', 'Zitronensaft-Konzentrat', 'Gemahlener Kreuzkümmel', 'Gemahlener Bockshornklee', 'Gemahlener Kardamom', 'Chillipulver', 'Milchsäure', 'Lorbeerblätter', 'Verdickungsmittel ', 'Xanthangummi', 'Konservierungsstoffe ', 'Ascorbinsäure', 'Kaliumsorbat', 'Knoblauch', 'Speisestärke', 'Chillipulver']","['Non végétalien', 'Non végétarien']",2205,528,2205 kj(528 kcal),30,"7,1",41,"6,1",20,"0,6","0,24",,['Aliments lyophilisées'],,+68%,+217%,-9%,+77%,,,,,,,,126 g,['Summit to Eat'],,4,30 g,en quantité élevée,7.1 g,en quantité élevée,6.1 g,en quantité modérée,0.6 g,en quantité modérée,+66%,+190%,-61%,-50%,-50%,11,,D,,Gefriergetrocknete Mahlzeit,"['Aluminium', 'Kunststoff']",,"['E270 - Acide lactique', 'E415 - Gomme xanthane', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",['Lait'],,,,,,,
520,Summit to eat - 118g,5060138531277,,"['France', 'Allemagne']","['Kartoffelwürfel ', '29%', 'Gekochte Rindfleischstreifen ', '10%', 'Karottenwürfel', 'Grüne Bohnen', 'Zwiebelwürfel', 'Rapsöl', 'Pürierte Tomaten', 'Speisestärke', 'Salz', 'Weißer Pfeffer']",[],2207,529,2207 kj(529 kcal),32,"6,6",38,"9,2",20,"3,1","1,24",,['Aliments lyophilisées'],,+68%,+239%,-15%,+77%,,,,,,,,118 g,['Summit to Eat'],,3,32 g,en quantité élevée,6.6 g,en quantité élevée,9.2 g,en quantité modérée,3.1 g,en quantité élevée,+66%,+169%,-42%,+156%,+156%,21,,E,,Gefriergetrocknete Mahlzeit,"['Kunststoff', 'Aluminium']",,,,,,,,,,
521,Alpha Bites cocoa - Bear - 375g,5060139431255,,"['France', 'Royaume-Uni']",[],[],?,387,1619 kj(387 kcal),"2,4","0,8",78,12,10,"0,13","0,052",,,,,,,,,,,,,,,375 g,['Bear'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
522,Monster Energy Ripper,5060166690427,,"['France', 'Espagne']",[],[],?,37,155 kj(37 kcal),0,0,"9,3","8,4",0,"0,04","0,016",,"['Boissons', 'Boissons énergisantes']",,+3%,-100%,+16%,-100%,,,,,,,,,['Monster Energy'],,,0 g,en faible quantité,0 g,en faible quantité,8.4 g,en quantité élevée,0.04 g,en faible quantité,+4%,-100%,+16%,-65%,-65%,12,+11%,E,+11%,,,,,,,,,,,,
523,Orange & dark chocolate porrige oat bars - Stoats,5060183671904,,"['France', 'Espagne']",[],[],?,457,1912 kj(457 kcal),"22,4","10,7","55,6","25,2","8,1","0,1","0,04",,,,,,,,,,,,,,,,['Stoats'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
524,Mr freeze,5060191281409,,['France'],[],[],?,48,201 kj(48 kcal),0,0,"11,6","11,6",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
525,Sushi Rice - Saitaku - 500g,5060194790069,,"['Belgique', 'France', 'Pays-Bas', 'Suisse']",['Riz'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",1504,?,1504 kj(359 kcal),"0,5","0,1",80,"0,5","6,7","0,01","0,004",B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Riz', 'Riz pour sushi']",,,-23%,+2%,+2%,79.0%,0.0%,6.4%,11.0%,3.6%,0.0%,74,500 g,['Saitaku'],['Italie'],1,0.5 g,en faible quantité,0.1 g,en faible quantité,0.5 g,en faible quantité,0.01 g,en faible quantité,+2%,-38%,+98%,-38%,-38%,0,-100%,B,-100%,Riz à Sushi,"['Carton', 'ldpe-bag', 'card-box']",['Delhaize'],,,,,http://www.saitaku-food.com/fr/products/,,,,
526,Saitaku Tamari Soy,5060194790076,,"['Belgique', 'France']",[],[],?,67,280 kj(67 kcal),0,0,"4,9","0,7","11,9","13,4","5,36",B,"['Epicerie', 'Condiments', 'Sauces', 'Sauces au soja', 'Tamaris']",,-14%,-100%,-22%,+6%,21.5%,31.6%,20.1%,15.9%,8.6%,2.3%,97,,['Saitaku'],,,0 g,en faible quantité,0 g,en faible quantité,0.7 g,en faible quantité,13.4 g,en quantité élevée,-15%,-100%,-40%,+7%,+7%,5,-34%,C,-34%,,,['Delhaize'],,,,,,,,,
527,Soba Noodles - Saitaku,5060194790120,,"['Belgique', 'France']","['Farine de 54%', 'farine de sarrasin 30%', 'eau', 'sel']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,356,1490 kj(356 kcal),"1,6","0,5",66,"1,4",17,1,"0,4",,,,,,,,,,,,,,,,['Saitaku'],,,,,,,,,,,,,,,,,,,,,,['Delhaize'],,,,,,,,,
528,Saitaku Wasabi Peanøtter - 115g,5060194791134,,"['France', 'Suisse']","['Arachides 60%', 'farine de blé', 'amidon de tapioca', 'arôme de wasabi', 'exhausteur de goût:  E621', 'E627', 'et E631', 'correcteurs d’acidité: acide citrique', 'sucre', 'huile de palme', 'sel', 'poudre à lever: E500', 'colorants: E 100', 'E 141']",['Huile de palme'],2382,?,2382 kj(569 kcal),38,"8,4","3,2","1,3",25,"1,1","0,44",,,,,,,,,,,,,,,115 g,['Saitaku'],,4,,,,,,,,,,,,,,,,,,,,,"['E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E627 - Guanylate disodique', 'E631 - Inosinate disodique', 'E330 - Acide citrique', 'E500 - Carbonates de sodium', 'E100 - Curcumine', 'E141 - Complexe cuivrique des chlorophylles et des chlorophyllines']","['Gluten', 'Arachides']",,['Huile de palme'],,,,,
529,Mon biscuit p'tit dej miel et raisins - Genius - 140g,5060195908289,"['en:gluten-free', 'Sans conservateurs']",['France'],"['Avoine sans gluten ', '33%', 'margarine : huile de palme', 'huile de colza', 'eau', 'sel', ""émulsifiant : esters polyglycériques d'acides gras"", ' arômes', 'colorants : curcumine', 'annatto', ' sucre', 'raisins ', '9%', 'cassonade : sucre', 'mélasse de canne à sucre', 'sirop de sucre inverti', 'colorant : caramel', ' eau', 'miel ', '6%', 'farine de riz', 'amidon de pomme de terre', 'farine de maïs', 'poudres à lever : bicarbonate disodique', 'bicarbonate de soude', 'hydrogénocarbonate de sodium', ' stabilisant: gomme de xanthane', ' huile de tournesol']","['Huile de palme', 'Non végétalien']",2039,487,2039 kj(487 kcal),"24,2","7,4",61,"33,8","4,6","0,76","0,304",C,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']",+2%,+3%,+16%,-5%,-29%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,140g,['Genius'],,4,24.2 g,en quantité élevée,7.4 g,en quantité élevée,33.8 g,en quantité élevée,0.76 g,en quantité modérée,+2%,-27%,+15%,+29%,+29%,20,+1%,E,+1%,"Biscuits sans gluten à l'avoine, raisins et miel",['Carton'],,"[""E475 - Esters polyglycériques d'acides gras"", 'E100 - Curcumine', 'E160b - Rocou', 'E150 - Caramel', 'E500ii - Carbonate acide de sodium', 'E415 - Gomme xanthane']",['Avoine'],,['Huile de palme'],,,,,
530,Fuel 70% Cocoa Chunks 400G - 400g,5060201621805,"['Végétarien', 'Végétalien', 'Pur beurre de cacao', ""À l'huile de tournesol""]","['France', 'Royaume-Uni']","['Wholegrain Oat Flakes ', '44%', ' Sugar', 'Dark Chocolate ', '8%', ' ', 'Cocoa mass', ' Sugar', ' Cocoa Butter', ' Emulsifier: Sunflower Lecithins', ' Wheat Gluten', ' Rice Flour', ' Sunflower Oil', ' Glucose-Fructose Syrup', ' Wholegrain Wheat Flakes', ' Pumpkin Seeds', ' Grated Coconut', 'Fat Reduced Cocoa Powder', ' Dextrose', ' Natural Flavouring', 'Caramelized Sugar Syrup', ' Vitamin Mix ', 'Niacin', ' Vitamin E', ' Pantothenic Acid', ' Vitamin B6', ' Riboflavin', ' Thiamin', ' Folic Acid', ' Vitamin B12', 'Salt', 'Antioxidant: Tocopherol-rich extract']","['Végétalien', 'Végétarien']",?,449,1879 kj(449 kcal),"15,5","4,6","59,1","24,6","15,1","0,2","0,08",C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner']",,+13%,+78%,-11%,+62%,74.0%,13.1%,5.1%,5.5%,2.3%,0.0%,60,400 g,['Fuel'],,4,15.5 g,en quantité modérée,4.6 g,en quantité modérée,24.6 g,en quantité élevée,0.2 g,en faible quantité,+13%,+109%,+47%,-44%,-44%,9,+67%,C,+67%,,['card-box'],,"['E322 - Lécithines', 'E306 - Extrait riche en tocophérols']",,,,,,,,
531,Grenade Carb Killa Jaffa Quake - 60g,5060221203784,['en:Informed Sport'],"['France', 'Irlande']","['avec édulcoronts', ' Ingrédients lait au chocolat avoc édulcorant 25 ', 'edutcorent de lait entier', 'cacao', 'érxnulsiftant : lécithine do soja', 'arômes Y Protesnes de lait azese isolat cretetnes cie lait', 'isolat do protéines de lactosérum ', 'lait', 'Agent de charsae glycérol', 'Protéines de soja', 'Huile de soja Cacao dégrayssé', ' lait ecreme en xV}toi et sucralose', 'Amidon de tapioca', 'Arômes', 'Sel', 'Huile de tournesol', 'Emuislfiant ester cerotencides', ' infos Allergènes : voir les ingrédients en caractères gras Peut contentr des eeufsv arecmaes et des graines de sésame', '""']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",?,359,1502 kj(359 kcal),"13,2","6,5","26,9","3,4","36,4","0,5","0,2",,"['Compléments alimentaires', 'Compléments pour le Bodybuilding', 'Barres protéinées']",,-3%,+2%,-18%,+24%,,,,,,,,60 g,['Grenade'],,4,13.2 g,en quantité modérée,6.5 g,en quantité élevée,3.4 g,en faible quantité,0.5 g,en quantité modérée,-3%,+10%,-74%,+2%,+2%,7,-32%,C,-32%,High Protein Chocolate Bar,,"['SuperValu', 'Centra', 'Tesco']","['E965 - Maltitol', 'E322i - Lécithine', 'E1200 - Polydextrose', 'E422 - Glycérol', 'E967 - Xylitol', 'E955 - Sucralose', 'E160ai - Bêta-carotène']","['Lait', 'Soja']",,,,,,,
532,Carb Killa Protein Spread Hazel Nutter Flavour - Grenade Carb Killa - 360g,5060221204040,,"['France', 'Allemagne']","['Vegetable Oil ', 'Rapeseed', 'Sustainable Palm Milk', 'Oil', 'Mattitolt Whey Protein Concentrate ', '19%', ' ', ' Skimmed Milk Powder Fat Reduced Cocoa', 'Hazelnut Pieces ', '6%', 'Emulsifier: Sunflower Lecithin', ' Natural Vanilla Flavouring']","[""Pourrait contenir de l'huile de palme""]",?,533,2230 kj(533 kcal),40,"8,7",34,"5,6",20,"0,24","0,096",,"['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés', 'Pâtes à tartiner', 'Pâtes à tartiner au chocolat']",,-2%,+17%,-33%,+204%,,,,,,,,360 g,['Grenade Carb Killa'],,4,40 g,en quantité élevée,8.7 g,en quantité élevée,5.6 g,en quantité modérée,0.24 g,en faible quantité,-2%,+11%,-88%,+116%,+116%,14,-32%,D,-32%,,['pet-bottle'],,['E322i - Lécithine'],,,,,,,,
533,Pukka Thee Mint Refresh Usda - 40g,5060229014849,"['Bio', 'Agriculture UE/Non UE']","['France', 'Pays-Bas']",[],[],?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,['Boissons'],,-100%,-100%,-100%,-100%,,,,,,,,40 g,['Pukka'],,,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,-100%,-100%,-100%,-100%,-100%,0,-100%,B,-100%,,,['Ekoplaza'],,,,,,,,,
534,3 Miso Soups - Itsu,5060262480823,,"['France', 'Royaume-Uni']",[],[],?,175,732 kj(175 kcal),"4,9",0,"20,5","16,7","10,2","10,3","4,12",,,,,,,,,,,,,,,,['Itsu'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
535,Proper Corn Sweet & Salty - Popper Corn - 90g,5060283760072,,"['Belgique', 'France', 'Royaume-Uni']","['popped corn', 'rapeseed oil', 'brown cane sugar', 'sea salt']",[],?,431,1803 kj(431 kcal),"15,8","1,2","64,4","28,1","6,5","1,225","0,49",,,,,,,,,,,,,,,90g,['Popper Corn'],,,,,,,,,,,,,,,,,,,,,['mixed plastic-packet'],"[""McColl's"", 'Delhaize']",,,,,,,,,
536,Flavour spring  water,5060292122977,['en:gluten-free'],['France'],[],[],?,5,21 kj(5 kcal),0,0,0,0,0,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
537,Coyo Coconut Milk Yoghurt Alternative Natural,5060298880024,"['Bio', 'Végétarien', 'Végétalien']",['France'],"['Coconut Milk ', '99%', 'Tapioca Starch', 'Live Vegan Yoghurt Cultures']","['Végétalien', 'Végétarien']",?,183,766 kj(183 kcal),19,17,3,"0,5",3,"0,1","0,04",,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts']",,+99%,+481%,-73%,-20%,,,,,,,,,['Coyo'],,3,19 g,en quantité modérée,17 g,en quantité élevée,0.5 g,en faible quantité,0.1 g,en faible quantité,+99%,+729%,-95%,-13%,-13%,6,+96%,C,+96%,,,,,,,,,,,,
538,Chia Charge,5060302390396,,['France'],"['Oats', 'Butter', 'Demerara Sugar', 'Golden Syrup', 'Chia Seeds ', '9%', 'Sea Salt Flakes Allergens in bold', ' Zutaten Haferflocken', 'Butter', 'Rohzucker', 'Sirup', 'Chia Samen ', '9%', 'Meersalzflocken', ' Skladniki Platki owsiane', 'Masko', 'Brazowy cukier Demerara', 'Syrup zlocisty', 'Nasion chia ', '9%', ' ', 'Platki soli morskiejv Avoine ', 'Beurre', 'Sucre Demerara', 'Golden Syrup', 'Graines de Chia ', '9%', 'Flocons de Sel de Mer', 'en gras allergènes', 'Havre', 'Smòr', 'Demerarasocker', 'Sirap', 'Chia Frôn ', '9 %', 'Havssalt flingor allergener i fetstiL Suitabie for colouriog_ place ?']",['Non végétalien'],?,472,1975 kj(472 kcal),25,0,55,28,6,"1,062","0,425",,,,,,,,,,,,,,,,['Chia Charge'],,,,,,,,,,,,,,,,,,,,,,,,"['Lait', 'Avoine']",,,,,,,
539,infusion bio - higher living - 15sachets,5060319120061,['Bio'],"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,15sachets,['higher living'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
540,Energy drink - Monster,5060335632357,,['France'],"['EAU GAZEIFIÉE', 'SUCRE', 'SIROP DE GLUCOSE ACIDIFIANT ', 'ACIDE CITRIQUE', ' AROMES', 'TAURINE ', '0,4% ', ',', "" CORRECTEUR D'ACIDITÉ "", 'CITRATE DE SODIUM', 'EXTRAIT DE RACINE DE GINSENG ', '0,08%', 'L-TARTRATE DE L-CARNITINE ', '0,04%', 'CONSERVATEURS ', 'ACIDE SORBIQUE', 'ACIDE BENZOTQUE', 'CAFÉINE ', '0,02%', 'COLORANT ', 'E163', 'VITAMINES ', 'B2', 'B3', 'B6', 'B12', ' EDULCORANT D-GLUCURONOLACTONE', 'EXTRAIT DE GRAINE DE GUARANA ', '0,002%', 'INOSITOL', 'MALTODEXTRINE TENEUR ÉLEVÉE EN CAFEINE', ""DÉCONSEILLÉ AUX ENFANTS ET AUX FEMMES ENCEINTES OU ALLAITANTES OU AUX PERSONNES CONSOMMER AVEC MODERATION 2013 MONSTER ENERGY COMPANY FABRIQUÉ DANS L'UNION EUROPÉENNE AVEC L'AUTORISATION DE MONSTER ENERGY LIMITED"", ' SOUTH BANK HOUSE', 'BARROW STREET', 'DUBLIN 4', 'IRLANDE', ' CONSERVER DANS UN LIEU FRAIS ET SEC']",[],?,37,155 kj(37 kcal),"0,1","0,09","9,4","8,4","0,1","0,21","0,084",,"['Boissons', 'Boissons énergisantes']",,+3%,+50%,+17%,-31%,,,,,,,,,"['Monster', 'Monster Energy Company', 'Monster Energy']",,4,0.1 g,en faible quantité,0.09 g,en faible quantité,8.4 g,en quantité élevée,0.21 g,en quantité modérée,+4%,+290%,+16%,+83%,+83%,12,+11%,E,+11%,,,['Magasins U'],"['E330 - Acide citrique', 'E331 - Citrates de sodium', 'E200 - Acide sorbique', '', 'Risque élevé de sur-exposition', 'E163 - Anthocyanes']",,,,,,,,
541,The Doctor - Monster - 500ml,5060335632777,,"['France', 'Royaume-Uni']",[],[],186,44,186 kj(44 kcal),0,0,11,10,0,"0,02","0,008",,"['Boissons', 'Boissons énergisantes']",+25%,+22%,-100%,+37%,-100%,,,,,,,,500ml,['Monster'],,,0 g,en faible quantité,0 g,en faible quantité,10 g,en quantité élevée,0.02 g,en faible quantité,+25%,-100%,+38%,-83%,-83%,14,+30%,E,+30%,,,,,,,,,,,,
542,Monster Ultra Citron,5060337507332,,['France'],[],[],?,2,8 kj(2 kcal),0,0,"0,5",0,0,"0,05","0,02",,"['Boissons', 'Boissons énergisantes']",,-94%,-100%,-94%,-100%,,,,,,,,,,,,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0.05 g,en faible quantité,-95%,-100%,-100%,-57%,-57%,1,-91%,B,-91%,,,,,,,,,,,,
543,Original high protein biltong - Bulk powder,5060343740143,,['France'],"['îte de Bœuf', 'Sel', 'Sucre Brun', 'Poivre Noir', 'Poivre de layenne', 'Vinaigre de Cidre', 'Sorbate de Potassium Conservateur', ' ALLERGENES: Aucun', ' NE LAISSER À PORTÉE DES ENFANTS', ' Conserver à Itabri de la chaleur 2t de Ithumidité']",[],?,261,1092 kj(261 kcal),"7,1","2,1","0,6","0,6","53,5","5,3","2,12",,,,,,,,,,,,,,,,['Bulk powder'],,,,,,,,,,,,,,,,,,,,,,,"['E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",,,,,,,,
544,Cadbury's Chocolate Spread 180G - 180g,5060391621425,,['France'],"['CA', ' CHOCOLAT t\\GREDtBTS: Sure', 'Hulte végétale ', 'colza', 'palme', 'miette de chocolat au latt sucre', 'masse de cacao', 'lait entler en poudre cacao déqralssé', 'lactosérum en poudre ', 'lalt', 'Emulîlfiant ', 'Léctthtne de tournesol', 'arômes', 'ALLERGIE} Ingrédtent en catactète gras', 'Peut contenir des fruits coque du valeurs pour 100 2388 k', '/S']","['Huile de palme', 'Non végétalien']",?,573,2397 kj(573 kcal),38,"8,7",54,53,"3,8","0,1","0,04",,,,,,,,,,,,,,,180 g,['Cadbury'],,4,,,,,,,,,,,,,,,,,,,,,,,,['Huile de palme'],,,,,
545,Peanut butter,5060391623139,,['France'],"['peanuts 94%', 'stabiliser', 'e41', 'cane sugar', 'peanut oil 1%', 'sea salt']",[],?,610,2552 kj(610 kcal),"48,8","9,6","14,7",7,"24,4","1,25","0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Arachides'],,,,,,,
546,Mr.Basil,5060401970567,['Halal'],['France'],[],[],?,18,75 kj(18 kcal),0,0,"4,7","4,5",0,"0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
547,Bounty Protein - Mars - 1kg,5060402904196,['Riche en protéines'],['France'],"['Mélange de protéine de lait ', '23 %', ' ', 'protéine de lait', 'protéine de lactosérum concentré ', 'lait', 'émulsifiant : lécithine de soja', 'chocolat au lait ', '16 %', ' ', 'sucre', 'beurre de cacao', 'lait écrémé en poudre', 'cacao', 'lactose ', 'lait', ' et protéine de lactosérum ', 'lait', 'huile de palme', 'lactosérum en poudre ', 'lait', 'graisse de lait', 'émulsifiant : lécithine de soja', 'extrait naturel de vanille', 'hydrolysat de collagène ', '16 %', 'humectant ', 'glycérol', 'fructo-oligosaccharide', 'noix de coco desséché ', '7,6 %', 'sirop de glucose', ""albumine d'oeuf"", 'arômes', 'huile de tournesol', 'sel', ' antioxydant ', 'mélange de tocophérols']","['Huile de palme', 'Non végétalien']",?,377,1577 kj(377 kcal),"11,3","7,8",34,"16,6","36,7","0,28","0,112",D,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Barres', 'Confiseries chocolatées', 'Barres chocolatées', 'Barres chocolatées à la noix de coco']",,-22%,-56%,-39%,+753%,74.2%,16.2%,3.8%,4.7%,1.1%,0.0%,62,1 kg,"['Mars', 'Sunwarrior']",,4,11.3 g,en quantité modérée,7.8 g,en quantité élevée,16.6 g,en quantité élevée,0.28 g,en faible quantité,-22%,-62%,-63%,+13%,+13%,15,-40%,D,-40%,,,,"['E322i - Lécithine', 'E422 - Glycérol', 'E306 - Extrait riche en tocophérols']",['Lait'],,['Huile de palme'],,,,,
548,Mars,5060402906312,,['France'],[],[],?,351,1469 kj(351 kcal),"8,1","4,5",39,23,33,"0,7","0,28",,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Barres', 'Confiseries chocolatées', 'Barres chocolatées']",,-30%,-70%,-30%,+384%,,,,,,,,,['Mars'],,,8.1 g,en quantité modérée,4.5 g,en quantité modérée,23 g,en quantité élevée,0.7 g,en quantité modérée,-30%,-70%,-49%,+117%,+117%,16,-34%,D,-34%,,,,,,,,,,,,
549,Baked pea snacks - Harvest Snaps,5060413751574,['en:gluten-free'],"['France', 'Pays-Bas', 'Espagne']",[],[],?,429,1795 kj(429 kcal),"16,1","1,1","46,3","6,2","18,7","1,5","0,6",,"['Snacks', 'Snacks salés', 'Apéritif']",,-8%,-33%,-10%,+145%,,,,,,,,,['Harvest Snaps'],,,16.1 g,en quantité modérée,1.1 g,en faible quantité,6.2 g,en quantité modérée,1.5 g,en quantité modérée,-8%,-73%,+99%,-4%,-4%,8,-37%,C,-37%,,,,,,,,,,,,
