,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,labels,traceability_code,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,quantity,markets,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,packaging,manufacturing,allergens,nova_score,ingredients_origins,additives,link,generic_name,brand_owner
78,Punch cerise pays,3290940003170,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Penne aux légumes du soleil - Comme j'aime - 285g,3112940827719,['France'],[],[],?,?,?,?,?,"['Sans arômes artificiels', 'Fabriqué en France', 'Sans colorants', 'Sans conservateurs']",,,,,,,,"['Plats préparés', 'Plats à base de pâtes', 'Plats préparés à réchauffer au micro-ondes']",,,,,,,,,,,,,"[""Comme j'aime""]",285 g,"[""Comme j'aime""]",,,,,,,,,,,,,,,,,,"['Carton', 'Plastique', 'Barquette']",['France'],,,,,,,
80,Islay Storm Single Malt 40 %,5024720916002,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Vin Viré-Clessé,3339998000127,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Our best ever burger - 334g,00680264,['France'],[],[],?,248,"19,3","3,2","15,4",,,1038 kj(248 kcal),"8,1","0,5","0,65","0,26",,,,,,,,,,,,,,,,334 g,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Marmelade biologique citron de sicile,3582680244785,['France'],[],[],?,245,0,60,"0,6",['Bio'],,1025 kj(245 kcal),0,56,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Mirabelle berlingot,3701220800377,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Thé - Palais des Thés,2700993001098,['France'],[],[],?,?,?,?,?,,,,,,,,B,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés']",,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,['Palais des Thés'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Thé Glacé Bio Thé Noir Pêche de Vigne,3760167530563,['France'],[],[],?,16,0,4,0,['Bio'],,67 kj(16 kcal),0,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Pur jus Pom'Poire,3760205860089,['France'],[],[],?,39,0,"8,5",0,,,163 kj(39 kcal),0,"8,5","0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Vinaigre citron,8680395188495,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Smart plant bar,5060578321926,['France'],[],[],?,404,20,14,32,,,1690 kj(404 kcal),"6,5","4,8","0,9","0,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Jardin andalou - Palais des Thés,3700256729935,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,['Palais des Thés'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Mélange Aperitif Salé,2609906044934,['France'],[],[],?,636,54,"8,4",24,,,2661 kj(636 kcal),"8,8","5,9",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Epicerie / Spécialités Végétaliennes / Patés Végétaux,3760005725175,['France'],[],[],?,183,"18,8","1,9","0,94",,,766 kj(183 kcal),0,"0,94","0,31","0,124",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Sirop de concombre,3770010634232,['France'],[],[],?,299,0,"74,7",0,,,1251 kj(299 kcal),0,"74,7",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Salami,8413080718963,['France'],[],[],?,455,42,"3,2",16,['en:gluten-free'],,1904 kj(455 kcal),15,"2,6","3,5","1,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Yop saveur coco,3390770063327,['France'],[],[],?,65,"0,8","10,6",3,,,272 kj(65 kcal),"0,5","10,6","0,12","0,048",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Emmental - Amanhecer,5601227033298,['France'],[],[],?,361,27,"2,5",27,,,1510 kj(361 kcal),"2,3","0,7","0,8","0,32",,,,,,,,,,,,,,,['Amanhecer'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Pomme de terre - Prince de Bretagne,3201921141095,['France'],[],[],?,77,0,"16,1","1,7",,,322 kj(77 kcal),0,"0,6",0,0,,,,,,,,,,,,,,,['Prince de Bretagne'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Pain de campagne,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Mimolette extra vieille,2451764021387,['France'],[],[],?,?,?,?,?,,,,,,,,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Mimolettes', 'Mimolettes extra vieilles', 'Fromages-du-nord-pas-de-calais']",,,,,,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,White IPA - Brasserie de Vézelay,3760222500562,['France'],[],[],?,?,?,?,?,"['Bio', 'Déconseillé aux femmes enceintes']",,,,,,,C,"['Boissons', 'Boissons alcoolisées', 'Bières', 'Bières françaises', 'Bières bio', 'White India Pale Ale']",,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,['Brasserie de Vézelay'],,,,,,,,,,,,,,,,,,,,"['Bouteille', 'Verre']",,,,,,,,
