,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,labels,traceability_code,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,quantity,markets,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,packaging,manufacturing,allergens,nova_score,ingredients_origins,additives,link,generic_name,brand_owner
33,Oeufs - Matines,11136170,['France'],[],[],?,140,"9,8","0,3",13,"['Nutriscore', 'Nutriscore A']",,586 kj(140 kcal),"2,6","0,3","0,31","0,124",,,,,,,,,,,,,,,['Matines'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Domaine roulant vin,3263280106306,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,"Creme fraiche fermiere LA FERME DES GRANDS PRES, 38%MG",3435770123500,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Cidre bouché biologue,3272850049943,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Halva - Papillon,6194002430140,['France'],[],[],?,529,30,50,10,,,2213 kj(529 kcal),13,46,0,0,,,,,,,,,,,,,,,['Papillon'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Van Valenberg Crème glacée Vanille,3760288410997,['France'],[],[],?,?,?,?,?,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Lait caillé,3254150001104,['France'],[],[],?,55,"1,8","4,8",3,,,230 kj(55 kcal),"0,9","4,8","0,12","0,048",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Wedzok ustrzycki,2911780009399,['France'],[],[],?,130,5,"1,1",20,,,544 kj(130 kcal),2,"0,8","1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Viande,2282933025789,['France'],[],[],?,3,6,8,9,,,13 kj(3 kcal),5,1,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Glace à la myrtille,0645760017853,['France'],[],[],?,141,"0,1","33,3",0,,,590 kj(141 kcal),0,"27,6","0,005","0,002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Wok de saison,2868070018244,['France'],[],[],?,18,"0,5","2,05","1,55",['Sans conservateurs'],,75 kj(18 kcal),"0,02","0,55","0,031","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Natillas - 125g,8435119270044,['France'],[],[],?,349,"0,5","82,99","0,5",['en:gluten-free'],,1460 kj(349 kcal),"0,2","7,89","0,13","0,052",,,,,,,,,,,,,,,,125 g,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Poulet,2288089023228,['France'],[],[],?,108,"0,8","0,5",25,,,452 kj(108 kcal),"0,24","0,5","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Aloe Vera King Natural,3662317009595,['France'],[],[],?,36,0,9,0,,,151 kj(36 kcal),0,8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Ketchup - Spar - 560g,8480013061137,"['France', 'Espagne']",[],[],?,443,"0,5",24,"1,3",,,1854 kj(443 kcal),"0,1",19,2,"0,8",B,"['Epicerie', 'Sauces', 'Sauces tomate', 'Ketchup']",,+318%,+105%,+6%,0%,37.2%,25.2%,17.2%,12.9%,5.9%,1.6%,94,['Spar'],560 g,,0.5 g,en faible quantité,0.1 g,en faible quantité,19 g,en quantité élevée,2 g,en quantité élevée,+322%,+57%,-3%,+1%,+1%,17,+40%,D,+40%,,,,,,,,,
48,Comté Jura Flore - JuraFlore,2285475031751,['France'],[],[],?,418,35,0,27,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,1749 kj(418 kcal),23,0,"0,9","0,36",C,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté']",,-0%,+1%,-100%,+0%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,['JuraFlore'],,,35 g,en quantité élevée,23 g,en quantité élevée,0 g,en faible quantité,0.9 g,en quantité modérée,-0%,+1%,-100%,+7%,+7%,13,0%,D,0%,,,,,,,,,
49,Tisana del Papa Luna,8422051234029,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,My Chew BOK,8801111187961,['France'],[],[],?,420,9,81,3,,,1757 kj(420 kcal),9,54,"0,034","0,014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Filet poulet fermier - Monoprix,0206968047235,['France'],[],[],?,?,?,?,?,"['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique']","['FR 85.223.001 CE', 'Sainte-Hermine (Vendée, France)']",,,,,,,,,,,,,,,,,,,,['Monoprix'],,['Monoprix'],,,,,,,,,,,,,,,,,,,,,,,,,,
52,Calvados Chateau Du Breuil 12 Ans,3103821104005,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Pomme bio,1230435797599,['France'],[],[],?,49,0,12,0,['Bio'],,205 kj(49 kcal),0,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
