,name,bar_code,eco_score,quantity,packaging,brand,categories,labels,manufacturing,link,sales_countries,ingredients_list,allergens,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,generic_name,ingredients_origins,traceability_code,additives,markets,palm_ingredients,brand_owner
1802,Endibias - Tacio - 450g,8421022900000,,450 g,,['Tacio'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Légumes-feuilles', 'Endives']",,,,"['France', 'Espagne']",[],,[],,?,,9,-36%,"0,2",+17%,"2,6",+25%,"1,1",+8%,,,,,,,,0.2 g,en faible quantité,0 g,en faible quantité,0.7 g,en faible quantité,0 g,en faible quantité,38 kj(9 kcal),-38%,0,-100%,"0,7",-44%,0,-100%,0,-100%,-6,,A,,,,,,,,
1803,Tortilla aux pommes de terre réfrigeré - Uprena - 500g,8421320310143,B,500 g,"['Frais', 'Plastique']",['Uprena'],"['Plats préparés', 'Réfrigérés', 'Plats préparés à réchauffer au micro-ondes', 'Plats préparés réfrigérés', 'Omelettes de pommes de terre', 'Tortillas']","['Viande Française', 'Viande Porcine Française', 'Point Vert', 'Fabriqué en Espagne']",['Espagne'],,['France'],"['Pomme de terre 59 %', 'œuf pasteurisé', ""Huile d'olive"", 'Huile de tournesol', 'Sel']",['Œufs'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",3,652,-40%,156,-43%,8,+13%,15,-65%,5,-30%,70.9%,11.4%,6.8%,5.8%,3.0%,2.1%,76,8 g,en quantité modérée,1.5 g,en quantité modérée,0.8 g,en faible quantité,1.1 g,en quantité modérée,652 kj(156 kcal),-42%,"1,5",-6%,"0,8",-51%,"1,1",-11%,"0,44",-11%,1,-79%,B,-79%,,,['ES 26.2638/NA CE'],,,,
1804,Copos de cacao - Alipende - 500g,8421691768642,C,500 g,,['Alipende'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner']",,,,"['France', 'Espagne']",[],,[],,?,,390,-2%,"4,5",-48%,"78,2",+17%,"6,2",-34%,74.0%,13.1%,5.1%,5.5%,2.3%,0.0%,60,4.5 g,en quantité modérée,2.4 g,en quantité modérée,25.4 g,en quantité élevée,0.2 g,en faible quantité,1632 kj(390 kcal),-2%,"2,4",+9%,"25,4",+52%,"0,2",-44%,"0,08",-44%,11,+104%,D,+104%,,,,,,,
1805,Patatas fritas tradicionales,8421954900017,,,,,"['Snacks', 'Snacks salés']",,,,"['France', 'Espagne']",[],,[],,?,,540,+17%,"34,7",+43%,"47,3",-1%,"7,8",-8%,,,,,,,,34.7 g,en quantité élevée,3.4 g,en quantité modérée,0.1 g,en faible quantité,0.2 g,en faible quantité,2259 kj(540 kcal),+17%,"3,4",-20%,"0,1",-97%,"0,2",-87%,"0,08",-87%,5,-59%,C,-59%,,,,,,,
1806,Chorizo doux,8422003001242,,,,,,,,,['France'],[],,[],,?,,479,,43,,2,,21,,,,,,,,,,,,,,,,,2004 kj(479 kcal),,17,,"0,5",,3,,"1,2",,,,,,,,,,,,
1807,La bocateria - gouda - Flor De Burgos - 100g,8422241806418,D,100g,['Frais'],['Flor De Burgos'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages en tranches']",,,,"['France', 'Espagne']","['Lait pasteurisé de vache', 'ferments lactiques ', 'lait', 'présure', 'sel']",['Lait'],"['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",3,?,,357,+5%,29,+8%,0,-100%,24,+4%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,29 g,en quantité élevée,18.9 g,en quantité élevée,0 g,en faible quantité,1.8 g,en quantité élevée,1494 kj(357 kcal),+5%,"18,9",+4%,0,-100%,"1,8",+5%,"0,72",+5%,16,+2%,D,+2%,,,,,,,
1808,Ametlles - Bonpreu,8422410137091,E,,,['Bonpreu'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Amandes']",,,,"['France', 'Espagne']",[],,[],,?,,607,-3%,54,+4%,"4,8",-60%,19,-14%,96.4%,0.5%,1.0%,1.5%,0.7%,0.0%,11,54 g,en quantité élevée,4.2 g,en quantité modérée,3 g,en faible quantité,0.03 g,en faible quantité,2540 kj(607 kcal),-2%,"4,2",+1%,3,-28%,"0,03",-88%,"0,012",-88%,1,+15%,B,+15%,,,,,,,
1809,Choriza extra fort - Bonpreu,8422410243754,,,,['Bonpreu'],,,,,['France'],[],,[],,?,,445,,37,,"1,4",,27,,,,,,,,,,,,,,,,,1862 kj(445 kcal),,14,,"0,5",,"3,4",,"1,36",,,,,,,,,,,,
1810,Pipes - Bonpreu,8422410621453,,,,['Bonpreu'],,,,,['France'],[],,[],,?,,641,,55,,"4,4",,30,,,,,,,,,,,,,,,,,2682 kj(641 kcal),,"5,7",,"3,9",,"1,9",,"0,76",,,,,,,,,,,,
1811,"Tofu - Ecocesta - 440g (neto), 250g (escurrido)",8422584000542,B,"440 g (neto), 250 g (escurrido)","['Tarro', 'Vidrio', 'En conserva']",['Ecocesta'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Substituts de viande', 'Tofu']","['Bio', 'Végétarien', 'Bio européen', 'Agriculture non UE', 'Végétalien', 'Sans colorants', 'Sans conservateurs']","['Cataluña', 'España']",http://www.ecocesta.com/productos/productos-en-conserva/tofu,"['France', 'Espagne']","['agua', 'soja* y gelificante: nigari', ' Líquido de cobertura: agua y sal', ' ', '*', '=De agricultura ecológica']",['Soja'],"['Végétalien', 'Végétarien']",3,?,,148,0%,"8,55",-2%,"1,62",-26%,"15,2",+9%,15.9%,34.2%,17.4%,15.8%,9.7%,7.0%,97,8.55 g,en quantité modérée,1.35 g,en faible quantité,0.03 g,en faible quantité,0.1 g,en faible quantité,619 kj(148 kcal),-1%,"1,35",-6%,"0,03",-95%,"0,1",-85%,"0,04",-85%,-3,,A,,Tofu en conserva ecológico,,['BIOGRÁN S.L.'],,"['Carrefour', 'Alcampo']",,
1812,Granero Integral Agave Syrup Bio - Biogran S.L,8422584018745,,,,['Biogran S.L'],,"['Bio', 'Bio européen', 'ES-ECO-002-CM']",,,['France'],[],,[],,?,,310,,0,,78,,0,,,,,,,,,,,,,,,,,1297 kj(310 kcal),,0,,70,,0,,0,,,,,,,,,,,,
1813,"Aceite de Oliva Virgen Extra Oleoestepa Arbequina Lata 2,5L -",8422975002049,D,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",,,,['France'],[],,[],,?,,819,-5%,91,-5%,0,,0,,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,91 g,en quantité élevée,16 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,3427 kj(819 kcal),-4%,16,+14%,0,,0,-100%,0,-100%,7,+14%,C,+14%,,,,,,,
