,name,bar_code,eco_score,quantity,packaging,brand,categories,labels,manufacturing,link,sales_countries,ingredients_list,allergens,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,generic_name,ingredients_origins,traceability_code,additives,markets,palm_ingredients,brand_owner
0,Brasserie des Cimes - 33cl,3760027050217,C,33 cl,"['Bouteille', 'Verre', 'Capsule', 'Métal']",['Brasserie des Cimes'],"['Boissons', 'Boissons alcoolisées', 'Produits artisanaux', 'Bières', 'Alcools artisanaux', 'Bières françaises', 'Bières ambrées', 'Bières artisanales']","['Point Vert', 'Déconseillé aux femmes enceintes']","['Aix les bains', 'France']",http://www.brasserie-des-cimes.com/nos-bieres/3-piste-noire,['France'],"['Eau', ""Malt d'orge"", 'Houblon', 'Levure']",['Gluten'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,?,,?,,?,,?,,?,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Harissa -,3760030141971,C,,,,"['Epicerie', 'Sauces', 'Harissas']",,,,['France'],[],,[],,?,,96,-9%,"3,1",-30%,"15,1",+66%,"1,3",-48%,78.7%,9.3%,4.7%,4.8%,2.0%,0.5%,57,3.1 g,en quantité modérée,0 g,en faible quantité,9.4 g,en quantité modérée,92 g,en quantité élevée,402 kj(96 kcal),-10%,0,-100%,"9,4",+154%,92,+2407%,"36,8",+2407%,13,+53%,D,+53%,,,,,,,
2,Huile D'amande Vierge Bio - 250 ML - La Mandorle,3760030728110,,,,['La Mandorle'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Fruits à coques et dérivés', 'Matières grasses végétales', 'Huiles', 'Huiles de fruits à coques', ""Huiles d'amande""]",['Bio'],,,['France'],[],,[],,?,,900,+22%,100,+22%,0,,0,,,,,,,,,100 g,en quantité élevée,9 g,en quantité élevée,0 g,en faible quantité,,,3766 kj(900 kcal),+22%,9,+27%,0,,,,,,,,,,,,,,,,
3,Terrine au Vouvray - Hardouin - 150g,3760031460439,,150 g,"['Bocal', 'Verre']",['Hardouin'],['Terrines'],,['France'],,['France'],"['Gorge de porc découennée ', '50%', 'viande de porc ', '30%', 'jus de porc', 'foie de porc ', '16%', 'oignons', 'oeufs', 'échalotes', 'vin : Vouvray ', '1%', 'lait', 'sel', 'persil', 'ail', 'gelée', 'poivre', 'épices', 'laurier', 'lactose', 'exhausteur de goût : glutamate de sodium', 'acidifiant : acide citrique', 'conservateur : nitrate de potassium', 'colorant : cochenille']","['Œufs', 'Lait']","['Non végétalien', 'Non végétarien']",4,?,,246,-18%,"20,3",-21%,"2,7",+24%,13,-7%,,,,,,,,20.3 g,en quantité élevée,7.5 g,en quantité élevée,1.6 g,en faible quantité,1.23 g,en quantité modérée,1029 kj(246 kcal),-18%,"7,5",-21%,"1,6",+105%,"1,23",-20%,"0,492",-20%,15,-15%,D,-15%,Terrine,['France'],"['FR 37.281.031 CE', 'Vouvray (Indre-et-Loire, France)']","['E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique', 'E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition', 'E120 - Acide carminique']",,,
4,Pur jus de pomme pétillant - Chateau Lézergué,3760031903028,,,,['Chateau Lézergué'],['Boissons'],,,,['France'],"['Jus de pomme', 'dioxyde de carbone,']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",4,?,,48,-14%,"0,33",-5%,"11,2",-1%,0,-100%,,,,,,,,0.33 g,en faible quantité,0 g,en faible quantité,10 g,en quantité élevée,0.1 g,en faible quantité,201 kj(48 kcal),-17%,0,-100%,10,+6%,"0,1",+141%,"0,04",+141%,12,+57%,E,+57%,,,,['E290 - Dioxyde de carbone'],,,
5,Écrase de pomme de terre façon grand mère - Polenghi - 450g,3760032002737,,450 g,['Surgelé'],"['Polenghi', 'Pôle Bistro']",,"['Sans additifs', 'Sans colorants', 'Sans conservateurs', 'Sans colorants ou conservateurs']",['France'],,['France'],"['Pomme de terre 68,2%', 'lait entier 20%', 'beurre de baratte 11,3%', 'sel de Guérande 0,5%', ' Contient : lait et dérivés', ' Fabriqué dans un atelier utilisant : gluten', 'oeuf', 'mollusque', 'crustacé', 'poisson', 'fruits à coque', 'céleri', 'soja', 'moutarde', ' c nservation ']",['Lait'],['Non végétalien'],,?,,145,,"11,8",,"7,6",,"1,5",,,,,,,,,,,,,,,,,607 kj(145 kcal),,"8,3",,"0,7",,"0,625",,"0,25",,,,,,,,,,,,
6,Pomme de terre,3760032216318,B,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Pommes de terre']",,,,['France'],[],,[],,?,,80,-18%,"0,1",-95%,19,+8%,2,-1%,28.6%,0.0%,23.6%,24.0%,19.8%,4.1%,98,0.1 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,335 kj(80 kcal),-18%,0,-100%,0,-100%,0,-100%,0,-100%,-6,,A,,,,,,,,
7,Marrons - Inovchataigne Sas,3760032460216,,,,['Inovchataigne Sas'],,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,['France'],['100% Marrons'],,"['Sans huile de palme', 'Végétalien', 'Végétarien']",,?,,225,,1,,"48,8",,"2,7",,,,,,,,,,,,,,,,,941 kj(225 kcal),,"0,2",,"7,2",,0,,0,,,,,,,,,,,,
8,Mielle de montagne,3760033830087,,,,,,,,,['France'],[],,[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Puree de framboise -,3760034318072,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés']",['Fabriqué en France'],,,['France'],"['Framboise 90%', 'sucre 10%']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Gnocchi de Pommes de Terre - La Pasta  - 500g,3760034770108,B,500 g,"['Plastique', 'Frais']","['La Pasta', 'Pietro Castelli']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Plats préparés', 'Plats à base de pâtes', 'Gnocchi', 'Plats à base de pommes de terre', 'Gnocchi de pommes de terre']","[""Pommes de terre de l'UE""]","['Marseille', 'Italie']",http://castelli-sas.fr/fr/produits-frais-castelli/pates-fraiches/id-313-gnocchi#hautpage,['France'],"['Purée de pommes de terre 70% [eau', 'flocons de pommes de terre déshydratées ', 'pommes de terre', 'émulsifiant: mono et diglycérides des acides gras', 'arômes naturels', ']', 'farine de froment', 'amidon de pomme de terre', 'farine de riz', 'sel', ""correcteur d'acidité: acide lactique"", 'conservateur: sorbate de potassium', 'épices']",['Gluten'],[],4,?,,154,+4%,"0,3",-97%,"33,3",+285%,4,-6%,46.0%,1.2%,22.2%,18.3%,9.7%,2.6%,97,0.3 g,en faible quantité,0.1 g,en faible quantité,0.3 g,en faible quantité,0.36 g,en quantité modérée,644 kj(154 kcal),+5%,"0,1",-91%,"0,3",-67%,"0,36",-63%,"0,144",-63%,-1,-131%,A,-131%,gnocchis de pommes de terre,['Union européenne'],,"[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E270 - Acide lactique', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",['Voie Verte'],,
11,Moulins d'Ascq Blonde - 75cl,3760035360018,B,75 cl,"['Bouteille', 'Verre']","[""Moulins d'Ascq""]","['Boissons', 'Boissons alcoolisées', 'Produits artisanaux', 'Bières', 'Alcools artisanaux', 'Bières françaises', 'Bières artisanales', 'Bières blondes']","['Bio', 'Bio européen', 'Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE', 'FR-BIO-01']","[""Villeneuve d'Ascq"", 'France']",,['France'],"['EAU', ""MALT D'ORGE"", 'SUCRE""', 'HOUBLONS', 'LEVURE']",['Gluten'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,?,,?,,?,,?,,?,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,,,,,,,,,,,,,,,,,,,,,,,Bière artisanale des Flandres,,,,,,
12,Cereadej - De bardot - 500g,3760036480500,,500g,,['De bardot'],,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,['France'],[],,[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"Bq.fil.anchois Ail 200G, - Delicemer - 200g",3760036822621,,200 g,,['Delicemer'],,,,,['France'],[],,[],,?,,203,,"14,75",,0,,"17,6",,,,,,,,,,,,,,,,,849 kj(203 kcal),,"4,89",,0,,"3,55",,"1,42",,,,,,,,,,,,
14,Delice de Thon Piquant,3760036824151,,,,,,,,,['France'],[],,[],,?,,301,,28,,"2,8",,"8,2",,,,,,,,,,,,,,,,,1259 kj(301 kcal),,"2,2",,"2,2",,"1,2",,"0,48",,,,,,,,,,,,
15,Chair de poisson crabe DELICEMER - 300g,3760036824557,,300g,['boîte en plastique'],['Delicemer'],"['Snacks', 'Snacks salés', 'Produits à tartiner', 'Apéritif', 'Plats préparés', 'Entrées', 'Entrées froides']",,,,['France'],"['poisson 38% ', ' chair de poisson 15%', ' eau', 'oeuf', 'amidon de blé', 'huile de colza', 'protéines de soja', 'sucre', 'sel', 'arome ', 'crustacé', 'amidon modifié', 'exhausteurs de goûr E120 E160c', 'stabilisants E407 E420 E452', ' huile de colza', ' chair de crabe 10%', ' oeufs 8%', 'eau', ""jaune d'oeuf"", 'vinaigre', 'moutarde ', 'sel', 'epices', ' arôme ', 'mollusque', 'crevette', 'poisson', 'algues marines', 'extrait de levure', ' ', ' dextrose', ""extraits de plantes aromatiques et d'épices"", 'poivre', 'fève alimentaire', 'maltrodextrine', 'graisse de palme', 'proteines de lait', 'lactose', 'huile de tournesol', 'conservateurs: E202', 'E211', 'acidifiants E260', 'E325', 'E330', 'E575', ' stabilisants E412', 'E415']","['Crustacés', 'Œufs', 'Poisson', 'Lait', 'Mollusques', 'Moutarde']","['Huile de palme', 'Non végétalien', 'Non végétarien']",4,?,,374,+225%,36,+407%,"4,6",-40%,7,+98%,,,,,,,,36 g,en quantité élevée,3 g,en quantité modérée,1.5 g,en faible quantité,1.4 g,en quantité modérée,1565 kj(374 kcal),+219%,3,+268%,"1,5",-37%,"1,4",+56%,"0,56",+56%,12,+852%,D,+852%,,,,"['E14XX - Amidons modifiés', 'E160c - Extrait de paprika', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E420 - Sorbitol', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E211 - Benzoate de sodium', '', 'Risque élevé de sur-exposition', 'E260 - Acide acétique', 'E325 - Lactate de sodium', 'E330 - Acide citrique', 'E575 - Glucono-delta-lactone', 'E412 - Gomme de guar', 'E415 - Gomme xanthane']",['Poissonnier'],['Huile de palme'],
16,Œufs de lompe noirs - Delicemer,3760036825271,,,,['Delicemer'],"['Conserves', 'Frais', 'Œufs de poisson', 'Semi-conserves', 'Œufs de lump', 'en:Oeufs de lompe']",,,,['France'],"['oeufs de lompe ', 'poisson', ' 82% ', 'Cyclopterus Lumpur pêché en Atlantique Nord-Est ou Nord-Ouest', 'eau', 'sel', 'stabilisant : gomme guar', ""colorants : caramel au sulfite d'ammonium et noir brillant BN"", 'antioxydant : acide citrique', 'conservateurs : sorbate de potassium et benzoate de sodium,']",['Poisson'],"['Non végétalien', 'Non végétarien']",4,?,,82,-4%,"4,2",+10%,0,-100%,11,+11%,,,,,,,,4.2 g,en quantité modérée,0.7 g,en faible quantité,0 g,en faible quantité,4.5 g,en quantité élevée,343 kj(82 kcal),-3%,"0,7",-23%,0,-100%,"4,5",+3%,"1,8",+3%,11,+37%,D,+37%,,,,"['E412 - Gomme de guar', ""E150d - Caramel au sulfite d'ammonium"", 'E151 - Noir brillant BN', 'E330 - Acide citrique', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E211 - Benzoate de sodium', '', 'Risque élevé de sur-exposition']",,,
17,Gelée de Myrte - Jean-Paul Vincensini et fils - 360g,3760036843602,D,360 g,,['Jean-Paul Vincensini et fils'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Gelées de fruits', 'Gelées de myrtes']",['Bio'],,,['France'],[],,[],,?,,229,-8%,"0,1",+57%,"55,2",-11%,"0,4",+63%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,0.1 g,en faible quantité,0 g,en faible quantité,50.5 g,en quantité élevée,0 g,en faible quantité,958 kj(229 kcal),-9%,0,-100%,"50,5",-14%,0,-100%,0,-100%,11,-8%,D,-8%,,,,,,,
18,Confiture corse extra - Fraise cédrat - JEAN PAUL VINCENSINI ET FILS - 360g,3760036843763,C,360 g,"['Bocal verre', 'Couvercle métal']",['JEAN PAUL VINCENSINI ET FILS'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de fraises']","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Fabrication artisanale']",['20244 San Lurenzu'],http://corse-bio.fr/,['France'],"['Fraise*', 'sucre de canne roux*', 'Cédrat* de Corse ', '5%', 'jus de citron*', 'pectine de fruit si nécessaire', "" *Issu de l'agriculture biologique"", ' Préparée avec 55g de fruit pour 100g']",,[],4,?,,234,+8%,0,-100%,"56,3",+6%,"0,4",-10%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,0 g,en faible quantité,0 g,en faible quantité,48.5 g,en quantité élevée,0 g,en faible quantité,979 kj(234 kcal),+7%,0,-100%,"48,5",-4%,0,-100%,0,-100%,11,+26%,D,+26%,Confiture,,,['E440 - Pectines'],"['Casino', 'U', 'Leclerc']",,
19,Poivre noir* et poivre blanc* - Notre Terre - 50g,3760037595487,B,50 g,"['Verre', 'Flacon', 'Plastique']","['Notre Terre', 'Le Temps des Mets']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', 'Poivres', 'Mélanges de poivres']","['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01', 'Point Vert', 'Fabriqué en France', 'AB Agriculture Biologique', 'Fabrication artisanale']","['France', 'Var']",,['France'],"['Poivre noir en grain 50 %', 'poivre blanc en grain 50 %']",,[],1,?,,186,+313%,"2,7",+120%,"34,7",+277%,"10,7",+308%,41.9%,0.0%,34.8%,11.8%,11.5%,0.0%,94,2.7 g,en faible quantité,0.9 g,en faible quantité,0.3 g,en faible quantité,0.1 g,en faible quantité,778 kj(186 kcal),+198%,"0,9",+256%,"0,3",-38%,"0,1",-88%,"0,04",-88%,,,,,,,,,['Leclerc'],,
20,Sirop saveur tarte aux fraises,3760037597894,,,,,,,,,['France'],[],,[],,?,,244,,"0,65",,"60,5",,"0,2",,,,,,,,,,,,,,,,,1021 kj(244 kcal),,0,,"57,5",,"0,01",,"0,004",,,,,,,,,,,,
21,Bleu D'auvergne Aop - Cartry,3760038278037,D,,,['Cartry'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages à pâte persillée', 'Fromages à pâte persillée français', 'Fromages pasteurisés', ""Bleus d'Auvergne""]",,,,['France'],"['Lait de vache pasteurisé', 'sel', 'présure', 'ferments lactiques et d affinage', 'chlorure de calcium', 'Penicillium Roqueforti']",['Lait'],"['Sans huile de palme', 'Non végétalien']",3,?,,350,+1%,26,-9%,1,+39%,22,+7%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,26 g,en quantité élevée,20 g,en quantité élevée,0 g,en faible quantité,2.45 g,en quantité élevée,1464 kj(350 kcal),+2%,20,-0%,0,-100%,"2,45",-9%,"0,98",-9%,19,0%,E,0%,,,,,,,
22,Carottes - La Belle Du Jardin,3760038600173,,,,['La Belle Du Jardin'],,,,,['France'],[],,[],,?,,33,,0,,"6,7",,"0,4",,,,,,,,,,,,,,,,,138 kj(33 kcal),,0,,"6,5",,0,,0,,,,,,,,,,,,
23,Rillettes de porc noir de bigorre - Le Noir De Bigorre - 800g,3760039288714,D,800 g,,['Le Noir De Bigorre'],"['Viandes', 'Produits à tartiner', 'Charcuteries', 'Produits à tartiner salés', 'Rillettes', 'Rillettes de viande', 'Rillettes de viande rouge', 'Rillettes de porc']",,,,['France'],"['viande et gras de Porc Noir de Bigorre AOC', 'carottes', ' oignons', ' sel', 'poivre']",,[],3,?,,409,+4%,"37,4",+2%,"0,5",-1%,"18,2",+15%,74.1%,17.7%,4.6%,2.1%,1.2%,0.3%,39,37.4 g,en quantité élevée,15.4 g,en quantité élevée,0.5 g,en faible quantité,1.3 g,en quantité modérée,1711 kj(409 kcal),+4%,"15,4",+9%,"0,5",+47%,"1,3",+2%,"0,52",+2%,20,+3%,E,+3%,,,,,,,
24,Crème glacée Vanille Caramel beurre salé - L'Angélys,3760039986375,,,,"[""L'Angélys""]",,"['en:gluten-free', 'Sans conservateurs']",,,['France'],"['Eau', 'sucre', 'lait 1/2 écrémé pasteurisé', ""jaune d'oeuf"", 'crème', 'sirop de glucose de maïs', 'poudre de lait écrémé', 'beurre concentré', 'gousses de vanille Bourbon ', '0,6%', 'émulsifiant ', ""mono et diglycérides d'acide gras"", 'stabilisants ', 'farine de graines de caroube', 'farine de graine de guar', 'alginate de sodium', 'carraghénanes', 'eau caramel ', '15', '7%', ' ', 'saccharose', 'eau', 'poudre de lait écrémé', 'crème', 'beurre salé de barrate ', '7%', 'sucre', 'sirop de glucose de maïs', 'émulsifiant ', ""mono et diglycérides d'acides gras"", 'stabilisants ', 'farine de graines de caroube', 'farine de graines de guar', 'alginate de sodium', 'carraghénanes', 'chocolat ', 'beurre de cacao', 'sucre', 'colorant ', 'dioxyde de titane', 'décor en chocolat ', 'cacao', 'sucre', 'beurre de cacao', 'agent enrobage ', 'gomme arabique', 'saccharose', 'sirop de glucose', 'sheillac', 'gousses de vanille']","['Œufs', 'Lait']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",4,?,,193,,"9,1",,24,,"3,2",,,,,,,,,,,,,,,,,808 kj(193 kcal),,6,,17,,"0,2",,"0,08",,,,,,,,,"[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E410 - Gomme de caroube', 'E412 - Gomme de guar', 'E401 - Alginate de sodium', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E171 - Oxyde de titane', ""E414 - Gomme d'acacia""]",,,
25,OEUFS biologiques - Tanagra,3760040340029,C,,,['Tanagra'],"[""Produits d'élevages"", 'Œufs', 'Œufs de poules', 'Œufs de poules élevées en plein air']","['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,['France'],"['2 RNDOUILLETTES OE TROYES MEILLEUR OUVRIER DE FRRNCE : CHRUDINS ET ESTOMRCS DE PORC', 'OIGNONS', 'RCIDIFIRNT', ' 030', 'THYM']",,[],,?,,155,+12%,11,+11%,"1,1",+77%,13,+4%,91.5%,0.0%,3.5%,2.5%,1.7%,0.8%,51,11 g,en quantité modérée,3.3 g,en quantité modérée,1.1 g,en faible quantité,0.124 g,en faible quantité,649 kj(155 kcal),+12%,"3,3",+34%,"1,1",+119%,"0,124",-54%,"0,05",-54%,-1,,A,,,,"['EMB 38449', 'Saint-Quentin-Fallavier (Isère, France)']",,,,
26,Sauce premium mayonnaise,3760042090328,D,,,,"['Epicerie', 'Sauces', 'Mayonnaises']",['Fabriqué en France'],,,['France'],[],,[],,?,,177,-71%,"45,5",-31%,"2,96",+10%,"3,69",+200%,80.2%,9.6%,5.0%,3.2%,1.6%,0.4%,49,45.5 g,en quantité élevée,4.91 g,en quantité modérée,2.74 g,en faible quantité,0.75 g,en quantité modérée,741 kj(177 kcal),-71%,"4,91",-21%,"2,74",+88%,"0,75",-44%,"0,3",-44%,7,-61%,C,-61%,,,,,,,
27,Crêtes de coq nature,3760042900023,,,,,,,,,['France'],[],,[],,?,,385,,"3,7",,"66,7",,"15,4",,,,,,,,,,,,,,,,,1611 kj(385 kcal),,"0,8",,"1,1",,"0,1",,"0,04",,,,,,,,,,,,
28,12 Oeufs moyens LA FERME DE LA BIGOTTIERE,3760043550043,,,,,,,,,['France'],[],,[],,?,,142,,"9,86",,"0,8",,"12,6",,,,,,,,,,,,,,,,,594 kj(142 kcal),,0,,"0,22",,0,,0,,,,,,,,,,,,
29,Spécialité de sucre saveur violette,3760043783434,,,,,,,,,['France'],[],,[],,?,,0,,0,,100,,0,,,,,,,,,,,,,,,,,0 kj(0 kcal),,0,,100,,0,,0,,,,,,,,,,,,
30,Bloc de foie gras de canard - Douce Foie - 150g,3760044390716,B,150 g,,['Douce Foie'],"['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard', 'Bloc de foie gras', 'Foies gras mi-cuits', 'Foies gras de canard mi-cuits']",,,,['France'],"['foie gras de canard', 'eau', 'sel', 'Porto', 'Armagnac', 'épices', 'sucre', 'antioxydant : ascorbote de sodium', 'conservateur : nitrite de sodium']",,"['Non végétalien', 'Non végétarien']",3,?,,450,-14%,48,-12%,"1,5",-32%,5,-24%,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,48 g,en quantité élevée,21 g,en quantité élevée,0 g,en faible quantité,1.07 g,en quantité modérée,1883 kj(450 kcal),-14%,21,-9%,0,-100%,"1,075",+8%,"0,43",+8%,19,-5%,E,-5%,,,,"['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",,,
31,Limonade mangue - Elixia,3760045175077,,,,['Elixia'],['Boissons'],"['Sans arômes artificiels', 'Fabriqué en France', 'Sans colorants', 'Sans conservateurs']",,,['France'],"['Limonadiers dans le &angue— ', 'Izissue du massif Jurassien', 'des arômes un sucre pure canne', 'opère depuis 1856', 'pour vous offrir une limonade authentique upe au miracle du temps retrouvé', ' SeNirftslralSI']",,[],,?,,31,-45%,"0,1",-71%,"7,2",-36%,"0,2",-60%,,,,,,,,0.1 g,en faible quantité,0.1 g,en faible quantité,7.2 g,en quantité élevée,0 g,en faible quantité,130 kj(31 kcal),-46%,"0,1",-15%,"7,2",-24%,0,-100%,0,-100%,10,+31%,E,+31%,,,,,,,
32,Creme fraiche fermiere - Rothschild,3760045500213,,,,['Rothschild'],,,,,['France'],[],,[],,?,,287,,30,,2,,"2,3",,,,,,,,,,,,,,,,,1201 kj(287 kcal),,20,,2,,"0,025",,"0,01",,,,,,,,,,,,
33,Quernons d' ardoise - La Petite Marquise,3760046580108,,,"['Boîte', 'Carton']",['La Petite Marquise'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Confiseries de France', ""Quernons d'Ardoise""]",,,,['France'],"['sucre', 'beurre de cacao', 'poudre de lait', 'amandes', 'noisettes', 'dextrose', 'émulsifiant : lécithine de soja', 'arôme de vanille naturelle', 'colorants E132', 'E120']","['Lait', 'Fruits à coque', 'Soja']","['Non végétalien', 'Non végétarien']",4,?,,506,+13%,24,+56%,67,-1%,"0,4",-94%,,,,,,,,24 g,en quantité élevée,11.7 g,en quantité élevée,58 g,en quantité élevée,0.1 g,en faible quantité,2117 kj(506 kcal),+13%,"11,7",+488%,58,+3%,"0,1",+101%,"0,04",+101%,26,+64%,E,+64%,,,,"['E322i - Lécithine', ""E132 - Indigotine carmin d'indigo"", 'E120 - Acide carminique']",,,
34,Croquants aux noisettes,3760047875036,,,,,,"['Sans colorants', 'Sans conservateurs']",,,['France'],[],,[],,?,,421,,16,,62,,"6,1",,,,,,,,,,,,,,,,,1761 kj(421 kcal),,"1,2",,53,,"0,01",,"0,004",,,,,,,,,,,,
35,Poulpe Marinière 120 ml - Montperal,3760048332033,,,,['Montperal'],,,,,['France'],"['pot 100 g de producto I ', ' de ç', 'cdLit Valor energético I Enetgie Grasas I Lipides de las cuales saturadas I dont Hidratos de carbono I Glucides de los cuales uùcares I dont Sotte Proteinas I Protéines Sal / Sel']",,[],,?,,145,,"6,1",,"2,5",,20,,,,,,,,,,,,,,,,,607 kj(145 kcal),,"0,8",,0,,"1,2",,"0,48",,,,,,,,,,,,
36,Anchoïadine au fenouil - La Niçoise,3760048382526,,,,['La Niçoise'],,,,,['France'],[],,[],,?,,678,,"72,4",,"1,5",,"5,3",,,,,,,,,,,,,,,,,2837 kj(678 kcal),,"6,4",,"0,2",,"3,925",,"1,57",,,,,,,,,,,,
37,Saumon Atlantique Fumé,3760048441292,E,,,,"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés', 'Saumons Atlantique fumés']",,,,['France'],[],,[],,?,,171,-10%,"9,5",-12%,"0,5",-6%,21,-5%,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,9.5 g,en quantité modérée,2.5 g,en quantité modérée,0.5 g,en faible quantité,3 g,en quantité élevée,715 kj(171 kcal),-9%,"2,5",+17%,"0,5",+47%,3,+7%,"1,2",+7%,14,+4%,D,+4%,,,,,,,
38,Lentilles - Les Six Provinces,3760049550214,,,,['Les Six Provinces'],,,,,['France'],[],,[],,?,,104,,"3,6",,"10,3",,"5,7",,,,,,,,,,,,,,,,,435 kj(104 kcal),,"1,1",,"0,7",,"0,7",,"0,28",,,,,,,,,,,,
39,Baguette de savoie,3760049571059,,,,,,,,,['France'],[],,[],,?,,250,,"1,2",,53,,"8,2",,,,,,,,,,,,,,,,,1046 kj(250 kcal),,"0,3",,"1,8",,"1,4",,"0,56",,,,,,,,,,,,
40,Pain de mie,3760050920099,B,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains de mie']",,,,['France'],[],,[],,?,,275,+3%,"3,8",-15%,"49,5",+8%,"9,6",+14%,64.5%,20.4%,9.9%,4.5%,0.7%,0.0%,88,3.8 g,en quantité modérée,0.6 g,en faible quantité,4.9 g,en faible quantité,1.1 g,en quantité modérée,1151 kj(275 kcal),+3%,"0,6",-7%,"4,9",-6%,"1,1",-4%,"0,44",-4%,3,+107%,C,+107%,,,"['EMB 97213F', 'Lamentin (Martinique, France)']",,,,
