,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,traceability_code,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,packaging,labels,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,quantity,brand,markets,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,ingredients_origins,manufacturing,allergens,nova_score,additives,link,generic_name,palm_ingredients
163,Sirop saveur rose,3424096061108,['France'],[],[],?,248,"0,05",62,"0,2",,1038 kj(248 kcal),0,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,Tarallini al Peperoncino,8031301306197,['France'],[],[],?,500.29998779297,"23,5","61,8","9,7",,2093 kj(500 kcal),"3,4","0,132","2,3","0,92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,Pommes de Terre,3256226087999,['France'],[],[],?,0,?,?,?,,0 kj(0 kcal),,,,,,"['Bio', 'Bio européen', 'FR-BIO-10', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,Cordon bleu de volaille,0200005042641,['France'],[],[],?,261,17,14,12,,1092 kj(261 kcal),"4,5","1,6","1,29","0,516","['Barquette', 'Film en plastique']",,"['Viandes', 'Préparations de viande', 'Produits panés', 'Cordons bleus', 'Cordons bleus de volaille']",17 g,en quantité modérée,4.5 g,en quantité modérée,1.6 g,en faible quantité,1.29 g,en quantité modérée,,+2%,+2%,+4%,+5%,-1%,+7%,-1%,-1%,-1%,12,+5%,D,+5%,D,,,,76.4%,12.7%,2.3%,2.9%,1.2%,4.4%,39,,,,,,,,
167,Ice lollies little pony,3830053874733,['France'],[],[],?,191,"9,3",24,"2,7",,799 kj(191 kcal),"8,3",21,"0,12","0,048",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,Moutarde aux figues - Huilerie de Neuville,3324237304005,['France'],"['Graines de moutarde', ""vinaigre d'alcool"", 'eau', 'figues ', '18,5%', 'sel', ' Allergènes : sulfites et moutarde']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,201,13,10,"6,5",,841 kj(201 kcal),"0,8","7,6","4,9","1,96",,,"['Epicerie', 'Condiments', 'Sauces', 'Moutardes']",13 g,en quantité modérée,0.8 g,en faible quantité,7.6 g,en quantité modérée,4.9 g,en quantité élevée,,+18%,+18%,+20%,-2%,+45%,+97%,-1%,+4%,+4%,13,+12%,D,+12%,B,,['Huilerie de Neuville'],,57.4%,14.5%,21.8%,4.8%,1.5%,0.0%,75,,,['Moutarde'],3,,,,
169,Glace - Belle France,3258561410463,['France'],[],[],?,81,"0,1",20,"0,3",,339 kj(81 kcal),"0,1",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Belle France'],,,,,,,,,,,,,,,,
170,Suplement,5060385447048,['France'],[],[],?,?,?,?,?,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,Creme escargot a l'ail,3770008520196,['France'],[],[],?,?,?,?,?,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,Nougat,8710998435525,['France'],[],[],?,385,"9,7",69,"5,1",,1611 kj(385 kcal),"1,3",46,"0,1","0,04",,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Nougats']",9.7 g,en quantité modérée,1.3 g,en faible quantité,46 g,en quantité élevée,0.1 g,en faible quantité,,-14%,-14%,-41%,-34%,+6%,-15%,-29%,+33%,+33%,15,-6%,D,-6%,E,,,,91.0%,4.2%,2.3%,2.0%,0.5%,0.0%,34,,,,,,,,
173,Purée d'aubergine,3760248980287,['France'],[],[],?,33,"5,6","4,2","1,2",,138 kj(33 kcal),1,"3,2","0,4","0,16",,"['Bio', 'Bio européen', 'FR-BIO-15', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,Saumon fumé - Vici,4770190137478,['France'],[],[],?,194,12,"0,5",21,,812 kj(194 kcal),"1,7","0,5",3,"1,2",,,"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés']",12 g,en quantité modérée,1.7 g,en quantité modérée,0.5 g,en faible quantité,3 g,en quantité élevée,,+5%,+5%,+14%,-17%,+1%,+50%,-5%,+6%,+6%,13,-1%,D,-1%,E,,['Vici'],,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,,,,,,,,
175,Cornet simple,15758741,['France'],[],[],?,398,3,80,11,,1665 kj(398 kcal),"1,5",5,"0,78","0,312",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,Tenders de filet panes,18951219,['France'],[],[],?,199,"9,1",15,14,,833 kj(199 kcal),"0,8",0,3,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,Fusilli semi-complète ail des ours,3253511999937,['France'],[],[],?,?,?,?,?,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,Pain Agape,3707052860275,['France'],[],[],?,248,"0,7",49,"9,9",,1038 kj(248 kcal),"0,1","1,4","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,Ravioli jambon,3225412459179,['France'],[],[],?,213,"3,9",32,12,,891 kj(213 kcal),2,"1,8","0,84","0,336",,,"['Plats préparés', 'Plats à base de pâtes', 'Pâtes farcies', 'Pates farcies à la viande', 'Ravioli', 'Ravioli à la viande', 'Ravioli au jambon']",3.9 g,en quantité modérée,2 g,en quantité modérée,1.8 g,en faible quantité,0.84 g,en quantité modérée,,-13%,-13%,-30%,-11%,-14%,-28%,+11%,-11%,-11%,1,-73%,B,-73%,E,,,,92.9%,3.7%,1.3%,1.1%,0.6%,0.4%,19,,,,,,,,
