,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,traceability_code,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,packaging,labels,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,quantity,brand,markets,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,ingredients_origins,manufacturing,allergens,nova_score,additives,link,generic_name,palm_ingredients
278,"Condimento Bianco Villa Edda Bellei 0,50 L.",8033813740452,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,Kitkat -,20046491,['France'],[],[],2153,515,"26,9","58,5","8,2",,2153 kj(515 kcal),"15,1","45,2","0,15","0,06",,['Cocoa-plan'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,Sneakenergy,5056090907090,['France'],[],[],?,12,0,3,0,,50 kj(12 kcal),0,"0,5","0,58","0,232",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,Semillas - Arcor,41366134,['France'],[],[],?,424,15,61,10,,1774 kj(424 kcal),"1,3","5,4",2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,['Arcor'],,,,,,,,,,,,,,,,
282,Banane,0208634011359,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,2 escalopes de dinde,2431638020142,['France'],[],[],?,96,"0,3",1,23,,402 kj(96 kcal),"0,1","0,5","1,1","0,44",,,"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",0.3 g,en faible quantité,0.1 g,en faible quantité,0.5 g,en faible quantité,1.1 g,en quantité modérée,,-21%,-20%,-77%,-75%,-67%,-35%,+0%,+99%,+99%,0,,B,,D,,,,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,,,,,,,
284,Sorbet Fraise - Yeti,3332792004643,['France'],[],"['Végétalien', 'Végétarien']",?,69,"0,5","23,8","0,5",,289 kj(69 kcal),"0,5","21,7","0,05","0,02",,"['Bio', 'Végétarien', 'Bio européen', 'Végétalien', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,,,['Yeti'],,,,,,,,,,,,,,,,
285,Mini Calisson,3364474466548,['France'],[],[],?,442,"18,2","60,7",7,,1849 kj(442 kcal),"1,49","58,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,La trad’ici normande,3289669400513,['France'],[],[],?,262,"1,2",54,"7,9",,1096 kj(262 kcal),"0,2","1,6","1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,Swizzels Rainbow Drops 9PK,5010478479715,['France'],[],[],?,370,"0,5","88,7","2,8",,1548 kj(370 kcal),"0,1",64,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,Oursons Arômes naturels (bonbon bio),990530101004290664,['France'],[],[],?,333,"0,5",79,"4,2",,1393 kj(333 kcal),"0,1",55,,,,['Bio'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",0.5 g,en faible quantité,0.1 g,en faible quantité,55 g,en quantité élevée,,,,-6%,-7%,-73%,-91%,-5%,-5%,+98%,,,,,,,E,,,,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,,,,,,
289,Meringuettes natures,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,The blanc aromatisé,3770008012240,['France'],[],[],?,1,0,"0,2","0,1",,4 kj(1 kcal),0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291,3760020151539,3760020151539,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292,5407001311244,5407001311244,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293,Glaces issues de la ferme,3770014284013,['France'],[],[],?,186,"8,24","22,09","8,52","['FR 59.584.001 CE', 'Taisnières-sur-Hon (Nord, France)']",778 kj(186 kcal),"5,09","17,34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
294,Chili concarne,3353820006132,['France'],[],[],?,93,"2,1",9,"9,3",,389 kj(93 kcal),"0,5","1,8","0,55","0,22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,Parimonade kiwi,3770013801211,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296,Cipolline,8031403000924,"['France', 'Pays-Bas']",[],[],?,?,?,?,?,,,,,,,['Confezione'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297,Infusion drainage - Juvamine,3160920645204,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Juvamine'],,,,,,,,,,,,,,,,
298,8711258000996,8711258000996,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
299,Wok de legumes,2868070019296,['France'],[],[],?,19,"0,5","2,1","1,6",,79 kj(19 kcal),"0,1","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,Tex mex barbecue,2617395050251,['France'],[],[],?,0,?,?,?,,0 kj(0 kcal),,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,Pailles Framboise,0297588019023,['France'],[],[],?,384,21,45,"3,3",,1607 kj(384 kcal),14,26,"0,68","0,272",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,Nuts snacks peanuts cranberry,5711070606492,['France'],[],[],?,509,29,46,14,,2130 kj(509 kcal),3,29,"0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,2445720066055,2445720066055,['France'],[],[],?,?,?,?,?,"['FR 03.236.001 CE', 'Saint-Germain-des-Fossés (Allier, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,Happy snack,4015271006633,['France'],[],[],?,251.60000610352,10,"2,6","10,9",,1053 kj(251 kcal),"6,8","0,1","1,72","0,688",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,0234164028734,0234164028734,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,2051768074916,2051768074916,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,2050694044475,2050694044475,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,Pizza vegetatienne,4015271006473,['France'],[],[],?,193.19999694824,"4,9","28,5","8,6",,808 kj(193 kcal),"3,1","1,7","1,48","0,592",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,Huile de graines mélangées,8052440072156,['France'],[],[],?,828,92,0,0,,3464 kj(828 kcal),5,0,0,0,,"['Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,2040344015221,2040344015221,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,2040356017053,2040356017053,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,2040077011941,2040077011941,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313,Pain de mie Wiso,2020002342746,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,Vinaigrette Sweet onion,0062287212118,['France'],[],[],?,40,"2,5",4,0,,167 kj(40 kcal),"0,2",4,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,Lait de coco léger,4796014576124,['France'],[],[],?,119,12,"1,7",1,,498 kj(119 kcal),11,1,0,0,,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Substitut du lait', 'Boissons végétales', 'Laits de coco']",12 g,en quantité élevée,11 g,en quantité élevée,1 g,en faible quantité,0 g,en faible quantité,,-25%,-24%,-23%,-19%,-39%,-40%,-21%,-100%,-100%,11,+16%,D,+16%,B,,,,30.3%,10.4%,21.2%,23.2%,11.5%,3.4%,75,,,,,,,,
316,Gouda oud,8710866043685,"['France', 'Pays-Bas']",[],[],?,?,?,?,?,,,,,,,['Kunststoff'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,Palmier Dirés,3760040506821,['France'],[],[],?,471,26,53,6,,1971 kj(471 kcal),18,"2,2","0,49","0,196",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318,Acai berry,8720165831142,['France'],[],[],?,20,0,"4,9",0,,84 kj(20 kcal),0,"4,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,Seau Lapin Or,4000539614149,['France'],[],[],?,553,33,56,7,,2314 kj(553 kcal),18,54,"0,22","0,088",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,Brochette de porc,0212066024207,['France'],[],[],?,99,"3,4","0,6","0,15",,414 kj(99 kcal),"1,4","0,5","0,15","0,06",,['Point Vert'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,Miel de romarin,3586441000221,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,The - Piramide,8711812420444,['France'],[],[],?,1,0,"0,2","0,1",,4 kj(1 kcal),0,0,0,0,,"['Bio', 'Bio européen', 'Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE']",,,,,,,,,,,,,,,,,,,,,,,,,,['Piramide'],,,,,,,,,,,,,,,,
323,Chips,3760069560750,['France'],[],[],?,535,"32,4","53,6","5,4",,2238 kj(535 kcal),"5,1","0,8","0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,Boulgour oriental - Knorr,47252844,['France'],[],[],?,94,"0,7",17,"3,1",,393 kj(94 kcal),"0,2","2,6","0,63","0,252",,,,,,,,,,,,,,,,,,,,,,,,,,,,['Knorr'],,,,,,,,,,,,,,,,
325,Gélatine saveur maracuja - Royal,7622201122720,['France'],[],[],?,163,0,"8,3","1,3",,163 kj(163 kcal),0,"8,2","0,1","0,04",,,"['Aides culinaires', 'Préparations pour desserts', 'Préparations pour desserts gélifiés']",0 g,en faible quantité,0 g,en faible quantité,8.2 g,en quantité modérée,0.1 g,en faible quantité,,-73%,-72%,-100%,-100%,-71%,-62%,-63%,-63%,-63%,1,-31%,B,-31%,,,['Royal'],,,,,,,,,,,,,,,,
326,Travers de pors caissettes,0248516041784,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,Leche y almendras - Maruja,8425193712066,['France'],[],[],?,536,32,53,"6,9",,2243 kj(536 kcal),25,52,"0,11","0,044",,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats au lait', 'Chocolats aux amandes', 'Chocolats au lait aux amandes']",32 g,en quantité élevée,25 g,en quantité élevée,52 g,en quantité élevée,0.11 g,en faible quantité,,-4%,-3%,-11%,+40%,+11%,+16%,-23%,-57%,-57%,26,+4%,E,+4%,E,,['Maruja'],,84.1%,11.8%,1.2%,2.5%,0.4%,0.0%,24,,,,,,,,
328,Mozzarella di Buffalo campant A.O.P - Auchan,3596710470792,['France'],[],[],?,262,29,"0,7",13,,1096 kj(262 kcal),16,"0,7","0,57","0,228",,"['Nutriscore', 'Nutriscore C']","['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Fromages à pâte filée', 'Fromages au lait de bufflonne', 'Mozzarella', 'Mozzarella de bufflonne']",29 g,en quantité élevée,16 g,en quantité élevée,0.7 g,en faible quantité,0.57 g,en quantité modérée,,-2%,-2%,+26%,+1%,-6%,+14%,-10%,-7%,-7%,10,-2%,C,-2%,D,,['Auchan'],['Auchan'],84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,
329,La baguette Mont d’Or,2030000026616,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,Mélange sportif,2600688071835,['France'],[],[],?,?,?,?,?,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,Artichauts Coeurs,3251582000071,['France'],[],[],?,24,"0,3","2,1","1,5",,100 kj(24 kcal),"0,1","1,1","0,83","0,332",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,Galette chevre bacon,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,Pâté aux noisettes,3429490020157,['France'],[],[],?,268,22,"0,9",16,"['FR 55.570.002 CE', 'Villotte-sur-Aire (Meuse, France)']",1121 kj(268 kcal),9,"0,9","1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334,Twil Salted Caramel,06810136,['France'],[],[],?,491,24,65,"4,3",,2054 kj(491 kcal),14,49,"0,83","0,332",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335,Boudoirs à la farine d'épeautre,8001703101348,['France'],[],[],?,384,"2,83","81,97","7,56",,1607 kj(384 kcal),1,42,"0,25","0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336,Reblochon de Savoie,2204678002757,['France'],[],[],?,338,"28,1","0,6","20,5",,1414 kj(338 kcal),"22,1","0,5","1,3","0,52",,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Reblochons']",28.1 g,en quantité élevée,22.1 g,en quantité élevée,0.5 g,en faible quantité,1.3 g,en quantité modérée,,+4%,+5%,+5%,+18%,+63%,+121%,+2%,-3%,-3%,14,-2%,D,-2%,D,,,,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,
337,Tapenade Verte - Barral,3101150026562,['France'],[],[],?,?,?,?,?,,,,,,,,,"['Produits à tartiner', 'Produits à tartiner salés', 'Tapenades', 'Tapenades vertes']",,,,,,,,,,,,,,,,,,,,,,,C,,['Barral'],,58.6%,12.7%,16.0%,8.1%,2.7%,1.9%,71,,,,,,,,
338,Pâté piquant au piment d’espelette,3255967834121,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339,Fuet,8421395047012,['France'],[],[],?,478,38,"3,3",30,,2000 kj(478 kcal),14,"2,6","4,3","1,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,Compal orange,9601157674451,['France'],[],[],?,44,0,10,"0,6",,184 kj(44 kcal),0,"8,4",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,Mozzarella di bufala,3701002404816,['France'],[],[],?,288,25,"0,8",15,,1205 kj(288 kcal),17,"0,5","0,56","0,224",,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Fromages à pâte filée', 'Fromages au lait de bufflonne', 'Mozzarella', 'Mozzarella de bufflonne']",25 g,en quantité élevée,17 g,en quantité élevée,0.5 g,en faible quantité,0.56 g,en quantité modérée,,+7%,+8%,+8%,+8%,+8%,-19%,+4%,-8%,-8%,10,-2%,C,-2%,D,,,,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,
342,Glace au chocolat blanc - Glace de la Ferme,8718531518551,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Glace de la Ferme'],,,,,,,,,,,,,,,,
343,Tomme noire Pyrénéen IGP pasteurisés 28%,2823344017323,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,Nuts,6128888140008,['France'],[],[],?,663,"69,3","4,8","24,6",,2774 kj(663 kcal),"4,6","4,7","0,96","0,384",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345,Up in box,8032532381465,['France'],[],[],?,523,30,60,"8,4",,2188 kj(523 kcal),"5,4","0,8","1,7","0,68",,['Fabriqué en Italie'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346,Pain de mie Jacquet,0205670008664,['France'],[],[],?,255,"3,2",46,"8,7",,1067 kj(255 kcal),"0,3","3,9","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347,Sorbet Orange Bio,3770006482236,['France'],[],[],?,111,"0,2",26,"0,5",,464 kj(111 kcal),"0,2","24,3","0,1","0,04",,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348,Riz au lait a la vanille de Madagascar,3454130001043,['France'],[],[],?,172,"8,4",21,"3,1",,720 kj(172 kcal),"5,5",13,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349,Ananas,5050372130503,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350,Pain muesli,2607917020664,['France'],[],[],?,?,?,?,?,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351,Baguette au pavot,3602826451355,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352,Miel de chataignier,3760004220121,['France'],[],[],?,?,?,?,?,,,0,,,,,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de châtaignier']",,,0 g,en faible quantité,,,,,,,,,-100%,,,,,,,,,,B,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,
353,Authentic FETA cheese cubes falani,5202425000992,['France'],[],[],?,267,22,"0,2","16,8",,1117 kj(267 kcal),"15,6","0,2","2,2","0,88",,['Point Vert'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de Grèce', 'Fetan', 'Cubes de feta']",22 g,en quantité élevée,15.6 g,en quantité élevée,0.2 g,en faible quantité,2.2 g,en quantité élevée,,-6%,-5%,-6%,+1%,-75%,-38%,+4%,-7%,-7%,17,-1%,D,-1%,D,,,,87.8%,4.4%,3.0%,3.1%,1.4%,0.4%,44,,,,,,,,
354,"Cookies chunks ""noir lait""",,['France'],[],[],?,466,24,58,"4,5",,1950 kj(466 kcal),13,38,"0,29","0,116",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355,Miel de Fleurs,3375801667071,['France'],[],[],?,?,?,?,?,,,,,,,,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de fleurs']",,,,,,,,,,,,,,,,,,,,,,,B,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,
356,Bière,3119783937636,['France'],[],[],?,?,?,?,?,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357,Foie gras de canard,3760105960186,['France'],[],[],?,468,"48,2","1,8","6,8",,1958 kj(468 kcal),"19,3","1,7","1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358,Filet de poulet,2276746036476,['France'],[],[],?,95,"0,6","1,2",21,,397 kj(95 kcal),0,0,1,"0,4",,,['en:Filets de Poulet'],0.6 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,1 g,en quantité modérée,,-19%,-19%,-77%,-100%,+80%,-100%,-7%,+55%,+55%,0,,B,,,,,,,,,,,,,,,,,,,,
359,Majuscule 72199 Maju,3266810721994,['France'],[],[],?,13,10,0,0,,54 kj(13 kcal),10,0,10,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360,Filet de truite rose,0206222046387,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361,Farine d amande,3760273960247,['France'],[],[],?,551,"35,3","22,5","35,8",,2305 kj(551 kcal),"3,07","4,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
362,Saveur lemonlime,3560271464903,['France'],[],[],?,28,0,"7,1",0,"['EMB 69278', 'Genay (Rhône, France)']",117 kj(28 kcal),0,"7,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
363,Sumo miso,4904783004322,['France'],[],[],?,221,"3,3","41,1","6,8",,925 kj(221 kcal),"0,31","34,24","6,8","2,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
364,S Concentré d’épices d’Afrique,3156889725224,['France'],[],[],?,6.25,"0,54","5,1","8,35",,26 kj(6 kcal),"0,54",0,"0,54","0,216",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
365,Earth Balance Coconut & Peanut Spread Creamy,0033776100926,['France'],[],[],?,90,7,3,3,,377 kj(90 kcal),"1,5",1,"0,112","0,045",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
366,Chocolat noir 70% cacao aux noisettes - Un Zèbre en Cuisine,3770013887277,['France'],[],[],?,449,25,29,15,,1879 kj(449 kcal),"6,1",17,"0,15","0,06","['Film en plastique', 'Etui en carton']","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Sans sucre ajouté', 'Sans édulcorants']","['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs', 'Chocolats aux noisettes', 'Chocolats noirs aux noisettes']",25 g,en quantité élevée,6.1 g,en quantité élevée,17 g,en quantité élevée,0.15 g,en faible quantité,,-21%,-21%,-39%,-67%,-25%,-49%,+87%,+360%,+360%,9,-57%,C,-57%,D,,['Un Zèbre en Cuisine'],,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,,,,,,,,
367,Crème glacée,3760316040035,['France'],[],[],?,171,23,23,"2,6",,715 kj(171 kcal),20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368,Prune sucrée,4711288027561,['France'],[],[],?,280,0,"68,7","1,3",,1172 kj(280 kcal),0,"42,2","1,28","0,512",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
369,Madeleines,3660140944557,['France'],[],[],?,415,18,57,"5,3",,1736 kj(415 kcal),"1,5",30,1,"0,4",,,"['Biscuits et gâteaux', 'Gâteaux', 'Madeleines']",18 g,en quantité modérée,1.5 g,en quantité modérée,30 g,en quantité élevée,1 g,en quantité modérée,,-6%,-6%,-21%,-78%,+8%,+9%,-7%,+23%,+23%,16,-13%,D,-13%,B,,,,73.9%,13.5%,6.0%,3.4%,3.2%,0.0%,75,,,,,,,,
370,Citron zestes confits,3770016098014,['France'],[],[],?,485,"23,2","60,5","7,1",,2029 kj(485 kcal),16,18,"0,29","0,116",,"['Bio', 'Bio européen']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371,Oméga 3.6.9 biotechnie,3760080015031,['France'],[],[],?,0,?,?,?,,0 kj(0 kcal),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372,Pommes de terre,3347762001171,['France'],[],[],?,75.199996948242,"0,22","15,8",2,,315 kj(75 kcal),"0,026","0,51",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
373,Beurre,03459454,['France'],[],[],?,495,55,10,0,,2071 kj(495 kcal),15,0,"0,4","0,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374,Épices Plancha - Quai Sud,3760057471761,['France'],[],[],?,627,2,23,6,,2623 kj(627 kcal),"0,5",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Quai Sud'],,,,,,,,,,,,,,,,
375,"Truitelles, huile de tournesol et poivre sauvage de Madagascar",3770013273049,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
376,Pommes séchées,3560000310143,['France'],[],[],?,?,?,?,?,,,,,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377,Kéfir de fruit hibiscus,3770013032004,['France'],[],[],?,6,0,"0,5",0,,25 kj(6 kcal),0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
378,Pedras de santiago bombones artesanos,8437005025059,['France'],[],[],?,0.20000000298023,25,52,13,,1 kj(0 kcal),9,43,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
379,Alsace grand cru,3158964305024,['France'],[],[],?,?,?,?,?,,,0,,,,,,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français', 'Alsace Grand Cru']",,,,,,,,,,,,,-100%,,,,,,,,,,C,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,['France'],,,,,,,
